receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Abeken Bernhard Rudolf,0.0002953495464460283,4.2765274635553456e-05,1.3721439739106473e-05,5.505931595289213e-05,6.801259355133812e-05,0.00019527602440736196,7.448568003939573e-05,7.355971134200232e-05,3.4544048774292046e-05,5.509696861397807e-05,4.8225646700618756e-05,6.408016668638469e-05,5.228520916138894e-05,0.0005083343994059933,0.00012510409933146134,6.965123203903546e-05,7.9175565938754e-05,5.8838581318848474e-05,3.924102569744254e-05,2.1206385313833947e-05,0.000224336998089126,4.616229653263315e-05,0.0003439838376354593,0.00010299667586339653,4.492767873975283e-05,4.61180481379457e-05,6.24729748778176e-05,6.152406968962702e-05,4.681355246503207e-05,6.388144738660882e-05,5.586755771519167e-05,5.533358346509366e-05,0.0003812008752600688,6.894916604864519e-05,3.597054777004418e-05,6.010734545598771e-05,0.012473069497031005,9.902030981149125e-05,4.7535165951036466e-05,8.454287269640463e-05,4.696370542317832e-05,8.790215386488245e-05,6.163274319652243e-05,4.398456311225332e-05,6.670303308697614e-05,0.00015536048794710287,8.590370456625085e-05,2.5188009158631004e-05,3.1483939968759725e-05,4.630523547872282e-05,4.257939986178078e-05,3.894695670261021e-05,0.0009103612588175487,0.04847847032314688,4.3668325474578484e-05,4.912423886174935e-05,4.5411445477232566e-05,3.175261405086296e-05,5.7408031728844354e-05,0.00011401159427334417,4.512736986797684e-05,0.00012414531026387125,0.0007700956653515992,4.8011847282373126e-05,0.10337692389802627,7.012257996137053e-05,0.0004555106211315606,4.9195455930051165e-05,0.26909186202116225,5.0360169029769455e-05,5.12893515242863e-05,0.000107397056401115,0.00010985822718666028,3.997199253436397e-05,0.0007823063920203209,6.647257351556486e-05,0.23838229193788862,0.020733782787576576,0.018066678344258798,5.400726210299689e-05,2.869756550720629e-05,0.027576827754475435,0.13316308251652045,0.00010411910104969063,0.007603402266783333,0.000264794775931836,1.070145631466794e-05,0.056771709885507816,7.320341737437808e-05,0.04217132531287319,4.801278493375558e-05,0.00016161704437271624,0.0001659862523777852,6.48852835879724e-05,8.560362498867233e-05,4.541829472065515e-05,0.010658246061254912,0.001134291612091273,8.512752815384087e-05,0.0004655474182472598
Abeken Bernhard Rudolf + Truchsess von Wetzhausen Christian Freiherr + Voß Heinrich + Voß Abraham Sophus,0.000735487842787082,0.00010649530350183916,3.416951959156825e-05,0.0001371102749362951,0.00016936689531219342,0.0004862819112730674,0.00018548635943382085,0.00018318048584122784,8.6022572981261e-05,0.00013720403866408992,0.00012009287735720857,0.00015957425406176544,0.0001302021152851459,0.0012658687827099885,0.0003115377871688439,0.00017344747949092903,0.00019716524672023453,0.00014652150906471832,9.771911853685046e-05,5.2808743996610684e-05,0.0005586503746741061,0.00011495466406984397,0.0008565983382756197,0.00025648525232745795,0.00011188018371909104,0.00011484447545859643,0.00015557197929800818,0.00015320898860352516,0.00011657644011990436,0.00015907939760821397,0.00013912298156597242,0.00013779326369765604,0.000949277264134244,0.00017169917478899283,8.957488136212184e-05,0.00014968102161335418,0.0011696962271689597,0.0002465831924636822,0.00011837342255151416,0.00021053106669951927,0.00011695035528789417,0.00021889644423149564,0.00015347961046198542,0.00010953161035334472,0.00016610579058891649,0.0003868831068458873,0.0002139198489353233,6.272389696582147e-05,7.840220297847174e-05,0.00011531061469978325,0.00010603243285234727,9.698681956012148e-05,0.0022670075050445545,0.0007033281022198108,0.00010874410639154652,0.00012233057712038092,0.0001130848734111612,7.907126282107767e-05,0.00014295911377881817,0.0002839149155089064,0.00011237746024749104,0.0003091501833566993,0.0019177141338614946,0.0001195604679636382,0.0002482900173757877,0.00017462124349623028,0.0011343255072981018,0.0001225079238898789,0.5439725563577353,0.00012540832558504184,0.00012772220226665916,0.0002674432051263468,0.00027357208263292554,9.953939294900192e-05,0.02656648682003556,0.00016553189360797804,0.2015146725856113,0.00019508238425625319,0.0001535119711423868,0.00013449042051001894,7.146349402636762e-05,9.023651573597512e-05,0.0058402651026578534,0.0002592803474575878,0.0017886175106138985,0.0006593994840177745,2.6649070954282355e-05,0.13742919379637378,0.00018229323246705045,0.0003973970445942553,0.00011956280292978548,0.00040246336164607863,0.0004133436877173545,0.00016157917907440086,0.00021317258223444823,0.00011310192959198225,0.053359875721396534,0.002824645241230945,0.00021198699235214943,0.0011593194250066098
Abeken Minona Laura,9.61804399900268e-05,1.3926491441196445e-05,4.468380355698516e-06,1.7930040176536322e-05,2.2148268894754982e-05,6.35915449101102e-05,2.4256226445414865e-05,2.395468517743611e-05,1.124925313117248e-05,1.794230174779525e-05,1.5704659019399253e-05,2.086767594768256e-05,1.7026653613067003e-05,0.00016553885653543363,4.074009072654792e-05,2.2681890742588503e-05,2.578348556848153e-05,1.9160756153962666e-05,1.27788214427804e-05,6.9058493389469685e-06,7.305523723293361e-05,1.5032730013926355e-05,0.016208852531971053,3.354081873920165e-05,1.4630677314108026e-05,1.5018320545142325e-05,2.0344294696021834e-05,2.003528417067245e-05,1.5244811200025924e-05,2.0802963101778645e-05,1.819324372383037e-05,1.8019355262054266e-05,0.00012413788457872808,2.245326328515609e-05,1.171379185387488e-05,1.9573928594624995e-05,0.0001529622805965989,3.224591701669793e-05,0.17064192399990935,2.7531346473379248e-05,1.5293708439768086e-05,2.862529479570535e-05,2.007067364674997e-05,1.4323552156457073e-05,2.172181114944439e-05,5.05930693567129e-05,2.797450072761535e-05,8.20246325921701e-06,1.0252730147219842e-05,1.5079278014057206e-05,1.3865961409105234e-05,1.26830580138172e-05,0.00029645871299466134,9.197488033590114e-05,1.4220569519446219e-05,1.5997285131303313e-05,1.4788215723166813e-05,1.034022373487405e-05,1.869489835715954e-05,3.7127821705250235e-05,1.469570663548604e-05,4.042786152055083e-05,0.00025078128888023993,1.563503534005416e-05,3.246912012282972e-05,0.0129003028714322,0.003367703689761104,1.6020476935883655e-05,0.00030973389055773023,1.6399765205464676e-05,1.6702353044955372e-05,3.4973800578293964e-05,3.577527967955815e-05,1.301686044720484e-05,0.00025475770623969643,2.1646762099107354e-05,0.4191150224347279,2.551110767646187e-05,2.0074905483496032e-05,1.7587439338330476e-05,9.345348622805831e-06,1.1800314405965735e-05,0.0007637369845617485,3.390633596979398e-05,0.01311136668796707,8.62302934358443e-05,3.4849241831048517e-06,0.1081140179023727,2.383865821553876e-05,5.196798692820365e-05,1.5635340685783002e-05,5.2630513995037046e-05,5.405334451362825e-05,2.1129861885565027e-05,2.787677995522609e-05,1.4790446176045138e-05,0.09068146001723328,0.1548989913640779,2.7721739246334002e-05,0.006590339039606152
Ahlefeldt Johann Georg Jacob von,0.0008158249488674263,0.00011812775205743338,3.790184548527701e-05,0.00015208678720673798,0.0001878667880957825,0.0005393983317197427,0.00020574697622093688,0.00020318923278000759,9.541879161175755e-05,0.00015219079271707242,0.0001332105846345712,0.00017700449971704685,0.00014442405144647017,0.0014041392322866905,0.00034556696181974907,0.08211465754822632,0.00021870154469777456,0.00016252600748331686,0.00010839294716496734,5.8577026518247984e-05,0.0006196715796500398,0.0001275111259235348,0.0009501643057422184,0.0002845010558874359,0.00012410082104964034,0.00012738890144488654,0.00017256505773779869,0.00016994395831187805,0.00012931004806220834,0.00017645559024848854,0.0001543193411494644,0.00015284437861600293,0.0010529665215656397,0.00019045382172735707,9.935911752142198e-05,0.0001660306325953639,0.11052714771873924,0.0002735173971345805,0.00013130331432046268,0.00023352730899572753,0.000129724805866566,0.0002428064340882915,0.00017024414011094642,0.00012149571375274644,0.00018424947392776443,0.0004291422271021672,0.00023728624685086767,6.957520853233303e-05,8.696605098681681e-05,0.00012790595692899255,0.00011761432219226666,0.00010758065940099608,0.029822053507852112,0.0007801524099380789,0.00012062219098052451,0.00013569270764010282,0.0001254370986184305,8.770819202590567e-05,0.00015857449287914367,0.00031492685256363475,0.00012465241493706284,0.00034291856079305484,0.002127185446425945,0.00013262002033014958,0.00027541065799578993,0.0001936950670817813,0.0012582275262140402,0.00013588942594153566,0.0026272351785141678,0.00013910663760296118,0.0001416732583078155,0.00029665594242909304,0.0003034542753008804,0.00011041204957948278,0.029468335831918036,0.00018361289035983617,0.5512151148045401,0.00021639117182099623,0.00017028003553830486,0.00014918076690427105,7.926942903504506e-05,0.00010009302201013836,0.03378561691063554,0.0002876014583808023,0.0019839876395650953,0.0007314254825660548,2.955994060521223e-05,0.0978256985037277,0.0002022050649984195,0.00044080459896878244,0.0001326226103439158,0.000446424308241049,0.00045849308891201553,0.00017922842205914574,0.0002364573564429425,0.000125456017840526,0.03188093670323594,0.003133180353822606,0.00023514226495014657,0.0012859515217042597
Arnim Ludwig Achim von,0.00015923442666867965,2.305642270273599e-05,7.397761791805313e-06,2.9684618493668813e-05,3.666823420152537e-05,0.00010528089906624442,4.015812686635461e-05,3.9658901130555055e-05,1.8624040116460687e-05,2.9704918507576782e-05,2.6000321637543505e-05,3.454810994607203e-05,2.81889896370204e-05,0.00027406284390611924,6.744848526316294e-05,3.755168793709224e-05,4.2686626744929167e-05,3.172216742854359e-05,2.1156363041732424e-05,1.143318704158066e-05,0.00012094880016286897,2.488788931804457e-05,0.00018545506444237543,5.552951351115349e-05,2.422225885146733e-05,0.005354783901516405,3.3681610338189444e-05,3.317001864819824e-05,2.5239006718622908e-05,3.444097264334522e-05,0.15459779655169445,2.983248677579341e-05,0.0002055202168009024,3.7173176858241456e-05,1.9393121201789347e-05,3.2406207517266284e-05,0.00025324131450489047,5.33856999312141e-05,2.562805661256373e-05,4.558035055318838e-05,2.5319960017826278e-05,4.73914696739662e-05,3.32286087620914e-05,2.3713788538801385e-05,3.59621992262228e-05,8.376088104047235e-05,4.631402793713868e-05,1.3579835302144224e-05,1.697421645139621e-05,0.005354884821491556,2.295621038350267e-05,2.09978190102395e-05,0.0004908111586881336,0.03746171086321312,2.3543292529810865e-05,2.648478761796697e-05,2.448307631338966e-05,1.7119069097825653e-05,3.0950902510325595e-05,6.146808439746704e-05,2.432992010470505e-05,6.693156478940219e-05,0.005745108390533488,2.5885054056482025e-05,0.06934271351753568,3.780580993280084e-05,0.0002455834907152388,2.652318350912889e-05,0.19771982440353106,2.7151125637020506e-05,2.765208405583426e-05,5.7901929790369473e-05,5.922884267608682e-05,2.155045569090557e-05,0.00042177179992847175,3.5837949508674346e-05,0.18220620175797056,4.223568331529345e-05,3.323561490697993e-05,2.9117415348688666e-05,1.5471973616732536e-05,1.9536366221021178e-05,0.05456362646900773,5.613465658033605e-05,0.00038723887366091416,0.0001427611616057533,5.769571280169426e-06,0.01909382525789308,3.946680919629328e-05,8.603716727118333e-05,2.5885559580807683e-05,8.713403392775755e-05,0.010749329380339841,3.498217977881176e-05,0.0746650303985694,2.448676900688668e-05,0.000892668304206736,0.1764988963723657,4.589556104761379e-05,0.0002509947183725676
Barth Karl,0.00021245597208559432,3.076266106900635e-05,9.870344658607723e-06,3.9606224671407035e-05,4.892400158011576e-05,0.00014046934586391073,5.358033472422544e-05,5.291425081757048e-05,2.484882590959229e-05,3.96333096383856e-05,3.4690510862554165e-05,4.6095259899952523e-05,3.76107059304776e-05,0.0003656639404729289,8.999205637925497e-05,5.010273551416033e-05,5.695394500976133e-05,4.232479155852566e-05,2.8227537033680278e-05,1.5254545877880926e-05,0.00016137399084341914,3.320626593661025e-05,0.0002474404362084554,7.40893600665864e-05,3.231815919496507e-05,3.3174436411833007e-05,4.493914673801976e-05,4.425656375592287e-05,3.367473867970147e-05,4.595231367736957e-05,4.0187623191756215e-05,3.98035155479885e-05,0.0002742120429430116,4.959771319653217e-05,2.587495997503608e-05,4.323746104235205e-05,0.00033788314983742673,7.122901128633164e-05,3.419382224181947e-05,6.081484944790858e-05,3.378274931682063e-05,6.323130599827678e-05,4.433473667281148e-05,3.1639740860349014e-05,4.798198577271471e-05,0.00011175660801810536,6.179374669434828e-05,1.8118676785155304e-05,2.2647575226155525e-05,3.330908726512013e-05,3.062895439424333e-05,2.8016002210251148e-05,0.0077662167311690344,0.00020316618026748785,3.141225930322214e-05,3.533690180304739e-05,3.266615069761232e-05,2.284084253932501e-05,4.129574374918185e-05,8.201280273439689e-05,3.2461804490088126e-05,8.930236355314082e-05,0.0005539586065051723,3.4536716946899685e-05,7.172205158528089e-05,5.044179369872579e-05,0.0003276658216419616,3.538813090313308e-05,0.0006841808460547603,3.622595258520122e-05,3.689434829629321e-05,7.725471832068598e-05,0.3769810965791937,2.8753348810841265e-05,0.0005627422387656294,4.781620758595336e-05,0.19332617456755372,5.635228099335981e-05,4.434408450891708e-05,3.884944300014509e-05,2.0643231891462147e-05,2.6066082337479988e-05,0.3785891138815461,7.489676247135375e-05,0.007628027076099221,0.00019047678319040752,7.697957662107905e-06,0.025475629176840892,5.265795524457669e-05,0.0001147937063014873,3.4537391434598525e-05,0.00011625718299208784,0.00011940011767788972,4.667441059115095e-05,6.15778882340099e-05,3.267107761450421e-05,0.0011910283240122,0.0008159383685372438,6.123541397912062e-05,0.000334885665090177
Bentzel-Sternau Christian Ernst Graf von,0.00034096722577710086,4.937050768332597e-05,1.5840759865076528e-05,6.356340288835732e-05,7.851735552044607e-05,0.0002254370291207705,8.599023085953706e-05,8.492124334387704e-05,3.987948726994773e-05,6.360687112302395e-05,5.567425162720339e-05,7.397755278552113e-05,6.036082645615989e-05,0.0005868482684946445,0.00014442682643559166,8.04090869482573e-05,9.140448459230028e-05,6.792638784232641e-05,4.530192725774146e-05,2.448177915363597e-05,0.0002589865628643856,5.329221044565945e-05,0.0003971132383375985,0.00011890484091135415,5.186690199741919e-05,5.3241127745302476e-05,7.212212507671664e-05,7.102665845611031e-05,5.404405493370072e-05,7.374814065617044e-05,6.449648016836198e-05,6.388003189246936e-05,0.00044007856611007234,7.959858462673243e-05,4.1526313584760794e-05,6.939111664659054e-05,0.0005422633174579872,0.00011431431244192871,5.4877123923875125e-05,9.760078899524356e-05,5.4217399495076945e-05,0.00010147892185308579,7.115211693271024e-05,5.077811915361584e-05,7.700552926611838e-05,0.00017935641076185146,9.917180568713924e-05,2.9078377498832664e-05,3.6346734900581545e-05,5.345722676781116e-05,4.91559239579814e-05,4.4962438368858534e-05,0.012463878269063549,0.00032605818597383085,5.041303760430663e-05,5.67116342132699e-05,5.242538805025575e-05,3.6656906551478914e-05,6.627488530606162e-05,0.00013162104859676963,5.209743605722105e-05,0.00014331994933889242,0.0008890393967335529,5.542743020699413e-05,0.01152801439565157,0.2511649470701444,0.16030658903817094,5.679385098488523e-05,0.012510939817813451,5.8138457737175486e-05,5.921115543117365e-05,0.00012398487425612718,0.00012682618071828007,4.614579425371029e-05,0.0009031361090767944,7.673947447895709e-05,0.10483375803164853,9.043888353854555e-05,7.116711912687149e-05,6.234885596630053e-05,3.312999601757246e-05,4.1833042838199775e-05,0.20813986628099101,0.00012020062824713389,0.000829191068963617,0.00030569317351650623,1.2354330369875647e-05,0.21207906606895904,8.450991863671635e-05,0.00018423060171036447,5.5428512681622814e-05,0.00018657931227983,0.00019162335839487528,7.490702256011172e-05,9.882537786183696e-05,5.243329518116749e-05,0.013324371310252943,0.0013094865688838026,9.827574635257236e-05,0.0005374527016464101
Bergner Caroline,0.0005571714044126816,8.067589205910483e-05,2.588523985222711e-05,0.00010386837144197352,0.13067640896248944,0.00036838457372426436,0.00014051584454952815,0.00013876902189218195,6.516670298388162e-05,0.00010393940248403728,9.097678200025179e-05,0.000120886037907548,9.863507077971894e-05,0.000958963352530732,0.00023600654736414712,0.0001313957486687883,0.0001493632267260848,0.00011099788498596299,7.402746224441409e-05,4.0005449915205766e-05,0.0004232075579296163,8.708431043655577e-05,0.0006489190866106034,0.000194301305795752,8.475522702386897e-05,8.700083666621254e-05,0.00011785410057121111,0.00011606400865226096,8.831289259235435e-05,0.00012051115765913611,0.00010539310443453868,0.00010438577198244132,0.0007191283331488325,0.00013007131428734728,6.785776670285616e-05,0.0001133913848394916,0.0008861074945281078,0.00018679996548811133,8.967420295926793e-05,0.00015948855070256962,8.859615334414412e-05,0.0001658257719002324,0.00011626901919379717,8.297605700305611e-05,0.00012583402639640602,0.000293084659520698,0.00016205573461470168,4.751670895095985e-05,5.9393864862575645e-05,8.735396208930551e-05,8.032524276915667e-05,7.347270657670938e-05,0.0017173795159050982,0.0005328086797352577,8.237948060457623e-05,9.267195933313067e-05,8.566784394091912e-05,5.9900713501607175e-05,0.00010829917989656736,0.00021508074369843767,8.513194060850167e-05,0.000234197809691268,0.0014527710929614632,9.057345338993242e-05,0.0001880929767087464,0.00013228493772296016,0.0008593122811757664,9.280630900267087e-05,0.3001899497302407,9.500351851701314e-05,9.675640394262268e-05,0.00020260254151340646,0.00020724549424376497,7.540641753318086e-05,0.0014758064008154204,0.00012539926871822882,0.07805923275881327,0.00014778534693427576,0.00011629353414115327,0.00010188369149877606,5.413742146984115e-05,6.835899015189454e-05,0.04172377180912861,0.0001964187399510468,0.0013549734915664113,0.0004995304003760943,2.018809751310752e-05,0.2719575324431852,0.00013809687997521023,0.00030104953007378143,9.057522225175699e-05,0.00030488753639114965,0.00031312996570803463,0.00012240487590872977,0.00016148964009487978,8.568076491074231e-05,0.1523213369574992,0.0021398199459835947,0.00016059149230595826,0.0008782465115209657
Bertuch Friedrich Johann Justin,0.031088789333425352,8.837077607880186e-05,2.8354179623466332e-05,0.00011377535915740209,0.0001405421975302154,0.00040352117397873675,0.006871628593029272,0.0001520048411900316,7.138231719784827e-05,0.00011385316515560861,9.965416712869041e-05,0.00013241617432820007,0.00010804290514699798,0.001050429484339447,0.0002585169028557947,0.00014392830357313132,0.00016360952357053624,0.000121584887243997,8.108821759157455e-05,4.38211783738112e-05,0.0004635731862655484,9.539043078603581e-05,0.005790558929339276,0.00021283380633356605,9.283919889410202e-05,9.529899526943747e-05,0.0001290950501534826,0.00012713421888044108,0.24784331464958675,0.0001320055379206782,0.00011544552151231255,0.00011434210947323665,0.000787718948977465,0.00014247754435416115,7.433005515591213e-05,0.00012420667963082132,0.009601712915224837,0.0002046169865662464,9.82273478172734e-05,0.00017470060313611114,9.704647359687867e-05,0.00018164226986116215,0.0001273587833717344,9.089033125220246e-05,0.00013783610302844936,0.0003210391376851528,0.00017751264560458388,5.2048862919675325e-05,6.505886452894745e-05,9.568580187170002e-05,8.798668178379859e-05,8.048054920839431e-05,0.0018811835452799636,0.0005836280867552264,9.023685326790773e-05,0.00010151103084192894,9.383886140992868e-05,6.561405650070633e-05,0.00011862877907994989,0.008866683487883508,9.325184350184963e-05,0.00025653564739278484,0.006671082513778656,9.921236894835429e-05,0.000206033325476542,0.00014490230367145528,0.0009412736722627648,0.00010165819481198456,0.05020060868049415,0.00010406497464465009,0.00010598505066097537,0.0002219268157079744,0.00022701261427315642,8.25986979337939e-05,0.0016165691342659707,0.0001373598780689709,0.12117232106221532,0.006879591462122511,0.00012738563656006737,0.00011160138001230757,5.9301060429428795e-05,7.487908540584064e-05,0.29793711673308365,0.0002151532018161977,0.0014842111560192427,0.0005471757179189209,2.2113642616815656e-05,0.053029781164960786,0.00015126859023176058,0.12116499984848443,9.921430652460195e-05,0.00033396777550226186,0.0003429963695086864,0.00013407987942617495,0.00017689255686712102,9.385301478464598e-05,0.0034214236892150785,0.0023439164348741655,0.00017590874354799085,0.007679724170449547
Bode August Theodor Heinrich,0.0003412500262821959,4.941145591369568e-05,1.5853898297606878e-05,6.361612280125046e-05,7.858247834199966e-05,0.00741034304192934,8.606155173404308e-05,8.49916775929642e-05,0.0016316937593585015,6.365962708876261e-05,5.572042822510097e-05,7.403891026422237e-05,0.0019226122658502413,0.0015445648814450838,0.00014454661501460287,8.047577878455145e-05,0.0006836584023141567,6.798272644421786e-05,4.533950098020428e-05,2.4502084505549172e-05,0.0016601866852156341,5.3336411362616536e-05,0.00039744260672227487,0.01827439586708271,5.190992075398487e-05,5.32852862939251e-05,0.0071783192183988934,7.108556844325297e-05,5.408887943552139e-05,7.380930785891213e-05,6.45499739818125e-05,0.00679928888197978,0.0010375721671991218,7.966460422696228e-05,0.0021639356834868445,6.94486701043812e-05,0.0010733068062170393,0.00011440912549976585,5.4922639378706494e-05,0.0012919389336909846,5.426236777004004e-05,0.00010156308915183757,7.12111309759553e-05,5.082023486638468e-05,7.706939816883164e-05,0.00017950517017249534,9.925405944826128e-05,2.9102495300258507e-05,3.6376881126410176e-05,0.021055376305317293,0.0016668739328788492,4.499973051695879e-05,0.00215720296800605,0.38121173147447535,0.0013656549580883417,5.675867122324564e-05,5.246887001890133e-05,3.668731003575618e-05,6.63298541406672e-05,0.0022384557287491724,5.2140646020282915e-05,0.00014343881986661204,0.008511642754646621,0.0032155616712467453,0.00011520105435600351,8.102037921756511e-05,0.001052983223932689,0.001830581888366108,0.019751128122747316,5.8186678164156526e-05,5.9260265560820355e-05,0.0013373456371435864,0.0011649858565143997,4.618406788512227e-05,0.0017684276717355384,7.680312271404452e-05,0.30751160734289956,9.051389415543588e-05,0.005243446326091254,6.240056852582639e-05,3.3157474258585834e-05,4.186773944464733e-05,0.10482262932239927,0.00012030032345479955,0.0017871086826589892,0.00030594671748595235,1.2364577134387246e-05,0.02796407175739371,0.0006151737436550656,0.00018438340380768896,5.5474485461989914e-05,0.0038060159446912517,0.0001917822920942024,7.496915094728114e-05,0.011036976426070709,5.247678370804051e-05,0.010030700759026987,0.009003195029883665,0.0068457114114361005,0.0051053268822644614
