receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
AbekenBernhardRudolf,3.5477457162953977e-05,0.06276709083238449,5.671712748663784e-05,0.006942403458639424,8.310173968092719e-05,0.1289045329409207,6.261283953735596e-05,0.0076906259500354604,5.717725768066435e-05,0.0002992828338891052,0.00015822545756368305,0.03508185754163747,0.00010057526577315863,0.0004273472137859101,0.00013780777947563426,9.982540966212378e-05,5.306497918987516e-05,6.033222762767374e-05,0.00015464070572721576,5.153435313794378e-05,0.31853509956555826,6.92739302118881e-05,0.0070937689697828455,4.273195687594564e-05,5.8858802363609986e-05,0.18748531075607955,9.745025147071323e-05,0.06868103203651064,5.268303479717428e-05,5.1774126323085573e-05,0.00015225422140258555,6.511238813825416e-05,5.107020406450818e-05,3.850922713757416e-05,3.947604558278768e-05,6.544552664656232e-05,5.383914487847316e-05,3.358077248237262e-05,0.027747133397235845,5.8924759571315825e-05,1.5631995875567016e-05,5.407551442164331e-05,0.00011629826235931356,6.022020262655311e-05,3.656186934424211e-05,0.008040148505075357,0.03519129094789659,0.00019446017460473207,4.743720876280797e-05,9.643430077906335e-05,7.849114272565826e-05,2.5302612619476835e-05,0.0010259990973395996,6.243936433019878e-05,3.990564325021969e-05,0.0005816386942875719,5.1233803192921436e-05,0.00015317925455124847,9.895380344970692e-05,3.916242464087434e-05,0.0007943676101342332,5.5340825202202e-05,3.187748613234369e-05,5.553546263443595e-05,6.196835360935488e-05,7.657284548290397e-05,7.206317419813394e-05,6.347784053289669e-05,5.704437063535301e-05,5.830635554705063e-05,4.20401542285884e-05,4.7052365115139575e-05,0.0003285322474614664,0.00010054909584439433,5.603451725760674e-05,8.504331058026793e-05,4.292786335694912e-05,5.0048479903773234e-05,3.571924912264372e-05,7.397789056765892e-05,8.37852703777019e-05,5.655494441929591e-05,3.137506467566054e-05,2.8798225913427056e-05,0.0001808273669906043,6.495612193715001e-05,0.00015029804835504858,5.331169631546861e-05,6.0499952729443655e-05,0.00020964351331131047,6.440404361319405e-05,6.147025467211032e-05,4.444511122948505e-05,0.00010281867740708002,0.09615230787027979,0.000374432811822183,3.634132322686536e-05,0.000253922728012547,1.731262705776133e-05,7.758753986075956e-05
AbekenBernhardRudolfANDTruchsessvonWetzhausenChristianFreiherrANDVoßHeinrichANDVoßAbrahamSophus,8.655674903972792e-05,0.03423878600372112,0.00013837660764598063,0.00020010761227785612,0.0002027489285178493,0.013701813437434507,0.00015276077464082896,0.002025596573230618,0.00013949921836599416,0.024606664149291985,0.00038603333827253084,0.0019028623013145152,0.0002453802706080523,0.0010426278683557738,0.0003362189496560148,0.0002435507959949021,0.00012946621471317336,0.0001471966116903481,0.0003772873770371016,0.00012573184292767129,0.4802688563111911,0.00016901228757193058,0.003029666444771552,0.00010425604209170818,0.00014360179653139887,0.05027032562698425,0.0002377559620934957,0.00018832260578446967,0.00012853435917475946,0.00012631683376614788,0.0003714649100033041,0.00015885909222787596,0.00012459942707605443,9.395356306825432e-05,9.631237534572249e-05,0.00015967187275289085,0.00013135499904501997,8.192927928758329e-05,0.00074558340743555,0.00014376271678700038,3.8138436409822335e-05,0.00013193168578823383,0.00028374072759935586,0.00014692329672688737,8.920246269953878e-05,0.005338612532885941,0.19318172317884,0.0004744376253960923,0.00011573576299924624,0.0002352772785551021,0.00019150014364165282,6.173249341106816e-05,0.16963858451534947,0.00015233753545822493,9.73604937978756e-05,0.0014190632170170035,0.00012499857092213514,0.00037372177586983104,0.00024142427943417142,9.554721314601608e-05,0.0019380723246274574,0.0001350187499819,7.777365650816386e-05,0.00013549362007470934,0.00015118837878186426,0.00018681994426146528,0.00017581739456195897,0.00015487117600770922,0.00013917500486391554,0.00014225395471063112,0.00010256820443588972,0.00011479683395261914,0.0008015423192357173,0.00024531642206484817,0.00013671119735417724,0.00020748591021034122,0.0001047340083685354,0.00012210665761508785,8.71466652188543e-05,0.00018048885744381096,0.00020441658453699204,0.00013798091865976241,7.654786493751804e-05,7.026097732226383e-05,0.0004411767436496088,0.00015847783901995192,0.0003666923024633605,0.00013006814715229122,0.00014760582195237114,0.000511481442600185,0.00015713089623548346,0.00014997313315391514,0.00010843574050595838,0.00025085367353256934,0.0002608776791422507,0.0009135290270739863,8.866438143723795e-05,0.0006195124341384763,4.223878584572938e-05,0.00018929556268622042
AbekenMinonaLaura,1.1512839210032693e-05,0.15699202413667965,1.840535431300393e-05,2.661614247782245e-05,2.696746169338048e-05,0.13520567490925284,2.0318580070893013e-05,0.00026942286893531206,1.8554671805381594e-05,9.712069072656444e-05,5.134596438232608e-05,0.00025309808832829124,3.263782006794391e-05,0.0001386790416397192,4.4720195128621735e-05,3.2394483213294155e-05,1.722019056469197e-05,1.9578495512519574e-05,5.018267155354317e-05,1.6723484965256452e-05,0.0003643365630190065,2.248017991574929e-05,0.07662194958141992,1.3867007051354583e-05,1.9100352220703297e-05,0.3750781315248339,3.1623717308891754e-05,2.5048628836739714e-05,1.7096245255981102e-05,1.6801294096692658e-05,4.940823018981937e-05,2.1129712080936056e-05,1.6572863300704635e-05,1.2496683121936688e-05,1.2810426726894376e-05,2.12378193238877e-05,1.747141615433372e-05,1.0897343413381656e-05,9.916941177555068e-05,1.9121756086362893e-05,5.072760830086292e-06,1.7548120765156517e-05,3.774011166581284e-05,1.9542142122830974e-05,1.18647433226422e-05,0.0007100842901062634,0.0034644011524897424,6.310454305380532e-05,1.539391491759013e-05,3.129402972997192e-05,0.028607587359323488,8.210986186066496e-06,0.00033294840109465083,0.11434872664095776,1.29498360663922e-05,0.00018874838562721324,1.6625953082525022e-05,4.9708413989790995e-05,3.211163706307742e-05,1.2708653156692802e-05,0.00025778134343526564,1.7958728535053408e-05,1.0344607579286897e-05,1.8021890600228225e-05,0.009547481466672348,2.484876111188429e-05,2.3385321380192543e-05,2.0599282752949307e-05,1.8511548444574233e-05,1.8921076932118527e-05,1.3642509207342935e-05,1.5269028767597532e-05,0.00010661245880621066,3.262932762778346e-05,1.818383951351134e-05,2.759752357961764e-05,1.3930580937319325e-05,1.624130216526255e-05,1.1591303456819055e-05,2.4006668665425184e-05,2.718927519514707e-05,0.09529207302036646,1.018156609015493e-05,9.345352541830162e-06,5.868054160066131e-05,2.107900191760583e-05,4.877342974006194e-05,1.7300253083949546e-05,1.963292421972072e-05,6.803170951890462e-05,2.089984620907082e-05,1.994779825930573e-05,1.4422945165060833e-05,3.3365832712836155e-05,3.469911713149841e-05,0.00012150771510114311,1.1793173593839682e-05,8.24008193697135e-05,5.618144804002399e-06,2.517804100265883e-05
AhlefeldtJohannGeorgJacobvon,9.829096171727397e-05,0.0931071044691979,0.00015713586745794532,0.00022723554056668937,0.00023023493132834136,0.0968993419879264,0.0001734700484791917,0.0023002000126260487,0.00015841066680667782,0.16350920660083956,0.00043836660335199736,0.0021608270607056143,0.10873200425424512,0.0011839734859598696,0.000381799042545987,0.0002765681732612096,0.0001470175219752326,0.000167151570329055,0.00042843498102896184,0.00014277689373677619,0.003110526475232745,0.00019192472535973766,0.003440388321452213,0.00011838968948946102,0.00016306941794823045,0.40955872311084063,0.00026998775286095095,0.0002138528796542792,0.00014595933785824093,0.00014344118985172463,0.0004218231813637919,0.00018039509484632242,0.00014149096000712306,0.00010669053740112944,0.00010936912607081763,0.00018131806134350582,0.0001491623625626316,9.303616116963404e-05,0.0008466596882427536,0.00016325215363156351,4.330873830986845e-05,0.054376496524092516,0.0003222065211956973,0.00016684120295841875,0.00010129534604242898,0.006062350607142215,0.002464014369080047,0.0005387555677909995,0.00013142567825712972,0.00026717304237928015,0.0002174611858272874,7.010136371681643e-05,0.029955889426085618,0.00017298943215803702,0.00011055933448089167,0.0016114409319392376,0.00014194421446653898,0.0004243860030842103,0.00027415337187159197,0.00010850023335808036,0.002200810390623982,0.0001533227961171915,8.83171743308854e-05,0.00015386204278057506,0.00017168448810530378,0.0002121465072700315,0.00019965237823556166,0.00017586654999133722,0.00015804250075059822,0.0001615388536620739,0.00011647303725548115,0.00013035946169977144,0.0009102047649526707,0.0002785731594277817,0.00015524468299167018,0.00023561408998849898,0.00011893245207630688,0.0001386602540208643,9.896085088504176e-05,0.00020495713591624863,0.00023212866596779633,0.00015668653622233624,8.692520624427892e-05,7.978602603283025e-05,0.0005009856181256547,0.00017996215639980742,0.0004164035671776715,0.00014770105640768403,0.00016761625587518564,0.0005808212929835892,0.00017843261302933282,0.00017030449564002525,0.0001231360158173624,0.0002848610777942962,0.00029624400474760295,0.0010373731410191363,0.00010068431888001419,0.0007034976893521228,4.796495858042417e-05,0.00021495773711072838
ArnimLudwigAchimvon,1.8506980417461983e-05,0.11963309822094087,2.958675315732529e-05,4.27856603083784e-05,4.335040873611154e-05,0.08461136890080814,3.2662278750054946e-05,0.0004330994004551973,2.9826782211584112e-05,0.00015612228127363955,0.02050297393145565,0.0004068571860455478,5.246555483374727e-05,0.0002229276602510104,7.188806865201856e-05,5.20743889083233e-05,2.7681593024246965e-05,3.1472586947780214e-05,8.066904286546645e-05,2.688313483037362e-05,0.32220752337371483,3.613706765914373e-05,0.0006477828498283098,2.229132390944752e-05,3.070396781074984e-05,0.1383761800852536,5.0835376598762676e-05,4.026586968763017e-05,2.748234995663344e-05,2.7008213626795513e-05,7.942412222587137e-05,3.3966179894853496e-05,2.664100930899253e-05,2.0088517315465328e-05,2.0592862650888408e-05,3.41399631460387e-05,2.8085440153790266e-05,1.7517566038624455e-05,0.01036963305968928,3.073837469469859e-05,8.154503301241589e-06,2.820874342455856e-05,6.0667529078610594e-05,3.141414858528757e-05,1.907266907184822e-05,0.0011414661328972642,0.0004639436310337295,0.0001014410538741768,2.474584042480581e-05,5.0305401198634367e-05,4.0945269405746215e-05,1.3199225471781082e-05,0.0005352171976582728,3.257178460198153e-05,2.081696427074333e-05,0.0003034145281544741,2.672635155468818e-05,7.990667006714351e-05,5.161971147665603e-05,2.042926082892477e-05,0.0055194942773385105,2.8868798674015834e-05,1.6629038797776088e-05,2.8970332195156127e-05,3.232607967033903e-05,3.994458073340256e-05,3.759208974812473e-05,3.311351053963974e-05,2.9757461066778967e-05,3.041578136128724e-05,2.1930441843165772e-05,2.454508494736363e-05,0.00017138037380602054,5.245190316877751e-05,2.9230666358786932e-05,4.436323821958238e-05,2.239351943577659e-05,2.610802215188267e-05,1.8633112317009462e-05,0.26550424443018145,4.370697570092641e-05,2.950214960646892e-05,1.636694830979553e-05,1.5022728393115314e-05,9.432943642113268e-05,3.388466290476986e-05,7.840367546392763e-05,2.7810294159478785e-05,3.1560081526653636e-05,0.00010936151307799376,3.359666868118645e-05,3.206624404471338e-05,2.3184998840190602e-05,5.363584093927582e-05,5.577910622570373e-05,0.02572086822420394,1.895762016468751e-05,0.00013245997122318702,9.031212368494716e-06,4.047390077160113e-05
BarthKarl,2.5732050870038752e-05,0.003080560389933511,4.113733413827113e-05,5.948905562814525e-05,0.2059059885098845,0.20991906222735912,4.541353583185236e-05,0.000602180126250156,4.1471069825841605e-05,0.00021707195842112008,0.00011476204464888559,0.24900017571993235,7.294795236466432e-05,0.00030995795988983887,9.995295816908105e-05,7.240407641815179e-05,3.848840512045655e-05,4.3759391866426365e-05,0.00011216199876090796,3.737823120775481e-05,0.17116939312850554,5.024487206036829e-05,0.000900675359703367,3.099379087564179e-05,4.269070609016168e-05,0.08592591062890455,7.068135736517568e-05,5.598554619698156e-05,3.821137814816362e-05,3.7552140396595495e-05,0.0001104310647833156,4.722647612954677e-05,3.7041580598494175e-05,0.035518571399531414,2.8632255362004145e-05,4.7468103848331125e-05,3.904991297569381e-05,2.435637204218561e-05,0.00022165100215562242,4.273854531990514e-05,1.13379972872e-05,3.9221353478913785e-05,8.435195311156274e-05,4.367813933994704e-05,2.651858270305113e-05,0.015783347291040813,0.0006450658532780576,0.00014104334147010622,3.440654338360666e-05,6.994448113532332e-05,5.693018155689998e-05,1.8352164082073425e-05,0.0007441644096444645,4.528771303585107e-05,2.8943845591857288e-05,0.0004218666631220459,3.716024020465727e-05,0.00011110199787551934,7.177189426108414e-05,2.840478387231547e-05,0.0005761604519624267,4.013909234678686e-05,2.3120966392793306e-05,4.028026425447047e-05,0.014241202239398362,5.5538826984680127e-05,5.226793047217503e-05,4.60409271783531e-05,4.137468591100199e-05,4.22900125026421e-05,3.0492021517368486e-05,3.4127413561158315e-05,0.00023828676517871156,7.292897113004157e-05,4.064223210609451e-05,6.168251529292386e-05,3.1135883233383145e-05,3.630051683063675e-05,2.590742429035253e-05,5.365668781168811e-05,6.077004982674647e-05,4.101970161122917e-05,2.2756556552984665e-05,2.0887557154039046e-05,0.00013115536958370797,4.711313514748004e-05,0.0001090122386217162,3.866735079847176e-05,4.388104407027803e-05,0.00015205592453602777,4.6712708830254715e-05,4.458481093928767e-05,3.2236353857848325e-05,7.457511470669321e-05,7.75551044259407e-05,0.000271578769497634,2.635861904259312e-05,0.00018417195246734635,1.2556970982957305e-05,5.6274792001242465e-05
BentzelSternauChristianErnstGrafvon,4.125053443179428e-05,0.0732115847186151,6.594643492947611e-05,9.536571141948922e-05,9.662448913135878e-05,0.16583403617139533,7.280152806174396e-05,0.0009653428775452627,6.648143991375719e-05,0.0003479837009592367,0.0001839727310567391,0.12607438478795008,0.00011694139872275728,0.4215149550979298,0.00016023258166779618,0.00011606952210586618,6.169998997222755e-05,7.014980306144876e-05,0.00017980464966408386,5.992029244860323e-05,0.035442018988226166,8.054654622809704e-05,0.02420158798676308,4.968552425707093e-05,6.84366143368802e-05,0.09223063643157424,0.00011330786575869011,8.97493057489016e-05,6.125589359153795e-05,6.019908277971638e-05,0.00017702982413608938,7.570781627602332e-05,5.9380614611849096e-05,4.4775649863628036e-05,4.589979405976901e-05,7.609516482370537e-05,6.260013194820807e-05,3.904521130609191e-05,0.00035532427409072816,6.851330444617968e-05,1.817571595227184e-05,6.287496477893725e-05,0.00013522292349690105,7.001954876659547e-05,4.2511407831401795e-05,0.002544233956900841,0.0010340921260343057,0.00022610375065215986,5.515643932513153e-05,0.00011212659426016036,9.126363174011807e-05,2.941998600068709e-05,0.0011929550333159519,7.259982406213003e-05,4.639929810513578e-05,0.0006762859828248081,5.957083544556403e-05,0.04569357216316673,0.00011505608357471321,4.55351390789031e-05,0.0009236312597837817,6.434617354343853e-05,3.7064757298174985e-05,6.457248339600786e-05,7.205216801483573e-05,8.903317914315795e-05,8.378967057505429e-05,7.380728654060554e-05,6.632692879383739e-05,6.779427048671234e-05,4.888114786691026e-05,5.470897190755181e-05,0.00038199273199363606,0.00011691097028639523,6.515274679600003e-05,9.888200259595559e-05,4.991330966465882e-05,5.819263015516704e-05,4.153167204300188e-05,8.601595960037615e-05,9.741924751590096e-05,6.575786058569174e-05,3.648057919592299e-05,3.34844237612632e-05,0.0002102525413249077,7.552612162187817e-05,0.000174755332385417,6.198685419807834e-05,7.034482126847127e-05,0.0002437578015957918,7.488420622735622e-05,7.147301581497903e-05,5.167745204160924e-05,0.00011954987002397543,0.00012432703174890196,0.00043536247610758766,4.225497329701954e-05,0.0002952423615589413,2.0129828225026434e-05,9.021298989394616e-05
BergnerCaroline,6.487195175041086e-05,0.06145061034319675,0.00010370953985893608,0.00014997526492845515,0.000151954860298884,0.028163921350391342,0.00011449008554268589,0.0015181300663695454,0.00010455090635283925,0.0005472506518887077,0.00028932158811754256,0.001426144035768872,0.0001839059027977372,0.0007814215011537138,0.00025198704574322546,0.00018253476085733898,9.703144038284593e-05,0.00011031989529802517,0.00028276672576919664,9.423262932565156e-05,0.2704746639990929,0.00012667015670332654,0.21700802870880345,7.813709511153051e-05,0.00010762567817307324,0.3239927553099853,0.00017819168894874486,0.00014114272002469102,9.633303975901248e-05,9.467106420067982e-05,0.0002784029435722532,0.00011906061029846216,9.338391414974108e-05,7.041566461034146e-05,7.218353087091416e-05,0.00011966976740738083,9.844703335972914e-05,6.140378782537909e-05,0.0005587946794404925,0.00010774628356979692,2.8583730720738316e-05,9.887924453905269e-05,0.000212656031963533,0.0001101150530954356,6.685484286853588e-05,0.004001146282522214,0.001626247403327504,0.01825035949666157,8.67408366924462e-05,0.00017633398240718558,0.0001435241990525329,4.626684086941951e-05,0.0018760804539306427,0.00011417287917648823,7.296906741671934e-05,0.0010635496546070283,9.368306171029164e-05,0.0002800944037440452,0.00018094099397890815,7.16100624140777e-05,0.001452532999758724,0.00010119291599325683,5.828926049585022e-05,0.00010154881833582636,0.00011331161720339455,0.00014001651569170713,0.000131770401077233,0.00011607177451743491,0.00010430791706665404,0.00010661550703640201,7.687210625525395e-05,8.603713466475225e-05,0.0006007343764205602,0.00018385805003454973,0.0001024613597078433,0.0001555051004731871,7.849531796061678e-05,9.15156505886582e-05,6.531407803557792e-05,0.00013527153666789902,0.00015320472356212254,0.00010341298162278588,5.737056273387097e-05,5.265870982162917e-05,0.0003306500850015145,0.00011877487128927429,0.05395916983309057,9.748257253118406e-05,0.00011062658736615664,0.00038334156300579616,0.00011776537395609121,0.00011240082334138122,8.12696664808186e-05,0.00018800807084782016,0.00019552079302686862,0.0006846653972614322,6.645156545720705e-05,0.0004643078810384251,3.165683216825106e-05,0.00014187192501316203
BertuchFriedrichJohannJustin,7.364513111435814e-05,0.05801914995598462,0.00011773505274061261,0.00017025768073174595,0.00017250499342505777,0.29793418195868493,0.0001299735422409544,0.0084058480831172,0.00011869020429820906,0.000621259957860087,0.00032844897858334897,0.0016190134822249007,0.00020877704398893746,0.0008870996995659123,0.00028606537220089224,0.0002072204709978007,0.00011015381773471084,0.00012523938211391752,0.00032100764709793627,0.0001069764999307943,0.0623408817280345,0.0001438008268131642,0.0025777329328249637,8.870423132208739e-05,0.00012218080335894152,0.0851382987306667,0.00020229004896613309,0.00016023063653221564,0.00010936096652359804,0.00010747422803955835,0.00031605371395153044,0.00013516217748035016,0.000106013005867148,7.993856686607893e-05,8.194551654216454e-05,0.0001358537160258245,0.00011176085324966232,6.970793822755042e-05,0.0006343651812994846,0.0001223177192373012,3.244934890760316e-05,0.020159477094332506,0.00024141529480210743,0.0001250068373783205,7.589618526703189e-05,0.013115154913332714,0.0018461785102940117,0.0004036660516425256,9.847152920204639e-05,0.00020018110915264484,0.0001629341829882601,5.252389469003395e-05,0.0021297985844850376,0.00012961343739134528,8.283728779846214e-05,0.0012073824148457017,0.00010635260966701587,0.13748437367581715,0.00020541116562682399,8.129449312520062e-05,0.0016489712476468797,0.22502558127960345,6.617220718580706e-05,0.00011528211868240428,0.00012863569972166133,0.00015895212612014633,0.00014959082010759637,0.00013176913631180476,0.00011841435352822851,0.00012103401828772432,8.726816738898553e-05,9.76726596336642e-05,0.06626501250797252,0.00020872271969432274,0.00011631807069519442,0.00017653536242227778,8.911089965836035e-05,0.00010389208131964113,7.414704985368491e-05,0.0001535654436955496,0.00017392388620402575,0.00011739838844125021,6.512926620268795e-05,5.97801898121904e-05,0.00037536667551791333,0.00013483779558296117,0.000311993033392985,0.0001106659602757907,0.00012558755072854738,0.0004351840650295531,0.00013369177543934196,0.00012760173154934253,9.226044665076904e-05,0.00021343398270821348,0.00022196271346122752,0.0007772584543899273,7.54383692613252e-05,0.0005271001388714663,3.593805169706976e-05,0.00016105845804114465
BodeAugustTheodorHeinrich,4.036964762405304e-05,0.025031627660951957,6.453817815542162e-05,0.0006151542922477011,9.456111616048766e-05,0.12091731131421604,7.124688382412734e-05,0.006488210165394122,6.506175834632193e-05,0.0008548630948355136,0.007061702582522802,0.02585654078446848,0.0010435091296250375,0.0010005870080765495,0.00015681088618419312,0.0007044848790236253,0.001242170353971593,6.865178523128827e-05,0.00017596500137730795,5.864072126580447e-05,0.011266097452007209,7.882651057380102e-05,0.012251103520912287,4.86245119948873e-05,0.008484917617464902,0.2715219568759347,0.00011088822670346333,0.003025063034325343,5.994780124062775e-05,5.891355815344867e-05,0.00017324943101376317,7.409110954678768e-05,5.8112568009116394e-05,4.381948578439344e-05,4.491962438143081e-05,7.44701864385906e-05,6.126333398533039e-05,3.821141819240813e-05,0.3733158302054809,6.705023331576343e-05,1.778758162567102e-05,6.153229788325038e-05,0.0013908741503454937,0.000647169247785857,4.1603595633256626e-05,0.010356092545054232,0.009416175044752865,0.0002212754056652694,5.3978598106035934e-05,0.0037896387226136895,8.931473749344228e-05,2.8791735290510525e-05,0.009781787648731041,0.012697963141986594,4.5408461740170665e-05,0.0006618441965852694,0.005266103144703791,0.0053174063319960255,0.00011259911210592121,4.4562756445422534e-05,0.006027501438471231,6.297208963922233e-05,3.627325589859727e-05,6.319356674559005e-05,7.051352602758174e-05,8.713191521921658e-05,8.200037944340623e-05,7.223116477820029e-05,0.00046873052242524124,0.01459826476235524,4.7837312704619065e-05,5.3540686156051233e-05,0.0008844691388684148,0.0016463154636163983,6.376143887887236e-05,0.000500590397112188,4.884743314645272e-05,5.694995243189509e-05,0.0005512784733597241,0.00037350159472067027,0.0004991588785159931,6.435363073283975e-05,3.570155265977999e-05,3.276937879124264e-05,0.004364282131021832,0.01257219966994151,0.00017102351002235683,6.066315250866747e-05,6.884263891127609e-05,0.018168873270675626,7.328508732423213e-05,0.0006608407112806894,5.0573903047925214e-05,0.0006982736640790852,0.0014473149232782179,0.0004260655041514339,0.0010699734990835441,0.00028893759230040806,1.9699964700352773e-05,0.0009199904194687697
