sender,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Adelheid Louise Theresa Caroline Amelia,0.0006678238033430984,0.008509939850382628,3.102596291133205e-05,0.00012449628662574919,0.00015378533485909036,0.00044154453220152513,0.00016842182673741256,0.00016632809087524189,7.81085947580179e-05,0.0001245814241979411,0.00010904447013997051,0.00014489360539167543,0.00011822366975304944,0.001149410304049598,0.0002828766674426454,0.00015749050996542287,0.00017902626976514869,0.00013304169798969393,8.872907151438339e-05,4.795040001197963e-05,0.0005072551798275098,0.00010437896659207673,0.01760427625765502,0.0002328889027745949,0.0001015873349134851,0.0001042789152069042,0.0001412595353238032,0.0001391139370677205,0.0001058515411023744,0.00014444427516526774,0.00012632382654993268,0.00012511644120304883,0.000861944842703247,0.00015590304729435372,8.133409483503389e-05,0.0001359105390013204,0.0010620855135061486,0.00022389782108098202,0.00010748320320772047,0.00019116244960945525,0.00010619105650302112,0.000198758221986379,0.00013935966202504926,9.945482760840234e-05,0.00015082424803657243,0.0003512903039755762,0.0001942394677595314,5.695337026031839e-05,7.1189290070588e-05,0.00010470217017160518,9.627757043113423e-05,8.806414320507211e-05,0.002058445410177205,0.0006386227220869125,9.873977310944161e-05,0.000111076304086972,0.0001026811945331871,7.179679717371026e-05,0.00012980703899135332,0.0002577950683487796,0.00010203886257062612,0.005360454520455524,0.00174128662922162,0.00010856104180102966,0.0002254476200553928,0.0001585562890261305,0.011189460459381873,0.00011123733515672834,0.14833638779280228,0.00011387090321673395,0.00011597190589290183,0.0002428387364622288,0.017074887749999015,9.038188276472925e-05,0.0017688966730615853,0.0001503031489208004,0.2122712092794721,0.00017713502826309264,0.00013938904555990488,0.00012211745580710366,6.488893439764393e-05,8.193485960402703e-05,0.06927540715010065,0.00023542685235298036,0.0016240667475043928,0.0005987354864636537,2.419738693818355e-05,0.47886300493676837,0.0001655224637956333,0.00036083697148896475,0.00010856316195296482,0.00036543719317266984,0.0003753165417027529,0.00014671407959867538,0.00019356094873955823,0.00010269668156490097,0.003743820695756832,0.002564781113098456,0.00019248443176899687,0.001052663365261877
Adersbach Gerson,0.0011660999642630456,0.00016884598545788225,5.417502949283693e-05,0.0002173853562248416,0.00026852752565220315,0.000770989384689866,0.00029408458512029663,0.0002904286727346772,0.0001363869168783839,0.0002175340165741634,0.00019040464280662187,0.00025300150612087734,0.0002064326194783002,0.0020070073989070006,0.0004939363798421684,0.0002749972030393431,0.0003126012066809084,0.00023230666306689414,0.00015493153524037968,8.372711403885306e-05,0.0008857280080584549,0.00018225811749076248,0.07942188221687545,0.0004066517842629119,0.00017738359582150588,0.07824584761425686,0.0002466559866065062,0.0002429095162991944,0.00018482940811448192,0.00025221692198606013,0.0002205764587725667,0.0002184682200383303,0.0015050584379314035,0.0002722253039924149,0.00014201902448777152,0.00023731600143486983,0.0018545279056301207,0.0003909522839020036,0.00018767848464216585,0.00033379242330405285,0.00018542224247375305,0.00034705554727918066,0.000243338581364748,0.0001736599838750624,0.0002633571151028446,0.0006133947440346313,0.0003391652637701736,9.944737323341116e-05,0.00012430498612307683,0.00018282246946601567,0.00016811211411911812,0.0001537704911538349,0.0035942910498682435,0.0011151113956633326,0.00017241141348642075,0.0001939524670697376,0.00017929360510398118,0.00012536576593909137,0.0002266585628891437,0.00045014091813414843,0.0001781720169323141,0.0004901508859725953,0.0030404940134544163,0.00018956051930287628,0.0003936584176451084,0.0002768581803186525,0.0017984483992428129,0.00019423364651220148,0.003755240449595313,0.00019883217026245344,0.00020250077137150559,0.000424025379887224,0.0004337425817573616,0.0001578175406961806,0.04212058654028136,0.03929432931313774,0.39756089090834495,0.00030929887358508215,0.00024338988851908046,0.00021323163406231297,0.00011330381412488428,0.0001430680313847201,0.20441902368241002,0.00041108334674667117,0.002835814127536735,0.0010454635277646533,4.2251521887395935e-05,0.10079534883749136,0.00028902195182410454,0.0006300643634618892,0.00018956422134087407,0.0006380968988613723,0.0006553474189988723,0.0002561802710841768,0.00033798048868282016,0.00017932064730738528,0.006537157192772901,0.004478413541648059,0.000336100761732963,0.001838075711689257
Aretin Johann Christoph + Babo Joseph Marius Franz von,0.0005901921772781727,8.545715018955879e-05,2.741932903727807e-05,0.00011002413226194822,0.00013590845543328054,0.00039021689182199985,0.03965885498471197,0.00014699317036135598,6.902880875704482e-05,0.00011009937295994158,9.63685225502362e-05,0.00012805035102329742,0.00010448067994593588,0.0010157963321119905,0.00024999347945283724,0.0001391829199735626,0.00015821524092695332,0.00011757617654874504,7.841470106755187e-05,4.237637359249728e-05,0.0004482889611292004,9.224536359236983e-05,0.0006873772874395527,0.00020581657602558896,8.977824701117148e-05,9.215694274759152e-05,0.00012483872586857523,0.00012294254412126014,9.354675769076259e-05,0.00012765325349051572,0.00011163922858154211,0.0001105721965543458,0.0007617474861814217,0.0001377799929657261,7.187935841360891e-05,0.00012011152721225964,0.0009386226704317693,0.00019787066865559807,9.498874613998494e-05,0.00016894064240305327,9.384680589587908e-05,0.00017565343912399146,0.00012315970461606652,8.789363444847461e-05,0.00013329158213504965,0.00031045432690805124,0.00017165997051389167,5.033278752419392e-05,6.291384328519074e-05,9.25309961549576e-05,8.50857196634109e-05,7.782706779565921e-05,0.0018191600424529867,0.0005643855953037188,8.726170193947813e-05,9.816416459690404e-05,9.0744950185507e-05,6.345073031753192e-05,0.00011471753265581052,0.0002278275076729697,9.017728653287666e-05,0.0002480775469106658,0.0015388695967725105,9.594129066288929e-05,0.019954246043317674,0.00014012480683232338,0.0009102394382992416,9.830647650192028e-05,0.06116563773364898,0.00010063390367592056,0.0001024906738864273,0.000214609784620826,0.00021952790202460484,7.98753801652245e-05,0.0015632700925426245,0.00013283105853559773,0.023420397331503043,0.00015654384806214423,0.00012318567244219933,0.00010792183022778202,5.734587668437854e-05,7.241028687897524e-05,0.7948867497211675,0.00020805949995251585,0.0014352760188487276,0.0005291350781459706,2.1384545459443533e-05,0.03126002575049752,0.00014628119394211454,0.0003188912356514536,9.594316435634028e-05,0.00032295670147923175,0.00033168761851134614,0.00012965920298474217,0.0001710603263926161,9.0758636916829e-05,0.003308617747236281,0.002266636411885776,0.00017010894985953654,0.0009302958061315052
Aretin Johann Christoph + Babo Joseph Marius Franz von + Scherer Joseph,0.00011463267119205056,1.6598290820910325e-05,5.325639767596401e-06,2.1369920955136728e-05,2.63974174577371e-05,7.579159191859658e-05,2.8909786966720953e-05,2.8550394963246783e-05,1.340742395725737e-05,2.1384534910599688e-05,1.8717600103937348e-05,2.487114257016293e-05,2.029321954994215e-05,0.00019729750989600463,4.855608297357483e-05,2.703341473358589e-05,3.07300509715198e-05,2.283674996928707e-05,1.5230440168750187e-05,8.230737524754872e-06,8.707089497041709e-05,1.791676142242619e-05,0.0001335088766159694,0.16503109893271814,1.7437574854503127e-05,1.7899587494989976e-05,2.424735055033095e-05,2.387905631138869e-05,1.816953041448625e-05,2.4794014555494105e-05,2.1683620140716128e-05,2.1476371152616903e-05,0.00014795375553351212,2.676092506566545e-05,1.3961084500513788e-05,2.3329189601929354e-05,0.0001823081160601292,3.843230081963208e-05,1.844960696264512e-05,3.2813239241622904e-05,1.8227808596683626e-05,3.411706170643287e-05,0.019208935572832698,1.707152769132256e-05,2.5889143732844995e-05,6.029935696661457e-05,3.3341412703071755e-05,9.776107011531636e-06,1.2219717895956245e-05,1.7972239663055992e-05,1.6526148093483878e-05,1.5116304512210244e-05,0.00035333435958766023,0.00010962027431530589,1.6948787820635966e-05,1.906636657736568e-05,1.7625337029927026e-05,1.2323997140946365e-05,2.2281517287374586e-05,4.425079962262962e-05,1.7515080060511142e-05,4.8183952549641116e-05,0.0002988937151078547,1.863461911172756e-05,3.869832547367715e-05,2.721635685097954e-05,0.00017679525797478362,1.9094007732979896e-05,0.0003691563818695416,1.9546062511460755e-05,1.9906701871341478e-05,4.16835292336325e-05,4.263877221538685e-05,1.551414699030246e-05,0.00030363300870784454,2.5799696511440593e-05,0.03524495261056272,3.0405417341863787e-05,2.392627897875821e-05,2.0961592097000462e-05,1.1138255095986956e-05,1.40642064166285e-05,0.4306545811961007,4.041127138694333e-05,0.00027877279684948206,0.000102773587594839,4.1535073872869315e-06,0.002234613109908481,2.8412108212073994e-05,6.19380526713256e-05,1.8634983038078255e-05,0.1995868767963703,6.442348640850348e-05,2.5183628917819244e-05,3.3224944186488826e-05,1.7627995395509852e-05,0.0006426308326691993,0.14240935352337408,3.3040158895366715e-05,0.00018069079422134264
Bassewitz Adelheid Henriette von,9.502527458009262e-05,1.3759228729606824e-05,4.4147133270816e-06,1.7714693249314813e-05,2.1882259359762265e-05,6.282778511599766e-05,2.396489950026698e-05,2.3666979863073784e-05,1.1114145118503047e-05,0.04553273377865811,0.0014456398412553489,2.0617046844270497e-05,1.6822156718451163e-05,0.00016355066890508366,4.0250786002949565e-05,2.2409472196567493e-05,2.5473815632688618e-05,1.8930627837440755e-05,1.2625342705191386e-05,6.822907336566906e-06,0.008825063770704482,1.4852180936268073e-05,0.04957176487186021,3.313798014091269e-05,1.445495704958315e-05,1.4837944530945975e-05,2.009995160999739e-05,1.979465242419092e-05,1.5061714942813197e-05,2.055311122543244e-05,1.797473561712541e-05,1.7802935625065715e-05,0.04874685618837507,2.2183590646001537e-05,1.1573104546037984e-05,1.9338837912451192e-05,0.00015112514265474547,3.185863070408426e-05,1.5293885672287457e-05,2.7200684031636845e-05,1.5110024907221652e-05,2.8281493598699012e-05,1.9829616858558878e-05,1.4151520587457772e-05,2.1460923541906278e-05,4.998542643358492e-05,2.763851582669297e-05,8.103948406984207e-06,1.0129590772678762e-05,1.4898169876369062e-05,1.3699425687320827e-05,1.2530729433169518e-05,0.05606772638221948,9.087022537323009e-05,0.05292863042841527,1.58051513623327e-05,1.4610603359573774e-05,1.0216033527481096e-05,1.8470365178410664e-05,3.668190177200232e-05,1.4519205342898756e-05,3.994230679413253e-05,0.01250180964404444,1.544725233542451e-05,3.20791530519702e-05,2.256112289751357e-05,0.00014655523385096828,1.582806462409864e-05,0.0003060138631104267,1.6202797490424492e-05,1.6501751129388736e-05,3.4553751297107784e-05,3.534560431499513e-05,1.286052276631972e-05,0.00025169796467277504,2.138677586056908e-05,0.17582533004430143,2.520470910768831e-05,1.983379786925932e-05,1.7376207183694237e-05,9.233107261943264e-06,1.1658587927801013e-05,0.0042557185814384585,3.349910736391555e-05,0.06515075629561339,0.002945442236148349,3.4430688550050495e-06,0.4550903677086735,2.3552346431222855e-05,5.13438306971696e-05,1.5447554013829475e-05,5.199840054992879e-05,5.340414230702705e-05,2.0876083824564035e-05,2.7541968719719552e-05,1.4612807023824244e-05,0.016287906474693473,0.00036494510721236484,2.7388790111521344e-05,0.0015799082578033218
Bayreuther Postamt  + Osmund Emanuel,0.00018148196646019192,2.627776555088993e-05,8.431344813231734e-06,3.383202395711094e-05,4.179136000132698e-05,0.00011999028723225944,4.57688452524657e-05,4.519986987361154e-05,2.122610979597665e-05,3.385516020044891e-05,2.963297320871999e-05,3.9375021229183127e-05,3.212743235793416e-05,0.0671328770659857,7.687209353156634e-05,4.279824604074405e-05,4.865061610917159e-05,3.6154250344934385e-05,2.411223783879477e-05,1.303058208342433e-05,0.0001378472391540671,2.8365116696028773e-05,0.00021136603741497292,6.328785501611712e-05,2.7606487242979633e-05,2.833792760507803e-05,3.8387458074246066e-05,3.780438902399929e-05,2.8765290688854657e-05,3.925291516966525e-05,3.432866025184171e-05,3.4000551750870646e-05,0.018458013702602617,4.2366851044360886e-05,2.2102643537158122e-05,3.6933861532264495e-05,0.0002886230867709164,6.084451715036154e-05,2.920869693762032e-05,5.194863839054833e-05,2.8857554430045726e-05,5.40127991779408e-05,3.7871165093137786e-05,2.7026975675288004e-05,4.098668089776734e-05,9.546358612068328e-05,5.278482197956399e-05,1.5477150679020955e-05,1.9345779962080533e-05,2.845294767912067e-05,2.616355200336456e-05,2.393154272651399e-05,0.0005593851537184447,0.00017354653555370496,2.683265870732732e-05,3.018512666353322e-05,2.7903744983451234e-05,1.951087078867469e-05,3.5275227655254345e-05,7.00561371329856e-05,2.772919045708926e-05,7.628295118311658e-05,0.000473196852313492,2.9501600943828595e-05,6.126567698935812e-05,4.308787285365647e-05,0.4012030354843081,3.022888706119242e-05,0.0005844339612462928,3.094456252520553e-05,3.151551266998971e-05,6.599173495352625e-05,6.750403832195806e-05,2.4561391394566118e-05,0.0004806999167820621,4.0845071551443406e-05,0.4567215721309917,4.81366688297753e-05,3.787915010604158e-05,3.318557366186428e-05,1.7633650308718827e-05,2.226590212589228e-05,0.013590274188674123,6.397754603634803e-05,0.00044134220062875076,0.0001627071286303027,6.57567062263519e-06,0.009612345204166671,4.498093969186445e-05,9.805790513836178e-05,2.950217709780882e-05,9.930802122157469e-05,0.00010199274672792798,3.986973740629829e-05,5.260043357440541e-05,2.790795360398256e-05,0.019241167124640208,0.0006969825238558227,5.230788872085685e-05,0.006360655638432969
Bergner Caroline,0.0002911279709985958,4.215400965960689e-05,1.352531249326145e-05,5.427232623451911e-05,6.704045630410859e-05,0.00019248484873084532,7.342101980265794e-05,7.250828642851135e-05,3.405029379848371e-05,5.4309440707713844e-05,4.753633395747191e-05,6.31642375386822e-05,5.153787110749446e-05,0.07845851977881478,0.00012331592528323283,6.865567293086141e-05,7.80438708702305e-05,5.7997572713125744e-05,3.868013453437903e-05,2.0903272081912887e-05,0.0002211304397094712,4.550247626209526e-05,0.0003390671084894377,0.009846205900460408,4.4285505464865005e-05,4.545886033134367e-05,6.158001810830227e-05,6.0644676085833826e-05,4.6144423475089336e-05,6.296835863100091e-05,5.506901540220535e-05,5.454267350709451e-05,0.0003757521848019246,6.796364191287309e-05,3.545640314675299e-05,5.924820178422415e-05,0.0004630005684526222,9.760496411779559e-05,4.685572258678131e-05,8.333446008861425e-05,4.629243022360332e-05,8.6645725409184e-05,6.075179626917072e-05,4.335587025006649e-05,6.57496140276355e-05,0.00015313984454571377,8.46758409233092e-05,2.482798463070029e-05,3.1033924624027035e-05,4.5643372111953525e-05,4.1970791684839646e-05,3.8390268811443926e-05,0.0008973490203199344,0.00027839818883970647,4.304415275153806e-05,4.8422082101571396e-05,4.476235748787913e-05,3.1298758416134843e-05,5.6587470667728234e-05,0.00011238197082242432,4.448234231017536e-05,0.00012237084065648478,0.0007590883115494947,4.7325590478826e-05,9.828057620082901e-05,6.912028364692659e-05,0.010193681191584257,4.849228122950188e-05,0.05940562001069099,4.9640346515522e-05,5.0556247750418707e-05,0.00010586197777348512,0.00010828796984186216,3.9400653304971036e-05,0.0007711245043327906,6.552244852753736e-05,0.4890421221055986,7.721941193599415e-05,6.0764605589294473e-05,5.323530990459145e-05,2.8287377174757147e-05,3.5718297717400015e-05,0.002311750691877717,0.00010263087584031,0.0007079880270819473,0.0002610099347559024,1.0548495168211501e-05,0.21031346631101985,7.215708514473879e-05,0.00015730157392561598,4.7326514727898874e-05,0.00015930697295185104,0.00016361372973103908,6.395784651081835e-05,8.438005052982535e-05,4.4769108831717257e-05,0.0990788776677718,0.030352122846890674,8.391075877979158e-05,0.00045889312141783367
Bornträger Johann Friedrich Wilhelm,0.000754051354399631,0.00010918321578023508,3.5031948902880374e-05,0.00014057090070453983,0.00017364166933972204,0.0004985555334619568,0.00019016798431870143,0.0001878039111084901,8.819375915128346e-05,0.00014066703100313092,0.00012312398867368797,0.00016360186450752634,0.0001334883809967791,0.0012978189639104721,0.00031940091554896966,0.0001778252463449616,0.00020214164351995933,0.000150219671803485,0.0001001855223115924,5.414162222435999e-05,0.0005727505570487314,0.00011785608829093059,0.0008782186456074338,0.00026295886981375904,0.00011470400889859805,0.00011774311854932925,0.00015949857342544078,0.000157075941493339,0.00011951879752409318,0.0001630945180126885,0.00014263440749802557,0.00014127112791508398,0.000973236762158722,0.00017603281491142142,9.183572682226876e-05,0.00015345892958307445,0.0011992190394209245,0.0002528068846723977,0.00012136113529986523,0.0002158448131330008,0.00011990215020846233,0.00022442133050159184,0.00015735339377335057,0.0001122961581846596,0.00017029825522684198,0.00039664793044843285,0.00021931912730383768,6.43070309375497e-05,8.038105309776815e-05,0.00011822102301723146,0.00010870866240238646,9.943474030935639e-05,0.07804340408910951,0.0007210799107928983,0.00011148877783865854,0.00012541816736570514,0.0001159391046283853,8.106699982746476e-05,0.00014656736263674123,0.00029108085017759286,0.00011521383655031045,0.00031695304927086123,0.05244556867033625,0.00012257814141291543,0.00025455678937757824,0.00017902863583212018,0.0011629555722728598,0.00012559999031906853,0.12862693298362987,0.0001285735973582453,0.00013094587565325494,0.0002741933983385784,0.00028047696703397974,0.00010205173995111246,0.0019972916889723705,0.00016970987324336473,0.4085186555312657,0.000200006210178136,0.00015738657122845776,0.05061733687910122,7.326721303306755e-05,9.251406066641616e-05,0.005987671793491407,0.0002658245123790576,0.0018337617264623464,0.0006760425463048235,2.732168620275312e-05,0.1156581430106409,0.00018689426370227484,0.0004074272371045259,0.0001225805353129685,0.00041262142661045807,0.00042377636913033085,0.00016565739327808836,0.00021855299979619958,0.00011595659130253653,0.004227212405626784,0.12909456840618333,0.0002173374859501485,0.0011885803296154626
Brockhaus Friedrich Arnold,0.0005910521755919466,8.558167404448667e-05,2.7459283102487168e-05,0.00011018445388575571,0.00013610649438906483,0.01348898996752064,0.0038921320755135663,0.00014720736140541563,6.912939406030428e-05,0.00011025980422070445,9.650894590738114e-05,0.0001282369395451346,0.0016580178847394125,0.005811033551267893,0.00025035775735935816,0.00013938573031414592,0.0001584457842070049,0.00011774750263110392,0.0011958202951072652,4.243812230967186e-05,0.003500790476466962,0.001059028305990988,0.0028164489502049547,0.007198592651711863,8.990906735074167e-05,9.229122920277801e-05,0.00012502063457200092,0.000123121689804151,9.368306931428174e-05,0.001294685626460327,0.00011180190364235693,0.00011073331678983511,0.005939772606714038,0.00013798075903173656,7.198409739425064e-05,0.00012028654767990413,0.009474392186168,0.0035491344857322728,9.512715895644184e-05,0.000169186814197916,9.39835547345298e-05,0.00017590939246812397,0.00012333916673429242,8.80217086255431e-05,0.0006421271897887281,0.2662689788706048,0.0001719101047767097,5.040612992699901e-05,6.30055181687648e-05,0.00232724849183579,8.520970228848436e-05,7.79404734788367e-05,0.014875130377179984,0.0005652079895660724,8.738885529632385e-05,0.004567472532820917,9.087717915625165e-05,6.354318752584746e-05,0.0001148846932662735,0.0006229448905945229,0.0012746649007906832,0.00024843903301678845,0.04748421430923473,9.608109147924691e-05,0.00019953063315311006,0.00014032898964299605,0.0009115657933615502,0.003150298014991094,0.005594207832979983,0.000293867201503038,0.00010264001813413721,0.00021492250318945304,0.00021984778702619566,7.999177054601695e-05,0.001921924440998377,0.0004534325093055086,0.22975921813639225,0.0001567719558726984,0.00012336517239943355,0.012191185677245833,5.7429438207470705e-05,7.251579950183476e-05,0.06910294789614262,0.0007990225533040558,0.012358746407730445,0.001688426062158845,0.0004162011100946328,0.17268309312348018,0.0001464943475299971,0.00031935590789804674,9.608296790294965e-05,0.00032342729771785866,0.0022904898050422275,0.0001298481358446225,0.00017130958688422356,9.089088583118916e-05,0.020029607975546388,0.05792000793419709,0.00017035682405317924,0.0009316513863228148
Carl August ,0.0015227039768388314,0.00022048062894202466,7.074224799092381e-05,0.00028386378232957664,0.00035064569396476306,0.0010067649756851872,0.00038401833548865375,0.00037924441172640133,0.00017809528092280704,0.00028405790437060905,0.000248632120483299,0.0003303716759479901,0.0002695615987155265,0.002620768580326675,0.0006449866331711716,0.00035909385774846427,0.0004081975089318003,0.00030334816099721946,0.00020231101284473983,0.00010933162972590632,0.001156591717349465,0.00023799431336895202,0.0017734429046482804,0.0005310096115791174,0.0002316291184813465,0.0002377661863669976,0.0003220856386477938,0.0003171934635248337,0.0002413519281346985,0.0003293471588235035,0.0002880307531629841,0.00028527779578100165,0.001965319045577142,0.00035547428667265116,0.00018544973844585358,0.00030988940076054334,0.002421659466258732,0.0005105090607116403,0.0002450722782693151,0.0004358691930198004,0.00024212605665209302,0.00045318830136485314,0.000317753740603698,0.00022676679201464654,0.00034389412467681333,0.0008009764554824018,0.00044288509714072473,0.00012985928766783822,0.00016231858546546327,0.0002387312493293249,0.00021952233304950195,0.00020079491087917275,0.004693458059583646,0.0014561226385663706,0.0002251363974049105,0.0002532649017886186,0.00023412322603589249,0.00016370376143141617,0.00029597282023243355,0.0005877981195325148,0.000232658645964104,0.0006400435007244258,0.05493849274088021,0.0002475298563074238,0.0005140427548534521,0.0003615239388657397,0.0023484303349560155,0.00025363206847103564,0.004903627254802786,0.0002596368627568512,0.00026442735556997756,0.0005536962113217465,0.0005663850222169215,0.0002060795851107581,0.055001446357306194,0.1532472696860036,0.21332951262300567,0.0004038852922334328,0.00031782073795412827,0.0002784398140169088,0.00014795315465771734,0.0001868195412266336,0.3688686027586708,0.0005367963863192181,0.003703031971452715,0.0013651758169577373,5.517242292867257e-05,0.08065129860901539,0.0003774075027216189,0.0008227437966814196,0.00024753469046243147,0.0008332327547225264,0.0008557586413711126,0.00033452253625104413,0.00044133800701769854,0.0002341585379919236,0.008536279529814339,0.005847953279122215,0.0004388834424094853,0.0024001760412443863
