sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
AdelheidLouiseTheresaCarolineAmelia,7.944502478691033e-05,0.04300323925703219,0.0001270072310515932,0.0001836662581928422,0.00018609055712370915,0.049227470522509004,0.00014020955803501864,0.01182694044220075,0.0001280376051988084,0.0006701870443365511,0.00035431585021242787,0.001746518259652096,0.0002252191989295714,0.09289435258067857,0.0003085943393852654,0.0002235400386376104,0.00011882893882988469,0.00013510256096750553,0.00034628847955857925,0.00011540139259745188,0.12023076764371717,0.00015512580502857854,0.0027807412878974153,9.569009857751648e-05,0.00013180310503165468,0.12346177812750332,0.00021822132313546107,0.00017284953802522985,0.00011797364692984889,0.00011593831908993784,0.00034094440133299004,0.00014580682222569463,0.00011436201893336592,8.623409762478605e-05,8.839910384244237e-05,0.0001465528226204933,0.000120562535802107,7.51977598048224e-05,0.0006843243645534739,0.00013195080366679068,3.500488476665947e-05,0.00012109184048507148,0.00026042786249793807,0.00013485170226165458,8.18733598343168e-05,0.41818130775778856,0.046846547909020146,0.0004354566146209538,0.025025656798327415,0.04308044621687302,0.00017576600123145997,5.6660393598529084e-05,0.0022975300440812446,0.00013982109326796352,8.936110619736798e-05,0.0013024693475763988,0.00011472836809847687,0.00034301583731800693,0.0002215882421254808,8.769680932935036e-05,0.001778835337244284,0.00012392526357576575,7.138357363934505e-05,0.00012436111712516932,0.00013876635424818338,0.0001714703390226584,0.0001613717869941471,0.00014214656341891052,0.00012774002990867056,0.00013056600534794798,9.414093798760994e-05,0.00010536483197443943,0.0007356855487977244,0.0002251605963462521,0.00012547865513601707,0.00019043833626456418,9.612879392052688e-05,0.00011207406179759541,7.998647194143991e-05,0.0001656594305176986,0.00018762119425191304,0.00012664405288620735,7.025849624452692e-05,6.448815542226307e-05,0.0004049285321305745,0.00014545689375807498,0.0003365639234555806,0.00011938141495770013,0.0001354781494660356,0.00046945681690015634,0.00014422061924354197,0.0001376509563143921,9.9526382261987e-05,0.00023024289304737416,0.00023944330067543498,0.0008384711418186951,8.137948870704931e-05,0.0005686117054065953,3.8768338988133454e-05,0.00017374255429529231
AdersbachGerson,0.00013485452789590454,0.016144360942602225,0.00021558933650997692,0.00031176560905402285,0.2235117812087381,0.17014455187825886,0.00023799972126663883,0.0031558587010378733,0.0002173383525062781,0.0011376138116687734,0.0006014359846270148,0.11456259019130526,0.00038229994673933765,0.0016244035331513778,0.0005238256777031709,0.00037944964404207837,0.0002017070356420318,0.00022933081241611602,0.0005878098666583468,0.00019588892267327268,0.04146693781379479,0.00026331941185381644,0.004720189270327237,0.0001624298450733155,0.0002237301272412299,0.1899186023413449,0.000370421352214128,0.000293404689720207,0.00020025521426363967,0.00019680033240413009,0.000578738522693339,0.00024750083756645564,0.00019412463038242492,0.00014637868834343817,0.0001500536936965971,0.00024876714129435507,0.00020464974227316288,0.0001276449774483522,0.001161611307404724,0.000223980839350208,5.941929305101282e-05,0.00020554821430870845,0.00044206514558084036,0.00022890499050421095,0.0001389765226623413,0.008317503611544555,0.003380610878819169,0.07513780244327325,0.00018031513259320888,0.000366559588664991,0.00029835526113555804,9.617859204676993e-05,0.07829859235945627,0.00023734031895786083,0.00015168665150303254,0.002210885948332436,0.0001947464924038493,0.0005822546965830863,0.00037613655303483045,0.00014886157883149467,0.003019496818737909,0.000210357828683552,0.0001211705597484123,0.00021109767142127192,0.00023554994463363663,0.0002910635584679335,0.00027392169879969275,0.0002412877049670304,0.0002168332311928584,0.00022163020349831567,0.00015980021130396194,0.0001788522907615161,0.0012487947184743392,0.00038220047136340037,0.000212994644343904,0.00032326092161369304,0.0001631745116340029,0.00019024092111028402,0.00013577361125701517,0.00028119979009244973,0.00031847894367170384,0.00021497285712481,0.00011926078904431211,0.00010946588257317624,0.0006873488450474675,0.00024690684897592073,0.0005713028490598928,0.0002026448402130561,0.00022996835781040917,0.0007968828454694576,0.03744412506859778,0.00023365660440017406,0.00016894177236557396,0.0003908274523995955,0.00040644475040485024,0.0014232688615502865,0.00013813819757039602,0.0009651940230916217,6.580759544824922e-05,0.0002949205466014357
AretinJohannChristophANDBaboJosephMariusFranzvon,7.124666959600432e-05,0.008529427731222287,0.00011390067850450425,0.00016471275889835062,0.0001668868815119782,0.2274638097361183,0.00012574058705773947,0.0016673108843485054,0.00011482472285622808,0.0006010268741616178,0.09858391604733176,0.4928971054224144,0.0002019776303909691,0.0008582087944896735,0.0002767488460901303,0.0002004717515918754,0.00010656634781051164,0.00012116060821485012,0.0003105531271994497,0.00010349250832714346,0.04156114543715085,0.00013911754708781121,0.0024937817856082725,8.581532770929032e-05,0.00011820164070821684,0.0610317887077314,0.0001957019026671229,0.00015501227368909575,0.00010579931803648316,0.00010397402651547678,0.00030576053286575784,0.00013076023974844321,0.0001025603931666215,7.733514185264632e-05,7.927672954899846e-05,0.00013142925638969,0.0001081210456789288,6.743770250615635e-05,0.0006137052890172951,0.00011833409753462658,3.139254428966218e-05,0.00010859572859285498,0.00023355292446256964,0.00012093563695479973,7.342441181781145e-05,0.004394323579054882,0.0017860524972643644,0.0003905195275413327,9.526452597086448e-05,0.0001936616464300047,0.00015762777152549917,5.081330583912274e-05,0.002060435683374853,0.00012539221003875933,8.013945775779192e-05,0.001168060599321363,0.00010288893681039832,0.0003076182063400833,0.000198721371356092,7.864690854677005e-05,0.021248500632957527,0.0001111367556654734,6.401712252347896e-05,0.00011152763116598328,0.00012444631515542526,0.00015377540157650077,0.0001447189729114807,0.00012747770254057793,0.00011455785594501179,0.0001170922039290254,8.442603325068491e-05,9.44916738443546e-05,0.02031299902645743,0.0002019250753203095,0.00011252984447806177,0.00017078599016926365,8.620875174359077e-05,0.00010050854251216844,7.173224193519029e-05,0.00014856415166606332,0.00016825956404354042,0.00011357497862810376,6.300814785661288e-05,5.783327923365153e-05,0.000363141800459926,0.00013044642226293538,0.00030183209982867964,0.00010706181098449548,0.00012149743773602663,0.00042101106787983836,0.00012933772549931618,0.00012344602107445483,8.925572485029601e-05,0.00020648290275915703,0.00021473387132746208,0.0007519448394304456,7.298150588226906e-05,0.0005099336353936051,3.476762762781004e-05,0.00015581313485450726
AretinJohannChristophANDBaboJosephMariusFranzvonANDSchererJoseph,1.3737903152056184e-05,0.005434228195737882,2.1962521183391875e-05,3.176019233578919e-05,3.2179410329782066e-05,0.3129193930020868,2.424551234572783e-05,0.00032149370045548767,2.214069697580672e-05,0.00011589101688310252,0.0038508390348106045,0.3906276760904399,3.894566778948145e-05,0.00016548126908662173,5.3363179873361184e-05,3.865530169632945e-05,2.054830315284306e-05,2.3362393090626402e-05,0.015218159523262475,1.9955600232595307e-05,0.019382598859787933,2.682488036958221e-05,0.0004808552153709304,1.654705641284193e-05,2.2791839978927152e-05,0.01555782210461059,3.773557137139276e-05,2.9889728395673023e-05,2.0400403176463845e-05,2.004844738285211e-05,5.8957262312040014e-05,0.003814782946459014,1.977586821319812e-05,1.4911892654723685e-05,1.5286272873265232e-05,2.5342411173273745e-05,2.08480826213871e-05,1.3003451685251966e-05,0.00011833569024673513,2.2817380527887038e-05,6.0531634052997176e-06,2.093961178248938e-05,4.5034069316360245e-05,2.3319013752334617e-05,1.4157819085011002e-05,0.0008473208935963863,0.0003443896587873912,7.530063480539788e-05,1.83690667793358e-05,0.022774759382944192,3.0394053105510936e-05,9.797907444825016e-06,0.00039729668810837854,2.4178337700592985e-05,1.545262558345024e-05,0.00022522741736842564,1.983921855343189e-05,5.9315462048577e-05,3.831779042324372e-05,1.5164829723981095e-05,0.00030760224006555524,2.142957691388891e-05,1.2343889676356053e-05,2.1504946188003266e-05,2.399594865177212e-05,2.9651232626107092e-05,2.7904956756525543e-05,2.4580465886749343e-05,2.2089239247304224e-05,2.2577916505559407e-05,1.6279170309109163e-05,0.18570712731813946,0.00012721724043587526,3.8935534032002456e-05,2.169819465136453e-05,3.293124304584962e-05,1.6622917099545724e-05,1.9380226904864734e-05,1.3831532030526993e-05,2.8646390617677753e-05,3.244409329368835e-05,2.1899719183186137e-05,1.2149337477146146e-05,1.1151510570008237e-05,7.002161523437102e-05,2.515289943715397e-05,5.8199775219538136e-05,2.0643839198783122e-05,0.015181705485945069,8.118006510723051e-05,2.493911865483859e-05,2.380307025779429e-05,1.72104395996737e-05,3.981438201596751e-05,4.140534770944873e-05,0.00014499127381475857,1.407241721454528e-05,0.003887895800950976,6.703952674363239e-06,3.004415179807277e-05
BassewitzAdelheidHenriettevon,1.1191285324939355e-05,0.19268458495046625,1.789129230988758e-05,2.5872752957322298e-05,2.6214259818463683e-05,0.04058450187268502,1.9751081624837915e-05,0.05102942111230477,1.8036439360994372e-05,9.440810742227746e-05,4.991187032179119e-05,0.00024602905243480475,3.1726244942784596e-05,0.00013480573256219707,0.0017564909173176497,3.1489704492529224e-05,0.0027648812416492096,1.903166764656215e-05,4.878106829061017e-05,1.6256397614797138e-05,0.00035416063376445526,2.1852307932337313e-05,0.01580889611400423,1.3479701199980056e-05,1.8566878908762472e-05,0.20584131800753946,3.0740466098981155e-05,2.4349020011169073e-05,1.66187467013432e-05,1.6332033535259702e-05,4.802825709341083e-05,0.013724697625495578,1.6109982817077414e-05,0.003438187167151418,1.2452631190225475e-05,2.0644646502664304e-05,1.6983439067186285e-05,1.059298034117653e-05,9.639960764147915e-05,1.8587684963922567e-05,4.931078494104207e-06,1.7058001316323605e-05,3.668602940959377e-05,1.8996329607950497e-05,1.1533360746943046e-05,0.3266391815795796,0.02913604069824887,6.134203159891517e-05,1.496396249158614e-05,3.041998670232936e-05,2.4759857215489335e-05,7.981653137944311e-06,0.034584044310976975,1.9696359254765513e-05,1.2588146823408458e-05,0.025878773013774524,1.616158979997291e-05,4.832005675239326e-05,3.121475824231341e-05,1.235370015836749e-05,0.0002505815041103182,1.745714080100856e-05,1.0055682432656949e-05,1.7518538748134216e-05,1.9547779965560597e-05,2.415473459683319e-05,2.2732168773196663e-05,2.0023944274012255e-05,1.7994520436725465e-05,1.8392610783440734e-05,1.3261473586327754e-05,1.4842564414864771e-05,0.00010363477018370158,3.171798969668875e-05,1.767596442424683e-05,2.6826724060568688e-05,1.354149946573074e-05,1.5787682192383573e-05,1.1267558063364074e-05,2.333616181331967e-05,2.64298780636165e-05,1.784013202032227e-05,9.897194696366082e-06,9.084336613215984e-06,5.7041592616241315e-05,0.004142703282022545,4.7411186635982375e-05,1.6817056585609305e-05,1.908457615861926e-05,6.613158218226275e-05,2.0316112985338865e-05,1.939065575845779e-05,1.4020111948362035e-05,0.035758280072827615,0.003459769486627626,0.00011811400160034663,1.146378996244364e-05,8.009936243803708e-05,5.4612298800825335e-06,0.009642971857713553
BayreutherPostamtANDOsmundEmanuel,2.096912235393775e-05,0.002510357532769509,3.352293205142916e-05,4.847780274052087e-05,4.911768448315009e-05,0.07273080313508225,3.700762112559955e-05,0.0004907183189642975,3.379489422428066e-05,0.00017689256401405914,9.351992066176594e-05,0.0004609848782634576,5.9445496448358494e-05,0.2952511211520869,8.145195344401733e-05,5.900229037335949e-05,3.136431216675743e-05,3.5659654444776913e-05,9.140113578036589e-05,3.0459628248356734e-05,0.0006635911288764543,0.05788379479249845,0.0007339629442745756,2.5256929436604737e-05,3.4788779328231126e-05,0.4980583627617895,5.7598441656218284e-05,4.562278281609711e-05,3.113856208928829e-05,3.060134734714496e-05,8.99905926974986e-05,3.8484991394869545e-05,3.0185290697425922e-05,2.2761064635900105e-05,2.3332507346086678e-05,3.868189451871622e-05,3.18218865349504e-05,1.984807771561232e-05,0.00018062403993946279,3.4827763654310506e-05,9.239366639086437e-06,3.19615938947173e-05,6.87386494968217e-05,3.559344152696804e-05,2.1610069409615576e-05,0.0012933251380660069,0.0005256660214162897,0.00011493662512297159,2.803799128296333e-05,5.699795909454757e-05,0.0173992475993614,1.4955231358749438e-05,0.0006064217203709084,3.690508776680933e-05,2.35864231216726e-05,0.04661806043987106,3.028198675218932e-05,9.053733800640463e-05,5.848712331308592e-05,2.314714017409541e-05,0.00046951481145902186,3.2709461940936716e-05,1.8841342094355788e-05,3.28245033350373e-05,3.6626694606047354e-05,4.5258750043586544e-05,4.259328705642727e-05,3.7518884140546165e-05,3.3716350694523504e-05,3.446225296989411e-05,2.484803614161515e-05,2.7810527586846996e-05,0.00019418057113256874,5.943002858560464e-05,3.31194719796755e-05,5.026525933779988e-05,2.537272090810797e-05,2.9581395698976105e-05,2.1112034659169903e-05,4.372498941156625e-05,4.952168860180796e-05,3.3427072966399216e-05,1.8544383466513826e-05,1.7021330474202235e-05,0.00010687888835860042,3.839262950219818e-05,8.883438717265304e-05,3.151013551507742e-05,3.575878917601444e-05,0.00012391081077605106,3.8066320943193616e-05,3.6332290824190255e-05,2.626949758898237e-05,6.0771475726576525e-05,6.319987793019316e-05,0.0002213103213222106,2.1479714562065e-05,0.00015008225442100478,1.023271181400712e-05,4.585849005492324e-05
BergnerCaroline,3.4564376146255856e-05,0.1185519991730075,5.5257402450769924e-05,7.99082088599048e-05,8.096295559026591e-05,0.07221302815064523,6.100137694237541e-05,0.0008088737464663222,5.570569030380097e-05,0.0002915802109814773,0.00015415321921254685,0.0007598627382248053,9.798676667343365e-05,0.00041634860622916,0.00013426102958274974,9.72562095605512e-05,5.169924925812711e-05,0.009593284503865096,0.00015066072790186693,5.020801682973709e-05,0.11550788852493166,6.749103155773668e-05,0.0012098251350303112,4.163216727009612e-05,5.734395718017567e-05,0.4491269841447704,9.494218066164522e-05,7.52021472085307e-05,5.1327134943518014e-05,5.04416189879459e-05,0.00014833566436969823,6.343659482285835e-05,4.9755813530935936e-05,3.751811765344372e-05,3.846005315496534e-05,6.376115936695961e-05,5.245349029454976e-05,3.2716506316427366e-05,0.00029773097567679284,5.7408216851499624e-05,1.5229676210391351e-05,5.268377641009986e-05,0.00011330510151501972,5.867031917274582e-05,3.562087888148471e-05,0.10701140323311717,0.0008664796639963543,0.00018945536568847207,4.621632039396246e-05,9.395237742713091e-05,7.64710212701505e-05,2.465140091764621e-05,0.0009995930250377657,6.0832366455386757e-05,3.8878594295060886e-05,0.1149807296113496,4.9915202119179526e-05,0.0001492368900001396,9.640703582075884e-05,3.815450385491699e-05,0.000773923022413025,5.3916521969068815e-05,3.1057057336846646e-05,5.4106150030318396e-05,6.0373478106952127e-05,7.460209511926159e-05,7.020848895220165e-05,6.184411546333052e-05,5.55762233637661e-05,5.680572865154542e-05,4.095816950265747e-05,4.584138144232312e-05,0.0003200768342915656,9.796127027843058e-05,5.459236051698244e-05,8.28545564051494e-05,4.182303171868925e-05,4.876038541873637e-05,3.4799945121942856e-05,7.207392639056356e-05,8.16288943017783e-05,5.5099393478525596e-05,3.0567566668646225e-05,2.805704783870327e-05,0.00017617342476074704,6.328435043484877e-05,0.00014642983722116065,5.193961664104201e-05,5.894286936536107e-05,0.00020424793179036816,6.274648091495166e-05,5.9888198709787536e-05,4.3301230281020257e-05,0.00010017243976746576,0.00010417528765892456,0.0003647960588008662,3.540600894524343e-05,0.0002473875352113404,1.6867053096724384e-05,7.55906743736484e-05
BornträgerJohannFriedrichWilhelm,9.089736807610361e-05,0.2866941167620312,0.00014531587170107526,0.00021014254220317336,0.00021291631429068395,0.3403487635869176,0.00016042137111393746,0.0021271755158702803,0.0001464947787297625,0.0007667973999919073,0.0004053920096109417,0.0019982864065439805,0.0002576855187321872,0.0010949132236105523,0.00035307954561713737,0.0002557643002351629,0.00013595864334971529,0.00015457817837210818,0.0003962074588229808,0.00013203700153107442,0.0028765480059394573,0.0001774878595054306,0.003181597149077557,0.00010948423938401575,0.00015080309161927055,0.32860343424905075,0.0002496788689323509,0.0001977665451273481,0.00013498005742997276,0.0001326513282953773,0.0003900930086506536,0.000166825505101229,0.00013084779766630835,9.866511507215648e-05,0.00010114221628247396,0.00016767904467344025,0.00013794214580946495,8.60378415112985e-05,0.0007829726759492646,0.00015097208165028016,4.0050990022736986e-05,0.00013854775204750032,0.0002979696631506156,0.0001542911573008455,9.367575810377691e-05,0.005606331496977841,0.0022786675106030193,0.0004982295654956672,0.00012153964151406218,0.00024707588519702004,0.00020110342909520092,6.482823394009418e-05,0.0026287289184302536,0.0001599769074736992,0.00010224289542985034,0.0014902259268223055,0.00013126695764510856,0.00039246305107535154,0.0002535311438298555,0.00010033868298349677,0.0020352621303847147,0.00014178962530867655,8.167382394413047e-05,0.00014228830902881734,0.00015877012327088303,0.0001961885286345193,0.00018463422673539628,0.0001626376041860181,0.0001461543066769113,0.00014938765867556723,0.00010771176060730915,0.00012055362736617134,0.0008417377966298416,0.00025761846833349355,0.00014356694496836837,0.0002178908445641646,0.00010998617455457986,0.0001282300216322483,9.151686717539956e-05,0.00018953995258273217,0.00021466759936871724,0.00014490033983529982,8.038656178586202e-05,7.378440142336311e-05,0.0004633007281238037,0.000166425132934352,0.0003850810659765828,0.00013659076129640858,0.0001550079095741263,0.000537131043713141,0.000165010644111521,0.00015749393590973494,0.00011387353992293535,0.00026343340004448445,0.00027396008615052016,0.0009593403766127623,9.311069332145978e-05,0.0006505795374519182,4.435696241716251e-05,0.0001987882935479136
BrockhausFriedrichArnold,6.916877829919304e-05,0.18844517038019565,0.00011057879370753844,0.00015990895248705622,0.0001620196673585019,0.15763473222609414,0.00012207339428950555,0.011263137004129271,0.0045994877133428156,0.006507640631239116,0.004996852118780239,0.01955930799168058,0.0001960870033241918,0.0008331793496745152,0.0002686775352210887,0.00019462504310358648,0.00047875956991984064,0.00011762698938391295,0.24630263183352757,0.00010047417520985478,0.002544601356395161,0.00013506021862647196,0.02218790237830886,8.33125451428734e-05,0.0008653567253969344,0.19716604404051533,0.00018999430562957327,0.006549948751282619,0.0001027137073910572,0.00010094165004067448,0.0015625739962446955,0.00012694665006512295,9.95692449548261e-05,7.507968178546737e-05,7.696464356233269e-05,0.00012759615500337857,0.005992423710401525,6.547089878172867e-05,0.003751092620514799,0.00011488291318064227,3.0476988588123666e-05,0.00010542856133305886,0.0029616222603557622,0.00011740857935438659,7.12830072138512e-05,0.009211403883839947,0.006475232541096045,0.0003791301232068668,0.0003761317375567739,0.001394458442687303,0.0015977509043141242,4.933134848498915e-05,0.002000343592075695,0.0001217351775991394,7.780221051872333e-05,0.0011339944041259856,9.988820670541552e-05,0.00029864659830114963,0.0001929257122695319,7.635319113208808e-05,0.003816078426784652,0.0002918364578171638,6.215007915860707e-05,0.00010827495570104093,0.0001208168695034674,0.0001492905804555793,0.0005083802359280308,0.00012375984723381672,0.00011121680473238284,0.00011367723909139575,8.196376910962901e-05,9.173584781324809e-05,0.0006405243218086857,0.0001960359810090216,0.0004999452037858826,0.00016580505948713786,8.369449506362633e-05,9.757723601145115e-05,6.964018904256984e-05,0.012529171013891343,0.00016335231594740001,0.0003939081704425221,6.117053098551075e-05,0.013020556043777174,0.006878375958614496,0.00012664198498808029,0.0065470224883736,0.00254963500495275,0.00011795399535636038,0.01018546242709216,0.007721657560732937,0.00011984574874915053,0.0009375893369297408,0.006932478617759623,0.010499130973311233,0.0019528623687356066,7.085301851912846e-05,0.0004950615484743991,3.375363846497269e-05,0.0005191508394131317
CarlAugust,0.00018233322854557482,0.02182836200903819,0.00029149262082030735,0.00042153000670601767,0.000427093983206877,0.1797517244710749,0.00032179310734742523,0.004266952802934803,0.00029385741893542597,0.0015381374460019474,0.0008131856345615566,0.004008411021965394,0.0005168976129269567,0.0021963129105235205,0.000708250798107562,0.0005130437942882187,0.1008651407559078,0.00031007210573668785,0.0007947621220511878,0.00026485621405980965,0.10636255522648162,0.0003560271890839963,0.006382042653171333,0.0002196170831374404,0.00030249956793660304,0.1058952753343172,0.2519818819447348,0.0003967046949168301,0.00027075976105125774,0.0002660885069709039,0.0007824969986015397,0.00033463931456613884,0.00026247076127222034,0.00019791474007107567,0.00020288361728579542,0.050632560463081684,0.0002767014857557393,0.00017258538670463113,0.00157058382316714,0.00030283854912602757,8.033924932983902e-05,0.0002779162859523289,0.0005977045522968461,0.00030949636322959867,0.0001879064682842696,0.011245875912324144,0.10516325228398224,0.0009994107327466859,0.00024379930577282202,0.000495615492475099,0.00040339823115465793,0.00013004052202379094,0.0052730309008200155,0.00032090154698422615,0.00020509149620222242,0.0029892802206587265,0.00026331156440909163,0.0007872511240094765,0.0005085642518565166,0.0002012717904117354,0.0040825815205000286,0.0002844192379162509,0.00016383149834358254,0.0002854195596487817,0.00031848082937144516,0.0003935393134770206,0.00037036225991158054,0.00032623870285579696,0.00029317445781191007,0.0002996603167692963,0.00021606162510025238,0.00024182143615149223,0.0016884621996960288,0.0005167631149109209,0.0002879844063976728,0.00043707251376787215,0.00022062392703299633,0.000257219701027002,0.0001835758967685,0.0003802027740104632,0.0004306069282914272,0.00029065909540308113,0.0001612493480539821,0.00014800591494091133,0.0009293461332742012,0.0003338361983554984,0.0007724434216015598,0.0002739907108841748,0.0003109341139458269,0.0010774441485508566,0.00033099884102307854,0.0003159208942851799,0.00022842168722287423,0.0005284274270365405,0.0005495431612346129,0.0019243640585443747,0.00018677299117400795,0.001305013225355202,8.897670347533623e-05,0.00039875424477978176
