year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,6.775103272573938e-05,0.03253199655946727,0.00010831227116439654,0.00015663131458280573,0.00015869876634133553,0.1079671326801268,0.00011957126806079307,0.03592610248306245,0.00010919097833020049,0.000571538173661612,0.000302161964545646,0.06327597691472836,0.00019206782750801415,0.0008161017553618826,0.00026317047848808603,0.00019063583294073245,0.00010133779107027075,0.00011521600067457978,0.006050233980791356,9.841476602766545e-05,0.0021440565575495444,0.00013229190275020912,0.10495383936254223,8.16048961863088e-05,0.0001124022115457255,0.31508373463017364,0.000186100011232431,0.0001474067726555205,0.00010060839474035821,0.003935484518958174,0.00029075873982451026,0.00012434463719717702,9.752838403812439e-05,7.354078101079665e-05,7.53871069134859e-05,0.00012498082929727374,0.00010281620945472357,0.006615206544050903,0.0029329611238606075,0.00011252816952848762,2.9852304782431614e-05,0.00010326760259096594,0.009048742373523022,0.00011500206737371882,6.982192650048716e-05,0.08521910691535241,0.008249499457149163,0.0003713591307568564,9.059048027440792e-05,0.0001841598578487893,0.024141852248852694,4.832020873860579e-05,0.0052348815461890205,0.00011923998376431076,7.620750634322519e-05,0.00111075103354314,9.784080806141662e-05,0.0002925252686611062,0.00018897133312187074,0.0024261067599612544,0.0015169978418484444,0.00010568395705820147,6.0876195163782526e-05,0.00010605565469651774,0.00011834049813839636,0.0013209138799468495,0.0001376185009819883,0.00012122315394673736,0.00010893720494068269,0.002462665780619533,8.028376588135007e-05,8.985554725912121e-05,0.0006273955584523975,0.00019201785099216644,0.00010700869555147732,0.0001624065696637771,8.197901731750168e-05,9.557720510405705e-05,6.82127810099672e-05,0.00014127502041111066,0.00016000409976457163,0.0001080025513822663,5.991672469222352e-05,5.499575511689171e-05,0.0015200079544187412,0.00012404621680993494,0.00028702305088964256,0.00010180894490672827,0.00011553630403811418,0.07088135225909016,0.00012299191699296355,0.00011738928234965178,8.487649415168077e-05,0.00019635205380780165,0.00020419819798071654,0.053368280342937995,6.940075124129948e-05,0.04076933884991491,3.306179349245235e-05,0.00014816834047804808
1799,1.0956129240542737e-05,0.0013116334153025653,1.7515352806762525e-05,2.5329103581817e-05,2.5663434554405028e-05,0.2525788897185797,1.9336063431427675e-05,0.02141195919851362,1.765744996581412e-05,9.242436380104706e-05,4.8863100707846274e-05,0.16948537480491366,3.105959948457905e-05,0.0001319731367250683,4.255772434175064e-05,3.0828029323657614e-05,1.638749833395825e-05,1.8631766088040534e-05,4.775605957366318e-05,1.5914811219803595e-05,0.0003467188587166973,2.139313787106239e-05,0.0003834873362609495,1.3196459940286695e-05,1.8176743690431388e-05,0.18769649707167202,3.0094534248396113e-05,2.383738796547709e-05,1.6269546472022066e-05,1.5988857845884033e-05,4.701906676803222e-05,2.0107972686047374e-05,1.577147295257432e-05,1.189239881355545e-05,1.2190971165831053e-05,2.021085234101423e-05,1.662657576554853e-05,1.0370396097562412e-05,9.437401776398553e-05,1.8197112559841932e-05,4.8274645590772975e-06,1.6699571280745834e-05,3.591516683415801e-05,1.859717058744386e-05,0.3233892044093562,0.0006757477553672161,0.00027465455018994904,6.005308653667206e-05,1.4649533297404348e-05,0.02722979219575044,2.4239592482354644e-05,7.813939220870973e-06,0.0003168484894365773,1.9282490911252004e-05,0.012101217597885657,0.00017962134875239657,1.582199554742386e-05,4.730473500750006e-05,3.0558860361907146e-05,1.2094118915221296e-05,0.0002453161781340889,1.709032387548729e-05,9.844388123009613e-06,1.7150431702629685e-05,1.9137033633760433e-05,2.364718495954776e-05,2.2254510698780896e-05,1.960319257365489e-05,1.7616411859950514e-05,1.8006137361659014e-05,1.2982817818795807e-05,1.4530686089108382e-05,0.00010145715196951542,3.10515177012528e-05,1.730454948295524e-05,2.6263029435321882e-05,1.3256959674387575e-05,1.545594464676084e-05,1.1030799303493337e-05,2.2845812378242976e-05,2.587452213656585e-05,1.7465267519131447e-05,9.68923059896952e-06,8.893452638294521e-06,5.584301022128706e-05,2.0059714641865642e-05,4.641496245956274e-05,1.6463689383994366e-05,1.868356286376305e-05,6.474199703011955e-05,1.9889222110780867e-05,1.8983210987848623e-05,1.3725515346376386e-05,3.1752408658812814e-05,3.3021221341659615e-05,0.00011563213956910552,1.122290789379456e-05,7.841628029986488e-05,5.346476176883839e-06,2.39605423315932e-05
1800,3.528392696351601e-05,0.10207424393045066,0.00017789536127011117,8.157171398864323e-05,8.26484181201338e-05,0.21823025945651983,0.0003428828136957523,0.05669710661295368,5.686535465922095e-05,0.019236122236295883,0.0001573623347018102,0.12940146941675992,0.005262134927058247,0.002521289442123701,0.000376102283390092,9.92808601654631e-05,5.277550872533153e-05,0.0012552343539676048,0.001159096160196276,5.125323226744614e-05,0.006031196678752443,6.889603961312902e-05,0.012242292318260007,0.000560823998746073,5.8537726484135645e-05,0.206850523462773,0.0034906967103297054,7.676768295709011e-05,0.0008891478283016282,0.013906600528694524,0.0003711415531637707,6.475719883017048e-05,0.0030520029596994196,3.829915857561649e-05,3.926070300793605e-05,0.004948635163740198,5.3545451325464526e-05,3.33975887337194e-05,0.02968833110726369,5.860332389402672e-05,1.5546723042581374e-05,0.0027200765041707265,0.00011566385313981099,5.9891700282910496e-05,3.636242365585708e-05,0.03176406247628945,0.006093893792907725,0.0030663620259468107,0.00014010409215304317,9.590824984546035e-05,0.014521617945319526,2.5164586389353956e-05,0.016435049509713,0.007353756186259064,0.0014707483349508897,0.0006989435490216088,0.0006272748789733764,0.022927921605165717,0.0035931400451208796,0.011024842863720576,0.008962588933610117,0.0017558657149587913,3.1703593842926315e-05,5.5232515636003834e-05,6.163031506905657e-05,7.615513916337346e-05,7.16700682207061e-05,6.313156771289735e-05,0.008720578787172324,5.7988293275403285e-05,4.181082439260576e-05,0.008588217043871034,0.0037720964299912353,0.0048479178357012705,5.57288479067718e-05,0.0003931936619259795,0.0007655599198858367,4.977546449985478e-05,3.552439994349518e-05,0.0004961766449112693,8.332822014403715e-05,0.0004014733590474098,3.1203913104786415e-05,0.0036532417778468436,0.0077330073483350996,6.460178506414718e-05,0.0006678033151628854,0.002141589406477014,6.0169924343701806e-05,0.0005681744943667131,6.405271833788409e-05,6.113493327093003e-05,4.420266230760273e-05,0.0018283924141730573,0.00010634397755675775,0.00037239027375596197,3.61430806217195e-05,0.00042515103619093075,1.7218186349908618e-05,7.716429836421759e-05
1801,3.486397957377587e-05,0.12229572573565714,0.006998343854709018,8.060085186205562e-05,0.000541425886303725,0.10150668621025503,0.0003479380082366165,0.08531708620868339,0.0009567802969959174,0.001948733038586651,0.00015548941670802307,0.05013838087106804,0.021589166442942818,0.015104777168464902,0.0011667530797146355,0.005322256806582384,0.009194981819593093,0.002837521233100695,0.00022689013721571505,5.064321906997198e-05,0.00818777299740564,0.0007448839361869449,0.011307249989270698,4.199303419147288e-05,5.784101363061018e-05,0.28752919512111735,9.57651378769611e-05,0.0050310198272073385,0.00019806659822819774,0.0010923093096902948,0.00024264880917652262,0.0007852579393531656,5.018709608062924e-05,0.0021742272745299703,0.00032835271493037376,0.001351537399545876,5.290815626077862e-05,3.300009243953301e-05,0.014303242518750531,0.009155876147415604,1.53616867860588e-05,0.0011138837680661933,0.00015084291601667545,0.006278658161542928,3.592964005683502e-05,0.05908518938211638,0.005442743672181456,0.0006973342479091207,0.00019972054424334073,0.003443336722562377,0.010855890177787306,0.0003310723219762352,0.038912402193637466,0.002664121227005471,0.004251159358376638,0.004500363904639321,5.034786624645846e-05,0.0020273499917931167,0.002678072263427907,3.848522644866173e-05,0.043829092860723076,0.0082407927619576,0.0050372224953494985,0.002038872444626816,0.006252699099025847,0.0008304058092176124,0.0006343369487823705,0.0006055522044937796,0.00029003732900979954,0.00020607390026085336,0.0021310205779190906,4.62387337609143e-05,0.002119339329328692,0.00032395833458926504,0.00021857748646321885,0.003406774763898898,4.2185553049876515e-05,4.918303961439825e-05,0.0010919370979698333,0.001469479323118707,0.0001938997150752269,5.5576994088777845e-05,0.0007062763388526823,2.8300245854573696e-05,0.001126131875613251,0.0007406407916232714,0.0009724825710299551,0.0008335556127251711,0.0006587581905908663,0.0005994830364928825,0.0015510481714962091,6.040730860274583e-05,4.3676564612330976e-05,0.0005473680743241561,0.00028539614658941773,0.00036795810486529005,3.5712907631622535e-05,0.0008856434558519177,1.7013256427534047e-05,7.624589305993583e-05
1802,0.0005358366348849105,0.09012668731054811,0.00018520745474400846,5.654140167684131e-05,0.002032618244936425,0.09369937280918335,4.31633170828072e-05,0.134294493686296,3.941619836173471e-05,0.0016129477664974408,0.0017323949958346395,0.028237731035065376,0.012217833310493195,0.03613559093403383,0.0019865313876839172,6.88164894294032e-05,0.00012491694293135285,0.00014943736105633133,0.0004070559441265732,0.001141683184396156,0.010369122545859222,0.0004067649623219784,0.02290974452699991,0.000284682805787438,0.003637348796784522,0.31935080013783257,0.0003115446208185469,5.32114894445095e-05,0.00028560189958647066,0.00012303942961973516,0.0019115943534530918,0.003898022500830301,0.00028746193132754696,2.654704680117991e-05,0.0007156165857135217,0.0012763889525066832,3.7115008663203435e-05,2.3149525580571748e-05,0.008140120883519219,0.00016674874262923129,0.000777924546097004,0.00016340582594386515,0.0001791385369687022,4.151390864824169e-05,0.0010010354962351855,0.0375557650674447,0.01445448378072331,0.0011568979413871055,3.2701715789950665e-05,0.0013905741253896625,0.001497240629326318,1.7442823222644682e-05,0.022557435706091374,0.00016242587778676938,2.750969203329242e-05,0.008389147343319477,0.001030782060762855,0.0005809837001648573,0.038564417931738024,0.002088147955844974,0.02922150772613224,0.0016262510993671712,2.1975333683952006e-05,0.0023612668517235774,0.00024065139352955466,0.0011853095867160228,0.0023677728702657325,0.003490929945486989,0.001062083779618181,4.0194562824749956e-05,0.0005259420287199143,3.243641671528236e-05,0.00206890954794661,0.001098435258123278,0.0016912383786705865,0.00011252737922514223,2.95931152692402e-05,0.005849367008665442,0.0007927961830952797,0.00010258573543029892,0.00023443016259324116,0.001207080327962165,0.0013200406915621402,0.00015638569649710808,0.00040905211850442115,0.002691451246441021,0.0027918618181998365,0.001393956510155915,8.907215036978077e-05,0.0014945667268310072,0.0007868787902362025,0.001036297399367855,3.063905810619476e-05,0.0008042611598691113,0.0019693374586035386,0.002374617424163617,0.00034418582325119746,0.0021523232204512647,1.1934779140382296e-05,0.014067975416224461
1803,0.0005942078174601576,0.06764772153523314,0.0036059524882909107,0.00019641611539843263,0.00045730774274154774,0.13989628366286938,0.0013661233816264667,0.056745099000257655,0.00048394312106306737,0.0005606178944545698,0.005286690285789717,0.04828424853519271,0.0009236464084299957,0.03456331702813229,0.0011885876146626119,0.0003531041911008385,0.0017625203584568845,0.001240415298168693,0.00039195591656016396,0.0018122184962479672,0.009562263512488414,0.00015007334912984943,0.012510245876795724,0.00014780976970518286,0.0019004615019669454,0.2785702997141668,0.00034036649662129345,0.0010469850553235494,0.0011312612747138154,0.0002737470200303554,0.00015271412749857274,0.002368001670351794,0.001783602333100894,0.0027362432638597662,3.959528873967191e-05,0.00037236996011176385,0.0012711776185184945,0.0005284882017015189,0.13354778360757338,0.00010841129251159596,1.5679214600469295e-05,5.4238857404826653e-05,0.0003919549321545577,0.0002647625846711054,0.005107183859482637,0.028143465154243052,0.008777833532561273,0.0009075614870789866,4.758049977494313e-05,0.001976474142105999,0.0025141566602417276,0.0014219370315041065,0.01778611263415115,0.0028247653335439294,4.0026184069554594e-05,0.002712989957215995,0.005799067499880629,0.0018047161206668043,0.00534869831055069,0.0007501423069400231,0.03132922872211658,0.00020887136309162647,3.19737767314611e-05,5.570321560426339e-05,6.215553806519913e-05,7.680414493785667e-05,0.008284433909901663,6.366958461429059e-05,0.00014555230116258407,0.0037845368468716,4.216714264984764e-05,0.003255310415508048,0.011040745174754035,0.000629138328841661,0.0003910646711977226,0.0004803625616925493,0.0032185166996290477,0.0018827983688167467,0.00014752826438540258,0.00544257099635413,0.0007919083555505324,0.0002216846946174894,3.14698376374438e-05,2.888521515766076e-05,0.002260465621223259,0.005470546975725197,0.0007297363918263509,0.003002132024928034,0.0002975307976788998,0.004908709262030112,6.459858542616361e-05,0.0035595914895383816,4.457936417434903e-05,0.0014121553847987718,0.00039723462848522653,0.0007365175104304478,0.0002614619110466071,0.0008513018974996362,1.7364922374423603e-05,0.0017473689730356857
1804,3.1359254418542924e-05,0.06371500404145672,5.0133436073869854e-05,0.0028400408442829875,0.0004821000546418083,0.12999546108287469,0.0007629709712793826,0.038460268348751644,0.0008998013612998911,0.0014037771858652402,0.0021366354462064945,0.036018011133479355,0.0022288480309985937,0.07588538107902702,0.00012181113199802521,0.001224503025146996,0.00028696643327336314,0.00017862289208687353,0.0019287947301230603,0.00047688954632828934,0.02049159305183355,6.123265238849788e-05,0.02281427969375982,3.777165599326757e-05,0.002999699299222597,0.3011834166483044,0.006903730030966216,0.005144636545490183,0.001750059984503292,4.576421563151948e-05,0.001690019960764013,0.002141152260815982,0.00015612698101164524,3.403909828491481e-05,3.489368900320479e-05,0.00047633119299654114,4.758952802524513e-05,2.9682735800624275e-05,0.0672755096677324,0.0017412456503000764,1.3817442819532202e-05,0.0033966321519852734,0.0027020072190470494,0.0023738105467657105,0.005219384044788395,0.015455760773677689,0.007640277119234959,0.0018221873259220583,4.1930724957700615e-05,0.004048469654248724,0.0035472939760293784,2.2365499955181726e-05,0.01824550908901845,0.0014495395619843086,3.5273419221431386e-05,0.0026742282587336338,0.0021231147297021565,0.0028896851977955064,0.007444796296303431,0.00046613278496303876,0.031072597777349505,0.00018279261610627205,2.8177165946706898e-05,0.00042784403533007744,0.0002924047851379011,0.001227166583805592,0.006795000880629258,0.00016956229395932723,5.042269302681744e-05,5.15381874585777e-05,3.716015739780028e-05,4.1590553738462405e-05,0.002102678322867672,0.002747049251851636,0.004677197314932974,0.04272186089137987,0.0015814792922477937,0.0008995585181519747,3.157297930715151e-05,0.0009958014290175122,7.405952456604958e-05,0.00148499086395651,0.005088434781505196,0.0004260780327383605,0.0034309762615738525,0.0010900683465177796,0.00024851711925248475,0.0016505460780454869,5.347715314652143e-05,0.004688229520725351,5.6928059414529965e-05,0.003776434478982255,9.711873916617349e-05,9.088354469647806e-05,0.000938649455046198,0.0007867538428615692,3.2122843408512316e-05,0.0015232100576693978,0.00018274467190726516,0.0023479505055826423
1805,4.3355139410417266e-05,0.09042365942455398,0.007625686877312437,0.00010023127628569083,0.00010155427691917525,0.12673471294176966,0.005458636547149254,0.025751425877748858,0.0012350292516136927,0.002245981988361161,0.0003042137598499625,0.03196172768762378,0.004096965344575293,0.057340017493458316,0.0020013932695666144,0.0033808920435658787,0.00127313764252287,7.372885062546659e-05,0.0008834910756686775,0.0001475310474416771,0.037983474590420695,8.465603631198509e-05,0.021500032794907177,0.0005608085593233795,0.0003761741525978306,0.25210190314043834,0.008695169552877751,0.0044739104215761405,0.0021173397732655946,0.00019994954438211037,0.0014883538570480712,0.0003361902590341341,0.0002768686842209847,0.00013224690917339066,0.006324589170157524,0.001039769666173689,6.579399479569416e-05,4.1037300553858135e-05,0.010486490072818534,0.00015656247547629596,1.9103042175073563e-05,0.00025630408972294343,0.0007715196539225256,7.359195074792667e-05,0.001227244052382796,0.03127613445076666,0.04897745830337963,0.00029706146901653865,5.797052448562139e-05,0.00558669174944782,0.001098451755989601,3.092099562058528e-05,0.008888368811508384,0.0006419231836591817,4.8766593344865225e-05,0.005047178092104308,6.261014338633176e-05,0.009722224378951518,0.0017197229532096127,4.785834486830216e-05,0.03141767573706024,6.762911954790245e-05,3.89558036522573e-05,6.7866975744028e-05,0.00017222714978848807,0.00060681530778528,0.003390586600458748,7.757293915218203e-05,6.971093306139642e-05,0.00047192592593350537,0.003408930388023882,0.003924067902117046,0.014145440342041954,0.0001228757756764254,0.0013825500646262958,0.003561257201159144,5.245989000517498e-05,6.116162197141206e-05,4.3650620681031376e-05,0.0007007274221650054,0.0028527437046820836,0.003918410205873176,3.83418207448231e-05,3.5192801262912246e-05,0.00022097963980583011,0.0023889578942626914,0.0015446923681080062,6.514942757443446e-05,0.0018109135763178699,0.05165726474966691,0.0008806888911540162,0.0017166930411117126,0.0004157421634159666,0.00012564931225210482,0.03580305778893014,0.005243520828898616,4.4410824812580625e-05,0.0014781677120408593,2.115685338445231e-05,0.0004783813647830453
1806,5.9774822958088077e-05,0.07531684243085703,9.556085822704448e-05,0.00013819138575762034,0.0009719322238151149,0.10152428281608775,0.00010549435324684928,0.005433094576479308,9.633611674569402e-05,0.0032499849713296986,0.0004728973393659516,0.04216520620157562,0.0001694560204227625,0.07615505817215158,0.0008777421128078422,0.00016819261205402653,8.940747139176611e-05,0.0020160542072744955,0.0005091746675610646,8.682856893973882e-05,0.08932979406608843,0.003344589027901484,0.011565278981429835,7.199769547123949e-05,9.91692971300015e-05,0.24360666469972522,0.02786764804680325,0.001800913680351527,0.0023243906534787307,8.72325550435375e-05,0.00025652822543506434,0.00010970576204110305,8.604653914083471e-05,6.488295437376924e-05,6.651191557946691e-05,0.00011026705636564205,9.071183818343383e-05,5.6579160132865784e-05,0.007422185304226045,9.928042630127545e-05,2.6337845512763907e-05,9.111008960068687e-05,0.0036907558476358547,0.00010146307650992542,6.160191405574937e-05,0.03333018869277996,0.038124903575341644,0.0007989588744314044,7.992542256900052e-05,0.00016247904210493219,0.00013224719400418243,4.263155565967795e-05,0.02015502429335743,0.0001052020704671729,0.0033453261017766826,0.009057171630380558,0.0011573250038627565,0.01999610989221269,0.00016672407086751806,6.598350577284767e-05,0.051106315990672675,9.324197091189409e-05,5.3709347915145095e-05,9.356990924184154e-05,0.0005746522677353262,0.00012901511687024502,0.0005340336587672014,0.00010695176551654851,9.61122196504083e-05,9.82384973124746e-05,7.083209951046426e-05,7.927701192332593e-05,0.01940716644455291,0.0001694119275541128,9.44107502753302e-05,0.016204642643625283,0.0002476091359246592,8.432506906648828e-05,0.0006183100045980015,0.002272228780369279,0.00014116709887968955,9.528760120942235e-05,5.28628342124962e-05,4.852120171903539e-05,0.004874862084565921,0.00010944247416050807,0.002220086555148172,0.00607276590956723,0.00010193441843265638,0.029485443566978648,0.00010851229520427989,0.00010356924887082407,7.488413396970176e-05,0.0004960129879487843,0.02828152115939135,0.0006308697642440198,0.0012280529804839587,0.0026987303409426637,2.9169486769127926e-05,0.0021588897321526057
1807,9.952777900640169e-05,0.08614589845382778,0.00015911314343753228,0.00023009489650712241,0.00023313202927766356,0.06177051618995748,0.00017565286113415405,0.01025108237164746,0.00016040398387333053,0.0010499777814424812,0.006032328235438394,0.005641004036216213,0.00028215192479560383,0.026012439671736363,0.0018692516110147199,0.012098683523840024,0.008895236375841414,0.00016925487615164402,0.0005771663490653051,0.000144573487518914,0.021797079504615832,0.0029751951058419675,0.024285074333231328,0.00011987941359284511,0.0009693636690595428,0.3120610336719621,0.00027338506950896256,0.0024913379733740256,0.00014779597705088583,0.00014524614262135946,0.00042713107737529164,0.00018266504691802498,0.00014327137259577448,0.00010803304844119437,0.00011074534239486045,0.0026923703635110415,0.00015103930613588972,9.420685612101383e-05,0.001166680442103838,0.00016530639221638512,4.385370190953318e-05,0.0001517024127263206,0.0003262609183561485,0.000168940603358543,0.00010256996817557908,0.028930087180626264,0.047847221654413845,0.0013497771622642365,0.00013307943714058957,0.0002705349408919229,0.00022019754886256864,7.098346495096431e-05,0.029202632318760226,0.002445474640236335,0.00011195052746518404,0.010171370378391192,0.0001437303304580465,0.009607343863972613,0.0002776031054409793,0.00010986551620959697,0.1963569643693371,0.00015525209136206463,8.942848920898727e-05,0.0003661735733731867,0.000745140748192365,0.0007639042339467157,0.0002021646490375048,0.00017807951836409762,0.000160031185100921,0.0026333329726742345,0.00011793864369251207,0.00013199980414036556,0.026328807567674212,0.0005174020393660988,0.0001571981617715558,0.0019222249156887654,0.0001204290058834559,0.0008754795327014147,0.0014581520141343078,0.00020753615767778627,0.0008063455087463004,0.003884352385783743,8.801900567472053e-05,0.003864637396763275,0.0005072896328923883,0.006629469087572999,0.0012412766856324219,0.00014955961203676533,0.00016972540894056714,0.013003259757267722,0.0020563657921217706,0.0006483192641388675,0.00012468546401296843,0.00028844554883680117,0.0014675565864794207,0.004751922019956834,0.0010903834557891335,0.0007123499590812036,4.8568512447515255e-05,0.0007903198774841145
