year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.008286022345344849,0.44104553786221606,0.00034783215612892534,0.06427962833633462,0.0009224927132397796,0.06112927074846522,0.001499129859432684,0.0020962410775954943,0.04912422443948866,0.0008991536495639565,0.021189198888183977,0.1606128903614019,0.0007840392721765904,0.0006029302448075875,0.0931337419502654,0.0004200445633492233,0.010056440149912332,0.041462718030955595,0.0003683524182754485,0.041740110932861764
1799,0.00022278217571935962,0.3163008471069326,0.1063256259472314,0.2218065696037523,0.0001422845290606781,0.0001829611476438401,0.00023122457553194467,0.00014015404771383874,0.00016594317070496584,0.00621136910775874,0.00014238808514635564,0.00031624194119535444,0.00012092958242991188,9.299547270959152e-05,0.3373601738933407,6.478733330125258e-05,6.890969980958097e-05,0.0031294115831725163,5.6814378705082717e-05,0.006917586618139987
1800,0.0213780508541519,0.3921016918424131,0.018933290955663436,0.04552118311427161,0.012303082969327176,0.061614357299249474,0.013333065821446333,0.0024984740748415744,0.03070538827453321,0.002862671609996873,0.005110744185557489,0.016637662470779278,0.013341136592375118,0.004566351851994383,0.23744324824639831,0.0099812843389809,0.010516978187317061,0.006696134571134314,0.00018824260471402674,0.09426696013485443
1801,0.06933021948206838,0.48254024594879547,0.002201563499250522,0.019870126027006708,0.015373523573266908,0.11030998961997718,0.006963047811257595,0.019976825934046302,0.002708869842896798,0.0034813774934729304,0.0005256026633380397,0.011317561055648516,0.004262578385072802,0.0012267683157215156,0.08801091241229848,0.016766554606009357,0.01972902056229683,0.0006683184010839324,0.006567598337241403,0.11816929602925032
1802,0.048897077832857516,0.5225782077220283,0.0002447633247384569,0.01112301037815832,0.0018747609064231397,0.13381235012925793,0.015518258242561967,0.04834371682088477,0.0031765842661560214,0.002487399542322747,0.007521814015982359,0.025584520666244722,0.008421587414770178,0.002735919073123424,0.04831339486184767,0.0021402711295217466,0.0006598945758875494,0.0011293293014045362,0.04309153262198749,0.07234560717384135
1803,0.030694361714279184,0.44268571910361887,0.002275428975434391,0.17434836694902067,0.0071831238064258025,0.059935058414876556,0.01736300938808046,0.052855265611418595,0.01739195543932561,0.001353601678926618,0.001631588306587275,0.015291246815272124,0.004204373754820751,0.0023961951984984653,0.09914724278497693,0.003004071832337091,0.0025846822635433174,0.0020081608374716425,0.016585119087259723,0.047061428037826064
1804,0.03994555760980252,0.4839049107552477,0.0056553273156536845,0.13751752808091655,0.009260760840211085,0.0490618767188901,0.008463677234236563,0.07980291536222946,0.013300889564115391,0.005495963934997233,0.001789814891466955,0.02943163796233404,0.011411084283425329,0.0037457829530103365,0.06545747507928922,0.005259889397641442,0.0030153315580255064,0.0006532321583929587,0.0005725804797510693,0.04625376382036267
1805,0.027104465942145488,0.4382457190627946,0.004516199748267198,0.06868384676981959,0.0025808514469654307,0.03372393703444996,0.056190454446639664,0.06701952310883005,0.08893108749426723,0.014138330082478997,0.006660095107781294,0.017911495161426837,0.0012133698700124978,0.005580506406288677,0.06060494526843617,0.0028226593155966026,0.002163327012926984,0.0006565419371380003,0.014148023686892174,0.0871046210968428
1806,0.041631641485333465,0.4310868273944206,0.001580856124893419,0.05947425994292671,0.006239983647289436,0.0015155254531500283,0.05369532948766056,0.07639247112540533,0.12593342539842683,0.030155704821196606,0.0020434703376240025,0.012782565214499076,0.001704906653395903,0.004702392183819395,0.06132043654316779,0.0006402846145765599,0.000716189996672038,0.0025488689068258632,0.0024496295674394475,0.08338523110127709
1807,0.1265882498152415,0.49185601668748763,0.0005268979187803769,0.017125649041104734,0.0016338330436419673,0.016443711740089968,0.078182238005962,0.04747911870686789,0.025195347935016328,0.0013620425204259354,0.001713632244419529,0.032615702107020875,0.0057242209677324475,0.0009133218006477547,0.02352730521574579,0.015145839793554465,0.0011496447716125662,0.0016502068638150514,0.0007710471759470687,0.11039597364488622
