year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.04610962308007294,0.0002767684736674549,0.040392219785768894,0.00022381718821982925,0.00017588135133574125,0.0011270150627846528,0.000255807609750422,0.4204700232167334,0.00018876895605568535,0.00013490701722247112,0.00020769302501842253,0.10833276319120151,0.0003033822939853804,0.00012214820989399786,0.00025154777945703935,0.000979430732612578,0.023009708058841952,0.00016892118902659957,0.11765230042728529,0.0002589063914856789,0.0001848230903761379,0.03447148302395738,0.011897442008678693,0.0003077134659415808,0.1134437678834062,0.002572736870561272,0.0009431585668491348,0.00026145322790064186,0.00041180622181877794,0.0005258980327610751,0.05080263112490845,0.0027272658544762202,0.006063350849631837,0.0003759707309506056,0.00014815055278242758,0.0008632672822272728,0.00021907974301759196,0.004816158296316215,0.00032166520133755996,0.008000544931681121
1799,0.0001255946570899168,4.334275761204951e-05,0.0032298252219614427,3.505043045501769e-05,2.754353730542381e-05,0.00017649387606948375,4.006022462678361e-05,0.36430659070047305,2.9561774137728632e-05,2.112683598011159e-05,0.26077962486097056,0.3611604086090947,4.7510560208513094e-05,1.912876919841121e-05,3.939312266452621e-05,0.00015338173556727193,0.006145728585484401,2.6453555401386146e-05,0.0014869778438251116,4.0545502967427505e-05,2.894383995811603e-05,0.0003459330433393134,3.8422600291693936e-05,4.818883448515364e-05,0.00034173873917175285,4.2447678011708784e-05,0.00014770140764582684,4.0944345046326695e-05,6.449006644041053e-05,8.235717984991465e-05,0.0001056766977071048,6.664737173083299e-05,4.841236864563203e-05,5.8878123092866454e-05,2.320081262960326e-05,0.0001351901973233637,3.430853259222984e-05,0.0002303445226696706,5.037371731347009e-05,0.0001314567609617229
1800,0.01960625860842121,0.009758409109596732,0.06080088656784961,0.00011508386359893173,0.011903451752836225,0.006690911576696323,0.02279579758984491,0.32014571510350115,9.706252215575173e-05,0.0010815401770723212,0.001095358977473547,0.22985020439086126,0.0053199640687444,0.007317817186151096,0.006317097565441083,0.001028573884344675,0.001597881599057924,0.0051151907642619,0.14293951233241095,0.0013468738388700897,0.014347875076575168,0.024514028176737007,0.0020757362853293915,0.00015822222959567135,0.014531071668157081,0.0025844226513868575,0.0006068085381142112,0.0007332508212936909,0.010226853413920161,0.0011240498190342497,0.0023195156706441334,0.001433346837464882,0.00015895617706793453,0.0023051343266780096,0.0015175584497536332,0.012021074668708177,0.020189504128921287,0.01336916748048827,0.0031270577610830724,0.01773277433985704
1801,0.012578938639948549,0.00025058456692751447,0.09038177167538122,0.007311833436509739,0.011542063558788345,0.012872420750743262,0.00013009564467100218,0.38429736602625475,0.006159626181858266,0.0005679541229977783,0.00010562609145914074,0.08070731639621971,0.006343928767696838,0.0006500121880406911,0.026170823661464285,0.0015233371648869466,0.0026096136455548494,0.00015912722491401199,0.1861797667149225,0.0009261301927553514,0.0007010857021922348,0.07008632278871355,0.0001247774569776667,0.007931305369847907,0.01105009184044639,0.003836643990486404,0.02484620146574892,0.0023144064825554923,0.006362897917495695,0.003814387358473577,0.0027961653943759466,0.00021643744816032958,0.003150840128209256,0.004803557656107069,0.002851615395375743,0.004947297384246839,0.005944956095831113,0.009951740715345344,0.001230875174160289,0.0015700575832555547
1802,0.012893858838259071,9.74707915633315e-05,0.13182344311435232,0.006709103779739278,0.0004980887293919282,0.0037546130208024895,0.0022048427968678476,0.4181012040894025,0.004110801647238894,4.7510807794972105e-05,0.0004576467758586089,0.03857562845688514,0.005094187184670746,0.0006130492915778357,0.004292719019717604,0.006032124434547515,0.0009182425931324062,5.948973084999858e-05,0.1395889836051178,0.00015474260330707206,0.0001078020620845608,0.051865335130650315,0.0018667507413075832,0.0006582911123360635,0.023901802153745252,0.006361139971403183,0.05018995311378128,0.0004531498511253849,0.002665833057611022,0.00228868306145741,0.0007553397428582887,0.0032741892469339987,0.0104601205379903,0.0003410803686529941,0.0005594210183147925,0.0011747476453835472,0.0483758812547539,0.008228262860133232,0.006449206084674042,0.003995259673725653
1803,0.15454379167393936,0.00276613880684834,0.057188789696377126,0.0014510355805780308,0.0007370168103504821,0.005123124936513885,0.00031155627294065174,0.37620346389932957,0.0032064062643837456,7.011644107020689e-05,0.00285300909031644,0.09821578621333109,0.002839945733884882,0.0002702627290868756,0.0041116545251851586,0.0030712080641653733,0.00444295349993556,0.0002728038793780365,0.09355288336118797,0.0059119287701272305,0.0013362304942350013,0.03378209232577679,0.0045007760201711345,0.0006812347162064089,0.012032834755743313,0.0014853923494389425,0.056420496174482096,0.0013119976451738766,0.004215416343671287,0.0025156320962598285,0.0015158333086506936,0.004644015248527369,0.0007286185456325182,0.002739844516699241,0.0047265570162142,0.0030218851879067797,0.010798812087147287,0.017913203937419117,0.013526334633084286,0.004958916348629901
1804,0.11016138479217055,0.0016397407824503966,0.03824831631714669,0.018218726062806934,0.0008368763952800739,0.004273560898803994,0.005176275104171192,0.426359571510243,8.561207108203457e-05,0.003441779348260764,0.005173486566592171,0.06751058144954103,0.004198671717590417,5.539767473685337e-05,0.004221884454598118,0.0019118952037913129,0.0007540922115877828,0.003454844210257131,0.07912841736684839,0.0002170601592773644,0.0022508023102007055,0.047009317723375056,0.007825018109617887,0.0004583929010975755,0.031768791230616586,0.008906774613888904,0.08515706703729518,0.0015107480909304946,0.00163903122102671,0.0007850669751997455,0.001176072411422108,0.005673145981905186,0.005917834909003035,0.003062268812866708,0.001998708431423303,0.008225562651469825,9.935887194461741e-05,0.005128840034387847,0.002899972253893734,0.0034390511311988463
1805,0.04894455316726486,0.00017529618852545935,0.041004933200270814,0.0038638463326108293,0.0011343987556006975,0.018943775138284057,0.001515784133261491,0.3403833081351832,0.0010042709936707516,0.00014509697324134138,0.008722147274659236,0.054505708761585656,0.010299806723246053,0.0035394574959711177,0.0033670253366413923,0.0038444453764429794,0.010093447495888606,0.00010698921089231536,0.1323939631102409,0.001640314887205034,0.00011706096024997965,0.036698406585157856,0.019435300103966612,0.004943563781643696,0.029792500312214795,0.0009226704647746719,0.0729012553702246,0.00016559600781600924,0.009231521390344158,0.0009831063166928964,0.003155058832319633,0.0027944433668284844,0.0009270220933738652,0.0008859980760662503,9.383376251842688e-05,0.07791613115146717,0.00013875801468726632,0.047392554442796934,0.0005187575348743071,0.005357892741295648
1806,0.04730984465729815,0.0011111090651535758,0.0018482255368233124,0.0037915925711134134,0.0029569374851542013,0.036259598737523664,0.0037404285445135606,0.3372197967015096,0.003668546156982804,0.0007714245021426254,0.0001824235654446121,0.06791554725125333,0.0034180302423736353,0.00010728676112047307,0.0002209426282089047,0.0016258115653255726,0.015471459696431237,0.0004033988499378703,0.13767335765821997,0.00022740593742628907,0.004746951608815599,0.050140867642031156,0.0010996440458495098,0.0016811822649287409,0.004972686059461249,0.0018865776206028328,0.09629115909660822,0.0002296429070085874,0.003032892954019936,0.0035940691712071505,0.0005927046588990304,0.0007002680745676924,0.00027152851165100595,0.0003302273691509036,0.00013012546790516145,0.11214418676220676,0.00019242489166120785,0.04640998274711103,0.004023092258896209,0.0016066177734613727
1807,0.005826379331796404,0.005733682008317767,0.006262897913325328,0.0003353401562695792,0.012432116394778644,0.015345300076704461,0.00038327067063500023,0.35176408812712195,0.0002828281944118829,0.00020212808764630088,0.0003111816926114388,0.015132763988394896,0.0035538397441770442,0.00018301185945411499,0.0003768882646740168,0.0029486457178694568,0.009874890688093788,0.00025309074059936046,0.1650639608171447,0.0003879135041886313,0.00027691619442599005,0.20680639366053855,0.0019432012546378734,0.0004610400236721475,0.04103212096702322,0.00040611230141652816,0.04100443961502886,0.0014934809641648414,0.003041395047722401,0.0032508781289170606,0.0010110472214780028,0.004401448887342314,0.000607373960499823,0.0017254713037779552,0.00022197057302269474,0.026284077927832338,0.002491171719791906,0.06428194229671076,0.0004819435886089217,0.0021233563851729997
