receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Abeken Bernhard Rudolf,0.00032631009325870784,0.0070209924942704885,0.0416788156037598,0.09839928912258526,0.021662778489247702,9.272383158111634e-05,0.024136889732592592,9.071466479613837e-05,0.00012103315190560422,5.8182132897267484e-05,4.103065497155984e-05,5.7104232585152886e-05,8.938933785271153e-05,0.00010612874345494318,0.00019926218196112517,5.852242842262924e-05,8.398596662735306e-05,0.0006642599186070357,0.0003863324867904482,0.00042097780858603743,0.00048567325805362594,4.6500638065268975e-05,0.00017662570537247554,7.665655219292187e-05,0.00016770195951893083,0.00011594140085223993,0.00031870966138494093,0.0003388684669651708,5.152565124625115e-05,0.00025687272072808746,0.05955975677686593,6.807896271267551e-05,0.00048234475195441345,0.00019070027680234293,0.0011683614258477624,0.2614572886467383,6.373025522050303e-05,0.00018033781851886532,0.00011267011981546876,8.803331898054454e-05,9.134157143285746e-05,0.0007777223355447744,7.366066927479267e-05,0.010200997813901451,7.53074512003457e-05,0.00011178762784446887,0.00012344702393070082,0.00013603704238317318,0.00011690775178893029,0.10484098614845637,5.9235642129867465e-05,7.408617306223152e-05,8.66370766233083e-05,0.027150039349421003,4.5888070455852664e-05,7.105248297629913e-05,0.0014488196921758785,8.953042928101735e-05,0.3332162109440666,0.00010920325945975472
Abeken Bernhard Rudolf + Truchsess von Wetzhausen Christian Freiherr + Voß Heinrich + Voß Abraham Sophus,0.05054196913997873,0.0002448757976385584,0.00034985377976523883,0.0007033514284629714,0.0022362125972388105,0.00023213154378919415,0.00018166674558976886,0.0002271016503996085,0.00030300314301551966,0.0001456573579854233,0.00010271910811728873,0.00014295886441332453,0.00022378373111006802,0.0002656903693313349,0.0004988473527107714,0.0001465092784065253,0.00021025654092799185,0.0016629563053446805,0.0009671726787533764,0.0010539062821468906,0.0012158695477385336,0.00011641305926654306,0.00044217756063175936,0.00019190755492597448,0.0004198372100871037,0.0002902560853017353,0.0007978808085933819,0.0008483478199376151,0.00012899304056554706,0.0006430737406248972,0.0881439643264475,0.0001704337972728768,0.001207536724923225,0.0004774128603219823,0.002924960464435975,0.5243781908383508,0.00015954692853123586,0.00045147073306324784,0.00028206652384503796,0.00022038897542713413,0.00022867109379848258,0.001947006323087632,0.0001844074450304012,0.0006753850154557075,0.0001885301179629616,0.0002798572296418476,0.00030904620476286595,0.00034056496719828323,0.0002926753181025264,0.004039761872079602,0.00014829478916562278,0.00018547268197523039,0.0002168935213635736,0.0001944573335668334,0.00011487951322531126,0.00017787792288237084,0.028489610395485136,0.00022413694959241045,0.25267520124485804,0.02513591776534692
Abeken Minona Laura,0.00010591477354817762,3.174893107732597e-05,4.535966252289014e-05,9.119176431788553e-05,0.00028993212195178484,3.0096597767961382e-05,2.3553675129973275e-05,2.9444455987955986e-05,3.92853274867622e-05,1.888494275130613e-05,1.3317861198981465e-05,1.853507442107764e-05,2.9014277130512373e-05,3.4447606930353446e-05,6.46771562238985e-05,1.8995396961129085e-05,2.726043361922125e-05,0.00021560760855967668,0.00012539703398102813,0.0001366423233186593,0.0001576413791907208,1.5093325803514053e-05,5.7329736265562704e-05,2.4881428844005623e-05,5.443323829995938e-05,3.7632630647399626e-05,0.0387855277446319,0.00010999101064513702,1.672436065084369e-05,8.337656912453971e-05,0.13714490696412146,2.2097287420990422e-05,0.0001565610020371023,6.189810566809962e-05,0.09063741702278907,0.00029367121699873123,2.068577003683295e-05,5.8534625821257106e-05,3.657082778754335e-05,2.8574136188691246e-05,2.9647939348831706e-05,0.003475942264644621,2.390901558616951e-05,8.75658293434614e-05,2.444353332966418e-05,3.628438572155297e-05,4.00688297877765e-05,4.4155338237589534e-05,3.794629192463901e-05,0.00697078138301033,0.16764157331626653,2.4047126966177442e-05,2.8120939379459228e-05,2.521201580732225e-05,1.4894496649973776e-05,2.3062442136915554e-05,0.14230455565514802,2.9060073037495698e-05,0.4099104281726467,3.5445543166918734e-05
Ahlefeldt Johann Georg Jacob von,0.0009071216364037568,0.0002719180842116767,0.00038848906451912285,0.0007810244001225961,0.002483163510624736,0.00025776644846471977,0.00020172868818442048,0.00025218109055072987,0.0003364645871639348,0.00016174268799398138,0.00011406265282456465,0.05537507796955229,0.00024849676459658853,0.00029503126449722064,0.0005539363945774468,0.00016268868825632167,0.00023347573077230502,0.08467109866496242,0.0010739801337846977,0.27725195084483645,0.0013501412604294074,0.0001292688634738085,0.0004910084064161023,0.00021310041737257124,0.00046620095145607186,0.0003223098379143416,0.0008859929114849095,0.0009420331293134924,0.00014323808561512012,0.0007140900866636915,0.04266160530625618,0.0001892552554653305,0.0013408882217956814,0.0005301348341022374,0.0032479716393135696,0.0025151875041057995,0.00017716612081078816,0.0005013278486320661,0.0003132158813726426,0.0002447271170014734,0.0002539238517644388,0.002162019417302536,0.00020477205036428258,0.0007499695816368911,0.0002093500010497474,0.00031076260892601965,0.00034317500031606134,0.00037817446363914514,0.0003249962330370811,0.0044858835357369465,0.00016467137772435044,0.00020595492426224533,0.00024084565063534346,0.00021593177486021315,0.00012756596385856092,0.0001975214556937109,0.004027628066590607,0.0002488889899367525,0.5014441238402048,0.00030357822656505663
Arnim Ludwig Achim von,0.00017549834319973817,5.260724841090175e-05,7.515991730129553e-05,0.1657306705005971,0.0004804108561850214,4.9869370129215945e-05,3.902789783801894e-05,4.878878620227005e-05,6.509488388652206e-05,3.1291915690765837e-05,2.20673896292869e-05,3.071219191629892e-05,4.80759897317515e-05,5.707889221632452e-05,0.00010716855996488246,3.147493577544316e-05,4.5169911380715864e-05,0.00035725684732988786,0.0002077800005475285,0.00022641318628207797,0.0002612081387787587,2.500929363443037e-05,9.49940541213319e-05,4.122795519719352e-05,9.01946236262691e-05,6.23564032439926e-05,0.00017141062654921132,0.026888634484777667,2.7711880854495423e-05,0.00013815305696121107,0.06700766435777837,3.661469690843671e-05,0.0002594179786892916,0.00010256373712598768,0.2303032606242353,0.20345510897032398,3.427584507484823e-05,9.699052839663072e-05,6.0597020331987805e-05,4.7346686316597226e-05,4.912595345010597e-05,0.0004182799863604784,3.9616688799328137e-05,0.10697062220669848,4.050237240371698e-05,6.0122392418242105e-05,6.639312917483064e-05,7.316437966603519e-05,6.28761327645999e-05,0.048939359063482436,3.1858521286751306e-05,3.984553617874869e-05,4.6595749629493344e-05,4.177573019025537e-05,2.4679838301079234e-05,3.821393606933836e-05,0.0007792141917302952,4.815187249608795e-05,0.14508451128215594,5.873244960278793e-05
Barth Karl,0.0002343227152942668,7.0240396957895e-05,0.0001003523770209495,0.00020174996472727136,0.0006414372593249968,6.658482356949179e-05,5.210945486376243e-05,6.514204436571818e-05,8.691369767915635e-05,4.1780489306809964e-05,2.9464042583615485e-05,4.100645095136449e-05,6.4190329372979e-05,7.62108676712448e-05,0.00014308982926731798,4.202485493678156e-05,6.031017781338541e-05,0.0004770039021310463,0.000277424692589427,0.0003023034384299665,0.00034876112913464656,3.3392028011009116e-05,0.00012683461446235604,5.504693794654113e-05,0.00012042648795264146,0.32813643810711896,0.00022886485827156616,0.00024334086179776914,3.70004813113601e-05,0.00018445985781478764,0.011020113282497879,4.888738573159526e-05,0.00034637093464433196,0.00013694153993657016,0.0008389983252300857,0.0006497095227193503,4.576458638018664e-05,0.00012950027651177342,8.090821875607576e-05,6.321657455913535e-05,6.559222494053583e-05,0.007690071954760319,5.289559958900163e-05,0.0001937280533335692,5.4078150850102754e-05,8.02745027934312e-05,8.864709501800317e-05,9.7687965559048e-05,8.395125496903178e-05,0.4005278586308034,4.2537012470114896e-05,5.32011531250414e-05,6.221393533002308e-05,5.5778318775581005e-05,3.295214426697197e-05,5.102266550549546e-05,0.0010403949226703733,6.429164688435354e-05,0.2436357662763968,7.841867231273944e-05
Bentzel-Sternau Christian Ernst Graf von,0.0003767090679629377,0.00011292202054814099,0.00016133156517904242,0.0003243434640065621,0.0010312070334861502,0.00010704513557654904,8.377379951889369e-05,0.00010472565063695486,0.00013972686346183102,6.716843122118325e-05,4.736788751425698e-05,6.59240479479643e-05,0.00010319562540047322,0.0001225204517326786,0.0002300384585018766,6.756128578755839e-05,9.695769718368116e-05,0.0007668556382201809,0.0004460019902211528,0.0234162119181132,0.4133045307823949,5.368271588020183e-05,0.0002039057516875817,8.849624613650307e-05,0.00019360372287304008,0.00013384868551625506,0.000367934740516644,0.011856313895001058,5.948384821112386e-05,0.0002965470122122846,0.10943734677789664,7.859383795107661e-05,0.0005568434617849886,0.00022015415709966777,0.0013488162115353575,0.04690493313462297,7.357346751184251e-05,0.000208191205041428,0.00013007215130580427,0.00010163016783104041,0.00010544938373530861,0.0008978424578633924,8.503764560550519e-05,0.00031144703285771765,8.693877492123695e-05,0.00012905335742002474,0.00014251356083816685,0.00015704812233304175,0.00013496429048283853,0.208234818072348,6.838465618419239e-05,8.552886894947238e-05,0.00010001827421232895,8.967205100922991e-05,5.2975536488651254e-05,8.202662188948353e-05,0.0016725915843896768,0.00010335850856453308,0.17384417136435318,0.00012606983032236086
Bergner Caroline,0.0006173672293905876,0.0001850615259674387,0.00026439719634684133,0.09447913030208174,0.0016899870041197586,0.00017543023088877638,0.00013729215169726232,0.00017162895793690962,0.00022899047010823344,0.0001100785508290815,7.762855732381505e-05,0.00010803920131768943,0.00016912148593403956,0.00020079185308416532,0.00037699704588092797,0.00011072237800454074,0.00015889849745870727,0.0012567564228560654,0.0007309274886704106,0.0007964752200160378,0.0009188767369078784,8.797757311322e-05,0.0003341696276569391,0.00014503150291602645,0.0003172862140966335,0.0002193570560474864,0.000602987479376667,0.0006411272311220198,9.748472146469492e-05,0.00048599416070219744,0.08540310870082576,0.0001288030050495167,0.0009125793203371588,0.0003607982221994563,0.039789531601792966,0.2271859788896172,0.00012057540329481377,0.019130709236362845,0.00021316790728392605,0.00016655594588055626,0.00017281504326308733,0.03905045617061772,0.00013936339771500949,0.0005104129635557528,0.00014247905124762373,0.00021149826348696365,0.00023355743115241977,0.00025737730363125494,0.00022118535806059795,0.003052994635654469,0.00011207175327517312,0.00014016843592796495,0.0001639143044068391,0.00014695846315753233,8.681861672280292e-05,0.00013442880089406826,0.13426773089134933,0.00016938842595821732,0.3412719496546404,0.00020660872932189367
Bertuch Friedrich Johann Justin,0.1414844850873882,0.006975088248041564,0.00028993172515082133,0.14012161756018354,0.017185645429077443,0.0001923726506481825,0.0001505513331504398,0.00018820426444767947,0.00025110554483521807,0.00012070954074002705,8.512564375432346e-05,0.0001184732381990283,0.0001854546298312601,0.00022018360695683602,0.0004134060625424881,0.00012141554642487935,0.0001742443419545238,0.0013781294310513113,0.0008015178325581412,0.0008733959276792025,0.0010076185421541868,9.647413020914628e-05,0.0003664425265405863,0.0001590381230309982,0.01056955895226299,0.00024054177034624568,0.009382392735125878,0.0007030449896168017,0.00010689944470148296,0.0005329297260806485,0.038898444538766085,0.00014124233529930343,0.0010007129437758025,0.0003956428148217292,0.012645611145657,0.024430256543631956,0.00013222014140483538,0.00037414398832554533,0.00023375489588983072,0.00018264131916107367,0.00018950489762210867,0.0016135280931112086,0.00015282261264747883,0.0005597068089516849,0.00015623916477497602,0.04610246238986596,0.00025611356652581317,0.00028223387648402344,0.00024254664318182142,0.34038958467605324,0.00012289523949839096,0.00015370539855110967,0.00017974455746962194,0.00016115118215127695,9.520324598536884e-05,0.00014741145024111792,0.00811665823676781,0.00018574734996139393,0.18773550910259043,0.00022656225614788505
Bode August Theodor Heinrich,0.00037787497478704985,0.00011327151188123139,0.00016183088305796712,0.00032534730036252324,0.0033489984469306238,0.010117427146429658,8.403307770688381e-05,0.0013141926626244935,0.009696266458389573,0.0016638883889751478,0.0052871336725732465,6.612808152164827e-05,0.00010351501374045546,0.0023473553629815374,0.024716198881940644,0.0012660235650771804,9.725777926401956e-05,0.0013683556299111052,0.003182801291358591,0.0015997303337037798,0.0035331366345682925,5.3848862782690944e-05,0.0033739476359821315,0.0006170052735636076,0.008512205659377874,0.0001342629444473865,0.00036907349097761906,0.00616866976047046,5.966794949896602e-05,0.0018821702192127819,0.027081449757619367,7.883708426446065e-05,0.0035342656806658123,0.00022083552969180405,0.014157819492501441,0.01618700104873103,7.38011758818839e-05,0.00020883555254277837,0.00013047472194116077,0.00010194471111201481,0.00010577574741102325,0.004816014375226301,0.00038141320469485415,0.39270225280131854,8.720784864305825e-05,0.003756881439661914,0.0018804286634088437,0.00015753418304438122,0.00013538200218841628,0.08771723110665874,6.85963052898029e-05,0.0008918888378752112,0.00010032782871567728,8.994958416437573e-05,5.313949468545579e-05,8.22804925986145e-05,0.012984471322310466,0.00010367840102456088,0.34004220269817237,0.00012646001385651983
