receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
AbekenBernhardRudolf,4.73817256235865e-05,0.00012993719309335104,8.995077778543766e-05,8.165519199600944e-05,0.00010957875615261192,0.0008941191608590692,0.00029547163790626937,6.732886541713118e-05,6.540105095778615e-05,0.048624730796546646,0.0002315959205640066,6.329023335297155e-05,0.00011211897770820877,6.117858167951973e-05,0.0001272060814367579,0.0001629212845328261,7.702595985466097e-05,0.00019567846368450046,0.00033348292559230643,9.693393883325567e-05,0.0002478404733293971,0.06414002677427244,4.5400645466195716e-05,9.681939573052248e-05,0.00013311196701700498,7.255529624341145e-05,0.1464202114856076,0.0008979690861970747,0.3979720203729822,7.162898906190425e-05,0.00016287544379300963,6.242989655788869e-05,0.00010313903555149543,0.07649661099942606,0.0003445743128486267,0.00012440774112420572,0.00012141769410089015,0.00010481128324857349,0.0004937038562495244,9.774241672861729e-05,0.00010525755609153487,7.440248342682137e-05,0.20784545652735426,0.0006442107728570479,9.015964730709053e-05,0.0008096449080394035,6.652076217918178e-05,0.00012172776934272202,0.0004829770193648163,6.796036129546458e-05,9.333761647596409e-05,0.044235303607940805,7.892645906567193e-05,9.859327225192785e-05,0.0003185658919519067,0.004383663246681222,0.00016759643896979178,9.519651132996661e-05,0.00010036406332461576,4.385039563623766e-05
AbekenBernhardRudolfANDTruchsessvonWetzhausenChristianFreiherrANDVoßHeinrichANDVoßAbrahamSophus,0.00011658158934778889,0.00031970731936940323,0.0002213217121006648,0.00020091062400342068,0.0002696158779127708,0.002199958559284136,0.024990597238245142,0.00016566104412637023,0.00016091770329865226,0.00038796373321204274,0.0005698361583600854,0.00015572408765983982,0.0002758660315817113,0.00015052841981532837,0.00031298748522614434,0.000400863878202976,0.0001895205103383831,0.00048146212484326755,0.000820526668757462,0.0002385036108793985,0.0006098054873515671,0.012748244258982348,0.00011170718955895945,0.02450181820338404,0.0003275187737849689,0.00017852055070459254,0.17493334427248816,0.002209431207417314,0.4149332747670149,0.00017624139429939348,0.0004007510881719176,0.00015360724979407802,0.0002537711012029049,0.00082204494551145,0.0008478167587108334,0.0003061022366017059,0.0002987452982543774,0.02452148204923349,0.0012147463915930118,0.00024049285117728442,0.00025898366972744143,0.0001830655100709013,0.2465585116119124,0.0015850650179202405,0.00022183563050444038,0.001992111704340103,0.0001636727256639811,0.0002995082308836645,0.001188353269007556,0.0001672148244539917,0.0002296549467435501,0.0004259686936437754,0.00019419664265855308,0.00024258636060327948,0.0007838236684495426,0.05208549515994594,0.00041236698256514616,0.00023422871255004835,0.00024694334918779967,0.00010789283736549094
AbekenMinonaLaura,1.5291470766367847e-05,4.193453833732436e-05,2.902975083358635e-05,2.6352522304666088e-05,3.536427439629798e-05,0.00028855844378786666,9.535735252085032e-05,2.1728997070260048e-05,2.1106834874601622e-05,5.088741814219746e-05,7.474278748411891e-05,2.04256122033638e-05,0.012766361371834187,1.9744120353745168e-05,4.1053128605896353e-05,0.04142565567480058,2.4858533492977e-05,6.315117205334109e-05,0.00010762470848548176,3.128342145478449e-05,7.998538049768013e-05,0.15443425607631422,1.4652118169688833e-05,3.1246455040330786e-05,4.295913087810794e-05,2.3415719390747353e-05,0.04204046796551582,0.06712323171851811,0.00986926831305391,0.1305074340316494,5.256467666682404e-05,2.0147956318566493e-05,3.328598792573242e-05,0.0001078238538627986,0.00011120422404251032,4.015002221792556e-05,3.918504645890984e-05,3.382567124113421e-05,0.00015933269600726773,3.154434095358854e-05,3.396969655980202e-05,2.401186080272373e-05,0.4078801758882817,0.00020790568665188117,2.9097159146439153e-05,0.00026129612797935037,2.1468198484377414e-05,3.9285116822186894e-05,0.006520959478300392,2.1932799288003892e-05,0.003212667106269855,5.5872353968429007e-05,2.5471880257878545e-05,3.1818936954259085e-05,0.00010281054477930488,0.12140341043387985,5.408828009797454e-05,3.072270270666861e-05,3.239042310350717e-05,1.4151807139573675e-05
AhlefeldtJohannGeorgJacobvon,0.00013267779125425498,0.00036384871075319247,0.000251879186777301,0.00022864997793747719,0.00030684123770029686,0.0025037027212414485,0.0008273764574789126,0.00018853355452198031,0.0001831353095014024,0.0004415291599411117,0.0006485123705294546,0.00017722462106906754,0.00031395433839170064,0.0001713115970868327,0.0003562010816831962,0.0004562104038135955,0.00021568725259064908,0.0005479366995608441,0.0009338152506325947,0.00027143335817151525,0.0006940001899885314,0.06973562205422222,0.00012713039220702826,0.00027111261582467083,0.000372738678063972,0.0002031685491121484,0.08863156067289467,0.002514483240178186,0.002790697346106484,0.000200574713846593,0.0004560820410739893,0.00017481551535997668,0.0002888088023171217,0.0009355431530171721,0.2218738794863617,0.00034836519966410936,0.02795361828436944,0.00029349141207770594,0.0013824641529790046,0.00027369724915528044,0.00029474106042465004,0.0002083410225141301,0.5567366417943612,0.0018039119791433194,0.0002524640609334976,0.002267158839935709,0.00018627071264981415,0.000340860771914564,0.0013524269813421136,0.00019030186239217181,0.0002613629755350876,0.0004847813941489074,0.00022100900975079496,0.00027607980551057554,0.0008920447357468211,0.004049590456439741,0.00046930172027169335,0.00026656823262855624,0.0002810383553566375,0.00012278939954320833
ArnimLudwigAchimvon,2.4612958818237257e-05,6.749730493082691e-05,4.672592144257588e-05,4.2416688110079626e-05,5.692189081427865e-05,0.0004644600380250003,0.00015348599402052848,3.497472010528796e-05,3.3973295668491136e-05,0.10253357320922553,0.00012030504968514836,3.2876808233802823e-05,5.82414368568563e-05,3.177988753298185e-05,6.607859892451224e-05,8.463125422398309e-05,0.02565292834794937,0.00010164733143203715,0.0001732313757290173,5.035340129960971e-05,0.0001287434613928935,0.10514310252911736,2.3583864928393492e-05,5.029390062433077e-05,6.914647618433669e-05,3.7689647115661896e-05,0.02156455846889965,0.1490213748435498,0.3334856129488537,3.7208466656077184e-05,8.460744174720114e-05,3.2429896817460325e-05,5.3576707077928336e-05,0.09238005083313486,0.00017899291890170914,6.462497025299813e-05,6.30717574208166e-05,5.444537454751466e-05,0.00025645990141451243,5.077337403977697e-05,5.467719588709116e-05,3.864918882665884e-05,0.16475080147712964,0.00033464237559769814,4.683442101423918e-05,0.0004205789577458813,3.455494198503664e-05,6.323282941761115e-05,0.00025088772794428654,3.530275758899601e-05,4.848525207304248e-05,8.993143748654352e-05,4.0999217759296724e-05,5.121536030515451e-05,0.0001654825584402975,0.0007512365271748633,8.705981464704742e-05,4.945087546237345e-05,5.2135217215686154e-05,2.2778570593487665e-05
BarthKarl,3.426757733337598e-05,9.397363127255344e-05,6.505451613238406e-05,5.90549535621391e-05,7.924993130021312e-05,0.01491055829149205,0.00021369203144285881,4.869381754432112e-05,4.7299576828083456e-05,0.00011403667855932408,0.00016749561172738,4.577298393688599e-05,8.108707921862899e-05,4.424578782765137e-05,9.199842714761541e-05,0.00011782850125244085,5.570698410112728e-05,0.00014151926293387,0.00024118268787589648,7.010490229051085e-05,0.00017924405399722052,0.0037471735327455407,3.2834813612689304e-05,7.002206202711275e-05,9.62697023740804e-05,5.2473695127081544e-05,0.3580933559880497,0.0006494323433615382,0.08630423382883136,5.180376800731117e-05,0.00011779534815225283,4.51507681507312e-05,0.3495403950367284,0.00024162896473978057,0.0002492042397619506,8.997460167896783e-05,8.781212941242608e-05,7.580198287128157e-05,0.00035705822975334525,7.068961250182148e-05,7.612473787770438e-05,5.3809624302806e-05,0.17945185842024933,0.000465908368412898,6.52055754784004e-05,0.0005855542223013331,4.810937829405462e-05,8.803638311337929e-05,0.00034930032926214265,4.915053020224353e-05,6.750395745635119e-05,0.00012520772132801656,5.708146978792378e-05,7.13049712094423e-05,0.00023039433863091845,0.001045914714306791,0.00012120968279671214,6.884835389455174e-05,7.258564892275841e-05,3.1713636508331244e-05
BentzelSternauChristianErnstGrafvon,5.509200324056522e-05,0.00015108145954492976,0.0001045881819631285,9.494268186411855e-05,0.00012741015886621999,0.0010396163301190193,0.0003435527984426996,7.828507769454685e-05,7.604355611542196e-05,0.023115433404664883,0.00026928278863407414,7.358925187060566e-05,0.00013036374260195105,7.113397783181378e-05,0.00014790592276877498,0.0001894329473507281,8.956014948953691e-05,0.0002275205981533292,0.00038774954216228176,0.00011270769061361692,0.00028817076584077434,0.2353452987117161,5.27885482056464e-05,0.13770515394494495,0.00015477285433876853,8.436198899797751e-05,0.1858612469229077,0.0010440927415710276,0.04702297869498195,8.328494679291376e-05,0.0001893796470930173,7.258891520327485e-05,0.00011992252299910342,0.00038846702172589667,0.0004006457956149712,0.00014465221743115034,0.0001411756095590229,0.00012186689024900769,0.2642931533025829,0.00011364772954729849,0.00012238578365331132,8.650976308081277e-05,0.09358203225926316,0.0007490411444234156,0.00010483104015818816,0.0009413958506232562,7.734547438508746e-05,0.00014153614235944324,0.0005615703346760235,7.901933489007265e-05,0.00010852615014934567,0.00020129652359253327,9.176991089678268e-05,0.00011463704208563591,0.0003704051070485164,0.0016815176710441766,0.00019486887481013748,0.00011068753705479848,0.00011669598836146179,5.09860311480317e-05
BergnerCaroline,8.702129514818946e-05,0.00023864269783528197,0.00016520363240167004,0.00014996795641249497,0.0002012523848726414,0.0016421395880110415,0.0005426633216026414,0.00012365621961519022,0.00012011559485216767,0.0002895920936016895,0.0004253491550439556,0.00011623886644316421,0.0002059177567395821,0.00011236060618338708,0.00023362673713686567,0.00029922129261150486,0.00014146590691598533,0.00035938314019438324,0.0006124748669010838,0.00017802890861548122,0.0004551839067787825,0.0276271607720098,8.338284258404928e-05,0.00017781853870980663,0.0002444734888206895,0.00013325508444165252,0.003798018931406139,0.0016492103623386507,0.3459459625426823,0.00013155382832278086,0.00029913710149147114,0.00011465877156087727,0.00018942519158817665,0.0006136081711411836,0.0006328453129186651,0.0002284873042635627,0.00022299578277297808,0.00019249644233924404,0.0009067366885663283,0.00017951375942298385,0.00019331606721091884,0.00013664762911928767,0.3651548851348942,0.0011831577483646955,0.00016558724224390354,0.001486994143426736,0.00012217205690363218,0.0002235652670790576,0.0008870357758987238,0.00012481602518347795,0.00017142390161788647,0.00031796055981773015,0.00014495636448361686,0.0001810764409979584,0.0005850782372918295,0.2381035705988352,0.00030780768301346263,0.00017483794860774705,0.0001843286765498321,8.053565316174054e-05
BertuchFriedrichJohannJustin,9.90139404014138e-05,0.00027153070774753714,0.0001879708016855039,0.00017063545506950016,0.00022898753239064721,0.0018684473843010865,0.06348964310315466,0.0001406976250858215,0.00013666905703621144,0.23469629753030033,0.00048396769797088196,0.0001322580659680151,0.00023429585205191018,0.00012784533194045529,0.00026582348363873626,0.00034045780613833985,0.000160961714628109,0.00040891072425299277,0.0006968817214848067,0.0002025635646695928,0.0005179140593199361,0.03338420187694187,9.487406263097079e-05,0.0002023242031056533,0.009000970417388302,0.00015161933600991295,0.23281452700288094,0.010599297962816353,0.080587872163439,0.00014968362508220668,0.0003403620124073094,0.00013046021384185546,0.00021553040090358083,0.0006981712095152346,0.0007200594749818134,0.0002599757713132909,0.0002537274480648735,0.00021902490921107192,0.0010316965782754112,0.0002042530468717215,0.0002199574888521509,0.00015547941664820358,0.17240197174837765,0.0013462119884857888,0.0001884072778605784,0.001691920917101743,0.0001390089258080417,0.00025437541457750323,0.01123203354855488,0.00014201726666573721,0.00019504830339823285,0.13120386000202072,0.00016493320180244487,0.00020603108591454923,0.0006657094866115966,0.003022102676820071,0.0003502275107385179,0.00019893284964183952,0.00020973152103857505,9.163449416336821e-05
BodeAugustTheodorHeinrich,5.4111733405623745e-05,0.0013244044338917675,0.0018852625577351085,9.325333601344325e-05,0.00012514310869459554,0.0037898356351708197,0.006874034903447622,7.689212598329904e-05,7.469048852272384e-05,0.0001800746603307373,0.004455619964067653,7.22798545072593e-05,0.002180382797721013,0.00047521954049433227,0.0001452741848400177,0.0028107612328990526,0.0006047634896102894,0.001796627032011748,0.0003808501891285154,0.0011368715758963617,0.009758356506613192,0.01848300429392202,0.002078605627194543,0.0024483909347731607,0.0011856127565387231,8.286090883813518e-05,0.0983316621579179,0.004632828284534657,0.026979867125430847,8.180303079343008e-05,0.007624935742908014,0.007519368349468837,0.00011778870275457943,0.3836746512739646,0.00039351697537181284,0.01062977691680214,0.007073587137244872,0.001288608223818504,0.0011482834631866457,0.00011162555873244643,0.00012020813381514607,8.497046688194785e-05,0.339185289988805,0.003360412140297938,0.00010296574754967859,0.0035493442169870428,7.59692413394698e-05,0.02307954138134791,0.002094544374565626,7.761331830302572e-05,0.00010659510925346116,0.0010359405116723965,9.013701918626404e-05,0.00011259726811276427,0.0029885132964180667,0.0076460424647313615,0.003834412068555205,0.00010871803790253503,0.00011461957889147189,5.007882020274151e-05
