sender,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Adelheid Louise Theresa Caroline Amelia,0.0007414217596963036,0.010443878395128574,0.0003175254941337722,0.0006383581450006377,0.0020295750710564993,0.0002106813972258898,0.008663691923869999,0.00020611629181230796,0.00027500409678194473,0.00013219787020616502,9.322733509927669e-05,0.00012974873129598246,0.00020310496530151747,0.00024113921497468649,0.0004527512959073938,0.00013297106880603318,0.0001908277569498241,0.0015092906040110948,0.0008778009571310721,0.000956519930223226,0.0011035169584474602,0.00010565589484851956,0.00040131808359675095,0.008672986429840433,0.0003810420961525864,0.0002634349326527561,0.009222964643400703,0.0007699561253954592,0.00011707342128153466,0.017581274661764776,0.44196545513835855,0.00015468483928479876,0.0010959541312465207,0.0004332974606742177,0.002654679098836652,0.13709355746682178,0.0001448039731152845,0.00040975251917826395,0.0002560021287252934,0.00020002390247461207,0.0002075407105825635,0.001767092941613562,0.00016736725023955976,0.0006129759721533432,0.00017110896702461666,0.0002539969846504583,0.00028048874859475234,0.00030909501554292286,0.0002656306159208096,0.018998912700104457,0.0001345915892029945,0.00016833405382105432,0.0001968514463145022,0.020619749234565336,0.00010426405633573925,0.00016144108946490138,0.037743833157869215,0.00020342554458243367,0.2659119087692305,0.0002481249414771596
Adersbach Gerson,0.0013027551063840464,0.000390512868956922,0.0005579253015980123,0.001121661621371988,0.043215409554096015,0.0003701891163385584,0.0002897109583652749,0.00036216775156075465,0.00048321078613333435,0.000232285400599412,0.00016381011922944895,0.00022798200893366005,0.00035687653783844777,0.0004237066683696892,0.0007955310927304744,0.0002336439909173437,0.0003353042064856955,0.002651980489752975,0.0015423875335945426,0.08097917529156537,0.0019389940122443747,0.00018564839072145043,0.0007051575919542485,0.0003060423715669395,0.0006695305742218798,0.000462882562084354,0.2391678222828705,0.0013528929532112446,0.0002057101715747369,0.0010255344702254279,0.021618870373212,0.00027179734290643296,0.0019257053386576165,0.000761348681899755,0.044313782313678114,0.003612165373408357,0.0002544356338798395,0.0007199777720738392,0.00044982235290568135,0.000351462790159279,0.00036467060341573637,0.0031049659967968034,0.00029408165735566563,0.0010770625050721366,0.00030065624271767663,0.0004462991063211772,0.0004928478895261461,0.0005431120743223668,0.00046674060583887033,0.04609159906900606,0.00023649141371621813,0.0002957804317525464,0.0003458884548928638,0.0003101086018022224,0.00018320278576573773,0.00028366877681975923,0.00578424416285358,0.0003574398289608793,0.4822493487187489,0.0004359813160366621
Aretin Johann Christoph + Babo Joseph Marius Franz von,0.0006542461348745531,0.000196116318317866,0.0002801911658841063,0.2395063719773246,0.00179093967544244,0.000185909690432432,0.00014549340379665143,0.00018188134552203414,0.00024266939166710282,0.00011665417758504787,8.226575880149558e-05,0.0001144930059647084,0.00017922408775374724,0.0002127863086032099,0.00039951725388824485,0.0001173364642711864,0.0001683904212122701,0.0013318297327572506,0.0007745900034380259,0.0008440532788454425,0.0009737665443330164,9.323298099541971e-05,0.0003541315069522448,0.00015369507110301508,0.0003362395497192344,0.00023246051822056206,0.000639007399452272,0.020591348070302,0.00010330804615359358,0.0005150253950551893,0.010857038527591331,0.0001364971514556367,0.000967092946748066,0.0003823507810361328,0.002342544600333235,0.04163788166250234,0.000127778067592674,0.0003615742300809989,0.00022590165590336402,0.00017650529319525706,0.00018313828256588918,0.0015593199307885664,0.00014768837728564442,0.0005409028738468191,0.00015099014677433795,0.00022413227465217867,0.0002475091636359373,0.0002727519344870333,0.00023439803525826167,0.5607692007433791,0.00011876644550970791,0.00014854150507438748,0.00017370585123976194,0.00015573713979413528,9.200479345513351e-05,0.00014245900853464692,0.0029048586093985717,0.00017950697364523522,0.1028030976551572,0.0002189506604094016
Aretin Johann Christoph + Babo Joseph Marius Franz von + Scherer Joseph,0.00012626568784555772,3.784930549859768e-05,5.407526067446928e-05,0.09618083670739026,0.0003456409108981578,3.587948585146276e-05,2.8079378276950982e-05,3.5102038780891886e-05,4.683377711323421e-05,2.2513575835886555e-05,1.587681159660084e-05,2.2096482319167817e-05,3.458920353126518e-05,4.1066516388443124e-05,7.710449963611948e-05,2.2645253186566904e-05,3.249836908099929e-05,0.00025703536992542387,0.00014949135251849594,0.0001628973594962897,0.0001879312631243522,1.7993421508765502e-05,6.83453152102806e-05,0.015401201927472206,0.011593547028260992,4.486352408590395e-05,0.0001233247007958448,0.00013112515044578726,1.993785031693807e-05,9.939689712808564e-05,0.005938230026069549,2.634315404982851e-05,0.00018664329771722032,7.379147050684591e-05,0.10805287517063324,0.00035009845154339986,2.466042172226011e-05,6.978171736109555e-05,0.2613597721810819,3.4064492040070286e-05,3.5344620298704524e-05,0.004143824570017695,2.850299535715521e-05,0.00010439109959282083,2.914021760941553e-05,4.3256221655437305e-05,4.77678248730696e-05,5.263953240750168e-05,4.523745357273925e-05,0.400284438634214,2.292123122459197e-05,2.8667644044130586e-05,3.3524216071665706e-05,3.0056359573261745e-05,1.775638847744723e-05,2.749375769086106e-05,0.0005606207677178391,3.4643798858263e-05,0.09285521165949334,4.225620033068001e-05
Bassewitz Adelheid Henriette von,0.00010464242992755848,3.136753433195751e-05,4.481476141692512e-05,9.00962867400565e-05,0.08332837993217944,2.973505033798942e-05,0.021059577581131604,2.909074267220371e-05,0.014063017966064925,1.865807981584932e-05,1.3157875059473666e-05,1.8312414419008784e-05,2.8665731510508828e-05,3.4033791260875626e-05,6.390019599102e-05,1.876720715025604e-05,2.693295674655485e-05,0.05674989035631928,0.0001238906519071643,0.0001350008527045339,0.00015574764901088255,1.4912011184630483e-05,5.664103985650048e-05,2.458253071864486e-05,5.377933723233266e-05,3.718055360538475e-05,0.04591844274034287,0.00010866969959445398,1.6523452572865733e-05,8.237497470781309e-05,0.489182894898173,2.1831834909114956e-05,0.00015468025032035491,6.115452989262582e-05,0.00037467482974057277,0.0002901433739321751,2.0437273942640884e-05,0.0014895888816753703,0.025807765182741693,2.8230877937963403e-05,2.9291781607741597e-05,0.005976432824865435,2.362179896437775e-05,8.651390976116914e-05,0.00878927775141362,3.5848505011484684e-05,3.95874869282465e-05,4.3624904559257367e-05,3.749044690095584e-05,0.003380990938543133,1.899592338344923e-05,2.3758251226139933e-05,2.7783125336841296e-05,2.4909146373712936e-05,1.4715570545899094e-05,2.2785395317611778e-05,0.0431518648599415,2.871097727582497e-05,0.19829658834287575,3.50197393888717e-05
Bayreuther Postamt  + Osmund Emanuel,0.00020007776834903967,5.9975157993699464e-05,8.5686441528549e-05,0.00017226534207935394,0.012726392788704416,5.6853826096066966e-05,4.449395111324784e-05,5.562190095834007e-05,7.421174958975128e-05,3.5674505779517075e-05,2.5158038473852968e-05,3.5013588776316565e-05,5.480927375908435e-05,6.50730779918532e-05,0.0001221780554962294,3.5883158747047444e-05,0.10965977797942776,0.00040729246463498366,0.0002368806340798195,0.00025812349114063415,0.3413013350135534,2.851197092309724e-05,0.00010829844891123932,4.700213756468658e-05,0.00010282683404986363,7.108973096761105e-05,0.00019541754643372631,0.00020777796346157728,3.159306906853008e-05,0.0001575020870478402,0.009409585706391535,4.1742769262948976e-05,0.03683184470226455,0.0001169283040715098,0.0007163834387537267,0.0005547581301179461,3.90763494732712e-05,0.00011057453944454668,6.908393763482318e-05,5.397782773462058e-05,5.6006290174086804e-05,0.00047686220103413567,4.5165205208386246e-05,0.00016541578791841796,4.617493325366912e-05,6.854283569592725e-05,7.569182065662629e-05,8.341141881642573e-05,7.16822512201235e-05,0.0009894214082051317,3.632046733739814e-05,4.5426103813650454e-05,5.312171858972586e-05,4.762663119904809e-05,2.8136373714224652e-05,4.356598990729104e-05,0.0008883470561876555,5.48957842860089e-05,0.4820504737965291,6.695822440229046e-05
Bergner Caroline,0.0003214305365230056,9.6351770469252e-05,0.00013765766731874308,0.0002767490950433304,0.000879887048730032,9.133726338632552e-05,7.148077818126204e-05,8.935814116178661e-05,0.00011922325345678112,5.7312092330513416e-05,4.0417093169540994e-05,5.625031066087127e-05,8.805263281468091e-05,0.0001045417216751216,0.00019628246683049864,5.764729916460507e-05,8.273006220506463e-05,0.0006543267475925363,0.00038055537070644057,0.01019739225184955,0.00047841062577026863,4.580527955085753e-05,0.00017398449025791547,7.551024993836021e-05,0.00016519418779177106,0.00011420764313170639,0.00031394375954165566,0.00033380111555723863,5.075514998443222e-05,0.00025303151250149065,0.2596845037950816,6.706092751263996e-05,0.049388680075934194,0.000187848594186956,0.0011508900512779599,0.16719729828884472,6.277724946752843e-05,0.0001776410934244383,0.0001109852799854545,8.671689149799907e-05,8.997567319880725e-05,0.0007660924768940192,7.255916667851479e-05,0.0002657450945136353,7.418132305308709e-05,0.00011011598457113566,0.00012160102906395342,0.0001340027796368488,0.00011515954350643257,0.001589533193572576,5.8349847658535316e-05,7.297830759237123e-05,8.534152818784006e-05,7.65135164462005e-05,4.52018721190341e-05,6.998998252333125e-05,0.10903696041904733,8.819161439826059e-05,0.3929019065206661,0.00010757026216280927
Bornträger Johann Friedrich Wilhelm,0.0008377365291970205,0.00025111925782795685,0.00035877380439461814,0.0007212843833940537,0.002293228049400807,0.0002380500709214289,0.0001862986002065384,0.00023289193317516278,0.00031072864336681335,0.00014937110154295222,0.00010533807931985488,0.0001466038060012377,0.0002294894187676251,0.00027246452692315706,0.000511566182490077,0.00015024474289885046,0.00021561733344200803,0.001705355764945231,0.026488268490512185,0.0010807771365938998,0.001246869888278566,0.00011938117742303621,0.0004534515126640651,0.00019680051368620947,0.0004305415627935967,0.0002976565811073145,0.0008182239258486473,0.0008699776661356513,0.00013228190341457876,0.0006594698293243829,0.11588775765809445,0.00017477925173780453,0.0012383246081766885,0.0004895851869302929,0.2834603364389749,0.02781923890485756,0.0001636148066401859,0.0004629816278749901,0.0002892582150181603,0.0002260081089124801,0.00023450139178776908,0.001996648045887233,0.00018910917771602733,0.0006926049265174693,0.00019333696411662576,0.00028699259168592846,0.0003169257816533908,0.00034924816020923463,0.0003001374957232392,0.004142761403540882,0.00015207577781937862,0.00019020157440682351,0.00022242353322685576,0.0001994153025959047,0.00011780853142276648,0.00018241317602212052,0.003719557578604954,0.00022985164306252203,0.514081881983018,0.0002803577377678167
Brockhaus Friedrich Arnold,0.0006611679426610783,0.00019819119409754109,0.00028315553860310455,0.0005692602569202933,0.013797425311757653,0.007433046915112686,0.0005366464500582038,0.00018380561782040922,0.0002452367906859976,0.00011788835804358995,8.313611590333122e-05,0.00011570432161174868,0.00018112024673737592,0.0027164503095626325,0.010059798134428055,0.003720305755340827,0.0001701719619300411,0.005635407545143884,0.0052941759231043516,0.0060646432765591,0.0009840688212430881,0.0004811921431172553,0.003903291621645275,0.009733165085274362,0.2758153821082501,0.00082120854680713,0.004247495876266637,0.0006866136591075139,0.00010440102691444095,0.0005204742721669124,0.18923112568832798,0.005942532873436055,0.0039982078494622125,0.00038639598432016486,0.08804592909925048,0.007655550093445071,0.00012912993682974582,0.010828675387819125,0.0002282916552590661,0.0007548006159097168,0.004250602882322206,0.010243762829528488,0.0006329668612582082,0.0005466255300833205,0.00015258759568220434,0.0013543512780555041,0.0002501277665817843,0.00027563760146049444,0.000236877924796941,0.04164041954360946,0.00012002297338734623,0.00015011304778842,0.00017554362826217705,0.00015738481104416856,9.29781878120715e-05,0.00014396619951671487,0.011078746471612578,0.00018140612551130066,0.2655299413112838,0.00022126711946861665
Carl August ,0.0017094177429407141,0.0005124137481944006,0.0007320849522013209,0.10552374716401897,0.05670535275449067,0.000485745817162145,0.0003801459308254407,0.00047522053638866444,0.000634047863139328,0.0003047946488675448,0.00021494440736546632,0.0002991479282888185,0.00046827763931286037,0.0005559691865064359,0.0010438607826677721,0.0003065773311103386,0.0004399713783814832,0.0034798117319986377,0.0020238528358067507,0.002205346847211164,0.0025442623496493306,0.00024359962320814267,0.0009252766643162104,0.0004015752903093649,0.0008785284643350077,0.0006073740648931999,0.0016696018948641773,0.0017752064123070879,0.00026992380645451144,0.001345661061553234,0.08039330352868873,0.0003566404753829699,0.00252682553877211,0.0009990081320934779,0.006120612854988296,0.004739723950788368,0.0003338592071980316,0.0009447230504603594,0.0005902370349271406,0.0004611739585878915,0.0004785046681091175,0.0040741993181544105,0.0003858809691044036,0.0014132738742715938,0.00039450784979381756,0.0005856139862860006,0.0006466932447997013,0.0007126476892720772,0.0006124364196018428,0.4246611947153055,0.000310313593612936,0.0003881100258788128,0.00045385956191977274,0.00040691081812807166,0.0002403906083418547,0.000372217646922074,0.007589829855994682,0.0004690167650582955,0.21657849821241332,0.05259805158637506
Caroline Friederike Wilhelmine,0.0006542461348745531,0.000196116318317866,0.0002801911658841063,0.17977060414207816,0.021702862287191257,0.000185909690432432,0.00014549340379665143,0.00018188134552203414,0.00024266939166710282,0.00011665417758504787,8.226575880149558e-05,0.0001144930059647084,0.00017922408775374724,0.0002127863086032099,0.00039951725388824485,0.0001173364642711864,0.0001683904212122701,0.0013318297327572506,0.0007745900034380259,0.0008440532788454425,0.0009737665443330164,9.323298099541971e-05,0.0003541315069522448,0.00015369507110301508,0.0003362395497192344,0.00023246051822056206,0.000639007399452272,0.0006794254585531789,0.00010330804615359358,0.0005150253950551893,0.05068088375108897,0.0001364971514556367,0.000967092946748066,0.0003823507810361328,0.20146177071782145,0.001814036439004707,0.000127778067592674,0.0003615742300809989,0.00022590165590336402,0.00017650529319525706,0.00018313828256588918,0.0015593199307885664,0.00014768837728564442,0.0005409028738468191,0.00015099014677433795,0.00022413227465217867,0.0002475091636359373,0.0002727519344870333,0.00023439803525826167,0.4412976650728862,0.00011876644550970791,0.00014854150507438748,0.00017370585123976194,0.00015573713979413528,9.200479345513351e-05,0.00014245900853464692,0.0029048586093985717,0.00017950697364523522,0.08289117504340837,0.0002189506604094016
Cotta Johann Heinrich,0.00028422943140724304,8.520039580494744e-05,0.015976188719388454,0.0002447192440939877,0.1663333804860833,8.076624803421818e-05,6.320787426975916e-05,7.901618162593259e-05,0.00010542482337584985,5.067901635007022e-05,3.573937789165217e-05,4.9740121111598e-05,7.786176767631486e-05,9.244247429468285e-05,0.00017356550670614548,5.097542766459034e-05,7.315521043890735e-05,0.0005785975453189907,0.00033651139000330337,0.00036668888165408757,0.0004230412630137102,4.0503956789613346e-05,0.00015384821017509943,6.677099082607799e-05,0.00014607526271691323,0.00010098970004787615,0.00027760914452504255,0.00029516828831583914,4.4880948702370715e-05,0.018720620151294165,0.041961110735025696,5.92995597205674e-05,0.0030625524995675194,0.00016610773728583509,0.0010176905667566365,0.06807292045268287,5.55116577114296e-05,0.00015708161248386955,9.814028052864111e-05,7.668061980201989e-05,7.956224293565377e-05,0.0006774279490317464,6.41614543269804e-05,0.00023498880327279848,6.559586870772275e-05,9.737159394394549e-05,0.00010752740459340079,0.0001184938253694686,0.00010183143122000264,0.0014055668783035382,5.159666596113133e-05,6.453208552124594e-05,7.546443562781683e-05,6.765814321725401e-05,3.997038535887965e-05,6.188961743336266e-05,0.0012619811823972064,7.79846640784559e-05,0.42116582760313714,0.2540458740043965
Cotta von Cottendorf Johann Friedrich Freiherr,0.00025552964338485754,7.659736941560138e-05,0.48700291894651443,0.00022000895847816505,0.0006994893086794437,7.26109553663583e-05,5.682552116893438e-05,7.103760019692722e-05,9.477965525162013e-05,4.556175238754251e-05,3.213062926747219e-05,4.471766117476872e-05,6.999975206345346e-05,8.310818613392973e-05,0.002993383490355273,4.582823386034271e-05,6.576843482621075e-05,0.0005201742257538359,0.00030253248249750245,0.01735372437411284,0.00038032508646188836,3.641410948501031e-05,0.005077991794413655,6.002885552620682e-05,0.0001313254563561394,9.079236415106837e-05,0.0002495778334764378,0.0002653639599475452,4.0349138932973364e-05,0.000201154043589164,0.02263183294393379,5.331184484749847e-05,0.00037771857200184756,0.00014933517145625686,0.02645102257395094,0.0007085102374122394,4.990642252800288e-05,0.00014122045075202122,8.823066197265905e-05,6.893786943712216e-05,7.152852350155645e-05,0.0006090253263990676,5.768281441528905e-05,0.00021126103937385023,5.897239021102017e-05,8.753959276181239e-05,9.666993039324922e-05,0.00010652902758892933,9.154910234378293e-05,0.226694582590373,4.638674322929221e-05,5.801602148828311e-05,6.784448826689723e-05,6.082642857493316e-05,3.593441490608975e-05,5.564037402345313e-05,0.006074232126785166,7.011023912194313e-05,0.19800007645081885,8.551580390157158e-05
Dalberg Karl Theodor Reichsfreiherr von,0.0006159430963473031,0.00018463462894144803,0.0002637872890405513,0.17857031634019604,0.001686088568600814,0.00017502555118323646,0.00013697544831472498,0.00017123304694820402,0.00022846223848278687,0.00010982462335426665,7.744948498514152e-05,0.00010778997818234665,0.0001687313591424283,0.00020032866958626273,0.010534358614802734,0.00011046696535929396,0.00015853195289659532,0.009841799196310003,0.0007292413966018565,0.06091023079970196,0.0009167570864608862,8.777462782721539e-05,0.0003333987704002652,0.010302928166314687,0.000316554303233597,0.0002188510466305252,0.0006015965173152129,0.0006396482888793423,9.725984523796302e-05,0.00048487307699358764,0.10709285396887905,0.00012850588429734062,0.009498416036133847,0.00035996593851847795,0.04283832449493494,0.001707833125130555,0.00012029726184534128,0.0003404057570446105,0.00021267617489827525,0.00016617173723650793,0.00017241639623135133,0.0014680290721933442,0.0001390419164146394,0.009097177390397542,0.00014215038280654388,0.00021101038260944047,0.00023301866453285494,0.00025678358970339615,0.0002206751311452241,0.16160327834902444,0.00011181322791221279,0.0001398450975780697,0.00016353618945991644,0.061096006780450636,8.661834489922515e-05,0.00013411870264426102,0.002734792780498655,0.0001689976833935444,0.3201682464333694,0.0002061321275451055
Degen Georg Christoph,0.1346744499661064,0.00018860532889175395,0.00026946022364382553,0.0005417269847449209,0.0017223491110241846,0.00017878960103331058,0.00013992120344708903,0.00017491553627810958,0.00023337548257026548,0.00011218648054755319,7.911509163728934e-05,0.00011010807887378224,0.0001723600478840963,0.00020463688112237318,0.00038421628405951153,0.019262165575472983,0.0001619412961010493,0.0012808224574528675,0.0007449242551958761,0.13485698775348526,0.000936472604283966,8.966228407214532e-05,0.0003405687497733123,0.00014780875800167882,0.00032336203027442945,0.0002235575951526651,0.0006145342813473612,0.000653404383515695,9.935148787763062e-05,0.0004953006198319014,0.010441228653741577,0.00013126949538871008,0.0009300545964496523,0.00036770726387213307,0.002252828314232141,0.0017445612998178571,0.00012288434063099373,0.0003477264266845918,0.0002172499283807145,0.00016974537947561622,0.00017612433433523137,0.0014996000889491135,0.00014203211242371598,0.0005201870262270805,0.0001452074286119919,0.00021554831203549112,0.13428329047009466,0.00026230590473563196,0.00022542090791145562,0.23290333268260904,0.00011421785147096765,0.1916360819555281,0.00016705315235623008,0.00014977261822713968,8.848113445153607e-05,0.00013700302141467726,0.002793606458192164,0.0001726320996290024,0.11801520116181785,0.00021056514660167352
Dieskau Johanna Sidonie Dorothea von,0.0002710500598971856,8.124975753516011e-05,0.00011608143823442126,0.0497296779245842,0.0007419750464311081,7.702121577965454e-05,6.027700235674965e-05,7.535229781278076e-05,0.0001005364031064452,4.8329092273119644e-05,3.4082186599250296e-05,4.7433732459869177e-05,7.425141262773564e-05,8.815602969249479e-05,0.0001655174861936808,4.8611759357091556e-05,6.976309269973705e-05,0.0005517686839768996,0.0003209077679425573,0.0003496859661713401,0.00040342535644929397,3.862583779428391e-05,0.00014671445661546234,6.367490155117577e-05,0.00013930193123521648,0.3630692176921604,0.0002647367476301461,0.000281481695374208,4.279987393912822e-05,0.0002133717827848499,0.14473753649805124,0.00830593424705893,0.0004006605269322236,0.00015840552443072657,0.009219885833901641,0.0007515438903466841,5.293764995827109e-05,0.00014979793000920852,0.0413405113130133,7.312503313744151e-05,7.587303892665717e-05,0.0006460164426040621,6.11863660716432e-05,0.0002240926595353168,6.255426840987969e-05,9.285659208520056e-05,0.00010254149020152272,0.008362383746923411,9.710963215505514e-05,0.0013403924592446893,4.92041915927477e-05,6.153981155020625e-05,7.196524193766449e-05,6.452091776974835e-05,3.811700741896441e-05,5.901987147942964e-05,0.03420100199856941,7.43686104738438e-05,0.3313191286930598,9.0709881885471e-05
