year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,9.179289002976777e-05,0.00025172807278376735,0.00017426216003497605,0.00015819107389195835,0.00021228755560790142,0.011689563485083243,0.0005724189064094404,0.0001304365988727775,0.0001267018328140174,0.0003054711511268879,0.002381846024362507,0.00012261253370720755,0.003660402789940285,0.00011852161875442142,0.00024643707443676167,0.0003156283431599132,0.00014922283579424045,0.06604531800836617,0.0006460583930371155,0.00018779067816483133,0.06040853408500013,0.1151432290162086,8.795493202730526e-05,0.0001875687731519919,0.0002578785805968105,0.00014056179342344024,0.1470814702032964,0.001739640684137243,0.0038639128271610265,0.0001387672531839951,0.00031553953563056555,0.00012094579827745587,0.0013800536085298092,0.0006472538391782539,0.0006675458014693269,0.00024101583362724373,0.00023522319830248861,0.000203051502884181,0.0009564553250763293,0.0001893569470493796,0.00020391606983395107,0.00014414035979601526,0.34045457796080375,0.04715728722143608,0.00820878625061085,0.03144067359538383,0.00012887105581419245,0.00023582390885491846,0.00448961138624884,0.0001316599994760948,0.00018082350214264505,0.0003353951311739301,0.00015290468386503224,0.0001910053143567026,0.04096998241436752,0.10319339178240276,0.00032468554678550133,0.00018442474985291024,0.00019443587810383679,8.495162410031054e-05
1799,1.4550546613915946e-05,3.99026662727758e-05,2.7623159939820173e-05,2.5075652306228892e-05,3.3650754131668955e-05,0.00027457679848618663,9.073696206423304e-05,2.0676152711212413e-05,2.0084136405674614e-05,4.8421748375467183e-05,7.112124333609857e-05,1.9435921306960693e-05,3.443083572785268e-05,1.878745007248081e-05,3.9063963862847414e-05,5.003181529998717e-05,2.3654052371384008e-05,6.009128138979049e-05,0.0001024099226002108,2.9767632497573066e-05,7.610981475523173e-05,0.0015911081961881585,1.3942172841187222e-05,2.9732457232559255e-05,4.087761379435309e-05,0.3270829089617283,0.2731855775224493,0.00027575907957353606,0.00030605100850706,2.1996686075403053e-05,5.001773797771288e-05,1.917171880112607e-05,3.167316776152427e-05,0.13940620015436764,0.00010581599836385384,3.8204616073725904e-05,3.7286396696572274e-05,3.218670157115478e-05,0.0001516124809572734,3.001590955266039e-05,3.2323748369653006e-05,2.284840387396442e-05,0.25487006138636314,0.00019783194377743656,2.7687302088951257e-05,0.0002486354352886335,2.042799071040116e-05,3.738161830787319e-05,0.00014831835567887452,2.087008001321029e-05,2.8663230844620386e-05,5.3165146980818626e-05,2.423768038398977e-05,3.0277200436238416e-05,9.782902162057356e-05,0.00044411166440642665,5.146751760223642e-05,2.9234082494018047e-05,3.082099612344795e-05,1.3466103594718261e-05
1800,0.0010572942245846665,0.015846947956267024,9.003933433794005e-05,0.008822504034591472,0.002199635823799916,0.018862850581797024,0.002887939646846565,6.739515069394627e-05,6.54654383010137e-05,0.000467918578186482,0.0002318239267781128,0.004957002042820477,0.00011222935885643648,6.123881200119019e-05,0.000127331315840581,0.008253734843976554,0.00058203471774522,0.0009323506139225328,0.004538040112124586,9.702937030872361e-05,0.0009176474658316986,0.12399626703005086,4.5445342407599164e-05,0.002223739731923744,0.0015799383699552246,0.0037396733580105797,0.2363166609907767,0.04208740311004297,0.008119309991220229,7.169950781101042e-05,0.005894495461273473,6.249135879922069e-05,0.00010324057594549462,0.038468042080883794,0.009949652948657685,0.00012453022056162485,0.006476700718403352,0.0029801944867576054,0.001725746527666834,0.00037905657138243953,0.00010536118216928295,7.447573268149278e-05,0.281193965509339,0.06634595845516086,9.024840949166433e-05,0.009802343204329444,6.658625187825335e-05,0.005633406072801335,0.000970312041925747,0.0014526080605031869,0.0027611281291255864,0.01954387698209625,0.006965337331684961,9.869033734136366e-05,0.0003188795201142268,0.01907998746435228,0.004147890392290902,0.020256739174247244,0.005525570449967855,4.3893566356480636e-05
1801,4.689032559194386e-05,0.00012858960306877322,0.001878649756121848,0.00034751735202249805,0.00014161845859143014,0.006886824532697464,0.0036582994364087076,0.000518773788539024,0.002163637349607292,0.016967121479752278,0.00022919401896173979,6.263384479255071e-05,0.00011095618195798123,6.054409324378824e-05,0.0009956533224422797,0.02935478745451884,7.622711687011917e-05,0.0005203361614856356,0.0012535070783216368,0.0034784740363043073,0.000394610040560792,0.18627856323587924,4.4929791390598707e-05,0.0010666267512263355,0.001125755360001672,0.007977860599987655,0.07077245826536864,0.01089442175396002,0.00651364106362589,0.0063996217644628215,0.004012807865453568,0.0001308139695615616,0.014898527716991017,0.028474086954554556,0.007915781707790196,0.00043051979647499216,0.006384637067216752,0.00010372427623844434,0.021606808001373042,0.0012408638288978716,0.002273844817856066,0.0007501940182382386,0.3468916357079335,0.0976219784860303,0.005455149834814714,0.06309512191072797,6.583086952099901e-05,0.0025708241101398354,0.0008387035964203112,0.00014261273787687003,0.000827415570563756,0.0006118491127777365,0.0005389704554663652,0.0044384939447853836,0.0004646019596644124,0.015521575717462027,0.00042243622044549356,0.009593392369763294,0.0022846777378591424,4.339561933757828e-05
1802,0.00171883141806966,0.0008568766125680005,6.194861467719705e-05,0.0011675563650478985,0.0011357345558002327,0.012126521569034444,0.00259082927800346,0.0011980228765565545,0.0023183801974803915,0.002508072169288326,0.0015270837731744314,0.0018771009085903879,7.721573419425743e-05,0.002324976360521326,0.0020439419472557427,0.013258245533453842,5.304736239812852e-05,0.0030760057173702033,0.0015966204925122879,0.0028531168463078794,0.0008825389623048433,0.14144393741797812,3.126717924318731e-05,6.667899474639336e-05,0.0005068901232550173,0.0007003098962002607,0.04810124963284574,0.01099444385551315,0.014315320324678698,0.0009947017259324589,0.002834694414413,4.29951324648582e-05,0.0008694331727074106,0.010799609124906245,0.0010460882530515271,8.567893916545531e-05,0.011877717778653266,0.0006733554824894083,0.04451866402137595,0.000260555424203312,0.0013915875202814075,0.0010437244798845876,0.37371727484614514,0.1347595250457199,0.002960865579559052,0.032670305002135816,0.001335194904697183,0.0069091859084827465,0.007810765560120504,0.001973155990393611,6.428111218504195e-05,0.0011474066036252658,5.435622593678595e-05,0.04369029567042213,0.0015509762279422557,0.03216066880062592,0.0024390682720698176,0.00612694831737043,0.00011504716277939643,0.0026631085811897994
1803,4.7893609530961176e-05,0.00038859341045779336,0.003705127281426511,0.0003463975795739691,0.00190729130535542,0.0074784393974458,0.012495809698159121,0.0007366770418553848,0.0004072387306624195,0.00027243112462635964,0.0024235566945747305,6.397398329075868e-05,0.0015379472740575583,0.0028952038567490214,0.0007972011356088942,0.0033671216948402164,0.0005006025281315375,0.0005747999887375644,0.0004155189166668805,0.0010308875561297775,0.003114466799998929,0.09156247120958944,0.0004892440813063157,0.0015627288782035064,0.00227953564194296,0.004808335403398137,0.11009095927745986,0.02254003255336361,0.016956151369910806,0.004675145891285554,0.0034450187326291464,0.0016923698902489117,0.00010425328818425888,0.14675588227879832,0.0018723225979930072,0.004843366290358828,0.007100549248275632,0.003931609698916223,0.05664149806789589,0.0003989702978550104,0.004843109905297092,0.00018062816944074795,0.3291285587758554,0.057418505785764615,9.113367836956627e-05,0.036652578464859455,0.0003326040986744477,0.005818519018677791,0.0023686367734375383,0.0023121417765809933,0.0038485230434902964,0.0007847706386060806,0.0001988594094039372,0.008565685922096755,0.001476308708316475,0.015146426577604984,0.0016003889923379081,0.002829223489718212,0.0001014483368123046,4.4324129160350375e-05
1804,0.0019314700139637646,0.0004922346708795959,0.00543513602969529,7.230173547045034e-05,0.007378097153856102,0.010387973612655288,0.0026089020604094532,5.9616464035169664e-05,0.0034838334932731662,0.0005894427204238029,0.00782372180042317,0.0004742170572297842,0.0035035508592485705,0.0008590006458635445,0.0009548899190855432,0.0032020997756572354,0.0002468863172756248,0.0027295403850340198,0.0013102530818302396,8.583032912314232e-05,0.0010662660496958962,0.07259575562150773,0.004754412506909168,0.004018204307726128,0.0006968748024009239,0.005096844726949079,0.07714800185166111,0.020208463151143267,0.01759919592843711,0.0017133683700089044,0.0007879615887019664,0.00048205858660962784,0.0013011273656324852,0.07130948961031337,0.001984467747005302,0.00011015705638997426,0.0033413172696587037,0.0005428248990754043,0.08899155617289568,0.0008883798950396875,0.00023471353722724923,6.587981172505848e-05,0.3740825594844681,0.03895083221101792,0.001836205018910091,0.03503112817373699,5.890092758102861e-05,0.05321137409719456,0.00341204168964034,0.004662309144339676,0.005726271416622356,0.011523071726574224,0.001354958834720003,0.0037987668269475043,0.0025346812405729665,0.031003099977418246,0.0017936447395523183,8.42919208398328e-05,0.0020629417289985495,0.0003066018587184148
1805,5.836658161647029e-05,0.0021669126084536013,0.0006093036360503909,0.004478854223720379,0.0007779101127147626,0.05439580017972121,0.014682758246564252,0.00015146866093098722,0.0008458468775409771,0.038244722935092616,0.00788712173557227,7.796327638778066e-05,0.00013811234979385796,0.0031215147977182,0.00652774879610937,0.0025423795261681633,0.0007608692824465734,0.04233704238184141,0.0022324145379663003,0.00021923659792460386,0.0037651435787376198,0.13657762802204396,5.592621298967716e-05,0.00039151873499030244,0.0012535554026163447,0.005815410170891205,0.07950995980850874,0.0271875441308399,0.041957899654210665,0.003961423193153015,0.0011263060849074323,0.0007878023586229125,0.0008509622667021863,0.0163989812412872,0.0024299607402619265,0.00015325010814785573,0.00034003121383095145,0.0013341707097099403,0.06598804859542398,0.0021185810864836146,0.00162186935941137,0.0006470970276530566,0.29557090948822506,0.02597197194095447,0.00044397246601759403,0.030003172626172477,0.00027167143003514526,0.004933386098180096,0.0034351333527656565,0.0006448662294510601,0.0004929758504808677,0.018976228429128186,0.0004312982660970911,0.00150446785880421,0.0009608892169845996,0.024033635334776406,0.0011574792205353741,0.010567526383424217,0.00038632797931683867,0.003684670782892568
1806,0.00040585441023552283,0.001162160257755482,0.00015332357228924369,0.000139183518375525,0.00018678000072891378,0.042580975023310104,0.013399808499121342,0.000363952102413467,0.00011147788836509669,0.0341315420690568,0.005310215234761396,0.00010787994175930765,0.00116192505150825,0.00010428057346060897,0.00021682626101714126,0.00027770380603167204,0.00013129286499439727,0.024829353249528206,0.0051619891951826475,0.00016522656216973696,0.0010411360234846949,0.11589504811381723,7.738664765877674e-05,0.00016503132030385738,0.00039139206274017716,0.0001236724960297692,0.08827013558308958,0.009677308075440077,0.06664316826398056,0.0005365960097494615,0.003800755707216325,0.007832900536339829,0.0001758033200217942,0.007935073992112247,0.0037302666074926485,0.00021205641306513217,0.00037145885323418493,0.005771621666388501,0.09145231550235802,0.0001666046349567162,0.004705640611698272,0.000541323507101041,0.2963940564980217,0.0018593906571977776,0.00015367959612795417,0.05602891631136421,0.0010886593379525358,0.024165312069527423,0.0037384257408617327,0.00011584030315716947,0.0005735917027866694,0.05672669461894896,0.0034677715497821123,0.0007284818328682759,0.0010429965428098338,0.012561003476949712,0.0013286511542069971,0.00016226506925154022,0.0001710733036138926,7.474420422780465e-05
1807,0.00044832517695675477,0.0003741761396263928,0.0005709099675488725,0.000235139945647188,0.0005463283384337165,0.052554081204021906,0.031011338522648195,0.0013481578050126032,0.001082846132398385,0.004779072310230429,0.0016699199370598479,0.01151092192632147,0.00032286557265844056,0.0001761740805360834,0.0015453392511994883,0.0009510067266578946,0.000379012996167808,0.008132724136377315,0.0030844455869905828,0.00027913768312165006,0.0035994264731005663,0.16039912154172503,0.00013073884276446535,0.00027880783687069454,0.00038331843847600643,0.0002089352556531269,0.037610256732801016,0.012819846078990086,0.03540135257519545,0.0013108176122595297,0.0009900381502301995,0.00017977745351574134,0.0004408840340395702,0.00225454204605325,0.002095507219275823,0.0017823722537891236,0.0003496428003363886,0.007147484270512587,0.03263783526424698,0.0008584102412624694,0.0023332497727880756,0.0008518688582130209,0.3163431500452754,0.006668192017697348,0.005998158793938756,0.17400387607666662,0.0010843076293608732,0.00035053571447606074,0.0023330136869424375,0.0016034675930933302,0.00026878146420951236,0.007808513779685305,0.0036299037329070383,0.004929382905507851,0.001418028730179316,0.045325105130921105,0.001958990354862513,0.00027413446656305955,0.0002890153071495369,0.0006472853788497213
