,Number,Score,Rank
0,0,"0,0048",58.0
1,1,"0,01318",26.0
2,2,"0,00912",44.0
3,3,"0,00828",45.0
4,4,"0,01111",32.0
5,5,"0,09067",7.0
6,6,"0,02996",16.0
7,7,"0,00683",52.0
8,8,"0,00663",54.0
9,9,"0,01599",24.0
10,10,"0,02349",18.0
11,11,"0,00642",55.0
12,12,"0,01137",31.0
13,13,"0,0062",57.0
14,14,"0,0129",27.0
15,15,"0,01652",22.5
16,16,"0,00781",47.0
17,17,"0,01984",19.0
18,18,"0,03382",14.0
19,19,"0,00983",39.0
20,20,"0,02513",17.0
21,21,"0,52541",2.0
22,22,"0,0046",59.0
23,23,"0,00982",40.0
24,24,"0,0135",25.0
25,25,"0,00736",49.0
26,26,"0,2097",3.0
27,27,"0,09106",6.0
28,28,"0,10106",5.0
29,29,"0,00726",50.0
30,30,"0,01652",22.5
31,31,"0,00633",56.0
32,32,"0,01046",35.0
33,33,"0,03388",13.0
34,34,"0,03494",12.0
35,35,"0,01262",28.0
36,36,"0,01231",30.0
37,37,"0,01063",34.0
38,38,"0,05006",10.0
39,39,"0,00991",38.0
40,40,"0,01067",33.0
41,41,"0,00754",48.0
42,42,"1,16166",1.0
43,43,"0,06533",9.0
44,44,"0,00914",43.0
45,45,"0,0821",8.0
46,46,"0,00675",53.0
47,47,"0,01234",29.0
48,48,"0,04898",11.0
49,49,"0,00689",51.0
50,50,"0,00947",42.0
51,51,"0,01756",20.0
52,52,"0,008",46.0
53,53,"0,01",37.0
54,54,"0,0323",15.0
55,55,"0,14665",4.0
56,56,"0,017",21.0
57,57,"0,00965",41.0
58,58,"0,01018",36.0
59,59,"0,00445",60.0
