idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
ub0001,0.003220057923351111,2.013809056308671e-05,3.5698804605486664e-05,0.006234337110226375,1.9198270695050547e-05,2.6193968563380603e-05,3.549237261564181e-05,1.7451474337627413e-05,1.6957836885621428e-05,2.7322795518252665e-05,0.00025897114521257334,2.5040015889771e-05,3.113704012795887e-05,8.32026623515141e-06,2.641636309761767e-05,1.802870929679552e-05,8.510397645794044e-05,5.484277731677392e-05,1.8308249618359336e-05,1.9249668689276414e-05,0.18629642973798435,2.1528035943463034e-05,2.602236847547964e-05,1.948050959118776e-05,0.00016243716544153515,7.19763716268595e-05,2.714699743588168e-05,1.826351281383012e-05,0.2332423233824155,2.825040309464844e-05,4.070509590355702e-05,0.0002794330895426829,2.385585564006072e-05,9.752384897341634e-05,3.185753459996098e-05,3.661701603158334e-05,2.321972951970503e-05,0.00033067537407007635,0.0001075747304247728,0.26543841365758913,1.3651759940067207e-05,2.0364921507258318e-05,0.062054669043005314,2.02878649744059e-05,0.22664837278188404,2.8461419413068946e-05,5.746513803163086e-05,1.0749447532505686e-05,0.00020891772748542464,1.319479439793501e-05,1.4361283636828477e-05,2.7088437971679528e-05,2.8788341316139858e-05,3.391654352389323e-05,1.633489925989632e-05,3.7691836097064225e-05,0.006787440264377653,3.7216908526817855e-05,5.0709094211086874e-05,0.006234834921091283,9.97253494597857e-06,2.151277787394918e-05,2.6151259175473137e-05,1.959279200342865e-05,2.542061334057796e-05,5.5793754504625084e-05,1.925481406453611e-05,0.00015315815030020436,2.149763017514501e-05,1.5209543894278283e-05,2.1076059955231314e-05,2.0504797450188686e-05,8.201048344623288e-05,2.132619555298534e-05,1.334814357148394e-05,1.873697971140805e-05,3.232558507739178e-05,1.5860290942890504e-05,0.0005036774085491852,3.7051480859163504e-05
ub0003,0.00015151678059875746,2.582586715930564e-05,4.578152941556703e-05,3.913494102861251e-05,2.4620605767241573e-05,3.3592159612833034e-05,0.02789158814288889,2.238044647607916e-05,2.174738669216236e-05,3.503981101210755e-05,0.00033211462493929855,3.211228601888891e-05,3.9931346001225766e-05,1.0670231611379767e-05,3.3877366975475955e-05,2.3120714940384728e-05,0.0001091406349497794,7.033250134581221e-05,2.3479208273591306e-05,2.468652054535689e-05,0.14344151095337468,2.7608386938916137e-05,3.337209301512e-05,2.498255985697983e-05,0.00020831571112888225,9.230528616508365e-05,3.4814360743724324e-05,2.3421836063088825e-05,0.3707231709803941,3.6229410888466977e-05,5.2201791238291463e-05,0.044116467935904534,3.059367305960445e-05,0.00012506836040693554,4.085533601232683e-05,4.695907930492926e-05,2.9777880289708758e-05,0.00042407090467858684,0.00013795799998738608,0.1216179398237225,1.7507545593680427e-05,2.6116763945842785e-05,2.1106709883652425e-05,2.601794366419945e-05,0.16336632374637258,3.650002638654021e-05,7.369551827403166e-05,1.3785507773973672e-05,0.00026792418379290424,1.6921515287057482e-05,1.8417466257783708e-05,3.4739261819192866e-05,3.691928369466122e-05,4.349588878880359e-05,2.0948507358488128e-05,4.833747017790242e-05,0.004726466036943879,4.772840467086983e-05,6.503130605961043e-05,3.977335295884411e-05,1.2789164988088091e-05,2.7588819399722804e-05,3.353738743991535e-05,2.5126555170427035e-05,3.260037892794197e-05,7.155207131685963e-05,0.09151892755439824,0.0001964159427939213,2.756939340420151e-05,1.9505308059705733e-05,2.702875542942911e-05,2.629614627156953e-05,0.00010517341972009709,0.01593939031034954,1.7118176205462694e-05,2.4029028346928767e-05,4.145558206922631e-05,2.0339851274173897e-05,0.012579965991479513,4.751625382389994e-05
ub0004,0.000271321081818212,4.624637739045061e-05,8.198097952739771e-05,7.00789344573901e-05,4.4088115952501156e-05,6.015347640536294e-05,8.150691612610751e-05,4.007666296411651e-05,3.8943042880920795e-05,6.274578560170837e-05,0.0005947176211775926,5.750346692868048e-05,7.150505675144183e-05,1.9107182535227288e-05,6.066419719727126e-05,4.140226161911421e-05,0.00019543812261507064,0.00012594440217589414,4.204421559019153e-05,4.4206149538189696e-05,0.0004174909545406045,4.943833535744986e-05,5.9759403173819886e-05,4.4736267099906896e-05,0.00037303092027076763,0.00016529106545744226,6.234207183170732e-05,4.194147917935756e-05,0.25069544094809315,6.487600196526342e-05,9.347774164453077e-05,0.0006417077167215659,5.478408687488071e-05,0.000223959898783106,7.315964555943038e-05,8.408961798060476e-05,5.3323246854436216e-05,0.0007593837208679817,0.0002470413749166041,0.26764518784156266,3.13507599071703e-05,4.676728623308045e-05,3.7795782992650846e-05,4.659032876595968e-05,0.2284292557809076,6.536059310694322e-05,0.0001319665562074915,2.46857072059422e-05,0.0004797718055035575,3.030135550362598e-05,3.298015473708708e-05,6.2207592196074e-05,6.611135712100199e-05,7.788808311651528e-05,3.751248974879809e-05,8.655790236036471e-05,0.0013402597950805482,8.546724882606174e-05,0.00011645155237867722,7.122213862838417e-05,2.2901556292360392e-05,4.940329576723762e-05,6.0055395881536916e-05,4.4994119491350655e-05,5.837749484551415e-05,0.0001281282859846048,4.4217965701461465e-05,0.0003517220064641992,4.936850963926287e-05,3.492815292829849e-05,4.840038927921043e-05,4.708850614339609e-05,0.00018833403075363148,4.89748163936521e-05,3.065351618788951e-05,4.3028778333102087e-05,7.423450610538115e-05,3.6422569367710414e-05,0.24335303809559616,8.508735032847586e-05
ub0005,0.0002099910336600145,3.579273872186068e-05,6.344980830849386e-05,5.4238129178474956e-05,3.4122335717323e-05,4.65562447413092e-05,6.308290330063307e-05,3.1017640889097886e-05,3.014026692518484e-05,4.8562582339770007e-05,0.0004602862673626744,4.450524956803244e-05,5.534188747343178e-05,1.4788150570589505e-05,4.6951521017984024e-05,3.204359814209085e-05,0.00015126083498372876,9.747563668616243e-05,3.2540443344996975e-05,3.4213688716873326e-05,0.0003231203285059399,3.826317908866781e-05,4.6251248739248025e-05,3.462397727241177e-05,0.00028871014375244524,0.00012792828871819567,4.825012496897823e-05,3.246092971133101e-05,0.4090435307376755,5.021127964373444e-05,0.09379721428281204,0.03357601924794881,4.240056450417719e-05,0.00017333548255334968,5.662246918032842e-05,6.50818052231342e-05,4.126993615842043e-05,0.0005877308590288528,0.00019119956815698776,0.047262451566126136,2.426416124694861e-05,3.619590011858463e-05,2.925233632944922e-05,3.605894252875957e-05,0.3532178537600258,5.0586332677070096e-05,0.00010213652901889408,1.9105692554614887e-05,0.0003713230711136761,2.345196665465633e-05,2.552524388115304e-05,4.814604342284983e-05,5.1167392247857784e-05,6.028207971834907e-05,2.9033079349096332e-05,6.699215286290935e-05,0.01757698667262986,6.614803318927971e-05,9.012857272807146e-05,5.512292082069731e-05,1.7724835261706387e-05,3.8236059928894513e-05,4.648033456712693e-05,3.4823544109784404e-05,4.518171018242208e-05,9.916587032120222e-05,3.422283392712647e-05,0.0002722179463661339,3.8209136938165254e-05,2.7032912032109328e-05,3.74598527551878e-05,3.6444510733533284e-05,0.00014576256856372818,3.7904435029132755e-05,2.3724524119072102e-05,3.3302453236382596e-05,5.745436574941183e-05,2.818952710502461e-05,0.039487810706706435,6.585400783135564e-05
ub0006,5.5572786449912086e-05,9.472319797558186e-06,1.6791586697576256e-05,1.4353774624292813e-05,9.03025830646253e-06,1.2320812950078222e-05,1.6694487629611935e-05,0.00438532995469571,7.97642922263298e-06,1.285177738680847e-05,0.008876054490243791,1.1778030171272305e-05,1.4645877210526404e-05,3.913589639160879e-06,1.2425420293208555e-05,8.480133678089972e-06,0.002958111103680799,2.5796304952713792e-05,0.04669790585050687,9.054434294584905e-06,0.23499102332637345,1.0126106069042964e-05,0.013143604099869631,9.163014541476286e-06,7.640529638353394e-05,3.385540489956982e-05,1.276908753839415e-05,8.590577813594063e-06,0.3548285941780008,1.3288094602819235e-05,1.9146387517768135e-05,0.00013143647248363042,1.1221038705687557e-05,4.587212886301432e-05,1.4984774983867767e-05,1.7223484262169713e-05,1.0921825132051428e-05,0.011827862777176384,5.059974507152944e-05,0.12485382031849565,6.421355368658621e-06,9.579013887369957e-06,7.741444059128093e-06,9.542768935576607e-06,0.11682149712695968,1.3387349993707495e-05,2.7029780352869652e-05,5.0561995615218625e-06,9.826828019874232e-05,6.2064132549571875e-06,6.7550928368964385e-06,1.2741543021680478e-05,1.3541123699561727e-05,1.5953267549357694e-05,7.683419099040839e-06,1.772904556914533e-05,0.0046516373092981645,1.7505654686481554e-05,2.3851951380751824e-05,1.4587929083789874e-05,4.6907644945139535e-06,1.0118929156540962e-05,1.2300723807100635e-05,9.215828630928073e-06,1.195705115426397e-05,2.6243614493570678e-05,9.056854516094267e-06,7.204074163343368e-05,1.0111804158924097e-05,7.1540875879108075e-06,9.913510883420156e-06,9.644807099455819e-06,0.008792817801314065,1.0031166743952563e-05,6.2785438478749355e-06,8.813281642110785e-06,1.5204931099947164e-05,7.460178382987027e-06,0.06589373390658754,1.742784275260047e-05
ub0007,0.0002065743593808632,3.5210370381461154e-05,6.241744361993435e-05,5.33556437804869e-05,3.356714578964876e-05,4.5798747998857614e-05,6.205650836650257e-05,3.0512966122853748e-05,2.964986753538631e-05,4.777244133652081e-05,0.0004527971464067254,4.378112369067475e-05,5.444144329638994e-05,1.454753889869996e-05,4.618759290432514e-05,3.1522230464265145e-05,0.00014879973464375612,9.588965229956848e-05,3.2010991711414195e-05,3.3657012423622196e-05,0.0003178629758645667,3.764061526985984e-05,4.549871445627541e-05,3.406062534958587e-05,0.00028401266450727835,0.00012584682225736112,0.2549530965468408,3.193277181006744e-05,0.5705174047235092,4.939431339192876e-05,7.117067522798233e-05,0.011335621905759258,4.1710683057155656e-05,0.00017051521506581893,5.5701189206138246e-05,6.402288701090885e-05,4.0598450681554853e-05,0.0005781681416398878,0.00018808864177446188,0.06818756073061401,2.3869369458972305e-05,3.560697211156255e-05,2.877638407853679e-05,3.5472242900094104e-05,0.0003652564229187199,4.976326409779842e-05,0.07602981174554926,1.879483200405246e-05,0.00036528143226740217,2.307038973745229e-05,2.510993355709892e-05,4.736267974613169e-05,5.033486949687429e-05,5.930125578659541e-05,2.8560694534717933e-05,6.590215220144178e-05,0.0010204268194617938,6.5071766837926e-05,8.866212927622776e-05,5.422603935639299e-05,1.7436442049456593e-05,3.761393735433424e-05,4.572407292664676e-05,3.4256945120317897e-05,4.444657790378258e-05,9.75523848661772e-05,3.366600883607143e-05,0.00026778880460964153,3.7587452416070066e-05,2.659307108451817e-05,3.685035951550661e-05,3.585153768954551e-05,0.00014339092816463838,3.728770818145468e-05,2.333851253595862e-05,3.2760603265828105e-05,5.6519550342013097e-05,2.7730867368356457e-05,0.011727701060603779,6.478252544082314e-05
ub0008,4.800787920772861e-05,8.182889750687841e-06,0.0063166405362882865,1.2399851120639635e-05,7.801004370762967e-06,1.0643628610947747e-05,1.4421931969880509e-05,7.091213044474199e-06,6.890628940736992e-06,1.1102314924349004e-05,0.027834622833696043,1.0174732740404423e-05,0.0012730791355118536,3.3808479053824903e-06,1.073399616337863e-05,7.325766068074832e-06,3.458105695367965e-05,2.2284754306711116e-05,7.4393541773875154e-06,7.821889375666444e-06,0.03410539885668006,8.747678640253447e-06,1.057390081842924e-05,7.915689015923912e-06,0.011409847041946142,2.9246800327570445e-05,1.1030881323337153e-05,7.421175873038658e-06,0.4338302793340293,1.147923797501116e-05,1.654006426411303e-05,0.00011354453677019209,9.693562356341913e-06,0.006341762457371583,1.2944955855846875e-05,1.4878918348636566e-05,9.435079562548892e-06,0.00013436627076465716,4.371179860713443e-05,0.11542051710544896,0.03151622085608554,8.275059989091824e-06,6.687631393451527e-06,8.243748921593827e-06,0.1765446578324327,1.156498211563967e-05,2.3350321498843164e-05,4.367918783746645e-06,8.489140147731275e-05,5.361558361407337e-06,5.835548326211922e-06,1.1007086334535983e-05,1.1697823205093205e-05,1.3781611295817121e-05,6.637505145464792e-06,1.531565956151892e-05,0.004018428017177522,1.5122678010725234e-05,2.0605078022996287e-05,1.2602131044422435e-05,4.052228970874005e-06,0.13865570538400762,1.0626274124857263e-05,7.961313728824585e-06,1.0329384293370172e-05,2.267117333979805e-05,7.82398014183636e-06,6.223411571219749e-05,0.0037900161573748334,6.180229473853853e-06,8.564023210257629e-06,8.331897027150973e-06,3.332405037800526e-05,8.665663036175162e-06,5.423870097298034e-06,7.613563895693698e-06,1.3135142976248125e-05,6.444653319684603e-06,0.007767225396288964,1.5055458312716214e-05
ub0009,0.00029668175536268297,5.056907606080102e-05,8.964382992117324e-05,7.662928788812358e-05,4.8209079603277494e-05,6.577608658905506e-05,8.912545530352295e-05,4.382267178648192e-05,4.258309101397771e-05,6.861070171612392e-05,0.0006503065173324983,6.287837787434243e-05,7.818871136795699e-05,2.0893151452140208e-05,6.633454500307946e-05,4.527217557452382e-05,0.00021370593428886441,0.015716229280152875,4.5974133674222384e-05,4.833814591526164e-05,0.00824577064298813,5.40593897745276e-05,6.534517890841279e-05,4.891781413604599e-05,0.00040789852188721337,0.00018074099925098573,6.816925238551774e-05,4.586179438049102e-05,0.21960341912372536,7.094003169596405e-05,0.00010221520676753109,0.0007016888276831067,5.990481444000472e-05,0.00024489367157373856,7.999795637268683e-05,9.194956508016052e-05,5.830742813052541e-05,0.016408876853743287,0.0002701325981243715,0.3549763224962158,3.4281149178983476e-05,5.113867481361342e-05,4.1328595509138266e-05,5.094517694157891e-05,0.023892349752888696,7.146991809322935e-05,0.18708645424205086,2.699310682807606e-05,0.0005246165925495173,3.313365581635028e-05,3.6062845297394514e-05,6.802220279359932e-05,7.229085682774069e-05,8.516836607752025e-05,4.101882254086984e-05,9.46485626575479e-05,0.15725066251216593,9.345596456350698e-05,0.00012733640431805292,7.787934858342815e-05,2.5042189408293562e-05,5.402107499610458e-05,6.566883837310149e-05,4.9199768268048355e-05,6.38341021212918e-05,0.00014010457478196898,4.835106654803235e-05,0.008173854200546926,5.398303737130722e-05,3.8192924976197934e-05,5.292442575919831e-05,5.148991949468004e-05,0.00020593781531489663,5.3552545194291295e-05,3.351873333880771e-05,4.705072455641233e-05,8.117328529075604e-05,3.9827026128664347e-05,0.001264792265346077,9.304055654446132e-05
ub0010,0.00017361767246141114,2.95929396584144e-05,0.05475157865875372,4.484333251044544e-05,2.821187363542447e-05,3.849205706381091e-05,5.215606901052971e-05,2.5644955037118315e-05,2.49195544195879e-05,4.015086914709516e-05,0.0003805582981930677,3.6796322717408174e-05,4.575590455121477e-05,1.2226637667927855e-05,3.8818866003885024e-05,2.649320225608259e-05,0.00012506035922925778,8.059150368556022e-05,2.69039869748332e-05,2.828740302769355e-05,0.0002671514034784716,3.163546546994117e-05,3.8239890601915055e-05,2.8626623911597906e-05,0.00023870154025459024,0.0001057693337763391,3.989253372907864e-05,2.683824620597549e-05,0.27437587556628085,4.151398919807385e-05,5.981616991394137e-05,0.0004106271412126092,3.505619831456121e-05,0.000143311371496994,4.681467173509378e-05,5.380873338011975e-05,3.412141048868197e-05,0.05518504695573378,0.00015808114956369256,0.27610545576314605,2.006127179098575e-05,2.9926267906318682e-05,2.4185425725367146e-05,2.9813033271692097e-05,0.1279382619642228,4.1824077841204936e-05,0.0866913838579272,1.5796321463258613e-05,0.00030700476212882814,1.938976057337903e-05,2.1103917412162908e-05,3.980648055114032e-05,4.230448983062788e-05,4.984038694136824e-05,2.400414709676904e-05,5.5388182297671633e-05,0.08290630770199924,5.469027586585825e-05,7.451705316452464e-05,4.557486596146253e-05,1.4654647816448096e-05,3.1613043724989094e-05,3.8429295585246994e-05,2.879162300323159e-05,3.735561096574498e-05,8.198896539864801e-05,2.82949641606174e-05,0.004783325956808685,3.159078416988026e-05,2.235043651657871e-05,3.097128640565041e-05,0.031937951371081075,0.00012051446885586797,3.1338860860019226e-05,1.9615107302518255e-05,2.7534006178172826e-05,4.750247227369552e-05,2.3306709807839604e-05,0.0007401543414361293,5.44471797802889e-05
ub0011,0.00017766693276982204,3.0283131585705956e-05,5.368292460169842e-05,4.588920718355384e-05,2.8869855156074213e-05,3.9389801842023055e-05,5.337249759808618e-05,2.624306867998993e-05,2.550074964691679e-05,4.1087302163853104e-05,0.0003894340053147151,3.765451812437744e-05,4.682306301237806e-05,1.251179780118022e-05,3.972423290057574e-05,2.711109944832897e-05,0.0001279771242198448,8.247112787613117e-05,2.7531464840713533e-05,2.8947146109628478e-05,0.00027338213770676317,3.237329493654693e-05,3.9131754137562485e-05,2.9294278594013972e-05,0.00024426874236487244,0.00010823617692102408,4.082294162558471e-05,2.746419080924375e-05,0.3787311084235163,4.248221407011804e-05,6.121125394657359e-05,0.0004202041396880266,3.5873809047307834e-05,0.0001466538022537229,4.790652367286432e-05,5.506370682396897e-05,3.491721929777382e-05,0.0004972609410880393,0.00016176805375588246,0.053981016397441996,2.0529157982799185e-05,3.062423400097913e-05,2.474949897346069e-05,3.0508358411056744e-05,0.00031414348096706513,4.279953486661761e-05,0.3079481391996831,1.6164736824513322e-05,0.04229530925894022,1.9841985204467926e-05,2.1596121079667127e-05,4.073488144160318e-05,4.329115143661621e-05,5.100280720502187e-05,2.456399240916261e-05,0.03270868109061864,0.08950449132314761,5.596580939985885e-05,7.625500380860967e-05,4.663780208531774e-05,1.4996436085439393e-05,3.2350350252422856e-05,3.932557658641131e-05,2.9463125936019885e-05,3.822685057307038e-05,8.390118239021153e-05,2.8954883589781282e-05,0.004894886788517231,3.232757154087271e-05,0.08398516024929482,3.1693625318301706e-05,3.083457576958749e-05,0.00012332521069112527,3.206977265944732e-05,2.007258766335516e-05,2.8176177892423834e-05,4.861036568570988e-05,2.385028888943057e-05,0.0007574168559853981,5.57170436188232e-05
