receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
AbekenBernhardRudolf,0.0003748823885767749,6.389828723582569e-05,0.07609905661561785,9.682756003421708e-05,6.0916232919922076e-05,8.31136259848329e-05,0.00011261752016511028,5.5373637158945965e-05,5.380732243810261e-05,8.669540096871211e-05,0.0008217170625360092,7.945212693834368e-05,9.879802295738538e-05,2.640025677244531e-05,0.027715013498126145,5.720520729256593e-05,0.0002700354492688757,0.0001740164752372882,5.809219048023823e-05,6.107931907687927e-05,0.0005768442510937755,6.830859261602865e-05,8.256913783328556e-05,6.181177870158399e-05,0.0005154141413080237,0.00022838147708183985,8.613759255447054e-05,5.795024031982627e-05,0.25622007800294494,8.96387056069042e-05,0.0001291575237413495,0.014702240046245962,7.569477906406559e-05,0.00911319271317522,0.00010108415642071404,0.00011618602075381241,7.367634690788057e-05,0.3601562471410825,0.0003413352920657958,0.06830019078968957,4.331711962423738e-05,6.461802323955679e-05,5.222216169662685e-05,6.43735223791512e-05,0.0006628518693083413,9.030826170427299e-05,0.007090135795400888,3.410806421327387e-05,0.028112776646925536,4.1867165102652264e-05,4.556844274915074e-05,8.595178300851369e-05,9.134558694624002e-05,0.0001076174046068015,5.1830737457819105e-05,0.00011959643154006721,0.10546880562384538,0.00011808948339099879,0.020702981111392228,9.840711702028397e-05,3.16429157198991e-05,6.826017866608604e-05,8.297810883003474e-05,6.216805149747912e-05,8.065976502879224e-05,0.00017703393179870698,6.1095645384741e-05,0.0004859717682633249,6.82121149230952e-05,4.825997784834314e-05,6.687446998015844e-05,6.506185048081122e-05,0.00026021977660592536,0.008871417082575994,4.235374298887785e-05,5.945255374538734e-05,0.00010256928351129131,0.006958123355524787,0.0015981715657126861,0.00011756458036747645
AbekenBernhardRudolfANDTruchsessvonWetzhausenChristianFreiherrANDVoßHeinrichANDVoßAbrahamSophus,0.000920415203155042,0.00015688375026285615,0.00027810791340245267,0.0002377320489187214,0.00014956217898442925,0.0002040614530765437,0.00027649972594100364,0.00013595393928367218,0.00013210830682421472,0.0002128554648783749,0.002017488417957925,0.00019507170191346347,0.00024256995031660475,6.481818949352729e-05,0.000205793995119682,0.00014045082963648015,0.0006629938894741491,0.00042724708945630067,0.000142628560134773,0.00014996258984090454,0.07391163162014781,0.00016771197865178168,0.00020272462001131336,0.00015176093245399685,0.0012654502479618392,0.0005607246166542195,0.0002114859277633749,0.00014228004260043514,0.22215277790797405,0.00022008189753847823,0.00031710891755868764,0.02634201429054708,0.00018584662169521897,0.04908998799039212,0.000248182889361508,0.00028526114630747805,0.0001808909457293708,0.4617133572101544,0.0008380500171892817,0.013835886613416256,0.0001063526499881669,0.00015865085370723807,0.00012821640341568745,0.00015805055261025632,0.001627440916249364,0.00022172579874632915,0.00044767632440287765,8.374247979818443e-05,0.001627552348204507,0.00010279270631992224,0.00011188012232222777,0.0002110297262020285,0.00022427265064552798,0.0002642233893681614,0.0001272553744869885,0.0002936344229198842,0.07704198354171274,0.00028993454789498724,0.0003950440508421475,0.000241610193927734,7.769002115922063e-05,0.00016759311221011957,0.00020372872992558942,0.0001526356571884859,0.0001980367077185584,0.0004346555807021384,0.00015000267436454505,0.0011931630224397654,0.00016747510560026716,0.00011848840774883095,0.0001641909055966964,0.0001597405430414739,0.0006388943461947973,0.00016613956157909745,0.00010398735748958994,0.00014596853840318516,0.00025182918909293653,0.00012355798657205392,0.05225408606658472,0.00028864580044311
AbekenMinonaLaura,0.00012115385146813824,2.0650539573832826e-05,3.6607223258565576e-05,3.129256583896657e-05,1.9686804342016468e-05,2.6860520004082912e-05,3.639553824492232e-05,1.7895557689639488e-05,1.7389358767460587e-05,2.80180719393356e-05,0.00026556111990556783,2.567720298214115e-05,3.192937668842615e-05,8.531989992574721e-06,2.7088573757038268e-05,1.8487481404073002e-05,8.72695963020766e-05,5.623834790945291e-05,1.877413511907401e-05,1.973951024829153e-05,0.060622461244263376,2.2075854550593358e-05,2.668455325117897e-05,1.997622530155072e-05,0.0001665706638225335,7.380793655709611e-05,2.7837800366634443e-05,1.872825990814261e-05,0.4395707607529045,2.8969284116346088e-05,4.174090841332588e-05,0.00028654375427314915,2.446290969937951e-05,0.0001000055142422272,3.266820540509107e-05,3.7548800183763814e-05,2.3810596234942465e-05,0.00988162225731972,0.00011031215798846154,0.17676763664369494,1.3999152899410346e-05,2.088314262894927e-05,1.6877069220450973e-05,0.18450976132159685,0.00021421933749526874,2.918567011484063e-05,5.89274391889549e-05,1.1022986065706893e-05,0.00021423400523488883,1.353055906812744e-05,1.4726731670229763e-05,2.7777750754227515e-05,2.9520911118736683e-05,3.4779609419952165e-05,1.6750569402015705e-05,3.865097092966599e-05,0.000598470399180779,3.816395799498119e-05,5.1999475991966086e-05,3.1803044373853035e-05,1.02263035767079e-05,2.206020821275764e-05,2.681672380094269e-05,2.0091364936570354e-05,2.6067485402163416e-05,5.7213524378642575e-05,1.9744786556643107e-05,0.00015705552787744647,2.2044675054207768e-05,1.5596577396690333e-05,2.1612377241155193e-05,2.1026577960410408e-05,8.409738393866918e-05,2.1868877977610927e-05,1.3687810480174987e-05,1.921377500078276e-05,3.3148166247279996e-05,1.6263883844529733e-05,0.12456941385710375,3.799432073037553e-05
AhlefeldtJohannGeorgJacobvon,0.001046908552868565,0.00017844440138893897,0.00031632849192780426,0.0002704037421924826,0.00017011662109418994,0.0002321057711827418,0.00031449929006082517,0.00015463819083426697,0.00015026405022990237,0.00024210835060320944,0.0022947533600416186,0.00022188055179422247,0.0002759065199975617,7.372620175070972e-05,0.00023407641777457158,0.00015975309219131662,0.05572640878049402,0.0004859639764823152,0.0001622301098206326,0.00017057206071412285,0.0016109137119933233,0.0001907607613033795,0.00023058521614958968,0.0001726175508974453,0.0014393620219218981,0.0006377854200658681,0.00024055059697826968,0.0001618336952609075,0.5275448960403833,0.08270877663475001,0.0003606894332526152,0.0024760674422184595,0.000211387661902494,0.0008641626075068733,0.055254589994414335,0.0003244647989806012,0.0002057509236824956,0.0029301273124751398,0.0009532238577977043,0.09819581157547932,0.00012096877421318908,0.00018045435918123256,0.0001458372796253329,0.0001797715582555499,0.0018511013384713887,0.0002521977410884258,0.0005092008164658569,9.525127142470113e-05,0.1117958263745259,0.0001169195848242695,0.00012725589120390863,0.0002400316992951714,0.0002550946087488264,0.0003005358073717667,0.0001447441757722455,0.00033398882125990905,0.005171472239211429,0.000329780469643343,0.000449335250187977,0.00027481486357040265,8.836701886857824e-05,0.000190625558957744,0.0002317273216403207,0.0001736124897063689,0.00022525304056452797,0.0004943906222206004,0.00017061765408382494,0.0013571403089354278,0.0001904913346112468,0.00013477235823877815,0.00018675578454505559,0.00018169380533561002,0.0007266980739974092,0.00018897224577644456,0.00011827841779761932,0.00016602910380031686,0.00028643826288356124,0.00014053865307102405,0.031949254621101215,0.0003283146086653485
ArnimLudwigAchimvon,0.04114038254493742,3.3228027314655076e-05,0.010295262922281959,5.03517222262021e-05,3.1677316230695474e-05,4.322027950845696e-05,5.856272833017273e-05,2.879508681099127e-05,2.7980580654739412e-05,4.508285395524994e-05,0.0004273046771675621,4.1316247403804334e-05,5.137639125358788e-05,1.3728512783311148e-05,4.35872324544232e-05,2.974752959250152e-05,0.00014042231290357078,9.049106701474633e-05,3.0208773592342108e-05,3.176212337518145e-05,0.00029996729741605955,3.552144947006444e-05,4.293713784762731e-05,3.214301290241943e-05,0.0002680227578328642,0.00011876164897236761,4.479278556646264e-05,3.0134957469695813e-05,0.15453380334243388,4.661341465012823e-05,6.716376780072104e-05,0.0004610670660584984,3.936237253175338e-05,0.000160915212262422,5.256521349672684e-05,6.0418399900775915e-05,3.831275881408099e-05,0.3383454834065539,0.00017749925543949482,0.15135765900742365,2.2525524491043772e-05,3.360230037620139e-05,2.7156274297019948e-05,3.347515641633232e-05,0.0003446924944585824,4.696159343949005e-05,9.48179853583288e-05,1.773668338160471e-05,0.000344716095781492,2.177152731001722e-05,2.369624485812732e-05,4.4696161933256464e-05,4.750101746735252e-05,5.5962596409034705e-05,2.695272806970528e-05,6.219186250301501e-05,0.03679023534000324,6.140822781693629e-05,8.367045337634762e-05,5.117311455060634e-05,1.6454770751142013e-05,3.549627352058765e-05,4.314980864114531e-05,3.232827987443985e-05,4.1944236559562876e-05,9.206018777495652e-05,3.1770613289810526e-05,0.005370892090557987,3.547127968375678e-05,2.509588177584701e-05,3.4775685097047836e-05,0.16381558636643873,0.09226255423621416,3.5188411042861866e-05,2.202455480095043e-05,3.091618203296905e-05,5.333750091891252e-05,2.6169620154293532e-05,0.0008310721732339717,6.11352707040363e-05
BarthKarl,0.000271321081818212,4.624637739045061e-05,8.198097952739771e-05,7.00789344573901e-05,4.4088115952501156e-05,6.015347640536294e-05,8.150691612610751e-05,4.007666296411651e-05,3.8943042880920795e-05,6.274578560170837e-05,0.0005947176211775926,5.750346692868048e-05,7.150505675144183e-05,1.9107182535227288e-05,6.066419719727126e-05,4.140226161911421e-05,0.00019543812261507064,0.00012594440217589414,4.204421559019153e-05,4.4206149538189696e-05,0.0004174909545406045,4.943833535744986e-05,5.9759403173819886e-05,4.4736267099906896e-05,0.00037303092027076763,0.00016529106545744226,6.234207183170732e-05,4.194147917935756e-05,0.20083148414296406,6.487600196526342e-05,9.347774164453077e-05,0.014888552518187034,5.478408687488071e-05,0.000223959898783106,7.315964555943038e-05,8.408961798060476e-05,5.3323246854436216e-05,0.022129650923066183,0.0002470413749166041,0.01832540381591698,3.13507599071703e-05,4.676728623308045e-05,3.7795782992650846e-05,4.659032876595968e-05,0.0004797389574600714,0.3776067478319418,0.0001319665562074915,2.46857072059422e-05,0.0004797718055035575,3.030135550362598e-05,3.298015473708708e-05,6.2207592196074e-05,6.611135712100199e-05,7.788808311651528e-05,3.751248974879809e-05,8.655790236036471e-05,0.3575113798317172,8.546724882606174e-05,0.00011645155237867722,7.122213862838417e-05,2.2901556292360392e-05,4.940329576723762e-05,6.0055395881536916e-05,4.4994119491350655e-05,5.837749484551415e-05,0.0001281282859846048,4.4217965701461465e-05,0.0003517220064641992,4.936850963926287e-05,3.492815292829849e-05,4.840038927921043e-05,4.708850614339609e-05,0.00018833403075363148,4.89748163936521e-05,3.065351618788951e-05,4.3028778333102087e-05,7.423450610538115e-05,3.6422569367710414e-05,0.0011566764706832,8.508735032847586e-05
BentzelSternauChristianErnstGrafvon,0.00043588613966583,7.429630893097651e-05,0.00013170510913767928,0.0001125840867500039,7.082899175726818e-05,9.66385156734004e-05,0.0001309435108698245,6.438446210317563e-05,6.256326458103501e-05,0.00010080314468358665,0.000955433195051288,0.21752856544183446,0.00011487519858429209,3.069630999315714e-05,9.745900523116042e-05,6.651407944290119e-05,0.0003139776984499039,0.00020233377704778984,6.754539936990754e-05,7.101861655041701e-05,0.000670712792756864,7.942429318817883e-05,9.60054242140422e-05,7.187026764954093e-05,0.2752555190421905,0.0002655454709257333,0.00010015456538574352,6.738034998553443e-05,0.15098216364150918,0.0001042254065334237,0.0001501750312842049,0.001030924311377127,8.801241681252331e-05,0.0003597988592199598,0.00011753334930157263,0.0001350927053729588,8.566552982197408e-05,0.001219974638152134,0.00039688000109879256,0.15532446373438474,5.036601512846198e-05,7.51331659234746e-05,6.072015426855847e-05,7.484887799895572e-05,0.0007707162333765397,0.00010500391795851303,0.00021200856330367228,3.9658391256631225e-05,0.0007707690048264204,4.868011283386722e-05,5.2983690900814035e-05,9.993851947863204e-05,0.00010621004475741528,0.00012512973797729524,6.026503446132164e-05,0.00013905808448276162,0.17381331640049813,0.00013730591411843018,0.0001870832051983498,0.00011442068142080928,3.6792094804136996e-05,7.936800094722676e-05,9.648094612288692e-05,7.228451590019965e-05,9.378534355329638e-05,0.00020584225739321096,7.103759960090345e-05,0.0005650528392626697,7.931211590160029e-05,5.6113213332145314e-05,7.7756799065742e-05,7.564921615353044e-05,0.0003025647438922891,7.867963490199714e-05,4.9245870423277665e-05,6.912713142843449e-05,0.00011926014771662355,5.8514041931468296e-05,0.0133022480557964,0.000136695594830051
BergnerCaroline,0.0006877435390261477,0.00011722512323962149,0.0002078050427013229,0.00017763578882970464,0.00011175437120836746,0.0001524767794323798,0.0002066033887821316,0.00010158615701586644,9.871266158859073e-05,0.00015904775389922627,0.0015074877291840244,0.000145759546537195,0.00018125071763296056,4.843280606702106e-05,0.0001537713523514005,0.00010494627892090606,0.0004953957326396477,0.018375664534875786,0.00010657350115148974,0.0362248959483049,0.019114675511724688,0.00012531608489264043,0.00015147788425961737,0.00011339730201548899,0.0009455572104975221,0.0004189790987316988,0.00015802442193005726,0.00010631308532865611,0.4007282756378472,0.00016444741739365514,0.00023694698704561278,0.001626598026076626,0.000138866473394392,0.0005676926111190683,0.00018544476239650584,0.01826957120362875,0.00013516354224404122,0.2366583581766976,0.0006261994399125473,0.01033831426562445,7.946777458363023e-05,0.00011854552078683565,9.58045920406808e-05,0.00011809696974215019,0.0012160402951414055,0.018222096950014532,0.00033450827260095794,6.257322698039742e-05,0.0012161235582241188,7.680774870754754e-05,8.359795775733838e-05,0.00015768354351427904,0.00016757879045566844,0.00019743038606342224,9.508650151559571e-05,0.00021940660748169386,0.003397284901365465,0.00021664202348215238,0.000295180906036858,0.000180533577962492,5.8050768735572914e-05,0.0001252272666864874,0.00015222816533238571,0.00011405090517470351,0.00014797502883109791,0.00032477904135531715,0.0001120835138068459,0.0008915434652480773,0.0001251390909553498,8.853573539357051e-05,0.00012268510353143175,0.00011935974766683225,0.01853380950344601,0.00012414115896933314,7.770040413143953e-05,0.00010906916665844168,0.00018816931439548045,9.232377590974618e-05,0.2015525717847997,0.00021567905836551065
BertuchFriedrichJohannJustin,0.0007820723524686171,0.00013330336484185964,0.00023630695074270425,0.00020199977370835578,0.00012708226109014176,0.00017339003105194706,0.00023494048162433804,0.00011551940554489807,0.00011225179021869736,0.00018086226040443898,0.0017142501641672274,0.00016575148290963286,0.00020611051515882753,5.507570253749975e-05,0.00017486216365773547,0.00011934039155747,0.0005633427055919939,0.00036302978828585685,0.00012119079864332043,0.00012742248826088406,0.0012034012645235688,0.006892607373938534,0.00017225413045339247,0.00012895053129314236,0.009759882441534458,0.0310659224882036,0.00017969857133275734,0.020513879658151688,0.17979750680339376,0.00018700252533169166,0.0002694459155974243,0.010534332745380709,0.00015791297680579694,0.08552120971175982,0.00021087980235450095,0.00024238501819162571,0.00015370216287378258,0.05429670659153621,0.0007120870517815459,0.025256492658855077,9.036733300623935e-05,0.00013480486410335154,0.00010894485869056302,0.00013429479116073092,0.0013828286859147252,0.00018839934024787613,0.0003803884105457198,7.115558060408271e-05,0.0013829233691087883,8.734246606604076e-05,9.506399955051851e-05,0.000179310939069558,0.00019056338800520117,0.00022450933773372384,0.00010812827705166613,0.00024949975088583553,0.36156978385804606,0.00024635598494776497,0.10455129275828146,0.00020529501479087616,6.601283573223806e-05,0.0001424030579616867,0.00017310731779765086,0.00012969378067507274,0.00016827083402109325,0.00036932474751405573,0.00012745654788701112,0.0010138248571290138,0.00014230278831527308,0.00010067902775914867,0.08114075200826104,0.00013573076786739679,0.0005428654400695478,0.0001411679830112307,8.835755539468153e-05,0.0001240287620457254,0.0002139780456244826,0.00010498662439891782,0.010084177772501824,0.00024526094246262055
BodeAugustTheodorHeinrich,0.0012301084444009424,0.0021930161000205005,0.006608685955854264,0.0013253738727533365,0.0013406790538788322,9.483072518812464e-05,0.0001284939861496903,6.318003944437691e-05,6.139291057001498e-05,9.891744761368615e-05,0.005400359409288841,9.065303945079966e-05,0.0011376590602269411,3.0122082453008997e-05,9.563586607040627e-05,0.01596022999341334,0.00030810420285768265,0.00019854877399338566,6.628184591552973e-05,6.969009056486495e-05,0.006419805398558566,7.793852449104162e-05,0.007486471161570674,7.052581005801332e-05,0.0022612293185317795,0.0002605779838694338,9.828100111274515e-05,6.611988406519615e-05,0.3300531098557177,0.00010227569013989074,0.001207420563719502,0.005111370293297223,0.003646462769651824,0.00035306819960894987,0.00011533468483441486,0.0005375308514503858,8.406300800498286e-05,0.01737481719644769,0.00038945567463037487,0.02721831732118423,4.9423831752651404e-05,7.372767017947812e-05,5.9584278821938896e-05,0.00047841398900505967,0.00815842716620333,0.00010303963816303675,0.01794790850499491,3.891651249457138e-05,0.0013496999011100945,4.77694671747324e-05,5.1992539374760045e-05,9.806899671778374e-05,0.00010422320227525143,0.00012278896992881964,5.91376728174178e-05,0.0021863223642478286,0.11657108034135534,0.000134737369647463,0.0009668689792953676,0.00011228024478692747,3.610383507190904e-05,0.007903682193144924,0.0024139553676377806,7.093230907907279e-05,9.203092658452837e-05,0.00020199162214917693,0.005369982798446784,0.0005544825491523647,0.03653699334032599,5.5063518679312165e-05,7.63022237285999e-05,7.42340667979349e-05,0.3491821288214005,7.720779632532133e-05,4.832464129046278e-05,6.783398894171555e-05,0.00011702918050016376,5.741943562960587e-05,0.008779613186277546,0.00013413846743637255
