sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
AdelheidLouiseTheresaCarolineAmelia,0.0008444312620033855,0.00014393237179066023,0.000255148997411772,0.00021810632136339326,0.00013721522538402017,0.00018721536732226726,0.00025367357223088127,0.0001247304000739159,0.00012120223989163146,0.0001952833984221861,0.0018509367131416786,0.00017896775592502533,0.00022254483473090273,5.946718977171647e-05,0.0001888048811188084,0.00012885605421641144,0.0006082611031087923,0.000391976140442005,0.00013085400438789173,0.0001375825807294059,0.0012993550344677152,0.00015386668679586457,0.00018598889515134836,0.00013923246299675932,0.09426621746216468,0.0005144345661117118,0.00019402692205107048,0.0001305342583642033,0.3198415197959777,0.00020191326028239448,0.0002909303133289332,0.05221162941068216,0.00017050424282346864,0.0006970292861145239,0.00022769440330059674,0.000261711702448248,0.000165957677647691,0.1282787215579708,0.0007688656502101449,0.3465402268483691,9.757281511546724e-05,0.00014555359380710994,0.00011763162861142603,0.00014500284995675987,0.0014930891863081327,0.00020342145089766896,0.00041071886067149227,7.682920453386096e-05,0.001493191419111531,9.430675897674608e-05,0.0001026439725917237,0.0001936083817457222,0.00020575805002815282,0.00024241069614034242,0.00011674993644869204,0.00026939373172447077,0.019235617632941168,0.0002659992961199534,0.0003624315909342624,0.00022166431005476536,7.12764004632587e-05,0.0001537576332524218,0.000186910111792703,0.0001400349757202761,0.00018168798869091325,0.008862885319646708,0.00013761935611595808,0.0010946626624167859,0.0001536493685582481,0.00010870671773471664,0.00015063629234635982,0.00014655332494643288,0.0005861510731187069,0.00015242407901566824,9.540278693390964e-05,0.0001339182541466868,0.00023103968646551862,0.0001133577826333032,0.008621363028652644,0.00026481693990347414
AdersbachGerson,0.0014437359851894687,0.0002460831969849698,0.0004362318233866063,0.0003728994400356142,0.00023459879745901587,0.0003200847421758981,0.00043370926823859703,0.0002132533163286292,0.0002072211713265696,0.00033387876822953545,0.2305927071988272,0.00030598368516646535,0.000380488028660596,0.0001016718893232709,0.0003228023562319873,0.0002203070051437918,0.0010399525484949235,0.0006701671109963418,0.000223722928604913,0.0002352268700510073,0.002221525546493354,0.00026306803483570743,0.0003179878254845523,0.00023804769692926969,0.0019849477216226444,0.0008795360007856171,0.00033173055293582844,0.00022317625433870323,0.3105575685409103,0.00034521393614090495,0.0004974076416106732,0.04131930222716218,0.00029151349798171974,0.0011917207573615741,0.00038929231834858015,0.00044745217233350086,0.0002837401716630013,0.0040407829610481436,0.11502860775351186,0.0217025613248432,0.00016682161200928423,0.00024885502302984753,0.00020111644708634442,0.0002479134085359859,0.0025527555460892835,0.0003477925108121351,0.0007022118029366324,0.0001313559697397516,0.00255293033494869,0.0001612375899706712,0.00017549184114985894,0.0003310149686991081,0.00035178742715338775,0.00041445297084612105,0.00019960900561600067,0.000460586245649367,0.2345598374259625,0.000454782731435524,0.0006196543798720305,0.0003789825832584791,0.0001218622626540908,0.00026288158446127757,0.0003195628425109516,0.00023941976420063614,0.00031063450532071497,0.0006817878506048501,0.0002352897454457537,0.0018715601239406613,0.00026269648279351934,0.0001858574016469981,0.0002575449840878685,0.00025056427739583427,0.0010021507197770089,0.0002606015880584499,0.00016311148435821035,0.000228961919442231,0.00039501179594630427,0.0001938093926090689,0.006154831142336967,0.00045276124041090964
AretinJohannChristophANDBaboJosephMariusFranzvon,0.02060437071202382,0.0001288587638083004,0.0002284280039602713,0.00019526469688514142,0.00012284508410921293,0.00016760886032053608,0.00022710709565774062,0.00011166775731463692,0.000108509090824599,0.0001748319505883359,0.0016570936320686148,0.00016022499666430744,0.00019923837798667808,5.323936836309559e-05,0.00016903190907829868,0.00011536134400461233,0.0005445597320752145,0.00035092564842305384,0.00011715005481403316,0.00012317396742500807,0.0011632774573681144,0.00013775268763465637,0.00016651083292180916,0.00012465106244369928,0.0010393960772868962,0.00046055936843608723,0.0001737070612398036,0.00011686379483768091,0.06337818937974729,0.00018076748679119088,0.00026046204938839543,0.0017880246576905405,0.00015264784204527463,0.0403207799227624,0.0002038486475999792,0.05977942606854384,0.00014857742507905748,0.04181266005955382,0.0006883446440029647,0.031212682134585088,8.735430522441251e-05,0.0001303102000786785,0.000105312419013504,0.00012981713398904055,0.0013367224093481643,0.00018211772910189366,0.0003677054994678851,6.878311110587013e-05,0.0013368139356149985,8.44302934032481e-05,9.18943755042106e-05,0.00017333235341223047,0.00018420962317494918,0.0002170237469857425,0.00010452306384109978,0.00024118092973698075,0.6984275354190823,0.00023814198324854824,0.000324475211461048,0.0001984500680334815,6.381183564291736e-05,0.00013765505494353817,0.00016733557329208002,0.00012536953040338252,0.00016266034756641694,0.00035701072110919097,0.0001232068914350187,0.0009800219068944922,0.019985932345844733,9.732218743207287e-05,0.0001348606027603669,0.00013120523235773512,0.0005247652195771462,0.00013646115986433173,8.541153762164291e-05,0.00011989339483550176,0.00020684358923720526,0.00010148616017682638,0.003222909740151059,0.0002370834516719397
AretinJohannChristophANDBaboJosephMariusFranzvonANDSchererJoseph,0.003941380740328135,2.464920948059577e-05,4.3695667678665056e-05,3.735190588082338e-05,0.0038202661083812533,3.206166027629301e-05,4.344299300996985e-05,2.136076632220115e-05,2.0756549506120944e-05,3.3443354930551236e-05,0.00031698308177615384,3.064921150944544e-05,3.811202568165101e-05,1.0184082980563362e-05,3.233387324725847e-05,2.206730726179442e-05,0.0001041680558924812,6.712806769559097e-05,2.2409467206051006e-05,2.3561772873530634e-05,0.00022252168873340103,2.635051550760725e-05,3.18516201783846e-05,2.3844324276806783e-05,0.00019882459589996395,8.809974591810212e-05,3.3228176448506245e-05,2.23547089427053e-05,0.09565240305566078,0.02281518223797468,4.982341462371134e-05,0.0003420286912689263,2.91997883894995e-05,0.00011937009495359341,3.8993917592622196e-05,4.4819566973805794e-05,2.8421164122834028e-05,0.00040474972242245853,0.00013167246699740775,0.005970629529949583,1.6709880685427978e-05,2.492685265843588e-05,2.0145062706281564e-05,2.483253474809689e-05,0.004052466973803749,3.483704113009508e-05,7.033786151351519e-05,1.3157423401158487e-05,0.004052484481733031,1.6150550626893178e-05,1.757834426583183e-05,3.315649912161826e-05,3.523719656922897e-05,4.151416359754645e-05,1.9994068079108752e-05,4.613515669493601e-05,0.47151349393648495,4.5553840947524896e-05,6.206840126498859e-05,3.796123099297243e-05,1.2206475195149272e-05,2.6331839489116896e-05,3.2009383589681596e-05,0.3834974737190181,3.111506631645072e-05,6.829207258677854e-05,2.356807086053368e-05,0.00018746699537295424,2.6313298565398072e-05,1.8616622682270705e-05,2.5797292709287713e-05,2.5098062108894226e-05,0.00010038159177695528,2.610346099909046e-05,1.6338251436492888e-05,2.293423681323333e-05,3.956681571469303e-05,1.94131431006228e-05,0.0006165058159351881,4.535135594920173e-05
BassewitzAdelheidHenriettevon,0.00011776698676841084,2.007325224317514e-05,3.558386567886798e-05,3.0417779892671138e-05,1.9136458299621348e-05,2.61096322203621e-05,3.537809833512527e-05,1.739528607725154e-05,1.690323798263439e-05,2.7234824707358703e-05,0.00025813733954919353,2.4959394911542415e-05,3.1036788648674305e-05,8.29347759388405e-06,2.6331310714122928e-05,1.797066252134199e-05,8.482996841164428e-05,5.466620081716169e-05,1.8249302810961823e-05,0.04542595469317614,0.020772740771176853,0.00311338208493788,2.5938584630790676e-05,1.9417788475252903e-05,0.00016191416884136435,7.174463034061409e-05,2.7059592639539537e-05,1.8204710044877302e-05,0.22054351246501042,2.8159445679011477e-05,4.057403829300761e-05,0.06770070258818588,2.3779047285519417e-05,9.72098528426046e-05,3.175496335501026e-05,3.649912075287133e-05,2.3144969291264183e-05,0.0003296107033346029,0.022122630556581965,0.3913207027299508,1.3607805565367329e-05,2.0299352863025383e-05,1.6405269527045156e-05,2.022254442798108e-05,0.11048150732363468,2.836978259123319e-05,5.7280118355024234e-05,1.0714837691229933e-05,0.060994777503400904,1.3152311308604341e-05,1.4315044818909349e-05,0.001742961947784452,2.8695651908565103e-05,3.380734291758908e-05,1.628230602020369e-05,3.757048023568006e-05,0.0005817401157910658,3.7097081782885904e-05,5.054582687138629e-05,3.0913987963112396e-05,9.940426518959084e-06,2.1443513493117836e-05,2.6067060343255267e-05,1.9529709373429574e-05,2.533876695822302e-05,5.561411615746871e-05,1.9192819617235205e-05,0.015596311563805804,2.1428414565141166e-05,1.5160573945035237e-05,2.100820166878793e-05,2.0438778449398505e-05,8.17464354747963e-05,2.1257531908563378e-05,1.3305166746029602e-05,1.8676652527909746e-05,0.0014081841432924491,1.5809225792755038e-05,0.035517236704152064,3.693218674030859e-05
BayreutherPostamtANDOsmundEmanuel,0.0002209545898271826,3.766146470751031e-05,6.67624999270917e-05,5.7069882350436996e-05,3.5903850564273715e-05,4.898692949606959e-05,6.637643894103706e-05,3.263706073828658e-05,3.171387939600448e-05,5.10980172572761e-05,0.00048431764745187,4.682885260416471e-05,5.823126746807679e-05,1.5560234580860613e-05,4.940284300465544e-05,3.3716582849608265e-05,0.0001591581086498122,0.0001025648045382978,3.4239368161449076e-05,3.5999973070998465e-05,0.06415177194448689,4.026088587529288e-05,4.866600976268961e-05,3.6431682644115576e-05,0.3947766154297005,0.00013460737855496672,5.076924659979386e-05,3.4155703149633504e-05,0.3955931196820662,5.283279245313728e-05,7.612506895751387e-05,0.02372686899622889,4.461428269184903e-05,0.0001823852656112952,5.957870788425023e-05,6.847970281232255e-05,4.342462464774351e-05,0.000618416075306103,0.00020118202868442782,0.0381278650118802,2.553098435860036e-05,3.8085675015420504e-05,3.0779590263957955e-05,3.794156691920288e-05,0.0003906829644765009,5.322742687013954e-05,0.00010746904037950402,2.0103193875429868e-05,0.0003907097147972886,0.01742788955450093,2.6857907662525602e-05,5.065973099366274e-05,5.383882335165035e-05,6.342938536919828e-05,3.054888595570136e-05,7.048978901370409e-05,0.0010914616413121231,6.960159815621321e-05,9.483415301951735e-05,5.8000868645338913e-05,1.86502425210475e-05,4.0232350833964084e-05,4.890705607905832e-05,3.664166879412506e-05,4.754063098337256e-05,0.005905414341035939,3.6009595749382145e-05,0.00028643034721334483,4.020402220359438e-05,2.844429062414005e-05,3.9415618163535105e-05,3.834726550095333e-05,0.0001533727797221079,3.9883411917734084e-05,2.496317297081263e-05,3.5041162314565e-05,6.045403747331289e-05,2.966129215306103e-05,0.0009419576740217936,0.052278931729204836
BergnerCaroline,0.009945095716241036,6.219616011869795e-05,0.00011025516844972588,9.42482606077506e-05,5.929354197761877e-05,8.089963930832806e-05,0.00010961760665836386,5.3898590276478214e-05,5.237399915849862e-05,8.438600271560255e-05,0.0007998281050184608,7.733567553368997e-05,9.616623419951568e-05,2.5697004856072807e-05,8.15865011544202e-05,5.5681370914695094e-05,0.03858364011128548,0.00016938101200123594,5.65447265811695e-05,5.9452283833935155e-05,0.0005614782329324082,6.648898347070891e-05,0.00966056912664779,6.016523214709548e-05,0.0005016845027774368,0.00022229783506251606,8.384305324154727e-05,5.640655769922008e-05,0.4712798774578811,8.725090339563935e-05,0.0001257170164437147,0.0008630244821480858,7.367841615915031e-05,0.00030120079692464146,9.83914694771552e-05,0.00011309104927474352,7.171375114220716e-05,0.14472427750228622,0.0003322427782944382,0.22582978957703306,4.2163235112808064e-05,6.289672374360452e-05,5.0831064041523795e-05,6.265873591449694e-05,0.0006451947740997555,8.790262381009593e-05,0.0001774801297601555,3.319949117443978e-05,0.019805637893766208,4.075190458282829e-05,4.4354587332301225e-05,8.366219330348253e-05,8.891231670853682e-05,0.00010475068453369374,5.045006658941092e-05,0.00011641061329607012,0.001802498217572731,0.00011494380733890691,0.00015661419999808934,9.578574124255143e-05,3.080000948184847e-05,6.644185917500605e-05,8.076773206913165e-05,6.051201452293053e-05,7.851114447484908e-05,0.00017231808934029796,5.946817524044762e-05,0.048374023774643234,6.639507575741723e-05,4.697442512821338e-05,6.509306309554708e-05,6.332872828326021e-05,0.0002532880237008876,6.586560275816102e-05,4.1225520972735776e-05,5.786885239297017e-05,9.983703564673432e-05,4.898424664060864e-05,0.02071599830070481,0.00011443288671943404
BornträgerJohannFriedrichWilhelm,0.000967158188943882,0.00016485104033357582,0.0002922315330464723,0.0002498051934583469,0.00015715764544657927,0.00021442464739201202,0.00029054167430949584,0.00014285831573257254,0.00013881738408337406,0.00022366526021398158,0.0021199459090190226,0.00020497835464919616,0.0002548887861002622,6.810996009875918e-05,0.00021624517601753545,0.00014758357919474982,0.0006966638178364232,0.0004489446934966536,0.00014987190502587148,0.050942252121558805,0.001488199121085918,0.0001762291767683126,0.0002130199236957317,0.00015946806189371274,0.001329715725926788,0.0005892008333636755,0.00022222617160343443,0.00014950568814226293,0.5127504397702252,0.00023125868489896382,0.00033321319047394424,0.07846445862221828,0.00019528478174193025,0.0007983332833983439,0.00026078677642323017,0.0002997480405506977,0.00019007743338904232,0.0027069189731457324,0.0008806101138820969,0.2938542431187168,0.00011175373461819229,0.00016670788554982882,0.00013472783163005398,0.00016607709835749672,0.0017100899721967885,0.00023298607109330065,0.00047041142047455676,8.799531431211999e-05,0.0017102070631874165,0.00010801300037225676,0.00011756191783129287,0.00022174680199463969,0.00023566226403524024,0.0002776418879891959,0.0001337179971607655,0.00030854655128392035,0.00477752494364923,0.0003046587793130404,0.0004151062340733493,0.0002538802887963218,8.163548353590892e-05,0.0001761042737331931,0.025606411892264917,0.00016038720923844686,0.00020809393730671202,0.0004567294225532466,0.00015762051124085404,0.0012537574172416914,0.00017598027419616128,0.00012450580287720427,0.0001725292871669434,0.0001678529144013714,0.0006713403871145745,0.00017457690500762374,0.0001092683215117978,0.00015338150300091196,0.0002646182522968429,0.00012983283860691576,0.0041231190480417535,0.0003033045832422984
BrockhausFriedrichArnold,0.0015951165693833663,0.0001264111432451437,0.003782539951442788,0.00019155572224321762,0.00012051169098124736,0.000917998690464455,0.00022279328741573668,0.007187307243871854,0.00010644800414223073,0.00017151108777148152,0.010353563875720465,0.0001571815870817765,0.0005877613776175397,5.222810790300888e-05,0.00016582121572487522,0.00011317010151994016,0.004092666884109348,0.27882636025457164,0.00011492483648457335,0.022539355525671993,0.004930801818929449,0.00013513613055370937,0.00016334802639935897,0.00012228336548122953,0.0022721907680913933,0.014706092532231044,0.013922643105716675,0.0010414098949007658,0.2646716331165519,0.000177333880843531,0.005579758295669961,0.00610210239517598,0.0001497483574772918,0.000612178260087568,0.00019997662425526007,0.004152927444525981,0.0001457552564496472,0.005469892814165754,0.0006752698134256136,0.21554105337294813,8.569504521423874e-05,0.0001278350100654006,0.00010331205183074338,0.00012735130956848084,0.014535474560783376,0.0007429858214273314,0.006245332872192742,6.747660348337674e-05,0.006860145925031738,8.282657382547396e-05,9.014887867904193e-05,0.00017003997484259538,0.00018071063522652285,0.004163192887001309,0.001200207029920045,0.003375059416677488,0.05397736003607667,0.0002336185717402926,0.00031831193489114247,0.000194680588543509,6.259975540501645e-05,0.00013504035235642112,0.0001641571011569087,0.00012298818643002952,0.00015957067946975522,0.00035022944557597057,0.00012086662592193656,0.005282165569195624,0.004649564031656071,9.54735914951717e-05,0.00013229897967226214,0.00012871304156510653,0.0005147975145929725,0.0001338691348356495,8.378917970328999e-05,0.00011761606786205196,0.0002029146781766639,9.955847124684291e-05,0.02052885727111118,0.0018364021643025395
CarlAugust,0.001965156511709785,0.00033495874726285977,0.0005937815619596951,0.0005075760182723088,0.00031932663533725485,0.0004356867334738938,0.0005903479593300518,0.0002902720078504621,0.00028206128985771266,0.0004544626179846913,0.004307491323762114,0.00041649293052907005,0.0005179053059703727,0.0001383917678932422,0.00043938584260009385,0.0002998732110128756,0.0014155424146166055,0.0009122050538453263,0.0003045228313742076,0.00032018154299117503,0.003023853002492091,0.0003580778390117098,0.0004328324931330116,0.00032402114134232073,0.002701832593054281,0.001197189733412517,0.00045153855200843947,0.00030377871991266116,0.06155813976400161,0.0004698916017191573,0.0006770516742069992,0.004647836761076767,0.0003967966821405322,0.15640522925257208,0.0005298893580330848,0.0006090542586458224,0.00038621593677601887,0.00550015448099231,0.0017893005708431316,0.02954067097156929,0.0002270710022448773,0.0003387316476111899,0.0002737517798670084,0.00033744995908010464,0.0034747102210258146,0.000473401455915548,0.0009558230253291724,0.0001787965680249702,0.15825805407140212,0.0002194702515651945,0.00023887257637505342,0.0004505645269533784,0.0004788391785617135,0.0005641370463927543,0.0002716999099601441,0.0006269318415049633,0.5256510790556084,0.000619032326728626,0.0008434491154247996,0.0005158561530328947,0.0001658741081770201,0.0003578240501118138,0.00043497634422298486,0.0003258887452259185,0.0004228234435900957,0.0009280227465168485,0.0003202671264999881,0.002547493864770359,0.00035757209701827385,0.0002529817687186948,0.0003505600800495718,0.0003410582172762429,0.0013640880554944292,0.00035472060888457047,0.00022202092273755967,0.00031165393918364,0.0005376744854802411,0.000263805705352871,0.008377713530670461,0.0006162807528320576
