year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0.023965286831660017,0.0001233354954416983,0.00021863690298248468,0.00018689507349635664,0.0001175795798703054,0.0001604246480185474,0.028633745133566455,0.00010688134641546914,0.00010385806972888324,0.0001673381352387454,0.0015860656897850895,0.00015335727863364688,0.00019069843085367562,5.095737131107343e-05,0.00016178670069070752,0.00011041661503749853,0.060333089358319276,0.00033588393549891096,0.0001121286564024928,0.00011789436627285422,0.001113415939284478,0.00013184819934421456,0.00015937368532708459,0.00011930814862308514,0.025330120762781697,0.0004408184294774486,0.0037027805431034985,0.00011185466637678485,0.3054700511606026,0.00017301925677565795,0.004108128265911161,0.0017113846237599144,0.00014610490330924097,0.0005972836497500597,0.00019511109065322338,0.0013706658945709042,0.00014220895647298591,0.002025217384117798,0.0006588401533095916,0.12386680399324124,8.361004091150729e-05,0.00012472471885358394,0.00010079841674189318,0.00012425278703727798,0.04700448931283537,0.0001743116237007715,0.06872464678746688,6.583486319086835e-05,0.0012795141299642198,8.081136089951213e-05,8.795551032895453e-05,0.0001659028152402307,0.00017631385299652724,0.00020772146624749904,0.00010004289567067776,0.0002308432005792986,0.1110781511263677,0.00022793451234037353,0.00031056724262568434,0.00018994391020047614,0.0033691390408813592,0.0001317547514794788,0.00016016307488175588,0.00011999582091752327,0.0013345279368890154,0.0003417081839424238,0.00011792587906225697,0.000938015264606816,0.00013166197957883803,9.315067015745611e-05,0.0001290800777955663,0.00012558138739758755,0.008219933010805683,0.012741071613561611,8.17505460837272e-05,0.00011475440874337531,0.0001979776602192311,9.713616269441633e-05,0.15227878127752256,0.0002269213525630849
1799,0.00011528651651354975,1.965045884008473e-05,3.483437957251988e-05,2.9777104604009333e-05,1.8733396143595014e-05,2.555969740530795e-05,3.4632946208864316e-05,1.702889740693366e-05,1.6547213088245148e-05,2.6661190495966282e-05,0.00025270031504860143,2.4433687000044602e-05,3.0383075471815667e-05,8.118796004030344e-06,2.5776706789966088e-05,1.7592154969544013e-05,8.304323497182487e-05,5.3514792525295596e-05,1.7864926390738376e-05,1.8783549566375307e-05,0.00017739527464051384,2.1006747530985543e-05,2.539225251008865e-05,1.9008800795006266e-05,0.00015850384740347822,7.023350717792455e-05,2.6489649258182346e-05,1.782127286096184e-05,0.2820768947458565,2.7566336614095674e-05,3.971944654478436e-05,0.0002726667857319713,2.3278200476925625e-05,9.51623677614954e-05,3.108612360451887e-05,0.0030625300024556693,2.265747776709407e-05,0.00032266826923027183,0.000104969873177549,0.0017330126285066648,1.3321190802902498e-05,1.987179720968528e-05,1.6059733106343176e-05,1.9796606554323364e-05,0.000203844953258996,2.777224329957403e-05,5.607365435629797e-05,1.0489156140669195e-05,0.0002038589106576708,1.2875290405897365e-05,1.4013533811073728e-05,2.643250777610405e-05,2.809124898584265e-05,3.309527486860456e-05,1.593935952159722e-05,3.6779151008001725e-05,0.3183834499655949,3.631572352256504e-05,4.948120406407624e-05,3.026286127892179e-05,9.731056024073295e-06,2.0991858926426846e-05,2.5518022199481875e-05,1.911836435632273e-05,2.4805068513018444e-05,5.4442742373827035e-05,1.878857034947491e-05,0.0001494495180200625,2.0977078020017624e-05,1.4841253957751932e-05,2.056571586884107e-05,0.38139676360568464,0.009160423585208136,2.0809794583886443e-05,1.3024926321653336e-05,1.828327504303821e-05,3.154284052179677e-05,1.5476243558876313e-05,0.0004914811637364712,3.615430158615703e-05
1800,0.00037463105380760724,6.385544750325359e-05,0.0003334713327218743,9.676264332115768e-05,0.0033381391224292204,8.305790359125533e-05,0.001323240771630626,5.5336512661403834e-05,5.377124805483844e-05,0.007570159224673488,0.0027947667226934513,7.939885934671387e-05,0.0054483747793923985,2.6382557081438074e-05,0.00022429572079610694,0.0012060028405849765,0.0026599543705203015,0.0022072324924139386,5.8053243365810646e-05,6.103836928294688e-05,0.015901872994432884,6.826279605454576e-05,0.0022780526960738644,6.177033784011599e-05,0.0005150685889476604,0.006597178854631764,0.0003732888392191465,5.7911388373941895e-05,0.2920432822558551,0.08205692682446751,0.004542728446055094,0.010085915936572359,7.564403053491891e-05,0.0030954814817822636,0.002491116348755237,0.0018290672709894782,7.362695160896162e-05,0.0013406494302695045,0.0012459080399947293,0.1354234717154346,4.328807825394764e-05,0.01076246299298158,5.218715006269739e-05,6.43303640316783e-05,0.07197065879737011,9.024771576559731e-05,0.00018221499666766727,0.0017470443424921049,0.02310310594907975,4.183909583453669e-05,0.00023158812317549093,8.589415781138455e-05,9.128434554704611e-05,0.0023346087292365975,5.1795988248916024e-05,0.00011951624974857657,0.1977004923161826,0.00011801031191228013,0.021117198136369402,0.008357379775758834,3.16217011599182e-05,6.821441456307363e-05,0.003649351140104069,0.018393630070049315,0.0017696348828824214,0.0018332349685781985,0.004039064877480902,0.002198605100703106,6.816638304376176e-05,0.0003868909425878901,0.010860292119372639,6.501823065317865e-05,0.005386003109566943,0.0007594506442323088,4.232534750127465e-05,5.9412694594017916e-05,0.0001025005173382714,5.029106272600054e-05,0.023638507971762642,0.00011748576080280951
1801,0.0018512111854234404,0.006772957709644811,0.0008548390638746758,0.0017652873449511442,0.002286512327405347,0.003691259562746264,0.00011124759444043272,0.0012026829248513694,5.315278808966458e-05,8.564080253834223e-05,0.03933399193077034,7.848563866535024e-05,0.00013076533338806805,0.0033064364556321777,0.00078551918929436,0.004196182607774173,0.0003435422296144585,0.0016945162069103281,0.006214119745174778,6.033632517747065e-05,0.05017911488342479,0.0006100227997483226,0.004153188424811422,0.0014133160879228513,0.027091315418094404,0.0035151180422992078,0.004068139516584327,5.724530981834671e-05,0.31553457067074175,0.010871571571349941,0.0026456646651555086,0.008693515809395315,0.007502401357401672,0.0018694078792322662,9.985452726501038e-05,0.00040593465507617765,7.278011759310437e-05,0.007165148707827326,0.0017388043535415307,0.199537139611803,0.013674830725768054,0.0005585735618769073,0.0016841714041848199,6.359045643909131e-05,0.08567739121106144,0.0030732986705484097,0.00041468165210676916,0.00018039570129186466,0.01226385547829294,0.0020375146634308934,0.0018480224135939641,0.0006081064810445364,0.0020617873014573394,0.0003408707372995562,5.120024710011656e-05,0.00011814161147382736,0.0799122765744202,0.0032226028592103355,0.00015894301596367587,0.0004846578869394107,0.00036665909851044294,0.007482082837530004,0.00405887886467823,0.0018173050174327826,0.0018731936668707253,0.002831710808400577,0.0014138534640111846,0.0027213951589836883,0.006090469130826077,4.767292367568968e-05,6.606098148728733e-05,0.005553119840510643,0.0008800276914894137,0.0004396137145975634,0.0062317280417598445,0.0017554407024235202,0.0005520736596803097,4.971263075673773e-05,0.025099692287037505,0.0001914554503803738
1802,0.001782076776188688,0.002339232774251469,0.0006413318662179892,0.00015199437033009512,0.00035386358342907404,0.00015407384686257804,0.00048328562935769326,0.0008800362068171077,3.706584359656476e-05,0.0012174241471711346,0.0309185118825417,0.00016295147730753764,0.0002302350135262455,1.818614538127748e-05,0.0038242362962490973,0.003982932862691333,0.0021660718301593647,0.0011716255845360393,0.0002652187630420662,0.0005317074462075479,0.02437941720714797,0.000531601546874089,0.00541382590578862,4.257981289468482e-05,0.047223694963341195,0.007098758123663925,0.003201941467784926,0.001256796518206883,0.35507962144199456,0.0002829525472288958,0.014996435355686405,0.009926384819763039,0.0001061376720861533,0.0039026141436439045,0.0012504936729178882,8.003618612173225e-05,0.0012623099269058347,0.010930037784391783,0.0013499512354343088,0.14670664844949563,0.00030495669094347463,4.451292936331917e-05,3.597388589533285e-05,4.434450190325656e-05,0.13225503040873746,0.0024182945383645817,0.0007938174797457935,2.3495764446653586e-05,0.0013720758759903243,0.0001031103935432276,0.0012876605389425249,0.001108514705698613,0.032321085150885595,7.413358826789065e-05,0.0031220123376161342,0.0009808368146156379,0.0406331893341872,0.005799114303868232,0.0006386335323380903,0.005137577259397279,0.0015414687228097967,0.0012719983133424263,0.0012091274461424753,4.282523584330953e-05,5.556348280537677e-05,0.00021530139359288037,0.0001306726524412451,0.009493916935345901,0.0001793183495044498,0.00030417188817267863,0.0021851020892151895,0.002230347480385357,0.008650105364580366,0.0007338504956044679,0.0022172708432411786,0.006057708615647818,0.0008291235530504803,0.0038218982511149598,0.039319822259506226,0.004677735465665778
1803,0.001328132896491593,0.000528232334889796,0.0028792501029527525,0.0012538359476616798,0.0014765671250883097,0.0008058130306760558,0.0005865917640187641,0.003908254705809783,0.00024209978408025563,8.745528232044482e-05,0.03480842272419795,0.0007953991274077464,0.0005026806849548352,0.004598018967327012,0.004593179969745848,0.0035347291466402953,0.0009642340669111596,0.0004267839434634405,0.0007022307806301066,0.0010335367322307667,0.01021179544288024,0.0056502302070267595,0.0070675216501659135,0.0002432362308114477,0.04541692590034898,0.003698543838679136,0.0005328106950975887,0.0008964949620808661,0.3324054591989759,0.005730556151579312,0.0007622044489408996,0.009524295448291078,0.004016754180243369,0.01241107585809397,0.0007795416452378505,0.0012681580956637147,7.432211682708645e-05,0.012559168148302541,0.0008562468620388194,0.10206483725376717,0.0006363348803392622,0.0008019687975157803,5.267988663217169e-05,0.00015352391034602732,0.054668256592333514,9.109980962042188e-05,0.004064531091859294,0.0004552561404505147,0.0028633934277534547,0.0032228076838040636,0.0002810693585764623,0.00028126027669636664,0.007666207433307282,0.001107157326864487,5.228503157723802e-05,0.0022964182676630733,0.1235241779091893,0.010134824102055968,0.00033365425735789244,9.926965104476446e-05,3.192026447544241e-05,0.0038287347675847743,0.0025645881347759318,0.006149940515195542,8.136674429869198e-05,0.001435749352361766,0.0012210661009993662,0.0018295449360255097,0.008431209048436222,0.00010481089300984861,6.746062174919254e-05,0.0019809809066766533,0.11287723065433058,0.0004722544760440602,4.2724971671295995e-05,0.00018559476350912593,0.0002531589154810827,0.0031523471625375067,0.019609125464468385,0.0016683880188303481
1804,0.0005013209898578879,5.655367578644377e-05,0.0037363367331365253,0.0007902127407658785,5.3914385435252256e-05,7.356036070316824e-05,0.0008449025710953904,0.002540891215381373,0.0002416331709024382,7.67304384930582e-05,0.03476657947985987,7.031972251198639e-05,0.0005254277641335484,2.3365752460273215e-05,7.418490990491702e-05,0.010754516374446023,0.0015287244341578746,0.003776108522364136,0.006207767086738906,0.0001731387228607885,0.01387249153534316,0.0031188929997709117,0.008617635549946856,0.0028418205336077605,0.08565503536371152,0.006240649307019724,0.005389680226783966,0.00033540304627142437,0.3687161935891965,7.933543314079775e-05,0.0024747545537245575,0.004731340707792166,0.0028801833211944514,0.0021902651280983018,0.0004717698119626333,0.0003041310909660866,0.00454519370950666,0.01659041359706469,0.001378210941620326,0.08550918625929096,3.833815341858226e-05,0.0023521846254491293,0.005204363774221294,0.00011488917861963836,0.030233495419926093,7.99280289690972e-05,0.0033605729629057352,3.0187607346996386e-05,0.006392491880214317,0.0028615327378951703,4.033070444936307e-05,0.0012894136585889428,0.0004574431721369007,9.524762043542349e-05,0.002828145655901748,0.0016971058908534422,0.08276930055309163,0.004079628099456796,0.005261572536496802,0.0002562986125869438,2.8005808511837728e-05,0.003656804491237264,0.0014647256057761812,0.00530608738559802,0.0004138333116117741,0.006403751904156122,0.001476873709049503,0.00280474954121886,0.0026373013792424533,0.0012263067262488665,5.9187769457577936e-05,0.00047901273028449007,0.09411965551365313,5.9890223717266274e-05,3.7485509439326876e-05,0.0003877842292869385,0.002472310824257739,0.003861928492870274,0.04066053552548045,0.0002425226889285661
1805,0.0009346763008606856,0.004653127749068593,0.0356396713911175,0.00021358295881314634,7.488546445509038e-05,0.0003464862690446555,0.00013844282384353933,6.807184782201437e-05,0.0002541639914484405,0.000692216514722572,0.03655313263605144,0.001742997876608422,0.0045799721176285205,3.2454329418844516e-05,0.00019982449096075187,0.0032917480869303762,0.0017126347782789662,0.004546710071670232,7.141381626544253e-05,0.0004222047041527729,0.010980001489568068,0.004767134522838408,0.006225232401419094,0.00026841804625218744,0.06766361677698825,0.01076887064006574,0.00047279871235281803,0.005379200877246803,0.29841766523575786,0.0003958843702275252,0.0006760662494809184,0.04284325884516812,9.305300763573957e-05,0.01399396057935895,0.001366434631632245,0.000426482733201947,0.008574626747465857,0.038911801236813856,0.002433502041219942,0.13024954075796347,0.0028454843615056745,7.943614453022912e-05,0.0021443934605032697,0.00014209478547221263,0.027024314357837118,0.00418445548352794,0.03731944189431419,4.1929681266284174e-05,0.003713180910800119,5.14680891093762e-05,0.000500411315072591,0.0008539203869718547,0.00011229283848500944,0.00019549802648407923,0.001319979299980324,0.0010887856250008509,0.08176538055208535,0.0001451696105801799,0.018515568382477837,0.00012097370947802556,3.8899228117288413e-05,0.007703654562227856,0.004356525696299492,0.005618473563794202,0.00041516624881504074,0.0005403748905127447,0.00016450108657341985,0.003789783510155948,0.00026244393332902844,0.003856155497719746,0.0012405590452955425,0.0014869271841761633,0.013846441385249056,0.0035336279727256953,5.206624840546201e-05,7.308613627039506e-05,0.0001260903385911263,0.003840616494823017,0.02416522159868786,0.0016492383409285342
1806,0.001386052792083737,0.0001085933632638139,0.028969072219220696,0.00035232785173832233,0.0001035254448326954,0.005264469916598911,0.0001913903455976049,9.410595737953725e-05,0.0006776784412378995,0.00014733642446395539,0.06270584002375482,0.0009464507721500753,0.00016790449417152263,4.4866502655500645e-05,0.00039209874291012666,9.721865991770218e-05,0.0011809586759900272,0.0009748257269600427,9.872606319366648e-05,0.00010380260522387127,0.0088774307980042,0.007676152415441407,0.00014032395494448704,0.00010504739999916911,0.09841591706956922,0.00038812797300722746,0.000146388444566845,9.84848228411969e-05,0.27203702038622746,0.00015233848889475377,0.0019324081282103174,0.03647605605432437,0.00012864117327184864,0.013682189484585876,0.0001717897144550738,0.002565991861724255,0.007669010125782178,0.07742531499108667,0.003374026486495926,0.11582658695201938,0.0004251963049327812,0.00010981653459888837,8.87501124187237e-05,0.00010940101218192048,0.005180432808584545,0.001009930633985105,0.025001061566889627,5.796570718191144e-05,0.0046384944840659635,7.11520834985592e-05,7.74423019910056e-05,0.0008034695238647667,0.00015523928629244672,0.001062244376463935,0.0002524341121678207,0.003949616144053745,0.09799378064499828,0.0014489407810507585,0.049334881400404075,0.000167240160395674,5.377625583007298e-05,0.00011600627652165169,0.005109599638688693,0.00010565287571407946,0.00013707902892950405,0.0007734090260797845,0.0001038303513303333,0.003798699113559148,0.0006152249879383793,0.008049527148529367,0.00011365130312223338,0.00011057080666032944,0.018516437224948147,0.00011500014330879525,7.197900909298122e-05,0.00010103796275488447,0.00017431364667010773,0.0012009152626529078,0.015552019559684323,0.0019472886491672342
1807,0.008559139730245434,0.00018275322438653915,0.0003239667449085964,0.00027693306927659015,0.00017422435663276274,0.0039300964084248375,0.0033163773002289785,0.0013575618374623787,0.00015389241396843146,0.00024795444059465954,0.1842915958216486,0.0007262659915883843,0.00028256872037650305,7.55064377858923e-05,0.00023972856401313365,0.002982702847737178,0.0034699544768988146,0.0007951891706008672,0.0001661474130403328,0.00017469079356442473,0.011646267046094578,0.0003524897940575953,0.0002361530617895681,0.008634062466883875,0.028592137472309875,0.0026596349162922037,0.0013033744524284009,0.0001657414264225423,0.2909598971285883,0.0025761655063063333,0.0013674544156493998,0.05224128919770967,0.00021649195215718892,0.023268093543350393,0.0002891072095892003,0.0003322995159954103,0.00021071910595574223,0.02759978212765379,0.005855831494249993,0.15514291356728935,0.001393814520961232,0.001721032206249309,0.00022792015782827004,0.0001841124275599201,0.010123945610724758,0.0002582874554100095,0.017721169716629504,9.755126439545766e-05,0.0018959289218539238,0.00011974279357746895,0.00013032868646300108,0.0004570701198072071,0.004128357001464365,0.0003077927209444337,0.0008940089967779746,0.0009770158928416224,0.03444423574112694,0.004907554986501422,0.004702501078636523,0.0004385735158927964,9.050078064628959e-05,0.0001952285153182366,0.0011702957708367436,0.0003215468959430687,0.00023069213237076705,0.00367104002113552,0.00017473748785832734,0.0025891002757888176,0.002098372506790318,0.00013802665051188987,0.001586166895618786,0.00018608109034347754,0.0008775272119851363,0.0007434651212843528,0.00012113443772740873,0.0006414065749091814,0.0002933547688927089,0.00014393218167540046,0.07284183153320847,0.0013774601673521743
