receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
AbekenBernhardRudolf,0.0001109196506074431,0.00024814261696028096,0.00012362283528063653,0.0002924410261269646,6.232448964688353e-05,0.00011099048450505643,0.10841140325894766,0.0005281531607356553,9.445743217299442e-05,0.03922776413932041,0.02596799842009998,0.024097589368074594,0.0001373697461340263,0.00022104092972577115,0.00799279044245897,0.00011787069862244904,0.00016468110344523138,0.0008634285286901452,5.5745439603857225e-05,9.935902603765761e-05,0.00010267902617973122,0.0012737549982514288,0.0001095160615310295,0.00011430979886918232,0.00010185338244633952,0.0001390991827156679,0.00017156953790147233,0.00010340150046509957,0.0001837172166075009,0.07224934567930356,0.007533434819644468,0.00019092740356578983,0.00022756304707839618,0.014966582668634508,0.00018548035807887332,0.00011091762738921654,0.05354514660372376,0.0070639000715539395,0.0001233528788738287,0.0002840523331084281,0.0005367077930891917,0.00015999690489081677,0.0011959713200151213,0.0001671577576605412,0.00016486231650116167,0.0005842384381833242,0.00020980636947927805,0.00029780077812148166,0.00011008812538168299,0.0002115738946872727,0.0003795698803693703,0.04451129598606918,0.0009939957474529794,0.00018572435235272503,0.004004918196488598,0.0016677754256551845,0.00012241867181329679,4.2621477505591515e-05,0.00017514672477170667,0.00023199133357456437,0.00010679050004290273,0.00010856399510386998,9.949176686565096e-05,0.00017565261666166215,0.007905769183821323,0.0034501422794088734,0.0401387472180658,0.07056602068548327,0.00012847539481382805,0.00018700062401744952,0.16682820709913315,0.0001135477386520305,0.026907845850844832,0.00040425452761318843,0.00015670736575620282,8.288352801325133e-05,9.213649493351934e-05,0.00010764266799093707,0.00016675454232975185,0.00021569950230294064,0.0010343720767802193,0.001067695357065761,0.0001448887193233888,0.00012416878090575385,0.00012605534293308446,0.00016264055792746126,0.012019393413706773,9.863207334747954e-05,0.0007985217716549326,0.1852678287281152,5.49924575281746e-05,0.0001042947977800351,0.00024378371425774493,0.0006145154445083743,0.05521861916601418,0.0001631914719803671,0.0001773556325809536,0.00014024877491275792,0.0005854500410616903,0.0002486596085792844
AbekenBernhardRudolfANDTruchsessvonWetzhausenChristianFreiherrANDVoßHeinrichANDVoßAbrahamSophus,0.0002724207868928839,0.0006094430211759348,0.00030362005181812666,0.000718240762759166,0.0001530701405866319,0.0002725947563024596,0.004555483436432239,0.001297154281136152,0.0002319892630343503,0.023198323923868426,0.15101290158705696,0.022611232985798868,0.0003373827282376597,0.0005428807581132834,0.0013439923705683414,0.00028949269398606287,0.0004044599450255383,0.002120597008044944,0.00013691186763937994,0.00024402767147080166,0.0002521816554243671,0.0031283666783306066,0.000268973545231223,0.00028074705597224726,0.00025015385859745705,0.000341630257614754,0.00042137807201883857,0.00025395606611040936,0.0004512130036463293,0.002975777199195604,0.0002158061605912205,0.0004689213609488007,0.0005588992032821924,0.00018530559995526345,0.06235949738095217,0.00027241581783015866,0.0006554059200468156,0.07925302797415675,0.00030295703371117607,0.0006976379719948827,0.0013181646220862644,0.00039295546363592144,0.002937328474400889,0.00041054265522613286,0.00040490500776258663,0.0014349007970305544,0.0005152884629159542,0.0007314044163399415,0.0002703785450080393,0.0005196295386890744,0.0009322308979949398,0.07979227934741312,0.002441272598735993,0.00045614256748934885,0.009836155816883194,0.004096088396685882,0.00030066260327295117,0.00010467916529689693,0.00043016371150395553,0.0005697751597539874,0.00026227951400001933,0.00026663525184641057,0.00024435368548740495,0.00043140619167757367,0.0011302664921991668,0.008473615536126687,0.00714926173574152,0.008733411969430624,0.0003155380309970828,0.0004592771151487514,0.007431282926288494,0.00027887542147935667,0.0041822308426788905,0.0009928568645347494,0.00038487629250024953,0.00020356353268492143,0.00022628899670963496,0.0002643724548062431,0.0004095523506489063,0.0005297621100316326,0.0025404376370942623,0.002622280251883659,0.0003558494704393808,0.00030496090473265246,0.00030959433721457165,0.00039944832614108083,0.15332776862800385,0.00024224226173674926,0.0638651388373553,0.2510230204348376,0.00013506252923585696,0.00025615002142969983,0.0005987374726305562,0.0015092617046124025,0.00476548659345468,0.00040080138160944055,0.00043558883140176817,0.0003444536780747186,0.001437876516911735,0.0006107127624967435
AbekenMinonaLaura,4.185003446883634e-05,9.36243218952058e-05,4.664295180607744e-05,0.00011033813176016333,2.351505820375965e-05,4.18767601305243e-05,0.0006998259604611778,0.0001992724270277212,3.563883198900308e-05,0.3078792010721591,0.05172858918697987,0.003473600126596251,5.182966750436667e-05,8.339884301282146e-05,0.00020646782382378992,4.447266803673378e-05,6.21342550017595e-05,0.0003257719753819209,2.103277963936636e-05,3.748820557668571e-05,3.874084313568825e-05,0.08606929751691111,4.132045967387167e-05,4.31291389451962e-05,3.842932738070531e-05,5.248218471080395e-05,6.473326444554384e-05,3.901343301115153e-05,6.931658912948879e-05,0.00045714712074039016,3.3152739048804675e-05,0.17124945535295438,8.585964084731122e-05,2.8467158596254494e-05,6.998182320610442e-05,4.184927110768208e-05,0.00010068526949752792,0.22139191393396895,4.654109713138165e-05,0.00010717307408055792,0.00020250009369366447,6.03669047632079e-05,0.00045124052133476436,6.306869776019305e-05,6.220262676993001e-05,0.00022043342763965152,7.916003833769739e-05,0.00011236036861798392,4.153629962411594e-05,7.982692640012834e-05,0.000143211887972935,0.03127762371304984,0.0003750350462246454,7.007388235626377e-05,0.0015110574514978748,0.0006292524243243884,4.618862038384251e-05,1.6081102788851057e-05,6.60829386736984e-05,8.753043535024744e-05,4.029210408854147e-05,4.0961244579205877e-05,3.7538288751276706e-05,6.627381191316678e-05,0.00017363466348148,0.010811596821819685,0.0010982893540541743,0.001341650892796708,4.847382471826202e-05,7.055542023406822e-05,0.0011416142290754552,4.2841613279721445e-05,0.0006424858650436343,0.009662381991960657,5.912576015613192e-05,3.127199270154002e-05,3.476314131615921e-05,4.0613627441736024e-05,6.2916564433055e-05,8.138352002420718e-05,0.00039026905358777967,0.0004028419423493949,5.466657949806494e-05,4.6848937337984055e-05,4.756073804632568e-05,6.136435625265378e-05,0.09012363176349124,3.721392599705706e-05,0.0003012826265216592,0.0005234241236547798,2.0748679160784258e-05,3.935047449312734e-05,9.197970592906792e-05,0.0002318569558546916,0.0007320872260576582,6.15722163746179e-05,6.691636059171932e-05,5.291592636802924e-05,0.00022089056595503995,9.381938306747694e-05
AhlefeldtJohannGeorgJacobvon,0.0002724207868928839,0.0006094430211759348,0.00030362005181812666,0.000718240762759166,0.0001530701405866319,0.0002725947563024596,0.12836339157257995,0.001297154281136152,0.0002319892630343503,0.023198323923868426,0.027204993450909255,0.022611232985798868,0.0003373827282376597,0.0005428807581132834,0.0013439923705683414,0.00028949269398606287,0.0004044599450255383,0.002120597008044944,0.00013691186763937994,0.00024402767147080166,0.0002521816554243671,0.0031283666783306066,0.000268973545231223,0.00028074705597224726,0.00025015385859745705,0.000341630257614754,0.00042137807201883857,0.00025395606611040936,0.0004512130036463293,0.002975777199195604,0.0002158061605912205,0.0004689213609488007,0.0005588992032821924,0.00018530559995526345,0.0004555433128783215,0.00027241581783015866,0.06255935998812068,0.017349073906082896,0.00030295703371117607,0.0006976379719948827,0.0013181646220862644,0.00039295546363592144,0.002937328474400889,0.00041054265522613286,0.00040490500776258663,0.0014349007970305544,0.0005152884629159542,0.0007314044163399415,0.0002703785450080393,0.0005196295386890744,0.0009322308979949398,0.017888325279339274,0.002441272598735993,0.00045614256748934885,0.07174010988495702,0.004096088396685882,0.00030066260327295117,0.00010467916529689693,0.00043016371150395553,0.0005697751597539874,0.00026227951400001933,0.00026663525184641057,0.00024435368548740495,0.00043140619167757367,0.0011302664921991668,0.008473615536126687,0.00714926173574152,0.07063736603750446,0.0003155380309970828,0.0004592771151487514,0.3788550073347316,0.00027887542147935667,0.0041822308426788905,0.0009928568645347494,0.00038487629250024953,0.00020356353268492143,0.00022628899670963496,0.0002643724548062431,0.0004095523506489063,0.0005297621100316326,0.0025404376370942623,0.002622280251883659,0.0003558494704393808,0.00030496090473265246,0.00030959433721457165,0.00039944832614108083,0.02951986049185613,0.00024224226173674926,0.0019611847692814427,0.003407204162542189,0.00013506252923585696,0.00025615002142969983,0.0005987374726305562,0.0015092617046124025,0.06666944066152852,0.00040080138160944055,0.00043558883140176817,0.0003444536780747186,0.001437876516911735,0.0006107127624967435
ArnimLudwigAchimvon,5.934538296004674e-05,0.000132763838973253,6.614197269968546e-05,0.00015646483372143947,3.334549546115841e-05,5.938328124729699e-05,0.06841958143593127,0.08119521103848627,5.05375959537402e-05,0.2477915275247824,0.07335365368863007,0.018411172652636795,7.349698765550515e-05,0.00011826361291783965,0.0002927814093647739,6.306440483006802e-05,8.810939357200357e-05,0.00046196049494504944,2.9825503807934546e-05,5.316009758821193e-05,5.493639853019802e-05,0.014166936464336225,5.8594420161280823e-05,6.115921527724617e-05,5.449465404868947e-05,7.442228876924441e-05,9.17949152858032e-05,5.532294422259036e-05,9.829429245600586e-05,0.0006482568364339872,4.70121953302304e-05,0.00010215196153366594,0.00012175314385200874,4.036781451009599e-05,9.923762670975004e-05,5.9344300476827515e-05,0.0001427766058643451,0.0037794011488685633,6.599753782041209e-05,0.00015197662809698082,0.0002871549751923063,8.560320503327068e-05,0.0006398809913918652,8.94344788212111e-05,8.820634806241757e-05,0.00031258531436126227,0.00011225278186522978,0.0001593324638748304,5.890049170143362e-05,0.00011319846155125056,0.0002030814178304656,0.0038968741200857493,0.0005318179237872267,9.936817105912807e-05,0.0021427529098106152,0.0008923105219393861,6.54977086605867e-05,2.2803785362109813e-05,9.37088189410268e-05,0.00012412241166463446,5.7136161958985485e-05,5.8085035697718555e-05,5.323111796402956e-05,9.397948647181485e-05,0.00024622239217318844,0.0018459309393499726,0.015042866527331148,0.015387965017636488,6.873823947709228e-05,0.00010005101517456967,0.0016188644639605052,6.075148990867694e-05,0.0009110761840787453,0.0002162884540580008,8.384320165572103e-05,4.434520559782664e-05,4.929582401749107e-05,5.75920977011684e-05,8.9218746369026e-05,0.00011540578696702564,0.0005534204866633597,0.0005712494540212657,7.751986674812194e-05,6.643407019567033e-05,6.744343819653117e-05,8.701763972553635e-05,0.03340161832516906,5.2771155813186545e-05,0.0004272334079784509,0.3378782118958344,2.942263552085721e-05,5.580088542562976e-05,0.00013043169359819155,0.06775597864218724,0.0010381352689900918,8.731239548133543e-05,9.48906517285022e-05,7.50373555208125e-05,0.00031323355871127923,0.00013304044519630613
BarthKarl,7.439389848313951e-05,0.00016642945189952632,8.291393461573361e-05,0.00019614043040029795,4.1801085113520935e-05,7.44414068349902e-05,0.1026740996500422,0.03416425530280033,6.335267539676369e-05,0.02324011431662835,0.12576434138636172,0.006174777595020878,9.21339987331662e-05,0.0001482523285692205,0.00036702350477201055,7.905597195296959e-05,0.00011045174795180828,0.3386793277552734,3.7388510981381104e-05,6.664017832682488e-05,6.886690508065815e-05,0.0008543084973074162,7.345251016564198e-05,7.666767363700478e-05,6.83131451675246e-05,9.32939332333479e-05,0.00011507182645763584,6.935146916238783e-05,0.00012321928429322193,0.0008126386733933254,5.893332071378265e-05,0.00012805516245982168,0.0001526267179003185,5.060408990320421e-05,0.00012440182468993584,7.439254150905487e-05,0.00017898120784880938,0.0047377634345249385,8.273287463751558e-05,0.00019051412727538213,0.00035997034660247923,0.00010731005223041368,0.0008021389220277702,0.00011211284191723799,0.00011057328769353002,0.0003918491883280567,0.0001407173000156394,0.00019973522035492976,7.383619384836477e-05,0.00014190278058801622,0.017159589100194352,0.004885024634290515,0.000666673743775093,0.0001245654718447906,0.002686101841388761,0.001118578313485428,8.210630121393523e-05,2.8586259092846614e-05,0.000117471048555993,0.0001555967731993215,7.162447389301736e-05,7.28139584505633e-05,6.672920770645443e-05,0.00011781035065168736,0.00030865827692004024,0.0023140131895574858,0.0188573639516844,0.0023849595725627393,8.61685501804117e-05,0.00012542146827231675,0.0020293682942600574,7.615655923912886e-05,0.28852729419880113,0.00027113383538360144,0.00010510375569867574,5.559004860883061e-05,6.179602093171922e-05,7.219602361815142e-05,0.0001118424050719963,0.00014466982891949258,0.0006937541801868798,0.0007161041309585554,9.71769800722126e-05,8.328010078367469e-05,8.454541944610079e-05,0.00010908315243903958,0.008061416787299325,6.615261057540316e-05,0.0005355691916783543,0.0009304546964661721,3.6883485300258034e-05,6.995060438683755e-05,0.00016350593236647267,0.00041215600071507655,0.00130138059543756,0.00010945265093547698,0.000118952564792474,9.406496564049095e-05,0.0003926618113487877,0.00016677619859238146
BentzelSternauChristianErnstGrafvon,0.0001459405914852755,0.0003264893108981492,0.00016265458467583951,0.00038477416845258456,8.200235786240172e-05,0.00014603378994793102,0.16825561966054126,0.0006949082894731648,0.00012428071532874147,0.045590782291411225,0.014574191936167763,0.1116023343109619,0.00018074184234435968,0.00029083073963874885,0.0007200002751242512,0.00015508631141133926,0.00021667628334227888,0.001136040994469607,7.334608776569395e-05,0.0001307299017795825,0.00013509813393512902,0.0016759208745620196,0.00014409384369178468,0.0001504011198031298,0.00013401180762462038,0.0001830173182972573,0.0002257396205728408,0.00013604871684773414,0.0002417227164969811,0.0015941760154659745,0.00011561114363579346,0.0002512093939580937,0.00029941210154320655,9.92714585823385e-05,0.00024404253906940322,0.00014593792947125846,0.0003511124416221339,0.009294203046888107,0.00016229939425223993,0.0003737368922422007,0.0007061638974630658,0.0002105131309709725,0.0015735783595293823,0.00021993489783581,0.00021691471125313591,0.0007687015129417151,0.00027604906336704083,0.00039182616845448247,0.00014484652670398768,0.06660444158142735,0.0004994124354678052,0.00958308946143043,0.0013078325303289592,0.0002443635702703665,0.005269401113732575,0.002194346364704399,0.00016107022764166103,5.607846403299971e-05,0.3650238143438173,0.00030523854209704726,0.00014050773380477777,0.0001428411789317353,0.0001309045532037937,0.0002311118600820688,0.0006055035751452888,0.004539464397947718,0.0038299848491643116,0.004678641901891459,0.00016903925506213407,0.00024604280240485076,0.03714410200902815,0.0001493984523927163,0.0022404943832296928,0.000531890828607699,0.0002061849773535529,0.00010905255323468007,0.00012122698272433616,0.0001416289588870769,0.00021940437431225868,0.00028380284987174616,0.0013609569798899847,0.0014048015034569855,0.00019063479989163,0.0001633729030893224,0.00016585511410093746,0.00021399147124464662,0.01581430679310925,0.00012977342648412858,0.0010506410634273221,0.10131439939478988,7.235536476123868e-05,0.00013722405717561963,0.00032075416085799763,0.0008085379547920353,0.002552954714272187,0.00021471632678014761,0.00023335257351029469,0.00018452987413647407,0.0007702956582509155,0.00032716953358418447
BergnerCaroline,0.0002080310607468542,0.0004653942880278384,0.0002318560274498261,0.000548476456046541,0.00011689028608315403,0.0002081639105239373,0.003478743536073673,0.0009905572336636023,0.00017715598365807938,0.11225965074342206,0.020774786350753728,0.15908358156049318,0.00025763851442270894,0.0004145647667252693,0.0010263246122805864,0.00022106783001131652,0.0003088612743283833,0.00161936998285544,0.00010455120322757246,0.00018634897845595281,0.00019257567631744904,0.002388941922974927,0.00020539861354007023,0.00021438932220112705,0.00019102717214604349,0.000260882092315382,0.000321780611154358,0.00019393068502081599,0.0003445637201254704,0.0022724186885869947,0.00016479794003807088,0.00035808650741249914,0.0004267970716753087,0.00014150653098356732,0.00034787051192050123,0.0002080272661781598,0.0005004933372456554,0.06052068076342014,0.00023134972115192404,0.0005327433672983441,0.0010066015435136564,0.0003000760068966235,0.0022430577536354575,0.00031350626735434853,0.00030920114146680203,0.0010957458066155018,0.0003934942217649917,0.000558528731605049,0.00020647152576991085,0.00039680923530769816,0.0007118876088084071,0.013660217802354949,0.001864250280162979,0.00034832812594405387,0.00751126942843069,0.050400187885368895,0.00022959760523111705,7.99370636990756e-05,0.0003284896656368523,0.0004351023731439289,0.00020028679210535924,0.0002036130021749171,0.00018659793538198567,0.0003294384716050854,0.0008631152562938312,0.006470780913772864,0.005459453074071032,0.006669171529316157,0.0002409570578037691,0.0003507217879034973,0.2420360963197036,0.00021296006963443683,0.003193713403495885,0.0007581839442383423,0.0002939064389995523,0.00015544899534583693,0.00017280303958360104,0.00020188504274168203,0.0003127500324355209,0.0004045468591084634,0.0019399765430299328,0.002002474732551825,0.00027174043378275133,0.0002328799546519159,0.00023641822309723671,0.000305034208103064,0.25890378939762204,0.00018498557045365253,0.0014976366250443805,0.002601873022242796,0.00010313897681800684,0.00019560607425050296,0.00045721911664986395,0.0011525306748290758,0.003639110077899808,0.00030606745364773264,0.00033263249724633815,0.0002630381654987832,0.0010980181815338332,0.0004663639116635922
BertuchFriedrichJohannJustin,0.00020697533886663425,0.000463032492000666,0.00023067939795824502,0.0005456930322955156,0.00011629708797052545,0.00020710751445393084,0.23101063537280386,0.000985530325943984,0.00017625694748776776,0.01762523708283892,0.08967087880504597,0.04477979525496706,0.0002563310432408242,0.0004124609217829378,0.2218259831499253,0.0002199459487676319,0.00030729385644333074,0.001611151958504008,0.00010402062383979065,0.00018540328941698764,0.00019159838785698263,0.002376818453289175,0.0002043562508770016,0.00021330133323678351,0.00019005774207811474,0.0002595581605331466,0.00032014762985528377,0.00019294652012405734,0.00034281511846396623,0.002260886554289601,0.0001639616188152268,0.00035626927992959474,0.00042463114988764973,0.00014078840965871784,0.08314793023835783,0.00020697156355472382,0.0004979534195759691,0.013181191096646042,0.0002301756610777889,0.0005300397862687628,0.028602101583511952,0.000298553172733915,0.0022316746210368525,0.0003119152769279967,0.00030763199881443296,0.0010901850849662914,0.0003914973062170634,0.0005556942942831893,0.0002054237182616709,0.00039479549663577247,0.0007082749015416254,0.027391198729625473,0.0018547895303888424,0.00034656042056998654,0.007473151026998942,0.0031120579806015337,0.00022843243684415423,7.953139683911404e-05,0.000326822637039325,0.00043289430337869984,0.00019927037105753318,0.0002025797011826441,0.00018565098292940775,0.000327766627980335,0.0008587350947066641,0.006437942812730384,0.05809554995971842,0.00663532662999602,0.0002397342421472821,0.00034894193510637034,0.005646016662036786,0.0002118793338812321,0.07217902678144023,0.0007543362910259315,0.0002924149143335943,0.00015466011841055796,0.00017192609385635257,0.00020086051084655852,0.0003111628797714125,0.0004024938533255683,0.001930131495486373,0.0019923125174376357,0.00027036139778372804,0.00023169812890576057,0.00023521844124682262,0.00030348621192136967,0.02242810909653566,0.00018404680047597827,0.0014900363765622461,0.002588668963823471,0.00010261556423654253,0.00019461340704134293,0.00045489880821241645,0.0011466817797329619,0.017420946404603312,0.000304514213922477,0.00033094444449039665,0.00026170329201569354,0.0010924459279724517,0.0004639971949631119
BodeAugustTheodorHeinrich,0.00013517996605885146,0.00030241630184322306,0.00015066158778734962,0.0003564036468701789,7.595608486829837e-05,0.003092474332352015,0.01276172662777619,0.0006436706746832296,0.00011511713573947033,0.032020470888121225,0.15270804195069307,0.02137161222121866,0.00016741521919890203,0.00026938694103623183,0.012697422452627932,0.00014365134538249762,0.0013687104583449885,0.01754605744072112,0.0015210952596792296,0.00012109080486510117,0.00012513695452445452,0.0015523503408814941,0.008260960502899024,0.0001393116066152961,0.00012413072622094503,0.004333469184116297,0.00020909518000859577,0.00012601744818666527,0.00022389979565768777,0.09119407406810277,0.00010708679685108961,0.00023268699272296654,0.00027733557410107985,9.195188442913183e-05,0.00022604857094639283,0.00013517750032289127,0.023687198643608725,0.02252006036962103,0.00015033258658954732,0.00034618018122352644,0.0014643661889266223,0.011608452529399875,0.0014575538379504704,0.00020371845640766365,0.00020092095698970037,0.000712022908577378,0.00025569516086481866,0.00036293568234572197,0.00013416656986458156,0.0002578492786998135,0.00046258930013119503,0.044294519804807954,0.003841895764237365,0.00022634593158066464,0.006912745581746799,0.002032550807717077,0.00014919405001786646,5.1943635334507085e-05,0.00021345476820650518,0.00028273241420085125,0.00013014768881933957,0.00013230908223190588,0.00012125257873045776,0.004378017575074017,0.0005608580306796389,0.01270466785465532,0.02000381968578912,0.011315383282631864,0.00015657549780602546,0.0002279013490326175,0.0036875327511053527,0.0001383828687971978,0.0640664605732272,0.001302942781682057,0.00019098235766236736,0.00010101179044750197,0.00011228856374579051,0.00013118624270641778,0.00020322704993070475,0.05983173936592327,0.0012606096527136997,0.004258429431316378,0.00017657874013472468,0.00015132694248932687,0.00015362613284401915,0.002534233954554145,0.08306814329894927,0.00012020485328261331,0.003879488619503803,0.008327285516901204,6.702039270264916e-05,0.00012710612724445297,0.003538183281365578,0.21612889518239856,0.00835295972288735,0.00019888466581519966,0.00021614680772381222,0.00017092394835969588,0.0007134995129038195,0.0003030463697268385
