year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.00019333942583598586,0.0004325270664467847,0.00021548181825746822,0.0005097417795010601,0.00010863522358625894,0.00019346289345438612,0.003233066617458478,0.0009206017895916507,0.00016464481813867934,0.06647391282393084,0.08974323929214643,0.02925050001638289,0.00023944348633753794,0.0003852872435622815,0.0009538431931620573,0.0002054555082868392,0.0002870487764050088,0.0015050063273113195,9.716755531558768e-05,0.00017318858237058343,0.00017897553642001163,0.002220229316167022,0.00019089288814264356,0.00019924865215281977,0.00017753639119655633,0.0002424579952535253,0.0002990557197679288,0.00018023485127314563,0.030482451042715422,0.03754158248375756,0.0001531595281566417,0.00033279760961750027,0.00039665567483019285,0.00013151301230779678,0.0003233030913677982,0.00019333589924851362,0.00046514733958676275,0.06700517608593554,0.00021501126848195821,0.0004951197978879178,0.0036608704948077595,0.00027888394488910875,0.06467056720081273,0.029052311424843113,0.000287364641339632,0.0010183617021067076,0.0003657047492460667,0.0005190841400978367,0.000191890028828006,0.00036878564886117416,0.000661612458508082,0.015891162243129957,0.0017325926113499204,0.0003237283876300513,0.04344752118905145,0.009807182014150971,0.00021338289104201851,7.429172327972959e-05,0.0003052909652975674,0.00040437443668995074,0.00018614207536682566,0.00018923338078414862,0.00017341995738239319,0.0003061727643927091,0.000802160059574914,0.10495077950195426,0.06973687553650336,0.08146866487367553,0.00022394011278728553,0.00032595300364278884,0.011665368046694673,0.00019792033670979685,0.0793916167005228,0.0007046392395964403,0.0002731500861538145,0.00014447082757279754,0.00016059928904781003,0.0001876274538447284,0.00029066290141571536,0.0003759768237636336,0.0018029709102964323,0.0018610553330483547,0.0002525494955193769,0.00021643343335109492,0.000219721821090964,0.0002834919864526665,0.1152941190709569,0.00017192146139644355,0.0013918700609298446,0.002418122728464578,9.585506360307322e-05,0.00018179192063844408,0.0004249292445895395,0.00797128838398044,0.0033821077029995293,0.00028445226180595575,0.0003091412205519395,0.00024446180155938464,0.0010204735966498446,0.000433428213017593
1799,2.9703546420530293e-05,6.645094626088706e-05,3.3105374983479715e-05,7.831376629171337e-05,1.669008477058652e-05,2.972251526828974e-05,0.0004967095766272323,0.00014143591186184832,2.529507355954795e-05,0.03627809562790127,0.34720258135101856,0.002465427900269553,3.6786706491795455e-05,5.919329425390413e-05,0.00014654292803181857,3.1564990954968885e-05,4.410050675404251e-05,0.00023122043066584362,1.4928258824635425e-05,2.660768787176649e-05,2.7496761879809142e-05,0.00034110313647530484,2.9327674579442797e-05,3.0611405629548514e-05,2.727565996660158e-05,3.724983813260777e-05,0.2700351768055944,2.76902356994214e-05,4.9198251543945394e-05,0.000324465460883562,2.353054031621394e-05,5.11290917678675e-05,6.0939874003145106e-05,2.0204895349706368e-05,4.967040913057736e-05,2.970300461611437e-05,7.146253555921095e-05,0.008641396356892482,3.303308244904399e-05,7.606732996488495e-05,0.0001437267856414921,4.284610946337255e-05,0.00032027318358058567,4.476373831895624e-05,4.4149034407973575e-05,0.0001564551770060478,5.618475356730408e-05,7.974907231097867e-05,2.948086948269336e-05,5.6658085089515036e-05,0.00010164629531054576,0.0019504631286794039,0.0070159162560111355,4.9735749178080294e-05,0.0010724905182115927,0.0004466191923944286,3.2782907997204936e-05,1.1413748859338464e-05,4.690313070018926e-05,6.212573974273223e-05,2.859778729850369e-05,2.9072717507727466e-05,2.6643234984695607e-05,4.70386051914518e-05,0.00012323921240198446,0.0009239252088572556,0.0007795235828447213,0.0009522522521220043,3.440485822709956e-05,5.007752626113763e-05,0.000810273914420113,3.040733096007881e-05,0.2501960510303016,0.00010825668004639492,4.1965192711002255e-05,2.2195658824710793e-05,2.4673541967496037e-05,2.8825992220389973e-05,4.465575992892362e-05,5.7762895433343006e-05,0.0002769979785410524,0.0002859217318834517,3.880023761943466e-05,3.325157559924029e-05,3.3756784391795427e-05,4.355406220451178e-05,0.0032187138009853945,2.641301476506284e-05,0.0002138388318234096,0.0003715063309250708,1.4726615221212774e-05,2.7929454792848133e-05,0.04731339919485608,0.0001645631583955101,0.014019068964431029,4.3701593332265915e-05,4.749466155420219e-05,3.7557691294819694e-05,0.00015677963621723087,6.658939318593593e-05
1800,0.00010282976148605421,0.00023004441482471415,0.00011460644346173766,0.003225195693919185,5.777887299528723e-05,0.00032342480367802463,0.07281484077448964,0.0004896324794491256,8.756820967016624e-05,0.09207067718175964,0.18158803647753194,0.050610023889500345,0.0001273507277836111,0.00020491938045134344,0.0005073122961022813,0.0001092738370447741,0.00015267014001391947,0.0008004546460364029,5.167966385584001e-05,9.211230735930014e-05,9.5190164356446e-05,0.003123175794175877,0.0001015285427284975,0.0024200598801974007,9.442473868378867e-05,0.00012895402846317108,0.005196619718175774,9.585994521166316e-05,0.00017031786037165344,0.003738018427211702,8.145962822411916e-05,0.0023200009352279897,0.00021096580926789334,0.0048916938950975,0.00017195240768562802,0.00010282788583059976,0.02000923825732556,0.08633911660252437,0.00011435617623882756,0.00026333506734952565,0.0004975631824372582,0.0019384025301783135,0.015148467972211898,0.00015496616024882862,0.00015283813635376926,0.0018365083338221296,0.002179268580128632,0.003849252945776452,0.00010205888328578687,0.00019614282057527408,0.004102133903951406,0.04272192789075531,0.002161007085040877,0.0041465797045315425,0.049877429994027424,0.00811050189366961,0.007891698864092016,3.951289372154858e-05,0.00016237245460751232,0.00021507112010956246,9.900176919283652e-05,0.00010064591496067146,9.223536677760223e-05,0.0012484043168896931,0.001074078474355747,0.01738535002808153,0.024541611402859157,0.014764037835699944,0.00040299087585235325,0.00017336179351584876,0.028881790797555266,0.00010526617077249977,0.12088216088006662,0.0003747703533726443,0.003453218582453575,7.683844449608649e-05,0.0011438733675424738,9.979178454505355e-05,0.00015459235329879292,0.009911248426340068,0.0015786845305253313,0.000989823338836521,0.00013432130707635096,0.014363962364157613,0.00011686153694917996,0.0001507784210286483,0.05615189236553766,9.143837473029093e-05,0.0007402818424960688,0.0030066198276109788,5.098160028620483e-05,9.668809017360542e-05,0.00022600342729195481,0.0005696959577697444,0.00630280874674486,0.0001512891543419015,0.007428324595323916,0.0006793063508410027,0.0024826906070810374,0.0008090455072821783
1801,0.00512913386606964,0.0016392396806754225,0.0001094627972205521,0.0007886807556441515,5.51857021933212e-05,0.0005622532062261102,0.007439988529616523,0.001904625802172646,8.36380650909247e-05,0.134132795362545,0.10767606824017734,0.058065834013550956,0.0015795091986616037,0.00019572240365695813,0.0054918272998763845,0.00010436952325404971,0.0001458181588503469,0.003831145139967946,4.9360231364013575e-05,0.0007219595656495359,9.091793919789e-05,0.008387169443270366,0.000890714508534259,0.0002759827926064957,9.018686655779475e-05,0.0014577726024396324,0.0001519175765051746,9.155765965096656e-05,0.00016267383272498885,0.005722464363333217,0.000848306236335052,0.00016905814862541114,0.0002014974629944855,6.680741008464829e-05,0.00016423502000008946,0.0008926141815442162,0.007517026651737687,0.10508879650275717,0.00010922376222875858,0.0002515163389392252,0.009576623523981228,0.0012820161676793287,0.007226375521811044,0.005279566640788466,0.00014597861535460018,0.004566499466429186,0.00018577467525118056,0.00725690194705788,9.747838348546111e-05,0.00018733974413983465,0.0009547275202998433,0.0327820592252617,0.00416317072751981,0.0001644510666201251,0.07620954553214294,0.012939018262332678,0.0007476744818476231,3.773951745115536e-05,0.0037482249652504166,0.0005403228840888612,9.4558475582129e-05,0.0012617290554425432,8.809575574614765e-05,0.00015553297022549812,0.0017703440770725977,0.016063258807410295,0.018289866039234572,0.02992496415940974,0.0013991251112686295,0.00016558115125308898,0.01689357805740185,0.004531704113790211,0.05221875316659075,0.0010824366343898091,0.0031172889137152243,7.338986198822088e-05,8.158297323164521e-05,9.531303429356591e-05,0.00014765410137383166,0.00019099279536471765,0.005925690791164031,0.0016365189561126012,0.0001282928389956268,0.0007073351218964026,0.0001116166799663481,0.0026482725085225658,0.13273671132141338,0.007663916834123548,0.003834334586833944,0.0048347914638654415,4.869349755165562e-05,0.006820639476110346,0.005391467985369636,0.0047208105552169425,0.031404673418551105,0.0003119513333843564,0.0021270523785733245,0.00012418436427101358,0.010528573345155338,0.00022017757681310412
1802,7.462294617594779e-05,0.003464115882239724,8.31692142261938e-05,0.00037602455461371723,4.192978440603487e-05,0.0007205361175065271,0.014649527538170731,0.0029565465069609142,0.0008228896335787328,0.06874250502659944,0.09320697360689295,0.0791528764462884,9.241766554280138e-05,0.00014870877532768584,0.0008270192852295792,0.005281267347643477,0.00011079181237309592,0.003793805571164896,3.750362461774689e-05,0.00058701089412978,0.003718693687976981,0.003074222277696758,7.367865946454221e-05,0.0013126425915247488,6.852347112984317e-05,0.00018178124004030146,0.0008032061550961703,0.0017509589489384302,0.00012359865805037547,0.002669268003506345,0.0002744032731679372,0.0001284494251629687,0.00868902298463842,5.075989233156621e-05,0.00012478483931220122,7.462158502394274e-05,0.0003547906936638204,0.07499612703946282,0.0007747143109132507,0.03318884289066296,0.002167401078485891,0.00010764044384020522,0.026809236408231414,0.0007621096406961742,0.0006310792669729738,0.0003930556334041363,0.00014115054754754673,0.005786666762917092,0.00033381325356271404,0.00493142578193086,0.00230009708937,0.040397479133369794,0.0067183446008392995,0.00012494899031218325,0.1470490294407467,0.010404685871111862,0.002274360986201833,0.0003069266519918581,0.0007152543796076431,0.00015607583240493343,7.184499494149444e-05,7.303814174418541e-05,0.0008262765617266711,0.0001181730711107021,0.0003096085896155193,0.021696944342514905,0.018286116144480002,0.03822323309787049,0.003864619312915516,0.004348876658491475,0.021342692373834456,7.639103390091702e-05,0.016077667246977245,0.0009209274363005471,0.00010542735445124982,0.0003802406122425774,0.00037291046181376226,0.0025571069612460593,0.00011218675111867745,0.0002642499515711616,0.006142025043241781,0.0014655640480797517,0.0032184694174003077,8.353650776503033e-05,8.480572215447444e-05,0.0011162326592070522,0.12913750818711425,6.635628457467578e-05,0.003068323729558721,0.0025532128627375303,3.6997044038044375e-05,7.016597184132011e-05,0.0008267306866296067,0.001628526333388666,0.048543666403607584,0.004744761851038913,0.0010901298411688937,9.435457760858702e-05,0.004860502157942192,0.0010254849170371165
1803,0.0006651585412390125,0.0031039990087430073,0.00012279441626425092,0.0036169817187019773,0.00017751565423134523,0.0009650422503824257,0.02639913137958908,0.002472863360992406,9.382445580682852e-05,0.06865102570814592,0.12801350374075873,0.06518291046989638,0.00013644920657743744,0.004299808788269789,0.004090202718991691,0.0001170808257159441,0.002347261262297913,0.008035059078499641,0.000373250015253477,0.00030659947775756773,0.00010199095542259201,0.003334096086257505,0.0018866708567404184,0.00011354378819706436,0.002590442231924722,0.0014087747937258472,0.0001704198193441572,0.00010270858827688098,0.00018248609425434024,0.023889027534397107,0.003786761444261974,0.0001896479644435276,0.00022603810587155167,7.494397303717503e-05,0.0024026229197241025,0.00011017434827275713,0.007049781091156755,0.053314240823707455,0.000122526268884234,0.005722679602024019,0.008743203717193618,0.0026556193622240057,0.006334431455919936,0.0007673230875566417,0.001449336512060181,0.005170349097516494,0.00020840041898606288,0.0038050342125652897,0.00010935040490845978,0.007252775990083418,0.0007975725819636763,0.038376049085857754,0.01472704151513198,0.0014923254200176863,0.06357514919706124,0.003943703338236635,0.00012159832211446825,4.2335863262948315e-05,0.0026143581568044048,0.0013530258590792974,0.00010607487755451669,0.0007854915040936083,0.000771667618283304,0.002750285332356094,0.0012169321482028205,0.014037225209887923,0.012437999704358034,0.03352874503912306,0.0001276144579168557,0.0013561199654311524,0.008614039877874345,0.0012801657634905826,0.0834711471486823,0.001399060339345012,0.0071600608384613145,0.0008077727639965662,0.0003470213354934917,0.004564875709119621,0.001373106561881199,0.013426303814705425,0.002665050033656631,0.0029178222237176295,0.003463022416291155,0.00012333670340882344,0.00032156125732036293,0.0021522710594350765,0.09146152316912748,9.797112195446943e-05,0.005963854460455687,0.008683034115634978,5.462394310710749e-05,0.0010284663976936708,0.0012066384275006372,0.0543933087451814,0.03682088479298421,0.0015274821067623177,0.0018275858163645257,0.0001393089424627194,0.005854527994608962,0.0002469932954916864
1804,0.0016351405334656824,0.00057936811885017,0.002148707988981033,0.00026197938462036596,5.5832561049010104e-05,9.942934209486373e-05,0.017468076741502993,0.006452521207688404,8.461842813654158e-05,0.04886723507237241,0.10424759252224122,0.06449837020810369,0.00012306085105180737,0.000198016562560993,0.0008133721004335468,0.00038080592754422666,0.00014752736546770902,0.002206995526662834,0.000420477375051903,8.900945548769689e-05,0.0056590893221689096,0.0011410763907460382,0.002734386839913783,0.00504844280615112,9.124399133796653e-05,0.0016711639997902556,0.00015369827740760984,9.263085217362233e-05,0.0007463905367741293,0.010672559286144264,7.871561749263903e-05,0.0005549834243772615,0.0015824570218662916,0.0003465656324911514,0.000894021893369546,9.936407402141411e-05,0.036555157529174535,0.07850341927912892,0.0006564003730837566,0.009573572391097315,0.0016878625070172516,0.0024818253051783206,0.00664670006064697,0.0019208207970981119,0.00014768970276185183,0.0007086514802034916,0.00018795223192026104,0.005555377569490032,0.00101981402417363,0.0023423967912142357,0.001623730428339811,0.05567530769144715,0.003017791037532887,0.0001663786787468689,0.059953892892055334,0.00787477266708343,0.0019623599712074707,3.8181880963849056e-05,0.0007073289276345358,0.00020782633549075238,9.566684214955029e-05,0.004320635883167147,0.0016249030165555612,0.007082117846832743,0.002561959104223582,0.021112372713551084,0.02108336714945843,0.04010605863993584,0.00011509296529951479,0.00016752200965963821,0.007446565795472674,0.00010172022404331952,0.046909393825711826,0.00036214601547773296,0.0010247339014112877,0.0035516246575233146,8.25392475311631e-05,0.0007870184314624693,0.0004808097727886492,0.0014387948243684185,0.004248047342841722,0.005291364185486009,0.0019494511067677505,0.0012120870931508346,0.006074845031933514,0.005709723870805287,0.09776830633217107,0.002997407843427045,0.004044394988272707,0.00570202675921952,4.92642580721146e-05,9.343110063379637e-05,0.003898050318810337,0.06120329765090445,0.07433986899806412,0.0001461928990296558,0.00015888167299187903,0.00012563999050342788,0.002240556047229691,0.0007319818507772529
1805,0.00012380029547005603,0.0009854512592401533,0.00013797864896593795,0.0003264010050862455,6.956197744087441e-05,0.00012387935501816864,0.020331947607053757,0.011293237516572794,0.00010542638701365324,0.08830439649292708,0.08671048109624377,0.082889870378547,0.0001533219322897674,0.00024670950783891205,0.003727863951966262,0.00013155854022985823,0.0023927483855310182,0.00907060227346054,6.221892925438577e-05,0.005145090393852427,0.00011460272106893337,0.0015287098562419478,0.00012223371334121836,0.0001275841277684103,0.00011368119870939544,0.0006964950794417193,0.0016029317767121956,0.00011540909333487807,0.00020505154473880654,0.014133685484824398,9.80720551840876e-05,0.0019743722820816973,0.0008832631633433095,8.421122443838325e-05,0.00020701943261003614,0.00012379803730378105,0.004490133890862389,0.04856305130963801,0.007675768230457932,0.00031703816749511506,0.0064199439791879165,0.00017857669034569077,0.005136563586219881,0.0003684072058262665,0.00018400710228483292,0.0018102987647960333,0.003539463018745065,0.004017234985836847,0.0028152768974818373,0.00023614310478433157,0.00249264428036578,0.08901434510716481,0.016438463905338534,0.0018100032850553941,0.047513338548257296,0.011229743231003193,0.00013663465092560417,4.757093517393843e-05,0.0005716803927605681,0.0039056457663074096,0.00011919164355733408,0.0033942569269190216,0.00011104533838099744,0.00019605043582190162,0.0028759561063488354,0.02001950723868476,0.025437312402390153,0.02777067016730459,0.0007471145453333355,0.0023630677367805584,0.031719406625960296,0.00012673357261850935,0.03017701343709652,0.0051668345983197925,0.0005225622489601112,9.250845275339007e-05,0.0017173081234690144,0.0007187781839081045,0.001314702852498404,0.00024074780232003523,0.003011390589827304,0.005188322021933719,0.00016171405304904457,0.0013460276509501272,0.0003287909317633296,0.0009933916572569359,0.0858934550643298,0.0001100858121745907,0.008968093472960612,0.056516747862298954,6.137850645335229e-05,0.00011640612560937575,0.005986924954790992,0.008626041722181932,0.05851162074502922,0.004858982682575611,0.0030718971987105693,0.002587753520899697,0.0051770277955360735,0.0002775354307825251
1806,0.0001630654571661609,0.0003648000066303898,0.000181740692842223,0.003636397309247421,9.162462504398435e-05,0.00016316959166202277,0.04386296189925524,0.0007764497646491259,0.00013886398195161093,0.06446787901514321,0.08887945797699516,0.078084443314553,0.00020195033370075654,0.00032495721056434185,0.004973141801857504,0.0006313519512406554,0.0014467989010325867,0.01141161890093805,8.195261654855604e-05,0.0001460699246318029,0.00015095073103530432,0.002490034227520801,0.0001610020094978228,0.0007276202143970803,0.00014973693373153914,0.00020449281706849944,0.0002522282118675661,0.00015201285662792214,0.0002700867858069729,0.02204382918823127,0.00012917711103271374,0.0016399326444298916,0.0008839707487352935,0.002349203403351173,0.0017034297023694525,0.0001630624827878316,0.0025332555288971595,0.042660792598307774,0.0034916826647957864,0.00041759168284228503,0.007634956462914711,0.000235215025455923,0.0017582241648604329,0.00024574235514187063,0.00024236777579544848,0.0008589019844064917,0.015593416855175303,0.00043780357910322545,0.00016184301334902658,0.00031103951078701115,0.004317200524984861,0.09974684791292839,0.00852064054104848,0.0024139806011214695,0.015466492629700955,0.012726078198979375,0.0013883683950111213,6.265878657645312e-05,0.00025748711422768946,0.00034105564397968966,0.00015699510064387396,0.0012997986841786799,0.00014626506988949902,0.00025823083720067464,0.005862582011112313,0.017796303229133115,0.024814268932263187,0.03343340712341704,0.00018887454905590982,0.00027491379641721094,0.04633845179753263,0.00016692906813244726,0.02170347804898131,0.0005943036152361586,0.005615444577348751,0.00012184892679528688,0.00013545192024805945,0.0001582478917883426,0.00024514957927310887,0.0014362463077590688,0.008450580280720097,0.001569642805045338,0.00021300414421881125,0.00018254329970638164,0.00018531677670323709,0.001443799049465247,0.08652049251040278,0.0001450012152361919,0.0011739247017003016,0.06975903381605934,8.084564077161578e-05,0.002758735940565025,0.00701684016772514,0.0069454027369919655,0.07093935919715676,0.000770110542909008,0.0002607344789622532,0.00020618285824827712,0.020637273497805732,0.004670876378664043
1807,0.0002610234501641349,0.001996358578160986,0.00029091742362429484,0.0006881915439794754,0.00014666610675617106,0.00026119014117192616,0.01276918641855693,0.0012428849124148137,0.00022228347010124183,0.10798152163434671,0.06674938478807026,0.09969471701957254,0.0003232675624896783,0.0036599953338019085,0.0012877634249619995,0.000277381115602108,0.00038753845294953193,0.005392073547834808,0.00013118385152340907,0.0019473445788352924,0.00024163106831070834,0.0029974844176536655,0.0002577204316157373,0.0002690013710374967,0.000239688108927803,0.002437005436656217,0.0006881622139251058,0.00024333124253221873,0.010848903039873011,0.020798485202899498,0.00020677742417044316,0.010134571328096358,0.0005355163972566691,0.00017755292313312564,0.0004364846331401795,0.00026101868899333224,0.0006279855383278307,0.09488925347729704,0.0005913955211943012,0.004905689649492958,0.0012630162384654928,0.0033660151710306232,0.011414567026510511,0.00039336667927916246,0.0003879648954853195,0.004351051686736621,0.0004937302103638028,0.0007008044664866355,0.0002590666500648037,0.00279669679525299,0.004575473496015375,0.06762569149717858,0.027886044462257103,0.0022437390775194768,0.022395019823242254,0.004304153370534784,0.00028808370659502816,0.00010029967682620905,0.0008219182543159762,0.0015263215883863502,0.0002513064602466497,0.00025547996599723183,0.00023413059911365532,0.001027984457438931,0.001082979249724968,0.031077239744200867,0.030341093697679955,0.03508624041086645,0.0003023367873217451,0.0004400622233893464,0.01921518868567863,0.00026720804058590904,0.024738129315886693,0.004182363760735265,0.0008518649546985375,0.00019504699415581137,0.0002168216872472165,0.0002533118381638813,0.0003924178063226995,0.000507598319878067,0.008981053465923917,0.006354934382702034,0.00034096170697021737,0.0002922021789394236,0.00029664176134547765,0.0003827365064202343,0.13459041545311243,0.00023210751152756995,0.004873399513061568,0.020410380957605258,0.00012941188435411068,0.0020521136697266226,0.010180703370627757,0.002951685228573189,0.036879881888250234,0.0003840329537678941,0.0004173649923056706,0.0003300426832264534,0.0037244064306183092,0.0005851622196100995
