receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
AbekenBernhardRudolf,0.19409702772525078,0.0012856562859806212,0.05605641051228097,0.0007726431346966895,0.0005079522244902588,0.00885350345709913,0.0011261930485101702,0.0008064612482227255,0.0009444011383881864,0.12585540721418864,0.10090999310089466,0.002380454038374183,0.0007090171737270168,0.09428365190902818,0.000984170448999047,0.001019285200069991,0.2724348484093296,0.002023584360307541,0.13367418062720446,0.0012751587429571845
AbekenBernhardRudolfANDTruchsessvonWetzhausenChristianFreiherrANDVoßHeinrichANDVoßAbrahamSophus,0.012780901046850049,0.0033549247628374625,0.017139615821136437,0.0020162150752859593,0.0013255031806428165,0.003161201615792048,0.0029388048636189946,0.0021044635657558744,0.0024644182117569287,0.03974396872119917,0.4199602593005635,0.006211803486844511,0.001850182898300436,0.3238676457235829,0.0025681963727041865,0.1412871242814248,0.005394627532253071,0.005280550761596562,0.0032220613917866288,0.0033275313860677016
AbekenMinonaLaura,0.0017828223161356804,0.0004679822427399948,0.050734019363125465,0.000281244117075368,0.029190812936495468,0.00044095958225318045,0.00040993720821579327,0.0002935539986399255,0.0003437644785845737,0.3246090180815033,0.0005688966848830578,0.03954104748310227,0.0002580841012641719,0.32556719454863603,0.00035824061141637365,0.0003710224724305737,0.0007525026847861461,0.0007365899872592968,0.02945536598250398,0.19383694111894928
AhlefeldtJohannGeorgJacobvon,0.2207218448036291,0.0033549247628374625,0.017139615821136437,0.0020162150752859593,0.0013255031806428165,0.003161201615792048,0.0029388048636189946,0.0021044635657558744,0.0024644182117569287,0.10905761664012552,0.004078371787005408,0.006211803486844511,0.14047747873615313,0.2545539978046566,0.0025681963727041865,0.0026598284435721217,0.21333557128903213,0.005280550761596562,0.0032220613917866288,0.0033275313860677016
ArnimLudwigAchimvon,0.0991947077344399,0.0006682862018000477,0.0172211084725489,0.0004016211420298041,0.00026403438189668454,0.0006296974061364937,0.0005853969549166293,0.00041919985174156783,0.0004909012281363323,0.3116702217879215,0.1941100109944992,0.0012373638313845936,0.0003685482653550956,0.05070603258536719,0.0005115733796484817,0.0005298260836380678,0.0010745859888095588,0.0010518623997085098,0.3182021917479406,0.0006628295620808137
BarthKarl,0.6823319018654852,0.0008428428180778826,0.004305909408007421,0.0005065247408016038,0.0003330002653172204,0.0007941746139526197,0.0007383028676144481,0.0005286950163388339,0.0006191248201831272,0.044811419007178006,0.0010245911944748735,0.0015605637462254155,0.0004648132158541026,0.011710390130985215,0.0006451965457242242,0.0006682168631072352,0.24514229856577385,0.0013266092683232491,0.0008094641446374978,0.0008359609019380502
BentzelSternauChristianErnstGrafvon,0.3934401853611357,0.0017026694915769725,0.008698585816069717,0.2472665237433768,0.0006727107122247272,0.0016043523859475945,0.0014914830396226412,0.0010680435964582657,0.0012507254261333461,0.16088103782248034,0.002069828597637255,0.0031525739122019226,0.0009389927338070183,0.16436719111877138,0.0013033942401986175,0.0013498987500001718,0.00273784611188119,0.002679950614716544,0.0016352395417485312,0.0016887669840114385
BergnerCaroline,0.00949146182944103,0.10544004858114894,0.012728367799834722,0.0014972988490304187,0.000984356486116027,0.0023475985270109225,0.0021824403525986078,0.001562834696286464,0.0018301472879672343,0.2868864695874051,0.0030287152682534325,0.3134588196788815,0.0013739986165553786,0.03461618407241643,0.001907215911669884,0.001975264502282357,0.20990337577919307,0.00392148767981206,0.002392794733341247,0.002471119760755248
BertuchFriedrichJohannJustin,0.19456440329543237,0.0024846114701589784,0.0275562878114461,0.0014931813547216768,0.000981649556746529,0.002341142752613955,0.00217643875462983,0.0015585369817910368,0.0018251144776854095,0.07264763353897566,0.22720829959932556,0.004600376844437493,0.0013702201915017896,0.03452099135854982,0.35861210790315307,0.0019698326271749443,0.0256020839808003,0.00391070379173662,0.03211205939975782,0.00246432430936108
BodeAugustTheodorHeinrich,0.2893008214765568,0.009554450140690384,0.027632684631783366,0.0009694956592315934,0.0006373673105031316,0.004704973600211218,0.0024884137882029054,0.001011929886359961,0.001185013835138973,0.05085736880943169,0.03180700900690327,0.005796084752321955,0.0008896591988989045,0.16949940155427723,0.0052203629473989354,0.0031874449577032242,0.013950512319803364,0.004192068576224834,0.37262464115280763,0.004490296395550833
BoieHeinrich,0.0020391245901435237,0.0005352603511212807,0.0027345342834890307,0.0003216763609985808,0.2877356701342414,0.0005043528563075521,0.0004688706407374773,0.0003357559369455835,0.00039318478075766,0.07269267510544337,0.0006506824650426295,0.0009910601132684398,0.16617452902728852,0.2286093204306193,0.0004097420327958158,0.0004243614409476872,0.0008606840484375414,0.1777804487369851,0.0005140627089483222,0.05582400395548122
BoieSaraHenriette,0.0017828223161356804,0.11649165024829655,0.012059463361273287,0.000281244117075368,0.00018489593510633202,0.00044095958225318045,0.00040993720821579327,0.0002935539986399255,0.0003437644785845737,0.07322440406946419,0.0005688966848830578,0.0008664914812500823,0.7834178431387709,0.006502107533355481,0.00035824061141637365,0.0003710224724305737,0.0007525026847861461,0.0007365899872592968,0.00044944898111484347,0.0004641611096883874
BornträgerJohannFriedrichWilhelm,0.0406042086550589,0.002382159123538826,0.10195974100906276,0.0014316103865610469,0.08889484742681882,0.030197245704068187,0.004825473836603501,0.0014942710903240852,0.02227425066998509,0.44813341273409873,0.002895841560804909,0.020986501094524438,0.01589883731362853,0.15689438978906214,0.03313379442182817,0.002279060310027115,0.003830446910881436,0.006765381631933707,0.0022878196930279666,0.012830706638161668
BreitenbauchGeorgAugustvon,0.4008765710553324,0.003137456226586783,0.08084930357740794,0.0018855226239839645,0.0012395831505774568,0.002956290347499357,0.002748309506138287,0.001968050786456839,0.002304672924125791,0.03716773726637453,0.0038140089158523694,0.005809150101968474,0.0017302527671850248,0.10841225321720876,0.0024017241131284077,0.0024874165299850217,0.005044944056172826,0.0049382618204429065,0.19747527356405328,0.1327532174495197
BrentanoClemens,0.5697432360306273,0.0013662416769311331,0.11988752778739538,0.0008210726797887284,0.0005397908496664335,0.0012873508951730785,0.001196783227308012,0.000857010524637531,0.001003596535930285,0.016185121966080986,0.0016608543867059115,0.0025296617398523373,0.0007534586210706497,0.2447978156655869,0.0010458586010030923,0.0010831743570969485,0.0021968793600756435,0.0021504233440817646,0.0013121351059349814,0.02958200664505285
BrockhausFriedrichArnold,0.010006541475871331,0.0026266687821696845,0.3390252077830373,0.001578553789061559,0.0010377752323472258,0.0024749972608395037,0.002300876334892172,0.0016476461149338324,0.0019294651417331868,0.5195258676823107,0.0031930766298164178,0.004863402744706426,0.0014485623385961544,0.09076240768468312,0.0020107161011140447,0.0020824575311039093,0.004223611774357015,0.0041342977320353155,0.002522646160589971,0.0026052217058011268
BöckhPhilippAugust,0.357984881852673,0.0017383747179546432,0.03192771242345708,0.001044714132388409,0.0006868175535027852,0.0016379958883496726,0.0015227596554495098,0.01395901384033992,0.0012769533198598256,0.06394822668550929,0.30135762133866917,0.008975448144166488,0.0009586835477279958,0.07963837875706387,0.010125129015318961,0.0013782063227229613,0.1028406485970316,0.015604722782736367,0.0016695307522909678,0.001724180672787537
BörneCarlLudwig,0.21339687089218698,0.0010150636435432047,0.01437233765040067,0.17357855255481167,0.0004010432969988449,0.0009564509063346771,0.010075750414979472,0.012421625164706693,0.07423833430751717,0.3583319391872016,0.0012339492592198208,0.02544923917105022,0.0005597900181766771,0.06523277586111612,0.000777031662911795,0.0008047557969224634,0.020005370081502685,0.01338257984152463,0.01275976476589026,0.0010067755230044454
BöttigerCarlAugust,0.5497863871452733,0.002037990173453865,0.046011292258907203,0.016589874344947533,0.0023259540737357366,0.006159299932260417,0.0028890593453788547,0.006684341465429671,0.0009018892821380732,0.09665627017977273,0.06307659078330545,0.008736097275223788,0.006672348432491412,0.10363716457243716,0.028958790091647504,0.0017996765576583312,0.011124722911129085,0.005488022279255061,0.03265527478747209,0.0078089541080828655
CalmbergJohannErhartWilhelm,0.005258889068024646,0.0013804329674924915,0.03557246252913594,0.0008296012448058989,0.0005453977118485226,0.001300722739200603,0.0012092143358040125,0.0008659123796860407,0.0010140209947125342,0.3430270107303232,0.4320689287931436,0.0025559375923448736,0.000761284872017402,0.03992066580537223,0.016612503165313923,0.0010944253987608976,0.041110335699084455,0.0721773280257507,0.0013257643860678408,0.0013691615611102102
CottavonCottendorfElisabeth,0.017829936398992476,0.0007286488067524905,0.3198582025762711,0.00043789736361210665,0.0002878831506507947,0.0006865744981126762,0.0006382726315875178,0.0004570638611714224,0.0005352416272420558,0.44520023534206493,0.0008857726912424604,0.0013491280784020062,0.00040183719648612283,0.010123787748476788,0.0005577809801297293,0.0005776823501508296,0.061387968692095486,0.001146871326014204,0.0006997925003906678,0.13620942218015406
CottavonCottendorfJohannFriedrichFreiherr,0.15312141607072546,0.0008799610603577622,0.08744546679319566,0.0005288317565897953,0.00034766537755664934,0.0008291495405948718,0.0007708172393671069,0.0005519783964516087,0.0006463906692645165,0.07415759426235599,0.0010697135154802062,0.0016292899452072036,0.0032412100354803786,0.1059497131100258,0.3754363973462386,0.0006976446934076456,0.18959383944012626,0.0013850322662727974,0.0008451124121354047,0.0008727760691662721
DobeneckFranziska,0.016634019172536787,0.000949911816154741,0.012528588478179096,0.0005708701861628726,0.2381768661116452,0.0008950611356031198,0.0008320918240096913,0.053991408234784065,0.039088293002279055,0.1645858388943908,0.02759551918564042,0.10047722863258125,0.10731496273906621,0.11172336521731617,0.008402843643142576,0.0007531025719207878,0.001527432296963599,0.006834687795147097,0.04362873407399192,0.06348917498848465
EhrenbergCarolineAugusteEleonorevon,0.25920818691993075,0.005743572560276214,0.02934272273834732,0.12211547882084885,0.0022692382795672732,0.0054119219182155115,0.005031182565302164,0.003602804845064142,0.004219040908124777,0.4240322413966016,0.006982101222036788,0.010634499006378093,0.0031674807864195114,0.07980073387804673,0.004396707305945418,0.004553579809826321,0.009235508053824108,0.009040210616169057,0.005516112791077707,0.005696675577997828
EichstädtHeinrichKarlAbraham,0.3070343182311724,0.00132873556380495,0.006788234819381346,0.0007985325645712311,0.0005249724928457403,0.0012520104944791766,0.0011639290933221727,0.0008334838424771793,0.0009760457695869566,0.043192841561961945,0.6055600111133556,0.002460217379467288,0.0007327746492998207,0.01846134474818856,0.0010171476550075614,0.0010534390176920544,0.002136570552933517,0.002091389849075609,0.0012761143282416984,0.0013178862731353415
EinsiedelDetlevGrafvon,0.4347256157766088,0.0020660657666777987,0.010555102127568869,0.0012416472021819329,0.0008162855917020567,0.0019467650995638485,0.0018098063452648527,0.0012959933345126858,0.0015176644670213085,0.06716103169630172,0.002511586675878209,0.003825419477557745,0.0011393994853816744,0.028705751114123414,0.4284363183991625,0.001638004092781048,0.003322177412687802,0.0032519254317082856,0.001984244419858273,0.002049196083457289
EndeHenrietteFreifrauvon,0.007870871625109119,0.04475154018182776,0.0959260509578688,0.0012416472021819329,0.0008162855917020567,0.0019467650995638485,0.0018098063452648527,0.0012959933345126858,0.0015176644670213085,0.1098465061114517,0.17325348433647808,0.2172527915533076,0.0011393994853816744,0.3275040720201732,0.001581574247662877,0.001638004092781048,0.003322177412687802,0.0032519254317082856,0.001984244419858273,0.002049196083457289
EnslinTheodorChristianFriedrich,0.4883092717988788,0.02960523926405466,0.06367949308714199,0.023670190821082196,0.0003502194745008018,0.0008352408238936629,0.0007764799889034675,0.0005560334632676464,0.016657356301405423,0.09107388512291205,0.06610379439207141,0.001641259398419478,0.004611488022749474,0.09591182381476955,0.012706354035470706,0.0007027698864655777,0.0877088783762444,0.001395207299241858,0.009872167088531563,0.0038328475399953045
FalkElisabethCharlotteKaroline,0.0904525741971802,0.0006093894385484767,0.003113244439301586,0.00036622584993003935,0.00024076475514252216,0.000574201513883363,0.0005338053078512734,0.00038225532953444315,0.00044763758849275683,0.6367265900863535,0.0007407965510896258,0.0011283136603099555,0.012926217418357531,0.008466807706066597,0.00046648788163010754,0.0004831319556903609,0.0009798815995734806,0.0009591606641916099,0.0005852561000053352,0.2398172579568672
