sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
AdelheidLouiseTheresaCarolineAmelia,0.012147156732295064,0.0031885699427497208,0.016289743496760767,0.0019162405244934355,0.001259777759439906,0.003004452608517323,0.0027930834573520955,0.07314257054911152,0.0023422193914498395,0.2350397722154746,0.003876144657385847,0.005903789589507377,0.0017584410963424472,0.3855525077418263,0.0024408516851977336,0.0025279401559133332,0.05877301571193755,0.1391334187587446,0.0030622946366332306,0.04584800928886743
AdersbachGerson,0.013732769389248207,0.0036047856029430736,0.092891943184455,0.0021663743867926877,0.0014242211435451988,0.0033966347617791983,0.0031576748246577822,0.3746403956399848,0.002647957828377233,0.1171797742561345,0.004382111951986735,0.006674432769917089,0.0019879768239464447,0.27351212063597763,0.07723530503149442,0.0028579214013663965,0.005796396949617175,0.005673824215632813,0.0034620271207178397,0.003575352081425854
AretinJohannChristophANDBaboJosephMariusFranzvon,0.5219723663721457,0.002258911155331825,0.011540309280653359,0.0013575418368725724,0.0008924772186692803,0.002128475032663976,0.0019787326271238914,0.0014169606058929212,0.0016593223942322835,0.026760091700400817,0.3761037128190378,0.0041824819282369145,0.0012457503770785766,0.031385129389244995,0.0017291974769883315,0.001790894451347504,0.003632267538888185,0.00355545827846761,0.002169452651127432,0.0022404668655960744
AretinJohannChristophANDBaboJosephMariusFranzvonANDSchererJoseph,0.6601896354910932,0.0004087075555669209,0.06964006643027561,0.0002456217033673082,0.000161476993719084,0.0003851075885087333,0.00035801451209953376,0.00025637241385177375,0.00030022322836530764,0.013285744111662959,0.06804890433299571,0.0007567415659786871,0.00022539513794537133,0.02256656585351446,0.0003128658124708634,0.0003240287214310912,0.0006571906041900057,0.0006432934108465231,0.16082867412442942,0.00040537040768738895
BassewitzAdelheidHenriettevon,0.0013995435954770007,0.0003673734307092202,0.06376348089033865,0.00022078106116126244,0.00014514622094740737,0.0003461602166526197,0.00032180716446813433,0.0043823313905114345,0.000269860529566602,0.5118485207981214,0.0004465928570728003,0.0006802094589815767,0.0002026000840070372,0.4028325087685462,0.00028122452182127266,0.000291258484016381,0.0005907264585707313,0.004016381746766836,0.0003528245284568624,0.0072406677938065675
BayreutherPostamtANDOsmundEmanuel,0.002477485904467648,0.0006503280778101153,0.0973740624379682,0.00039082881645713337,0.00025693927480793365,0.0006127762366359428,0.0005696662229766223,0.0004079351527340774,0.000477709776482928,0.02114003598105765,0.0007905630892881895,0.0012041135068308162,0.00035864467101528357,0.3180625247557388,0.0004978264278830085,0.0005155886469269029,0.0010457098151388947,0.5518976696701239,0.0006245734672555156,0.0006450180684004436
BergnerCaroline,0.006266054556401786,0.001644809041201671,0.008402988757782231,0.0009884838019534805,0.000649850524164646,0.001549832966840812,0.001440799168896936,0.0010317491283790279,0.0012082230280990153,0.7331112985364826,0.0019994912741276584,0.003045442523929684,0.0009070836975871412,0.022852844148769227,0.0012591020401400974,0.001304026224520358,0.1045913995905379,0.10453547150957307,0.0015796705092233517,0.0016313789713893634
BornträgerJohannFriedrichWilhelm,0.010006541475871331,0.0026266687821696845,0.3390252077830373,0.001578553789061559,0.0010377752323472258,0.0024749972608395037,0.002300876334892172,0.0016476461149338324,0.0019294651417331868,0.5195258676823107,0.0031930766298164178,0.004863402744706426,0.0014485623385961544,0.09076240768468312,0.0020107161011140447,0.0020824575311039093,0.004223611774357015,0.0041342977320353155,0.002522646160589971,0.0026052217058011268
BrockhausFriedrichArnold,0.10360180280246067,0.021678843503776746,0.09769017681905609,0.0013938337775071048,0.05117557972122948,0.038360374840969644,0.004504937797366079,0.0014548410223882277,0.020067686830581417,0.40771984298370145,0.003941799006569944,0.021257240182021846,0.011736681394413398,0.1644502319991274,0.020981946632786536,0.005695045348286935,0.003729371019834121,0.005373899662248086,0.0051664001870052115,0.010019464468669642
CarlAugust,0.15946743786447845,0.006516891351468594,0.03329344829115912,0.003916467734948201,0.0025747701736743176,0.006140587025498616,0.00570858464890717,0.004087889112468796,0.00478709564771796,0.07720206691406195,0.4118443605999041,0.0120663356951712,0.0035939527056253564,0.090545162787267,0.00498868317869332,0.005166677110709653,0.010478983582213231,0.010257391155363666,0.006258806233340391,0.14110440818732894
CarolineFriederikeWilhelmine,0.2718562531197358,0.001831526973388148,0.34991545079658826,0.0011006960082809328,0.0007236212434778575,0.0017257692606926088,0.001604357998386277,0.0011488727937775279,0.001345379925815187,0.059536943642479835,0.2671053516233265,0.00339115969620731,0.0010100554031717585,0.025447088037969027,0.001402034698860757,0.0014520586550701646,0.0029450454287825467,0.0028827684189345823,0.0017589939465523779,0.001816572328502589
CottaJohannHeinrich,0.004564040493387423,0.001198038574411163,0.2137775357406787,0.000719987363430156,0.00047333518727606604,0.0011288603306879143,0.0010494427858063016,0.0007515007663200307,0.10282663153273155,0.014192511306249562,0.001456380415962068,0.00997892623909537,0.0006606975233641493,0.4393079479888235,0.0009170990524867118,0.13288173058358715,0.018917511942175915,0.05285897246772316,0.0011505932649340652,0.0011882564408691291
CottavonCottendorfJohannFriedrichFreiherr,0.10523489847835704,0.0008539100802666076,0.11344383000358617,0.0005131758529559573,0.00033737284958338916,0.0008046028201231217,0.00784752986304582,0.0005356372435705234,0.0006272544697044225,0.05615594988489296,0.025779589326030104,0.0015810553109291204,0.0004709166192625498,0.022406637265474913,0.6512469925198707,0.0006769911340202869,0.008472596557632519,0.0013440288064383251,0.0008200931156970192,0.000846937798558431
DalbergKarlTheodorReichsfreiherrvon,0.37767708209450135,0.0024304788295308084,0.012416812997121033,0.02593784904040805,0.0009602621956575285,0.0022901358886400127,0.002129020323873709,0.0015245808790545355,0.0017853504069997449,0.20895258561567323,0.257806151982654,0.004500147674015867,0.0013403669777905598,0.08398322311983682,0.001860532606595966,0.0019269155582548351,0.003908143680472853,0.0038255006420676073,0.0023342258183944174,0.002410633668457224
DegenGeorgChristoph,0.04848666954780061,0.001981485133699278,0.214813076137799,0.0011908166294139488,0.0007828684792601697,0.001867068399179344,0.3701778585705465,0.0012429379389212439,0.0014555342951071395,0.02347357653071775,0.002408767300884264,0.003668814394583804,0.0010927547312585054,0.027530594621762317,0.2471449224734865,0.0015709474553674172,0.04412418985086927,0.0031187980570385482,0.0019030133904677734,0.0019653060618368147
DieskauJohannaSidonieDorotheavon,0.04808558668832534,0.001065487396558047,0.049469866809488366,0.0006403278473674673,0.00042096530709620185,0.0010039630446903537,0.0009333322695681656,0.0006683546023643343,0.000782672259467996,0.2107415552196661,0.0012952462557929225,0.0019728008205854393,0.0005875978446083143,0.14688333302258144,0.0008156310678896063,0.0008447324109992278,0.30989886119070675,0.0016770451444066304,0.22115585323801504,0.0010567875598223161
DoerfferWilhelmine,0.05797334400630338,0.0005412457840974455,0.0027651126210037767,0.0003252734372526697,0.0002138417577280961,0.0005099926729153812,0.00047411368515267957,0.00033951045500904054,0.00039758148443194317,0.6438020021436482,0.0006579585808152992,0.0010021424283902156,0.00029848767537408376,0.2758948285329905,0.0004143238843558638,0.00042910677087384415,0.012052591930837448,0.0008519045997947944,0.0005198111038808262,0.0005368264451444353
DoeringHeinrich,0.14240835458941087,0.0011145574750060774,0.12082932930788748,0.0006698175793007424,0.0004403524915057403,0.0010501996735993613,0.0009763160606798543,0.0006991350816783693,0.0008187175372397068,0.2204470709116348,0.0013548976750275314,0.002063656415256185,0.0006146591429624452,0.015485571657942175,0.4153402237937482,0.0008836358140889588,0.07087334961985323,0.001754279973333524,0.0010704182248507418,0.0011054569749940973
DönhoffStanislausOttovon,0.004692200255035571,0.001231679892529238,0.08584139123585625,0.0007402048459482402,0.0004866265953757255,0.0011605591009167554,0.0010789114851938663,0.0007726031555800555,0.0009047518417780172,0.5583790732340136,0.03331687355462092,0.00228051416706541,0.0006792501276275324,0.28428255806231384,0.0009428514962138723,0.0009764920059650943,0.01789030642839283,0.0019386271389995819,0.0011829023031210755,0.0012216230734525399
EhrenbergCarolineAugusteEleonorevon,0.04737010536110127,0.006777832709320017,0.1155765350109598,0.0005965664940409372,0.007415721982845282,0.0009353500963294483,0.02784468440428518,0.0006226778415897971,0.0007291827893063194,0.24575455471030788,0.028741173458937692,0.008005642282168362,0.06916968761655637,0.25579191783690386,0.0007598891233642278,0.000787001619411626,0.0015961858796817506,0.010240176795455677,0.011353882763517568,0.15993123122391698
EndeHenrietteFreifrauvon,0.013532135234898242,0.008809115537053203,0.03544716501883161,0.0006418389004037944,0.002580050150133213,0.01191629893953826,0.0006499022278030817,0.364101210037173,0.00112583153641257,0.15056677993058853,0.0032920687706998104,0.00831128508681288,0.0019303920559208905,0.35629485287187196,0.002729794502833832,0.0034492932796021374,0.00673389311010499,0.004112383937546432,0.0008651162235167398,0.02291059264825499
FernowCarlLudwig,0.17985195650081534,0.0005732997877979418,0.002928869887646961,0.04772264821613826,0.00022650603095650967,0.0005401957848936398,0.0005021919487897482,0.0003596171601344475,0.0714882941504568,0.2199930712578724,0.20205389734132229,0.012906019754568758,0.0003161649032289817,0.09087707565768302,0.0004388612382024035,0.07152168644755809,0.09567807288035288,0.0009023566384001905,0.0005505956892520358,0.0005686187239293468
FeuchterslebenCarolineHenrietteSusanneFriederikevon,0.04166408901241024,0.0017026694915769725,0.008698585816069717,0.0010232562992689943,0.0006727107122247272,0.0016043523859475945,0.0014914830396226412,0.0010680435964582657,0.0012507254261333461,0.4774795245363332,0.002069828597637255,0.03833018354707447,0.0009389927338070183,0.4106104585628792,0.0013033942401986175,0.0013498987500001718,0.00273784611188119,0.002679950614716544,0.0016352395417485312,0.0016887669840114385
FichteJohannGottlieb,0.05711476333647287,0.0011414205692903063,0.22523588173891967,0.053452375992948005,0.0004509658791173117,0.0010755116144205489,0.0009998472566723328,0.0007159856542488291,0.07119366955912027,0.321652310282941,0.025360557987848736,0.008106645850903744,0.0006294736741825364,0.2072518930016728,0.0008737579448136586,0.0009049332282816757,0.007828624282839952,0.013783063942785093,0.0010962174737387956,0.0011321007287819073
FischerFriederikeChristianevon,0.001006952877140369,0.0002643202642869415,0.004696469107759662,0.0001588490172602775,0.00010443076247241157,0.00024905764081688947,0.0002315359458560696,0.0001658017407855,0.00019416103760676242,0.6299348212756892,0.0003213175808121398,0.007181624832257921,0.01706429710989485,0.11803231946234485,0.000202337277870819,0.21548852593908646,0.00042501977714956703,0.0004160321531936048,0.0035999641411677014,0.0002621620565477697
FriedrichWilhelmIII,0.15140819688470275,0.0033549247628374625,0.5023351512536209,0.0020162150752859593,0.0013255031806428165,0.003161201615792048,0.0029388048636189946,0.0021044635657558744,0.0024644182117569287,0.03974396872119917,0.004078371787005408,0.006211803486844511,0.0711638308172268,0.18524034988573024,0.0025681963727041865,0.0026598284435721217,0.005394627532253071,0.005280550761596562,0.0032220613917866288,0.0033275313860677016
FörsterErnstJoachim,0.014876783000623534,0.001428637917191587,0.038615671150414914,0.04335266718025573,0.03606808709209704,0.011248093897123253,0.04085923911311329,0.06109047760456517,0.02548071500428851,0.41731221847169575,0.004881456468505703,0.002645191359803654,0.05270152029509167,0.17910936300007269,0.001093622950201716,0.003105067583135997,0.014131758813277873,0.022404357866519932,0.018993965509712014,0.010601105722310026
GentzAnnaHenrietteNanette,0.0013819694147179952,0.0003627602931848122,0.00185326721159968,0.0002180086957347387,0.00014332360825305477,0.007836538677995185,0.0003177662061898905,0.0002275508019037332,0.00026647186933361514,0.5664018155795778,0.0004409849548815127,0.0006716680144529741,0.00020005601856339103,0.3348080720584921,0.0002776931630295035,0.0827295785792328,0.0005833086592284312,0.0005709738005671207,0.00034839408266056814,0.0003597983104010565
GentzLudwig,0.006060118417475587,0.0015907517998918403,0.008126821506980055,0.0009559969259243824,0.0006284929527261867,0.0014988971484085176,0.0013934467854888515,0.0009978403218203985,0.0011685143432912483,0.5775558916763973,0.001933777273538597,0.002945352958948321,0.0008772720652940345,0.38362073746229786,0.0012177211982839346,0.0012611689331707536,0.002557885515566597,0.0025037955311181205,0.0015277540692184234,0.0015777631141590616
GiechAugusteCarolineWilhelmineLouisevon,0.0882086094657,0.0036047856029430736,0.018416103108003217,0.0021663743867926877,0.0014242211435451988,0.0033966347617791983,0.0031576748246577822,0.002261195257725829,0.002647957828377233,0.04270393417968271,0.004382111951986735,0.08115027284636889,0.0019879768239464447,0.49693964086533293,0.226186985184398,0.0028579214013663965,0.005796396949617175,0.005673824215632813,0.0034620271207178397,0.003575352081425854
GiechSchönburgKarolineWilhelminevon,0.006060118417475587,0.0015907517998918403,0.1067229015789938,0.033821356949928966,0.0006284929527261867,0.0014988971484085176,0.0013934467854888515,0.09959392039383412,0.0011685143432912483,0.6432866117244065,0.001933777273538597,0.0358107129829529,0.0008772720652940345,0.054967137222252035,0.0012177211982839346,0.0012611689331707536,0.002557885515566597,0.0025037955311181205,0.0015277540692184234,0.0015777631141590616
GleimJohannWilhelmLudwig,0.07677312369999853,0.003137456226586783,0.01602861410634117,0.0018855226239839645,0.0012395831505774568,0.002956290347499357,0.002748309506138287,0.001968050786456839,0.002304672924125791,0.29645049515064165,0.0038140089158523694,0.005809150101968474,0.0017302527671850248,0.4973363900436094,0.0024017241131284077,0.0024874165299850217,0.06986563352723961,0.0049382618204429065,0.003013205150852915,0.003111838507386179
GoldschmidtCaroline,0.04962377247282691,0.004352344503716041,0.13149861358400983,0.0026156361830923748,0.015006503191447735,0.004101027429895114,0.03158205884934901,0.005475398142923575,0.0031970901933807776,0.18245712463319427,0.012452607334259251,0.008058573790866759,0.009380463424412186,0.4020318217693719,0.012093585158818502,0.01741103755189252,0.028878935733153494,0.04470152978275944,0.004179980828338354,0.03090189544229202
GriesbachJohannJakob,0.42455691470662654,0.0004547906236571845,0.002323431110850468,0.00027331632639677854,0.00017968403490344786,0.0004285296857555244,0.00039838177938799924,0.019077472418012845,0.0003340743458369342,0.3060627484036276,0.0005528604602594231,0.0008420665682614463,0.00025080915182319936,0.015714920844130283,0.16008178466000575,0.06613324019941473,0.0007312909210269685,0.0007158267752296148,0.00043677978298178904,0.0004510772018114264
GöschenGeorgJoachim,0.31355107650375963,0.000999481846741026,0.14965309214066147,0.06254935167860212,0.000394887057237465,0.0009417688479548252,0.0008755135569172005,0.0006269509094212701,0.0007341867372744909,0.011840317760415369,0.2283602088910729,0.0018505883915479289,0.0005511969271221398,0.22038235783873225,0.0007651037906474632,0.0007924023436362733,0.0016071395544072005,0.0015731543924539448,0.0009598998778894168,0.0009913209535056268
HaugFriedrich,0.003102827589068359,0.0008144772481394233,0.020988314588648048,0.000489477834008788,0.11811302628331155,0.0007674469548064032,0.0007134555518660121,0.0005109019769483169,0.0005982883984792674,0.36302236797998144,0.21974525598842531,0.001508043538260743,0.00044917009533407775,0.1291075142115961,0.0006234826895350838,0.0006457282664697843,0.06861893321701526,0.034936600719730704,0.0007822219218707987,0.034462464946504484
HeimJohanna,0.010296790410458403,0.013129094886836303,0.07277578338562547,0.0004517899422080673,0.0002970164307963489,0.003458874125587221,0.0006585222458506329,0.003222082114453591,0.0005522225158981406,0.4195296315931854,0.029007979730616223,0.0013919300439370625,0.008602811552121272,0.2808033565522744,0.000575476944412009,0.02746791568945639,0.03668430227985243,0.0670452618791941,0.0007219938724938189,0.02332716380474274
HeineJohannGeorg,0.2242032831219417,0.0010567172528502236,0.3365934753019427,0.000635057238574088,0.0004175002954487925,0.10167418567316348,0.0009256499092158013,0.053963228433238565,0.0007762299981950473,0.028428153231064297,0.0012845849416966509,0.03563315293905227,0.000582761262255234,0.2067539521832093,0.0008089175190470156,0.0008377793258073697,0.0016991725266623588,0.001663241201752343,0.0010148686194571717,0.0010480890254255498
HenckelvonDonnersmarckLuiseAntoinetteBenedictineFriederikeSophieKaroline,0.02964233516611715,0.0004505571451960746,0.0860794893341146,0.00027077212534978715,0.00017801142238243315,0.0004245406606960286,0.00039467339008837936,0.000282623654294466,0.0003309645707581583,0.4149173045554303,0.0005477140857988276,0.01945149167795745,0.0002484744617771417,0.2669016949962009,0.00034490169162835896,0.0003572076260910275,0.05657627439509516,0.0007091634073473767,0.0004327139608049108,0.12145909167287144
HenningsJohannWilhelmChristoph,0.2523930234434784,0.0014926395288860398,0.038463920350478416,0.0008970342206906793,0.0005897296013929995,0.0014064501662680749,0.0013075036303974415,0.0009362968553402003,0.0010964442718124977,0.04852082268023062,0.001814508334198609,0.002763693401664952,0.0008231648471712582,0.17493028380553027,0.4328792938553615,0.001183384235291575,0.03323845777662806,0.0023493697648176355,0.001433527288346911,0.0014804519420140074
HerderLuisevon,0.016136298103162354,0.004235700275620927,0.0216393155106774,0.0025455362947921795,0.001673490341654257,0.00399111857995261,0.003710335536794321,0.0026569528486139146,0.003111407151186173,0.2251994509160421,0.005149075381259254,0.09535330833030578,0.002335915338277873,0.5839147193835195,0.0032424304128094703,0.003358118845566683,0.006810890538693012,0.006666864951513214,0.0040679560020044974,0.0042011152575546105
HolzschuherJohannHeinrichChristoph,0.07677312369999853,0.003137456226586783,0.14566999304847472,0.0018855226239839645,0.13088096209271102,0.002956290347499357,0.002748309506138287,0.001968050786456839,0.002304672924125791,0.3612711846217084,0.0038140089158523694,0.005809150101968474,0.0017302527671850248,0.10841225321720876,0.0024017241131284077,0.0024874165299850217,0.005044944056172826,0.13457964076257645,0.003013205150852915,0.003111838507386179
IndustrieComptoir,0.6980303501123849,0.006516891351468594,0.03329344829115912,0.003916467734948201,0.0025747701736743176,0.006140587025498616,0.00570858464890717,0.004087889112468796,0.00478709564771796,0.07720206691406195,0.007922176413974236,0.0120663356951712,0.0035939527056253564,0.090545162787267,0.00498868317869332,0.005166677110709653,0.010478983582213231,0.010257391155363666,0.006258806233340391,0.006463680125352336
