year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.0007543114595735295,0.08703461568591243,0.0004936665293836837,0.0027039842044244626,0.08996781475259182,0.00448493707082807,0.060646710296355266,0.08547055189322235,0.024255620899894137,0.00403859913815915,0.008231119425165561,0.00024403793951153095,0.005853264446927825,0.005933924496867689,0.0015091994306352778,0.0024616964014497825,0.0005801330878710514,0.12872791014394303,0.003551390896802777,0.00027741372358207697,0.000911702975333383,0.0805749242407076,0.05306984412910808,0.05010016223263323,0.0016288408026117135,0.0005729263747518751,0.0011919620032862196,0.0018040207869540323,0.0010351230964717887,0.007695253710364352,0.0012531546684801517,0.098629755690241,0.13097651474883135,0.0005069132604510342,0.028270906577465005,0.0005062689793818752,0.0008094834305636996,0.0016677220291667055,0.021092520992727497,0.00048109734736781007
1799,0.00010916876663133492,0.015370847078161625,7.144656952508484e-05,0.0003913378443892712,0.00033108552080697183,0.0002484478943051911,0.00721415371428308,0.18021856988069565,0.5581483148443717,0.00011343441429442212,0.00015183716692235158,3.5318727469404414e-05,0.000446480961549266,5.75137878864666e-05,0.00021842096968315483,0.0003562724078446427,0.07480907088609777,0.009539654546271776,0.00011333913635345237,4.014908386408953e-05,0.00013194747088627752,0.0013246374626342313,0.0007940707834735628,0.0001849538329452754,0.0002357362322991208,8.291755999250772e-05,0.00017250834535079382,0.00026108939721054857,0.0001498096181878542,0.12914492836820887,0.00018136453824209984,0.0005118624682442488,0.01660961262795034,7.336372095393529e-05,0.0015416426442287177,7.327047648735407e-05,0.00011715360624788,0.00024136337145265,0.00011327579627969041,6.962747731745293e-05
1800,0.0045448199134487674,0.06142567529218892,0.000258160315715874,0.01413164652244691,0.004311739291913876,0.0018769196986817358,0.002106987189236658,0.14212848872258368,0.2609349812067755,0.0004098764209667419,0.0005486383910471117,0.00012761835725343072,0.002360254321120356,0.0002078165227173431,0.0018193669492313368,0.01024104068599223,0.00030337754781348475,0.148346315406229,0.0004095321499473632,0.00014507204803468343,0.008958052481351406,0.021310962689075067,0.06301021958490986,0.02805317885084197,0.0013938747378185088,0.0028798727681910025,0.0006233302619763684,0.0021998876314196295,0.040582383708840174,0.0002684102332112925,0.003177785849335832,0.00338561986546727,0.08448782168713329,0.0022776809377107687,0.045025003526377685,0.00026475070067551144,0.0009946224365383093,0.012629424389653691,0.005707520230832541,0.016131270475294845
1801,0.002057693347670923,0.04437656082202466,0.007752006883129724,0.01920930854249966,0.00698299219568741,0.004619592889106921,0.002620187118854384,0.17525327843179897,0.106567348210804,0.002304960266548699,0.008903381306091484,0.00012067793268756363,0.0028525828308956272,0.006218360782404516,0.002112812585042747,0.005109904418490737,0.013712375295410896,0.2261882629780022,0.002226295787719699,0.0017783939683287953,0.006658716555546889,0.04563834449489451,0.01488657327612698,0.006722273395420874,0.0008054695967757324,0.0017113610732831705,0.00842148081010388,0.017149111836586694,0.006559892780643738,0.006795501498948183,0.0027203746749251555,0.010925598649818638,0.12368204770334774,0.0006005861715737484,0.09120651036096387,0.002165099249394674,0.0004002934426540199,0.006766703642664428,0.004887552431726447,0.0003295317614010259
1802,0.00027875278086853536,0.044472590176609095,0.00018243249010855867,0.04262694116573718,0.003610021980698888,0.005392576812498594,0.009675025853878843,0.1317080613442044,0.0441167599840419,0.05423756345828608,0.004196222671803297,0.00045300821892969216,0.006934204676968957,0.0035270128802882056,0.006603709121822635,0.008655557729481332,0.0006040065830402545,0.2936576798924144,0.0029502846437269446,0.00010251713124353132,0.0026395282054094416,0.04403414964225377,0.01625519403953443,0.023738107935292584,0.004832358151073973,0.0007301540174315678,0.0008845259801666287,0.005139727190960817,0.00408689520586518,0.004451271026455732,0.0024397576950651624,0.014787604980565623,0.13218518142802765,0.001802344646912889,0.06934260711621919,0.0008325852913639483,0.003235407287894604,0.003506929382934305,0.0002892397174797622,0.0008015014624412213
1803,0.0077437018329642995,0.04483063251687676,0.0005160197769235042,0.03760422455873576,0.023146364554599102,0.01280479990764996,0.004103202453720489,0.12050340902576143,0.15085085196421416,0.008426125129260309,0.005325461104734366,0.00013663261924435564,0.018917941027982495,0.0010364374615890151,0.085114390950083,0.00898095883365664,0.0010290947456560327,0.14438083733703916,0.0025549122228460306,0.00015531914317592346,0.002223597681699794,0.03172167837924121,0.03858927525175754,0.00718290775187704,0.0029046289890138576,0.000981197633240121,0.009697401416147543,0.0025775589009203997,0.017635677803457872,0.003627189301241276,0.0007016196129808939,0.008347585853673133,0.10178498942867426,0.005312051359388677,0.06218995241916526,0.008762736310482579,0.004912203588236045,0.008054385288994704,0.0018025831302048206,0.002829462732890046
1804,0.006909765116337659,0.07549252137253801,0.001720653387369525,0.08750784808743954,0.005947953500685885,0.0011598249083997988,0.004156706515021204,0.09303004209450076,0.08501959583149137,0.014138428832059782,0.0014204622063584416,0.0005450609242243033,0.0038992626188003167,0.0005160479408496091,0.09562779252549822,0.003957360500183974,0.0038748690313186213,0.1579781331722004,0.001467288805860567,0.0009201841435090566,0.002618405668605753,0.03704138212686365,0.027175335292533492,0.009839740444992985,0.001979648109484295,0.005814619521976761,0.0011600161252873153,0.005383677023311761,0.03477993414296907,0.002079242505078221,0.0015083400867276701,0.023195932042464455,0.1253737284098841,0.0010029428862995725,0.06530513705743858,0.001747511168115687,0.0004037153841265064,0.00767059947448851,0.0003903523166886607,0.0002399386980158265
1805,0.007549310512243406,0.0975228325431767,0.0012300193653283359,0.05851391534304337,0.013393147328193734,0.017352221029139497,0.008706865462170003,0.14651137031814915,0.07110792314157073,0.003170870702962512,0.002241763917483869,0.00015365183201490154,0.07210561478463294,0.0020633949599975737,0.02566956721152549,0.005757195738961215,0.003945883973060567,0.0998502176101679,0.007006740877933433,0.002168851505749226,0.0017728374580818571,0.06071013710919928,0.024068805560563292,0.004750157349328701,0.013874141176506248,0.0016373519207006904,0.0068850978551329885,0.006149854115269865,0.01273226968271345,0.0067045021982542535,0.0017907855110088284,0.0077170495396923534,0.12668697432664558,0.0016141623759483468,0.0498368764482211,0.00031875845341934595,0.010305735194145965,0.009323103789438365,0.0067971319562992365,0.0003029098219257856
1806,0.0006299837666700733,0.11677324739990076,0.00041229905195382935,0.07963169200473859,0.0270762938505438,0.012032142999239555,0.002958974173414284,0.14470814328280582,0.0692395831190376,0.000654599678940605,0.005048948344099868,0.00020381493399397488,0.11889337304560765,0.00033189669395586915,0.01869507338344154,0.007532821396434061,0.0004845139540549689,0.05811534778048984,0.0012235892467351809,0.0002316896293833534,0.0007614335791869937,0.04164166147770148,0.023470386264415187,0.003361924387800698,0.005181402626238721,0.001617573853886621,0.009062051915824652,0.0061288261073974,0.008168000534572731,0.004202650874219894,0.0010466062635660603,0.010297944916313818,0.14132490719842492,0.0025644954764660792,0.04906695878322274,0.0030050136860464848,0.0012057779241323513,0.018696984146281345,0.002047862838859307,0.00226950941000126
1807,0.0055066185002947635,0.09037735091943092,0.0006779939935075363,0.04059640469006463,0.01840877257073761,0.03198738872533497,0.006142756309353251,0.17993497864431982,0.04566577164967159,0.0010764386878177735,0.0037289719487134457,0.0003351579402868102,0.028833614921711295,0.0005457785165906404,0.0056308977041729345,0.013934387692184021,0.0055153400290379835,0.06915419800262435,0.014499436940504191,0.0003809957270954183,0.006465054146201168,0.057395930515552765,0.02003957844916305,0.013195670921800313,0.016077392815466107,0.0007868482420486692,0.0030453895298729015,0.005458053498148417,0.001421622087332848,0.0034901020049394704,0.008883699232791208,0.020095969973211787,0.15908052994230817,0.0006961868495403041,0.10544699422165366,0.0010768296496630743,0.002057787031068684,0.005047063330318324,0.0010749334782329738,0.006231109967232233
1808,0.0017104691240708624,0.07639287669595894,0.004898935820202627,0.015042151621042886,0.014909362973516534,0.01243983714014134,0.0038900471926162695,0.20004303219303105,0.049002383624979225,0.0010478410126747808,0.0027830211113056853,0.0001631266031366717,0.07865431624186378,0.0002656389265318161,0.005281317265489661,0.007278451902243555,0.004026195076587147,0.07676164843877377,0.0017380858786114292,0.004515947305312774,0.005480292243931782,0.04478708800731173,0.034115925286811774,0.01626507887927039,0.012034279134621496,0.007395468637299232,0.000796764277936693,0.018435890264829752,0.0048505695082316815,0.0012753285652971514,0.003924373417261343,0.00872714733124508,0.1555368645377508,0.0028030476691259573,0.08526208278539221,0.0028197568223025664,0.009732932312155275,0.0186098948960796,0.005120463878294305,0.0011820653967605124
1809,0.00199147820930446,0.07911408647241547,0.002005710018487392,0.02775078171186587,0.0724498715855597,0.016125375003184877,0.004150650390904985,0.1585649971488572,0.0777974371415254,0.002250514509486521,0.002534570540592748,0.00013751589182847985,0.060080481530352114,0.008605305107494672,0.008674765948930668,0.008650647934936357,0.005417788824478992,0.07317479455174268,0.0011779582602778036,0.002298823052269754,0.014980882522251097,0.060287524984174716,0.029808299427517605,0.003439951059936519,0.0035112551802571985,0.0005510118312942759,0.005383335365067842,0.01093590808684115,0.006682183636526989,0.0038281910130428527,0.0009868380526594045,0.005779942625502095,0.16080572928613512,0.004103800337304616,0.04438524330395873,0.0017792894767301264,0.009184829570283206,0.009657622688208987,0.0064806045421009146,0.004474003175710335
1810,0.008038106708050625,0.09179764349941542,0.0014667977879970317,0.0168790848421399,0.03131920459675197,0.01674541893062721,0.011323476891149788,0.1729197636745044,0.033051809726447993,0.0015132001478436908,0.003915962481818369,0.00012398153086161783,0.03287933646346482,0.010369765190016375,0.0014635142655734944,0.04631292437099323,0.0005135493195054212,0.09344245989800612,0.003900857882234293,0.0001409378320459981,0.01773266631334015,0.09828078064849667,0.023591394490071686,0.005745591297890082,0.006829842738503744,0.005606454180225366,0.0075119536649124645,0.02238592819611324,0.0015238827225316097,0.006338924427595448,0.009460952810372538,0.008293592241626478,0.134549764623755,0.0031728860267673767,0.040547150081639075,0.0014774539771807663,0.00041125160755448617,0.019329877994383314,0.007573776132239344,0.0015180797853533645
1811,0.014456293450796924,0.08608241966512703,0.00228404310802123,0.010419194286896838,0.010149762784668791,0.01967709214347233,0.007626940796237861,0.17001348017029874,0.03133606984084121,0.00290309108803549,0.003325378916845266,0.000655285639391375,0.03496909202483715,0.006176887786923335,0.0042440101374701805,0.03208464353096227,0.006572409243334686,0.09848366789983953,0.008922942900545565,0.010686750899819988,0.0066071568921204195,0.09758904151876995,0.029937096086669546,0.0020384604982946948,0.005209200604500933,0.0031889182335576136,0.0029696011988497198,0.013633083010692538,0.005707661966841474,0.007531360213392891,0.001451004202838046,0.008087519877449297,0.12033222222864381,0.008538664597390713,0.046183047788241414,0.004802204402898167,0.005186296968124597,0.0648423730496594,0.0026285468582191956,0.0024670834884797472
1812,0.005791696352924129,0.16896231037599432,0.00033806336236923937,0.0018516912481027913,0.012114083088581171,0.0414723751734403,0.0072009857334938195,0.14507376426601123,0.030954404691963443,0.0005367370296385426,0.02542549410391601,0.0001671174395394527,0.0021126116494956607,0.008184852291076029,0.003803346379396107,0.010057322930538626,0.00039727575323403953,0.09523070006934635,0.0005362862034995416,0.00018997321183312002,0.000624335163471648,0.1561708795714048,0.05096194403571659,0.004501805949853202,0.009403933370805093,0.0003923405884544041,0.0011459532843902307,0.013905618960817712,0.0007088533931927478,0.0003514857257673461,0.010109446532087658,0.004423067240541227,0.10019277411001636,0.0003471347378392767,0.04513103647890411,0.006073459715304608,0.0035216030856496912,0.027795455841311895,0.0019653366797475554,0.001872444180329945
1813,0.0005368846300388534,0.14516897767418094,0.00035136940931610974,0.008255286346439163,0.001628256257121172,0.05954833104287617,0.00789502927166587,0.13477457123463443,0.015876432840321756,0.0016086354149910899,0.003269071314760706,0.0001736951191808331,0.0036979850044942227,0.00028284892908825494,0.003297190539256496,0.024300941013918293,0.00041291237764177937,0.16577315731587824,0.0025536142640535118,0.0012482231035812184,0.01638194525161266,0.08790686196876048,0.051328062918635675,0.0009095904738983296,0.0026615566423583963,0.00040778296663034834,0.001959889877696003,0.040744321921857035,0.0014021602754775277,0.0010307267509100488,0.0033922703372875427,0.01617868924311733,0.10171686120926945,0.0003607978307169192,0.0654889413051934,0.00036033926072031295,0.0005761535326355591,0.0011870087790301325,0.0005570827247994387,0.02479554362595425
