year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.00973565940002319,0.03933611359358899,0.00029372006294690634,0.0002800406482420922,0.00040889439439652356,0.0012216159859554478,0.004585823468931472,0.0038536667945790223,0.0003149564041372279,0.027200551917444693,0.0007835201097298669,0.17389990534956667,0.00046105945053755414,0.005968383709468527,0.001774594958653651,0.0016266986968050169,0.0003023661836582822,0.03853551908414851,0.0006657476353062008,0.007367577199262901,0.000563577995016947,0.0003094982656556904,0.0009100682420136079,0.022086893001759113,0.003636584992999225,0.00042670516165125514,0.0014494594291079828,0.019464067569196514,0.0002078136552401183,0.0008503176813077069,0.262463406695492,0.005873905155475767,0.0003843307747163046,0.00032066881474628376,0.00041555687646184606,0.08164007208082368,0.000502967612907289,0.000552601264733284,0.03634054210288267,0.0003205945867854221,0.0013096956772345927,0.0006348161407757435,0.022283477835837336,0.068964489266889,0.0592151724151321,0.0349791203840086,0.0026137355623289285,0.00044287087030374486,0.000270252138045313,0.00031875249825624616,0.0002954657826032741,0.0006880635432890054,0.0007905191342994124,0.0018713369581313428,0.046219331758375726,0.0004732937086204059,0.0002034343858693236,0.0001977800305049032,0.0005578684200754141,0.00033447648306425375
1799,0.00021581358380496122,0.008397537160591134,4.323440887421813e-05,4.122085419029845e-05,6.018760603667271e-05,0.0001798169471100314,0.0002692693155074647,9.054112216259074e-05,4.636031266438833e-05,0.0011569427856380039,0.00011533100069965825,0.2867221344245503,6.786609195118628e-05,0.0008785220152292729,0.0002612132220686161,0.00023944348869875742,4.450708297846903e-05,0.10375923379519524,9.799536736812928e-05,3.8896799804242626e-05,8.295640830459449e-05,4.555689668920669e-05,0.0001339583754813833,0.01391505935239582,0.0001295452395426134,6.280927915674756e-05,0.00021335458319023,0.0007127581401765099,3.058933206725199e-05,0.0001251633338825747,0.0188076374744842,0.0008646151530551821,5.6571940269648326e-05,4.720115647141824e-05,6.11682965310138e-05,0.0004202540812907248,7.403480446228145e-05,0.26455412368937953,5.9231814033550856e-05,4.719023041489492e-05,0.00019278192249533841,9.344237610085526e-05,0.2784753100632655,0.015935074314753103,0.00013557897154369995,0.00035331371788217163,0.00038473133519394663,6.518880628407751e-05,3.978002496034725e-05,4.691908241140529e-05,4.349137176822652e-05,0.000101280179036927,0.00011636122889355295,0.0002754532542910114,0.0003113727436023052,6.966692540777696e-05,2.9944721274759062e-05,2.9112422965638562e-05,8.211598189638945e-05,4.923358957002688e-05
1800,0.007527478201618637,0.05748973663017637,0.00015433473401044314,0.00014714690758583945,0.00021485290097107202,0.0017104239031955624,0.0014949327170027916,0.0003232064545307881,0.00016549333528568443,0.025900064599604332,0.00041169937972146935,0.19118953813271342,0.005105410335739907,0.028994267716651725,0.004523823925490929,0.0043738598674367204,0.00015887782421280904,0.09858295932602858,0.0020121851436632403,0.0001388506841647851,0.006583383967797868,0.00016262536521142865,0.0004781938920117652,0.007798554483096042,0.04089427653857923,0.007315673856339259,0.0016171326798085615,0.005152538434749606,0.0001091953504416182,0.00044679805612299567,0.2063817761645054,0.018280295318952776,0.0018284206373195525,0.0008200342794437216,0.010988040920981676,0.001500189398714894,0.00026428352212339604,0.0009542780599854798,0.0032831552341037566,0.0007088056192813842,0.00912335745780658,0.0003335631187368719,0.13252657886143152,0.05526140020044865,0.016336799730516362,0.0012612310447039001,0.02475837435400214,0.0019843737475164387,0.00014200355066829883,0.00016748798682654018,0.00015525201959222865,0.004192433217267824,0.0012286143312825854,0.0022243946462448504,0.0016954028306999844,0.0005744611005105441,0.00010689427040397754,0.00010392319848463751,0.001460909704161658,0.00017575012931888594
1801,0.0025518240293149713,0.04433587738811021,0.0011736573587233258,0.005154592403104002,0.001294985767334979,0.004820551889572645,0.003766474641140894,0.0003065186064681624,0.0001569485565663548,0.03572793177230513,0.0003904424505978132,0.051210841910700376,0.0002297543860121576,0.033980533904327266,0.0022055570627719473,0.007109604816951061,0.00841854379126627,0.09448091016497831,0.0011983802669330587,0.0001316815231277711,0.0029065168514165476,0.00015422866598796428,0.004974291301953637,0.0033220632048652113,0.00792833517968221,0.00021263501335695378,0.002758428024921647,0.043446237764712035,0.00010355735840349414,0.0016646367932198786,0.29183278134847346,0.024553758337836813,0.0028240972464248005,0.002161556231371055,0.00020707961824295104,0.009865667421012999,0.0014083125869245987,0.009475763713581161,0.00029206873761826777,0.0001597581664573351,0.0006526453927687168,0.0007106933085953806,0.06603283255239974,0.09786968952062361,0.013597908920376997,0.004667735927967893,0.04734311711434776,0.00022069068266722126,0.0001346716003167931,0.005385052138359464,0.007698067991711686,0.0026385094395705265,0.007401259448388891,0.014814396491746458,0.013175979361892126,0.00793508439281786,0.000101375088103437,9.855741905114381e-05,0.0002779960722647834,0.00034635087925977115
1802,0.003998450632067708,0.04112242548048661,0.0005731159863691887,0.003097576783621292,0.0007806904968208994,0.006301178991865309,0.005479813483761157,0.002693484095881424,0.0002486397799312617,0.04115402984099675,0.002804639537768074,0.050473885522613796,0.00017251331808583922,0.014522109764157538,0.005831006629923635,0.0025720253501440036,0.00011313550467087496,0.06086682532108863,0.0009239187721802965,9.887435395538824e-05,0.008101373203050023,0.0014296421398635865,0.007984861432612341,0.005977882672981413,0.0015385151588533943,0.00015965907041919867,0.007909726425978283,0.052762730132679625,7.775705099899983e-05,0.0007554490454554052,0.3774330109169158,0.029178975814425197,0.0002693430914387339,0.00035658854632679405,0.0007283132998288448,0.01551607149682268,0.0013445811015847322,0.00020676526128338228,0.0030522521581439,0.00011995597500979294,0.0025445881394357893,0.04484927279893451,0.019482611724127036,0.09195064327588089,0.023160818666315256,0.0028952499646494228,0.015339700218321857,0.0023239203143786673,0.0008787675020504767,0.00011926672592487447,0.0007792660709675256,0.009950242256713846,0.0011905255329146714,0.003589394366011384,0.0025126303158229234,0.007937105436936504,7.611847209324993e-05,0.003736341791989386,0.0021694856945466555,0.005782257090923283
1803,0.002725771158055673,0.0279244552252018,0.002285774284610705,0.00015754993652981382,0.005860707181925645,0.0011193713743683053,0.0036932832801439466,0.004578239942183474,0.00017719342457235538,0.03779776825708518,0.001661957890304569,0.10528684089033888,0.0002593905121440302,0.014561611743385019,0.013221368337536794,0.00850513734092712,0.004129496252966825,0.06417671082823019,0.0006904388836554143,0.006494802520031118,0.0034218800928176186,0.009117212567986257,0.003858220447179407,0.01087388686623433,0.015413026470411335,0.0023224407788537825,0.08511992024034234,0.056727964015961134,0.00011691527068886435,0.0016104635184058774,0.22043122290979658,0.020043104574440026,0.00021622321453370594,0.00018040720776611144,0.0011676528959106037,0.009204817549832748,0.0029699503131072158,0.0013177351342037475,0.003400065616143091,0.00018036544736241319,0.008525856706001428,0.006417105242296384,0.08922270942260754,0.06732566188442872,0.007855449928669081,0.004304296679458144,0.010356962709928431,0.002406055914895187,0.00015204295327611556,0.004650332436413757,0.003170317206187771,0.0035990065735849288,0.004145925352244011,0.010326314168484793,0.019100728241204765,0.0005863197531242651,0.00011445150831812734,0.001819607933552333,0.0023116651839202003,0.0006078458052299557
1804,0.0013270988749443354,0.06560680347801526,0.0001477527992653771,0.0001408715130683439,0.0034414034549643717,0.0008426391127819318,0.004768992770636303,0.0003094226241665755,0.0015051182096487178,0.0366784277995203,0.0006797174616409154,0.060832344035339825,0.0015370012953953404,0.022456412083089076,0.002040217970844603,0.006394562582103244,0.000152102139671596,0.05459401777239053,0.00033489737042095586,0.0004446793148983133,0.00137892677773622,0.0007432863553959975,0.0033629330223490326,0.0030320916104216926,0.03855341656545474,0.002826448799882619,0.08622812074145689,0.09894243762539374,0.00010453848123016308,0.0026352577443970204,0.2377033673597668,0.021394842786484052,0.006944000145654671,0.00016130908641551848,0.008077048166347035,0.016777960175961046,0.002288838932853767,0.0006394221911156045,0.000535718294468766,0.006374038114644181,0.0006588286838688118,0.011433556272248572,0.049383967090928294,0.06390883671409357,0.0024542182017213317,0.0033802670852559934,0.019313530110756025,0.011949665810730627,0.0001359475056045662,0.00016034510348959688,0.0001486309652421001,0.0027350299823468427,0.0003976623652933579,0.015245695620387023,0.008820948665616564,0.0017146841094092063,0.00010233553567111554,9.949117146680396e-05,0.0018893676295149034,0.0031285057361193198
1805,0.001203312575709039,0.08209158993826797,0.00018583254498095227,0.00037597486942300283,0.0017212231886130714,0.005754107670711807,0.005555154260048695,0.003546442469406071,0.0009290598982689545,0.0187886141200942,0.0014705834610421597,0.08591927999301195,0.00029170581750964994,0.01784975016246406,0.020834852256357193,0.010269304187219908,0.005211902961827774,0.07767792740087053,0.0005751914092866425,0.00016718839201123993,0.0022590844436000614,0.0031897234596373453,0.0019493882570533615,0.06989018578747758,0.005602567634824389,0.0009394257329163043,0.016527942279766512,0.08207920393309173,0.00013148077134263102,0.004534747058353279,0.16956929417215466,0.042437801047570146,0.0002431606655107595,0.0009496933953582337,0.001089988798016882,0.008911138362961328,0.0019190134828940813,0.01004725960790753,0.0017439849143976865,0.00020283567752135828,0.008438042693002747,0.0005616327112401751,0.030807007700674273,0.11191291851138392,0.007892373339490482,0.0027487978150311488,0.023401857195004396,0.00028019815909324135,0.00091951571213504,0.006942981294806861,0.0006101946599281039,0.001665964135518538,0.005109706490476156,0.011755173281904547,0.016369297312459202,0.0002994462602042339,0.0038852929966228644,0.0006972640176619738,0.0008538000961960195,0.00021161855768546615
1806,0.006496132422205029,0.08492214915798739,0.001054886441893407,0.00023455413074797215,0.004532844728758519,0.002002495360338879,0.007177344154500329,0.005229367695623075,0.0012585411290966413,0.010587794937236019,0.0006562542952777721,0.06410039885466275,0.0016248899031116118,0.021997067688835876,0.010942387380960724,0.005065691520652944,0.0002532533681119014,0.06956723629749863,0.008305238745990283,0.00022132984010577022,0.0004720369973419306,0.00025922699838245835,0.011201157237371844,0.10892806129904976,0.0007371358903233714,0.0003573961812510171,0.018175997435690396,0.10174779640918419,0.00017405884313003884,0.005841526162837847,0.17050842680391726,0.05382174014646356,0.0003219045925980966,0.00026858313453043874,0.005802587986841648,0.0038254760331852427,0.00042127145462777664,0.001129383116372727,0.000337039756360383,0.0016803815321632318,0.016044782284678982,0.0005317040544618201,0.02348825796793454,0.0781708778341858,0.0007714689188954516,0.006512031621419082,0.012727827277378147,0.001444309086159262,0.002493562640230343,0.0002669780820090269,0.0002474737872495167,0.0005763025736035434,0.01959078959989029,0.01110177129339441,0.027667704579387734,0.0016216934752698307,0.00017039089089872567,0.00016565496268342158,0.003885224957854438,0.0002801480471968956
1807,0.013331685138884804,0.06885878560811433,0.0004014185484477191,0.0003827232957662109,0.0005588239108362566,0.003906360882622978,0.009130709678779877,0.0017407198498945787,0.0004304416297089415,0.09430190202550823,0.001981542843023134,0.057265529408272724,0.0060492251781265145,0.01734046301997457,0.028424529368610656,0.009086370257287946,0.00041323494665641657,0.057006872037011116,0.007949036736423921,0.0003611451462677822,0.0016473936429991563,0.00042298215280258707,0.0012437634291379885,0.022093926712065035,0.0023974400331689396,0.0005831653612172846,0.007473940225495117,0.05978403272519735,0.0032205927702674353,0.004098684075737732,0.24644566955439737,0.037133921680442286,0.0005252535361818102,0.0004382486128336832,0.001054184786490046,0.01630719557979773,0.0006873910044270774,0.004463456504144318,0.015159403412515609,0.00043814716766849986,0.008138426472106587,0.002720664668771201,0.021600789333095564,0.10218791240747734,0.005975566585847148,0.0032804121409765233,0.010183403813460827,0.007521714501036188,0.004161876770770694,0.0004356296395974682,0.0004038043720221289,0.0009403561541412098,0.001080379189037485,0.00255750103637095,0.021043952552424347,0.001459428509761866,0.0002780277760419061,0.00027030013530800277,0.0007624223186006022,0.0004571191459461897
