,Number,Score,Rank
0,0,"0,03182",20.0
1,1,"0,23833",5.0
2,2,"0,00638",54.0
3,3,"0,00608",55.0
4,4,"0,00888",43.0
5,5,"0,02652",23.0
6,6,"0,03971",17.0
7,7,"0,01335",33.0
8,8,"0,00684",50.0
9,9,"0,17061",6.0
10,10,"0,01701",29.0
11,11,"0,28096",4.0
12,12,"0,01001",39.0
13,13,"0,12955",7.0
14,14,"0,03852",18.0
15,15,"0,03531",19.0
16,16,"0,00656",52.0
17,17,"0,30067",3.0
18,18,"0,01445",31.0
19,19,"0,00574",57.0
20,20,"0,01223",34.0
21,21,"0,00672",51.0
22,22,"0,01975",25.0
23,23,"0,05196",14.0
24,24,"0,0191",26.0
25,25,"0,00926",41.0
26,26,"0,03146",21.0
27,27,"0,10511",9.0
28,28,"0,00451",58.0
29,29,"0,01846",27.0
30,30,"0,77343",1.0
31,31,"0,1275",8.0
32,32,"0,00834",45.0
33,33,"0,00696",47.5
34,34,"0,00902",42.0
35,35,"0,06197",11.0
36,36,"0,01092",37.0
37,37,"0,01199",36.0
38,38,"0,00873",44.0
39,39,"0,00696",47.5
40,40,"0,02843",22.0
41,41,"0,01378",32.0
42,42,"0,06486",10.0
43,43,"0,34984",2.0
44,44,"0,01999",24.0
45,45,"0,0521",13.0
46,46,"0,05673",12.0
47,47,"0,00961",40.0
48,48,"0,00587",56.0
49,49,"0,00692",49.0
50,50,"0,00641",53.0
51,51,"0,01494",30.0
52,52,"0,01716",28.0
53,53,"0,04062",16.0
54,54,"0,04592",15.0
55,55,"0,01027",38.0
56,56,"0,00442",59.0
57,57,"0,00429",60.0
58,58,"0,01211",35.0
59,59,"0,00726",46.0
