year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0.00037138504856975836,0.0005966394837855068,0.031490481675335615,0.0016628935827441096,0.00046185654554312333,0.00015952698107036742,0.00024833432357904573,0.0010907122185774083,0.00021377809096399756,0.0002223289301186419,0.00370738262744282,0.0019494038818954156,0.00029261408025163445,0.0007888840500031013,0.041063207276069706,0.0008949331742678516,7.101202228299793e-05,0.00024383898308180988,0.06198190498857109,0.0004184156653070249,0.009941926985634,0.019821308796273588,0.039943665451773205,0.0002598409879237754,0.0008511991255890518,0.006665796362030058,0.07994522757948977,0.0004132524016801165,0.0004210070168298986,0.046452291127028304,0.00035848553648322874,0.0006479843192747234,0.00018804253304815146,0.0004783432691951071,0.0002284354491951378,0.0002426961396102767,0.11944699443719298,0.00022690721923026346,0.010659342164801423,0.0006174630986379923,0.00021822660275377798,0.1255887267455795,0.00029523945854408317,0.00035731343740539305,0.019239067415865237,0.00026035703518816837,0.00027921165115794817,0.16854350294573475,0.00017086415939237005,0.02124169652982641,0.0008051020509817741,0.00431931203728444,0.0005225600833551508,0.015730178002618427,0.0002667995446135782,0.005703671140761667,0.02875909248360613,0.00032751971480124404,0.0003073825670588235,0.0003847504336729989,0.0004551871881665914,0.0003611790645961477,0.0027496513148291464,0.0011130967810513378,0.00030451936429173946,0.0017525968946515544,0.0010366004407347245,0.000707850835250955,0.00041732932702170976,0.0006080776521917042,0.00031885797570363835,0.014665922089188356,0.04200093779460761,0.0007923661824322752,0.0002266349591452758,0.041545295651684556,0.00020087249276724123,0.011097957594133637,0.00026982204719517845,0.0003149266797727063
1799,5.6282992477245143e-05,9.042005246805069e-05,0.0016054443775216345,0.00025200967935699257,6.999384756731094e-05,2.4176137165668984e-05,3.7634791491116916e-05,0.00016529622780843002,3.2397832739533344e-05,3.36937029358926e-05,7.543310671850378e-05,0.00705552180856778,4.434533953632032e-05,0.00011955450339946389,8.63179524068996e-05,0.00013562613063970328,1.0761793269114903e-05,3.695352762127901e-05,0.00027287595042164314,6.34104303162689e-05,0.00029972253082485547,0.00017448200843780848,0.0002164187710482921,0.3042435101057916,0.00012899828403611008,3.736080786233154e-05,0.0004965312661754387,6.262794343643768e-05,6.380314676737397e-05,0.0005185491901119246,5.432808571801434e-05,9.820130537716491e-05,2.8497637462008064e-05,7.249239226331457e-05,3.461913913362906e-05,3.678033095986604e-05,0.009898546250040543,3.43875375763026e-05,0.00015616162662607596,9.357584821859323e-05,3.307199977066012e-05,0.21196834053619407,4.4743212706640084e-05,5.4150455401892386e-05,8.624397257808291e-05,3.945682010981948e-05,4.2314216262075015e-05,0.002800345691273064,2.5894273974535722e-05,0.002163521159637133,0.00012201232347217241,0.0006545869518376464,7.919340144050559e-05,0.09653875977316284,4.0433175272530936e-05,0.21677275875988825,0.09526861587664157,4.963524976381869e-05,4.658348734294422e-05,5.830850177579697e-05,6.89831138490393e-05,5.47362869180909e-05,0.00041670660912055334,0.00016868858344088882,4.61495721370919e-05,0.00026560411685175447,0.00015709564785245457,0.00010727400951887788,6.32457969531984e-05,9.215349421224236e-05,4.832257280402226e-05,0.00011133542585969197,0.001424511388381751,0.00012008221670960039,3.43462768621887e-05,0.0013196522939349974,3.044200363704338e-05,0.04147533833870221,4.08912321887094e-05,4.7726789263035384e-05
1800,0.003189172042123351,0.0003161004390656912,0.060461138179192624,0.0015681843201467204,0.00024469224850031795,8.451761931547895e-05,0.0001315678744899125,0.000577860870016742,0.00011325993376703572,0.00011779018039773792,0.0002637074133775078,0.0010327969229824412,0.00015502735195714495,0.00041795188108527663,0.01425138016931764,0.00047413685652460043,3.762226944851007e-05,0.0001291862367613628,0.0025771576185570767,0.0002216772089509619,0.006369401172377352,0.03399149832491979,0.0243839690957041,0.0015418423116639176,0.00045096649592128035,0.00013061005215966694,0.005929994598943531,0.005791461388327076,0.00022305011063852162,0.0026190448444813152,0.0023389379144388863,0.0042811747058411655,9.962519892651684e-05,0.0002534269379179233,0.00012102542280743616,0.00012858075668008658,0.14681947980873186,0.0017327020126082803,0.0005459271189779183,0.006543264840976852,0.00011561676158040247,0.18481879864601233,0.002005851253448348,0.000189305162526791,0.00030150123622560583,0.0001379375240382319,0.0019141960209987082,0.03677424924807683,0.000504890890053313,0.05881845867320314,0.01035691577638294,0.011066005912478707,0.005663621698334021,0.08558386255494475,0.0001413507746081339,0.1234376067821136,0.0128151493761538,0.005574646233668691,0.00016285171707369593,0.0009289201831618694,0.00024115881356632414,0.000191353177258416,0.014040738015390804,0.01592956971535018,0.0001613347882139647,0.0021995779163510483,0.0008334996912988221,0.0003750203697485806,0.00022110166539694953,0.000322160396801586,0.00339244906299455,0.002832132999980078,0.03774230132419889,0.002531302067078483,0.00012007152064245747,0.024287434083714192,0.00010642252966076196,0.022189923988896573,0.00014295210073402012,0.00016684859861778881
1801,0.00018751228381412468,0.004331919104123803,0.05138314378918828,0.006208518598225334,0.00023319133600777228,8.054516105501898e-05,0.004185368505379678,0.0020924849750701994,0.00010793654246571913,0.00011225386052843976,0.0004744660046594453,0.00314692541582563,0.0001477408276812937,0.005114482360259648,0.00203570182557993,0.0036304927888274803,3.5853964848138855e-05,0.0003973066061170763,0.009419002161638915,0.0015976315116063187,0.005762143422072924,0.0012671821712820846,0.008146598703465062,0.0005777766911128026,0.00042977037614859437,0.00012447117857563843,0.008307088072104422,0.006823721508086099,0.007303445818136147,0.009361935121784437,0.00018099932110669163,0.0003271672353285964,9.494266115947011e-05,0.00024151548157179384,0.00011533704156278121,0.00012253726310860525,0.19913286980819184,0.0026164422180999752,0.005753337381039367,0.0018380227091370333,0.00011018259574246835,0.0542904256993571,0.00014906638098880818,0.00018040752836816375,0.0002873302138271563,0.000774447849049586,0.00014097394221379228,0.14795471896869716,8.626930155920356e-05,0.05366125745961483,0.011375043376083057,0.04746001152272354,0.0027574664780702974,0.08128777909643861,0.00013470707052888687,0.05311551208501687,0.015078893645741708,0.00016536468000810347,0.00015519743558826125,0.00019426046577356403,0.0006256587891166945,0.0015083113745558987,0.00911309891362402,0.027365674007746022,0.00015375180472092703,0.002998772404536132,0.0068840750079120945,0.0036236718320640017,0.01197388258564853,0.004185210919341836,0.005295907848373867,0.0022714330037464014,0.036598523587053955,0.009207722728253992,0.00011442797426851507,0.029012775379536393,0.00010142050688167846,0.02514056882507538,0.00013623313186089949,0.0008797817743150123
1802,0.0005847177035641961,0.03697485409130097,0.05754559666666047,0.0014279167891265438,0.002187294232931205,0.00026408343667493365,0.004482969947295833,0.002632694279325062,8.170269485385266e-05,0.001884202592811854,0.0007995755354259372,0.003239614352582839,0.001560550709739949,0.0005187335230041826,0.0023369167168376848,0.003215707927139116,2.713970155398131e-05,0.0012580617381469648,0.004067416698435075,0.0006565193230159744,0.010829313602905264,0.007412748460083707,0.030464464187888413,9.930722484763478e-05,0.007485889158618048,0.0004456304988263355,0.010332304409423575,0.00015793870513035167,0.00016090239964382922,0.005981185673934632,0.004480400949561709,0.0005202869647785755,0.00024183881404706367,0.0009890747444406202,0.0007393380160365029,0.004421287659233884,0.28625502681228493,0.0019956076986695167,0.0012017527847426569,0.0005950707105625826,0.0008280977748373464,0.052843323250902935,0.00011283597529321312,0.008012420676354241,0.001035881072909024,9.950445016657528e-05,0.0012242388999770249,0.07063087044416046,6.53016509472239e-05,0.09239580073670031,0.0003076976078369634,0.04903508666053085,0.0014590678554286358,0.0545126062919853,0.00010196667807451363,0.020969643488932235,0.00967312046646439,0.0003394283874936985,0.0001174768844017342,0.00014704569179900905,0.0005247394591101693,0.0007223302974496148,0.013180304684183996,0.010793471552650093,0.0004061262351100061,0.004687870442087038,0.002434273008726113,0.0019669923059069325,0.0016927751276175,0.00023239791617763513,0.0018812809077118594,0.0027084768851785546,0.03605055467401492,0.0005490346952958579,0.00031330554707388017,0.04090885643751842,0.0023160530884257196,0.012091188514598847,0.0017494403310301212,0.0003234748088506544
1803,0.00021075516569451835,0.004136855283962533,0.04945818631960324,0.003694475633457639,0.0026435938155041686,0.0002208166570845614,0.004907588219455175,0.007721816960097468,0.0019359472112650642,0.00012616816612917058,0.0026062815780472487,0.008679961807592758,0.0009477795292306887,0.0008390186142637543,0.000940947128361655,0.006955111377733814,4.029820419586687e-05,0.00013837478239928905,0.011124193921561679,0.0071050148702695454,0.007538628892143975,0.001947513075946029,0.008288160042411943,0.005815753980319913,0.00048304209726109527,0.00461196004519704,0.006764264682063104,0.0011488157506299832,0.0015048502371868262,0.005125087682316813,0.00020343489575461437,0.0014755419802331498,0.0001067111758074346,0.0005999463220901843,0.001724813601523668,0.003512656049626238,0.14620776428527482,0.0008549926972288635,0.0031788087275106715,0.0010319119112131789,0.0025867298574945713,0.11074829798806013,0.0006735760301093067,0.0016327158842721257,0.0028636345026314936,0.006170072818010831,0.00015844821440780303,0.07576497353209002,9.696271931967559e-05,0.05042435975613543,0.004705904567688237,0.05711262020692607,0.0012946603339967864,0.05786198027951818,0.0036961682733085044,0.09017783786338313,0.0236881130354481,0.00018586227966630738,0.0037932107478611567,0.0005123025538876527,0.000639748762855836,0.004443875413679947,0.0027648225290990655,0.0030654162656641496,0.003519872930401231,0.01401158610845643,0.0005882544235084412,0.002600597690924197,0.00023682782008689718,0.003011838332791499,0.0023479589994085336,0.07366250582287719,0.023326490106762233,0.0069800388303395584,0.0008580783193273162,0.023946621227028637,0.0007938793886011357,0.020193607968437385,0.00015311976204656665,0.002148584475838891
1804,0.00018957826996278152,0.009275818728707069,0.0458102679299107,0.0008488453958038802,0.0004627020902236711,8.14325972469111e-05,0.0028282912130586126,0.0058016395594083755,0.00473621645546766,0.0010870003573884817,0.001936198897743203,0.006002684630028528,0.00014936861705792568,0.0013722454324951864,0.0013010099783448054,0.056573021205090404,3.624899920665645e-05,0.0009587000843549278,0.005650257074026809,0.00114225681483142,0.005986212923517257,0.00584879102532802,0.00516906724569189,0.0017415076569042083,0.0009212603798547589,0.0038998234867408882,0.01716535953049777,0.0006863657131418791,0.0009442468849896396,0.011919349868132617,0.00018299354827259497,0.0006226215311544586,0.0017644474118653376,0.0002441764679853991,0.0025915097018829585,0.00012388736286275069,0.1688782557897879,0.006191074789798496,0.0039860448548148615,0.0021717118490952123,0.0014993430175333493,0.07834272934381643,0.0004060438570544215,0.0006216253095278226,0.0010078274773809984,0.0016053116941534271,0.001775668653548816,0.061053917317437215,0.0005221116542767751,0.03193064968515543,0.003345949582356382,0.09105493243725361,0.0002667475089145074,0.04114722684034934,0.0006958788188150817,0.06156038953450913,0.028055633076589717,0.0010369703440840567,0.0042689049484428004,0.00104782487354299,0.006928619201539388,0.0010355718331538197,0.00676628861535648,0.004601720108023619,0.0003823873044310618,0.0012351860798636022,0.003444223240826553,0.0022075658235912008,0.00021303111723585422,0.002520801992483355,0.0029549313602824133,0.017262231894054264,0.05951938399571529,0.0013083430192557459,0.0028377964169585897,0.03100791955031617,0.00010253794494037646,0.028675074329412808,0.0001377341309298018,0.0283304737142103
1805,0.0012563122279731418,0.0007577759627280016,0.035070007921298114,0.0010607663354374858,0.0014297924084707694,0.0009021557056807367,0.0026037889155780852,0.0017253815669876038,0.00013636988229546673,0.00041751369518360296,0.0028886238254498503,0.05372108187966593,0.0043787319152538,0.00312486540632342,0.0005519206375504451,0.0061557554288100514,4.5298847401188356e-05,0.00015554584322447122,0.011988716244492928,0.00026690899320505097,0.004146220602600182,0.002716522803552067,0.01180978980758308,0.000290964156381753,0.0007406685195087702,0.00015726017884007033,0.011865971168668535,0.0032460409425806684,0.004613898149895695,0.006669603509143642,0.005456924677259206,0.0017588964891534448,0.00011995306901040868,0.003349191666081253,0.004137252421438972,0.0034780792230679953,0.09542820088687377,0.0004183019443438839,0.001712392817460507,0.01133917821728343,0.00013920760540557024,0.0741618711755501,0.0002475321154007656,0.0003970635165569687,0.002261171740351374,0.00016608277341847245,0.0013521318648059065,0.07062796555883892,0.00010899491711138657,0.07064486965593812,0.003431210652635011,0.08456620759514377,0.00033334312575301444,0.0699241797811252,0.00017019247543736897,0.04234166102366581,0.020771578339017757,0.001667304159356649,0.0013821921067021087,0.004820110875365959,0.0011664186726548387,0.0014165091033783897,0.014298924827944518,0.004071724219698316,0.00019425409628224478,0.017966072967936553,0.004394473859336754,0.0017781490110917071,0.008593941837226315,0.006693010896650775,0.0009671833765400689,0.0011523897540616436,0.0804167243515343,0.0015217265518776666,0.00035494059470877,0.06252330225131941,0.00012813735061222402,0.03385016394155942,0.00017212054168322198,0.006732335842585168
1806,0.0003125513194386722,0.004853821603037599,0.02062032984723292,0.0032529866388093204,0.00420890403746792,0.00013425518504751004,0.00020899392906486867,0.011849461298168669,0.0001799119933750578,0.0001871082336932514,0.00041889593990153325,0.0546951980827568,0.001321080196494367,0.0036033860843625314,0.0004793417821010199,0.00864347058466037,5.97625061806721e-05,0.0002052107272123762,0.027050402075377487,0.00035213148393871434,0.007095514250364528,0.012953685918182752,0.0012018190480860952,0.0030813979866649256,0.0032095083494100294,0.00020747244022938978,0.007221934349334421,0.00034778616937795106,0.005062433634015692,0.002879612942202071,0.0003016953101882012,0.0011646846331903131,0.00015825338699317716,0.0004025655327464167,0.00019224737594436355,0.0010032322997466931,0.08693278525831981,0.00019096124368414834,0.0020590945618603413,0.03105681273270656,0.00018365578498645655,0.09231638258155046,0.0009082773214754996,0.00030070889160538204,0.00047893095651960015,0.008653727492757352,0.00023497976105431488,0.06667602536381183,0.00014379636086193665,0.10714165358176546,0.014346078613405748,0.10264564602936044,0.0004397776490131286,0.04498437286489365,0.0002245339439908757,0.01233864216378876,0.025924759188455812,0.00027563500307169366,0.001304937103793086,0.0003237993994701954,0.0006925229174077121,0.0003039621374847767,0.010210178498137948,0.0009367632566801824,0.0002562783005685036,0.011186106527807835,0.008317169340013225,0.0011682592329940102,0.009468728052512258,0.0005117477756458159,0.0014840171335359501,0.0077191016904487025,0.07505784896804675,0.004513099067003041,0.006979817177171669,0.03654901328701279,0.00016905086215807547,0.034777200197899566,0.0002270776305865639,0.0002650369196834024
1807,0.001728607131594393,0.0022873886090571225,0.09686211162449307,0.0024437901770318305,0.0017953458597058187,0.0017310118964406858,0.00033657261606995687,0.009469729573062552,0.0002897378433122287,0.00030132697147781647,0.002788036957014847,0.018908287484774043,0.0003965858809599813,0.0010691907774113695,0.01022509790679682,0.002239161809690367,0.0019373478981836584,0.00033047998864144,0.01720134258652832,0.0007723354510858046,0.015153285088893001,0.010835248971532322,0.006235125902193307,0.0003521678349061151,0.007008372510396031,0.000334122346437869,0.017030809508457978,0.0005600894790783794,0.0005705994684747793,0.009608891472048608,0.0017111241575680201,0.0008782264745661861,0.00025485791238315166,0.0027981414428683285,0.0003096032623708192,0.0003289310693803859,0.07182628184911802,0.0031681386006147385,0.007343858545853928,0.008410868927093043,0.000295767002830437,0.053964789849966624,0.00970039400487332,0.0004842742503381822,0.0007712905617591212,0.0003528672443767403,0.00037842129317065685,0.1102017788936174,0.00023157570927153365,0.12259335681388521,0.0010911713676823695,0.05581819853813762,0.0007082364281093617,0.07375056599613455,0.0003615989098997117,0.01890523862405935,0.00561029481197897,0.004126101893200543,0.0004166019148631969,0.0005214601756577255,0.0006169245576477556,0.0022072766210321786,0.0037266589771979943,0.0057995128292820325,0.00041272135726742225,0.028614418003122675,0.0014049258963846098,0.0009593647949027239,0.0005656150198411937,0.005150290051553995,0.002895131907700949,0.008086507636679749,0.07341006145960331,0.0010739101831072802,0.0003071630211767861,0.03832404769142372,0.0002722466206554969,0.026797663053134715,0.000832515560926607,0.0004268266059789619
