receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
AbekenBernhardRudolf,5.1134180812804645e-05,6.3855325809249e-05,3.772156672205984e-05,0.0005220382007182899,4.5043148209650873e-05,1.2645072809851759e-05,4.9835479101109425e-05,3.431984531868046e-05,5.235837574343774e-05,0.0001101596167188242,6.159085399107494e-05,4.2939039061402276e-05,6.939560492137357e-05,4.8955811321229554e-05,0.00028826279055344244,4.501888869166419e-05,9.884205992830379e-05,5.795497361433865e-05,9.777022531637113e-05,6.324255406451885e-05,0.00011480566882354232,4.163359369323502e-05,5.405052646068318e-05,0.000108221418470472,5.263570095628964e-05,7.935364946111005e-05,4.235304063078463e-05,0.2159578834223264,0.00011071443138038123,0.0002930188014166004,3.335418228991563e-05,0.0030646819077755558,3.1974359547048766e-05,0.04166322328868023,0.00016169344884792156,7.004240551464189e-05,4.023848707598964e-05,9.31524214537662e-05,6.470362411495901e-05,0.0001064518238868947,5.5256147419292845e-05,0.00016036060243967526,3.770713080551611e-05,4.8211109880408344e-05,8.656869221818992e-05,0.0182471950532128,5.1882724687666805e-05,7.903341294622027e-05,8.017604790594599e-05,4.8875994254008526e-05,6.61552599004763e-05,0.06151613714774852,5.8544873567074486e-05,4.9648067514683016e-05,6.205689725988907e-05,2.401805119348779e-05,7.676808250607863e-06,8.226896873550768e-05,7.221421388440504e-05,3.084868576207701e-05,0.00016852851573101978,0.000291408389712563,0.009055131213806057,3.172581094864829e-05,4.972870563150494e-05,7.029826647616746e-05,0.00040662459573770533,0.00010258405561716108,0.006767521186889846,0.0016112546539467625,7.992040947914721e-05,4.870042516378719e-05,5.567043661920196e-05,4.851668855938831e-05,0.05539110702595793,1.718520355093691e-05,3.7268210275417354e-05,0.0007384528035480799,2.9004419871772084e-05,6.796565839893982e-05,4.569510134059759e-05,0.014736804695383455,0.000512205203301171,0.0005219473487494164,5.616997755144188e-05,0.32621278989858915,3.613117257209111e-05,0.08301844678225412,0.11236947100648742,0.00034824008666048,4.43798318259273e-05,8.261725636813374e-05,0.04162923471236357,8.068402141923854e-05,4.203574525874837e-05,8.131644456654138e-05,3.3788030284725596e-05,4.063215398303689e-05,0.00011223075815010701,2.4477391148047027e-05
AbekenBernhardRudolfANDTruchsessvonWetzhausenChristianFreiherrANDVoßHeinrichANDVoßAbrahamSophus,0.00012547239681456356,0.00015668737919147428,9.256069644577388e-05,0.0012809706390462733,0.00011052629916236498,3.102831742147439e-05,0.00012228565921706258,8.421359611106921e-05,0.00012847631062863426,0.00027030825413014805,0.00015113084729775946,0.00010536326313062143,0.0001702820449936857,0.0001201271417051436,0.0007073355369787753,0.00011046677146838479,0.0002425373784845576,0.0001422091706785478,0.00023990732446569434,0.00015518376774626498,0.0002817086771747342,0.00010215997803539216,0.00013262848834790848,0.00026555232813589325,0.0001291568076777807,0.00019471696692117328,0.00010392534770007331,0.2461889053562817,0.0002716696512282705,0.0007190057754140237,8.184406456077609e-05,0.00032116302641010697,7.845827321778862e-05,0.0005951507887568692,0.00039676131021700766,0.00017186915599083966,9.873668331755048e-05,0.00022857621659517382,0.00015876892269015328,0.00026121011965103745,0.00013558682558773664,0.0003934907888011943,9.252527377897518e-05,0.0001182998028643559,0.00021242114626775381,0.0015812483959710207,0.00012730916417070148,0.0001939311746696486,0.00019673495767354087,0.00011993128760966887,0.00016233092795581765,0.014168139818918547,0.00014365665961401202,0.00012182579107082542,0.0001522744182913278,5.893518586117952e-05,1.883725359003661e-05,0.0002018705399524394,0.00017719831150373827,7.569610932689158e-05,0.00041353310963919437,0.0007150541678366276,0.0006226224380753763,7.784838785597212e-05,0.00012202365984727652,0.00017249698433547306,0.0009977702159293565,0.0002517194394951667,0.17117774787993972,0.0280921787766454,0.00019610767538176486,0.00011950047842867759,0.0001366034031110431,0.00011904962790618865,0.000401278448628546,4.216883198297459e-05,0.02422995103579108,0.0018120060148183609,7.117067334763841e-05,0.00016677326056349724,0.00011212605339036586,0.00016641169336605645,0.0012568425561438794,0.04955775326680551,0.00013782917024134252,0.4367066331685489,8.865820768572191e-05,0.0004345356319936112,0.00512371480342589,0.0008545070566430213,0.00010889866193049359,0.00020272516367676283,0.0005117500562726916,0.00019798141656303527,0.00010314677238714706,0.00019953324836774518,8.290863520406617e-05,9.970265812322149e-05,0.00027539039440098467,6.006230834823437e-05
AbekenMinonaLaura,1.653168867258425e-05,2.0644436844103962e-05,1.2195388434482358e-05,0.06377642469933502,1.4562456877153132e-05,4.088154021669239e-06,1.6111818205608442e-05,1.1095611371515269e-05,1.6927471085562973e-05,3.561462135383962e-05,1.9912332750309232e-05,1.3882198059683787e-05,2.2435609949549108e-05,1.5827421474476382e-05,9.31954053740612e-05,1.4554613771185113e-05,3.1955653469321875e-05,1.873685205454905e-05,3.1609129171263036e-05,2.0446327642974482e-05,3.7116690727611055e-05,1.3460147367513432e-05,1.747454367771031e-05,3.4988001556315004e-05,0.18129881868191314,2.5655047310270984e-05,1.3692744675203868e-05,0.4204434254876189,3.579399302089386e-05,9.473302443167338e-05,1.078341236293807e-05,4.231502147523004e-05,1.0337315453867925e-05,7.841443857578021e-05,5.227551735963071e-05,2.264472068274535e-05,1.3009109179460805e-05,3.0116192458595e-05,2.0918691819319424e-05,3.4415891350042456e-05,1.7864321122622197e-05,5.1844607906907396e-05,1.2190721300400791e-05,1.5586659381919335e-05,2.7987671764666468e-05,0.0002083383027651066,1.677369302466907e-05,2.555151479480677e-05,2.5920928856405788e-05,1.580161660413168e-05,2.138800589633588e-05,0.16088585567632271,0.003199310050162141,1.6051228010338105e-05,2.006300461217388e-05,7.765039715929155e-06,2.4819133108395334e-06,2.659757048868977e-05,2.3346866669142888e-05,9.9733849427257e-06,5.448529555440286e-05,9.42123780753096e-05,8.203398172141059e-05,0.012731786893094644,1.607729832614748e-05,2.2727440571715386e-05,0.0001314617955445538,3.3165441262125436e-05,0.000290946421141951,0.1086539233164552,2.5838280912947816e-05,1.5744855089740873e-05,1.7998260885896876e-05,1.5685453016736127e-05,5.287067556020998e-05,5.55597900197388e-06,1.2048818224214595e-05,0.00023874190714710477,9.377133491282629e-06,2.197330801468757e-05,1.4773233426588513e-05,2.1925669518141246e-05,0.00016559602252065963,0.00016874565967125806,1.8159762547598186e-05,0.00029165193450389064,1.168121375648696e-05,5.725249511157199e-05,0.035659285343110116,0.00011258607460751949,1.434800658631369e-05,2.6710171934915422e-05,0.009608573376605749,2.6085156772883305e-05,1.359016303168526e-05,2.6289619275545088e-05,1.0923675487670232e-05,1.3136381752220489e-05,3.628422170324589e-05,7.91354439524438e-06
AhlefeldtJohannGeorgJacobvon,0.00014269456225235932,0.00017819406938755252,0.00010526544799031191,0.0014567948747083856,0.0001256969841713934,3.528722080943492e-05,0.00013907041751588328,9.577263635543481e-05,0.00014611078906897246,0.0003074103864717438,0.00017187485570913108,0.00011982527704578842,0.027645374580318467,0.00013661562491371006,0.0008044234220208073,0.0001256292857895178,0.0002758277193336575,0.00016172860225374355,0.0002728366677840773,0.0001764840743414798,0.0003203756156148768,0.00011618231352522392,0.00015083288888604604,0.000302001668737135,0.00014688469018991372,0.00022144354506105167,0.00011818999535732895,0.4446907688311634,0.000308958647028648,0.0008176955010371947,9.307786622354724e-05,0.0003652454135626575,8.922734590329343e-05,0.0006768403523949468,0.00045122021191450684,0.00019545967560531002,0.00011228914216941435,0.00025995026791871245,0.055084001043316684,0.0002970634547977719,0.00015419728335167512,0.0004475007833101727,0.00010522516325788492,0.00013453746810318626,0.00024157777526653013,0.0017982883359500845,0.00014478344172304388,0.00022054989606574047,0.00022373852239749307,0.00013639288815942298,0.00018461224375038057,0.0984679984262023,0.00016337477149299437,0.00013854742851203013,0.0001731753916554787,6.702454692207118e-05,2.1422828632496206e-05,0.00022957900750659186,0.00020152030353937008,8.608605126569009e-05,0.1926323331074322,0.0008132015013387355,0.0007080827218194202,8.853374853097937e-05,0.00013877245647958246,0.00019617367878912976,0.0011347227581927882,0.0002862700971772857,0.002511326763163112,0.004496352026518352,0.0002230251402169811,0.00013590294671368252,0.00015535339488191222,0.00013539021307998228,0.00045635736641726486,4.795686679514698e-05,0.00010400031577014866,0.05696415914302405,8.093946028269506e-05,0.00018966432470942252,0.00012751631842395665,0.00018925312930490764,0.001429355004942974,0.0014565413440617199,0.00015674740909158658,0.0025174164568622266,0.00010082730908926452,0.0004941793841877392,0.08818214830159375,0.0009717954983312724,0.00012384593973290402,0.00023055093568624584,0.0005819921521892544,0.00022515606848824658,0.0001173045538874995,0.0002269209025528228,9.428855834219304e-05,0.00011338770532387249,0.00031319009419761035,6.830637666294063e-05
ArnimLudwigAchimvon,2.65981841480804e-05,3.321527181451914e-05,1.962141882551101e-05,0.00027154572488155684,2.342984539198017e-05,6.57751761768908e-06,2.5922645658326266e-05,1.7851964208866527e-05,2.723496685742561e-05,5.730111883273823e-05,3.203737402754904e-05,2.233536256849153e-05,3.609712817192365e-05,2.5465073732337413e-05,0.0001499440621577341,2.341722645262304e-05,5.14141278839121e-05,3.014611823223556e-05,5.085659759925108e-05,3.2896529723651586e-05,5.9717830071259216e-05,2.1656316268231328e-05,2.811516354129093e-05,5.629293696484274e-05,2.7379221580256588e-05,4.1276949149057035e-05,2.2030547004414848e-05,0.16987884384767038,0.15868411719695846,0.00015241797003574722,1.734966060967308e-05,6.808153454369436e-05,1.663192584159615e-05,0.09734887304448417,8.410718739662046e-05,3.643357086081348e-05,2.093063137171284e-05,4.845458009266524e-05,3.3656526454549074e-05,5.537245673316085e-05,2.874228473029128e-05,8.341388804882363e-05,1.96139097746086e-05,2.5077706500801686e-05,4.502995805305475e-05,0.0003351999092043507,2.698755007728905e-05,4.111037349147175e-05,4.170473160163842e-05,2.542355572973408e-05,3.441161581601711e-05,0.14116201232570688,3.0452963229503662e-05,2.5825160809483128e-05,3.227979317825904e-05,1.2493336910218725e-05,3.9932029079859495e-06,4.279339465924812e-05,3.756326841409544e-05,1.6046390331934714e-05,8.766254635087146e-05,0.00015158029108250414,0.00013198621117544037,1.6502639691218486e-05,2.5867105892918344e-05,3.656666064269297e-05,0.00021151166802034504,5.336058109449381e-05,0.0004681098610084612,0.000838117425837313,4.1571757574417544e-05,2.5332230926673018e-05,2.895778325309121e-05,2.5236657672914724e-05,8.506475003464062e-05,8.939132326054643e-06,1.9385598908953425e-05,0.00038411691242973007,1.5087068739438019e-05,3.535332079452892e-05,2.3768968247909367e-05,0.005152261431732365,0.00026643094897489683,0.00027149846691516523,2.921762669820012e-05,0.3228392847004285,1.8794152292704736e-05,9.211475234469301e-05,0.06760694918638173,0.030883050665846214,2.3084811775673555e-05,4.297456151167117e-05,0.00010848300168082597,4.1968961375815614e-05,2.1865501224848147e-05,4.229792542812047e-05,1.757533292268961e-05,2.1135402910441115e-05,5.837845302114834e-05,1.2732269235010718e-05
BarthKarl,3.701565358251404e-05,4.622439593208152e-05,2.730636189293968e-05,0.0003778995749510135,3.260640033518949e-05,9.153674258881067e-06,3.6075533062286765e-05,2.4843881042553525e-05,3.7901839197487985e-05,0.21371297611383985,4.458516160708561e-05,3.1083251355517855e-05,5.023496281914286e-05,3.543874809203497e-05,0.00020867129239671053,3.2588839050358096e-05,7.155103282249118e-05,4.195317481560015e-05,7.077513971024419e-05,4.578081501873668e-05,8.310697069809943e-05,3.0138249152473326e-05,3.912677452965379e-05,7.834068078603404e-05,3.810259285864866e-05,5.7443517276904455e-05,3.0659051445343325e-05,0.15096045618944626,0.014322360846692157,0.00021211413332516532,2.414484475054649e-05,0.028579177396174923,2.314600131855307e-05,0.0001755756324519916,0.00011704868629904497,5.070317696312282e-05,2.9128341837370787e-05,6.743234580266336e-05,4.6838472773045255e-05,7.705968441440965e-05,3.9999514584277656e-05,0.00011608384868666673,2.7295911840207143e-05,3.48996642518782e-05,6.266643312368023e-05,0.00046648461605202713,3.7557518932125176e-05,5.721170044301351e-05,5.803884540100775e-05,3.5380969110084665e-05,4.7889301133069206e-05,0.0041797476477698076,4.2380199008649184e-05,3.593986720727082e-05,4.4922526866852644e-05,1.7386488813811286e-05,5.557184456795452e-06,5.9553895239906984e-05,5.227533290626893e-05,2.2331134428948015e-05,0.00012199654043372439,0.00021094836825737032,0.00018368005286899388,2.296607883479427e-05,3.5998240540927105e-05,5.0888392812219755e-05,0.0002943525237855698,7.425983570002388e-05,0.0006514502026597374,0.0011663752729714574,5.785379064314622e-05,3.5253875950086245e-05,4.029941545807777e-05,3.512087038725628e-05,0.00011838128880661392,1.244024117087601e-05,0.007148085926720882,0.0005345604980597861,2.0996084053163396e-05,4.919983515552193e-05,3.3078344362913426e-05,4.909316909615711e-05,0.0003707815411762613,0.00037783380788574214,4.066102942752359e-05,0.16443850806080382,2.6155087383812164e-05,0.00012819250155000922,0.3860513671053421,0.021615411650013863,3.212623053320512e-05,5.9806018069517883e-05,0.00015097155457879423,5.840656365322665e-05,3.0429363682912452e-05,5.886437007089129e-05,2.4458904090660777e-05,2.941331438658413e-05,8.124301199222471e-05,1.7719001594192325e-05
BentzelSternauChristianErnstGrafvon,5.945513334508334e-05,7.424636222649609e-05,4.3859914127810084e-05,0.0006069883264299999,5.237292043244247e-05,1.4702777635576401e-05,5.794509676647851e-05,3.990463809862807e-05,6.087853881837372e-05,0.00012808564833057564,7.16133979007626e-05,4.992641424043552e-05,8.068819874649879e-05,5.692228258776709e-05,0.0003351711590633129,5.234471321656733e-05,0.00011492641047000848,6.738585872462904e-05,0.00011368015857424385,7.353387548643461e-05,0.0001334877422533368,4.840853662500553e-05,6.284604949195065e-05,0.00012583205135349978,6.120099255182503e-05,9.22666939243868e-05,4.924505757687756e-05,0.05946650321435154,0.0001287307467590699,0.00034070110509090067,3.878183485373375e-05,0.00015218319762348804,3.717747659736398e-05,0.00028201238204022324,0.00018800546736972936,0.20596610399472065,4.678640738306877e-05,0.0001083109096677694,7.52327022456515e-05,0.00012377449454392675,6.424785849169148e-05,0.0001864557298033664,4.3843129086387237e-05,5.605639752297275e-05,0.0001006558246857276,0.0007492750327635732,6.032548611474052e-05,9.189434602730326e-05,9.322291945539727e-05,5.682947706513218e-05,7.692055952280988e-05,0.12109394610310355,6.807175179639965e-05,5.77271881056908e-05,7.215527936344526e-05,2.7926455722945038e-05,8.926038335794199e-06,9.565641667827902e-05,8.396547373322783e-05,3.5868624398605346e-05,0.00019595278962066903,0.0003388286346399796,0.00029502983141480645,3.6888482233403556e-05,5.782094828551837e-05,8.173774842643249e-05,0.00047279371990881534,0.0001192773328691022,0.0010463697089793669,0.0018734505722110247,0.011530962556159005,5.6625338003853416e-05,6.472956405991401e-05,5.641170234681805e-05,0.00019014591477819904,1.9981713844675398e-05,4.333278398590641e-05,0.0237346933497674,3.3724245185153475e-05,7.902556017839745e-05,5.313096445933486e-05,7.88542314520576e-05,0.0005955552270173607,0.2865578045555234,6.531039418695524e-05,0.023924980790699345,4.201071864340813e-05,0.0002059048412182042,0.2426266481827945,0.011842945302970332,5.1601664035696055e-05,9.606138038965699e-05,0.00024249291961811977,9.381355437881852e-05,4.887612942834117e-05,9.45488903508772e-05,3.928628197643929e-05,4.724413483816823e-05,0.00013049382204170334,2.8460543055819746e-05
BergnerCaroline,9.378035408578942e-05,0.00011711100030285913,6.918154994632585e-05,0.0009574207806104172,8.260936854946087e-05,2.3191129430424585e-05,9.139852837862759e-05,6.294277516516732e-05,9.602553396820676e-05,0.0002020333111361631,0.00011295794718750589,7.87504214064475e-05,0.00012727190106650327,8.978521308612297e-05,0.0005286754600963529,8.25648764670499e-05,0.0001812768530032647,0.00010628972362894016,0.0001793111027393379,0.00011598717372969204,0.03629366721800825,7.635622779817282e-05,9.9128947201925e-05,0.0001984786454481697,9.653414985379958e-05,0.00014553500664664967,7.767569723088627e-05,0.3283385227696541,0.00020305084411675946,0.0005373980088043418,6.117174413806139e-05,0.0002400430939445296,5.864114203698549e-05,0.00044482653652136016,0.0002965466278187327,0.0001284581367252236,7.379759499183797e-05,0.00017084202639059993,0.00011866678381626079,0.00019523319976001623,0.000101340062322857,0.00029410218056015816,6.91550744001549e-05,8.841942676280082e-05,0.00015876743266282292,0.001181853843845094,9.515318745316668e-05,0.00014494769120949606,0.00014704328968023658,8.963882816888961e-05,0.00012132909141179624,0.010589525686026688,0.00010737160321639812,9.10548145524652e-05,0.00011381267297119816,4.404923105391506e-05,1.4079306337697986e-05,0.00015088171738847258,0.00013244124459329507,5.657665044913337e-05,0.0003090821761018587,0.0005344445053468128,0.0004653593474488325,5.818530261225989e-05,9.120270527894532e-05,0.00012892738706202748,0.0007457516276221228,0.00018813969259725812,0.0016504701325481801,0.25553684059375625,0.00014657444747328137,8.931683354248202e-05,0.00010209987087447198,8.897985965250951e-05,0.0002999228193193593,3.151775286951806e-05,6.83500918606111e-05,0.0013543262899997634,5.319425719530759e-05,0.00012464937169249208,8.380505398913477e-05,0.0001243791297854062,0.0009393870121048082,0.0009572541576260467,0.00010301603154745324,0.3444440460621911,6.62647587872762e-05,0.0003247798437410833,0.003829557740974857,0.0006386741337158139,8.139284284497701e-05,0.0001515204787217371,0.000382491310432234,0.00014797491575081303,7.709377586505321e-05,0.00014913478309870756,6.196742362145111e-05,7.451958215087553e-05,0.0002058317953144568,4.489166292433096e-05
BertuchFriedrichJohannJustin,0.00010662636984418981,0.00013315284371492753,7.865802601068454e-05,0.0010885681041094344,9.392518475129673e-05,2.6367846100163416e-05,0.00010391828208708973,7.156466500053226e-05,0.00010917909405645255,0.0002297077971612722,0.00012843090614306544,8.953763973409924e-05,0.00014470558280763054,0.00010208397516075292,0.0006010933279715864,9.387459815157085e-05,0.00020610812318788043,0.00012084927054048556,0.00020387310481216573,0.00013187507558321814,0.11300559630981044,8.681548992305287e-05,0.00011270761226758111,0.0002256662140171766,0.00010975738005307224,0.0001654703652514117,8.831570003744321e-05,0.15166819047173088,0.00023086471162353227,0.0006110106898070002,6.955103846710091e-05,0.000272924153070045,6.667379495284666e-05,0.0005057587941739674,0.000337167530684754,0.00014605430881002305,8.390637606265772e-05,0.0001942439359334352,0.00013492173816957742,0.00022197620777196972,0.00011522160553355773,0.0003343882434875768,7.862792384903914e-05,0.00010053110367654561,0.0001805153665642204,0.01869239018882068,0.00010818725367525861,0.0001648025994530457,0.00016718525261920554,0.000101917538464318,0.0001379487281728448,0.06820277307345968,0.22864742378415412,0.00010352748640385502,0.0001294027121083529,5.008308667090679e-05,1.6007887145955148e-05,0.00017154946745320113,0.00015058302206569888,6.432650968470657e-05,0.00035142019608004095,0.07013699370504518,0.0005291041857886195,6.615551472705555e-05,0.00010369563517501202,0.00014658783697217722,0.0008479045492406833,0.00021391103329484258,0.0018765512295771775,0.0033598315630369528,0.013654395868413395,0.0001015514370728499,0.00011608549252167001,0.00010116830456103217,0.00034100619227992466,3.5835048895728624e-05,7.771267494838996e-05,0.0015398416576154334,6.048079682131728e-05,0.00014172381983939986,9.528465496391027e-05,0.0001414165602452851,0.0010680640732907353,0.0010883786571391262,0.00011712714871615014,0.06260136343705343,7.534169333189569e-05,0.00036926812736274824,0.24843115890634423,0.0007261595997942504,9.254201957820944e-05,0.0001722757261971222,0.00043488490021084463,0.00016824449265861614,8.765406718930114e-05,0.00016956323842378643,7.045570998066477e-05,8.472726089075155e-05,0.00023402659700789613,5.104091470492471e-05
BodeAugustTheodorHeinrich,5.832829644672208e-05,7.283919120830461e-05,4.3028649158453834e-05,0.003881029639190775,5.138031078046034e-05,1.4424119908042459e-05,0.012598796962758483,3.9148336395219215e-05,5.972472450497036e-05,0.00012565807603245795,0.0003601123554067038,4.898017255189266e-05,7.915893736073857e-05,5.5843450117800956e-05,0.00032881875165877573,5.135263816824108e-05,0.00011274824161178449,6.610871295492822e-05,0.00011152560958770773,0.002906164067757424,0.00013095778554502447,0.0008836210684281802,6.16549454863009e-05,0.00012344719086317615,6.004106686091019e-05,0.0011151153633848301,4.831172945502348e-05,0.32440612157427223,0.00012629094808668632,0.0011173334586502294,3.804681333346071e-05,0.007044110747761999,0.0026542927381286927,0.3340477682536611,0.00018444225111224902,0.0011392341872128924,4.589967738660222e-05,0.00010625812258880797,0.003931619097977544,0.00012142863036566322,6.30301863830624e-05,0.0015198448351698142,4.3012182239335175e-05,5.4993975936068396e-05,9.874812234096043e-05,0.002941565857662569,5.9182153658127804e-05,0.009487227519834666,0.002695715926978314,5.5752403512880835e-05,7.546270517388737e-05,0.03799950406087027,6.67816064827046e-05,5.663310048135427e-05,7.07877400674457e-05,2.7397173237504798e-05,8.756865569927518e-06,9.384346674757268e-05,0.0019883627802873313,0.0004400493675491116,0.0033458323010858103,0.00033240690810010855,0.0014756874978449728,3.618934490805467e-05,0.02018413663896269,8.018859521233932e-05,0.00046383298970887547,0.00011701670216737762,0.006160448137704539,0.005027789004906563,9.116448649698104e-05,0.0016333462039224156,6.35027623172587e-05,5.5342546764661344e-05,0.0014011237853726376,1.9603005881445533e-05,4.251150957011074e-05,0.003193080015623797,3.308507878006869e-05,0.007492725855226506,0.0003419802144766463,7.73597287473648e-05,0.001107831806730839,0.0005953806084992165,6.40725841295926e-05,0.03249788593870868,4.1214500970843106e-05,0.00020200238301851912,0.1357738927358079,0.0014892454503380142,5.0623671795484015e-05,0.001253665661974881,0.009138484596263732,9.203553171377953e-05,0.00043949457776092636,9.275693106406328e-05,3.8541699807671205e-05,0.0012209830824384115,0.0023002462310504827,0.00563546976984129
