sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
AdelheidLouiseTheresaCarolineAmelia,0.00011511863055432737,0.00014375780630322276,8.49227470623683e-05,0.0011752671463289724,0.00010140585915971385,2.8467914064350733e-05,0.00011219485705932934,7.726443508279482e-05,0.00011787466656988317,0.00024800288217162637,0.0001386597898591657,9.666886797626353e-05,0.00015623066367843693,0.00011021445669791049,0.04292055086013805,0.00010135124358859993,0.00022252361139353096,0.00013047431464129693,0.0002201105849062558,0.00014237827028691378,0.015312448379170653,9.372991245457319e-05,0.00012168421372922745,0.00024363940700596512,0.0001184990101735985,0.000178649257898419,9.534960685254185e-05,0.23580387654710946,0.0002492519391240341,0.0006596746561607679,7.509043319831537e-05,0.0002946612061587994,7.198403153035761e-05,0.0005460399698610545,0.0003640212496827122,0.0001576868090073581,9.058910212571485e-05,0.0002097145005575564,0.0001456675844145099,0.00023965551009279195,0.00012439843407101468,0.00036102060606590567,8.489024741307512e-05,0.00010853790671360517,0.00019489251883236488,0.001450766499498975,0.00011680383102912178,0.00017792830787122368,0.00018050072752665282,0.00011003476414534989,0.000148935659135491,0.3741005403194501,0.00013180235928078406,0.00011177293644113456,0.00013970899534231115,5.407195574521985e-05,1.7282835840734508e-05,0.00018521253039369777,0.00016257621177825286,6.944979665034158e-05,0.005397404341494143,0.0006560491284403545,0.00057124470595364,7.142447285904916e-05,0.00011195447742666445,0.0001582628300374195,0.000915435934769288,0.00023094798453091348,0.0020260092135710593,0.012081742144537784,0.00017992520749010674,0.00010963950459659636,0.0001253311253665217,0.00010922585748335647,0.00036816564160605425,3.8689132535898965e-05,8.390210348382899e-05,0.0016624823967488142,6.52977918602933e-05,0.00015301141810117574,0.00010287360442183016,0.00015267968680664833,0.009607446758189793,0.09461255901430869,0.00012645574430264616,0.12259141992016159,8.134228495901989e-05,0.0003986784994319764,0.004700914675225691,0.02587397096692155,9.991253175122265e-05,0.0001859966320390082,0.0004695213222975137,0.00018164433077361172,9.463527823459138e-05,0.00018306810808833756,7.606715730413612e-05,9.14753663527637e-05,0.025615615713625212,0.010091096614854396
AdersbachGerson,0.00019668910410786957,0.0002456213559363839,0.00014509709642692185,0.002008035024268002,0.00017325977118881869,4.8639637964547366e-05,0.0001916936104455808,0.00013201227675014497,0.00020139800528379923,0.00042373214896338136,0.00023691099965191128,0.00016516625454817362,0.0002669321996372073,0.00018830994291073682,0.1146265395168082,0.00017316645625186183,0.0003801988397280848,0.0002229254807176846,0.00037607599692075365,0.00024326431171317007,0.00044160332263996563,0.0001601448212163955,0.00020790691191533263,0.0004162768133934728,0.00020246474472883016,0.0003052361057143837,0.00016291219465135526,0.4994406601405712,0.0004258662595913987,0.0011271052869387258,0.00012829782600548212,0.0005034515123715557,0.00012299029795265792,0.0009329516166227679,0.0006219585234079933,0.00026942013680964616,0.0001547785032991201,0.00035831348092374015,0.00024888435988235785,0.0004094700166922182,0.00021254436777114693,0.0006168316911837501,0.00014504156825678535,0.0001854454272991699,0.00033298897617074693,0.0024787470254130552,0.00019956839975300878,0.00030400430670606714,0.00030839948509708387,0.00018800292425521768,0.0002544681188789001,0.06004905784348572,0.00022519454793207201,0.03803021551405876,0.00023870364855253863,9.238612795926689e-05,2.9529064770738487e-05,0.00031644996554659386,0.00027777406046213416,0.00011866036121045496,0.0006482498056850197,0.001120910791783488,0.0009760158620663961,0.00012203424858666487,0.00019128290320934136,0.0002704043133917034,0.0015640932576325972,0.000394592534276772,0.0034615937942687877,0.1575547087372059,0.0003074161645012839,0.00018732759267630592,0.0002141379431502069,0.00018662084451809562,0.0006290395382754289,6.610338205513461e-05,0.00014335324775438565,0.0028404800477305203,0.00011156633917011477,0.00026143186901786495,0.00017576752774632902,0.00026086508038590376,0.0019702121155614287,0.002007685559544404,0.00021605944178117504,0.0034699877819517376,0.0001389795993718519,0.0006811731211772785,0.008031877129752051,0.0013395155563447425,0.00017070830555114116,0.0003177896639898691,0.0008022135756614832,0.00031035341989474514,0.00016169170883401408,0.00031278605380581637,0.00012996663485431378,0.00015629275443276982,0.0004316988543280578,0.0757726385677598
AretinJohannChristophANDBaboJosephMariusFranzvon,0.00010307887041443312,0.00012872279852217233,7.604104389991361e-05,0.0010523510338460228,9.080025852683732e-05,2.549057794275612e-05,0.00010046088175559628,6.91836816785726e-05,0.00010554666453200577,0.00022206533235044672,0.0001241579615893736,8.655868878263545e-05,0.0001398911736399658,9.868760291063076e-05,0.0005810947268626326,9.075135496231128e-05,0.00019925082840662074,0.00011682856985494829,0.00019709016993291653,0.00012748754221680782,0.00023143107939534746,8.392710591967624e-05,0.00010895778761507964,0.0002181582141977032,0.00010610571073600904,0.00015996510396165017,8.53774034792915e-05,0.02377692582831566,0.00022318375583340087,0.000590682134339596,6.723704925728752e-05,0.0002638438638433029,6.445553271696103e-05,0.0004889320088623379,0.0003259498401211113,0.00014119502702096665,8.111477937161226e-05,0.00018778136712457023,0.00013043284119298735,0.0002145909758481848,0.00011138813937951685,0.0003232630208543488,7.601194324850841e-05,9.718639604477972e-05,0.00017450955242195277,0.0012990371001058974,0.00010458782305335196,0.00015931955498256045,0.00016162293638170226,9.852670362568754e-05,0.0001333591221003138,0.0513003274971292,0.00011801772004409751,0.00010008308799173148,0.00012509743520467363,4.8416803539772134e-05,1.5475298719613068e-05,0.00016584195214667245,0.00014557306828325546,6.218634251256898e-05,0.00033972831397788706,0.0005874357848974866,0.000511500690517142,6.395449586922112e-05,0.00010024564239002686,0.0001417108045004917,0.0008196944459677798,0.00020679413275944024,0.0018141176643478442,0.003248048703211854,0.00016110760749894564,9.817278256521416e-05,0.00011222328452260354,9.780239701617105e-05,0.000329660788001187,3.4642803340443705e-05,7.512714502303347e-05,0.0014886105464907776,5.846857796262054e-05,0.00013700861504720922,9.211449865414396e-05,0.00013671157809535926,0.0010325291798447779,0.0010521678898476727,0.00011323028442369846,0.0613097593142809,7.283504685670983e-05,0.00035698243787373254,0.8370866628944525,0.0007019999967809735,8.94631117793042e-05,0.00016654404798901792,0.00042041611600894264,0.00016264693510659308,8.4737783404865e-05,0.0001639218057041405,6.811162200932386e-05,8.190835305271859e-05,0.00022624044410175694,4.934276427483346e-05
AretinJohannChristophANDBaboJosephMariusFranzvonANDSchererJoseph,1.9732249865965646e-05,2.4641232618030395e-05,1.4556435012037765e-05,0.0002014501465049954,1.7381771666125657e-05,4.8796271357268175e-06,1.9231091809472242e-05,1.3243739362299761e-05,2.020465638293583e-05,4.250966863422449e-05,2.3767392008473613e-05,1.6569813660765205e-05,2.6779179682594625e-05,1.8891635419329345e-05,0.0001112381839279741,1.737241012238071e-05,3.814231875371398e-05,2.236433638235207e-05,3.7728706800975924e-05,2.44047691607965e-05,0.03800539839391357,1.606605328401554e-05,2.085764309813903e-05,4.1761734248294396e-05,2.0311673847714602e-05,3.062190523155444e-05,1.6343681800037014e-05,0.09945432464282973,4.272376694101506e-05,0.00011307348847818564,1.2871098129624702e-05,5.050727686504502e-05,1.233863615017762e-05,9.359559847281082e-05,6.239614057839685e-05,2.702877458598319e-05,1.5527693386124026e-05,3.594673516868325e-05,2.4968583792197515e-05,4.107886259709037e-05,2.132288207568365e-05,6.188180637097596e-05,1.4550864313382632e-05,1.8604261403118467e-05,3.3406129486510623e-05,0.0002486729291986873,2.002110664512264e-05,3.049832865659875e-05,3.0939261867466774e-05,1.886083468508585e-05,2.55287578201939e-05,0.02120868162071008,2.259197380761791e-05,1.9158771256128853e-05,2.39472341821902e-05,9.268363742414297e-06,2.9624156712053606e-06,3.174690239484281e-05,2.786685715095177e-05,1.1904248113847367e-05,6.503373534268237e-05,0.000112452044160001,9.791589092234539e-05,1.2242723338639127e-05,1.918988882650073e-05,2.712750917688729e-05,0.00015691300803501783,3.958632338537533e-05,0.0003472741105451754,0.008213988776035294,3.084061315084016e-05,1.8793084051323465e-05,2.148275278993846e-05,1.8722181642604032e-05,6.310652235222522e-05,6.631625364371761e-06,1.4381488576184125e-05,0.00028496271969579893,1.119256143405096e-05,2.622737535861559e-05,1.7633354890423982e-05,2.617051397344749e-05,0.00019765567558785503,0.00020141508749510945,2.1675521429947006e-05,0.0003481162124149412,1.3942715299436161e-05,6.833666913078372e-05,0.5284650065597516,0.00013438291753388947,0.2999097830412753,3.1881303659964505e-05,8.047969302936484e-05,3.11352845695078e-05,1.6221240187346387e-05,3.1379331337545114e-05,1.303851641816204e-05,1.5679606131186973e-05,4.330890467517016e-05,9.445619163596567e-06
BassewitzAdelheidHenriettevon,1.606958190285438e-05,2.006736730136923e-05,1.185449334102433e-05,0.007026825505503802,1.4155395624058544e-05,3.973878723692894e-06,0.0013914513262193065,1.078545811188052e-05,1.645430109440426e-05,3.4619093434404e-05,1.9355727557260115e-05,1.349415193631653e-05,2.1808472126787005e-05,1.538500093562044e-05,0.024854808142279947,1.414777175475989e-05,3.106240389925198e-05,1.8213104822834416e-05,3.072556592103501e-05,1.9874795804511888e-05,3.607917578313698e-05,1.3083898737184168e-05,1.6986081482992008e-05,3.400998940651537e-05,1.6541454152316048e-05,2.493791724118876e-05,1.3309994301910928e-05,0.24111957503808784,3.479345116348221e-05,9.208497239211015e-05,1.0481985935644755e-05,4.113219869939369e-05,1.0048358678388144e-05,7.622253648833481e-05,5.081427096542069e-05,2.201173763223023e-05,1.2645468323463243e-05,2.927436095007623e-05,2.0333956085720034e-05,3.345387127489328e-05,1.7364963562067468e-05,5.039540663278087e-05,1.1849956666346948e-05,1.515096881451812e-05,2.7205338341410195e-05,0.07543396868445637,1.6304821558868684e-05,2.483727874806133e-05,2.5196366657137202e-05,1.5359917383316166e-05,2.0790151526376098e-05,0.40810974908844616,1.83984885613494e-05,1.5602551455089652e-05,1.9502187720685815e-05,7.547985215870558e-06,2.412536917082275e-06,2.5854094270100335e-05,2.2694256681532657e-05,9.694601039251974e-06,0.0017686543311701691,9.157887955236986e-05,0.0017954329547847623,9.97024904613535e-06,1.5627893032918107e-05,2.209214526977566e-05,0.09424803484130656,3.223837475174997e-05,0.04981124927426245,0.04548661562973324,2.5116028954026264e-05,1.5304742511438393e-05,1.7495159335688633e-05,1.5247000891918776e-05,5.139279283567733e-05,5.4006739051904565e-06,1.1712020176602697e-05,0.00023206840550453781,9.115016477539893e-06,0.03441610604866337,1.4360280381534645e-05,2.1312785951564317e-05,0.00016096715219998634,0.0001640287482146603,1.765214657586453e-05,0.004410869084845689,1.1354691278206437e-05,5.565212831910638e-05,0.0061593672269090105,0.00010943898006177434,1.394693981648879e-05,2.596354819210067e-05,6.554118397226509e-05,2.5356003945670646e-05,1.3210280101208284e-05,2.555475115157678e-05,1.0618328315148411e-05,0.0013885590615068844,3.526997658796886e-05,7.692338775538708e-06
BayreutherPostamtANDOsmundEmanuel,3.014609799917433e-05,3.764583452821806e-05,2.2238706653942335e-05,0.1046994133065819,2.6555136672482684e-05,7.45488825816935e-06,2.9380449885717987e-05,2.0233225678944805e-05,3.086782072480205e-05,6.49444764415893e-05,3.631081774957928e-05,2.531466152306605e-05,4.091209976219757e-05,2.8861842749015142e-05,0.000169944999517103,2.654083450131236e-05,0.005857808128213188,3.41672886188081e-05,5.764032486564478e-05,3.728457564474467e-05,6.768355116287689e-05,2.454503769462517e-05,3.1865426250902116e-05,6.38018138740485e-05,3.103131748785534e-05,4.678285356725053e-05,2.496918681640293e-05,0.4245203044756519,6.527156679275588e-05,0.0001727489002990628,1.9663920141306574e-05,7.71628845361049e-05,1.885044721641056e-05,0.00014299140255259732,9.53261884186342e-05,0.017439901133736814,2.372255417901473e-05,5.4917903863288675e-05,3.814594782718899e-05,6.275855140484766e-05,3.2576198712499954e-05,9.454041033825514e-05,2.2230195975802632e-05,2.8422804863626722e-05,5.103647379868478e-05,0.00037991199910231366,3.0587401187170755e-05,4.659405849500475e-05,4.726769763277205e-05,2.8814786688035884e-05,3.9001758049504185e-05,0.015003120366961772,3.4515063463387795e-05,2.9269961598611675e-05,3.658557302736419e-05,1.415981469770134e-05,4.525853551676391e-06,4.850157672166283e-05,4.2573807462805156e-05,1.8186807519881727e-05,9.935579430678004e-05,0.00017179948391500734,0.0001495917628994121,1.8703915673598367e-05,2.9317501708447052e-05,4.1444262852685356e-05,0.00023972506681702656,6.0478313031139535e-05,0.000530550719770071,0.024148056962109803,4.711698628971088e-05,2.8711280131065412e-05,3.282044243796767e-05,2.860295842542351e-05,9.641147969135392e-05,1.0131517160290015e-05,2.197143087770424e-05,0.00043535400840822496,1.7099522666933727e-05,4.0069076420204934e-05,2.6939494897528642e-05,3.998220599735451e-05,0.0003019699936316864,0.330881260019397,3.311494622503396e-05,0.0005318372474424697,2.130109159606573e-05,0.00010440187705645308,0.0012310277997811304,0.00020530454605579489,2.6164079254717598e-05,4.870690929838843e-05,0.00012295347613610664,0.06964199802652754,2.4782125691573216e-05,4.794001718383897e-05,1.991969473200876e-05,2.3954640055237602e-05,6.616551551105584e-05,1.4430618044209854e-05
BergnerCaroline,4.9776299758965275e-05,6.215963154516084e-05,3.6719861014471836e-05,0.0005081753447798949,4.384701606111652e-05,1.230927971568299e-05,4.851208539840912e-05,3.340847317996294e-05,5.096798588480109e-05,0.00010723430034408255,5.9955293346612156e-05,4.1798782061392875e-05,6.755278714968729e-05,4.765577741804076e-05,0.00028060789952756804,4.382340076074175e-05,9.62172841253933e-05,5.641596468927605e-05,9.517391235161036e-05,6.156313210848904e-05,0.00011175697536466897,4.0528003123861245e-05,5.2615201113442526e-05,0.0001053475714385102,5.12379466567585e-05,7.724639330791732e-05,4.1228344966732255e-05,0.4998584473266257,0.00010777438176252616,0.00028523761332406166,3.246845357620874e-05,0.00012740895591332516,3.112527237390072e-05,0.00023610295822059282,0.009733413013572322,6.818241179025137e-05,3.9169943914309335e-05,9.067873543395117e-05,6.298540307564893e-05,0.00010362496888491796,5.378880650376137e-05,0.00015610218624186308,3.670580844732881e-05,4.693085171159496e-05,8.426983878688014e-05,0.029355339006246695,5.050496586264804e-05,7.693466075435838e-05,7.804695275486185e-05,4.757807991314828e-05,6.439849030716775e-05,0.2067169400203008,5.69901997001521e-05,4.8329650573875314e-05,6.0408960719011535e-05,2.3380245793120167e-05,7.472948673476477e-06,8.008429554452004e-05,7.029654724160665e-05,3.0029491139882544e-05,0.00016405319853799428,0.0002836699665085397,0.00024700126801674763,3.0883324046148214e-05,4.840814732518968e-05,6.843147829948399e-05,0.0003958265771559927,9.985991017600316e-05,0.0008760288533969853,0.0973286011306277,7.779810287089032e-05,4.74071731043493e-05,5.419209414959405e-05,4.722831567176943e-05,0.0001591916377852173,1.6728846141132725e-05,3.6278543562485116e-05,0.000718843003309696,2.8234200194924956e-05,6.61608132174066e-05,4.448165641242286e-05,6.60173754760409e-05,0.05795468371505266,0.0005080869054079433,5.46783696465278e-05,0.0870622735028402,3.5171700181827305e-05,0.00017238513348901674,0.0020326348297283227,0.0003389924834262608,4.320131421107361e-05,8.042333431131679e-05,0.0002030169571108424,7.854143690353396e-05,4.091947545323739e-05,7.91570658948323e-05,3.289078062821617e-05,3.955315689746251e-05,0.00010925044209287008,2.3827387859463487e-05
BornträgerJohannFriedrichWilhelm,0.00013183709708335968,0.0001646354875386099,9.725592108884057e-05,0.0013459490277408575,0.00011613284517445251,3.260225675192822e-05,0.00012848870935277518,8.848540657625516e-05,0.000134993387129536,0.00028401988363111803,0.00015879709556303366,0.00011070790949264004,0.00017891975500048684,0.00012622069909713646,0.0007432157687798093,0.00011607029788461299,0.0002548403053212482,0.00014942285886672128,0.00025207683944491045,0.00016305560404940972,0.0002959986033964045,0.00010734213487761009,0.00013935618780108402,0.0002790227090098944,0.00013570840300403033,0.00020459416033714,0.00010919705450757904,0.5630324599081825,0.00028545033882246534,0.0007554779905643161,8.59956784052076e-05,0.00033745431001044185,8.243813974872415e-05,0.0006253403482244655,0.0004168873848110733,0.00018058737363156385,0.0001037451904538254,0.00024017095092828617,0.00016682261920490104,0.0002744602380911299,0.00014246458936026485,0.00041345096325257687,9.72187015753838e-05,0.00012430066684882322,0.00022319640011698481,0.07775030882612823,0.00013376703611695122,0.00020376850806634838,0.00020671451548685802,0.00012601491012637634,0.025533515371045968,0.2431533820101463,0.00015094377298135257,0.00012800551398088297,0.00015999867522460337,6.19247262128042e-05,1.979279023420448e-05,0.00021211060479950057,0.00018618685535474065,7.953586260817878e-05,0.0004345099488556045,0.0007513259341356308,0.0006542055216824705,8.179731740295871e-05,0.0001282134198291255,0.00018124704913410048,0.001048383008246601,0.0002644881346415892,0.002320242797322857,0.0041542297708072615,0.00020605541373620143,0.00012556224776189874,0.0001435327336934841,0.00012508852744083635,0.0004216336591345096,4.430788394237502e-05,9.608705132463769e-05,0.0019039216509452392,7.478086981543668e-05,0.00017523298432174541,0.00011781374837564156,0.00017485307630276013,0.0013205970261150387,0.0013457147879495828,0.00014482067896480708,0.002325869133230445,9.315547507372168e-05,0.0004565778430612669,0.056109519970098665,0.0008978526962512447,0.00011442264457892349,0.00021300858008150525,0.0005377090385142518,0.0002080242021254861,0.00010837898526109236,0.0002096547519953268,8.711425035262128e-05,0.00010476016520100856,0.0002893598200417356,6.310902300256186e-05
BrockhausFriedrichArnold,0.0001010220968563174,0.00012615434150219717,7.452376681105875e-05,0.0015151508163711112,8.898848497851253e-05,2.4981954337521033e-05,9.845634596286634e-05,6.780323225613058e-05,0.004949933825865405,0.00021763437475539113,0.00012168058857005482,8.483154895662156e-05,0.00013709986960452528,9.671845005355804e-05,0.0005694999134526069,8.894055720619308e-05,0.00019527509765160064,0.00011449744309401233,0.00019315755165282916,0.00012494373275550457,0.0006393580045762614,0.002902364214301707,0.00010678370969186923,0.004662295091393637,0.00010398854143322686,0.01002541729363122,8.367383430715403e-05,0.2935059809338041,0.003231936543153495,0.0035142831252423083,6.589544176312209e-05,0.0030240842348971207,6.316942592481731e-05,0.00047917615469454086,0.25802147970295414,0.00013837770668221472,0.0013095241527032776,0.00018403449107659063,0.0001278302630138023,0.0002103091570509834,0.00010916556768424707,0.0003168128256694708,0.0010420907664511075,9.524719736332542e-05,0.00017102749415320187,0.0034338305603830964,0.00010250094076513764,0.005477915946743904,0.00015839800987059105,9.656076125582195e-05,0.0036462029578530138,0.21957098362734115,0.00011566286569810136,0.005927010102926298,0.00012260131649593543,0.012365139475647002,1.5166513950411862e-05,0.003385135685690217,0.00014266839115189986,6.09455137719984e-05,0.0011342448624546396,0.001059512205660437,0.001597810518587022,6.267838646389323e-05,9.824540135367126e-05,0.00013888319264925526,0.006528028649501411,0.00020266788746277535,0.01778904904361511,0.011436247012741246,0.0007729069078870058,9.621390212254971e-05,0.0011427806619806143,9.58509070231741e-05,0.0003230829356325847,0.0009598951550600134,7.362810332070546e-05,0.0014589077102252599,0.0006493754663398105,0.00013427482784591197,9.027650155164176e-05,0.000510634475447873,0.0010119267158621085,0.0013336557910993915,0.003657329392685835,0.0033911329727995556,7.138174029759928e-05,0.016629158215203037,0.05765228956945238,0.00212042720977027,8.767801885002954e-05,0.012624215447601608,0.006314812593533387,0.00034366614186915327,8.304697682559477e-05,0.00016065100894224998,6.675256381838801e-05,8.027400321874864e-05,0.0002217261788470642,4.835820854157036e-05
CarlAugust,0.00026755861072636416,0.00033412175553467936,0.000197377367274628,0.15715111874256024,0.00023568740060265147,6.61650985653502e-05,0.00026076317917342307,0.00017957792591663898,0.00027396418699045927,0.0005764080608886309,0.0003222729506048088,0.00022467769023723085,0.0003631111586836811,0.0002561603345527764,0.0015083294684417894,0.00023556046314464918,0.0005171891641828467,0.00030324827695396567,0.0005115808103354077,0.00033091543924865973,0.0006007184385409389,0.0002178469726324124,0.00028281833284454587,0.0005662664760935237,0.00027541528579541884,0.00041521643386853283,0.0002216114647987542,0.11319021317983592,0.0005793111178594713,0.0015332152031679311,0.00017452511282177406,0.000684851292750542,0.00016730521704439512,0.001269105574254919,0.0008460578393869731,0.00036649553026059953,0.00021054710427836887,0.00048741824106283965,0.00033856045998930246,0.0005570071067088036,0.00028912672115977264,0.0008390837463706495,0.00019730183162091058,0.0002522636986871998,0.00045296900535261934,0.15779143407497198,0.00027147535205363887,0.0004135408025067743,0.00041951961780276585,0.0002557426932944545,0.00034615611612146094,0.03021228495482705,0.0003063349170313603,0.00025978255167727056,0.0003247115129824632,0.00012567398768369582,4.0168750485408836e-05,0.00043047078550735476,0.0003778594754913837,0.00016141515076679652,0.0008818221944698967,0.0015247887551173185,0.001327686397707942,0.00016600469131720168,0.0002602044890617268,0.00036783431778621785,0.002127655321614266,0.0005367690841491012,0.21060160062872704,0.008430858769686798,0.00041818199468579537,0.0002548240314303272,0.00029129448137426434,0.00025386263320645585,0.0008556902311204003,8.992124473395395e-05,0.000195005188448266,0.003863939992069583,0.000151765065215872,0.00035562899120052544,0.0002390987327331768,0.00035485798164394184,0.0026801038057846123,0.002731079393154812,0.00029390831962700494,0.0047202671159013035,0.00018905566068797605,0.0009266081860151297,0.1138722373584305,0.0018221595086700714,0.00023221661047205703,0.0004322931937993689,0.0010912610069752603,0.0004221775793725405,0.0002199512229100122,0.00042548672124190966,0.1545963591822897,0.00021260695874487733,0.000587245268313553,0.00012807747509934256
