year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,9.860058205257915e-05,0.00012313040302725233,7.273742095031123e-05,0.0033731281684004507,8.685541765519023e-05,2.4383133147532662e-05,9.609633259262172e-05,6.617797861599828e-05,0.00010096116221222088,0.00021241764617152447,0.00011876388662345943,8.279812401282265e-05,0.00013381356518035433,9.440009430875088e-05,0.0005558489151654247,8.680863871875714e-05,0.00019059432429131959,0.00011175292222115152,0.0001885275361875353,0.00012194881275367474,0.0013674222118044118,8.028087095248022e-05,0.00010422408816486091,0.00020868027378414945,0.00010149592050834293,0.00015301537837294297,8.166815995703142e-05,0.29485784728259573,0.00021348747945507888,0.0024934163451769895,6.431591814706387e-05,0.00025238109848658627,6.165524531700281e-05,0.0004676902304433195,0.00031178886445564505,0.00013506077231175792,7.759072666348924e-05,0.0001796231567407548,0.00012476615244902224,0.010120475117085458,0.00010654885266414735,0.00030921877475144333,7.27095845842827e-05,9.29641077660276e-05,0.0001669279394832243,0.001242600095086038,0.00010004397785124261,0.010333741204895058,0.00015460118583188737,9.424618533513231e-05,0.00012756530032046942,0.14248155375080732,0.0001128904094707366,9.573495217718709e-05,0.00011966254456294973,4.63133229046179e-05,1.4802970337728189e-05,0.00015863690535852296,0.00013924860843157868,5.948464067182676e-05,0.0003249687289284721,0.0005619144842830533,0.060155947641624664,6.117597614555845e-05,9.589044435732729e-05,0.00013555414170440174,0.042041728379996805,0.00019780990782262316,0.004092221560093703,0.15991482066474633,0.00015410824554660854,9.390764046727494e-05,0.00010734771470906168,9.35533464148403e-05,0.0062076353641914465,3.3137737730025626e-05,7.186322664807174e-05,0.0014239374737370688,5.5928395370674965e-05,0.0001310562400961374,8.811256027800215e-05,0.00013077210799199447,0.0009876706808062976,0.0010064561819401563,0.00010831096523727998,0.0017395107703990515,6.967070928333435e-05,0.0003414732429195321,0.1283381458712735,0.050367934207367675,8.557636359623137e-05,0.00015930849846420634,0.06639587490786138,0.0001555806966655761,8.105632834326418e-05,0.0001568001801780991,6.5152494858192e-05,7.834982332941211e-05,0.000216411369105804,4.7199055034469576e-05
1799,1.5731189481094696e-05,1.964478972215759e-05,1.1604862035452485e-05,0.00016060258952682206,1.3857312037618705e-05,3.89019699175867e-06,1.5331650026636795e-05,1.055833849468509e-05,1.6107807275874393e-05,3.389008636146254e-05,1.8948135650848507e-05,1.3209992785137108e-05,2.1349230452518483e-05,1.5061024384341599e-05,8.868268751867375e-05,1.3849848711364087e-05,3.0408293409963e-05,1.782957420666654e-05,3.007854854841071e-05,1.9456273385887324e-05,3.531942237186867e-05,1.2808378676581486e-05,1.6628389460636654e-05,3.3293808814583005e-05,1.6193125069215593e-05,2.4412775874107545e-05,1.3029713132639736e-05,0.25784473091939497,3.406077247453033e-05,9.014585182233944e-05,1.026125681978744e-05,4.0266038993787654e-05,9.83676086281052e-06,7.461744627062529e-05,4.974422668449965e-05,2.1548215603496798e-05,1.2379180707759813e-05,2.8657902976418322e-05,1.9905764693722484e-05,3.2749401389716184e-05,1.699929306055349e-05,4.933418277523908e-05,1.160042089383502e-05,1.483192049950007e-05,2.663244973847112e-05,0.00019825012325587425,1.5961475472640703e-05,2.431425662114564e-05,0.012130192437528312,1.5036469040180008e-05,2.035235359446403e-05,0.004802722099842513,1.8011054144036582e-05,1.5273993736261882e-05,1.909151166375352e-05,7.3890401349066895e-06,2.3617338398839126e-06,2.530966009469043e-05,2.2216362202079173e-05,9.490452633680593e-06,5.184700276392105e-05,8.965041625935409e-05,7.806172351214729e-05,0.38436023158128063,1.5298801672459558e-05,2.162693002118365e-05,0.00012509613846442146,3.155950072927754e-05,0.00027685818251711226,0.0004956948925479802,2.458713691973945e-05,1.498245603789087e-05,1.7126747178330415e-05,1.4925930338398527e-05,5.0310566071235524e-05,5.286946794369539e-06,1.146538906353342e-05,0.00022718152106489722,8.923072933590796e-06,2.0909314151236803e-05,1.405788234250462e-05,2.0863982411049388e-05,0.00015757751426254642,0.00016057463934722864,1.7280428589349727e-05,0.00027752953343581916,1.1115584778535568e-05,5.4480208689097965e-05,0.3365707539925987,0.00010713441969910332,1.3653245881626682e-05,2.5416809141681532e-05,6.416102112151709e-05,2.482205853046357e-05,1.2932098708400695e-05,2.501662052802197e-05,1.0394728108539163e-05,1.2500290474431696e-05,3.452726325135802e-05,7.530353904806749e-06
1800,0.0077145326364895395,6.378407886647751e-05,3.7679478669553053e-05,0.008504006721883436,0.001722509666951697,0.00025630550352901646,0.000892851318803584,3.428155275616734e-05,5.2299956588059166e-05,0.0010301327601455682,6.152213364560748e-05,4.2891129584472994e-05,0.0012628712137868927,0.0036803382863079344,0.0008910895043071893,4.4968658610686564e-05,0.004161247703197784,5.7890310023070505e-05,9.766113763167777e-05,6.3171990825305e-05,0.03078827530135316,4.158714077439636e-05,5.3990219278522406e-05,0.00010810066980760483,5.257697237372831e-05,0.006352007894026029,0.0004827534532810713,0.28401444102236206,0.00011059090112418773,0.05392384185139174,0.0033113155218741676,0.0010595787357808534,3.193868397361879e-05,0.005133662398439502,0.004140741536220822,6.996425530251728e-05,4.019359075528997e-05,0.007129988390149213,0.0024517375054909406,0.00022696271857944395,0.0016186434976408644,0.0019696267129889,3.7665058859965275e-05,4.815731806049248e-05,0.0007013204618332093,0.01120297267301171,5.1824836242657644e-05,0.0018082009917814367,8.008659102471634e-05,4.8821460585573145e-05,0.00028742642606132464,0.13312951975582568,0.003236808749389527,0.0025828157197253215,0.000676836016049476,0.001904800705524276,7.668242808161721e-06,0.004453930799962874,0.00035925609170590894,3.081426616557174e-05,0.01867903452075461,0.003587366862322995,0.00025345627005291817,3.1690412694729915e-05,4.967322054550268e-05,0.034958862112654726,0.016866550146461826,0.001882352941961275,0.01697494751394773,0.01833927360465217,0.003160768472627671,4.864608738756227e-05,0.007818602789627734,4.846255578832423e-05,0.0008240233712853006,0.002714631030671113,3.722662805794313e-05,0.011343146060852977,2.897205802541809e-05,0.0011919850838913253,0.0022478824582521932,6.774263906088851e-05,0.0028799650467244415,0.000763636802883515,0.000900514988021079,0.004465778374578869,0.008441496641020755,0.0003174020637859305,0.229321293530471,0.0014667844312432118,0.013257760363660361,8.252507569468481e-05,0.0012939895164372397,0.0004455204505698484,4.198884363701436e-05,8.122571528125482e-05,3.375033109785983e-05,4.0586818426247794e-05,0.0005525532043398362,2.445008035972642e-05
1801,5.048757825905306e-05,0.007132943917218545,0.00018390980339465192,0.041670291728480066,0.000332305604645614,1.2485173184175591e-05,4.9205298905748935e-05,3.3885863600880815e-05,0.0045362337516268855,0.0018145281352021651,0.0004973288756464382,0.002496770535803811,0.00034448961870584785,0.0035458163267071043,0.0004381272971102743,0.012824349961739912,9.75921811319331e-05,5.722212069001346e-05,0.0002281042652584702,0.0059657286803993965,0.000239612592731076,4.110712807716395e-05,5.3367046098124123e-05,0.00021863163358440115,0.000535471023324169,0.0001149289939848492,0.009332955160275226,0.33048640776714855,0.0020780683524661016,0.049016894850750614,0.0006149625072650903,0.0023161424608142646,3.157003699393345e-05,0.0015833644595207056,0.0015292787657735212,6.915670445212811e-05,0.0005690754799470609,9.197448934176749e-05,6.388543307474507e-05,0.004305513278794262,5.455742172419296e-05,0.00015833280863501392,0.002942874727379312,4.760147017811229e-05,0.0021929776163102928,0.006409524946767491,0.0013608640311795145,0.007450232330504576,0.0006548262779707001,0.006362215064860087,6.531871261809493e-05,0.19804110378833997,0.012077653048046016,4.902025717855288e-05,0.00322362300010223,2.3714337845762525e-05,0.0001070814010856286,0.009157732331288304,0.00010446827241221998,3.0458597592547846e-05,0.0012851212153973638,0.003989293205756254,0.0004761708789842935,0.009489725662835702,0.00235356353469025,6.940932999756806e-05,0.04535223452239971,0.0003909268328572286,0.010228807922206961,0.02697392608872369,0.0018615163519198035,0.0007328995803938158,5.4966472149364834e-05,4.7903184749932216e-05,0.00119256297049459,0.00046517243233396027,0.0018609941870680123,0.03832254955286031,2.8637652835299377e-05,0.0006979716052506903,4.511727709953007e-05,0.0013551490421785082,0.001298043302961605,0.02375428018267908,5.545969628064391e-05,0.004480152271223017,3.567428623727955e-05,0.00017484843107801466,0.07406673689490695,0.0012391655827249032,0.0005193428865585735,8.15725436514648e-05,0.0004969330160229457,0.0005401927067815383,0.00039327631099706086,0.006073509357455784,3.336077348074313e-05,4.0118351784346334e-05,0.0033001907084966586,2.416786934924389e-05
1802,0.00015476272556439678,0.0035942157185809122,0.001147190820825759,0.021132170518904234,6.564301230641952e-05,8.711294668681125e-06,3.4332071466321084e-05,2.364322373230262e-05,0.0012644600230498045,0.0036940539240710867,0.0002321534741928154,0.0017430428975071322,0.0001756569272831712,0.0002865201569593323,0.0035303832082385065,0.000876711844194088,0.00020584618897350355,0.0013577066566713564,0.0001449260122950369,0.0002595117921444199,0.00022689530961019354,0.000127307223299984,0.00518482584524894,0.00021734311203432685,0.002025103185982121,0.0008365971588355017,0.0008208911298660413,0.36804684683467814,0.0009197112002827156,0.08017277176541888,2.2977970528883544e-05,0.0007734328708165505,2.2027399291816704e-05,0.0062467800215397625,0.00011139194689429997,4.8252789281365476e-05,2.7720624721730817e-05,0.00022291960928953248,0.002003230896758675,0.003967486241834049,0.002239460713668173,0.001307032968089325,2.5976752565745422e-05,0.00013000565392205324,0.0010350334435572685,0.002362878403974446,0.0032298535113101587,5.4446768255038105e-05,0.009717884668392294,0.002224553238601561,4.5574902694687555e-05,0.14464745282512684,0.00011790334483324349,3.420296208290863e-05,0.001617001732383124,1.6546233023737995e-05,5.288616348172023e-06,0.00277136243621476,0.0001060699684367812,2.125191336230441e-05,0.0016920550163471969,0.0030796894499086317,0.0026781898472549694,2.1856172117982853e-05,0.0004468660141868778,0.00021695845124372533,0.05066866134292096,0.04682292194029611,0.0119389770742888,0.03277322430889275,0.004185672977414166,0.0005307247374076338,0.0005850965613177498,0.006158507691561826,0.00011266014726841678,0.0022644488062391784,2.56743766022915e-05,0.024810431774733327,0.0013827845346747838,0.0010159697773846012,0.0007443567299734957,0.00012791996474360563,0.00853924256666912,0.04586838175928683,0.0006882909573495397,0.006253716626866318,0.001019240289845823,0.0006283669693088656,0.04861167192652494,0.0013401455156930064,0.0006655581909441363,0.005407291158713614,0.001677626706118242,0.00034366640524654467,0.00015680849491754662,0.0019591682963392082,2.327685198105371e-05,0.0001241885364113317,0.000726911690222724,1.6862676096659373e-05
1803,5.155455763998652e-05,0.003878356494434252,3.8031677733576774e-05,0.005203016398299429,0.0028587503955487693,1.2749028627717497e-05,0.004687592439202188,3.460199059714412e-05,0.004169679232509324,0.007240391561009185,0.0001732237198729488,4.329204319124164e-05,0.002398696566437251,4.93582796566601e-05,0.001639699621581552,4.5388991376221485e-05,0.0003701417990924368,5.843142454285934e-05,9.857399955227443e-05,0.0007889753796354154,0.0007088916150503085,0.0002248793044059599,0.0007279361370088484,0.0018448938916854655,0.00015833860770784366,0.0003041366958046405,0.00352438441890278,0.32604406817861875,0.0020064879658742616,0.02617220282015544,3.362838880112604e-05,0.0016402007290472784,0.0006048853203561395,0.11428481797162927,0.0012229615952086786,0.0004831354716717143,4.056928982395052e-05,0.00018935918168325874,0.0025136866635654346,0.011651796837618987,5.571041115374971e-05,0.0014488155878600345,3.801712313859335e-05,0.000986429098458728,0.0003689343992259842,0.002347150511058045,0.0006132116307291545,0.006409324099630959,0.0011965548570406822,9.845728883066041e-05,6.669912581983391e-05,0.1078087306402979,0.000358276592063137,0.0012893085572078633,0.0027460264752390564,2.421550487310716e-05,7.739919700600353e-06,0.0002616646324802101,0.0010927434617647527,0.00011966554006905998,0.001244672772528459,0.009881898090245297,0.0005153174175538584,3.1986630532229566e-05,0.004453008805696902,0.0009087552466908127,0.02671854623920445,0.006222761645863379,0.008766355006919446,0.019068810664216663,0.0004776339379244469,0.0014540957875256069,0.0017430344616879197,4.891554684317761e-05,0.0005217148495918879,1.732648402572666e-05,0.0030041215191609553,0.034410140622266466,2.9242866754192727e-05,0.0016905989800226231,0.00010947681278960046,0.0010294001916148067,0.0025721685177650805,0.044763243110149294,0.000981794255444615,0.012665906564295724,0.00047669734295992835,0.0009895992305724766,0.1350768428344021,0.0007012477325652847,0.004730567450130807,0.002926889308317142,0.0021572732689989086,0.0002918877007561937,0.005283524053307014,0.002483570195734633,0.0006502689480838047,0.0002979174577582818,0.0037920154230308175,0.0012513298842664106
1804,0.0030280619159815943,5.650888580586563e-05,0.0001446418207974464,0.0107279524726195,0.00916461587096832,1.1190280001911298e-05,0.007517567721696508,0.0009614120502176218,0.00042096226310901893,0.0011095301625990643,5.450493738399e-05,0.003920206998092955,0.0010912815259069089,4.3323533572577375e-05,0.004322950684933979,0.0011827023989267839,0.000849885825471746,5.128735848342134e-05,0.001002724223444772,0.0035069837900823667,0.0013104578905379259,3.684372386927917e-05,0.00013917339627137618,9.577073956783282e-05,0.0003725132620399287,0.0014444306379706162,3.748039973495116e-05,0.34611594800888235,0.0023298062398569787,0.007684326723819705,2.9516843807190583e-05,0.004324584949756344,0.0017587166966647712,0.0909608711442601,0.0039398262047160935,0.0004273492945257448,0.0027644311436746337,0.01529391967956813,0.00043369815473331253,0.004683184902981029,0.0018079246057818505,0.003841134690800816,0.0018966470222869113,4.2664508688661814e-05,0.00033921582034714896,0.007230544239138201,4.591371083800614e-05,0.0028981753681299317,0.0017488359401357863,4.325289931490517e-05,5.8544216630273657e-05,0.08747041127161759,5.1809391511106654e-05,4.393614694019406e-05,0.0001230746203844706,0.00289833109719422,6.793605314661051e-06,0.0007957347782592725,6.390609889211674e-05,2.7299600133552964e-05,0.001196971592346783,0.0016362262382367773,0.0009131904413603554,2.8075813650237065e-05,4.400750778719222e-05,0.0009865858343374508,0.025726768284052317,0.009465510457268327,0.011231305354461861,0.03525511527833387,0.005399723295071542,0.0019098853006123545,4.9265653346983716e-05,0.005743342676020016,0.005823348262922421,0.0006104495793671736,3.298056993607119e-05,0.028176903910521897,0.0007896234850608285,6.014633204846744e-05,4.0437962391059896e-05,0.005133512314847931,0.002263142892913418,0.09332098576684968,4.9707722996422615e-05,0.008953083606228365,0.0005563600841648976,0.004335666856183293,0.0835167186600539,0.001230688655175036,0.005927865392602887,0.000491437291647293,0.005275187240392633,0.005949366498063364,0.0015376396421926024,0.00014011839152856275,2.990077837310377e-05,0.0008933191124151574,0.0004684795630956056,2.1661311467463374e-05
1805,0.001129952616729492,0.006087590892102478,0.00019480050286345033,0.01000503626052554,5.5341872523487154e-05,1.5536258794252994e-05,0.0033680245960826176,0.0005685633848634145,6.432966324741343e-05,0.009333080927006345,0.0008937887068275179,5.275667710784061e-05,0.0007055777623217861,0.00186936335709046,0.0016335113448587568,5.5312066277581515e-05,0.0003986267832288748,0.0006848754253352869,0.00012012453749606959,0.00036588547376012015,0.011733637761435923,0.00040101464067502225,0.00017168803056318848,0.001284943664916437,6.467039645961617e-05,0.0023795041627468943,0.0003356151490740931,0.29916498480779413,0.001974426718967105,0.007986277486457182,0.0003260687211811347,0.001619258187791887,3.92850189297777e-05,0.018540094926971125,0.0009192879263930328,8.605699271258263e-05,4.943866738471619e-05,0.005288577361383783,7.949754535164729e-05,0.00013079110811750456,0.0008689305401020359,0.0005699539660228415,4.632853850606776e-05,0.005724521352897644,0.0006634391765351277,0.0082430647305867,0.0006496544037989266,0.00023210962844054115,9.85076043529563e-05,6.0051065500001756e-05,0.004416843341024243,0.12711912859923938,0.0016774250495100963,0.003457770716909256,0.001103857673756044,2.9509569829042206e-05,9.43204372871449e-06,0.00010107905333809937,0.0053122076595386244,0.004678504939750742,0.0007458356132498094,0.012568355563109918,0.0016474281660857214,0.0035107370155455504,0.00014585109090280529,0.00027175967681029737,0.017664897445358638,0.0008281416503563699,0.051334378539343965,0.028727327920881406,0.00015083317694470838,0.004568713928006184,0.00027466844798483883,0.0001971225743024865,0.0008960240769746307,2.1114450965537894e-05,0.0003343594866314942,0.03749665820083926,3.563602836307497e-05,0.0018036009103803781,0.002159280808309429,8.332437429351512e-05,0.003368435887555245,0.06603755641907087,0.00426953571115509,0.03173624607130597,4.4392251121122944e-05,0.042869284928296246,0.07545506335213716,0.0023062995804891584,0.0035740787141271867,0.002660865796320448,0.039812335547077124,9.913172159465306e-05,0.0011142523839631007,0.002494786418895737,4.151336971682558e-05,4.9922342808226115e-05,0.0033306583871378203,3.007393387153413e-05
1806,0.004046867439925749,0.00010843351290771799,0.0005323177522665373,0.011316489125887556,7.648832311005125e-05,0.00031446063275732437,0.003814783613054613,5.827895078745335e-05,8.891040081704309e-05,0.0001870633979234938,0.00010458818550529206,0.003686558681509048,0.00011784152890330634,8.313246438779364e-05,0.002954130865886021,7.644712772464829e-05,0.00016784491575656116,9.841405238851063e-05,0.0005799226419805644,0.00010739295768308147,0.01847100014092064,7.069851671598853e-05,0.00029873277360020203,0.0001837721196766608,8.938133016657366e-05,0.00013475140662220987,7.192021839553591e-05,0.28680087888045674,0.0005469288477742888,0.0025570767416072337,5.663914653985038e-05,0.0017428483228336838,5.429605259579998e-05,0.018634009395551814,0.0002745736311035313,0.0020473747351053904,6.832946903716818e-05,0.027513864116857887,0.00010987401867784875,0.0016781054527523413,9.383114248479514e-05,0.0011001059517317413,6.403094186891954e-05,8.186787772611242e-05,0.00014700335932959455,0.0029728762540728107,0.0005600111076645194,0.0016129845778711542,0.00013614793152053696,8.299692604578249e-05,0.0014600078237427135,0.13959925256773126,0.0013564935366675505,0.0007330035284476594,0.00010537957930313238,4.078534767620065e-05,1.3036082362479979e-05,0.00013970194608253357,0.000122627843396285,0.006674749679970662,0.0010735325075167583,0.018520635779106506,0.0009893568751361437,5.387398916864965e-05,8.444492570730676e-05,0.0012456885171129822,0.0024292905786002755,0.00017419924458796405,0.03275762853395824,0.02095430165549517,0.00013571382876871954,0.0006529206118695182,9.453465206268168e-05,8.238678463343096e-05,0.0010239529351222612,2.918240518619936e-05,6.328560552676232e-05,0.04037643406943135,4.92527615619985e-05,0.00011541331915364737,7.759541272777423e-05,0.00011516310116178989,0.005378640494526699,0.09777021426016398,0.0072658758693243475,0.06327050242411933,0.0005296170844302454,0.030949567159214764,0.08475047059664177,0.0011022618541686965,7.53619374132458e-05,0.006293038843642616,0.029008119978808783,0.00013701052758143453,7.138141522785605e-05,0.002422750112432381,5.737586914754242e-05,6.899795964630177e-05,0.002686144267569963,4.156535849378724e-05
1807,0.00014598056859923183,0.00018229756733267383,0.00018623995134971888,0.003932119298368358,0.00012859156600583958,3.609982382466563e-05,0.0012855534286868944,0.0025456069813684537,0.00014947546514806561,0.0003144895103367037,0.004126893827031937,0.0001225846437285347,0.00019811424967959945,0.0013710928729698312,0.0008229478873445692,0.0001285223086485622,0.0020344042121918766,0.00016545292927145253,0.00027911961934051045,0.000180548194089662,0.006219035112800057,0.004344388955501838,0.00015430630666997047,0.00030895623928679084,0.00015026718785908806,0.003042104014150566,0.0001209117043611672,0.3045818617566709,0.010874427217067467,0.001470771309696144,9.522128678797641e-05,0.000373656377009256,9.12820957152328e-05,0.0022265502931719527,0.000461611024688199,0.00019996077028235025,0.0001148749648386833,0.0002659364682109241,0.0006646403932088862,0.0028141712148489696,0.0001577481772593771,0.00045780594414445195,0.00010764831484024583,0.00013763563082992968,0.00042555817769241794,0.004111860938967177,0.0007429417466435632,0.0011588487897410938,0.00022889082948637709,0.00013953377796689515,0.0001888635410324821,0.16066697684186007,0.0006470580658390134,0.00014173793361781147,0.00017716331822478722,0.00036598010274801324,2.1916158930043555e-05,0.003413610430763626,0.00020616096388410645,8.806846255292589e-05,0.0004811241357647453,0.02764454876478423,0.004944157705225285,9.057252600780228e-05,0.0015497486492447223,0.00020069121571145737,0.0018736495745288893,0.00345438334591908,0.040880298912858035,0.05578277159238525,0.0008565644120817873,0.00013903255402604846,0.00015893091201733974,0.00013850801303299265,0.0009129846253777157,4.9061229611624016e-05,0.00010639526125582923,0.19267012953760065,8.280335457553433e-05,0.0013537443380004118,0.00013045279634614886,0.00019361129806933178,0.009597793596116832,0.034126735565307764,0.00016035702793760717,0.025302930513568373,0.0006802911273983391,0.0084297710881474,0.033926931830679956,0.006063011267637267,0.00012669789524944985,0.00023586012074546748,0.011060582703006305,0.0009342312720151132,0.0003311689667868308,0.00023214649429406848,9.645985902989518e-05,0.0041135065047356294,0.0003204023146289038,6.987935312191269e-05
