receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
AbekenBernhardRudolf,0.4339739657211182,0.0007858270306987153,0.0003010512795777844,0.0002846085322102764,0.13530025436744567,0.0002085533074563857,0.0004538159949703316,0.12010587848176885,0.00019099320976105703,0.00024237316256479473,0.00022623972118951212,0.2970706960988273,0.0005518727961410603,0.00020003388215684054,0.00028250579859172796,0.008243527544852162,0.0004783806028541326,0.0003107509776509783,0.0004934387536267778,0.00029523273653748246
AbekenBernhardRudolfANDTruchsessvonWetzhausenChristianFreiherrANDVoßHeinrichANDVoßAbrahamSophus,0.6011800926638187,0.0019637623851176907,0.0007523197290639717,0.0007112297085799537,0.003857441904819161,0.0005211695760969001,0.0011340749883534814,0.0010717614803677734,0.0004772873246777588,0.0006056845606132413,0.0005653674881817782,0.377623918957649,0.0013791165181324034,0.0004998797422117113,0.0007059750290834287,0.003008026950352993,0.0011954613381262582,0.0007765590355258534,0.0012330912858393814,0.0007377793333886362
AbekenMinonaLaura,0.0001978691132214476,0.0002510941558153105,9.619447276519652e-05,9.094054587258525e-05,0.003687865278928723,0.230080576894073,0.00014500715768359597,0.000137039514651965,6.102777952136374e-05,7.744514030318105e-05,7.229004549953139e-05,0.6616549377372027,0.000176339103200947,0.0032585545623132705,9.026866249083847e-05,0.09941839674093314,0.0001528562507264159,9.92938030302632e-05,0.000157667759504671,9.433528226180976e-05
AhlefeldtJohannGeorgJacobvon,0.0017684154372497125,0.05934697440966578,0.0008597187698804103,0.0008127628540640951,0.032959554847026354,0.0005955702735838025,0.0012959723323386222,0.001224763123856133,0.0005454235158261853,0.0006921503787144394,0.0006460777548327263,0.6313924916175001,0.0015759952991871169,0.000571241163111709,0.0864610643062133,0.003437444386500594,0.17267473457383362,0.0008874184113082524,0.0014091239169429547,0.0008431026283641867
ArnimLudwigAchimvon,0.5466419606610868,0.0004050963730290202,0.00015519290720283622,0.00014671661781471543,0.000795735643301237,0.00010750990374900844,0.0002339436115115275,0.0826848980560387,0.005252445669085964,0.00012494414831629185,0.00011662730716641152,0.3613678101818971,0.000284492209298716,0.00010311811248411798,0.000145632651841233,0.0006205133659735077,0.00024660674623439385,0.00016019313289554837,0.0002543692716047656,0.00015219342946809378
BarthKarl,0.2809715943747092,0.000565358047148014,0.00021658934710119696,0.0002047597215242084,0.5909345981740289,0.0001500422943264814,0.00032649490874961715,0.00030855513994014846,0.0001374087984642531,0.00017437376485622143,0.05051360093904172,0.0727512863803397,0.0003970412242284477,0.00014391305027910923,0.0002032469237636148,0.0008659969532506572,0.00034416775302654936,0.00022356773057027963,0.0003550012397633361,0.00021240323488819904
BentzelSternauChristianErnstGrafvon,0.0007200027394576299,0.000913677112640076,0.00035003079957259616,0.0003309129004017608,0.1877882530356302,0.00024248387538777002,0.43063763258378784,0.0004986570382661613,0.00022206683864409887,0.0002818060498081152,0.00026304777914948254,0.3733146787490361,0.0006416597078296375,0.0002325783826966873,0.00032846806266241985,0.0013995406977801658,0.0005562107065344264,0.00036130858944591766,0.0005737187422498892,0.0003432656090190107
BergnerCaroline,0.3898589430512561,0.0014548697727574766,0.0005573623578693153,0.0005269204728341253,0.0028578180690394892,0.00038611283548888503,0.0008401889317667549,0.000794023448666591,0.00035360230283275286,0.0004487264679984626,0.0004188572279869763,0.3908265403425421,0.0010217299967384416,0.0003703400841512873,0.0005230274996195658,0.20583981339848603,0.0008856675219572776,0.0005753202506119668,0.0009135459831668225,0.0005465899842296649
BertuchFriedrichJohannJustin,0.17236786653302408,0.11272741816345398,0.0006368610570871429,0.0006020771309580983,0.5107512704416414,0.00044118556822601504,0.011372707392504932,0.0009072780135402528,0.0004040379354490182,0.009515775422500782,0.00047860041715791984,0.11966176898299467,0.0011674632070023223,0.0004231630897643633,0.021420330169981388,0.007752723971206121,0.0010119936273014585,0.0006573803519294832,0.0010438484987781518,0.026656250025498554
BodeAugustTheodorHeinrich,0.0007121200305105595,0.0015037905231492694,0.003897414665177639,0.0003272900112962792,0.12322253029001107,0.00023982912185797187,0.0005218727666622957,0.5016744223855386,0.00021963561420577793,0.0014433625591022494,0.00026016788860382914,0.3270133961957033,0.0006346347113363003,0.0008733906663240017,0.0008461551183439541,0.02440300023241484,0.002113970754723316,0.00449740440101445,0.0009755436847071,0.0046200683793170836
