,segmentID,idno,filename,id,corpus,sender,receiver,date,year,month,year_range,sender_norm,receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,ub0505,ub0505,OsmundEmanuel_SchwendlerAuguste_1808-07-17.xml,JP-UB0505,letters-context,Osmund Emanuel,Schwendler Auguste Sophie Henriette,1808-07-17,1808,7,1804,OsmundEmanuel,SchwendlerAugusteSophieHenriette,0.00029212604867077854,0.0098035771288132,0.00014201767408446517,0.0001342609864531521,0.0007281809928339431,9.83827595388964e-05,0.13699072321825792,0.0002023196610894829,9.009897401609742e-05,0.0001143369091678432,0.00010672613328172475,0.6844218751059511,0.00026034000256821085,9.436381310799394e-05,0.00013326904468780152,0.0005678343589420791,0.00022567085793406992,0.00014659340138782856,0.16530803008966452,0.00013927283954895696
1,ub0625,ub0625,EndeHenriette_RichterCaroline_1820-02-07.xml,JP-UB0625,letters-context,Ende Henriette Freifrau von,Richter Caroline,1820-02-07,1820,2,1819,EndeHenrietteFreifrauvon,RichterCaroline,0.00015561323637495637,0.00019747182157494366,0.3216638885584104,7.151976592274048e-05,0.05817328256929283,5.2407718123762815e-05,0.00011404019928781941,0.00010777408378223847,4.799501107314469e-05,6.0906367486485885e-05,5.6852167348044605e-05,0.6057772990027247,0.00013868106093873378,5.026685713661021e-05,7.099136638732056e-05,0.0003024808733145833,0.005145029282746717,7.808914584978227e-05,0.007661221371784502,7.418954043967506e-05
2,ub0793,ub0793,RichterCaroline_RichterMax_1821-08-19.xml,JP-UB0793,letters-context,Richter Caroline,Richter Max,1821-08-19,1821,8,1819,RichterCaroline,RichterMax,0.027676984262768132,0.023187353112447896,0.10514855784188527,0.050352659994092434,0.01440200567153504,9.523845700997885e-05,0.00020724070816504004,0.00019585354624380308,8.721942039126045e-05,0.00011068271371398491,0.00010331517741555342,0.5118797548628268,0.0002520195637810676,9.1347955679473e-05,0.00012900978019672355,0.2653602335714229,0.00021845844132133447,0.0001419082918740611,0.0002253349328164898,0.00013482169441279943
3,ub0751,ub0751,MayerJohann+MayerJulie_RichterCaroline_1810-03-19.xml,JP-UB0751,letters-context,Mayer Johann Siegfried Wilhelm + Mayer Julie Henriette,Richter Caroline,1810-03-19,1810,3,1809,MayerJohannSiegfriedWilhelmANDMayerJulieHenriette,RichterCaroline,0.0003259468074396064,0.27932501429749024,0.00015845970490635113,0.0001498049903362647,0.006074964881400686,0.0001097729782219503,0.00023886810494755143,0.00022574312668946402,0.00010053014124470524,0.07380228118418046,0.01064404044107549,0.6268360467336968,0.00029048074648611616,0.00010528874011862468,0.0001486982069697926,0.0006335751203764532,0.00025179779759614755,0.00016356518493126454,0.00025972372347566935,0.00015539708841641548
4,ub1156,ub1156,RichterCaroline_FalkensteinKonstantin_1826-02-17.xml,JP-UB1156,letters-context,Richter Caroline,Falkenstein Konstantin Karl von,1826-02-17,1826,2,1824,RichterCaroline,FalkensteinKonstantinKarlvon,0.00022769228496144516,0.000288939497161784,0.00011069306850360412,0.00010464726074855432,0.0520335181638168,7.668263553405093e-05,0.00016686288492025105,0.00015769434508048922,7.02259910054341e-05,8.911780453099858e-05,8.318572500668081e-05,0.6510965231078619,0.0002029172349447999,0.0037496894885979013,0.00010387410995242008,0.00044258806517062405,0.2905909034251055,0.0001142595351360866,0.0001814317143383188,0.00010855365762232632
5,ub0611,ub0611,MayerJohann_RichterCaroline_1818-11-10.xml,JP-UB0611,letters-context,Mayer Johann Siegfried Wilhelm,Richter Caroline,1818-11-10,1818,11,1814,MayerJohannSiegfriedWilhelm,RichterCaroline,0.0004520204635417217,0.9274151009896074,0.00021975066983199342,0.00020774837988007656,0.0011267489202718105,0.0001522323010003255,0.00033126040525410224,0.00031305878885295085,0.0001394144075295665,0.00017691891194619798,0.00016514239814467626,0.06651519449425862,0.00040283640974433634,0.00014601359494206085,0.00020621350143078943,0.0008786369832879269,0.00034919120111119416,0.00022683090929067246,0.00036018281265113087,0.00021550345742238038
6,ub0837,ub0837,SpazierJohann_BodeAugust_1803-10-16.xml,JP-UB0837,letters-context,Spazier Johann Karl Gottlieb,Bode August Theodor Heinrich,1803-10-16,1803,10,1799,SpazierJohannKarlGottlieb,BodeAugustTheodorHeinrich,0.0007371406614789237,0.0009354249842118726,0.0003583624353003228,0.00033878948082588186,0.0018374664675621774,0.00024825561696606885,0.0005402089815525504,0.4170556572852445,0.0002273526020942,0.00028851376054596367,0.00026930899466976545,0.5726211621274921,0.0006569328636585642,0.0002381143480035652,0.0003362864496433283,0.0014328533756767126,0.0005694499557672505,0.0003699086656570335,0.0005873747278843884,0.000351436215764745
7,ub0430,ub0430,RichterCaroline_RichterOdilie_1822-11-17.xml,JP-UB0430,letters-context,Richter Caroline,Richter Odilie Minna,1822-11-17,1822,11,1819,RichterCaroline,RichterOdilieMinna,0.0003127788694105456,0.0003969136207913997,0.00015205808498959002,0.01024351294925095,0.0007796621653604432,0.00010533825531164872,0.00022921806288155787,0.00021662332114179332,9.64688200728196e-05,0.0001224203365093185,0.00011427149155752864,0.2530707545518047,0.00027874560326317417,0.000101035176121693,0.00014269094219615782,0.7227408147660636,0.00024162540836293082,0.010256717245197585,0.0002492311344478163,0.00014911919526496015
8,ub1268,ub1268,MahlmannSiegfried_MuechlerKarl_1805-02-12.xml,JP-UB1268,letters-context,Mahlmann Siegfried August,Müchler Karl,1805-02-12,1805,2,1804,MahlmannSiegfriedAugust,MüchlerKarl,0.0006254803254546764,0.0007937290047050357,0.000304078535313284,0.00028747044601019114,0.3752040043877845,0.00021065043920430644,0.0004583793938556048,0.14181233417216896,0.00019291376392877718,0.04063885070077208,0.0002285147007030664,0.4353893030371557,0.0005574222164581809,0.00020204534584469732,0.000285346568112117,0.001215808111777493,0.0004831910139766925,0.000313875769815042,0.0004984005837147592,0.0002982014832448333
9,ub0928,ub0928,SchwendlerAuguste_MuellerFriedrich_1810-06-19.xml,JP-UB0928,letters-context,Schwendler Auguste Sophie Henriette,Müller Friedrich Theodor Adam Heinrich von,1810-06-19,1810,6,1809,SchwendlerAugusteSophieHenriette,MüllerFriedrichTheodorAdamHeinrichvon,0.10124738670481187,0.0003778334833995375,0.00014474846143129537,0.0001368426243045167,0.0007421828236219234,0.11066416978496038,0.00021819926205593644,0.0002062099654060396,0.03854883849364965,0.00011653543682888293,0.00010877831711180572,0.5870183882722387,0.00026534595122544764,9.617828802102978e-05,0.00013583160898343382,0.000578752963914952,0.00023001017082147968,0.00014941217312324369,0.15887240436625466,0.00014195084783524397
10,ub0384,ub0384,MayerJohann_Unbekannt_1815-12-30.xml,JP-UB0384,letters-context,Mayer Johann Siegfried Wilhelm,Unbekannte Korrespondenten,1815-12-30,1815,12,1814,MayerJohannSiegfriedWilhelm,UnbekannteKorrespondenten,0.0013756481453543186,0.2016368168332561,0.0006687741502367811,0.0006322472023570527,0.13668982488676368,0.00046329336705967235,0.0010081352480075596,0.15642362174626614,0.0004242842672453864,0.0005384229094186293,0.000502583073224338,0.4911594254317784,0.0012259647618693243,0.00044436778261040593,0.0006275760583217535,0.002673983666644744,0.0010627046050500834,0.000690321666479035,0.001096155723415156,0.0006558484746414093
11,ub0764,ub0764,MahlmannErnestine_RichterCaroline_1804-11-09.xml,JP-UB0764,letters-context,Mahlmann Ernestine,Richter Caroline,1804-11-09,1804,11,1804,MahlmannErnestine,RichterCaroline,0.0007371406614789237,0.012836714439168331,0.0003583624353003228,0.00033878948082588186,0.0018374664675621774,0.00024825561696606885,0.0005402089815525504,0.0005105263617684751,0.0002273526020942,0.00028851376054596367,0.00026930899466976545,0.6321276094022744,0.08396595904835377,0.0002381143480035652,0.0003362864496433283,0.2632612213847188,0.0005694499557672505,0.0003699086656570335,0.0005873747278843884,0.000351436215764745
12,ub0232,ub0232,MannLukrezia_RichterCaroline_1810-02-08.xml,JP-UB0232,letters-context,Mann Lukrezia von,Richter Caroline,1810-02-08,1810,2,1809,MannLukreziavon,RichterCaroline,0.015462418774420847,0.0003969136207913997,0.005201938053326357,0.00014375301257741683,0.0058295421336972105,0.00010533825531164872,0.00022921806288155787,0.00021662332114179332,9.64688200728196e-05,0.0001224203365093185,0.00011427149155752864,0.7883580311955019,0.00027874560326317417,0.0909988746061835,0.00014269094219615782,0.005657859262242615,0.005291505376699698,0.000156957308524051,0.08104731062783609,0.00014911919526496015
