year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.000287480492781988,0.0003788865428254457,0.0016745185582043938,0.000433022054166065,0.0005364770094287468,0.13292603375888992,0.0012482837401207435,0.0006171782371558784,0.047444727678117,0.006147964302621481,0.04521295013634152,0.00027184330708734857,0.00024418263883968754,0.0002275384243935173,0.012902962990488312,0.00018642259389747105,0.022198627031248305,0.0006183346963285891,0.05456044336903167,0.000744753445859352,0.00019830746349963627,0.00015851727763663753,0.0014320793064046622,0.05962695007475515,0.0027703072692273367,0.0042393546109714105,0.0004199175870938414,0.00018953930280727097,0.0008997655279435389,0.0002397814789660249,0.38598910758512855,0.00010594868323075616,0.1296596359141382,0.0002991769100606862,0.00021263967953931784,0.03632608823692649,0.00016733150293090756,0.00024982380234153814,0.0476806846782788,0.000272412100291698
1799,4.506366512929602e-05,5.939191255258742e-05,7.700465388825386e-05,6.787786069831746e-05,8.409482002939554e-05,0.03808017465194255,0.003227333358007739,9.674504567297141e-05,0.00011997129157305264,0.000254173339170078,8.819155062726345e-05,4.261247655337329e-05,3.827656116968e-05,3.5667516991119995e-05,3.8622700363684694e-05,2.9222453539834526e-05,0.00015499290057176919,9.69263250648022e-05,0.2003771158283398,0.10622484695638013,3.108545223819658e-05,0.0030565083032038872,4.412335267765233e-05,7.262588489861188e-05,0.000129947068096248,5.591667305816309e-05,6.58236854388907e-05,0.2850057617780273,0.00014104168270255704,3.758666255148877e-05,0.3610735098017946,1.660786071360108e-05,0.0005645481989656932,4.68971232062567e-05,3.333208183703593e-05,8.406325279046568e-05,2.622985212210088e-05,3.916083509215369e-05,0.00019422294525893533,4.270163706037179e-05
1800,0.029090762066153783,0.006358531653214709,0.0020755034708356333,0.005123365916424999,0.0053981424116681664,0.14728536441181364,0.002912401212322341,0.004250704267407153,0.01895350617802465,0.013267045859446523,0.002453067808049884,0.0021359681311113625,0.000970245929211268,0.0004636868540337586,0.004305079526928715,0.006815205886241815,0.0045471562915006605,0.0023606053662962507,0.18971125183637466,0.037703643492005966,0.009378439393330665,8.153902573787894e-05,0.0032802857341218145,0.002494649163741198,0.01827573213764298,0.027986304892330675,0.002047827855194785,9.749631283328117e-05,0.0013165779033849814,0.0006997750911485707,0.34085789861758814,0.0035441849438198727,0.023293253800049908,0.0007580049559722436,0.0087109476147599,0.0002758525311686698,8.607293745932802e-05,0.00012850579919594407,0.07036528782410348,0.00014012489734974222
1801,0.0007105066965568885,0.006590481671094476,0.024341724415673293,0.0014604148242288284,0.018890510995942623,0.24583056071840748,0.00927988807049376,0.004034538189461444,0.0007002875304499642,0.007279794029991166,0.0005017699079132849,0.00734953614880669,0.0034984210906620614,0.004137423214679908,0.0059195957548154685,9.484189539088299e-05,0.034115922079877084,0.004347912648980454,0.06400519339472634,0.026687422123591705,0.021009280256686608,8.064515544467749e-05,0.0037274405292486604,0.0017326618996518616,0.0015744932782955242,0.0016465471605856968,0.006623807739408033,0.0035825262611976173,0.001518771746416878,0.00012198805664765214,0.34124583466918496,0.00032562657284488197,0.0300521032486903,0.0011437678277665267,0.0012948679987626359,0.0029840607134376464,8.512936422985615e-05,0.008994108167993231,0.10217696837852516,0.00030262557323777387
1802,0.007342263118373186,0.004531580030393377,0.015475943020258147,0.000206706393273322,0.01584193786684807,0.16833999685979043,0.006022455404989533,0.0005354602937985546,0.0011853170720052908,0.008130319118507421,0.002187977482987457,0.003091212300820785,0.0008548588510200857,0.0016290316183086965,0.013641170198091229,0.00010630221574129335,0.05522125205027717,0.005659295687936282,0.02898585328612128,0.011647412643867712,0.0010572087206728719,0.0012277425627111789,0.0013482816795908625,0.002335034392455541,0.0015931401581344012,0.0024871746283462704,0.0005757043223534869,0.0012550070013477186,0.00530926529254184,0.006004705004320584,0.3846961648192938,8.91039678945771e-05,0.05385778790934571,0.002143289260046397,0.0001527355847082676,0.001114585990310461,0.001168860366140333,0.049934019543364225,0.13166064558545135,0.0013531976975608806
1803,0.005042477139446447,0.003848878271307154,0.0021242900721294557,0.003425556635301947,0.01980834411092073,0.1218501105566313,0.007957648229730248,0.0022569559527374963,0.014975417292333832,0.009251155371302253,0.000846145212527543,0.002542604951517385,0.001057432767378544,0.00043590192780010827,0.004276308551670104,0.00037882715989552026,0.05636659111627602,0.011235001118346659,0.06735764172707301,0.16070746893688698,0.00010309936575162106,0.0020794810905657444,0.014253144254261637,0.007903984629794194,0.00043098810978672565,0.0004165351584166046,0.0014897252465583702,0.004205696558862822,0.0015207100362044956,0.0015921054528301292,0.3580908037029125,5.5082354695794944e-05,0.03561955941001039,0.0024282355199005453,0.0014407219444641974,0.00027880784809897966,0.000751738549263259,0.008689081982330695,0.06179907322812996,0.0011066684559486021
1804,0.005093666716035207,0.006635935045792237,0.004530444979637463,0.005494777169343761,0.027164808713965444,0.10567991260364194,0.010133280586003771,0.0016507825740467803,0.015399608226789143,0.006271263635019823,0.0018175766685617778,0.0001233646401632569,0.004042721825729172,0.001872814581457351,0.005964572001890052,0.00210206073824442,0.1007087338184503,0.0014136331769569487,0.04544846298904688,0.12106231231578116,0.0013091911376565,0.00034827401369661186,0.007505140837089709,0.006924786131093409,0.003962413326780814,0.0014695883632449558,0.005296521020600563,0.010026606933268678,0.0010055665619702445,0.00010881472929165176,0.37260009969450913,0.003527792478162098,0.05787136338025356,0.00028489433511610636,0.00357016936754551,0.0011314585340263983,7.593635785344326e-05,0.003995792954151815,0.04461988503825051,0.0017549717988814884
1805,0.0051936734222110354,0.004607806318822551,0.007563362116397643,0.001673879876369368,0.0219596439019796,0.14572057205672231,0.025983864342179523,0.0011828154763567488,0.062474836013277385,0.0426942273082774,0.003210516790851096,0.00588043352399464,0.0064514846757778134,0.0018487164171006106,0.0009135234730624391,0.0007522306268981211,0.07323407653604139,0.0196257920469886,0.05088519319090302,0.025309232672576672,0.0046328693568512685,0.0009419897560862195,0.00042512906238648715,0.04767845484626503,0.005678561045535355,0.0004719490894631263,0.004297296695100174,0.005343279651548043,0.004436006145616111,0.0001519171377214266,0.3282244032919267,0.0003410237538618868,0.037863767181839564,0.011567243254900137,0.0003579854393729026,0.0006034508523788371,0.0042792145523620545,0.002176740409393108,0.03104865184242656,0.0023141858481769656
1806,0.00025253827456145865,0.006034583112180663,0.004479946317663644,0.00038038978348727833,0.016290123124434026,0.19541683233012244,0.04046092824355957,0.004762509782182491,0.12443165841090575,0.03903581743435253,0.0008205857943955116,0.0003635814147485762,0.00021450311878101153,0.0001998819486383322,0.0002164428943088394,0.0034148047463313973,0.0983792031952236,0.014157635796946951,0.05204436756319165,0.022575891771379596,0.00017420390573365306,0.00013925007361419235,0.0019093904555214226,0.027185744755958537,0.0028727284240497807,0.00031335889108907673,0.0019167027662627526,0.00016650148338527218,0.0007904022695169731,0.0028782635876964885,0.3017995705720459,9.307100247474635e-05,0.020359972904426572,0.00026281303445743976,0.00018679409254694778,0.0034176855956619175,0.0001469929615780688,0.002050282335770253,0.0015828999484071061,0.007821145882407574
1807,0.0028290000964978817,0.004520523229771002,0.0018549715951015967,0.0006483625309451816,0.06034090182289729,0.24860016765924906,0.018395569237575817,0.0009240989922725979,0.023168599456851364,0.04469319180039525,0.003316055608731608,0.00040703011060972,0.004528072715312031,0.005346990089955977,0.0023095006533931576,0.011813241767017023,0.04765813559455017,0.029033805464432173,0.008138069672898145,0.0018089005444577849,0.0034842587488500333,0.00023734741068780584,0.0012264599800877374,0.010640874833644908,0.005703386924509929,0.0005341104638986292,0.0006287412544861856,0.0015335812943490013,0.003806517947027425,0.00035902403833817063,0.3074512663650526,0.006463123640393888,0.1204902603631415,0.0011631419891112878,0.000944904232972873,0.004227251968990787,0.0017720616620133284,0.0023924452950863898,0.004925256578680674,0.0016807963657618629
