,Number,Score,Rank
0,0,"0,01486",25.0
1,1,"0,01959",22.0
2,2,"0,0254",18.0
3,3,"0,02239",20.0
4,4,"0,02774",16.0
5,5,"0,56083",2.0
6,6,"0,06454",6.0
7,7,"0,03191",14.0
8,8,"0,03957",11.0
9,9,"0,08384",5.0
10,10,"0,02909",15.0
11,11,"0,01406",28.0
12,12,"0,01263",31.0
13,13,"0,01177",33.0
14,14,"0,01274",30.0
15,15,"0,00964",37.0
16,16,"0,05112",8.0
17,17,"0,03197",13.0
18,18,"0,09485",4.0
19,19,"0,03851",12.0
20,20,"0,01025",35.0
21,21,"0,0082",39.0
22,22,"0,01455",26.0
23,23,"0,02396",19.0
24,24,"0,04286",10.0
25,25,"0,01844",23.0
26,26,"0,02171",21.0
27,27,"0,0098",36.0
28,28,"0,04652",9.0
29,29,"0,0124",32.0
30,30,"1,10092",1.0
31,31,"0,00548",40.0
32,32,"0,18622",3.0
33,33,"0,01547",24.0
34,34,"0,01099",34.0
35,35,"0,02773",17.0
36,36,"0,00865",38.0
37,37,"0,01292",29.0
38,38,"0,06406",7.0
39,39,"0,01409",27.0
