receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
AbekenBernhardRudolf,9.690001288278495e-05,0.01460036809128077,8.809729408663687e-05,8.372812009210383e-05,0.00016778719520115697,0.0005022848438835552,0.00032457227324823754,0.060516319049170084,3.685889195290401e-05,0.05467847657164582,8.785147735916922e-05,0.0001000410333524967,7.219687403528093e-05,6.866967563195943e-05,0.0277474984897226,8.724185743097513e-05,0.0014564955959883172,0.15189717764212016,0.00010958515494574676,0.00021560030846881135,7.191114900919318e-05,6.315967760472024e-05,0.0001827994363120991,0.022133141424321677,0.0007088881237609142,0.00016587743028009789,5.807025692011206e-05,9.008135041815378e-05,9.287738748113106e-05,0.00015621776016379424,0.0002712515544598988,6.178402715661138e-05,7.191239442189902e-05,0.05317903302639563,6.069788518530133e-05,0.0001293404428177583,0.00031858189980203,0.00010773629504171721,0.3345802580617382,0.00013628636964875372,0.003136531097625833,0.01389492166755007,0.0001940042895568091,2.457561884356886e-05,0.00019189477023493184,7.837231437290637e-05,0.00011752679778800563,9.688835699626505e-05,0.0004814595485445591,0.00010609382598997726,0.003084700517457386,9.584683632135465e-05,0.25205931622644184,0.0001068593867580434,0.0002560068128366381,8.512864928591907e-05,9.671783168530028e-05,0.00013097673247762504,9.010594589229733e-05,9.441636790140972e-05
AbekenBernhardRudolfANDTruchsessvonWetzhausenChristianFreiherrANDVoßHeinrichANDVoßAbrahamSophus,0.00023798428690407925,0.001915864425026875,0.0002163650043756801,0.00020563440975020187,0.00041208163769683963,0.0012336004592584644,0.0007971423191785829,0.08165271968685085,9.052462282019727e-05,0.0010744011006278923,0.00021576128393380314,0.00024569856365592747,0.00017731392466143245,0.00016865120345210634,0.0002626092416718972,0.00021426407088317867,0.0035771209464079633,0.0006012377635356974,0.0002691387150441732,0.000529509585610851,0.0001766121903214546,0.00015511877025272582,0.00044895136959193605,0.003445030779381943,0.0017410135417844047,0.00040739129732049266,0.00014261926569800008,0.000221237802811783,0.00022810480795238018,0.0003836673613171201,0.0006661878140083353,0.00015174020320012408,0.00017661524902749484,0.14082468274046975,0.00014907266255870545,0.0003176572648042498,0.0007824300945826034,0.0002645979560416098,0.5342999296366373,0.00033471630736353137,0.0004949411740721541,0.00018330362233982968,0.0971943422582948,6.0357175935445505e-05,0.00047128930839487686,0.0001924806694465569,0.0002886432140884415,0.00023795566030477183,0.0011824539948424794,0.00026056408840411863,0.0003676464163703842,0.00023539770857968555,0.1173029633808344,0.00026244428870595294,0.0006287470660010334,0.00020907407845160487,0.00023753685391536363,0.00032167595599207207,0.00022129820875189571,0.00023188450980156781
AbekenMinonaLaura,3.1309623839580466e-05,0.0002520544329021303,2.8465353688590974e-05,2.7053618125418434e-05,5.421417201668695e-05,0.000162294607136326,0.00010487342036220972,0.09026968719121954,1.1909575735404139e-05,0.0001413500645403911,2.8385927184491358e-05,3.232452741341238e-05,2.332772619104376e-05,2.218804362620083e-05,3.4549325421886274e-05,2.8188951249514368e-05,0.13089540775389044,7.90998786488817e-05,3.540835421666934e-05,6.966319566976294e-05,2.323540480921707e-05,2.0407693340815696e-05,5.906481762744917e-05,0.00045323419970873935,0.00022905074869441342,5.35971027354608e-05,1.8763236932030513e-05,2.910642746730635e-05,3.0009862524525984e-05,5.04759407380754e-05,8.764481947297777e-05,1.996320322380055e-05,2.3235807217866823e-05,0.279376729585788,1.9612256969549427e-05,4.179153842597912e-05,0.00010293785468291256,3.4810964119340136e-05,0.0003093849706571227,4.403585553003135e-05,6.511531574000669e-05,0.1877085776210601,6.268524790225154e-05,7.940694317015369e-06,6.200363543920471e-05,2.5323089331487413e-05,3.7974399799761276e-05,3.130585767473076e-05,0.00015556568993586224,3.4280261525519675e-05,4.836819754896685e-05,3.096932912759799e-05,0.3080930973016835,3.452762392477432e-05,8.271904999621553e-05,2.7506146880886706e-05,3.1250758782763707e-05,4.232024437986785e-05,2.911437457712274e-05,3.05071266282335e-05
AhlefeldtJohannGeorgJacobvon,0.00027071273667841943,0.002179340948727829,0.0002461202931418182,0.00023391398878853638,0.05547818231769817,0.001403249603736295,0.1109256276607002,0.03787246381337748,0.00010297389251717547,0.0012221565802725152,0.05525486328716786,0.00027948790834271195,0.0002016987693630149,0.00019184471976937912,0.0002987242032441309,0.000243730431765955,0.004069059404842575,0.0006839221298117189,0.00030615163313318965,0.0006023296364769881,0.0002009005300083588,0.00017645125798675833,0.0005106927666478398,0.05892823346617155,0.001980443947043485,0.0004634172046873561,0.00016223277688805449,0.00025166321623594425,0.0002594745964685607,0.0004364306682071337,0.0007578043433796093,0.00017260805831689944,0.0002009040093585865,0.1326866815976053,0.0001695736679517473,0.000361342627278582,0.0008900326778691223,0.0003009864127223288,0.002675038592698865,0.0003807476903456158,0.0005630072534238651,0.0002085121916754252,0.0005419961317941867,6.865771050779915e-05,0.0005361026986385873,0.0002189512991022539,0.00032833846060194456,0.0002706801732468537,0.0013450692947184256,0.0002963977931888724,0.0004182064656468477,0.00026777044285751717,0.5185008943687174,0.0002985365653567101,0.0007152146098799813,0.00023782669302433842,0.00027020377110581326,0.000365913983242765,0.00025173192941685326,0.0002637740964260284
ArnimLudwigAchimvon,5.038156675921547e-05,0.0004055908593242631,4.5804738010727993e-05,4.353305790729532e-05,8.723819042825345e-05,0.00026115473715026974,0.00016875601113311664,0.08383068254837216,1.9164174186873155e-05,0.10260391539976918,4.567692964933569e-05,5.201468865238044e-05,3.753757632019249e-05,3.570366756679633e-05,5.559470002409163e-05,0.0051641831359513606,0.005876104079892617,0.20999903266946074,5.697699758199901e-05,0.0001120978316852075,3.7389018295808815e-05,3.283883478510932e-05,9.504355809782516e-05,0.0007293172606346911,0.00036857471190719036,8.624523959158913e-05,3.019267427017224e-05,4.6836315443450125e-05,4.8290068892585715e-05,8.122285310929576e-05,0.025735148621786712,3.2123587977324277e-05,3.738966582764618e-05,0.02469393567879892,3.155886633684588e-05,6.724843434615337e-05,0.00016564141505914285,5.601571330646463e-05,0.21548841678066447,7.085985467448434e-05,0.00010477965637055382,3.880560269864545e-05,0.00010086933711457759,1.277768851191006e-05,9.977252726509308e-05,4.074839487822493e-05,6.110612406126076e-05,5.037550647287112e-05,0.00025032696761559294,5.5161738557459374e-05,7.783119932458595e-05,4.983398494100533e-05,0.3217249256299613,5.5559779277961816e-05,0.00013310652855480162,4.426124000941523e-05,5.028684464421998e-05,6.809919622206468e-05,4.684910345539845e-05,4.909023643104813e-05
BarthKarl,7.012392529987904e-05,0.0005645243876098,6.375363517366796e-05,6.059178181885547e-05,0.00012142306685546846,0.00036348999163042766,0.0002348841983251674,0.002685604162347889,2.6673785782343727e-05,0.00031658065960003817,6.357574423927508e-05,7.239699708006439e-05,5.2246930120215176e-05,4.9694391787206236e-05,7.737986018161079e-05,6.313457874265425e-05,0.0010540265716603703,0.00017715939386635574,7.930382041008412e-05,0.00015602412709672368,5.20401586266972e-05,4.57069548553661e-05,0.00013228702076970475,0.3216251982107761,0.0005130032118438771,0.00012004102150087527,4.202387840068249e-05,6.518944321788716e-05,6.721285981306435e-05,0.00011305057882181665,0.00019629743254452432,4.471143373630681e-05,5.204105989827556e-05,0.02724575307460879,4.392542209198078e-05,9.360018931449584e-05,0.00023054912666146832,7.796585037331086e-05,0.007817595889144291,0.3848307384130033,0.00014583827516502834,5.401184123276304e-05,0.00014039567079515532,1.778471239285962e-05,0.00013886906856936496,5.671592970077603e-05,8.505097309728276e-05,7.011549024923963e-05,0.00034841928718721773,7.677723982863633e-05,0.00010832988250487367,6.936176983339156e-05,0.2483042945986036,7.73312555043342e-05,0.00018526522428157361,6.160530701504096e-05,6.999208568187082e-05,9.478432799997011e-05,6.520724229902497e-05,6.832657842691162e-05
BentzelSternauChristianErnstGrafvon,0.00011266832242934758,0.0009070230374362779,0.2862831021337779,9.73529987281996e-05,0.00019509080799924567,0.2295285556472255,0.00037738915038323484,0.09589278238564226,4.2856852124072913e-05,0.0005086511012921598,0.00010214734015536828,0.00011632047371922148,8.394530031732478e-05,7.984412927353532e-05,0.00012432645490389566,0.0001014385182204093,0.0016935076739797866,0.011731869291861464,0.011574644446638787,0.00025068443592277757,8.361307993460584e-05,7.343750232015186e-05,0.00021254595554314482,0.1618921471737086,0.0008242438088304872,0.00019287027155669205,6.751989226404526e-05,0.00010474007517481662,0.00010799110472542152,0.000181638706205495,0.00031539167733979833,7.183799553344904e-05,8.361452801037102e-05,0.06667028721694088,7.057510825214764e-05,0.0001503877066783622,0.0003704239776569326,0.011572494726142404,0.012560554910379074,0.00015846392772811483,0.0002343187968808938,8.67809883287605e-05,0.00022557414801279503,2.857475107993388e-05,0.0002231213516089833,0.011538352414460723,0.00013665165517867764,0.00011265476980802632,0.0005598063203327353,0.00012335822296392562,0.0001740539491849225,0.00011144376494098276,0.08987613707690338,0.00012424836162221533,0.00029766619502598964,9.89814327199615e-05,0.00011245649531717169,0.00015229026587831486,0.00010476867301220248,0.00010978051978374722
BergnerCaroline,0.00017779757577754518,0.0014313384077559452,0.0001616458538567257,0.00015362904847902208,0.00030786535177622647,0.0009216203892596652,0.000595543402227926,0.02487371793939724,6.763076123632868e-05,0.0008026828728459691,0.0001611948155448714,0.00018356089621856451,0.00013247087178117637,0.00012599897041873183,0.00019619482930342363,0.00016007625072579648,0.11105904740552,0.00044918350792481513,0.00020107298555397727,0.00039559553236608285,0.00013194660748578528,0.05430918273514085,0.00033541065334127617,0.0025737754749329943,0.0013007076691996472,0.018368792480702032,0.00010655056277097166,0.00016528631163846533,0.00017041663718530376,0.00028663710379604144,0.0004977075582765876,0.00011336479659200442,0.00013194889263883492,0.34004744004505083,0.00011137188241476096,0.0002373210952077915,0.0005845519292130952,0.00019768059375639943,0.2727233697172615,0.0002500658711406189,0.0003697695425496288,0.0001369457627107975,0.0003559699462101272,4.509272314447519e-05,0.0003520992819003156,0.00014380191590308828,0.00021564475704334497,0.00017777618890353841,0.0008834089699216321,0.00019466689946471486,0.00027466788847409354,0.00017586514838236467,0.15989452999046716,0.00019607159327871058,0.00046973565173773565,0.000156198817956424,0.00017746329950346244,0.00024032345120485508,0.00016533144079322728,0.00017324044473449003
BertuchFriedrichJohannJustin,0.00020220073345684694,0.05262941172332656,0.000183832147694649,0.00017471501592126296,0.00035012063388867136,0.0010481150705353114,0.0006772832093421654,0.023044363700423617,7.69132507371207e-05,0.0009128530853861162,0.0001833192032572727,0.00020875508390411624,0.00015065282706292488,0.00014329264120761285,0.0002231230555990704,0.00018204711264609947,0.0030392614925836225,0.2680440165483309,0.00022867075087818476,0.000449891999071767,0.0001500566061943909,0.00013179495808757812,0.0003814465963231182,0.2998004745382175,0.0014792330186446246,0.00034613553774389154,0.00012117489143657514,0.00018797226732433073,0.00019380674276026714,0.06984754344828184,0.00566618101083824,0.00012892439572837267,0.00015005920499035688,0.05169183004689576,0.00012665794914386264,0.00026989400336839726,0.0006647831294302178,0.0002248127449034493,0.010688235176751363,0.0002843880313667607,0.0004205213281821385,0.0001557419078569222,0.00040482770306349926,5.1281811090536524e-05,0.00040042578048954717,0.00016353908505751692,0.00024524253409868364,0.0002021764111814076,0.001004659039243611,0.00022138541360532322,0.00031236673651834627,0.00020000307561506353,0.1929811246600476,0.00022298290512471047,0.0005342080334719373,0.00017763749262474627,0.006955282343423377,0.00027330844016288085,0.00018802359056736842,0.00019701812489013844
BodeAugustTheodorHeinrich,0.0007040461537328941,0.0035711204073273083,0.00010053056898921935,9.554476832147864e-05,0.007879817794558002,0.002992908913411946,0.0024912621268863492,0.022079347641645274,4.206083079797639e-05,0.3647583742518374,0.00010025005985740553,0.0001141599422486859,0.0028887376319478943,0.004204746850743113,0.0001220172206835436,9.955440355054723e-05,0.009081823945540819,0.0054982541161574874,0.00012505103696639825,0.0013064695271701665,0.0018624716378077832,7.207347731400198e-05,0.001959907899306495,0.0580706855357019,0.0010988731465626897,0.006882695715473024,0.002576718383771818,0.00010279463752823609,0.00010598528259594526,0.0001782649566971186,0.008142357325359825,7.050367969748657e-05,8.206147536723573e-05,0.1175976720862044,6.92642492301729e-05,0.0029678311589997966,0.00036354373864500597,0.00012294124528595623,0.011016737900280444,0.0017223025668497867,0.003966437913583088,8.51691219880074e-05,0.0006264060225262284,0.00474254522899364,0.002103461578281912,8.943309143141276e-05,0.0009175044638653134,0.00011056232496410577,0.0026702910881754105,0.00012106697264193812,0.0009733165916972111,0.013797822646331942,0.30381352096785713,0.00012194057790311477,0.006241489700033562,9.714295585039182e-05,0.011941141879705925,0.00014946163303694124,0.00010282270419062164,0.004006698245889154
