sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
AdelheidLouiseTheresaCarolineAmelia,0.0002183331631924289,0.0017576653719686894,0.00019849905396706352,0.00018865451885932913,0.00037805473891698886,0.0011317381239295463,0.0007313197283943268,0.10318133237463283,8.304971519023605e-05,0.0009856843655062927,0.0001979451846529434,0.0002254104474404082,0.0001626725468013703,0.00015472513418816433,0.0002409247566874027,0.0001965716012724256,0.06759080420740773,0.0005515916384698098,0.000246915070560202,0.00048578628560349576,0.00016202875691019204,0.00014231011727865783,0.0004118800191295338,0.10578716581720167,0.006620555369445524,0.01042035746308001,0.00013084273679201503,0.00020296948985169098,0.00020926946441517783,0.00035198672021494507,0.0006111785555460392,0.00013921052931321548,0.00016203156304909192,0.5242381692300994,0.00013676325603411855,0.0002914272884903566,0.0007178223392371496,0.00024274925655112938,0.1227161795567523,0.00030707771134580913,0.00045407229836524004,0.00016816765598569186,0.00043712656945748646,5.537329087890249e-05,0.0004323734428823833,0.0001765869249619889,0.0002648090207374051,0.00021830690038298237,0.0010848149866614467,0.00023904847826593104,0.00033728867593203646,0.00021596016691289945,0.04106820653107276,0.00024077342441542325,0.0005768294098479468,0.00019181016311501067,0.00021792267617661053,0.0002951141434938737,0.00020302490788013302,0.00021273706419410777
AdersbachGerson,0.0003734211627603908,0.04094618810820829,0.0003394983448936208,0.0003226609680470917,0.0006465973291883008,0.0019356425748550204,0.0012507960739154105,0.014301273420297597,0.00014204219258218793,0.0016858428490668315,0.00033855104710215457,0.0003855256350009958,0.0002782232927309517,0.00026463061621966814,0.0004120601811676308,0.00033620176999005024,0.005612860750258696,0.0009434022206913557,0.000422305578334844,0.0008308535312302898,0.0002771222013244882,0.00024339687425280142,0.0007044496283213102,0.1951056235218336,0.002731824481406864,0.0006392377157454879,0.00022378390070116613,0.0003471442532919343,0.00035791927158260384,0.0006020124859503662,0.0010453153498493912,0.00023809556443248124,0.00027712700074036963,0.0692080000752238,0.0002339099262082625,0.0004984360384696267,0.2288677416764727,0.00041518067303706116,0.0036899483709964685,0.0005252033834525057,0.0007766122340443004,0.00028762172781566733,0.0007476294917983201,9.470644937088576e-05,0.0007395000898033605,0.00030202143313185143,0.00045291008927511974,0.0003733762447612308,0.0018553886536329105,0.0004088511310189337,0.0005768740200106313,0.00036936256251400047,0.4117001193567285,0.00041180135345616716,0.0009865670692911011,0.00032805815246921347,0.00037271909562361854,0.0005047417671194194,0.00034723903625717944,0.00036385000204288884
AretinJohannChristophANDBaboJosephMariusFranzvon,0.0001954511446236295,0.001573456381034608,0.00017769571391395257,0.00016888291778641992,0.00033843338488431324,0.04072923529330568,0.0006546750658970419,0.007485382560833114,7.434583760549367e-05,0.0008823814699465748,0.00017719989188749632,0.00020178670669248114,0.0001456239400660655,0.00013850944188660962,0.00021567506637193803,0.00017597026446840563,0.0029378090147371533,0.0004937830585485972,0.0002210375760611396,0.00043487431856599007,0.0001450476214285848,0.00012739555872747575,0.00036871366680799934,0.7574353587436732,0.0014298552815134133,0.0003345813137784552,0.00011712999664255503,0.00018169763372238265,0.00018733735066473289,0.00031509737848525737,0.02040517855940328,0.00012462081756195985,0.00014505013347509174,0.016365878581367618,0.00012243002640310716,0.05983504522391719,0.0006425922465871978,0.00021730835277477715,0.0019313437604395348,0.00027489497835949533,0.020264537543881248,0.00015054314411277675,0.00039131429736382283,4.9569991684314005e-05,0.00038705931375958617,0.00015808004658902195,0.00023705618263851103,0.0001954276342411832,0.0009711228827888824,0.0002139954279709406,0.0003019397365731518,0.00019332684599560626,0.05662217972526694,0.0002155395942093752,0.0005163758302168153,0.0001717078403624481,0.0001950836779689,0.00026418523094296387,0.00018174724376298943,0.0001904415348206285
AretinJohannChristophANDBaboJosephMariusFranzvonANDSchererJoseph,3.737283223348029e-05,0.0003008655767575185,3.3977760107278385e-05,3.229263745518867e-05,6.47129191279301e-05,0.00019372347480064065,0.0001251824922915023,0.01282266755491311,1.4215903014731027e-05,0.000168722954811789,3.388295240764533e-05,3.8584275117378174e-05,2.7845214678827143e-05,2.648482895482325e-05,4.123991234732677e-05,3.36478314553897e-05,0.0005617477638885307,9.44178221233116e-05,4.2265294804671115e-05,8.315369542456458e-05,2.773501496731831e-05,2.435970816533571e-05,7.050290771303451e-05,0.3954416180512588,0.00027340715582433096,0.03803518919904845,2.2396797534544045e-05,3.474297986539393e-05,3.582136799935265e-05,6.025076745401301e-05,0.00010461751795805524,2.382914112122938e-05,2.7735495303684966e-05,0.014520735317906402,2.341023300689697e-05,4.9884602969860855e-05,0.00012287209815263028,4.155221821199731e-05,0.011760662209766338,5.256353923042496e-05,7.772510405905844e-05,2.8785831260602693e-05,0.35700422520420066,9.47843506672874e-06,0.0038711321216190666,3.022698624768257e-05,0.0038424495479524867,3.736833673881024e-05,0.00018569148134922131,4.091874337032095e-05,5.773485308208008e-05,3.696663836650754e-05,0.1589146363737243,4.1214008286168574e-05,9.873785753099147e-05,3.28327998456918e-05,3.730256777089527e-05,5.0515694515922386e-05,3.475246595834194e-05,3.6414928880786796e-05
BassewitzAdelheidHenriettevon,3.0434322519415837e-05,0.005749230443400771,2.7669567645608265e-05,2.6297298989112706e-05,0.04821464559868775,0.00015775744997947622,0.00010194154728179351,0.2880405885036025,1.1576628031617873e-05,0.00013739843935538476,2.7592361612896307e-05,3.14208531417691e-05,2.2675569217326074e-05,2.156774796319984e-05,3.358345402376538e-05,2.7400892396773863e-05,0.024482930635323884,7.688853850116959e-05,3.4418467549569625e-05,6.771567028750181e-05,2.258582879999153e-05,1.9837169689230027e-05,5.741358370942193e-05,0.0004405634472467659,0.0431728514337114,5.209872590980114e-05,1.8238686201516586e-05,2.8292719371739806e-05,0.00828550467849175,4.906482006185901e-05,8.51945943733933e-05,1.9405105872454607e-05,2.258621995878328e-05,0.40967762771010663,1.906397077790399e-05,4.062320152920276e-05,0.051322454692061134,3.3837778270606206e-05,0.0003007357107796235,4.280477582503377e-05,6.329493226551367e-05,2.3441554204442515e-05,0.00281304406039527,7.718701863374937e-06,6.0270243040975566e-05,2.461514938190304e-05,3.6912775985706656e-05,3.0430661642610524e-05,0.00015121664842482858,3.3321912159119926e-05,4.701600157927033e-05,3.0103541189394422e-05,0.10336118247283384,3.356235922027482e-05,8.04065311989465e-05,2.67371767137317e-05,3.037710311194342e-05,0.012053874628056628,2.8300444309748922e-05,2.96542601629914e-05
BayreutherPostamtANDOsmundEmanuel,5.7104666643581836e-05,0.00045971438177157226,5.1917089186607783e-05,4.934226781101703e-05,9.887957249927132e-05,0.42383452804986665,0.00019127542829133068,0.013790788127026535,2.1721511434353185e-05,0.0002578040655162329,5.177222561167272e-05,5.895571827409632e-05,4.2546727310351365e-05,4.046809508920713e-05,6.301345941062826e-05,5.141296722002607e-05,0.0008583352365222871,0.00014426785275145903,6.458021579245715e-05,0.0001270565748867116,4.2378345161773044e-05,3.7220968580226175e-05,0.00010772651687739458,0.0008266400138962817,0.00041775866473752485,9.775411868414538e-05,0.01743991445665855,5.308632407154444e-05,5.4734071679148546e-05,9.206152664552772e-05,0.00015985270933578766,3.641027663168769e-05,4.237907910261872e-05,0.3238859614052583,3.577019647737139e-05,7.622231051275242e-05,0.0001877452091660759,6.349065423978735e-05,0.0005642777985590155,8.031565193154567e-05,0.00011876183558692295,4.39839637500772e-05,0.00011432970907823997,1.4482789835325705e-05,0.0001130865369251081,4.618600919862116e-05,6.926034795774554e-05,5.7097797650540934e-05,0.00028373151049282164,6.252272198795714e-05,8.821727821887731e-05,5.648401351188348e-05,0.2138077349652792,6.297387871286599e-05,0.00015086874883294546,5.016762118670923e-05,5.6997304464345835e-05,7.718660115399372e-05,5.310081856241315e-05,5.564101649016029e-05
BergnerCaroline,9.431445937608264e-05,0.0007592674282613818,8.574662084232856e-05,8.149402818568064e-05,0.00016331018061647496,0.0004888825305006094,0.0003159118102172319,0.13776640685586772,3.5875397374247214e-05,0.00042579096408844016,8.550736316767012e-05,9.737166895404648e-05,7.027046685243905e-05,6.683738360895323e-05,0.00010407346206613556,8.491400954219578e-05,0.030164994000435024,0.00023827377581113043,0.00010666112766006172,0.00020984751115719536,6.999236574012772e-05,6.147440717951801e-05,0.00017792185467388315,0.0013652843207347196,0.0006899730780377853,0.00016145137337067025,5.6520785955680686e-05,8.767773720353142e-05,9.039916846184492e-05,0.00015204944928762056,0.00026401383191510804,6.013546279299045e-05,6.999357792186598e-05,0.3145358377207926,5.9078302016823205e-05,0.00012588929120758855,0.0003100812760797047,0.00010486160032128217,0.1159214116149789,0.00013264988199020904,0.00019614786279731764,7.264421642100575e-05,0.0001888277322349265,2.3919875097102772e-05,0.00018677450057409144,7.628112979793253e-05,0.00011439086606713113,9.430311450002976e-05,0.13462296719500896,0.0001032629567705926,0.00014570026220051512,9.328938440381182e-05,0.25730178379933943,0.00010400809031404256,0.0002491758610856806,8.285718748592645e-05,9.413713926395796e-05,0.00012748192024923468,8.770167640413559e-05,9.18970847366811e-05
BornträgerJohannFriedrichWilhelm,0.0002500777823793257,0.0020132216835949037,0.00022735988658180494,0.00021608400218430814,0.00043302212702808486,0.0012962875457311824,0.05165401135757355,0.33988381961268976,9.51247547478808e-05,0.0011289982549949798,0.00022672548726391002,0.00025818407060473344,0.00018632437309686007,0.00017722144391787702,0.00027595408774233143,0.00022515219129416202,0.0037588972163565344,0.0006317904788744075,0.0002828153651917194,0.0005564173359543242,0.0001855869791712191,0.00016300134170557656,0.0004717654445352709,0.10525281704050153,0.0018294855147193187,0.00042809344062118016,0.0001498666578129968,0.00023248030290312792,0.0002396962642570813,0.00040316394051757154,0.0007000410545696388,0.0001594510881694049,0.00018559019330957016,0.1479808806797535,0.00015664799281932588,0.0003337994510996742,0.0008221903448563755,0.0002780438613397122,0.002471135001807889,0.00035172537212680116,0.0005200922835299278,0.00019261844541576035,0.0005006827250181168,6.342430798676521e-05,0.0004952385161041352,0.00020226183666270406,0.000303311011903791,0.00025004770108040894,0.0012425420041070508,0.0002738050072274567,0.0003863288694461953,0.0002473597635566144,0.3265293177994944,0.0002757807524668942,0.000660697703989258,0.00021969846233273448,0.0002496076124742579,0.00033802235755031303,0.00023254377845331002,0.0002436680368005384
BrockhausFriedrichArnold,0.004893958248858549,0.007178306127410719,0.0001744126241841396,0.0001657626524704319,0.001430471572287811,0.0013514882548205068,0.0006425793493607836,0.20580204360288085,0.001201955484965342,0.005859591432784538,0.00017392596292001698,0.00019805851398730607,0.00014293340549145376,0.00013595035412853202,0.00021169027360577535,0.005929793356855313,0.015184017076332698,0.00048465996799920127,0.00021695370605727174,0.0015251306721146924,0.00014236773486431693,0.0001250418100563936,0.2650686383033885,0.0467600387019058,0.006182667961070237,0.004314520474565113,0.00011496591355602421,0.00017834060488884456,0.00018387612293767813,0.0003092756681895499,0.0005370164420810997,0.00313719812991707,0.0001423702004984828,0.12492761109214333,0.006329575918793705,0.00025606468710377456,0.005436679744683924,0.00021329338355867704,0.005213314167292295,0.0002698160439251721,0.010507870508365146,0.00014776172277489492,0.010664761855663927,4.865414105955165e-05,0.00431393089419129,0.00015515937413151918,0.00023267635432714252,0.00019181693117600084,0.0009531805053806437,0.0016327169365409119,0.0050050031846140056,0.0001897549569015752,0.23608792209281124,0.00021155730441447602,0.005926246359236618,0.0001685353820357644,0.00019147932980829107,0.0002593041688206826,0.0001783892983388864,0.00018692295447151448
CarlAugust,0.0005084572599953649,0.05575309781281285,0.00046226731485043136,0.00043934122669407036,0.0008804190525494155,0.002635607239466157,0.0017031073971671756,0.01947288215798025,0.00019340731390313665,0.002295475246991605,0.000460977456407787,0.0005249389364586163,0.0003788340544042496,0.0003603260110897218,0.052220891499794315,0.0004577786366232831,0.05930239911332817,0.0012845541604026868,0.0005750191972346049,0.0011313057535999845,0.00037733478769050375,0.00033141374971676563,0.0009591918282650672,0.4206389447378236,0.003719703458520017,0.0008703980648311622,0.000304708357020999,0.00047267812715052766,0.0004873495941771276,0.1557991793762459,0.0014233209887907676,0.00032419538682136617,0.00037734132266519725,0.09423491113326868,0.00031849614329942445,0.0006786798598391933,0.0016716744924833331,0.0005653177925293723,0.005024302919449408,0.0007151267788802501,0.0010574497858719877,0.00039163113991513436,0.0010179863403602,0.00012895407800416741,0.05266673982163912,0.0004112380487889778,0.0006166908734223191,0.0005083960988051192,0.0025263319948955624,0.000556699369385455,0.0007854824868758862,0.0005029309937670624,0.04398037907334085,0.000560716447597423,0.0013433282279592825,0.000446690134245736,0.0005075013122122847,0.0006872658582540853,0.00047280718541398137,0.0004954249880228227
