year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.0001871350597306619,0.0015065087207112955,0.00017013508977501234,0.00016169726183138113,0.0015030781576120314,0.0009700215868459834,0.0006268198520747191,0.03608827408405845,7.118255965101235e-05,0.05590656220807181,0.0013487048516861737,0.00019320105534539683,0.00013942791061650754,0.00013261612118273413,0.00020649849099449913,0.00016848305501370952,0.14758317696560555,0.0004727735022141655,0.0002116328358095546,0.0004163712202191873,0.00013887611327166962,0.002490832686294272,0.0036627011626501668,0.10050821407687159,0.05207894091779597,0.00032034549738382524,0.00011214633181179541,0.00017396673529353822,0.0001793664927055659,0.0003016905675193719,0.028950136791365117,0.00011931843214860275,0.00013887851843524154,0.25611506360663144,0.00011722085510366516,0.00024978460551465525,0.0006152511343902225,0.00020806228408018883,0.006137221489418824,0.000263198705200849,0.016895811740793912,0.00014413781162466634,0.0003746645973941657,4.746088017317777e-05,0.00037059065547653136,0.00015135403283325679,0.00022696988028903715,0.00018711254967152747,0.0009298033993428932,0.00020489031810248643,0.0002890927589474243,0.00018510114608228504,0.20689918102032015,0.00020636878292201963,0.05378247371304748,0.00016440198917394805,0.00018678322810279267,0.0002529446377388639,0.00017401423451862623,0.01738132503050832
1799,2.9793223792099128e-05,0.00023984683322035162,2.708670845458516e-05,2.5743346624868962e-05,5.158844986041056e-05,0.00015443429072919062,9.9794149514639e-05,0.0011410200653151628,1.133276646732794e-05,0.0001345041424788946,2.701112876625072e-05,3.0758973155857065e-05,2.2197908557814586e-05,2.1113423548339806e-05,3.2876018869925515e-05,2.682369284742601e-05,0.00044781933410037726,7.526888213632378e-05,0.04543906310801952,6.628924030822364e-05,2.2110058521555725e-05,1.941929988998552e-05,5.620416709029661e-05,0.14875549055514256,0.00021795727251675448,5.100126672192904e-05,1.785448844241544e-05,2.769673349526828e-05,2.8556413029563624e-05,4.80312700731049e-05,8.339997101707571e-05,1.899633749358433e-05,2.211044144059108e-05,0.04487304662039415,1.8662388406700555e-05,3.976747415813059e-05,9.795232791553355e-05,3.312498577881765e-05,0.003321425360109893,4.1903093611243765e-05,0.003088986269437573,2.294775807813788e-05,0.26341079330928,7.556107478762305e-06,5.9000650918989354e-05,2.4096631483849577e-05,3.613520869499184e-05,2.978964003163045e-05,0.00014803127109985583,0.12111360576018528,4.602560993323448e-05,2.946941036778883e-05,0.3658200023934085,3.285536842827879e-05,7.871276834988982e-05,2.6173958329216e-05,2.973720971092517e-05,4.027057361678679e-05,2.770429570752843e-05,2.9029593442124403e-05
1800,0.0027339763329549175,0.009742536275070008,0.0005128285005995601,0.008128116318972157,0.007393085378690925,0.0005020688526695896,0.015017876344511467,0.07194814560120259,0.0006563794536534186,0.00680481730624952,0.0031612558144542046,9.999801396916606e-05,0.00038193403395684667,6.864014647776936e-05,0.00010688057034762788,0.00346025522452002,0.012055444464370508,0.0004969570019065081,0.00010953803142422788,0.0011458076325009368,0.0019062903854840248,0.005602640619048567,0.00018272082937692652,0.14756833573311975,0.053443547920620185,0.0008170161252404167,5.804528570021519e-05,0.0029625985667642188,0.009737234008678597,0.022190252346203948,0.0020441270968213454,6.175745895095727e-05,0.0004935128311677925,0.17649151496008061,0.00045890202760774196,0.0008067410501466532,0.004426878879027839,0.00010768996656209535,0.003343781240930189,0.0006551493519168818,0.00020143843619734036,7.460360335278996e-05,0.11000564275091276,2.4565050900274087e-05,0.00103971935105483,7.833861291539907e-05,0.0046057341034247004,0.017152407412568644,0.002019136626865636,0.0018848683071210157,0.00014963014407932458,9.580562051565415e-05,0.2696860584992274,0.0012083242029400653,0.000255896725457014,0.0013910697464283807,0.0010700045791303368,0.0022422149413888004,9.00671987692738e-05,0.008839196104799447
1801,9.574646404591564e-05,0.004604080167056134,8.704853745491268e-05,0.005682438701128656,0.005050482617159745,0.02603718423246911,0.005390547926253295,0.09331896982025627,3.64201042719158e-05,0.008106411365561294,0.0021536932244084987,0.005978304172106534,0.0026918006505289058,0.003224444456108118,0.00220876520034826,0.0002618927643071238,0.017991294639236193,0.010587044584665264,0.00010828059549043767,0.020521032948020254,0.00017056555126187782,0.0016763566976611775,0.004053625031805573,0.04529876891170046,0.07956916446718296,0.0007952993160176437,0.0011881961135302556,0.0055271089202869,9.177172609768087e-05,0.000947511148550209,0.0004925672146140995,6.104851752618621e-05,0.006667303193441091,0.31622990104244475,5.9975305561492315e-05,0.005918809160091553,0.00220268903700484,0.005332564133269569,0.012458589285755205,0.009465868858918314,0.00019912603451522446,0.0024342529041617546,0.02597101876189194,0.0028003188620738012,0.0005630651642517985,7.743932902648558e-05,0.007811059289635611,0.013080159556819312,0.002831453295068664,0.00673130215498931,0.0007856102174731038,0.004770112830304074,0.1892373745888601,0.00018722271954526952,0.0002529591727755829,0.00033389160131876513,0.0017727469322627145,0.027485775605208092,8.903327721056245e-05,0.0002425108990091784
1802,0.004485174001756477,0.013212318703905632,0.0004987097415423444,0.00045400271570302956,0.0010245440808296232,0.04794505576080978,0.0015574360395844032,0.07770468503652823,0.0005501274579626795,0.010860908038937342,0.0009840412197299512,0.001155946846528532,4.973193846731678e-05,4.730227075247523e-05,0.00027282023580384976,0.0010054800238670737,0.03310754332314252,0.001688212740951521,0.0010065532230938293,0.014748197486913485,0.00044388190480100937,0.0002031691868595801,0.000506104134613265,0.03300601089231083,0.13279445614138255,0.005289582950466879,0.00012429759631651696,0.002238498316146148,0.0023561968047416094,0.0014050782730100054,0.0010190449268968607,0.0013502063728504836,0.0007529114354266492,0.28059828821537613,0.001020000985126925,0.006147569579050851,0.002133278496022485,0.043804780863445816,0.006475463695653404,0.0033855035842551683,0.0004144948569644543,0.0028091127519999193,0.0043813665086239574,1.692861609946353e-05,0.0006452156953424432,5.398581542505449e-05,0.014331215991160192,0.0006362623595097908,0.005938461552922925,0.005754815200116642,0.0003966005801118532,0.00043408162617390554,0.20617770605805133,0.00034477614221007405,0.0014345994104034974,0.002479317569806546,0.002783882658447934,0.011087541816659668,0.0015236720760568787,0.0009428474723501391
1803,0.0007301832178887173,0.016005136733694667,8.889540321893396e-05,0.001643007932698578,0.002360203540421541,0.047610317146616,0.0020165110356676398,0.057201504559135835,3.719281161047074e-05,0.12767430027081794,8.864735953799294e-05,0.0006622032512095243,0.0032644000080589977,0.0009719386633429381,0.006173161693273688,0.0022144733448019103,0.015498147380307548,0.003420954564281961,0.0006973315182187825,0.020652467623393032,0.0009256450067192997,0.0013972710731725768,0.001458937897094107,0.07919476155639832,0.048930370779528186,0.0034569077389546804,0.0006077578458630005,0.0015696554134707833,9.371880141899495e-05,0.001354073879316094,0.002392882618956765,0.003294872407296456,0.0027767628176884654,0.20655009751402542,6.124777195514777e-05,0.010862065499805337,0.0012476465677571707,0.008934883492591437,0.009773224494839755,0.000715385063627946,0.0016824850320787744,0.0003710194987202859,0.026940136078805407,0.0010560954021201934,0.0016890417181809802,0.0008085518267460283,0.0034924827841278008,0.0028808398322097075,0.003483935175575913,0.0015627765311172863,0.00032659655215948595,0.0038196839566020176,0.24653607259734062,0.0004835246063859435,0.0015597469076993342,0.00036165202265453934,0.0029156659142195117,0.0004867795499253497,0.00019768145736143958,0.004736086257292683
1804,0.003605339667827728,0.004924648433720113,7.797623581736345e-05,7.410901440884035e-05,0.0005870225565486675,0.08743549808815217,0.0028011899051883305,0.04767675833222427,3.2624357883908365e-05,0.10405777015485,0.0005559401079520366,8.854781851115086e-05,0.014039470949218378,6.078055944957502e-05,0.005614517552779244,0.004361419888499236,0.03422839902860997,0.0006351983677413027,0.000656818738524426,0.027431745148535434,6.364963613438575e-05,0.001708664377828999,0.0007561633359563308,0.0539459348266984,0.033912666888421206,0.0008616482326091289,0.0028765168516402006,0.005611030692796285,0.0014240590389795397,0.006786410451590997,0.0009689708508236418,5.468596874919334e-05,0.0033459740232590425,0.21664906675147255,0.0017958665596265173,0.007122176000163311,0.00206088456498393,0.0007878306084658688,0.012256992336793747,0.00029936790193050325,0.00017837288343618577,6.606117529491793e-05,0.006047087715587756,2.1752248694712682e-05,0.0037449494706936924,0.003150109951053692,0.005651835611108188,8.575733740094122e-05,0.004722996292866234,0.0036638292836148893,0.0027713747480896146,0.0005612237205076119,0.256146606878591,0.0003327769696719627,0.00022659546828952324,0.0033244780018646084,8.560640289156183e-05,0.003951992651934841,0.00628442516087342,0.00674783322216869
1805,0.0009968107404173768,0.04607465889143796,0.0011691368312931056,0.006356882786755711,0.002055587550527788,0.0691778159004277,0.0009394311021904308,0.09862316489699104,4.5324807210189494e-05,0.053974649017269595,0.00019281271127294757,0.008960305459295357,8.877937516430487e-05,8.444203404653858e-05,0.0034429401543568626,0.0021802706718648895,0.025010235982034973,0.04824487605135145,0.006724504090262363,0.008273184239486009,0.0011787413544671963,7.766647501366688e-05,0.004936047287773897,0.05823868177749226,0.03662128797578039,0.0014005532913349836,0.0001826576289000394,0.00019555475155540663,0.00020361692131570658,0.01449111543256912,0.0014233398732266252,0.0003987706466483812,0.006310590778032158,0.19263847405937656,7.463924709416681e-05,0.0005414336698221819,0.0019870688959687226,0.001167463632554677,0.028052996918249456,0.010380985134501202,0.005148640904347727,9.177835913201386e-05,0.010416856354675165,3.0220256962122223e-05,0.001971932931399013,9.637321827544723e-05,0.0012598898197461383,0.0023823470317789796,0.005810023792651875,0.00013046193074201317,0.001773856494298225,0.004658644813067426,0.20920084765689403,0.000492831487893403,0.0004731286010146396,0.00038783228509308256,0.0064129698193472985,0.0022291021211205803,0.0037986607344076655,0.00011610234181987001
1806,0.0001647500286467379,0.04342736707695253,0.00014978358921407368,0.00014235509132901536,0.0009885331881304177,0.09531273277933501,0.0008764314946366471,0.06465482765975905,6.266772649941289e-05,0.04262061804413443,0.0004739572663702519,0.003950625861213806,0.0020496591535374563,0.0007659358593530622,0.00018179721296381765,0.00034853761548081096,0.0056833101999517015,0.04242368417480156,0.005308541886259426,0.0012461255577329283,0.00012226380066239584,0.003066064409179723,0.0006039836235483669,0.07920517678824396,0.006710484307082958,0.0005517280046980106,0.0003348146566719231,0.00015315689462167524,0.0031246341082772837,0.04564385351184148,0.0007735050134509709,0.00185087304516158,0.004251109387431745,0.22245037032197917,0.005486450978239972,0.003965945323859509,0.003795217416118973,0.0001831739456617726,0.06513275011779196,0.00023171496716881308,0.00795300680660132,0.0029196288910356923,0.000637938344742595,4.178362611145315e-05,0.001289715510186034,0.0001332491158042081,0.0001998198217553922,0.0008505846750415975,0.005005138525460324,0.009929026913398175,0.00609123619211323,0.00016295941104511175,0.20010222460023458,0.00215413629839488,0.0009476567373298535,0.0013174836385021987,0.00016444028299643745,0.00038022252325763724,0.0010897086786095436,0.00016052731938533807
1807,0.002032122162005515,0.06608420485912185,0.00025221278998624664,0.0002397043290338271,0.0017261599752937855,0.035556623374877805,0.0010625133252911503,0.08388655558892211,0.00010552292294132627,0.00844834108823492,0.006789030795263267,0.004774499741164147,0.004050070242673862,0.0001965936713283703,0.0003061188647829523,0.00024976376964098193,0.05174782801986781,0.010391050342945135,0.0020040119190822916,0.04715513244072805,0.012195108337365744,0.0017521655044978252,0.002942489784193583,0.016208811001478692,0.004793588360935476,0.0025301824658550266,0.0001662487101889457,0.00025789292338931875,0.0023214059656716814,0.006038716551600991,0.000776563140193142,0.00017688082281426944,0.00020587721586433753,0.3820945210862159,0.00017377131871717562,0.0003702873542181998,0.0044030309975649695,0.00030843707331726806,0.012590889493175415,0.0031922187659606176,0.013056146558394271,0.0003469726084457894,0.006519685921580466,7.035727326743483e-05,0.0010570080722802078,0.0002243712507926874,0.0003364661976917473,0.0003559479462118057,0.012958933376531116,0.0006150733101053532,0.000507126125497857,0.0028157938864041107,0.17226021383570198,0.0003059265820805006,0.0019334876570856513,0.0008790626428603635,0.0016257520632120697,0.0003749718701800044,0.0003365306548511523,0.002863025070421602
