receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
AbekenBernhardRudolf,0.00010538954398020439,5.0187403927444836e-05,5.278845650544401e-05,7.161478814843475e-05,5.2144523287978874e-05,4.462858540953454e-05,5.1850563248692024e-05,5.4301690508087274e-05,6.074966308363548e-05,5.39855531267517e-05,0.00047898804297098643,8.111409137819556e-05,8.871292013626196e-05,5.643382255625838e-05,8.584178775558618e-05,4.1532789881781735e-05,0.019103530402180276,4.513327970282239e-05,8.089005409546564e-05,6.619882487028582e-05,0.014064230341491487,8.23921616688844e-05,0.000655205185944347,4.6746665277533776e-05,3.183333706632138e-05,5.923435945305599e-05,8.083638420570318e-05,9.083141691035984e-05,3.4340460151920155e-05,8.046080309582545e-05,0.16192688440022923,0.006993853338932616,6.468977069686018e-05,5.305414328809283e-05,0.08325720964989618,6.81124836644812e-05,0.00024196416586822958,6.77971737132306e-05,0.0001875856427670283,3.855277819682255e-05,9.420552090337405e-05,7.062815268291995e-05,6.139516033136318e-05,0.00011681188757600033,0.00011580263471106094,0.00014103839861956066,0.0004623122905009011,3.540275522954356e-05,0.0007745573730825195,0.0008576381460913722,0.006073911405954141,4.197561295638097e-05,0.00036677351142965886,0.0706916189450232,4.312518485625615e-05,3.5586996130692046e-05,2.348701098592221e-05,0.19613243121427937,5.446588060444142e-05,0.009065439305879285,0.00014184255365845482,0.2619011479424425,9.27921461845909e-05,6.896211055895622e-05,9.347665294544661e-05,0.0032397896814171114,5.3277032807873834e-05,6.673713981375367e-05,0.0001536347868085289,0.003301744340763255,6.360698282681955e-05,0.0001631320899211284,0.00010359378180491785,9.867051829439506e-05,6.95638945721719e-05,6.800720363809948e-05,6.137491176573997e-05,0.1559858152763523,9.888904274292957e-05,6.35030735806659e-05
AbekenBernhardRudolfANDTruchsessvonWetzhausenChristianFreiherrANDVoßHeinrichANDVoßAbrahamSophus,0.0002591530995291629,0.0001234109266813262,0.00012980692017526728,0.0001761009073564,0.00012822348710502627,0.00010974178082272804,0.0001275006387802132,0.00013352796561571045,0.00014938354308121526,0.0001327505831624233,0.001177832556108743,0.00019945971300624988,0.00021814524812740138,0.00013877088258850608,0.00021108512785825563,0.00010212921342537453,0.0036479582938866327,0.00011098282509980349,0.000198908804879724,0.00016278304281822483,0.0005544682697318008,0.00020260249040844042,0.0016111508632863304,0.00011495014345636296,7.827823954379513e-05,0.00014565740842153565,0.000198776830513406,0.0002233546359339671,8.444326022797307e-05,0.0001978532758126884,0.007829887241597553,0.00018314821387645268,0.00015907227558619152,0.02436648825071662,0.0005526314316753647,0.0001674887336223346,0.0005949903680342172,0.00016671338582128204,0.0004612734709182997,9.480135872913108e-05,0.00023165156440428658,0.00017367476877246622,0.00015097082210500148,0.00028724066528704867,0.00028475891047267303,0.00034681370441980587,0.00113682684741704,8.705544594947487e-05,0.0746127221489134,0.0021089339173511533,0.0004932065707323138,0.00010321811625189192,0.0009018967985101492,0.012390543994351692,0.0001060449158539496,8.750849469406043e-05,5.7754607011303956e-05,0.2945368423187023,0.00013393170939118558,0.0006281027974938796,0.00034879112326954083,0.559836701303414,0.0002281760731426715,0.00016957796785593084,0.00022985927663729658,0.0007453724442159313,0.00013100833028057118,0.00016410676034136698,0.00037778824818153635,0.0008977190755178221,0.00015640969804713018,0.0004011421355392844,0.000254737316746858,0.00024263100192315547,0.0001710577559485829,0.00016722984982679926,0.0001509210308416172,0.00044206324318035305,0.00024316835397936368,0.00015615418500291854
AbekenMinonaLaura,3.402550898931582e-05,1.620323894564389e-05,1.7043000980206048e-05,2.312117052494516e-05,1.6835104118222335e-05,0.003196478105975026,1.6740197739643326e-05,1.7531555681320875e-05,1.961331389514697e-05,1.7429489243757454e-05,0.00015464353811935408,2.618806516391593e-05,2.864138269857027e-05,1.821992452164037e-05,2.7714424131916365e-05,1.3409056174864646e-05,0.12776174103069654,1.4571491214860361e-05,2.611573367551989e-05,2.137260135720045e-05,7.279891743655086e-05,2.6600696156730345e-05,0.00021153606991964209,1.5092380321144815e-05,1.027754230261674e-05,0.003201193648686807,2.6098406099675057e-05,2.9325349326649077e-05,1.1086978759637423e-05,2.597714797531349e-05,0.05512320761017093,2.4046446710274104e-05,2.088539613356932e-05,1.7128779205160294e-05,7.255774976417982e-05,2.1990435081925628e-05,7.811926676889467e-05,2.188863578404924e-05,6.056290532422253e-05,1.2446945413726046e-05,3.0414694639375318e-05,2.2802630633479668e-05,1.9821715711642762e-05,3.771326623751881e-05,3.7387424212479434e-05,4.5534909051034116e-05,0.006513398808519487,1.1429945712030444e-05,0.000250069483795379,0.00027689250135566943,6.475556200767534e-05,1.3552023683181059e-05,0.0001184145498583509,0.11299925112583747,1.3923168367329373e-05,1.1489428751822375e-05,7.582891748575772e-06,0.4809788863971243,0.17503141023772745,8.246676355085402e-05,4.579453428017295e-05,0.00031616589078876613,2.9958379976810115e-05,2.2264741113090865e-05,3.017937619773615e-05,9.786368307820871e-05,1.7200740132900505e-05,0.019113963744954846,0.012777879942834773,0.00011786603567315087,2.0535812986947964e-05,5.266796099905151e-05,3.344573874143085e-05,3.185624000647544e-05,2.245902990662757e-05,2.195644493120708e-05,1.981517836718132e-05,5.804069826680414e-05,3.192679165047337e-05,2.05022653990607e-05
AhlefeldtJohannGeorgJacobvon,0.00029488762297465697,0.00014042801295556444,0.00014770594758731835,0.00020038339525306484,0.00014590417552643549,0.00012487403371449308,0.0001450816539179245,0.00015194008658433038,0.00016998198366442719,0.00015105551115687628,0.0013402434443736462,0.0002269631378304291,0.00024822521436316906,0.00015790594740702605,0.0002401915767649072,0.00011621177226124995,0.004150973891299572,0.0001262862051202683,0.00022633626518949303,0.00018522913538159843,0.0006309236909500369,0.00023053927162683838,0.0018333118499885355,0.00013080057551319462,8.907199655975155e-05,0.0001657420536976519,0.02780411088751235,0.00025415292269551125,9.608710962785609e-05,0.00022513518961631132,0.03648747224367676,0.0002084024522191895,0.00018100669185128893,0.00014844935856370337,0.0006288335719846997,0.00019058369212121963,0.0006770333661499675,0.00018970143190343168,0.0005248782963719098,0.00010787348243641328,0.0002635939115127335,0.00019762271733208615,0.00017178813199594347,0.0003268481726132125,0.0003240242095606897,0.00039463571571090987,0.0012935834739297009,9.905948865624322e-05,0.0021672679658686165,0.0023997340221984503,0.0005612146393115682,0.00011745082348905891,0.0010262590089190982,0.1244107706248925,0.00012066740942529114,9.95750081218611e-05,6.571836805479669e-05,0.5557738151088801,0.00015239950243718715,0.055870561245226484,0.0003968858001022719,0.0027401032569311463,0.000259639186067933,0.00019296101007767783,0.0002615544858595019,0.0008481515702686459,0.00014907301968027984,0.0001867353798162529,0.0004298813276646784,0.001021505221274296,0.00017797697249656767,0.0004564554737684923,0.000289862949564954,0.00027608729954251335,0.00019464484559398527,0.16565783787844598,0.00017173147503397393,0.0005030191775547433,0.00027669874687169315,0.00017768622685476949
ArnimLudwigAchimvon,5.476205097153079e-05,2.6078157929213283e-05,2.7429705421275448e-05,3.72121610056174e-05,2.7095107677084524e-05,2.318970911804401e-05,2.6942361455333692e-05,2.821600541323831e-05,3.1566472542230994e-05,2.8051735498625562e-05,0.00024888965862550697,4.214814713873796e-05,4.609661709180398e-05,2.932389448354221e-05,4.4604731921429655e-05,2.1581085472039045e-05,0.0007708558315327342,2.345195614531325e-05,4.203173387198463e-05,3.439794200535644e-05,0.00011716556623986077,4.281225239776676e-05,0.00034045483483859785,2.429029645633759e-05,1.654109849215452e-05,3.077909713930937e-05,4.2003846160093955e-05,4.719742106100952e-05,1.784383875480572e-05,4.180868835689738e-05,0.10408161335404782,3.870133848242276e-05,3.361381391785414e-05,2.756776041785661e-05,0.15375737868361253,3.539230896503821e-05,0.0001257283548645849,3.522846899600429e-05,9.747242603749092e-05,2.0032624916804604e-05,4.895065812676053e-05,3.669948982769684e-05,3.19018829809429e-05,6.069727887539955e-05,6.0172855343940355e-05,7.328575191100735e-05,0.0002402246775252285,1.8395823847354807e-05,0.0004024720929913797,0.00044564215858270193,0.00010422025981941808,2.1811183248979127e-05,0.00019058123765760835,0.1204093930654094,2.240851873975825e-05,1.8491558293474327e-05,1.220421727056306e-05,0.1800301732078754,2.8301321148424103e-05,0.00013272539465749382,7.370360341283383e-05,0.2770619326363196,4.821624657634701e-05,3.5833788352317496e-05,4.857192696657034e-05,0.00015750582901415006,2.768357728907829e-05,3.467765884689111e-05,7.983103169882991e-05,0.00018969843641052157,3.305118045070813e-05,8.47659785398746e-05,5.3828944934045114e-05,5.127074041842291e-05,0.06149238698972249,3.5337603821119174e-05,3.189136151039771e-05,0.0973991272153909,5.138428913053632e-05,3.2997187585577696e-05
BarthKarl,7.623569825324074e-05,3.630409277266494e-05,3.818561775121884e-05,5.180403267310201e-05,3.771981538973285e-05,3.228300685492403e-05,3.750717333809068e-05,3.928024674813075e-05,4.394452057502003e-05,3.905156225914012e-05,0.0003464858707207738,5.8675549403225696e-05,0.2995061697110772,4.0822568399042985e-05,6.20954259948484e-05,3.004359936918877e-05,0.0010731287730627844,3.2648087871504306e-05,5.851348741833958e-05,4.788628403666093e-05,0.00016310928088094628,5.9600067883405154e-05,0.00047395617215113817,3.381516357175529e-05,2.3027300312046313e-05,4.284839447009452e-05,5.847466419767942e-05,6.570477705827406e-05,2.4840879456798496e-05,5.820297986277395e-05,0.4086889048829972,5.3877155990310776e-05,4.679467860534148e-05,3.837780776008437e-05,0.00016256893375770156,4.927056855753656e-05,0.00017502976519845508,4.9042482607147586e-05,0.00013569394001091342,2.7887946511934242e-05,6.814550470707003e-05,5.109032957890264e-05,4.441145431002424e-05,8.449828585754325e-05,8.376822200142495e-05,0.0001020230318227842,0.0003344231215575936,2.560931249042859e-05,0.0005602920360413843,0.0006203902251268079,0.00014508777773129862,3.036392456483684e-05,0.0002653131770822069,0.025033670593751355,3.119549108623436e-05,2.5742586942669315e-05,1.69898133607034e-05,0.0866446200190792,3.939901703756455e-05,0.0001847705291920359,0.00010260473394026824,0.17181809683346902,6.712311098079915e-05,4.988516367873001e-05,6.761826305093908e-05,0.00021926802668679552,3.853903948699103e-05,4.827568524332269e-05,0.00011113488877545537,0.00026408420613797614,4.601142168805003e-05,0.00011800495867961675,7.493669668098375e-05,7.137535257383113e-05,5.032047654481236e-05,4.9194412081094864e-05,4.439680709284678e-05,0.0001300428205457521,7.153342673650671e-05,4.593625679373205e-05
BentzelSternauChristianErnstGrafvon,0.00012253928478513562,5.8354257455056e-05,6.137857192268878e-05,8.326845897916162e-05,6.0629853283841735e-05,5.1890868206848984e-05,6.028805796327002e-05,6.313805019153187e-05,7.063528300876713e-05,6.27704686731036e-05,0.0005569324051475285,0.2063723005057181,0.0001031489213649154,6.561713802494567e-05,9.981057777631862e-05,4.829130267610614e-05,0.0017249193664711233,5.247768996732884e-05,9.405306257849568e-05,7.697117139765748e-05,0.00026217762910198453,9.57996038459258e-05,0.0007618248627037692,5.435361718877049e-05,3.701348548546593e-05,6.887339832731897e-05,9.39906591401885e-05,0.00010561215509487945,3.9928585581498996e-05,9.355396078430736e-05,0.18706053478513995,8.660074364871733e-05,7.521655312975476e-05,6.168749315996793e-05,0.00026130908914583214,7.919623444572922e-05,0.00028133830652777117,7.882961500273075e-05,0.00021811092099373,4.4826362163650415e-05,0.0001095353174360344,8.212127112995201e-05,7.138582018807387e-05,0.00013582035387356254,0.00013464686815983513,0.00016398917616844498,0.22973530633146064,4.116374491634907e-05,0.0009005988918636299,0.0009971991628147335,0.0002332103321884678,4.880618509041792e-05,0.0004264575219830643,0.12045769020327725,5.014282355662339e-05,4.137796681543183e-05,2.730898549571605e-05,0.20802964473909802,6.332895847537281e-05,0.00029699535801917603,0.023084700516726443,0.012598526299788929,0.00010789194826835292,8.018411870873296e-05,0.00010868784286793107,0.0003524457410646957,6.194665285749157e-05,7.7597084801117e-05,0.00017863533878816399,0.0004244821059512273,7.395756626865096e-05,0.00018967811102963208,0.00012045130333751543,0.00011472689115577631,8.088382932317901e-05,7.907382250002995e-05,7.136227663094586e-05,0.00020902745808379613,0.00011498097546642207,7.383674816634828e-05
BergnerCaroline,0.0001934982824370048,9.21455401852468e-05,9.692114872631535e-05,0.00013148684376521207,9.573886852205676e-05,8.193938694677473e-05,9.519914929983672e-05,9.969949057483634e-05,0.00011153815664595858,9.911905310454936e-05,0.01897541792028253,0.00014892784208333994,0.0001628795137358423,0.00010361414732036221,0.0001576080307847975,7.625541589259836e-05,0.20177957151406373,8.286602041740915e-05,0.00014851650308543864,0.00012154297692145245,0.0004139972010901917,0.00015127441648476732,0.0012029758677754884,8.582824347887276e-05,5.844693708636235e-05,0.00010875601490006804,0.0001484179635994952,0.00016676913571972023,6.305008833457962e-05,0.00014772838570654252,0.005846234274940828,0.00013674875925036276,0.0001187723093615178,9.74089574231479e-05,0.00041262571446826413,0.0001250565103884615,0.0004442532792019594,0.00012447759210398968,0.00034441272174096674,7.078402735722226e-05,0.0001729640892488362,0.00012967535221910186,0.00011272330845548328,0.0002144700390621873,0.05450056265056066,0.00025895062128437223,0.0008488188750322784,6.500049313944357e-05,0.0014221099710663636,0.0015746486980938886,0.0003682557704180899,7.706845199772205e-05,0.0006734068848268152,0.045443440913335305,7.917909959864034e-05,6.5338764817833e-05,4.3122838506717996e-05,0.3646856302825295,0.00010000094838969947,0.0004689768817342152,0.0002604270734347707,0.2370457553316897,0.0001703690919635667,0.00012661645019448325,0.00017162586637912896,0.0005565369968319621,9.78181890947351e-05,0.00012253133888827868,0.00028207795809050693,0.000670287561828242,0.00011678427919093618,0.05458746091338594,0.00019020121060748282,0.00018116195493473922,0.0001277213432280574,0.00012486321318353564,0.00011268613149729625,0.00033006928506484825,0.00018156317220796185,0.00011659349877856592
BertuchFriedrichJohannJustin,0.00022012927907890477,0.0001048274489874,0.00011026032028769554,0.00014958326121483666,0.00010891532390966597,9.321663194934635e-05,0.00010830132361056253,0.00011342104285560146,0.00012688905401658137,0.00011276072029213762,0.0010004720449917086,0.00016942464863095388,0.00018529647645356404,0.00011787447032989712,0.00017929948398895138,8.675038101056324e-05,0.003098641038066422,9.427079716100683e-05,0.00016895669741234535,0.00013827082881489501,0.010686384569702388,0.00017209417998175226,0.001368540367323156,9.764070834976985e-05,6.649093709335462e-05,0.00012372400857480807,0.0001688445960245276,0.00018972142365421564,7.172761595685366e-05,0.00016806011213902415,0.35321905866792885,0.0001555693694517273,0.00013511883674109312,0.00011081526566193744,0.0004694150248330392,0.00014226792677034643,0.0005053954631923117,0.005249313983358161,0.0003918139385403841,8.0525970133712e-05,0.00019676898313183307,0.07165538756803495,0.00012823731721635769,0.007010681125169869,0.00024187931299116108,0.00029458976515164224,0.0009656410624226253,7.394645324160584e-05,0.022048652306021516,0.001791366198957302,0.00041893848481663887,8.767531455225637e-05,0.0007660872759010551,0.020740159041694402,9.007644870666949e-05,7.4331280950456e-05,4.9057796445352325e-05,0.11582757054988112,0.00011376399004160621,0.0005335217531681964,0.015619383372743123,0.09427432511705108,0.00019381683867647305,0.0001440425597054881,0.0001952465818379019,0.0006331326890885602,0.0001112808195247841,0.00013939521816081754,0.0003209000967681871,0.0007625386432504594,0.00013285719574497874,0.1223103803927203,0.00021637843418372948,0.0002060951137863055,0.00014529951818530903,0.0001420480262428978,0.00012819502362645607,0.13405038261786192,0.006973245315476185,0.00013264015839400842
BodeAugustTheodorHeinrich,0.00012032750661410321,5.7300989737260766e-05,0.01174488604906308,8.176550129315461e-05,5.953551209977789e-05,5.095426171549337e-05,0.0008969647086519095,6.199843719786992e-05,6.936034838402675e-05,6.163749035810786e-05,0.002085615849042412,9.261124014959286e-05,0.00010128713040505711,6.443277862719273e-05,0.001838323692919261,4.7419666699961705e-05,0.009303195422585038,5.153049161098567e-05,9.235544771894575e-05,7.558187687880463e-05,0.03234477335066653,9.407046471351201e-05,0.0007480742715816445,5.337255920213729e-05,3.634540896311535e-05,0.00807108714768701,0.001874134639128524,0.010344942832517048,3.920789283268614e-05,0.0160213100539386,0.11468227431513135,8.503763974507315e-05,7.385892866993846e-05,6.057406205878134e-05,0.31515940806149517,7.776677855423962e-05,0.00027626027848032134,0.010926462053869296,0.00021417411840210726,4.401726678257159e-05,0.0006317627664491299,8.063901966111774e-05,7.009733870974568e-05,0.00013336885846614127,0.0001322165536340404,0.004777236705348141,0.001959552293512387,4.042075810519238e-05,0.003448903192273614,0.006219570585178323,0.009616753114871061,4.7925255721655595e-05,0.0015679451018842734,0.016871015105288416,4.9237768473505055e-05,4.06311133967543e-05,2.6816070769647784e-05,0.3440992156789268,6.218589967430625e-05,0.00029163472733721474,0.00016194738271858213,0.024948430211854555,0.0001059445478373113,7.873683195710534e-05,0.00010672607690256406,0.027779180915449647,6.0828544042029107e-05,7.619649283095983e-05,0.00017541105244114118,0.0012869777229083672,7.262266594715396e-05,0.000186254507682888,0.00011827721227878715,0.00011265612312466125,7.942391311426523e-05,7.7646576088299e-05,7.007422010308e-05,0.01266091042662988,0.0028239392908476824,0.0006664508513878976
