sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
AdelheidLouiseTheresaCarolineAmelia,0.00023773442838220772,0.00011321117194433583,0.00011907854478294354,0.00016154639332511907,0.00011762598042419513,0.00010067176345155348,0.0001169628745859139,0.000122492050592348,0.00013703718492521916,0.00012177891780133625,0.009792603569969313,0.00018297462366057468,0.00020011582328007885,0.017551536373807766,0.00019363921289207098,9.368836498161846e-05,0.003346459221729972,0.00010181023701155946,0.0001824692473838151,0.00014932923320236908,0.0005086421786976466,0.0001858576545430905,0.0014779913117642408,0.0001054496615965653,7.180864348726617e-05,0.00013361901051401796,0.00018234818052953198,0.00020489466186879413,7.746413312246771e-05,0.00018150095643978078,0.08497443050333021,0.00016801124900395456,0.00014592515612063775,0.0001196778726955265,0.0005069571529496586,0.00015364600469956876,0.0005458151775708033,0.0001529347383993952,0.000423149810424315,8.696614807337242e-05,0.00021250585984714413,0.00015932077198207737,0.00013849327737438713,0.0002635005928704208,0.00026122395190701994,0.00031814999675927217,0.13688629576383318,7.986042504588155e-05,0.0017472222327253302,0.0019346332351348437,0.0004524436805132673,9.468727138673657e-05,0.03478821273453356,0.2828749750304626,9.72804396288575e-05,8.027602989305108e-05,5.2981262848937324e-05,0.23950120845043266,0.00012286242546283898,0.0005761909072234333,0.0003199639844783774,0.15047669910526532,0.0002093176134787673,0.00015556256640453364,0.0002108617023643436,0.0006837683681170204,0.0001201806598846187,0.00015054354717073545,0.0003465645342237027,0.0008235237458235266,0.00014348263719872605,0.00036798825275758773,0.0002336836043808027,0.00022257786094320936,0.00015692005191010006,0.00015340851731755086,0.0001384476012950325,0.00040552728335954084,0.00022307080154146877,0.020265727798254304
AdersbachGerson,0.0004071791952084355,0.00019390222188091127,0.00020395155367803407,0.00027668828141793147,0.00020146367680379043,0.0001724253735622811,0.00020032794352608746,0.00020979802933480368,0.00023471018081475448,0.00020857661248787536,0.001850600718872296,0.0003133894426342796,0.07650163937775477,0.00021803565688935026,0.000331655197788295,0.00016046457096352394,0.043811087428646464,0.0001743752920115519,0.00031252386036649993,0.00025576336338916256,0.0008711759351834508,0.00031832734835745305,0.0025314268402121904,0.0001806087096264462,0.00012299011911369746,0.00022885570901903565,0.00031231650333946395,0.00035093294685997615,0.00013267654835258234,0.00031086542187274644,0.4692556019973041,0.0002877609508262296,0.00024993303676798653,0.00020497805143341656,0.0008682899105018756,0.0002631569056543266,0.0009348439191084447,0.0002619386856360718,0.0007247490421714177,0.0001489511065934596,0.000363969011886343,0.0002728763526473897,0.00023720410041923058,0.000451310144988463,0.0004474108324590816,0.0005449108087438547,0.0017861728903247145,0.00013678079283875095,0.0029925515938634237,0.0033135394358583905,0.0007749220630860981,0.00016217544603068344,0.22989372688395385,0.019467919700675226,0.00016661689006153846,0.00013749261925929425,9.074355832582228e-05,0.1200588264756534,0.0002104323881978352,0.0009868698929566338,0.0005480177127989784,0.003783519388472681,0.00035850834891364657,0.00026643949311086555,0.00036115298424912453,0.0011711229868282323,0.00020583919924616227,0.00025784317735525267,0.0005935777543592618,0.0014104887472182195,0.00024574961707705956,0.0006302711879959532,0.0004002411540166425,0.00038121981282562026,0.00026876452385809504,0.0002627501495873141,0.0002371258688001989,0.0006945660920762072,0.0003820640959084312,0.00024534815710650017
AretinJohannChristophANDBaboJosephMariusFranzvon,0.0002127476725726253,0.00010131226471604866,0.00010656295526189915,0.00014456727797610469,0.00010526306071701296,9.00907938065516e-05,0.00010466964972171174,0.00010961768915637904,0.00012263407680217496,0.00010897950922360523,0.0009669231641360436,0.00016374332312127425,0.00017908292012019686,0.00011392177961672972,0.00017328702511422352,8.384137599510472e-05,0.002994734147793016,9.110960964162005e-05,0.0001632910637350942,0.00013363418595720942,0.00045518202990868273,0.0001663233369391473,0.0013226490323684922,9.436651742410906e-05,6.426129305912783e-05,0.0001195751649929808,0.00016318272144891498,0.00018335948533739328,6.932237009931717e-05,0.00016242454370213845,0.6828981838665531,0.00015035265373572734,0.00013058788979672294,0.00010709929162419007,0.00045367410651471366,0.0001374972490200847,0.0004884480109726217,0.00013686073940315195,0.00037867522146429723,7.782568861027863e-05,0.00019017071863836104,0.0001425755775565136,0.00012393712862230526,0.00023580571916391577,0.0002337683614722132,0.00028471127131281384,0.000933260170707832,7.146680299858264e-05,0.001563582801233343,0.0017312962235106802,0.00040489019892666917,8.473529369248217e-05,0.000740398031635906,0.010171822762283437,8.705591049104497e-05,7.183872625995842e-05,4.741273881857953e-05,0.042833530461715175,0.00010994913627664916,0.0005156311406113072,0.0002863346023042109,0.06166541800018534,0.00018731756859578585,0.00013921237309718118,0.00018869936810579825,0.0006119018178629332,0.00010754923404526312,0.00013472087109701184,0.0003101393372177926,0.0007369683954676117,0.0001284020885251634,0.17939499506936313,0.00020912260495341322,0.00019918411567100214,0.00014042718192325504,0.00013728472242840212,0.00012389625326554232,0.0003629048862907512,0.00019962524641386464,0.00012819232909891404
AretinJohannChristophANDBaboJosephMariusFranzvonANDSchererJoseph,4.061707290044742e-05,1.9342198163302786e-05,2.0344642411456408e-05,2.7600300381994594e-05,2.0096470899852625e-05,1.7199832531426355e-05,1.998317886067485e-05,2.0927841972622948e-05,2.341288709446465e-05,2.0806002797887783e-05,0.00018460173111148004,0.02662085499520137,3.418991114586217e-05,2.1749564503751965e-05,0.007630110140724106,1.6006714619660524e-05,0.0005717446105401933,1.7394341437421454e-05,3.117498283068565e-05,2.551299108178508e-05,8.690182819961677e-05,3.1753894272083704e-05,0.0002525157221218401,1.8016139359963865e-05,1.2268550782705287e-05,2.282888989981771e-05,3.115429848437658e-05,3.500637864978322e-05,1.3234794655601136e-05,3.1009549729008605e-05,0.4038695968664121,2.8704824939859527e-05,0.03041303845216605,2.0447037952911256e-05,8.661394051708421e-05,2.62505141397178e-05,9.325285785667528e-05,2.6128993856087117e-05,0.0038708087858621673,1.4858219737901596e-05,3.630675649261449e-05,2.722005161047975e-05,2.366166138248053e-05,4.501923790660348e-05,0.003843143653619349,5.435612207952118e-05,0.00017817490518390514,1.3644202600451156e-05,0.00029851399009735727,0.004129046656022836,7.730028031619111e-05,1.6177378391641318e-05,0.0001413543117189095,0.001941970324140964,1.6620422776293995e-05,1.3715208943495945e-05,9.051881253115578e-06,0.07275236161558472,2.099112074641099e-05,9.844256989838936e-05,5.4666042993916276e-05,0.00037741486949789877,3.57620426451075e-05,2.6577959882509465e-05,3.6025851178255234e-05,0.11027371030038637,2.0532939452545707e-05,2.572045736806429e-05,5.9210763233009424e-05,0.0001406995370716237,2.4514096568628365e-05,0.3305335351846236,3.9924987135286685e-05,3.802756405740928e-05,2.680988711373172e-05,2.620993927484021e-05,2.365385759630795e-05,6.928458508690951e-05,3.8111783260960656e-05,2.447405000170473e-05
BassewitzAdelheidHenriettevon,3.307411703428619e-05,1.5750177944171473e-05,1.6566459276532445e-05,2.2474676283368697e-05,1.6364375447412673e-05,1.4005668884826303e-05,1.627212275918961e-05,1.7041353432190668e-05,1.906490331715465e-05,1.694214088838111e-05,0.00015031952879710503,2.5455817057868065e-05,2.784053704218638e-05,1.77104746963173e-05,2.6939497292007412e-05,1.3034123703661573e-05,0.009048936646638165,1.4164055736997085e-05,2.5385508040206456e-05,2.0774999099562496e-05,7.076337685416754e-05,2.5856910418517072e-05,0.07892483438579131,1.4670380191057317e-05,9.990170523189239e-06,1.8589359655729583e-05,2.536866496310239e-05,2.8505379184936636e-05,1.0776974215669677e-05,2.5250797353899192e-05,0.019557852005414655,2.337408069351924e-05,2.030141668846171e-05,1.664983904469465e-05,7.052895250438368e-05,2.1375557490201292e-05,7.59349631642057e-05,2.127660461654908e-05,5.886949756603797e-05,1.2098914654361644e-05,2.956426516295895e-05,2.216504312979187e-05,1.926747798168367e-05,3.665876039287348e-05,3.6342029281687886e-05,4.4261701171682106e-05,0.0001450862222659184,1.1110351421750592e-05,0.0029959197375540535,0.0019858243027356,6.294492279705048e-05,1.3173093677737263e-05,0.020715191914396993,0.4857746350949443,1.3533860734125136e-05,1.1168171248053592e-05,7.370865465362175e-06,0.2590396455526891,1.7092880768372215e-05,8.016089898835037e-05,4.451406698394042e-05,0.010267116927438633,2.912070957768082e-05,0.025771752656259674,2.933552649275879e-05,9.512730312282252e-05,0.0564499906509093,2.094393702992212e-05,4.821479178615038e-05,0.00011457036717496966,0.005169983700813895,5.119530486926236e-05,3.251055782235594e-05,3.096550328100366e-05,2.1831049870307036e-05,2.1342517742780282e-05,1.926112342881337e-05,5.641781428841374e-05,0.022053773931214413,1.992899872532267e-05
BayreutherPostamtANDOsmundEmanuel,6.207379305164047e-05,2.956007216215356e-05,3.109207612901277e-05,4.218066964781634e-05,3.07128034253799e-05,2.6285962252756825e-05,3.053966277067158e-05,3.198336164720827e-05,3.578117782650982e-05,3.1797158674467467e-05,0.03511301108100881,4.77757008107722e-05,5.2251364201550955e-05,3.323917430678107e-05,5.056028489243651e-05,2.446255773213363e-05,0.0008737792779910488,2.6583224086642152e-05,4.7643744229513626e-05,3.8990700595798746e-05,0.00013280932657785895,4.8528476349345284e-05,0.00038591182372238334,2.7533498264656892e-05,1.8749639694513807e-05,3.488867331019217e-05,4.761213299461876e-05,5.349914576857834e-05,2.0226319768200053e-05,4.7390918031462344e-05,0.06573208997525475,4.38686797364165e-05,3.8101876971298254e-05,3.124856400949736e-05,0.011742666047040008,4.011783385281944e-05,0.00014251540514150497,3.993211823130836e-05,0.00011048678956962396,2.2707349182617826e-05,5.5486472263096777e-05,4.1599547428374156e-05,3.616137173434549e-05,6.880148315971556e-05,6.820703943115376e-05,8.307074912374435e-05,0.3834120898695544,2.0852005033718962e-05,0.0004562095276963863,0.0005051435918886607,0.00011813558340212618,2.4723377798840884e-05,0.040852065757340114,0.026188445453434246,2.540046857574221e-05,2.0960521791052e-05,1.3833704979457813e-05,0.4130528564577582,3.2080068603869274e-05,0.00015044667857582028,8.354439149452004e-05,0.0005767912562592957,5.465400324876416e-05,4.0618258866790996e-05,5.505717351984711e-05,0.00017853575717487625,3.137984456544002e-05,3.930776478580703e-05,0.01750593497948261,0.00021502667038690958,3.746412157711653e-05,9.60837973807702e-05,6.101610017786125e-05,5.811632825790415e-05,4.0972705948421336e-05,4.005582456495956e-05,3.614944545376187e-05,0.00010588544888241372,5.824503781373638e-05,3.740291967037797e-05
BergnerCaroline,0.0001025589459263604,4.883944887878087e-05,5.137064125920093e-05,6.969132712655683e-05,5.074400307920654e-05,4.342993151812224e-05,5.0457938346073296e-05,5.284323216708238e-05,5.9118022300290614e-05,5.253558574056602e-05,0.12515334232630482,7.893549395265233e-05,8.633023007418436e-05,5.4918098488520425e-05,8.353621181149543e-05,4.041728420854184e-05,0.011034991471677516,4.3921070513318697e-05,7.871747396037206e-05,6.442082813770875e-05,0.00021942890668343016,8.01792372774879e-05,0.0006376074010582968,4.5491123078934463e-05,3.097834350107533e-05,5.7643417351437145e-05,7.86652455597723e-05,8.839182734365051e-05,3.341812918811608e-05,7.829975197014123e-05,0.003098650888912625,7.248027439220679e-05,6.295230479538002e-05,5.1629192111078114e-05,0.00021870198435354962,6.628308905452466e-05,0.00023546538742076558,6.597624783461742e-05,0.00018254738626365864,3.751731096911822e-05,9.167530818909816e-05,6.873119114403688e-05,5.9746182503144846e-05,0.00011367450326678858,0.00011269235735276145,0.00013725032817563893,0.00044989530661105877,3.4451892684087565e-05,0.000753753975420511,0.0008346033290161164,0.00019518480045255588,4.0848213749059616e-05,0.0003569225494798725,0.21591265518285332,4.196690994856027e-05,3.4631185163252875e-05,2.285618666430021e-05,0.5289888958356255,5.300301237465962e-05,0.0002485695172521813,0.00013803288486993344,0.10645755037307192,9.02998945011464e-05,6.710989630159285e-05,9.096601648271618e-05,0.00029497857575397585,5.184609516752425e-05,6.494468478508963e-05,0.00014950839711066054,0.0003552692300048446,6.189859891129275e-05,0.00015875061753960838,0.00010081141510995972,9.602038274481576e-05,6.76955173389353e-05,6.618063668472566e-05,5.9726477782274e-05,0.00017494500484746634,9.6233037968991e-05,6.179748050471225e-05
BornträgerJohannFriedrichWilhelm,0.000272354691385234,0.0001296976378477618,0.00013641945146800858,0.0001850717138357621,0.00013475535628273703,0.00011533216813668348,0.0001339956851355253,0.00014033005174407542,0.00015699333269729543,0.00013951306842981836,0.0012378328598241569,0.00020962044705736345,0.0002292578473452056,0.00014584004964368944,0.0002218380754785393,0.0001073318067753014,0.0038337899763606492,0.00011663643280375632,0.00020904147496305248,0.00017107542016690368,0.0005827135957859368,0.00021292332157833653,0.0016932249583070198,0.00012080585145470376,8.226583363989683e-05,0.0001530773839506255,0.0002089027776529504,0.05117601743180343,8.874490839869175e-05,0.00020793217588917318,0.21199389105268407,0.00019247801920449297,0.00016717562168438874,0.00013710605697895992,0.0005807831868388925,0.00017602082490655806,0.0006252999418396324,0.00017520597989233465,0.00048477133418198563,9.963066174582964e-05,0.00024345219272647124,0.00018252198463520225,0.00015866146975392713,0.0003018730738303978,0.0002992648952371604,0.00036448084011743285,0.00119473826764659,9.149016221704507e-05,0.027472305255632403,0.002216365720709391,0.0005183311471289304,0.00010847617971084984,0.0009478405802046773,0.2931988007556791,0.0001114469801165756,9.196628984676763e-05,6.069670089695018e-05,0.3859528547299608,0.00014075436274621283,0.0006600991609996055,0.000366558991224008,0.0025307266862444502,0.0002397996554745957,0.00017821648741631144,0.00024156860351785679,0.0007833426741965053,0.00013768206294767683,0.00017246656956141837,0.0003970332669352152,0.0009434500386354832,0.0001643774090245448,0.0004215768313205959,0.00026771396295449586,0.0002549909368991933,0.00017977165781567014,0.0001757487532378581,0.000158609142059613,0.0004645825127613112,0.00025555566235954745,0.0001641088798175718
BrockhausFriedrichArnold,0.002565449510935389,0.001205949859183453,0.0002891968107396131,0.011573970987574619,0.0013362166393338414,0.0015935762965629016,0.00010295108560966519,0.00036625063357285237,0.00012062055594043023,0.00010719018181114055,0.0011391679033366912,0.0001610548322411419,0.000979691933193948,0.00011205130539091242,0.0001704418368171728,8.246478994295995e-05,0.011905720225074376,8.961368693805739e-05,0.00016060999847215357,0.00013144005502489792,0.011050585604008796,0.00016359248498139822,0.012631441132729584,0.0036837571171697858,0.001249812761616512,0.0001176118682035548,0.002510797816010612,0.005837569726945467,6.818417065247233e-05,0.00015975770577477189,0.10328607956983271,0.00014788402337775655,0.0025016569168258853,0.00010534083538114062,0.00154696663530253,0.00013523969070877574,0.0040713682125289976,0.00013461363190148598,0.000988798720798174,7.65478737346529e-05,0.0010411460445397354,0.003056103740081887,0.003029613470123993,0.005562738011854664,0.006656146942794987,0.003361741330389982,0.007072381423652849,7.029339424864785e-05,0.0015379104377969777,0.005983827691521895,0.2923891384588447,8.334403046430859e-05,0.000728241484927453,0.20437654432013358,8.562654520789726e-05,7.065921092639472e-05,4.663427217037648e-05,0.2533545881634812,0.00010814388862121186,0.0005071650267410093,0.0031736233130061128,0.005247277334623317,0.002231414535913132,0.0013763509484558025,0.00018560112556027819,0.0006018550420585697,0.00010578339022712007,0.00013250889795268073,0.002000461847793254,0.000724868159730409,0.00012629386305734283,0.0003239044034025483,0.0009487403275329531,0.00019591372474304903,0.00013812151723582386,0.0001350306535772594,0.00012186200881124921,0.0032199067440487543,0.0009458693409073677,0.00428138930665789
CarlAugust,0.00055516066902023,0.00026437226776483816,0.00027807383658109616,0.0003772453338226311,0.0002746817885437744,0.00023509007058648447,0.0002731332947756796,0.00028604510175185533,0.00032001109717866744,0.0002843797843636567,0.05444185640765101,0.0004272848286063888,0.0004673131909825528,0.00029727653714476765,0.00045218892235870354,0.0002187823435442278,0.007814697067762066,0.00023774864952070025,0.00042610466705460167,0.00034871565541875734,0.0011877881303910725,0.0004340173215163777,0.0034514254036691807,0.0002462474832874789,0.00016768852046845326,0.00031202892982552566,0.00042582195009064575,0.00047847279982046845,0.00018089529674768752,0.000423843500878737,0.4321227946778472,0.0003923421526898228,0.00034076640834103844,0.00027947339527007635,0.0011838532353574205,0.00035879623890303054,0.0012745950227050944,0.00035713528016961105,0.0009881451897798725,0.00020308453123543948,0.0004962465728093471,0.0003720480326063248,0.00032341138406069954,0.0006153301666092138,0.0006100137236818624,0.0007429481974975076,0.00243532319049567,0.0001864911502234467,0.004080137110336221,0.004517781830907136,0.0010565526334448208,0.00022111500336101465,0.0019320534115076398,0.07846185228998946,0.00022717060509263838,0.0001874616763124646,0.00012372256525447373,0.11177321537798086,0.0002869100061844581,0.05326421916878552,0.0007471842462792763,0.0051585669888666,0.0004888013365475476,0.00036327181985101273,0.000492407113904141,0.0015967451886624835,0.00028064751074914564,0.0003515513379055826,0.0008093022116636536,0.10576048450508647,0.0003350626049499576,0.0008593311704270485,0.0005457011297435387,0.0005197668466919101,0.10420382249696804,0.0003582416551400386,0.00032330472065925065,0.0009469928250101457,0.0005209179682782078,0.00033451524204816083
