year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0.00020396096088805792,9.712795731843609e-05,0.00010216178859897304,0.000138596491197391,0.0001009155811212502,8.636994543702714e-05,0.00010034667864941773,0.00010509035864085092,0.00011756915523319298,0.0001044785362376536,0.0009269881793643877,0.00015698054469394062,0.0001716865995508641,0.00010921668545527275,0.00016613008135101838,8.037863541985868e-05,0.1220467458754626,8.734668306322888e-05,0.000156546964115312,0.00012811494784283227,0.06650798638604978,0.010107547541373132,0.057566097813995555,9.046907699030457e-05,6.160723133539596e-05,0.00011463657982905038,0.0034724742765692,0.00017578653794479446,6.645928035554738e-05,0.0001557162323079402,0.1113583406738805,0.00014414292460727143,0.00012519446704730057,0.00010267597368259468,0.0004349368694653274,0.00013181846217390558,0.05843197289305996,0.00013120824110067727,0.0003630355204379059,7.461140250692302e-05,0.0001823164598569784,0.0001366870501846238,0.00011881838958723733,0.00022606668492297435,0.00022411347233339602,0.0002729523842513427,0.0008947155044017856,6.851514582944507e-05,0.0014990051205318272,0.005199342002374934,0.000388167790644335,0.0035233184414317086,0.0007098187827203388,0.10701907585889332,0.00587983023806784,6.88717082531347e-05,4.5454540822160366e-05,0.36169688737184,0.00010540811663235516,0.0004943350102548657,0.00027450866989640286,0.0018952104112698002,0.00017958114803333063,0.00013346274974977752,0.00018090587771149233,0.0005866296031881106,0.00010310733298931062,0.00012915675169721387,0.0002973302432088074,0.02442764719985249,0.00012309894176015348,0.02769663746222373,0.00020048561252838885,0.019167850718187857,0.00013462738564198328,0.00013161471316302487,0.00011877920242743816,0.00034791651736432264,0.00019138050528937328,0.00012289784562774555
1799,3.23770905233835e-05,1.5418247946852374e-05,1.6217326409415773e-05,2.2001029619506922e-05,1.6019501432805207e-05,1.3710503861810616e-05,1.5929192940683483e-05,1.668221232158791e-05,0.2785863160526605,1.6585090650625462e-05,0.0031750608635197322,2.4919343799107167e-05,0.015166800161791422,1.733723206761138e-05,2.637175594358519e-05,1.2759433686739308e-05,0.000455754826476247,1.3865552761381574e-05,2.485051652165997e-05,2.0337172592467453e-05,6.92720611641003e-05,2.531198424458297e-05,0.00020128787748332087,1.4361206588400348e-05,9.77963085267036e-06,1.819759480567127e-05,2.483402840705587e-05,2.7904637373004448e-05,1.0549852907250492e-05,2.4718644820277404e-05,0.21898768837567595,2.288147936739851e-05,1.987357078025286e-05,1.6298948975448538e-05,6.904257723302605e-05,2.092507440578368e-05,7.433465793534649e-05,2.0828206932512495e-05,5.762884160402054e-05,1.1843933871095482e-05,2.894120766538232e-05,2.1697921886290483e-05,1.886142200330199e-05,3.588618866180736e-05,3.557613255818418e-05,4.332889987868516e-05,0.00014202857621655512,1.0876204294606506e-05,0.0002379544804611481,0.0002634780154046674,6.16183785427992e-05,1.289547491275349e-05,0.003140587044689705,0.0015480029575874186,1.3248638918021296e-05,1.0932805586435941e-05,7.2155268169463015e-06,0.25480719836834137,1.6732653735526465e-05,7.847153350431492e-05,0.0030714852182064487,0.02755203218408178,2.850699987317384e-05,2.118609125655101e-05,2.8717289590000542e-05,0.1666281324328916,1.6367423644624614e-05,2.0502550209605844e-05,4.7198680364105127e-05,0.00011215583307865432,1.9540923730442e-05,0.02427339054843941,3.18254081428369e-05,3.0312915135175647e-05,2.1370967428660355e-05,2.089273096054488e-05,1.885520137061499e-05,5.522882677272458e-05,3.0380048795542406e-05,1.95090014073929e-05
1800,0.0005462642383891764,5.021350354817294e-05,0.0007307819211354803,0.0008708065247420625,5.2171640695423025e-05,4.4651794204205503e-05,0.015366290384558503,5.432992973578682e-05,6.078125553595949e-05,5.401362794933951e-05,0.0022713505842266767,8.115627421402698e-05,0.002292858491130885,0.00380343221253144,8.588642919801433e-05,4.155438872888014e-05,0.014088340987913868,0.003792125792906953,0.0006392274384602437,0.004531596304951254,0.0027599975915375634,0.0006611386477620464,0.07048855521783129,4.677097556534646e-05,0.00832453203229067,0.0033654641035019005,0.0014205062798018904,9.087865317575791e-05,3.435831867647921e-05,8.05026461934943e-05,0.19763257767107087,0.0018821836861643842,6.472341217555905e-05,0.009264954481364671,0.004468088499910165,0.0007461139174514289,0.0016853206778677673,6.783243117589814e-05,0.002848727140970731,3.8572827308954486e-05,0.005874338654359457,7.06648823770961e-05,0.012256565775352644,0.0004819693681752277,0.0006907406313087809,0.0005395180883351444,0.002653163222541588,3.542116619348895e-05,0.007063793435976145,0.008303936616798725,0.002342808312791192,4.1997442090630974e-05,0.0022644423413557073,0.12492304290292658,4.314761181761493e-05,3.560550290787475e-05,2.3499225247485845e-05,0.2697307885938326,5.449420521809256e-05,0.007399405303993079,0.0003858187338186943,0.008630648472064146,9.28404021140163e-05,6.899797383916892e-05,0.005976895694464685,0.1181606325653586,0.0038381650038268136,6.677184601294533e-05,0.011464843689682883,0.00036526441536394015,6.364006120899368e-05,0.0282349079522864,0.0018957611018083978,0.003495116495025593,0.00029001001445001724,0.007262283821086695,0.005852286404342073,0.00017986692772571406,0.0033527361074422936,6.353609792553779e-05
1801,0.00010424338782036635,4.9641594542706186e-05,5.221435956653492e-05,7.083594683769479e-05,5.1577429396960965e-05,0.0007164647606053676,5.128666629825333e-05,5.371113650514792e-05,0.009330123292493067,0.013152373427201564,0.0009200788993080993,0.0009453053748187193,0.0011332400998297996,5.582008070955094e-05,0.0006893302810587594,4.1081103109446845e-05,0.018919586616821672,0.0043187926041320665,0.005877870801989292,0.00037279703534570647,0.0005145853627761822,8.14961118326985e-05,0.085764970146205,0.005982220630419408,0.00136968859843764,5.85901605752818e-05,0.004861209984485419,8.984358658045363e-05,0.0004856557857843614,0.007665127710862152,0.0725289783459217,0.008069069338405446,6.398624189919648e-05,0.002348573044456551,0.004574059171085424,0.0005573310887846207,0.00023933270254942017,0.000216360072551286,0.0012826732826725217,3.813350032028616e-05,0.0007464601389274077,6.986004145292243e-05,6.072746182408761e-05,0.0003806589219815858,0.00011454323175620528,0.0009224596142678766,0.022503312987985514,3.501773519388231e-05,0.004550233946991185,0.049083052475538846,0.0004460431856832772,4.151911029458019e-05,0.0016730411237726166,0.18956653346014124,4.2656180110619926e-05,3.519997239679119e-05,2.323157974197685e-05,0.3456699359791025,0.000217447512362476,0.002399698112888711,0.00014029995549868547,0.016571470731326234,9.178299208905712e-05,0.0034990873713303546,9.246005454746329e-05,0.04430507401957649,5.269762239366699e-05,0.002638743119426345,0.02469406417159294,0.0007409939922711885,0.0011531098091694236,0.00024327203749234595,0.001421283398279862,0.003013454591019951,6.880735760223116e-05,0.011208683630924981,0.008455881778971502,0.009168314796156197,9.781358230160164e-05,6.281245061937097e-05
1802,0.00033711172740903407,3.4566139883261686e-05,0.0011790079562917436,0.0022481955180827045,0.00031182575597308356,0.0003223344792063996,0.0008616500020785355,3.7399819140150755e-05,0.0008340218175675341,0.0005248007639457357,0.004217579917489313,0.00029111098952574034,0.002167634966822461,3.886830662623816e-05,0.006457578908518209,2.8605349399447883e-05,0.025700325233215936,3.108515558711748e-05,0.0017372531929984514,4.5593867415057244e-05,0.0040843548637845275,0.03998380193413498,0.12871535455494298,0.0004908400471088164,2.1924935260175063e-05,0.004717535388124548,0.003176264881670412,0.0007129031035928231,2.3651694576250608e-05,0.00038749483165468143,0.062074855267220286,5.129794379204607e-05,0.0005189087451342097,0.0006582795664211485,0.003714752093179767,0.00252662681254636,0.0016428048422155975,0.0005584426339359021,0.0022810011529945167,0.00014933217205546125,0.0016952041337295286,0.007500257772597856,4.228538505871318e-05,0.0023870759335315726,0.002981247907859759,0.0001784087560820317,0.046455553378654604,2.4383341112571075e-05,0.011725959194864521,0.04410950253468581,0.0003837006820072174,0.00010654589187344291,0.0006004648908039905,0.1388935060570963,0.0012186584465817148,2.4510235437898663e-05,0.00035430566919354906,0.3641675014090535,0.000771680348637544,0.002575387086936293,0.0005582310258339398,0.011051964961750047,0.005040050707350322,0.0009598478169299783,0.004908533726166512,0.019595188523906838,3.669409502162007e-05,4.596462717111196e-05,0.016181476333670144,0.0017344005975458469,0.001021402009024173,0.00024592889192585015,0.00028500862963583485,0.00045190409549090787,0.002166453027834234,0.0002977995000318545,0.004041252687765807,0.0003520703663556207,0.0006106126432405353,0.00032209934602872147
1803,0.00010646752788288249,0.006223406809211228,0.0028089907453242463,7.234730473311808e-05,5.2677886984170815e-05,4.508507183934403e-05,0.002601365982320161,5.4857118931488755e-05,6.137104501986988e-05,0.0011248901748368953,0.0034222357801534926,0.0004974061732832759,0.0003120643527586511,0.0005016597848373051,0.010714079004673787,0.006109246788064052,0.01813078912485659,4.55949284315032e-05,0.00015896915658431942,6.687594391731177e-05,0.008305964680529784,0.005730640839406843,0.05045628614815951,4.722481662699333e-05,3.215894645440705e-05,0.003439302946342171,0.0005768293780118977,0.00292999260723685,3.4691713813870544e-05,0.0038823401079233254,0.12280123221306413,0.0028652260926638577,0.0010568344368246775,0.0006151202144830337,0.09650962606695476,0.00022465260228805452,0.0010205782765925295,0.0024417214835177974,0.000983739589702219,0.0010412999897776987,0.00033887833648325356,0.00025041132996147543,6.202314477877653e-05,0.00027231110241555224,0.00067277163634452,0.0011522764008343018,0.043744174714106826,3.576487464677027e-05,0.0176047255762816,0.03912427043850913,0.0036429612348839206,0.0009328479552613641,0.0022503728062717504,0.08778744578237728,0.00421562070492487,3.595100006812971e-05,2.372724942712474e-05,0.3349563127641246,5.502298845707437e-05,0.0005627985587600139,0.00018460086899378902,0.016148363978424084,0.00047102644903844004,0.00019541100389336771,0.0075741188842438426,0.055441086813862894,0.0002918974714907266,6.741976505068911e-05,0.0024344262983103677,0.0009505569055034566,6.42575910465317e-05,0.009177346536066597,0.002554609462183876,0.0006566775392061572,0.0004596307144059812,6.870281980664262e-05,0.0020806022213868303,0.0036226261773717214,0.0015360475593254354,0.00019407848645217542
1804,0.0001723272050135027,4.443297511201756e-05,0.0027540738046060533,6.340352061350024e-05,0.0017191016469411246,0.00020921061643699432,4.590543853800252e-05,0.0020860934736642387,0.00019525123653372283,0.0012990354970423457,0.00296747396470177,0.002465427423810168,7.8541200860429e-05,0.003998538726549771,0.006364859800292425,0.00726221169217866,0.03183017273579302,0.001675017348874472,0.0031966998926941607,0.001248061056698,0.004245263736169653,0.0018108505639812035,0.03561991298826645,0.00115192543003777,2.818336400992514e-05,0.0004814990281255304,0.005094238580316656,0.0012962846576053178,0.004150109942529119,0.00023953489961788056,0.09077369585103987,0.005804836052830484,5.727251753310707e-05,0.009525547821350917,0.0956425270240627,0.0010071449663441462,0.00037226384351250166,6.002362936764234e-05,0.004646923877731443,3.413236190887715e-05,0.008360632165440014,0.0023231357636479613,5.435566332431883e-05,0.0010710423450730818,0.00010252484056480265,0.0005501144858319864,0.08799939419848588,0.0016996420502238705,0.006333497131203937,0.042182338402385076,0.0008213709040021166,3.7162738453236325e-05,0.0017496439044469923,0.06952504198221378,3.818050178864359e-05,3.150663293268713e-05,2.0794017879503756e-05,0.3706074877159737,4.822088667606597e-05,0.0018218885583486933,0.002289917542191956,0.010721274499793845,0.0006332473814103937,0.0002461447763424827,0.00825506670995342,0.0272782383864381,0.00026989087120336743,0.005326327275869643,0.004232097086572776,0.0013556721639421104,0.0004431718794505859,0.0030964097162693286,9.171584039995672e-05,8.735707250374889e-05,0.00359232203198009,0.00013866315261270331,0.0013988796788291864,0.003236771671114659,8.755054119555727e-05,0.00012329643973422517
1805,0.0001976972901417433,6.178723445721236e-05,0.0007175208728541548,0.0006526119627454179,6.419670343402746e-05,0.008282875892487471,0.0007444347996515431,0.0016216940226875985,0.0038644139926520154,0.00044439424590934386,0.002382239868980453,0.0009715399733025213,0.007172136500894759,0.003070805226014354,0.00010568242728690396,0.0001321832545520703,0.02104135887367844,0.00015073131521598196,0.001746731950219264,0.0016017980802284322,0.051194259038924245,0.00021429066206850113,0.026274751406068695,0.004054538621925547,3.919098632230063e-05,0.0020769825301666578,0.0016384958810615764,0.003200081463769816,4.2277581558964595e-05,0.002278817185301972,0.0908869138609957,9.169545951490176e-05,0.00028915861670701827,6.531656419222213e-05,0.010991510874562547,0.005317325959358004,0.0007875642776678426,0.0004408032707378593,0.003853184831578803,9.271663403535652e-05,0.007286993995418246,0.00018675371496885206,7.558544314059753e-05,0.0013667744456909725,0.0030836155183374394,0.0009646544315965466,0.06542390829968507,0.0003697524065534264,0.04783460354544972,0.03574401678939495,0.0007356689590109051,0.0019495429561819015,0.0009037029829566973,0.12711607526683702,0.00207232825662745,4.381222979243521e-05,0.00026799769488343656,0.2973189529067164,0.0034358779882670185,0.0006069908652400748,0.0010955760829309735,0.04364633576554667,0.0002198256536258464,0.003385799675955974,0.0014387620947546474,0.017929124553879735,0.000753211757489082,0.0010363717658236655,0.003887640971646596,0.0019229911565489372,0.0017358207129362536,0.014145418762999932,0.007170222672236472,0.00012147626636923049,0.0001522116323695248,0.0002948985888459668,0.002696025356672509,0.036316014604980136,0.004117042711456247,0.0022909103222701964
1806,0.0001794898269936355,8.547459366451757e-05,0.0002475185877241713,0.00035640085346819693,8.880778026122716e-05,0.0017006450164799396,8.830713442292129e-05,9.24816700657634e-05,0.00010346326689535247,9.194325380795325e-05,0.0029062808020872037,0.0011532489493904538,0.00015108772735888045,9.611292225645224e-05,0.0033610021762733523,0.0004616685001231741,0.007679184799752431,7.686687179362475e-05,0.0001377645377972987,0.0003006568633404963,0.024748520381035307,0.0011759383833582987,0.002638068692962544,0.0004802870305538235,5.4215626587561095e-05,0.00010088254041885662,0.00013767313215244607,0.004034116103667139,0.000387399938368937,0.00013703347677594414,0.09167841530288541,0.00012684872873449304,0.00027463090220439376,9.035696180509141e-05,0.024614715431509136,0.00011600294912881399,0.0023885560911489426,0.0006540822384998935,0.0016594628566064772,6.565956381755909e-05,0.0389867411951488,0.0004937973872929082,0.002134605347586214,0.001277843560611848,0.0016645288352288964,0.0005998371083750727,0.08477015814948141,6.0294732961766756e-05,0.05183778349321579,0.0523645114147135,0.0027603435647249714,7.148902275265366e-05,0.002762598740433587,0.1136732513018986,7.344686841392816e-05,6.060851520451471e-05,4.000092778893357e-05,0.30483117366671236,9.27613036126569e-05,0.00043502494340689286,0.004527143753519175,0.0755583046526858,0.00015803509186991795,0.0001174499559051893,0.0020238639452986058,0.007108400951562934,0.0004059648055063101,0.00982553301314184,0.0026109245658352447,0.00352983941439184,0.00010832959240546138,0.01961049472109927,0.0011221161651928462,0.00016804659731101888,0.0001184748593665792,0.004258286019428071,0.00010452813323351612,0.034455619824662394,0.00016841876815434944,0.0001081526236862622
1807,0.0014359355238489958,0.0001442450583057804,0.00015172081818593466,0.0002058301183890905,0.00014987007124089307,0.00012826829843219894,0.00014902519225357182,0.00015607004747177555,0.004012800150882386,0.00015516142794904994,0.0037778384700985625,0.00023313233848842174,0.0002549723503537003,0.014304723605080909,0.00773077236146471,0.00011937058363808342,0.06285178988301456,0.00012971885478827474,0.00023248842650292097,0.000190263942860905,0.011274082647411029,0.001387524767386954,0.004886102231634459,0.0007712277923560644,9.149310786900599e-05,0.00017024717288353716,0.0030662993264629923,0.011252679587258868,9.86989022987155e-05,0.00023125470388279064,0.05062887912349799,0.00021406714542729298,0.0001859267269422045,0.00015248443619474134,0.0017482498834081044,0.00019576404453472616,0.0018396889255121824,0.0001948578031525601,0.0005391452807038009,0.00011080564651022813,0.0005927590797143992,0.0009887951165955253,0.0001764575927157564,0.00033573239928025647,0.0039231887592704505,0.0030231043662213458,0.026048403119299686,0.00010175207507551933,0.06689344426618553,0.1913264517870631,0.0005764693002896108,0.0036562746980695958,0.0057789103665079515,0.14242694550792684,0.00012394733174545637,0.00010228160713832324,6.750469249197804e-05,0.30638645853321017,0.00015654195094094231,0.0008913197168210965,0.00040767375519728876,0.02246687648875742,0.000415546528603208,0.0001982059815814976,0.0025035210847376022,0.007855929036029965,0.0001531250493618029,0.00019181112929277628,0.0006530195420153562,0.004894805923994691,0.00018281465524244892,0.006441745151620155,0.004522755121330591,0.00028359176906246505,0.0001999355862886722,0.0018950100714689715,0.00017639939573204413,0.006960278841392408,0.0002842198364529534,0.00018251600669526343
