receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
AbekenBernhardRudolf,0.00011765129881519015,0.0004192003702989409,0.008108089491275493,0.07236806276667661,0.000533179584815918,0.0001624493147751866,9.433907002247911e-05,9.953789929319676e-05,0.020820641970240042,0.06462550445023259,0.0001027978771553056,9.881853203168108e-05,0.000172063017498717,0.00503916602524335,5.828697653063042e-05,0.000249214448835549,0.0003958605007755824,0.000367307771700483,0.0015920465670573002,0.0002465531225711191,0.00034543405803504805,0.0005338421034543175,9.295452777021477e-05,7.182507070588318e-05,0.0001332396396835859,0.0003392284482632731,0.04854435921333952,0.0008277464175215557,0.03204068551050645,6.544468986203813e-05,9.821087715058147e-05,0.00026165278661916414,0.00012817834720322231,0.00017040990172430482,0.0002290665133629879,0.0003370697770289181,4.4812260017605073e-05,0.0026117575389844865,0.0013494146796292094,0.1579324215528009,0.00012864376972378767,0.0003623497818911846,0.0008605740510551274,0.0009091537270331444,0.00010022877341794185,0.00018106318667182437,0.00014038134104841382,0.00013112434562564712,4.422882014040881e-05,0.0029216888885874063,0.0001545956514305805,0.0004400339023661814,0.0006576900668087588,0.0002289281730165995,5.8292564818231794e-05,0.0006997623235577936,0.00017943821018718398,0.00010768750850343822,0.0004017737778794207,0.00014111878842729974,0.0008820511763298909,0.18348314727119514,0.0028659807479553675,0.00027464319301128835,0.16991051378222552,7.428148138029935e-05,3.70880824236846e-05,0.001068952558855007,0.00019542208393444655,4.4794003828016936e-05,8.398586054854075e-05,0.0002242913290351033,0.00015991455508459844,0.0002451513647866618,9.034375412958457e-05,0.00397922671731578,0.007224143553085794,0.0012758358505370888,0.0037550675654892353,9.76235134698074e-05,0.00034306351153324524,0.00027908432817232674,0.0007434123067825675,7.699370884459783e-05,0.0005551864151135379,0.007435127007938533,0.00033981956983677325,9.77287796572532e-05,0.00252481037394994,8.661867649895628e-05,0.0011173656590976586,0.0003684998948372324,0.01489171920347597,6.208926148006917e-05,0.0009057471936886954,0.1484543792357652,0.0001205702800675623,9.88969803172309e-05,0.01473603263278714,0.00011311391383571435
AbekenBernhardRudolfANDTruchsessvonWetzhausenChristianFreiherrANDVoßHeinrichANDVoßAbrahamSophus,0.00032926940610712843,0.0011732115017705133,0.1222252892153605,0.0017285851812284866,0.0014922038856243873,0.00045464512450949266,0.0002640257257830621,0.00027857563253003755,0.0006392473915184015,0.007972925822722571,0.00028769929699773813,0.00027656234722543357,0.0004815508894109051,0.014103058964214932,0.00016312712515114948,0.0006974737583670588,0.001107890463635217,0.0010279802523585537,0.004455643353783085,0.0006900255335929095,0.0009667625286231887,0.0014940580693078448,0.00026015082249066906,0.00020101604158300368,0.0003728963255854661,0.0009493949562745432,0.001387637524272691,0.002316604865814165,0.0896719168896043,0.0001831593393421704,0.00027486171014082266,0.0007322847985868888,0.0003587313415527643,0.0004769243323329245,0.000641085951227284,0.0009433535066477684,0.00012541558309095313,0.007309497323171112,0.0037765921381939186,0.0002280755542140962,0.00036003391448207947,0.0010141043803840561,0.002408479205548237,0.002544438614575119,0.00028050917440369707,0.000506739564660023,0.00039288372726035297,0.00036697627518896746,0.00012378271627351664,0.008176898809133784,0.00043266516261118937,0.0012315180806181435,0.0018406700128389703,0.000640698779609506,0.00016314276503067644,0.001958417178682861,0.0005021917607052527,0.00030138385489294215,0.0011244398877362312,0.0003949476131921391,0.0024685870016824584,0.001857286352525888,0.0080209890438701,0.5351152293964127,0.014476652090650109,0.00020789077133155282,0.00010379801155006159,0.002991665861366925,0.0005469256537353649,0.00012536448969237618,0.00023505031140925805,0.0006277216949587284,0.0004475511202243781,0.0006861024493784348,0.0002528440787930852,0.01113661838986021,0.0010077130334010037,0.003570667872153497,0.010509266617812669,0.000273217861817132,0.0009601281059975276,0.0007810702637074872,0.002080579910397232,0.00021548145273830743,0.0015537941614255936,0.0015981901261096741,0.0009510493217715977,0.000273512469147204,0.007066159241212538,0.00024241874467869823,0.003127159076701023,0.0010313166343721564,0.001515867555344578,0.00017376853854615508,0.002534904786878302,0.08193818500470955,0.000337438727084334,0.00027678189958612356,0.0010801492489101482,0.00031657067627994433
AbekenMinonaLaura,4.7464416553232146e-05,0.00016911926341240828,0.04329434032700863,0.0002491767700485337,0.0002151022399772664,6.553741457107539e-05,3.8059494131256924e-05,4.015687342565889e-05,9.214796124036141e-05,0.0011493028668281505,4.147205607778166e-05,3.9866656932520346e-05,6.941589951160605e-05,0.00203296587212996,2.351488986130184e-05,0.00010054133298771046,0.00015970318980751798,0.0001481840766298475,0.0862272137676491,9.946766614619618e-05,0.00013935949868266136,0.00021536952185977805,3.750092409540672e-05,2.897660382232204e-05,5.375326769046906e-05,0.00013685595090936377,0.00020002892541904122,0.00033394022129244977,0.1327451714104884,2.6402547630930263e-05,3.9621508900262566e-05,0.00010555936892727707,5.1711375276148325e-05,6.874897805372506e-05,9.241299091594565e-05,0.00013598507169510328,1.807874454075077e-05,0.018170655110523886,0.0005443984138039758,3.287725160625781e-05,5.189914208035565e-05,0.00014618385992212646,0.0003471839720048145,0.00036678261647251096,4.0435594847121994e-05,7.304686477067188e-05,5.663446570436819e-05,0.20545673103232548,1.7843365640187085e-05,0.01829569164499993,6.236898759907237e-05,0.00017752419777584388,0.000265333877384306,9.235717985484201e-05,2.3517144360939346e-05,0.000282307214183652,7.239129563090969e-05,4.3444694726370425e-05,0.00016208880093529786,5.693197631351593e-05,0.000355848553107388,0.0002677291344408734,0.15520910457202086,0.00011080012756233554,0.00208681958415316,2.9967600952404216e-05,1.4962556393734347e-05,0.0004312507387516123,7.883971778446427e-05,1.8071379391398306e-05,3.3882667763145186e-05,9.048652397219173e-05,6.451480886227307e-05,9.890215079652946e-05,3.644765185062066e-05,0.18989219659164155,0.00014526254275778246,0.0860996439293332,0.0015149181769245422,3.938454700784613e-05,0.00013840314199341548,0.00011259182804822526,0.00029991705790987164,3.1061803017736277e-05,0.00022398052156685856,0.00023038023111157774,0.00013709442885972018,3.9427014861751824e-05,0.0010185918261329829,3.494483260311703e-05,0.0004507821810704958,0.02582414391145257,0.00021851337461639467,2.504885708913277e-05,0.000365408308502334,0.020369939981718488,4.864202991975606e-05,3.989830555978348e-05,0.00015570427418711276,4.563388571424397e-05
AhlefeldtJohannGeorgJacobvon,0.00031081570482678785,0.0011074595849790423,0.003286478592842715,0.001631707688268708,0.0014085742369417615,0.0004291648182294377,0.0002492285664249268,0.0002629630326001835,0.0006034211647614597,0.17565924233278096,0.00027157536690617984,0.00026106258063179053,0.0004545626660908802,0.013312661701555251,0.0001539847657869739,0.0006583842707041978,0.0010457994242368874,0.0570147524757205,0.00420592956338102,0.0006513534771049517,0.0009125809175128184,0.0014103245040414767,0.00024557082970349896,0.0001897502212087829,0.00035199758044468017,0.0008961867000709517,0.001309868232976954,0.0021867721714143415,0.2527794637111028,0.00017289428685859633,0.00025945725470625955,0.0006912443475926039,0.00033862646422700164,0.00045019540155781865,0.0006051566835226426,0.0008904838397714723,0.0001183867438992938,0.0068998410429050895,0.0035649353553793045,0.00021529320010298968,0.000339856035257909,0.0009572695243191,0.002273497470304244,0.0024018371179020392,0.0002647882103091567,0.00047833965753314153,0.0003708648004900642,0.00034640931563030764,0.00011684539009800964,0.007718629546260835,0.0004084167097724244,0.0011624984074886224,0.0017375107944524325,0.0006047912106999732,0.00015399952913907532,0.001848658892831236,0.0004740467324529532,0.0002844929821736517,0.0010614213460462905,0.00037281301720462113,0.0023302365619857967,0.0017531958816048967,0.0075714576478669565,0.0007255629004638043,0.06970970177520923,0.00019623966095829232,9.798071585507383e-05,0.0028239997888065854,0.0005162735419709827,0.00011833851399880451,0.00022187706132240897,0.0005925414187742213,0.00042246839304985466,0.0006476502597315769,0.0002386735879609292,0.01051247346407028,0.0009512363764453988,0.003370551988133007,0.009920281236105288,0.0002579055348504829,0.0009063183170213448,0.0007372956613360622,0.001963975089408013,0.00020340492729581679,0.0014667127236294676,0.0015086205437877065,0.000897748347671582,0.0002581836310939999,0.0066701406940347,0.00022883253528273515,0.002951899370250278,0.0009735171281223773,0.0014309116908516955,0.00016402978771544842,0.002392837607712745,0.07734600983906954,0.0003185271812360486,0.00026126982831550647,0.2251971519253611,0.00029882866749980023
ArnimLudwigAchimvon,6.945987508547054e-05,0.0002474907259841318,0.0007344493504829287,0.025413806370384,0.00031478264781089786,9.590807093196228e-05,5.56966228629073e-05,5.876594751440968e-05,0.0001348501960401835,0.0016819006607976593,6.069059821834431e-05,5.834124195970138e-05,0.00010158388239354428,0.002975061441507509,3.4411911723023155e-05,0.00014713313545992618,0.00023371115501526159,0.00021685397609009688,0.0009399246484457397,0.00014556192127231776,0.00020394000544840345,0.00031517379063999084,5.4879206201456735e-05,4.240463547344709e-05,0.20047193290894488,0.0002002762900120464,0.0002927242170459457,0.0004886912710909206,0.06901474283311798,3.86377373526931e-05,5.798249001593784e-05,0.00015447657660695453,7.567491455732559e-05,0.0001006079032386277,0.00013523804296840556,0.0001990018371517816,2.6456605362342115e-05,0.0015419494237489536,0.0007966777760165574,4.811288024920946e-05,7.594969427047789e-05,0.00021392684008482527,0.0005080723008590263,0.0005367531421171088,5.917383107275406e-05,0.00010689747121753296,8.287941154708878e-05,7.741419567435816e-05,2.611214965808684e-05,0.0142495084350777,9.127136500203809e-05,0.000259790586245367,0.0003882921000069142,0.0001351563685349213,3.441521097906743e-05,0.0004131310412492228,0.00010593810515207838,6.357737623163934e-05,0.00023720228085165026,8.331479137999641e-05,0.0005207521306084917,0.050490114809226494,0.02674119840310816,0.00016214595224830483,0.15334882387419674,4.385487002522692e-05,2.1896346221858784e-05,0.26364726310467845,0.00011537478698260183,2.644582713327793e-05,4.958421574088222e-05,0.00013241883306366854,9.441158008780673e-05,0.00014473434077308815,5.3337837659155514e-05,0.14011965938847926,0.0002125785758524469,0.0007532377432320317,0.0022169455557485827,5.763571774646723e-05,0.00020254046404463046,0.00016476794364686975,0.00043890145273476277,4.5456135653152414e-05,0.0003277752088696669,0.0003371406042087404,0.0002006252808950128,5.769786560462387e-05,0.0014906168903799668,5.113859779089394e-05,0.0006596788976178919,0.00021755779088006508,0.00031977453443122214,3.665673383962593e-05,0.013059321333724788,0.017284983024829184,7.11832055986771e-05,5.8387556859492845e-05,0.0002278591041602983,6.678105898175585e-05
BarthKarl,8.552788726798689e-05,0.0003047422542265815,0.0009043480307854713,0.062136460587084635,0.0003876006800006544,0.00011809429067739287,6.858080979219552e-05,7.236015509708595e-05,0.00016604481869278925,0.002070971333243082,7.473003134914973e-05,7.183720326683171e-05,0.00012508307610557286,0.0036632763774983256,4.237234954570611e-05,0.0001811691456040971,0.0002877750830219607,0.0002670183670475411,0.0011573555131469734,0.00017923446562164284,0.07736044172296834,0.35509097587555777,6.757430179048243e-05,5.221401388859828e-05,9.686000067356341e-05,0.0002466057984343252,0.0003604395171357337,0.000601739232776945,0.02329232372212284,4.75757268570509e-05,7.139546196272449e-05,0.00019021133011435282,9.318063922961684e-05,0.00012388132567001708,0.015588387323310809,0.0002450365289758505,3.257675828152096e-05,0.0018986454600596328,0.0009809716319272165,5.924273536382022e-05,9.351898317712757e-05,0.00026341410260034945,0.0006256036368966518,0.0006609191590575236,7.286239353263766e-05,0.00013162584666724346,0.0001020517379121987,9.532226472378678e-05,3.2152620337044245e-05,0.017545818352824604,0.00011238498495835171,0.0003198874162433638,0.0004781149248480005,0.00016642181745044998,4.237641201196704e-05,0.0005086998080458785,0.000130444552393478,7.828460187184343e-05,0.16993258812022738,0.00010258783327980276,0.0006412166659735842,0.09301362065418096,0.0020834557781498914,0.00019965484688518075,0.003760317372529145,5.399972826116429e-05,2.6961583632845985e-05,0.0007770866524150357,0.00014206420271377777,3.2563486746563316e-05,6.10544319139555e-05,0.00016305101344469392,0.000116251619638048,0.00017821544260214852,6.567637158599903e-05,0.0028927420055681057,0.000261753947134587,0.0009274827043652127,0.018151652017623903,7.096847156669439e-05,0.0002493937392588037,0.0002028833782419985,0.0005404316366112592,5.5971411422742015e-05,0.00040359878388709913,0.0004151306571563034,0.0002470355206712162,7.104499596297105e-05,0.0018354382757426364,6.296838601452358e-05,0.0008122810805390424,0.0002678849938869916,0.0003937473296396338,4.513646181468493e-05,0.0006584427427085947,0.12923653769467675,8.764987233746252e-05,7.189423209856107e-05,0.0002805692890985776,8.222938606209999e-05
BentzelSternauChristianErnstGrafvon,0.00015472713614965731,0.0005513043495687834,0.0016360415924642265,0.0008122802474858589,0.0007012022055244741,0.00021364249691898488,0.00012406844870050478,0.00013090560198729276,0.00030038903203962044,0.003746561193973029,0.00013519290730049397,0.00012995953817554525,0.00022628579712209287,0.006627174842271162,7.665514145809268e-05,0.00032775021052688284,0.0005206093108754266,0.0004830586672060619,0.002093753391746364,0.00032425021184091915,0.0004542918188457494,0.0007020735058211786,0.00012224759113472843,9.445953938447378e-05,0.00017522788169331913,0.00044613061503653904,0.0006520653791766469,0.0010885968444975028,0.07003722097034157,8.606848832550479e-05,0.00012916039103083254,0.000344108282244765,0.00016857160761399426,0.00022411172958459457,0.0003012529904673372,0.00044329167469891437,5.89340936032455e-05,0.0034348092064766162,0.0017746601266621755,0.00010717508725305476,0.0001691837002507254,0.00047653824990529767,0.0011317695572033671,0.0011956583048402644,0.0001318141935271926,0.00023812221894693668,0.00018462017069092475,0.00017244598812312252,5.816679241555619e-05,0.0038424102326445188,0.00020331388304194417,0.0005787032205129091,0.0008649500816072357,0.00030107105447660696,7.666249080098347e-05,0.0009202807057795783,0.00023598515832532892,0.00014162342411537903,0.0005283860582700598,0.00018559001226636985,0.001160014838980593,0.0008727582733352282,0.11536694573793732,0.0003611923977514785,0.006802730157968197,9.769004676252568e-05,4.8775770743622665e-05,0.001405815063472369,0.0002570060823133973,5.8910084281117956e-05,0.00011045259857396834,0.000294972986735284,0.3908026059187542,0.11192020584744483,0.00011881407588570193,0.0052332134048738545,0.00047353488914209113,0.0016778941612940227,0.004938414248781755,0.0001283879295185525,0.0004511742342969405,0.00036703308231374963,0.0009776862505152886,0.1674979556881424,0.0007301441199952272,0.0007510062479207539,0.00044690801867853066,0.0001285263685828119,0.0033204620978802245,0.0001139151023977199,0.0014694847418193846,0.00048462646799317177,0.0007123220113086934,8.165565285895486e-05,0.0011911782595378081,0.06640305950831454,0.00015856598547985923,0.00013006270812505888,0.0005075734240662949,0.00014875987024989384
BergnerCaroline,0.00020660450401220696,0.0007361472882963532,0.002184578414399621,0.001084623950438834,0.0009363033368918881,0.00028527317967795335,0.0001656664819449546,0.00017479601603201974,0.0004011043474314973,0.005002719215868419,0.00018052078164085305,0.0001735327531716451,0.0003021555626428522,0.008849153454021595,0.0001023563020362274,0.0004376392620639418,0.0006951607270331595,0.0006450199934572191,0.0027957531677392953,0.0004329657735566802,0.0006066081118353158,0.000937466769306692,0.0001632351219158371,0.00012613021070120777,0.00023397879962918242,0.2613713243449575,0.0008706917713387872,0.0014535847862466775,0.2425341421919988,0.0001149257834409335,0.00017246566562918294,0.000459481916028662,0.0002250907904605897,0.0002992525673670951,0.00040225797637395336,0.0005919198071069103,7.869368929914423e-05,0.004586442107958806,0.0023696733771679216,0.00014310906474068692,0.00022590810731119726,0.00063631339152623,0.0015112325726493758,0.0015965421269134386,0.00017600924280737428,0.0003179605346810846,0.00024652016281975233,0.00023026418462636025,7.766912511954747e-05,0.11689168212236853,0.00027148155785710097,0.0007727325330231107,0.0011549530809704493,0.00040201504035082157,0.00010236611548835063,0.0012288351190426572,0.00031510695410848086,0.00018910734098747243,0.0007055448850954037,0.00024781517572215257,0.0015489480153150006,0.0011653792261143352,0.005032877128453786,0.0004822940438724671,0.08359088768476527,0.00013044385206470216,6.51294541673167e-05,0.001877160859751629,0.0003431758351238475,7.866163006109929e-05,0.00014748546966681948,0.00039387239457787653,0.000280821951566254,0.00043050418176194817,0.00015865040760717618,0.0069878205388498715,0.03788596216219958,0.11400144075633385,0.04384783936440188,0.0001714342109562368,0.0006024452543983387,0.0004900930102794494,0.00130548776312831,0.0001352067268962831,0.0009749489813030276,0.0010028058246464196,0.0005967486494990004,0.00017161906627585945,0.004433756365530685,0.00015210889192453277,0.001962177894531996,0.0006471134510889655,0.0009511514237623034,0.00010903339956088684,0.001590559998886646,0.014159553777521126,0.0002117304540012045,0.00017367051424432216,0.0006777541298739195,0.00019863651570576588
BertuchFriedrichJohannJustin,0.00024400643826297873,0.0008694131752497052,0.002580056037753865,0.0012809751087791614,0.0011058037841964613,0.0003369166264693795,0.00019565734247767446,0.00020643961030013011,0.00047371689042545445,0.0059083692455305405,0.013111599664733027,0.00020494765700209498,0.00035685525344342255,0.010451129447936766,0.00012088602236935685,0.019198327358776482,0.15027269940416776,0.000761788964690754,0.0033018727059415886,0.0005113462400079087,0.0007164233204791157,0.0011071778345883116,0.07470010404364415,0.00014896375864459547,0.00027633634513210195,0.0007035530100540744,0.013926713380640589,0.0017167294977477791,0.022453993390830252,0.00013573097651514772,0.0002036873929444653,0.0005426626409353527,0.00026583932585923627,0.00035342672442408474,0.00047507936260713144,0.0006990759691324686,9.29397300967028e-05,0.005416732846231923,0.0027986590291138353,0.00016901632100168478,0.00026680460284873154,0.0007515061930894693,0.0017848133524590796,0.06541653614270009,0.00020787246940295995,0.0003755214241173552,0.00029114809077977955,0.0002719492676059348,9.172968747236357e-05,0.0060595242602174216,0.00032062828592973024,0.0009126215036520139,0.0013640360310431681,0.00047479244749841395,0.00012089761236595978,0.057495677793352566,0.0003721512554216314,0.00022334173664001751,0.00083327077146692,0.000292677541879261,0.0018293564802885041,0.11746193996796582,0.005943986691871242,0.0005696044837135611,0.02314586852919755,0.0001540583052038899,7.691994041155998e-05,0.002216986205719907,0.0004053014895626175,9.290186712500153e-05,0.00017418499330884357,0.00046517572591437724,0.0003316595856191587,0.03160778697281849,0.00018737113730545586,0.008252836544187363,0.0007467698593028735,0.002646058010687928,0.03310422024578467,0.00020246921243006368,0.000711506854494747,0.037832474416161214,0.0015418222405162146,0.00015968341066372916,0.0011514455096381423,0.001184345320598068,0.000704778984362754,0.0002026875323953071,0.031033204017935825,0.000179645400878776,0.0023173940063514523,0.000764261404209046,0.001123339843294453,0.00012877188522949294,0.0018785015458761105,0.21165731332045765,0.00025006034693989486,0.00020511035717572348,0.0008004490126642562,0.00023459599265787773
BodeAugustTheodorHeinrich,0.0001563377463754012,0.0005570430741713878,0.012748408275841306,0.3790089783397181,0.000708501270644115,0.0002158663782545662,0.0038925405820121606,0.00013226824532455432,0.002707722665043284,0.0051904455376307074,0.00013660017873564552,0.0053409887137387535,0.005979039324540393,0.018366162702719478,0.0040806234111711095,0.0003311618799579887,0.0005260285198169172,0.00048808699803669115,0.0030961305162564593,0.00032762544853104613,0.0004590207052396464,0.0007093816406179455,0.0014259392051691841,9.544280259115873e-05,0.00017705189152839889,0.0004507745485344115,0.010124020801302619,0.00306109342908592,0.03026832461938192,8.696440607374835e-05,0.0001305048678416366,0.009757582994491415,0.00017032632990608508,0.00022644458891593359,0.00030438884083629447,0.004451076395515877,5.954755970986643e-05,0.016576579664134023,0.0017931332000890464,0.00010829071115568939,0.00017094479403449099,0.004251280587160444,0.001143550552233575,0.036558815524986646,0.00013318629471949887,0.00220176590828547,0.00018654194822906634,0.00017424104023079529,5.877227140905739e-05,0.012245408108717607,0.00020543025013314598,0.002545892139585971,0.0008739536570682797,0.0003042050110086177,7.74604981491944e-05,0.002164729979445089,0.00023844161243273868,0.00014309763310522595,0.0022827433071729948,0.00018752188523313263,0.0011720898492740015,0.01631614056091917,0.00928257925185486,0.00036495217889753945,0.02753408021777959,9.87069374785597e-05,4.928349522610926e-05,0.025556533660938335,0.0002596813507540408,5.952330046609814e-05,0.00011160233926684298,0.0002980434662941801,0.0002124981313960912,0.0013063452555123205,0.00012005085419328158,0.01688870272764796,0.020408318551412986,0.0016953599630993522,0.030211632581486913,0.0001297243655005683,0.0004558706686356978,0.009083325192335234,0.002450274947970627,0.00010231100758824853,0.0007377444518775004,0.000758823741171122,0.000451560044449591,0.0013864582055552067,0.0048174375889536,0.009309623710410173,0.003954520619073971,0.00398344153338179,0.026195091145971416,8.250563582094298e-05,0.014910502852765283,0.15218944491143535,0.012222796442508952,0.006414386377120615,0.0005128569377889705,0.007330742931805029
