year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.00022017365551076095,0.0007844951891705412,0.0023280548386295013,0.0011558587319496724,0.0009977968744487313,0.0003040090490242269,0.00017654694944730263,0.00018627608339174203,0.00042744765336787246,0.005331282502856756,0.00019237683408478913,0.0001849298532929866,0.0003220002152327562,0.08494547327910205,0.00010907875068661723,0.0004663820693761684,0.0007408167560053089,0.0006873829325066996,0.07983930798084521,0.00046140164044723014,0.0006464482760616428,0.0009990367175437879,0.00017395590513278987,0.00013441405691129864,0.0002493458110832531,0.0175673407512068,0.000927876142078073,0.0015490517862275155,0.09717276740519017,0.00012247375716036363,0.00018379268270661835,0.0004896592820025925,0.0002398740646747306,0.048469634707568716,0.00042867704912852127,0.0006307952884330771,8.386204996574968e-05,0.004887665588539672,0.002525306272058644,0.00015250803011933136,0.00024074506039464087,0.0006781045076079392,0.00444288147618658,0.08169048110366241,0.00018756899118855153,0.0003388432094624338,0.00026271085262461624,0.0002453872315358384,8.277019554657466e-05,0.04621085842395611,0.0002893116356922328,0.0008234832407997064,0.006415822725442243,0.00042841815781090986,0.00010908920865624126,0.001309541248740818,0.0003358022144513689,0.0002015273323696357,0.0007518829137877683,0.0002640909180109847,0.01858318388712057,0.03510692918058372,0.07794250287533881,0.0005139696405853495,0.022338293160048917,0.00013901100503739986,6.940695738458554e-05,0.0020004470398613367,0.0003657145736654,8.382788517506913e-05,0.00015717186392677339,0.00041974072798463356,0.0002992654778733908,0.0053834795840282884,0.00016907008082011794,0.03494065434188002,0.000673830784623671,0.033432326139107196,0.009859661608178335,0.00018269348524757944,0.0006420120148888697,0.0005222808192367571,0.0013912282038901908,0.0001440866909108666,0.0010389806465075772,0.0010686670420642919,0.0006359412744145298,0.00018289048129883456,0.020455746612846607,0.0001620989384081235,0.011372642969473573,0.0006896138820285516,0.0033662402257555566,0.00011619437954105525,0.07192508196360298,0.13947555322032715,0.00022563626220677114,0.00018507666209129143,0.0007222669468185417,0.00021168235411883932
1799,3.6284846750645397e-05,0.00012928562070533645,0.0003836658516242937,0.0001904867176633644,0.00016443795963534645,5.0101006539878163e-05,2.9095120350019465e-05,3.069849171328064e-05,7.044381654288428e-05,0.00087860088506865,3.1703901754039534e-05,3.0476631596950512e-05,5.306596938807855e-05,0.001554129608583687,1.7976291229003643e-05,7.686024867646368e-05,0.00012208736962469663,0.00011328142010067051,0.0004910032127763202,7.60394688242158e-05,0.00010653534626884186,0.00016464228706314252,2.8668113560046668e-05,2.2151575967818854e-05,4.109244824083425e-05,0.00010462147364838856,0.16371944972450325,0.00025528534075382057,0.003339009064376375,2.0183802186644242e-05,3.0289224705058777e-05,8.069635745602072e-05,3.953149461040586e-05,5.2556131816035744e-05,7.064642223913596e-05,0.00010395571767533606,1.382055280021216e-05,0.0008054923575536362,0.0004161730924052951,2.5133481516149383e-05,3.967503560827908e-05,0.00011175232605552742,0.00026540971391372147,0.0002803921757803539,3.0911564258954274e-05,5.584171230349735e-05,4.329502094654414e-05,4.0440070226330345e-05,1.364061405966722e-05,0.0009010783105929467,4.767885758138829e-05,0.00013571089204485586,0.0002028382476343423,7.060375668152049e-05,1.7978014713242716e-05,0.00021581375580098422,5.5340553172129e-05,3.3211913360548344e-05,0.00012391108390297171,4.3522457153360456e-05,0.0002720334758873428,0.00020466933587975407,0.033597204313169905,8.47027297605649e-05,0.0015952988429199751,2.2909157786085464e-05,1.1438338552748308e-05,0.00032967574665445477,6.02701409900427e-05,1.3814922407278744e-05,2.5902086164062132e-05,6.917370724756121e-05,4.9319261095085575e-05,7.560715259054248e-05,2.7862924646665446e-05,0.04048320198516666,0.019739032184964363,0.0003934806396692372,0.027328746260777168,3.010807582392947e-05,0.00010580424582711782,0.0851406705031381,0.006771937241682706,2.374563608157417e-05,0.00017122508797866315,0.00017611743675152432,0.0982447246459442,3.014054097746335e-05,0.000778676975229321,2.6714073148018382e-05,0.00034460683488483343,0.2618201047214093,0.00016704564991397395,1.914895424319944e-05,0.00027934156655122456,0.2445652383506517,3.718508999893034e-05,3.0500825839153474e-05,0.0001190303418343638,3.4885471475684946e-05
1800,0.000119623721925203,0.0010865605723943909,0.01738561497384034,0.000627995766409063,0.000542118336410407,0.002649051290068379,9.592066379801195e-05,0.00010120665140103738,0.00023223886211745184,0.036737966979372684,0.00010452128276666135,0.00010047522395297475,0.00017494765264946125,0.10810657969247349,5.926415723904219e-05,0.0002533925271328783,0.016222858032035655,0.014839577065654187,0.0021373047818003497,0.0007819264022100568,0.0037979599232827485,0.001223810403453155,9.45129097056519e-05,7.302921745789762e-05,0.00013547340120707328,0.00034491561056123737,0.06737477890346213,0.0019775915229686054,0.064073896496315,6.654186957880673e-05,9.985738174251743e-05,0.0002660393935527399,0.007036444896122274,0.016078466247529226,0.0031768730926874317,0.0036916962570040846,4.556353720842872e-05,0.01810164397836727,0.015458139286465123,8.28599504515368e-05,0.00013080048152312745,0.0010188780293318902,0.0008750015683309451,0.004320097754430123,0.00010190910802511296,0.0001840987095887883,0.00415253450041871,0.00013332264426069753,4.497031596622693e-05,0.017263763804946354,0.002561059719329239,0.00044741106731851707,0.002467878223828331,0.005436393801371252,5.9269839214241744e-05,0.002627523023405282,0.008381734205584973,0.00010949288874633331,0.06337951199888062,0.0001434846438182228,0.009223279880990018,0.0009834531476612344,0.06517740754326881,0.0008844319499873822,0.05153336991558064,7.552680983817418e-05,3.77098638371941e-05,0.007211378699359889,0.0001986983336523919,4.5544974953964054e-05,8.53938828477291e-05,0.00022805157142273105,0.00016259552135741243,0.0002492613255114981,9.185836646523271e-05,0.02908688759638574,0.0003661025939614459,0.002785658787667929,0.018362970969538938,9.926017091420137e-05,0.00818153283291053,0.00028376317476452807,0.007833185898352983,7.828450777482671e-05,0.001245512552331411,0.0005806231847946042,0.00034551664228332183,9.936720188846136e-05,0.005217325439140322,8.807083793708577e-05,0.003673456421578282,0.035628363957053544,0.0012896012120868646,6.313018746609923e-05,0.001293040428103328,0.20762930409040456,0.00012259163987557895,0.00037427344312813775,0.019570828932107508,0.00011501026772182001
1801,0.00011446308128505229,0.00105228703018722,0.0429103676086206,0.011300283258013672,0.0005187310192995102,0.006306692891633414,9.178258760493233e-05,9.68405344647968e-05,0.0014506954857184029,0.026112596409470657,0.0015036694987564366,0.0016021518941010588,0.0011826111937100635,0.159186491641024,5.670746519310069e-05,0.00024246101829510712,0.00038513312759082556,0.01278948142241375,0.007481862839903185,0.0009099171511690526,0.0024378046539828726,0.0027472334309667774,0.0038090400673659983,6.987869228223654e-05,0.00012962899569387743,0.003226878562223919,0.0005687065958721642,0.003048484921758233,0.1620217536543993,6.367121256451725e-05,9.554947312584937e-05,0.0007525618197827189,0.004005396840415988,0.0008249803732772648,0.005861249858542937,0.0003279355661632024,4.359789830301276e-05,0.0288229431722824,0.008109185194295186,7.928532143264997e-05,0.00012515766862752467,0.00035253051140032664,0.001849955134599591,0.0012102465255848273,9.751268667981533e-05,0.00017615657848625278,0.00013657716500495282,0.00012757102371962857,4.303026898858115e-05,0.045611005654836514,0.0019074193886031902,0.004559408655347381,0.003993153168933026,0.00022272447767533117,5.6712902044409594e-05,0.003788916876525153,0.00017457563703196537,0.00010476929845522749,0.027394625386854974,0.003026468945831552,0.003964004326544601,0.010891168081493713,0.053068745642361984,0.006321181035136422,0.029375435235544055,0.000401862730862048,0.0014132665381514648,0.01393078443214251,0.0001901263658246569,0.0009346988727376914,8.17099384330936e-05,0.0032224977224100965,0.0005292707526958733,0.0046630647295686735,8.789554026747614e-05,0.04805973035216934,0.004603460517384235,0.004141611101636509,0.02768229111257565,0.0006804542317902979,0.000685380110307055,0.004676697739185056,0.001403652159610385,0.001249679593934964,0.004303325152994975,0.008600543639661451,0.01448385425105809,9.508043993096018e-05,0.026786224253920486,8.427140804010898e-05,0.006835501711838834,0.013897265679450531,0.0006818990145362705,6.040671250800024e-05,0.00502614894048099,0.09131099536590932,0.00011730296143703133,0.00585590811170224,0.002193043421024652,0.00011004865432200492
1802,8.481354550403878e-05,0.0008239404825375586,0.022151513608787476,0.0060759290856171886,0.001585276814571379,0.004253999193913307,0.0006949766845723611,7.175579221051483e-05,0.0004347857434621877,0.053341536381580054,7.41058749000774e-05,7.123720815251378e-05,0.0001240383634617853,0.2406168931563595,4.201844931638952e-05,0.039069777626468384,0.00028537154229398633,0.005155533263283955,0.0032021828873454823,0.0008899930270985408,0.0015616830652071339,0.0012426217315481994,6.700991106974215e-05,0.00018001671290271545,0.00038853624464039386,0.0009177255576779232,0.001611955275272311,0.004668240440519675,0.13280405387797956,0.003253148324803976,7.079915633814454e-05,0.0019086230822980652,0.0007024123948706253,0.006129695451666663,0.019416174665097857,0.00024298994707219754,0.0015748283838065947,0.022152366890124762,0.015258744623707078,0.0010496412157608777,0.00027266028566802405,0.00026121402844078636,0.0034893165749015844,0.006732757540711842,7.225383587519783e-05,0.00024903865690860784,0.0013428914424099229,9.452611884784623e-05,0.0001883797738648194,0.05208540588096346,0.00011144632867955368,0.0008975459151904414,0.00793950099845147,0.0009001910719437966,4.2022477852321906e-05,0.005632497763634772,0.006510458477644742,7.76307571157362e-05,0.016707643875359526,0.0018479962749261751,0.007431855352966461,0.0015089766147566405,0.02110134770250815,0.0026872177354181548,0.04895840223060769,0.0025308368021629674,2.6736396435706707e-05,0.006294409051874461,0.014673640901007591,3.2291511613003034e-05,0.002206540849790185,0.0015233787829875155,0.004398378464677726,0.0001767269604509139,6.512783266346662e-05,0.030376436817125787,0.0013505255274078151,0.005988740705090287,0.01466849797958264,7.037573223005197e-05,0.000554629368906179,0.002508078945969496,0.004379376884110629,0.00024411370798350953,0.017173400156348363,0.011894630820176796,0.005239446890926263,0.00030747595565877773,0.01927301451616044,6.244246459432487e-05,0.0027832883555118067,0.0002656475781717074,0.0008280020072245435,4.475947530442482e-05,0.005141365082567628,0.0617900929762271,0.0002589178500143808,0.001114780723474785,0.0002782259322440309,8.154259387578163e-05
1803,0.00012620111754998298,0.000976600273361493,0.00995038978676538,0.12437811971741086,0.0011433720734764028,0.0005561148412077653,0.0010369979811542275,0.00010677140206596017,0.0007709285254474455,0.028687885904295985,0.00011026828525832163,0.0023634787467558785,0.0014424665522363286,0.0996355211921027,0.0009382162517145699,0.007758591973783026,0.0052615276130719,0.013963675426809931,0.004712976666904882,0.0014833359927668454,0.003454821852604495,0.0016562280977805734,0.0003846137884421819,7.704465894105948e-05,0.0001429222762465125,0.0013235880842031905,0.02127164468424261,0.014662002586963298,0.08412204406637848,0.0059674259094880935,0.00010534794410928525,0.00283635232778313,0.00013749317538913424,0.004200620023513562,0.0002457129693493427,0.0015571609724189782,4.806880460406787e-05,0.033018323807741244,0.004174393415912363,8.741592536017735e-05,0.0006170762551917666,0.0020117948889157807,0.002574609147808602,0.014796223356599868,0.0005463393206677658,0.0007915209040747932,0.0010685214363676022,0.00014065326199212631,4.7442965660793215e-05,0.04719667823461778,0.0003476822858597262,0.0009010163772838687,0.010350502803590941,0.0015414056293742053,0.0003423310335202534,0.001180437007133454,0.00019247813568435996,0.004187396715919217,0.023900718242665202,0.00015137400934944395,0.0061564960646514665,0.006415159616803132,0.013009660095123016,0.0002946017446009292,0.03046136710757233,0.0011259522414656159,3.9783304534591014e-05,0.018673204061875472,0.0002096235709663879,4.804922172184362e-05,9.008918359900335e-05,0.0032764175074459197,0.004873800720213949,0.0023139193671019567,9.69091106484444e-05,0.036720346332496795,0.006257776663820342,0.004054327460310193,0.015211057232791293,0.0028646196754003725,0.0030305861360728514,0.002954870902007885,0.0017328909261854182,8.258890635597229e-05,0.01867601976722318,0.019025284486965215,0.0003645145434911102,0.0003797107409204279,0.018457399971144154,0.0021042151964382493,0.0038022477292300595,0.015241491283961585,0.008070065009902096,0.004411512961001766,0.006170428822142849,0.13477596815782694,0.002768021573869719,0.0045394665861776895,0.000413995469378302,0.0030426928386722745
1804,0.00010553229563545618,0.0017911056432093737,0.01890972266730084,0.059950709114711453,0.008686501002608541,0.002306975459151524,0.00033706334012597,8.928471781380503e-05,0.0013041746606729807,0.023935963733166164,9.22088924805848e-05,8.86394510018169e-05,0.002907266884266837,0.11414132982854136,5.2282962456621865e-05,0.01517520860069347,0.008337355840833166,0.0260692368771425,0.011268462141648608,0.0008410600265245986,0.00560018069777513,0.0020179759742104753,8.337948500432518e-05,6.442652713658068e-05,0.0015459443099034528,0.0013836099149611748,0.010867378000733391,0.0007424820679820339,0.0874879192147152,5.8703375379988924e-05,0.00213131207136083,0.003180584412603247,0.039505674296219,0.00033697409438869557,0.0014023153910045765,0.0005152822228432117,0.00032827217613022646,0.022908229842275585,0.004310049415774437,0.0010074105578266352,0.00011539245613833783,0.004644699788384992,0.0048882040497061135,0.03630234191257412,8.990442650477336e-05,0.00016241226350220025,0.0001259209658917106,0.00011761751333751451,0.0002693833287911366,0.05011505082027136,0.0003516043581498996,0.0029352081413080732,0.0006871972890709478,0.0002053467822061425,5.228797510692987e-05,0.002004107244412383,0.0001609546722940733,9.659485358918328e-05,0.008017634700868677,0.004415662798777779,0.015399077586142155,0.0030813691720697964,0.019450366959724588,0.0017662874918477763,0.025549494159475838,6.662990831558306e-05,3.326772010427741e-05,0.015069986536451453,0.00017529208213725423,0.0016163837842209088,7.533466059333002e-05,0.0004445968352619679,0.0001434421062372613,0.0017157583065697689,0.0006739276386272165,0.029586450354031277,0.0036488074880039723,0.008856307160677555,0.03219730363268562,0.0009319756919974039,0.0030067376242847183,0.00025033646142886445,0.006228909518202498,6.906275515599544e-05,0.016541589967894524,0.058150165789960184,0.002671007827502917,0.0008675341322516036,0.01609569122433706,0.0023976036308252344,0.0012319786871648041,0.004704000549955889,0.002302586472615398,0.0028238260523679353,0.010988948043059759,0.10816346110874338,0.0013479582036092085,0.0004823630207307772,0.0010217191247711018,0.002546746000862876
1805,0.00036024787446777083,0.011892602675244302,0.013085959050764106,0.008705861662492393,0.006712138806904882,0.0013121659995989643,0.005583791745416229,0.0019390756945679693,0.008050958409178107,0.02324771244358235,0.00035123535938065857,0.00011386000008837004,0.005451373080213217,0.06405343187069257,6.71590137647535e-05,0.0013501732761020467,0.013980393304801894,0.01811329613258232,0.0057436113802918545,0.0004606533785754573,0.0022952929903645573,0.005449412694258161,0.00010710341797769162,8.275778225785817e-05,0.00015352044878873313,0.004393749464562999,0.0036987464569958727,0.01844427306743222,0.09531830828588148,0.001587297902147713,0.00011315985221738648,0.0033035292936738035,0.0023192932635541495,0.003358480789201045,0.0002639334211460531,0.0018813527472974093,0.0010782381359758638,0.012287810745907575,0.016211950142596313,9.38981133314009e-05,0.004517851102697723,0.0013436962738972696,0.0014149997539148465,0.06443912120009829,0.00011548489858729527,0.0006604698528106307,0.0068947115052563285,0.0001510831794155489,5.096102281180365e-05,0.03428376816294423,0.002146745237326858,0.004412538009198602,0.002556460735298452,0.0006169173405389857,6.716545266253614e-05,0.0052353285401315055,0.0025402198666692037,0.000330489589058909,0.006868580909612782,0.0005579955781072911,0.00397747858825473,0.05176657086766774,0.022913235584390155,0.002348291115490863,0.05868566310352824,8.558809064086902e-05,4.273337177974232e-05,0.016204651471014644,0.0002251678712137919,5.1612234820299944e-05,9.676960275439953e-05,0.0008902200865373829,0.0004348375148385063,0.0009824049562514863,0.00010409525057385322,0.0393288110162825,0.00041487283870411895,0.005881520240009937,0.052505160309438845,0.00011248308413178688,0.005968722503579867,0.0010426775053374243,0.007478191618808541,8.87131544621541e-05,0.017926271901639586,0.03243750567959277,0.009132360846000501,0.00011260437320444826,0.04706275021159243,0.0007322296236361811,0.00457509110546074,0.0043477214726738225,0.0030183624477029382,0.004132688200860588,0.0027297639940171226,0.09701514157211773,0.00013892264757329345,0.00011395038922506329,0.002541433843619474,0.00013033132525386306
1806,0.0001791106901141106,0.0032921008573761307,0.005348843654632791,0.006116807787423244,0.002498021516760258,0.003366030175477821,0.0021036178874688886,0.00015153510428234625,0.0003477275426288905,0.021329850031014695,0.001944533560943,0.00015043994963506965,0.00026194632883502425,0.0228508662389801,8.8735277010969e-05,0.00037940058772712636,0.049318857490450056,0.001683698267748791,0.00270470149506396,0.0003753490218826248,0.003615770271861768,0.007236935714363786,0.00014151267164765744,0.00010934548204039504,0.00020284216200426092,0.0005164366401956708,0.0007548248030060053,0.011215066910891594,0.1326309289491432,9.963207957360996e-05,0.0001495148643516856,0.0003983365390232975,0.0001951369211938617,0.00025942964852485956,0.0003487276528491727,0.0020580934584476826,6.82215572471854e-05,0.01114312945206534,0.00594280077071029,0.00012406488169190596,0.00019584547392292295,0.002312339862773731,0.0035886222943871935,0.056106056788217284,0.00015258688137712747,0.0017982936474018022,0.0031472816746405366,0.0034646826876626987,0.0019674877886263595,0.08056364123357275,0.006747116851119845,0.0028575299963610333,0.003242827919911399,0.0028012457671191433,8.874378454177329e-05,0.006906713557541643,0.0002731742189259861,0.0006789230049490919,0.0006116547743240498,0.00021483726773798616,0.003959259976171803,0.09229889217027673,0.01809574474383932,0.004166493147449297,0.07532936014288819,0.00011308508725962398,5.646237742219887e-05,0.010946817590040119,0.0002975078445331807,6.819376427975612e-05,0.00012785889823712168,0.00034145797908438917,0.0002434516797429126,0.00037321500545717647,0.0001375380664098559,0.0338611534687556,0.004733599381890795,0.0031661357543051514,0.06308275086416983,0.00014862067010758582,0.0030971803353513484,0.0014548361732406503,0.0011317604875430154,0.0017367660058644748,0.03831200137004039,0.04352930622708908,0.0037336459765400488,0.00014878092587755157,0.01533246974946555,0.0001318670603787323,0.003890112519816267,0.004218885688114479,0.004896139906156514,9.452382238329207e-05,0.0026456664812844134,0.0789108471466586,0.00018355450630490157,0.00015055937820665881,0.005258764217211961,0.00017220303874798402
1807,0.0002906602201258102,0.0031864661154256523,0.005738150493603813,0.005966906059646949,0.0013172323386979373,0.00040133474145502947,0.00040418610149702634,0.0005708034327539488,0.001214076635687791,0.028474554878123694,0.0005301406865206325,0.00024413343976725766,0.0004250856135489689,0.031849190046310885,0.0004262557865501107,0.0006156899863116572,0.00425892102420932,0.010053764354224863,0.011471292970672118,0.0006091151190077195,0.0012370034840786493,0.012278062782654291,0.00294945467733488,0.00017744547720393257,0.0003291715721791465,0.0008380716272416492,0.0036853238757222893,0.031056712738506336,0.11463911076826729,0.00016168260064213926,0.00024263221450855147,0.0006464191838181279,0.00031666753353887234,0.0004210015532816967,0.0005659140516767638,0.0051343826381627005,0.0001107097115987846,0.04752124767046395,0.006660051354718135,0.004077916957789297,0.000831175195220461,0.001154605057090007,0.003442697521744379,0.02640273147604172,0.0008974030327956473,0.0004473207369974079,0.002683375794066179,0.000323945689909227,0.0001092683100601375,0.21914379729153552,0.00038193208683476055,0.0016059370977090255,0.002290441258845746,0.007550767043131685,0.00014401311241264193,0.00540976434262964,0.0004433061954880382,0.00026604444865140867,0.003357344942127218,0.0003486371890598348,0.0021791275715281324,0.016267155362256185,0.026526280801371857,0.0013923194803275253,0.02831905370539013,0.00018351409586378034,9.162695448221036e-05,0.003640519530881926,0.003937759931800541,0.0001106646092655526,0.0019349715918100907,0.0011186298100192458,0.0003950725597617386,0.001897847007320529,0.00048260795462770834,0.03760249771620029,0.0008895514939419771,0.0110912705260826,0.07091333311332075,0.0009549883200234615,0.0008475462386184227,0.0009488958524273733,0.01103995068660017,0.00019021471574425108,0.017087482208648024,0.014792268737716574,0.0008395320065864159,0.00024144118164326196,0.03312750590391604,0.0014453710408757708,0.009095006630739484,0.00612038916031491,0.001500567664261656,0.004029977826987438,0.003965151729103719,0.04960574736808969,0.00767906187040454,0.00024432724804796527,0.005555047664764055,0.003384271788354648
