,Number,Score,Rank
0,0,"0,00555",73.0
1,1,"0,01976",35.0
2,2,"0,05864",15.0
3,3,"0,02911",27.0
4,4,"0,02513",32.0
5,5,"0,00766",63.0
6,6,"0,00445",84.0
7,7,"0,00469",78.0
8,8,"0,01077",56.0
9,9,"0,13429",9.0
10,10,"0,00485",76.0
11,11,"0,00466",79.5
12,12,"0,00811",61.0
13,13,"0,23754",4.0
14,14,"0,00275",95.5
15,15,"0,01175",51.0
16,16,"0,01866",37.0
17,17,"0,01731",40.0
18,18,"0,07505",12.0
19,19,"0,01162",52.0
20,20,"0,01628",43.0
21,21,"0,02516",31.0
22,22,"0,00438",85.0
23,23,"0,00339",92.0
24,24,"0,00628",68.0
25,25,"0,01599",46.0
26,26,"0,02337",33.0
27,27,"0,03902",22.0
28,28,"0,51034",1.0
29,29,"0,00308",93.0
30,30,"0,00463",81.0
31,31,"0,01233",50.0
32,32,"0,00604",71.0
33,33,"0,00803",62.0
34,34,"0,0108",54.0
35,35,"0,01589",47.0
36,36,"0,00211",97.5
37,37,"0,12311",10.0
38,38,"0,06361",13.0
39,39,"0,00384",89.0
40,40,"0,00606",70.0
41,41,"0,01708",41.0
42,42,"0,04057",21.0
43,43,"0,04286",18.0
44,44,"0,00472",77.0
45,45,"0,00854",59.0
46,46,"0,00662",67.0
47,47,"0,00618",69.0
48,48,"0,00208",99.0
49,49,"0,13772",7.0
50,50,"0,00729",65.0
51,51,"0,02074",34.0
52,52,"0,031",26.0
53,53,"0,01079",55.0
54,54,"0,00275",95.5
55,55,"0,03299",24.0
56,56,"0,00846",60.0
57,57,"0,00508",75.0
58,58,"0,01894",36.0
59,59,"0,00665",66.0
60,60,"0,04158",20.0
61,61,"0,03128",25.0
62,62,"0,1351",8.0
63,63,"0,01295",49.0
64,64,"0,24383",3.0
65,65,"0,0035",91.0
66,66,"0,00175",100.0
67,67,"0,05039",17.0
68,68,"0,00921",58.0
69,69,"0,00211",97.5
70,70,"0,00396",88.0
71,71,"0,01057",57.0
72,72,"0,00754",64.0
73,73,"0,01156",53.0
74,74,"0,00426",86.0
75,75,"0,18757",5.0
76,76,"0,01697",42.0
77,77,"0,06014",14.0
78,78,"0,17701",6.0
79,79,"0,0046",83.0
80,80,"0,01617",44.0
81,81,"0,01316",48.0
82,82,"0,03504",23.0
83,83,"0,00363",90.0
84,84,"0,02617",29.0
85,85,"0,02692",28.0
86,86,"0,01602",45.0
87,87,"0,00461",82.0
88,88,"0,11902",11.0
89,89,"0,00408",87.0
90,90,"0,05267",16.0
91,91,"0,01737",39.0
92,92,"0,02553",30.0
93,93,"0,00293",94.0
94,94,"0,0427",19.0
95,95,"0,38008",2.0
96,96,"0,00568",72.0
97,97,"0,00466",79.5
98,98,"0,01819",38.0
99,99,"0,00533",74.0
