receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
AbekenBernhardRudolf,0.00034400964788062853,0.001643994485722514,0.000293505731648765,0.20556878024949055,0.05703122612898572,0.20718334711762038,0.032744167586427224,0.21325319930153716,0.0006794909674623824,0.002743429602205294,0.0011719931223402465,0.0011686056586502952,0.0013042406530579865,0.15207421807344487,0.0007255281318184995,0.0010657373134279455,0.0029187750357559223,0.0020278895852078515,0.0018074896397310583,0.1142503719675847
AbekenBernhardRudolfANDTruchsessvonWetzhausenChristianFreiherrANDVoßHeinrichANDVoßAbrahamSophus,0.0010315967477116839,0.0049299180275193324,0.0008801484495244994,0.06979924770897993,0.0021762999858014973,0.05143541721176194,0.007433191292744769,0.004184463899132897,0.002037619225077352,0.27416605253830395,0.0035145069354746467,0.003504348800238981,0.0039110833786698135,0.008576038827252688,0.0021756728794333447,0.003195873003040753,0.008752658109265241,0.006081121020026529,0.4043290137348236,0.13788572822521666
AbekenMinonaLaura,0.0001348760423674662,0.07887751826886244,0.00011507494554539253,0.0004333468855568837,0.12198025028327115,0.4935077603076062,0.0009718520593920335,0.009239648151983798,0.0002664083786032897,0.15754153086132985,0.00045950395576694334,0.0004581758311082923,0.035281557199543546,0.009813824299183649,0.00028445819368384904,0.026495496349242836,0.04460711925978759,0.0007950757291142804,0.01809376485000504,0.0006427581480454757
AhlefeldtJohannGeorgJacobvon,0.000967286871025572,0.004622586290456685,0.0008252798796303528,0.0031078221575999037,0.002040629158969852,0.2352493204067577,0.006969805171684316,0.0039236038703012325,0.001910593775076032,0.007713979686746802,0.2526559372539864,0.003285887235961659,0.003667265927374733,0.008041407440851623,0.0020400411464950178,0.002996641860459189,0.3822478039670459,0.06804215442284296,0.005082302222620442,0.004609651254113824
ArnimLudwigAchimvon,0.00019882206514025826,0.000950154685324315,0.00016963307877097464,0.5131896898648176,0.00041944340993860967,0.33025757448797394,0.0014326164236988725,0.0008064815595589503,0.00039271514106459547,0.0143993508361309,0.0006773591797481348,0.000675401378475487,0.0007537922894850007,0.0913492857020996,0.00041932254625475705,0.0006159481132526303,0.001686920363611993,0.0011720287430640704,0.0010446475123734073,0.03938881261921581
BarthKarl,0.0002461298409408338,0.001176234747401326,0.00020999561928275063,0.016653481871195808,0.0005192458880207407,0.012272034673566669,0.001773493561921724,0.03272374529186649,0.0004861578876423919,0.0019628516112358343,0.0008385302056570593,0.0008361065646215909,0.03265851912266116,0.6365535527050321,0.0005190962659993558,0.0007625069734374234,0.0020883066498819988,0.001450901578277764,0.0012932112232026205,0.2549758977181542
BentzelSternauChristianErnstGrafvon,0.0004558110728328693,0.0021782845187194445,0.00038889363495945515,0.001464487727748684,0.0009615982539056851,0.2283609343016041,0.003284355931941023,0.0018489055760645406,0.0009003221530773623,0.0036350305810509288,0.001552885059293518,0.0015483966867487025,0.031104425625706138,0.3563050821201429,0.35347708011677303,0.0014120966408482122,0.0038673624085896452,0.002686943616595711,0.002394914784791137,0.0021721891886067545
BergnerCaroline,0.0006196341837497204,0.002961182011974245,0.0005286659417155492,0.001990839433002912,0.0013072063946381572,0.3104361643671201,0.04439924410108048,0.002513420945074601,0.0012239070432552538,0.004941497346688284,0.002111007659801387,0.002104906120756084,0.00234921345215067,0.005151244253453011,0.0013068297197955726,0.001919618459441268,0.0851262464236761,0.003652658335619846,0.003255671387273025,0.5221008424197338
BertuchFriedrichJohannJustin,0.0007441097550745812,0.003556040772843184,0.0006348673051342251,0.40955755340113625,0.0015698053071568688,0.11275293191174544,0.005361697935298923,0.0978598274629346,0.0014697723174010291,0.005934172898748779,0.1894495785650412,0.0025277514040501045,0.0028211365549900315,0.14373050193705592,0.0015693529637707075,0.0023052421237438406,0.006313453678856668,0.0043864247176315305,0.003909688816596289,0.0035460901707898736
BodeAugustTheodorHeinrich,0.004927113295009168,0.013238920267378355,0.0004046227988718953,0.0307320091248621,0.0010004909875323891,0.12220000958433286,0.019665168217089354,0.5395399336311888,0.0009367365179492155,0.03586286092691807,0.03096762065908044,0.0034405999870914116,0.009116315327055747,0.13147968802018586,0.008713656540236507,0.00146921019974311,0.017835367837128847,0.014812118306225367,0.01139751237625027,0.002260045395870183
