receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
AbekenBernhardRudolf,0.0013544876817594437,0.001145183283092835,0.0007230581036715476,0.16879234669815218,0.0005723589706604407,0.0036352215989108928,0.0007932529834848029,0.00035748429388697886,0.0009213953333998043,0.00025511800119549903,0.12658686005117378,0.016065360155668926,0.05972715013855816,0.000134639491486616,0.0003002274512663626,0.0010028057612525487,0.00030954399837792955,0.00814205440454986,0.0002638751674036786,0.0003380589666890408,0.0015153482859041475,0.0006311742995928932,0.0020487924778706014,0.00019102391694828308,0.10469019546725648,0.00034681225348740625,0.0005073934633416982,0.00029240887866494004,0.3115493663984476,0.1394310354328548,0.0001974421871514204,0.00016199342931314477,0.000554523928054277,0.0006159149021154536,0.009877582587354397,0.0005708529812804023,0.02849414606752908,0.004149817385554434,0.0003227844415012336,0.002430908681136051
AbekenBernhardRudolfANDTruchsessvonWetzhausenChristianFreiherrANDVoßHeinrichANDVoßAbrahamSophus,0.003938804416739006,0.0033301542968353273,0.0021026285367180047,0.04539164330398896,0.0016644005493421069,0.0105711015924604,0.002306752875657556,0.001039552248897401,0.002679386499878409,0.0007418745282298705,0.0036505682771056725,0.006221997451088328,0.001664211225389914,0.00039152709240301614,0.4436429622459692,0.002916125273595771,0.0009001434892359363,0.0034290555723844795,0.0007673400716994798,0.0009830640536969463,0.004406581618862717,0.0018354335387822007,0.1324635081525032,0.0005554910966789503,0.003399985342875099,0.0010085183159738833,0.0014754830489405054,0.0008503151400262893,0.002696999972523741,0.023434120015879262,0.0005741552095862773,0.0004710714194406618,0.0016125368480062372,0.0017910597264616333,0.1349816017385741,0.0016600211831053074,0.001868959864052796,0.13857321760022148,0.0009386462505057238,0.007069000315684202
AbekenMinonaLaura,0.07825148753455856,0.0004546109196259293,0.017556767712672797,0.4552095662039548,0.0002272130949251728,0.0014430977630599526,0.008949768137341114,0.017411643479450956,0.00036577234931743966,0.00010127586636034818,0.0004983517439985813,0.0008493864641159369,0.00022718724965545194,5.34487220922313e-05,0.00011918326064674629,0.000398090380867221,0.00012288171146475772,0.000468112275966176,0.00010475225607192845,0.000134201485476834,0.04377588423490291,0.00025056140184585293,0.04398764907487161,7.583201731680033e-05,0.0004641437980540398,0.0001376763351536537,0.00020142331134889222,0.00011607947059586875,0.00036817682559192025,0.01183393834351393,7.837992013946092e-05,6.430759421715793e-05,0.00022013300107429312,0.0002445037787364576,0.07887086395762878,0.00022661525244256406,0.0002551381968542485,0.0620914373083943,0.17282544380119605,0.0009650137644982793
AhlefeldtJohannGeorgJacobvon,0.0037044851912684134,0.003132043628477222,0.0019775432981409572,0.1616711707395108,0.0015653854659992382,0.009942227427754595,0.0021695242930757272,0.0009777093514022463,0.12149986338948007,0.000697740459497637,0.003433396201339821,0.06534178792795675,0.0015652074049169794,0.1193481085933601,0.0008211135193077548,0.0027426451656268913,0.0008465940100300648,0.003225061273403273,0.0007216910593979162,0.0009245816353592114,0.004144434357242724,0.0017262437137219708,0.005603389013028832,0.0005224449664937441,0.003197720430007593,0.0009485216251842565,0.0013877066557402141,0.0007997299461613357,0.0025365556148475147,0.259999772545056,0.0005399987525054387,0.0004430474105115628,0.0015166071329734613,0.0016845096966879992,0.06746161808248335,0.0015612666279827025,0.0017577755600240498,0.13032950565528198,0.0008828062444686961,0.00664846593429091
ArnimLudwigAchimvon,0.0007901424994775642,0.0006680444524142952,0.00042179707131807657,0.2882597050725238,0.0003338864972833064,0.002120612183484151,0.000462745363822388,0.00020853901980778214,0.0005374974032940546,0.00014882348347715146,0.0007323209882489866,0.0012481616494723574,0.00033384851801727304,7.854215713016487e-05,0.00017513815145755817,0.000584988303221286,0.00018057297373048705,0.0006878845086333407,0.00015393199002856092,0.0001972072249217552,0.0008839807835299258,0.0003681965110516977,0.0011951662840319678,0.0001114340995714697,0.0006820528852840537,0.00020231346841340528,0.0002959887673711522,0.00017057717494900105,0.34313903592794903,0.004700993551168497,0.00011517820749428354,9.44991193793394e-05,0.00032348239739159114,0.00035929491775873855,0.0017003075780654905,0.00033300797603209463,0.00037492204795193737,0.002420802437374819,0.0001882968068553836,0.3440160795466118
BarthKarl,0.0009758848307568924,0.0008250846496846568,0.2669386863166083,0.011246310163367959,0.15712868970200755,0.002619113973933504,0.0005715249861334289,0.00025756121988867195,0.0006638493218535978,0.00018380808535394452,0.0009044709582760207,0.01721320409208962,0.17280027429603498,9.700541328802248e-05,0.09424609766752587,0.0007225041200306633,0.00022302107028132178,0.0008495885966541362,0.000190117471388285,0.0002435656092971215,0.0010917820999349266,0.0004547501116704165,0.0014761193678229669,0.00013762941174883385,0.0008423861075220883,0.0002498722002841236,0.0003655681707323984,0.0002106755143738745,0.0006682132655666907,0.2565521811505142,0.0001422536638666564,0.00011671345002092317,0.0003995248513275173,0.0004437559810295387,0.0021000064850988545,0.00041128965034237285,0.00046305665060988535,0.002989871293412789,0.00023256057940387618,0.0017514274502625064
BentzelSternauChristianErnstGrafvon,0.0017888987112210778,0.030240201847278776,0.0009549571599763787,0.1929820734922944,0.0007559258299346629,0.004801109172766665,0.0010476649281778118,0.0004721365880459656,0.001216905067975922,0.000336939397599467,0.0016579896321802098,0.002825863395036981,0.0007558398441028602,0.0001778210433682221,0.00039651634184368283,0.0013244254326325831,0.0004088208901576721,0.0015573845373166998,0.000348505160474041,0.0004464811736354781,0.0020013504974690766,0.058289075602507075,0.002705880808352064,0.00025228907094769395,0.0015441816232844036,0.0004580418128966666,0.431586158617276,0.0003861901981373738,0.0012249046321029086,0.15428182314900055,0.0002607658075391605,0.00021394793088715144,0.0007323707358851581,0.0008134510113705647,0.003849530985982808,0.08693714364387052,0.0008488311523972546,0.0054807460213872755,0.00042630780565955937,0.003210549247027209
BergnerCaroline,0.1186486755378348,0.0020398752062210567,0.0012879582859028134,0.1827858020181235,0.001019523154542757,0.006475293971031939,0.0014129939872169395,0.0006367743561048601,0.0016412495043185845,0.00045443283444889844,0.31219874021948724,0.08130191346202602,0.0010194071847703088,0.00023982864971623457,0.0005347847310617326,0.0017862630718028726,0.0005513799728374851,0.0021004568615659975,0.0004700316704505713,0.0006021726954721725,0.0026992372686904338,0.0011242888571218429,0.003649442879582837,0.00034026426837602074,0.0020826499868299847,0.000617764621215888,0.0009038023528199356,0.0005208577792513573,0.001652038579821425,0.09184514327564784,0.000351696910161402,0.00028855326907511233,0.000987754212617624,0.001097107822403947,0.0439372174917367,0.0010168405879680195,0.0011448252988537412,0.1236278992482829,0.0005749647142892328,0.004330093200316979
BertuchFriedrichJohannJustin,0.0028757125899676974,0.0024313384531727917,0.0015351245493096493,0.07984167532810214,0.001215175243063967,0.007717938420622087,0.0016841552879045066,0.0007589748496724041,0.0019562142914090227,0.0005416409893165684,0.0026652720075146324,0.004542666888663447,0.0012150370180557413,0.0002858530837814396,0.0006374128558622991,0.002129056758331046,0.0006571928156098537,0.0025035460606518223,0.0005602333275537013,0.0007177329404696647,0.0032172357140228705,0.0013400460589243527,0.004349790996393846,0.00040556284885482036,0.0024823219489294663,0.0007363170423324147,0.0010772469844123492,0.0006208132455681094,0.220098841791704,0.2601400063374391,0.00041918947734139416,0.00034392822499701897,0.0011773096668347813,0.0013076488344740036,0.006188245680106279,0.34377219682426946,0.0013645235565290248,0.028640455560352444,0.0006853035983797473,0.005161061849100107
BodeAugustTheodorHeinrich,0.012053629424386732,0.008049300472735115,0.028257673064469486,0.06568876378233747,0.007175165029213551,0.0049276689019134715,0.0028695384042162105,0.00048458235350415065,0.0012489833170342866,0.00034582129496205154,0.005480028443970555,0.010457021309975348,0.042559728569728617,0.0001825084983448637,0.0004069687183717302,0.004223753938529401,0.0004195976209642527,0.005321323982662281,0.004336469456819624,0.00045825064905690284,0.0027769983948566805,0.0008555786444278207,0.007750681129913989,0.0002589395417736761,0.47166672111670266,0.0004701160327679695,0.0006877894296986286,0.00039637037215896397,0.01841547154365914,0.18212720703874016,0.0002676397295403731,0.0002195877093654639,0.0007516764085189803,0.012748359240400258,0.032147457271231854,0.015708024666944587,0.002128540305734496,0.025406641196745967,0.0014322398805009413,0.018837183113121325
BoieHeinrich,0.0005471489750743312,0.0004625998951888464,0.00029208128333007514,0.17325100965807175,0.0002312059595585731,0.019041672918853062,0.0003204366955368503,0.00014440675071430395,0.061878453653982125,0.00010305560896338956,0.0005071093864850789,0.0008643129153126621,0.00023117966010436332,5.438798799243304e-05,0.00012127769374483182,0.0004050861088343308,0.03527147171447741,0.12348884553061812,0.4394369752930461,0.00013655983707310413,0.009398736696748618,0.0002549645713033835,0.00961422292584054,7.716462968284102e-05,0.00047230029694188963,0.0001400957510313884,0.0002049629665632725,0.00011811936012318106,0.000374646876212144,0.003255291045670325,7.97573073503374e-05,6.543768541499717e-05,0.00022400144569419185,0.0002488004962789525,0.1154033092061584,0.00023059761106130908,0.0002596217953157912,0.0016763299953398913,0.00013038965116901402,0.0009819721591378075
BoieSaraHenriette,0.0005330966419858439,0.00045071902158763037,0.00028457980993024014,0.023265407682097675,0.0002252679366365361,0.1555277122674054,0.0003122069749587457,0.00014069797695485774,0.08597206809409003,0.00010040884947052248,0.000494085383268736,0.0008421149152579143,0.00022524231262668868,0.5308314391762247,0.00011816293958034775,0.00039468235192317884,0.00012182972817279009,0.00046410479358973967,0.00010385547800894398,0.00013305259424805792,0.0005964078474343594,0.00024841636003929075,0.0008063597807400723,7.518282376096065e-05,0.009021112999679658,0.00013649769593586814,0.00019969893791995768,0.00011508572089827993,0.06885256656560088,0.011732628675320373,7.770891413352557e-05,6.375706058724112e-05,0.0002182484550634959,0.00024241059589429428,0.08675659771988221,0.0002246752122491707,0.00025295397336782356,0.0016332771001799605,0.0001270408761680744,0.018078637757125968
BornträgerJohannFriedrichWilhelm,0.009476396993182494,0.007026008264487853,0.0014066888868410118,0.28438329502850773,0.007393405725325958,0.03165506611717651,0.004371381105930877,0.010772233897329698,0.01125196277402494,0.0004963247839869581,0.015194586344357096,0.004846734230370871,0.0011133813677646394,0.0002619372847665112,0.0005840839305672694,0.0041207985880249995,0.0006022090068495554,0.0022940877486437414,0.0005133616007001854,0.0006576840631806919,0.0029480668049372146,0.0012279315706283805,0.003985867242797962,0.00037163157390467956,0.004979427011405186,0.0010421287591798002,0.000987119489449441,0.014898074757013026,0.003897631202045801,0.07308695559944596,0.0003841181352496821,0.0003151535894542422,0.34949465661090434,0.005955416484867147,0.037485202483480286,0.0011105781689046306,0.0012503611668938132,0.07723467626013862,0.0025745733471384787,0.018348802000141776
