year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.002643053546217995,0.002234631424271334,0.02032975450000219,0.24763181009998506,0.038954519582937185,0.00709351990991091,0.001547898987404648,0.041059979085773614,0.0017979471029575386,0.0004978196161133962,0.01686478468398504,0.031046498960786078,0.0011167346523299254,0.002650173595627218,0.0005858430758933091,0.12197923990271581,0.01952285168565709,0.002300997087403724,0.0005149077443504017,0.0006596648775554881,0.07399004082360318,0.0012316298577582277,0.003997871886931165,0.0003727508547340772,0.0595802278899227,0.0006767454357805955,0.0009900924981990928,0.0005705864542799551,0.0018097662608569807,0.15477555825310155,0.00038527502313326985,0.000316102769760118,0.005856954441205867,0.0012018537253068002,0.020927044746873943,0.00111392301078914,0.0012541270075333022,0.08783132085195387,0.0006298592259367236,0.021455638860461503
1799,0.0004101901414453393,0.00034680484673179485,0.38886378054932735,0.11670952409959898,0.000173331961814335,0.0011008827041568002,0.00024022703039639512,0.00010825977603835433,0.0002790333845217386,7.725938774112767e-05,0.0003801730067068391,0.0006479636317274843,0.00017331224547137598,4.077393452946294e-05,9.092023675014452e-05,0.0003036875437036557,0.07914014391491694,0.0003571045021384521,7.991138915388875e-05,0.00010237705165610385,0.0004589048214351848,0.0001911434697511355,0.0006204519152202545,5.7849272878345016e-05,0.00035407710593070296,0.006692228067823582,0.00015365794705952534,8.855247701008379e-05,0.00028086766519965916,0.3120388563121109,5.979296804657237e-05,4.905774233166898e-05,0.00016793083580350044,0.00018652234658114773,0.0008826881308224959,0.0001728758912238585,0.0001946349272214389,0.0012567217873415946,9.775134724278769e-05,0.08636977363043895
1800,0.0014093617357869776,0.002869965224763872,0.12035450989199528,0.21244246937337974,0.0005955468205775156,0.01814816654133275,0.008188617597228314,0.024241830115271958,0.02163300547271226,0.0002654535392513441,0.012397751911420438,0.03776017945094456,0.0036038573859324976,0.0055886430199301364,0.0034250371636275535,0.0010434322049353842,0.0014845211329382363,0.007504710415557044,0.0002745654825594613,0.003644921560114603,0.0015767392493149194,0.0006567449216687329,0.010173238373028567,0.0001987628258216034,0.0059795190592599416,0.0032081889102846327,0.0005279493803098488,0.015778568850970585,0.01617602164873623,0.26395245098857195,0.0021036586714078425,0.0033135499087182186,0.009727081663533836,0.0015952539315270348,0.047241991462745,0.0037037999987165194,0.0011638837782531081,0.09064523693402184,0.003026029292615772,0.032374784110233944
1801,0.01548950346170308,0.011174237971057955,0.05211740417332357,0.27592973205088944,0.0020775662867524897,0.03618181815294348,0.009599172486040497,0.014509055453690373,0.005319183916476854,0.007417950412502056,0.01797586898001789,0.05479378102502787,0.008262344413926573,0.00013304488050212599,0.0066907467751055605,0.0032017683836928408,0.0003058778952565769,0.0372633861239875,0.0004339886614438193,0.001377618918407333,0.0016940671473136325,0.0013837883390560076,0.006633951006407442,0.00018876151360062692,0.008989120688098328,0.00856365844335849,0.005005632300873854,0.004215918448776179,0.002069155703624349,0.09549848787788115,0.00399761309829177,0.00016007485030674953,0.0036137319495094062,0.0006086202766115981,0.07175896930723352,0.01602173324070334,0.005316330804398883,0.1731487840476138,0.00031896152438860094,0.030558589009204412
1802,0.004716695868468572,0.0035095769461979107,0.0169125585726882,0.2892793196729755,0.006649289378143398,0.03453572494589189,0.010306788500600154,0.021525456283074267,0.006852304821619874,0.0072170088303319035,0.012286654851267521,0.10752981613315138,0.001432172703576071,0.005356580368263968,0.0011208001119559457,0.009749163804899402,0.007979791990715409,0.03886520096778686,0.00018975110451157978,0.0007001117959214827,0.004775297690890113,0.0010664374550550563,0.012121050212034117,0.001149355782475369,0.007212900015362921,0.0006762660619366243,0.000630551770489786,0.004970056499379581,0.007522477526372954,0.08019316178968286,0.0001419795331928675,0.0014308434408817144,0.004668425150783605,0.0022714265918593116,0.031092848666557378,0.0024316058595119762,0.00638891279124727,0.2261187968633835,0.003566695145648027,0.014856143501213758
1803,0.009325522967129261,0.006353110749663906,0.07057037558868658,0.17404805515955124,0.005127900486786604,0.0242267504433865,0.008365008082521344,0.003380634383753598,0.003182956522299593,0.004685961156251749,0.008004062806509055,0.06222713912490658,0.014380705752727927,0.00014865747403574846,0.0009770829738377147,0.005099842913102553,0.009363803890148983,0.0479666186841809,0.001484504776733919,0.00037325595565045413,0.0030298980017235003,0.0022087371255830397,0.022335088783432197,0.000210912360559303,0.13699054871638885,0.0016880751421939652,0.0047825449870865745,0.010426159350587876,0.013321031887138313,0.15145793869835514,0.0036271564094061985,0.00032780395668092983,0.0056652244959694955,0.004131184033318064,0.03669714362484072,0.008464691299967072,0.007688712021783822,0.0975420896323491,0.0019030878810740348,0.02821002169969753
1804,0.004138268540435722,0.001900783809207525,0.017136871435708207,0.17968600857561015,0.0017755919730566957,0.035305579225002014,0.010204868868572801,0.004270759688814968,0.0016137436826229137,0.00023000364688157972,0.006983521747057929,0.07567639593138221,0.0019093413112504524,0.0024891821974413757,0.001335710303160639,0.010586871296214431,0.01428416432308019,0.10882246179749064,0.006139407525191852,0.0011273722524042429,0.019331272849099742,0.000883934476593092,0.011501789000549767,0.0003676906554752416,0.12490022529097809,0.0017488586705208214,0.009066076960083774,0.03217191220119367,0.016621074379471072,0.10909396715293963,0.002957068810808216,0.0001460464543398675,0.0009756688202009974,0.0021781255016851513,0.03236650832331312,0.006088832671618001,0.007758320594549454,0.09482439992568363,0.0014833772824984753,0.03991794184781168
1805,0.00431898662467414,0.008707951897956425,0.008269772254229339,0.1978713270976852,0.011176188798083273,0.06190914584667574,0.018872734345230784,0.0012456987320396044,0.005703083135097431,0.004358217771602269,0.011525486738545577,0.0439287648278073,0.002155298807870006,0.004622453249164378,0.015066147546075074,0.007558433243530685,0.001013074300151311,0.08584606229954614,0.002673938053264558,0.0005017830103586424,0.01557228263315627,0.005953239530969502,0.060225904438398765,0.000224838786224988,0.07625797567570886,0.0041908534743765845,0.002207187065549397,0.008652235394738148,0.07529801930359148,0.09920197412333231,0.005861810888118261,0.000978453335905375,0.005657219623327185,0.004181880083428495,0.019582428900647857,0.006332443387690032,0.005336970153811633,0.06615992349813937,0.0005755269105412849,0.04022428421275631
1806,0.0045441475552835025,0.0239409628393782,0.01154765213118898,0.19486962791285597,0.0075296512094518145,0.0318481905410049,0.005827629818414182,0.0005590678462559598,0.005679066717757069,0.00039897772827632516,0.018058867588706715,0.062185002120482204,0.0020017118561980766,0.0008579303357503255,0.007492254810709466,0.003321408087990131,0.00048409426498977976,0.12494832503828521,0.0009109997169957428,0.0012049512077662854,0.0038743310322885533,0.0057181253311749366,0.06606572817908475,0.002510255307570523,0.07507596090118206,0.0005423778972333829,0.0057767770402082225,0.0004572967395121772,0.12717666994647356,0.10730027368073468,0.0003087788197086759,0.0014009748314534566,0.004168896988364534,0.005194362392481656,0.018579637221075654,0.010298415640713132,0.004958031696146709,0.019098708134970437,0.0016351075721450555,0.03164877131973699
1807,0.017284193876728127,0.007001685633245842,0.0044626176580535104,0.24173962599888782,0.005134035284397006,0.052664222584054614,0.009012005317103385,0.010219740715458059,0.005138737163162129,0.0006679384428150849,0.024283237096049688,0.18354916300105617,0.0014983539831925543,0.0003525070432645417,0.0007860419701843212,0.00398869154121601,0.0019345688922791902,0.05803139812394052,0.004677864081987796,0.0010486077111132132,0.019475550762842242,0.004266391879565935,0.08068376818968466,0.006972010005907569,0.018371336515709647,0.0009080081980026722,0.010683138925938916,0.0007655717360810483,0.027089024430892745,0.07788871677370852,0.0005169342281372932,0.003886889260096975,0.0014518295348529588,0.0029069365745632166,0.044014250990125285,0.00201888659633371,0.002173248053718377,0.05006120653038224,0.002970820323404552,0.009420244371861931
