year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.0007770672650784738,0.058939883338958325,0.00019081080276338455,0.000403083760430362,0.0007845018296066984,0.0009080522736506228,0.0009309348445045497,0.015359898862465438,0.0003262609369113269,0.0010531072398941807,0.0006281973517412413,0.002259341654012967,0.007733115706378617,0.021045294433318235,0.03312120293972282,0.022053008831660986,0.005467307814609068,0.040099989907528805,0.04372427180620053,0.00036312938081207573,0.00026014905132904414,0.001246978174527911,0.005597276560304485,0.001071473456226888,0.00017070480577313047,0.0003606560185689927,0.0004855717561049004,0.0012994491461070289,0.0001838031614871015,0.00019289092518907873,0.000921633375766832,0.0004668562497146393,0.09503616467066045,0.0036425317474148497,0.00014609752595437977,0.0004155170191685248,0.0013233654288569386,0.0053865798218386655,0.0005153811051305323,0.09857816920237579,0.12789920676093045,0.03668059661123552,0.000363851974696379,0.13761708830366012,0.0003740673269714404,0.0008904637100517653,0.000218118580224267,0.0008191190654574205,0.00121104244432283,0.0023862893318861277,0.0004976976084037512,0.0005105993298214839,0.0003641510068468616,0.0012765924453666808,0.0004312950790719323,0.01940798846090469,0.10084096394431476,0.0012074830134596447,0.09289447885918299,0.0006391959604420029
1799,0.00012331225983889144,0.0003081223935313193,3.027963259789329e-05,6.396507951986202e-05,0.0001244920456748073,0.00014409817907384606,0.00014772939820985786,0.11264150069509468,5.177411948195604e-05,0.4010144439405601,9.968819759792164e-05,0.0003585333440552824,0.0008502874466548469,0.0012387340150492381,0.0010259389439586878,0.00046856793917985723,7.043331422290053e-05,0.020370308367651285,5.3472616307188205e-05,5.762474701248986e-05,4.12828706805563e-05,0.00019788209281378446,9.105796341399659e-05,0.00017003137203493198,2.708902602288617e-05,5.7232250891109744e-05,7.705504175779106e-05,0.00020620867452960282,2.916759491370196e-05,3.06097257681776e-05,0.00014625335465299417,7.4085091161842e-05,0.0004635022299136162,0.00020115554429681715,2.318411402967325e-05,0.0066372057618593406,0.00021000393268211207,5.762264561267305e-05,8.178546646858582e-05,0.001207789464853894,0.3762243377277534,5.719740597372429e-05,5.773941492970059e-05,0.048987944001681306,5.9360482024787876e-05,0.00014130706223986628,3.4613084669817715e-05,0.00012998543057720353,0.00019217947696610526,0.0003786785821103924,7.897928476305122e-05,8.102664989516986e-05,5.7786868132142174e-05,0.00020258156070378878,6.844191390867875e-05,0.00019802970564642287,0.00047650160040951816,0.0001916146333763611,0.0032929476898357524,0.019815236530771663
1800,0.008986765925960403,0.01274946843148794,0.00010245949883605972,0.00021644351097806105,0.010427028784796257,0.0004875959826580686,0.0018742323658805001,0.03773996634312689,0.006765997234253189,0.09642195931956402,0.00819635189905796,0.0032777685378198728,0.02020635315790966,0.05376636933317935,0.029565746794847306,0.00392447584788905,0.025917416795109838,0.008097406652181387,0.018466514608218944,0.0001949892450103647,0.0001396919935130902,0.0034539234727930805,0.001529802901713718,0.008576644022532788,0.011404342323460505,0.00019366112599301247,0.0015948835475197672,0.00537565765074777,9.869661223429223e-05,0.00010357646023534994,0.015352125891247318,0.0011922309655387389,0.0030653457664034994,0.0013145625362659316,7.844985228135344e-05,0.003539919957255717,0.004267894297029684,0.0037653178463554994,0.003378398230165599,0.08654144087732075,0.22389177719596287,0.0023359194288965603,0.0007180929899780945,0.15815490726609618,0.0017856055876827137,0.0010722982760329575,0.00011712293063576906,0.016441638510868207,0.007185907219746081,0.0012813635574191202,0.00026724822070052766,0.005086098651808827,0.00019553782658963641,0.0031288569273800505,0.00023159211644304656,0.004240423908411994,0.008753046178396687,0.0012425278357754794,0.05652637577312338,0.004991782998679291
1801,0.0010614982559092223,0.006605557938032234,9.757953734193157e-05,0.0023776710135474406,0.000401189683541388,0.002216538998379349,0.0007871771326509814,0.041351616634477985,0.00016684794998756544,0.04936581075872991,0.001255181040062197,0.016060026520385177,0.030818424889204686,0.07829666076487729,0.025758788420989838,0.009013532316150246,0.001938042815717469,0.06015600674664151,0.00017232154792000626,0.001499824304354966,0.00013303871531901443,0.0023323895903983385,0.0002934445757394864,0.0032806610587182415,8.729744714738341e-05,0.00018443739516774702,0.004286260603157684,0.002709969823669802,9.399587025550424e-05,9.864329988039498e-05,0.0012891464264219834,0.010387681697519536,0.004006300143698093,0.001330985927597777,7.471342703330885e-05,0.0029917067065307404,0.003745934005034537,0.0002668725517864256,0.002969311898685234,0.16178191476924483,0.055815088282523614,0.00018432510348434573,0.0023590187960612612,0.19384916939340752,0.005934135848128581,0.0011013280800379183,0.00011154457628039087,0.000875005689115109,0.0024778707644689158,0.0043012211171916375,0.015108863575503891,0.011480787755044523,0.0032123243712656453,0.010204249969170931,0.005876814952666499,0.008670965736696028,0.0047996651822229145,0.0006174998065897948,0.13845729357513314,0.0028178242230998594
1802,0.005084886180389525,0.0077017247553960696,0.0023461147230105627,0.005051448149963943,0.0014813081290127588,0.0013662657958569808,0.00415785163301044,0.013844896524551101,0.0021466772498347983,0.02127032680314197,0.00023536500337737224,0.03596585702280462,0.029347896722740543,0.048722897528470394,0.020756818384988454,0.0181000157999083,0.019632707917052784,0.09518176147082527,0.0003719687698932695,0.0011531106427930815,0.0004972000094187318,0.004010457694615164,0.0002149889192792345,0.005125047656216273,0.001420034760651833,0.0022747152292634065,0.0004922769028783751,0.004196820921153837,6.886503358263561e-05,0.0007503085477349674,0.0008497753847343254,0.0004187180431663046,0.007919452354651833,0.008223543554703977,5.473796505885662e-05,0.0011550073074226216,0.005091460879143117,0.0015583652834562007,0.0026525369093016644,0.20883103938609568,0.04943399641389826,0.002710660438246171,0.002601322824686558,0.12977527969126468,0.006079560584863279,0.006222302594349863,0.0005828823552854628,0.0006001945373838314,0.021271051298628267,0.0046608517702460385,0.0022779767023177796,0.0005026985546438002,0.0018885563079396562,0.007894372812599791,0.0008868382973285644,0.002709240326332449,0.0038240161418975254,0.004130250209118477,0.16175402965420727,0.0004686665352110123
1803,0.002405015371476992,0.1251488308379948,0.004523508192925073,0.00022907240919942037,0.0017061969539465254,0.00655723283364077,0.0016186773670578106,0.04456070890636369,0.008372166163098974,0.053365542579239374,0.0033764874437137438,0.04738643530664477,0.01992205870222006,0.040977497096325075,0.019841566364968446,0.006988543480061384,0.0017346010779137437,0.0668714786115004,0.006411102419255784,0.00020636634436699644,0.0005599267917250132,0.003122251237965761,0.0057840868386408,0.004585368149594008,0.0011356032551368739,0.003931322158230213,0.0011369644559824465,0.008252330068147457,0.0008822511150450656,0.0001096198688297221,0.0006150434828877631,0.0006538671456074113,0.008609679459021975,0.005336088517685006,0.0022597014364994237,0.0018757652033277387,0.01260188709944991,0.0004216123532216357,0.0016086751032811722,0.0949086503094013,0.1255351297100134,0.0003286692979057431,0.002562905129235673,0.09995325611318209,0.00021258237667686676,0.002444825205837438,0.00012395673943744003,0.005903359649751246,0.002430881392619962,0.005391398247480815,0.004761232091266157,0.001354749628388924,0.004463802870249499,0.0016194634971325433,0.0014541782632229337,0.012420439471051313,0.005062687281858604,0.004973637846728478,0.09804580775770465,0.00036325491866170896
1804,0.00381962356936621,0.11675963518814404,0.00028717797133912784,0.0033449117620504235,0.0017725124138666115,0.0032244041951158355,0.0010331985765045975,0.04994458244306502,0.006518132861213574,0.008930444279028053,0.000294266781691279,0.10562902797886682,0.029688316852159426,0.04105819735921559,0.029259310442023644,0.013022674989236292,0.006094347869120708,0.07329348133729213,0.0003397715043162023,0.00017010086708090972,0.0024979930352747957,0.0014728243139466267,0.000910004150751899,0.0005019108163343413,7.996333266107937e-05,0.002098738705570209,0.00022745660667482102,0.01687884078276585,8.609900160446819e-05,0.002498341163273784,0.0009411710852214854,0.0008457762914114189,0.01650264117656126,0.009799301503228143,6.843653297246307e-05,0.02757426860372035,0.0013310986159322043,0.004179443736217368,0.009862625740317812,0.10104403971618342,0.07898508126297407,0.00016883941110926761,0.0061280443936167425,0.07194914001383741,0.0009621060432090327,0.0024489028638685125,0.001011809363756987,0.0031814816007658714,0.004382591508832274,0.0032190442944187918,0.0014212023716309676,0.0007230424343341769,0.00017057942784611376,0.002295086141073948,0.0015866063964500648,0.00653748010403017,0.010129327327938718,0.0016575809223919877,0.1080948067090977,0.0010621532574968161
1805,0.0007059450453755133,0.058581651684750054,0.001772154968862464,0.003376627056956436,0.001518860150347712,0.0012733216610538896,0.004161770736579153,0.043028051984093124,0.00019832001006867583,0.012347284111402101,0.0005293068835599424,0.08190424953361676,0.0490979402592409,0.028700590191335095,0.06693756564965535,0.02440718251237273,0.001053444525187986,0.03229113338052894,0.00020482607740216385,0.00290312344144857,0.0033613766500946167,0.002049166862260729,0.00515064352234164,0.009190874057818408,0.00010376411935854791,0.00021922730287926177,0.004702754591210056,0.004645259691339317,0.0007251181130105016,0.00011725010841874468,0.004052320160722105,0.00043532373980770603,0.0056961936443176014,0.0014216345652694237,8.880641088257515e-05,0.00822191720902125,0.017815659100980742,0.0034582091605350404,0.012857401047467847,0.05410979290264514,0.05323899304361928,0.0003860711856879786,0.0026309742278844183,0.1202021474921698,0.0014700591830780062,0.0017536096655718907,0.0022410679905405955,0.008971326666719553,0.008905294742433954,0.008011487750464903,0.008640915870747673,0.00031037140146133216,0.002196409524076293,0.013499837671396515,0.0008053971973675502,0.06555933396714274,0.00762908624804931,0.01463670649213557,0.11565462163887272,0.009840245216361095
1806,0.0006263437399205085,0.045132310863569884,0.0001538002656796816,0.0030359400353333265,0.001076807947790469,0.0011098709430211763,0.0007503664590354515,0.027106227313839878,0.00026297787154162615,0.008512200584817123,0.00050634931669401,0.10744828656595597,0.02240223605948649,0.01595681052497407,0.06913217773829392,0.021783193862388382,0.00035775409114231706,0.09712694560710315,0.005214318771095857,0.0002926951432317577,0.003334913811965942,0.0021034893936405057,0.00304679978437964,0.0008636455580598016,0.0001375941199370289,0.0037097735987905917,0.00427640596780564,0.0024342868737949053,0.000526100505206121,0.0001554769180341856,0.002947799023033124,0.0016018619073113298,0.0036957867751444,0.004141127958183339,0.00011775978079601483,0.00033492143535393033,0.0010666794101898713,0.0002926844695272774,0.012364317804986149,0.03759608910052422,0.04797419563006118,0.0002905245367990183,0.002772775708568962,0.0736470713592668,0.00030151151526592614,0.004471364736107955,0.00017581130157377344,0.054874537547487924,0.003545413691289853,0.015952577259939513,0.001071914749251279,0.001147470992277759,0.0030601255877848576,0.006797113018846151,0.0008429676422346607,0.08903627264034412,0.007780931418271172,0.013292916590423226,0.14470583633796416,0.015523539834662581
1807,0.004653325441782254,0.016681734801032147,0.0015252101930306925,0.0008977512428660267,0.0010461315339135564,0.0012108857902652212,0.007926535681368304,0.020639075427143678,0.00043506827072440827,0.015359531602835626,0.002646253784582994,0.04031975172108583,0.03688455063170902,0.06211578204031049,0.06857844822801851,0.015032021057311926,0.006123279604596794,0.19126654867488474,0.002251890846024856,0.009778455022808783,0.0008363103752512788,0.0028311600351727064,0.002350145324674234,0.0014288075922936306,0.0002276344981877095,0.0004809340395163753,0.0012279162397302581,0.006849670334992979,0.0002451011278852738,0.0002572196416000978,0.0023097158586635517,0.0031816034053555233,0.015231422483826971,0.006058982787131971,0.0022444554776836,0.0005540910680194111,0.02573675199602124,0.0017892870427827833,0.0033613140283314732,0.02724458402418076,0.04773126549752273,0.0004806412307134035,0.00048519584026646275,0.11981911666076123,0.007733033758913008,0.0011874314778307505,0.00029086066634090004,0.014567321694125508,0.002951949749561565,0.007388370109328723,0.000663678710304029,0.0006808831285826003,0.0024313926926881804,0.0042438621119513225,0.0013500461658374054,0.014000622599458973,0.009538680573628448,0.009597295082601393,0.13531960345739139,0.009719409814594265
