year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0.000717724071100176,0.00020364306590383923,0.0001537555405146578,0.00031191910466087867,0.06466577536855671,0.04379471104492034,0.0002759549717815019,0.006784312879026748,0.0005143692977854807,0.0022657759174802027,0.00016339668557419865,0.010568897675363674,0.00015260223754695398,0.04099242915512053,0.05961723435680245,0.07922620689005938,8.972188661159769e-05,0.03552328488601153,0.0007011321203102207,0.006573418525541897,0.0002471903858621115,0.000676909021303285,0.0034946170202560223,0.0004369681124021829,0.026245650496751125,0.00028527587487330036,0.00025427604196926807,0.0009490138403624297,0.0006320265794420415,9.439042361966721e-05,0.00021808655280514938,0.05596134138022093,0.0005547754515248558,0.0010485890101013275,0.0005531319478049093,0.000304460830666757,0.0005229387376236553,0.0003239524747109868,0.06118003316127161,0.0002922787147684516,0.00032024886374334283,0.007917735173055359,0.00040143271236916194,0.0005366125961400448,0.00032253084474144456,0.0012149940119850584,0.002204484534554879,0.0036985229797437606,0.07695414074227,0.0005675193592417632,0.022085420790427784,0.0005333533688461674,0.035158508258221026,0.0008448862147232512,0.00015985653215604045,0.040377237504054315,0.14357327571974718,0.03141725963216312,0.032161802293124826,0.0002530419779364453,0.0002159384603143078,0.0001919640686837842,0.0006152617108191749,0.00022669898197358524,0.000553257498387081,0.0003010691745488889,0.010364238142552416,0.013649447642127279,0.00011454185524458072,0.0007836051714434997,0.06000124502323199,0.0006820661087724242,0.0003433132166682774,0.00015881750166015047,0.0007376102865377801,0.0005431674861205725,0.0012841550258168184,0.0005140662778558169,0.00024795707417875145,0.0001965434448048391
1799,0.00011569914627868467,3.282783707467373e-05,2.478582715763573e-05,5.028224016780716e-05,0.000478413833253989,0.1707783092993778,4.4484720426803117e-05,3.7882836254129936e-05,8.291778278318364e-05,0.000365249473811606,2.6340006956604928e-05,0.00017823364344641312,2.4599911463656753e-05,0.0008699278246177517,0.0004678265093095298,0.0025814625101318427,1.4463421391959851e-05,0.08042557770686266,0.00011302447697498809,4.380473770176821e-05,3.9847787978889115e-05,0.00010911964503723448,0.0005633421283959548,7.044049320854454e-05,9.378744659725035e-05,4.59872763165817e-05,4.09900157450078e-05,0.00015298370997684398,0.00010188446871343001,1.5216002736174932e-05,3.515616793475952e-05,0.006744972294840496,8.943136882591575e-05,0.0001690355084231268,8.916643138691895e-05,4.90799453464705e-05,8.429920067522054e-05,5.222205338811462e-05,0.3496421216166499,4.711615387554853e-05,5.162502084544408e-05,0.0002205937095167815,6.471208641261556e-05,8.650346526712245e-05,5.199288262399618e-05,0.00019586046446081192,0.0003553691298685224,0.00021483672063673183,0.001145521738357846,9.148572272384256e-05,0.0005092271827637297,8.597806862708532e-05,4.488860945256685e-05,0.00013619804278859954,2.576932423232537e-05,0.00017201305147492542,0.02922453463864257,0.00010666782619333796,0.0009615031137545436,4.0791081139356406e-05,3.480988936152307e-05,3.094514975490721e-05,9.918192456694942e-05,3.654451582818637e-05,8.918667049517372e-05,0.33458890924484996,0.0006149768942763308,0.0003616248231092541,1.8464470398297366e-05,0.00012631936562556935,0.0013425273250072714,0.00010995098209487182,5.534305964382898e-05,2.560182958337523e-05,0.00011890486034275102,0.013206790565135115,0.00020700941512069023,8.286893511514628e-05,3.997138029976685e-05,3.168335811244897e-05
1800,0.0024837678420031816,0.000419455697637063,8.296757523679512e-05,0.00016831375114757642,0.0035561881740107794,0.11436521030835821,0.00014890725112482549,0.00012680823791387744,0.0009418752854807659,0.0012226286823487586,8.817000518123053e-05,0.0010294592987902897,8.234524481264585e-05,0.02756849808843798,0.002312734407887161,0.06614911072076499,4.8414563487715616e-05,0.08871199771393959,0.019783685452041157,0.0001466310907392854,0.00013338567747333966,0.000798108501963534,0.009443849530938391,0.0002357910786203654,0.016625592454416367,0.00015393687624243186,0.00013720914753630317,0.0015417999063673524,0.0009495764229462593,5.093373901899246e-05,0.00011768104367120076,0.0006204605253212901,0.0002993607505774888,0.00967888986200214,0.004751605835762631,0.00016428921384197646,0.006022142669649798,0.000174807042586979,0.2017224309758688,0.000157715658092682,0.008495626460493611,0.017416358693160886,0.004346701632989628,0.0056277240277300185,0.0009207813579203451,0.001872680183848774,0.002427829265279002,0.0014043986233169257,0.08921284663610946,0.000306237453158574,0.019591037379875217,0.00028780124351567027,0.00015025922105987144,0.0004559065666963708,8.625971340190548e-05,0.002600086022749723,0.06669545410347957,0.005021872620588441,0.056315405290015656,0.0010726070584833544,0.00011652191779675786,0.010990361319302288,0.006878829372844006,0.004926676045197274,0.00029854165234699444,0.009523097258375775,0.004984984209650646,0.0012104956000859846,0.001432324675750936,0.0004228388830741512,0.06422624182429944,0.00036804768795079223,0.00018525423564164849,0.0012648696948017444,0.0024733971168281253,0.0017972570282066883,0.004854348074841319,0.0012985361065407793,0.006425431336887466,0.008797336101461984
1801,0.004047123020982979,0.0045730445683098446,7.917192837418232e-05,0.006181618751772189,0.0031460309956359974,0.04792187629134388,0.00029739802975581016,0.00012100694398649017,0.002085400146436585,0.00910286306759703,0.0003750858422644628,0.0034794145722898437,0.00035515165727147786,0.06422464450941608,0.006125393307219551,0.11996726549872327,4.619966706001554e-05,0.08218022228131794,0.00036102752345856115,0.0083239710313679,0.0004585164906030674,0.006285207625419296,0.009568655587368536,0.0003114417015718184,0.005378309904529345,0.0015844447711285308,0.00013093202699997856,0.0021766047017572425,0.005627053043723739,4.860359394536809e-05,0.0001122973057118263,0.0007878075011148795,0.01293784162608978,0.0010585666562605283,0.001076891233947769,0.0001567732193429126,0.00026927204145387156,0.00016680987259780922,0.06113015453394738,0.00015050039428491299,0.018448346884612058,0.0028442339756001313,0.0011800192144616783,0.0028304757744426353,0.00016607784573395484,0.0006256257079904783,0.0031410389679708286,0.013833393310834193,0.14498095562923724,0.0018372315362046524,0.012265180456607055,0.00027463475186048387,0.000954400140735733,0.0033134184816398645,8.23134559680903e-05,0.006536088071296275,0.13669950633357653,0.010607347227162462,0.06261626550392567,0.00013029658174129876,0.00011119120817376836,9.884629487416951e-05,0.002156566536626248,0.00011673202476629911,0.0037912743566856856,0.0001550267850073766,0.011308096461308847,0.03045448175144633,5.8979985559644867e-05,0.005614057103176615,0.033873468160808995,0.0004323194667970905,0.0007199554702053589,8.177843753737981e-05,0.0011221888648547853,0.00027968824513496484,0.007112190704041162,0.0027244889161714956,0.0039100215978770244,0.00010120431096283221
1802,0.004324679626603494,0.0029510679323709018,5.82790697552588e-05,0.0003376072956769458,0.007293399200587219,0.017651384353843017,0.0003862502826708527,8.907414880851943e-05,0.0003757096631394488,0.006899627832897467,6.193342239559171e-05,0.0053895368911266095,5.784192502617276e-05,0.06350927678868869,0.004353912784588207,0.11724409846327069,0.00020302192641351806,0.05308964697928303,0.000559325818984534,0.0005417550550144157,0.00020494551787855793,0.013318349341223598,0.014432381084714185,0.0013936231340923276,0.022351412712231414,0.00010813016919964984,9.638007929610426e-05,0.0004694007256232398,0.004813004573207037,3.577748199476817e-05,8.266291660822189e-05,0.00649219730638359,0.00949901269574566,0.008600974114910481,0.0003636774298584566,0.0016725362595632473,0.0024759017617156207,0.00012279003935647108,0.05306259249404817,0.0001107845060343964,0.00446382068499973,0.003917599842066809,0.00015215793179156916,0.000203396136603057,0.0006881285158216449,0.003355147826821349,0.010379034004862316,0.002796512407029122,0.1959065859631151,0.0432392460175123,0.012187008510269498,0.0026029100566228093,0.00010554686696008797,0.0010990014671107835,0.002516583500004941,0.0032832900667493976,0.1301977033639824,0.0061709144659277395,0.04485772416073093,9.591232311892459e-05,0.0006979280873771623,0.0003706758387693346,0.003646117876406817,0.0015539892519996503,0.0007045640091036097,0.00679286852530893,0.0052504314982224146,0.03527946854662613,0.004417716947133866,0.0008770337967688152,0.034732323549897845,0.0011645370522530727,0.0003067860190076158,6.0197741340745234e-05,0.0036856885250742236,0.0012538339652156745,0.005540318376666884,0.00019485024322183264,9.398495542991979e-05,7.449727724529129e-05
1803,0.0018761265206938093,0.002974568808845015,8.767688879887221e-05,0.00017786738976725516,0.0042407955515711224,0.050970326129328704,0.0017224485395379231,0.00013400598658721793,0.00029331170488254544,0.00588735380923349,0.000719390480280865,0.005963428541565911,8.70192343448453e-05,0.05762696922401936,0.009477080054180801,0.07662526265881119,5.1162617288058894e-05,0.05330212747912775,0.005670671816721908,0.0001549540022172917,0.0006479987483427623,0.00459128499723765,0.010590609512102188,0.003368441947783658,0.0007449468537858815,0.00016267447062099776,0.0005513906668282167,0.007663194776398538,0.0005821989848446722,5.382478346912676e-05,0.00012436072465956828,0.0022479305360678273,0.005071800790268032,0.004707426306561647,0.00041790953712002326,0.005833625728197074,0.0009202637408872681,0.00083174533710567,0.1111818953081648,0.0016214018116766148,0.0001826173152551434,0.0011028347289283545,0.008540613632682553,0.000397131148833139,0.0034350658278481765,0.002953471968205567,0.018149427389741082,0.006015686919140073,0.092333171960031,0.005122459905111978,0.025130661264028558,0.0014194479129456116,0.00015878806845049125,0.0015896541753616259,9.115589166220877e-05,0.0023578926643248363,0.07507728467049551,0.007342627763272807,0.02807524201660957,0.0028657894750966067,0.00012313580576676748,0.00010946475325071428,0.0026303297205598495,0.005991496627983576,0.005369466788955614,0.0003406943665638129,0.013288261296475383,0.050386778014382294,0.004723544072345165,0.0009960879945520617,0.041188771426641825,0.002797896253365274,0.007014103645926819,9.056339944409518e-05,0.0006249990584386159,0.0037696546615455327,0.12034856329792369,0.011923527226673312,0.005872087814538203,0.0001120760767164574
1804,0.002116755302664441,0.002345231603420693,7.271959215964328e-05,0.00289662262271142,0.01365662540712797,0.018114630540227317,0.0026250963410800006,0.00035570668813990027,0.00024327400124378868,0.003750597365656589,0.0015234369840150086,0.012511152422369751,7.217413070071177e-05,0.0729495647819712,0.004647347190687467,0.0779650832521235,4.243449686658377e-05,0.035858250493257554,0.007261849952300829,0.0009115052519222151,0.002717324169805754,0.01919455019480583,0.0090536022508878,0.0013903436634288002,0.0036648413399169508,0.0017543516581272538,0.00012026135777663727,0.0017517790493358693,0.0002989207084000861,4.4642509053153746e-05,0.00010314532486054439,0.0071542424217356584,0.0006836231315327713,0.0027188093466548233,0.0010635635735432114,0.0060561274009764635,0.0013163996810534487,0.0034791881000730495,0.07245137163124717,0.0001382349466156654,0.002332628088272961,0.002153230709659643,0.027912566379493093,0.001634750613043436,0.00015254287039020317,0.002603663271342362,0.0019143727022637468,0.009918193062597431,0.06530839237531959,0.007401046955114877,0.023912977308303163,0.0021000153306867065,0.004311549350164318,0.010376476164378996,7.560509223623039e-05,0.01621365408913763,0.09303667509904456,0.007237427943679146,0.036236197170174116,0.0011060752086810323,0.0004716819119672075,0.002253215439198835,0.003853774464760064,0.00010721862416758795,0.000261666405693768,0.00014239244655348527,0.012288067888659857,0.1015683003312094,5.417324781086996e-05,0.0020900506678908177,0.054471343172549515,0.0016146934905505496,0.000162372016094941,7.51136766186231e-05,0.001494190598558435,0.0004929688074134241,0.1037429675071391,0.0006126832263295756,0.003136749027842176,9.295638453104537e-05
1805,0.002661509158038229,0.00032822922571777713,0.0003334667861572065,0.0018576960342329752,0.012361856571416812,0.015082830118414181,0.004619113755507384,0.00014361605707851203,0.011108913545321307,0.006130519680276944,9.985651330728378e-05,0.001555386715206871,9.32597090986215e-05,0.04193091347882847,0.005783015933248355,0.11377012908580107,5.483167992607277e-05,0.06687059226508539,0.011487015442203827,0.00016606633325667503,0.00015106530446765837,0.000413678982875681,0.022191672698234514,0.00026704404668681584,0.00035555371813772777,0.003982613896166769,0.0024915587015993377,0.0030298260880342247,0.00038625000451402694,5.768476000069981e-05,0.00013327909734397837,0.005975394261010791,0.00391565487233288,0.008787367987085572,0.0007536064768675587,0.0001860649552479198,0.0026646229977262117,0.0011247049406418045,0.05774213650593388,0.0017718261917768748,0.0021075607883286724,0.003160227344368775,0.006932822798521707,0.0012407410541977087,0.0003912328483206288,0.0036284703348988664,0.03309810007422203,0.0625078838232712,0.059080986068859274,0.0020643104236217976,0.01652904081536032,0.0008049524271001179,0.0010610809344014321,0.0028551577923475483,0.005968746168866089,0.028589364574673565,0.09914922809593009,0.014848374551838635,0.028085258176293725,0.00015464138423810245,0.00013196633493608008,0.00011731488011326907,0.0018638234174516812,0.003610429246144493,0.008212630405767318,0.00018399221458566308,0.037307272376193065,0.07621369627148912,6.999989168860806e-05,0.009192777401849808,0.03737241706418997,0.0073475669219853264,0.0008349404676632045,0.0009796282553237417,0.0029135469937552473,0.005859530515321792,0.02152228734740756,0.00041324618648012413,0.0006542152818335403,0.00012011347135129956
1806,0.00058077307191992,0.00016478534540282397,0.00012441700255715952,0.00025240092104856425,0.006876988222525236,0.007726617212365219,0.00022329920804725043,0.00019015984034450638,0.000416221009166168,0.01181218111301244,0.00013221849293280222,0.0008946764427675249,0.0001234837646536558,0.0809530701348414,0.010603813070775344,0.09118473122554048,7.260179476214807e-05,0.04758659924069964,0.04995588605798276,0.00021988591012092205,0.00020002327569444359,0.0005477460594431484,0.030776383186847115,0.00035358896711079325,0.0004707832790452097,0.00023084156274826213,0.0002057568973320925,0.0007679297735088516,0.0035248568594699378,7.637951476447739e-05,0.0027311054182518795,0.0030314030204193878,0.018010053001382052,0.0012251833547583515,0.0004475872461840125,0.0002463657818172063,0.00480981639005794,0.0002621381690676222,0.05181035478057237,0.0002365081705740747,0.0002591412547860965,0.003875014823615674,0.0003248341792054002,0.002423005894545394,0.0002609878044110784,0.002955755267856985,0.04702889504832072,0.08079569307908635,0.022280932351084706,0.0010261925588546568,0.019342902999448578,0.0007136078385545999,0.00022532660304325626,0.0036931921479528575,0.00012935384639450244,0.022205587817876907,0.09101696396432155,0.017697312284403716,0.012265951914437028,0.00020475830861513655,0.00017473462015863488,0.0038400493749765037,0.0004978618499995715,0.00018344189565789448,0.016956184182558037,0.0020859785592132326,0.007590588621434195,0.10823876648080535,9.268579362516195e-05,0.0011272326510949145,0.05857890864211154,0.01094854277542568,0.002048669825294209,0.00012851307630302214,0.011822187325552333,0.0009579858029379598,0.009895798886337744,0.0011510583500879395,0.0006937931115241593,0.004201994397571516
1807,0.009498713635484164,0.0002704097741205421,0.00020416605297026526,0.00041418535053414616,0.020725026115109076,0.004390967062664496,0.00036642996536946984,0.0003120488618005172,0.0006830111548919251,0.011943459361339951,0.00021696815770308678,0.0014681478757005444,0.00020263462643430543,0.21011554922085446,0.01507594920355242,0.12337464680842104,0.00011913823328395298,0.055817594448980455,0.00809658077451183,0.0003608288051509547,0.0003282345809766314,0.0008988413857273773,0.012146637714707375,0.0005802331056454905,0.004713754537927533,0.0003788068331428261,0.0003376433504769728,0.0016190357951392054,0.0074004162923983745,0.00012533740354404716,0.0002895887233922082,0.0026203538631946886,0.007247003707903452,0.0021759354511376038,0.0007344825830475828,0.0019932996106562964,0.0006943901835894926,0.0051366955465650095,0.051954086462612833,0.0003881056341888894,0.00042524611639902134,0.006801454986182412,0.0005330470182942531,0.0007125471730080233,0.00042827627096630447,0.0071107972205623265,0.04890845185207995,0.014373018563902015,0.029945138001752063,0.0007535870718724373,0.021643381491134484,0.0007082193707701553,0.0009367353725982369,0.0015077730929393199,0.00021226732449814838,0.004505196227321978,0.09914553010345357,0.014743101277051899,0.0402506032942501,0.00033600468443703276,0.0024685243820640477,0.00025490168408952275,0.0008169822994424611,0.00030102483596363067,0.000734649296824038,0.0003997781467445892,0.02962960898414565,0.036717992815484816,0.00032366730535506147,0.006120419194348388,0.04346205026207947,0.003998847001669674,0.00045587238121676406,0.0005697645493396484,0.0018299119880209858,0.009254777038386593,0.0017051799378764805,0.0006826087864126904,0.00032925263682647484,0.0005444717053838266
