receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
AbekenBernhardRudolf,0.0001300391997953772,0.08854037997848249,8.897842304740345e-05,0.00029878439854292833,0.0003527374719714095,0.008890500547003103,0.12204950801346678,5.038911565026492e-05,0.0005414657028918609,4.6980935799972466e-05,0.00048324400085712467,0.059692896919619876,8.113248714933702e-05,5.2769700870026664e-05,8.318710599747772e-05,0.00014384289184485516,4.3918555824755276e-05,5.716530667933474e-05,0.027928931092484142,0.027774845293732364,0.19879402802582372,0.0008231096176138123,5.3434426984705375e-05,0.0002870686745012694,4.564008925643185e-05,2.660305514953143e-05,4.722409357268696e-05,6.881374151847529e-05,0.03770513004093924,5.7638922058273375e-05,0.18844861406781713,8.459347546866755e-05,0.0016050010273690662,4.7001246769199265e-05,8.618662488488835e-05,0.018607496855052724,0.00013546161799064121,3.2718006707502806e-05,7.265302122845024e-05,0.00013834032832391583,6.751587513528814e-05,0.0008488266334022036,4.6231575211731773e-05,0.0006904166070068117,0.01465774113582303,3.5107089651438143e-05,0.09304065638539354,4.871386189434466e-05,6.0504385833166654e-05,3.071402169868381e-05,6.726076529541558e-05,0.00016524192433148955,0.0005741722628307352,4.319020646815403e-05,0.00029577135403581196,3.205180411875126e-05,0.00948126203770527,4.3869179289590054e-05,0.00013773049688489095,0.00019929115617530656,4.9753527840037964e-05,0.00028663831075760403,3.4434496852747404e-05,3.781164869843658e-05,0.00027116400623048787,5.607365636410684e-05,4.490759679224195e-05,0.00015526965186829047,0.0010893820733876083,0.000375344192850445,0.00021952597854572975,0.000231720110994641,0.019380761777158164,0.00033036936294150737,0.00010060293467372845,4.0883894175689474e-05,4.660313355707807e-05,2.3586968515942604e-05,0.0002178704464161945,0.0009908698537141646,0.0005866375967037802,7.744242121874769e-05,6.371071117227882e-05,0.027732802582847656,0.009552672225343976,4.086253134189095e-05,0.0006342906747292125,7.261916661344039e-05,0.0006931788254370666,5.138166125131501e-05,7.02119842948211e-05,0.0004133661576417006,0.028175153152843066,6.681756065187975e-05,0.0019255777317380806,0.0003685579108673903,3.851087483818616e-05,0.00016097834751533448,0.00015711687198441897,6.98145297041379e-05
AbekenBernhardRudolfANDTruchsessvonWetzhausenChristianFreiherrANDVoßHeinrichANDVoßAbrahamSophus,0.0002767798088830599,0.0006798160457499841,0.0001893846698882245,0.0006359427684581272,0.0007507783055553003,0.004118999949624068,0.01247777657733935,0.00010724988942882223,0.0011524738232699325,9.99958047444548e-05,0.0010285527934006482,0.0009110926763133627,0.00017268511589379302,0.0001123168071212742,0.00017705823579156809,0.0003061600515587069,9.347773215094709e-05,0.00012167256244536079,0.0002295144130469119,0.007303473311220355,0.33460548827188424,0.0017519342091572784,0.0001137316325529122,0.0006110066271539702,9.714190183943344e-05,5.66228378179744e-05,0.00010051334993056984,0.0001464654831464824,0.0010932958892974996,0.0001226806213558507,0.3027681728058618,0.00018005159990075518,0.003416138197646131,0.00010003903529485555,0.00018344251273040663,2.5036614417980786e-05,0.00028832106624338525,6.963810649240262e-05,0.00015463713527943604,0.0002944482101901889,0.00014370306066111224,0.0018066711709822825,9.840084045119462e-05,0.0014695059400375461,0.0015903483012814036,7.472311102694844e-05,0.00013193469803727086,0.00010368422295960486,0.0001287795708820265,6.5372757362154e-05,0.00014316007629305082,0.00035170647241682416,0.001222087566074783,9.192748887017171e-05,0.0006295297031351473,6.822013848366217e-05,0.0003903442487464082,9.337263747189768e-05,0.000293150224433511,0.00042417800328733096,0.00010589708294493248,0.0006100906264794862,7.329154188033206e-05,8.047958551555713e-05,0.0005771545959875045,0.00011934905717855394,9.558284022904378e-05,0.0003304811521223497,0.0023186774645438304,0.027990708441289924,0.0004672464801564688,0.0004932008820138722,0.004241064074432193,0.0007031692695714303,0.00021412667161813305,8.701865617558842e-05,9.919167773699518e-05,5.020329753063756e-05,0.2451900418622128,0.0021090007410883922,0.0012486192021696984,0.00016483105539017928,0.00013560402163205278,0.014615908488049112,0.0005423360951899921,8.697318680123626e-05,0.0013500456170455425,0.00015456507797758414,0.0014753851386978135,0.00010936245688693216,0.00014944155012488648,0.0008798224403935617,0.0007535817321028035,0.00014221674461516472,0.004098464443172376,0.0007844510600859794,8.196784196154004e-05,0.000342631732044763,0.00033441283757959284,0.00014859559439905847
AbekenMinonaLaura,3.948699962463269e-05,9.69864675160987e-05,2.701870638239756e-05,9.072725341032228e-05,0.00010711035168815364,0.0005876402260736668,0.013418172844551712,1.530088614739628e-05,0.00404375903271235,1.4265976699468693e-05,0.0001467392579351263,0.00012998172197882909,2.4636251950585103e-05,1.6023761771262425e-05,2.5260146390207602e-05,4.367855404540711e-05,1.3336070970102749e-05,1.735850764185607e-05,3.274384637522555e-05,0.17949161795412402,0.29213519440425745,0.07783675076851385,1.622560890568116e-05,8.716972005450927e-05,1.3858822494853535e-05,8.078139748295914e-06,1.4339812672736847e-05,2.089560832260828e-05,0.00015597588041020238,0.07372497159206677,0.008280584721251861,2.568719693241605e-05,0.0004873659255438637,1.4272144218459098e-05,2.617096406186073e-05,3.5718674281713053e-06,4.113354178713378e-05,9.93497284365649e-06,0.05045348776512861,4.200767538706602e-05,2.05015052408731e-05,0.04680983595563255,1.4038429918858418e-05,0.00020964817027955377,0.04289963360287225,1.0660428840454654e-05,1.8822562935126723e-05,1.4792187658515395e-05,1.837243434627637e-05,9.326453601646988e-06,2.0424039967577523e-05,5.017646843658189e-05,0.00017435004185313146,1.3114904346377208e-05,8.981232862219131e-05,9.732677371111627e-06,5.568875585949696e-05,1.3321077558665255e-05,4.1822497272760825e-05,6.0515673900407204e-05,1.5107886992807932e-05,8.703903812927971e-05,1.0456192951344116e-05,1.1481680603320553e-05,8.234019456506848e-05,0.019413729462210576,1.3636397797500536e-05,4.714834215134866e-05,0.0003307958645595055,0.00011397498620043392,6.666007054851556e-05,7.036287481208039e-05,0.0006050545962545353,0.00010031817275858992,3.054854266982103e-05,1.2414582037641565e-05,1.4151255315095126e-05,7.162291204504615e-06,6.615736062196733e-05,0.011938903640608704,0.00017813519767337946,2.3515746501110392e-05,1.9346049745795872e-05,0.1611381495797538,7.737278695874798e-05,1.2408095115148116e-05,0.00795128624912146,2.2051143111601928e-05,0.00021048693057868092,1.5602277172854507e-05,2.1320191156642875e-05,0.0040048610180893115,0.00010751030464525582,2.0289458844189544e-05,0.0005847105125991836,0.0001119143005415003,1.1694003828634699e-05,4.8881813775494895e-05,4.770925901447114e-05,2.1199502246700245e-05
AhlefeldtJohannGeorgJacobvon,0.00029269777536429785,0.0007189131499546769,0.17273417489596518,0.0006725166634729152,0.0007939565415360872,0.0043558889893229105,0.041951039467639464,0.00011341796993994711,0.001218754090473476,0.000105746693418777,0.0010877062011423694,0.0009634908000832397,0.00018261646131128865,0.00011877629265329682,0.00018724108501720692,0.00032376771397552945,9.885375800025169e-05,0.00012867010962377466,0.00024271408519274145,0.007723505552133347,0.2675821354848153,0.0018526902221455027,0.00012027248653405869,0.00064614641227811,0.00010272865884907184,5.9879290801652493e-05,0.00010629400330108988,0.00015488890341255052,0.0011561727566172025,0.00012973614331216853,0.0613799161664859,0.00019040660138615765,0.003612604744627463,0.00010579241021430893,0.00019399253001909693,2.6476502647968968e-05,0.057816202274635936,7.364308449074819e-05,0.00016353051787864405,0.00031138230939049653,0.00015196761042030854,0.0019105751777751527,0.00010406000065637252,0.001554019136256208,0.001681811298728543,7.90205342439842e-05,0.00013952243396910986,0.00010964723735853997,0.00013618585135111378,6.913242958924383e-05,0.00015139339831563755,0.0003719335686842792,0.0012923714100893404,9.721435821387448e-05,0.0006657347744295015,7.214356729919096e-05,0.0004127934537399508,9.874261918964076e-05,0.00031000967478623365,0.0004485730314711207,0.00011198736179721145,0.17317907619882286,7.750663369543727e-05,8.510807106090924e-05,0.0006103475068089117,0.0001262129765497037,0.00010107993357948493,0.029105137297238987,0.002452027618626076,0.0008448407127705104,0.0004941184324120234,0.0005215655056477109,0.004484973180569762,0.0007436094480253567,0.00022644137475818965,9.202321217205066e-05,0.00010489632002216401,5.309055441026761e-05,0.0004903920901081518,0.0022302921143320773,0.0013204289150536494,0.00017431070358184524,0.0001434027851320741,0.04421213812301348,0.0005735265487842688,9.197512779489252e-05,0.001427688494851534,0.00016345431646772493,0.0015602364552713824,0.00011565203389783152,0.0001580361278702495,0.0009304221722603572,0.08706387043059155,0.0001503958144071069,0.0043341724592095105,0.0008295658599372067,8.668191906907382e-05,0.0003623369282008936,0.0003536453544346668,0.0001571415201313188
ArnimLudwigAchimvon,5.8239146324764685e-05,0.00014304477744286586,3.9849733063251e-05,0.00013381309892462906,0.00015797643538791444,0.006588323901550049,0.04839846889979616,2.256718807981771e-05,0.00024249995655296002,2.104080614794924e-05,0.00021642487896548322,0.00019170928654573173,3.633586486396007e-05,2.3633353137511365e-05,3.725604314809881e-05,6.442124558680672e-05,1.9669293590510045e-05,2.560196206710415e-05,4.829370877529963e-05,0.12169072580612933,0.2706632320081456,0.0003686365460335297,2.3931056303322768e-05,0.00012856611364760192,2.0440296777150324e-05,1.1914401380332267e-05,2.1149706395931438e-05,3.081881131039909e-05,0.0002300479197886961,2.5814074686983913e-05,0.2811289733724988,3.7885897511615274e-05,0.012162046664633294,2.1049902585874565e-05,3.8599402840120034e-05,5.268126517066682e-06,6.066762179373845e-05,1.4653033724378753e-05,3.253826493025196e-05,6.195687636151493e-05,3.023755096490812e-05,0.00038015412725437046,2.0705198723286263e-05,0.00030920886827809195,0.00033463614199112684,1.572300455911774e-05,2.776128871290849e-05,2.1816911634133054e-05,2.7097396672484588e-05,1.3755532229868682e-05,3.0123297883401905e-05,7.400498176911593e-05,0.00025714786374599915,1.934309622216732e-05,0.00013246368167037727,1.4354669307269982e-05,8.213502246248494e-05,1.9647179895093427e-05,0.1717101861483026,8.925421583636825e-05,2.2282534748050888e-05,0.0001283733716353499,1.542177823289018e-05,1.693426401265144e-05,0.00012144307456303028,2.5113057317274287e-05,2.011224388332392e-05,6.953881590460314e-05,0.0004878888986969288,0.05738426850830153,9.831655075338602e-05,0.00010377779524822452,0.0008923915086158455,0.00014795869014762826,4.5055868095031895e-05,1.831019491792365e-05,2.0871604244674123e-05,1.0563621684224117e-05,9.757510680349194e-05,0.0004437693748505276,0.00026273056807332273,3.468323788672716e-05,2.853337636847771e-05,0.014518667486718312,0.00011411667394537542,1.8300627393627425e-05,0.006005689145090032,3.252310285696613e-05,0.00031044595097003185,2.3011707952167864e-05,3.144502606546745e-05,0.00018512950078501304,0.0001585663236805961,2.9924804966440587e-05,0.0008623861378327952,0.00016506175164051246,1.7247418304057834e-05,7.209550313149242e-05,7.036610892706515e-05,3.1267022693402174e-05
BarthKarl,8.716526984966534e-05,0.01734093192808961,5.96422330184188e-05,0.00020027516907859453,0.0002364399118024232,0.0012971818412933162,0.44922741884949696,3.377582198331457e-05,0.00036294443660968767,3.149131918097193e-05,0.0003239184323205946,0.008850347092844841,5.438310253427036e-05,3.5371528150433216e-05,5.5760313456962916e-05,9.64178840176064e-05,2.9438606019540223e-05,3.8317902529266606e-05,7.228014871588438e-05,0.002300056584984925,0.14819320286948645,0.0005517303401440443,3.58170940355914e-05,0.00019242211977359784,3.0592549802364424e-05,1.7832026685670747e-05,3.165430782522731e-05,4.6125847884802566e-05,0.00034430774268078836,3.86353668967427e-05,0.052532592075995886,5.6703002851064744e-05,0.0010758321173904065,3.150493362274294e-05,5.7770890834028625e-05,7.884690941409508e-06,9.0799916525219e-05,2.193087844350165e-05,4.869931690395144e-05,0.08572692904379167,4.525588810577185e-05,0.0005689684546852791,3.0989022811942545e-05,0.00046278622102516553,0.0005008426712756312,2.35322806347566e-05,4.15497199863002e-05,3.265289946509522e-05,4.055608713783952e-05,2.0587607381058522e-05,4.508488799143106e-05,0.0001107616545433733,0.00038486764228468567,2.895039347814596e-05,0.0001982555254792405,2.1484322877837994e-05,0.00012292971049279456,2.9405508930211078e-05,9.23207459473062e-05,0.00013358485313664573,3.334978750233677e-05,0.00019213364697532519,2.30814417116544e-05,2.534514644388897e-05,0.00018176122133779123,3.758616937143388e-05,3.010156013613741e-05,0.00010407724075401656,0.0007302127554278786,0.00025159319580400044,0.21423264707331788,0.00015532198011234085,0.0013356230571493427,0.0002214465693127268,6.743414264546658e-05,2.7404472450897212e-05,3.123807835433259e-05,1.5810343949077308e-05,0.0001460385505602731,0.0006641800189542843,0.0003932231550263812,5.190965150481923e-05,4.2705286870299466e-05,0.004602935498077039,0.0001707959560967193,2.739015294435049e-05,0.0004251650111112385,4.867662415701332e-05,0.0004646377359163349,3.444112525563373e-05,4.706308995571126e-05,0.0002770793171155689,0.00023732278484328182,4.4787807938545334e-05,0.0012907146680967427,0.0002470443512920404,2.581383769432051e-05,0.00010790377919278884,0.00010531543231584896,4.679667616122156e-05
BentzelSternauChristianErnstGrafvon,0.0001438174566171646,0.0003532389702191336,9.840609998077348e-05,0.00033044199243727413,0.00039011164442969684,0.002140272077474575,0.1336457273279104,5.572807634476756e-05,0.0005988365074367447,5.195878401957476e-05,0.000534445945823524,0.01460254079712401,8.972885075579524e-05,5.8360895618534885e-05,9.200116600782888e-05,0.0001590837139119366,4.857193067132209e-05,6.322223626644e-05,0.00011925790134255882,0.017924083392124358,0.13147685223681302,0.000910321902231158,5.9096052550525636e-05,0.042704869714115946,5.0475868560933334e-05,2.9421772326130426e-05,5.222770548697475e-05,7.610487684537348e-05,0.0005680870825198079,6.374603339315956e-05,0.04428823493430131,9.3556546852442e-05,0.015904186596512913,5.198124703026866e-05,9.531849784423931e-05,1.300926618321329e-05,0.00014981440518947682,3.618463138546366e-05,8.035094606142008e-05,0.14144428073178955,7.466949549457611e-05,0.0009387637552131033,5.113002519869998e-05,0.0007635694512286745,0.0008263603069483808,3.882684875672468e-05,6.85545408382397e-05,5.3875321677375595e-05,6.691510635563729e-05,3.3968314863055154e-05,7.438735558302474e-05,0.00018275007321850352,0.0006350084792153113,4.776640931960686e-05,0.00032710970187896816,3.544784154011869e-05,0.00020282663423459776,4.851732246306486e-05,0.0001523236823340364,0.00022040697922262684,5.502514505583661e-05,0.0003170089702725512,3.8082991629036e-05,4.181796838851501e-05,0.00029989509135364655,6.201492053319613e-05,4.966576512014934e-05,0.00017172119219949203,0.015333935421006584,0.00041511365231957183,0.00024278577494725123,0.00025627193233067737,0.030461954294028013,0.00036537353042193657,0.00011126228257144912,4.52157325345368e-05,5.1540951875399545e-05,2.608611731393161e-05,0.00024095483150410167,0.001095857114039693,0.07129443587484502,8.564780521166637e-05,7.046115674724141e-05,0.21953149084061194,0.0002818030627185786,4.519210620933739e-05,0.0007014967159063021,8.031350439280682e-05,0.000766624339523015,5.682578675935176e-05,7.765126993410214e-05,0.00045716422076716505,0.04277895311294989,7.38971913502815e-05,0.05864611467179545,0.0004076083322605005,4.259128078337179e-05,0.00017803475064841548,0.00017376413386117328,7.721170318466951e-05
BergnerCaroline,0.00020449288759859,0.020592361761247662,0.0001399228439698481,0.0004698528176395575,0.0005546966170290481,0.00304323569380362,0.009218940403952072,7.923930460258247e-05,0.04103166903260592,7.387977808951322e-05,0.0007599244020685054,0.0006731414874556988,0.0001275847329215357,8.298288920268479e-05,0.0001308157197457542,0.00022619985635232882,6.90640384891337e-05,8.989519046341973e-05,0.00016957185301507395,0.005396016251827445,0.16685578714513494,0.0012943794085235778,8.40282029455157e-05,0.0004514292788654268,7.17712324975174e-05,4.183458199552544e-05,7.426215536623187e-05,0.00010821291373461864,0.0008077584644065325,9.06399733950485e-05,0.2839641210342746,0.000133027303288614,0.0025239412054354365,7.391171806417972e-05,0.00013553260726627332,1.849777120190336e-05,0.00021301990065512608,5.1450637028028916e-05,0.00011425036548322104,0.0002175468109217036,0.00010617195650916118,0.0013348206510663025,7.27013725719228e-05,0.0010857132759583687,0.001174995089883708,5.52075847075489e-05,9.747715154861069e-05,7.66048876071874e-05,9.51460528123252e-05,4.829927434814067e-05,0.00010577078403276608,0.0002598508627557337,0.0009029134614026406,6.791867414248799e-05,0.00046511466043240135,5.040300145880186e-05,0.0002883975637738103,6.898639151597918e-05,0.00021658782169298765,0.0003133949152507686,7.823981224304555e-05,0.0004507525112076871,5.414990022626392e-05,5.946063371178664e-05,0.00042641842409157736,8.817851790960414e-05,7.061935291519069e-05,0.00024416898532855525,0.001713105634575663,0.0005902467714360552,0.00034521514532818775,0.00036439100430118483,0.06340370249326525,0.0005195216912155828,0.0001582029468398373,6.429188728796777e-05,7.328566591632031e-05,3.709164089837469e-05,0.00034261174153753373,0.12209875506040653,0.0009225157976411797,0.00012178192700791291,0.00010018815341127772,0.25187978303368586,0.00040069351374255184,6.42582932057401e-05,0.0009974525516639305,0.00011419712747504505,0.0010900569971122184,8.080013023324918e-05,0.00011041171765950245,0.0006500381373055043,0.0005567678692355694,0.00010507382344321798,0.003028063470694021,0.0005795750170653974,6.0560200401114183e-05,0.0002531461834282241,0.00024707382768510405,0.00010978670122548856
BertuchFriedrichJohannJustin,0.0002475467336973047,0.08565411032943034,0.00016938214038213984,0.01732939593127749,0.000671482208261567,0.04916511399199116,0.2530952698810583,9.592231429251109e-05,0.00103075123786451,8.943439533330153e-05,0.0009199185643962363,0.0008148644116312649,0.00015444636865006992,0.0001004540716115918,0.00015835760607425028,0.0589359956286791,8.360475195347511e-05,0.00010882168585735247,0.00020527343925662504,0.08222915041543503,0.07653325352449951,0.0015668975019514093,0.00010171946526789655,0.0310568119960172,8.688191744382597e-05,5.0642417201877294e-05,8.98972781601976e-05,0.00013099601484163183,0.017738444090053727,0.00010972327507252416,0.023612076695769393,0.00016103481548120194,0.0030553307197462073,8.947305993673063e-05,0.00016406758509911561,2.2392284130192978e-05,0.00025786902047768035,6.228303239541118e-05,0.00013830458912884785,0.0002633490245178785,0.00012852535534481035,0.001615853226601174,8.800788881624848e-05,0.0013142988900565937,0.0014223780593388639,6.683096625100046e-05,0.00011799994982388875,9.273324825669455e-05,0.00011517806254521669,5.846818314924455e-05,0.00012803972018484428,0.0003145597535395751,0.0010930124798291137,8.221824308152818e-05,0.0005630397043968673,6.1014828076362474e-05,0.00034911666492091304,8.351075721942054e-05,0.0002621881301023939,0.00037937694820935333,9.47123892341665e-05,0.0005456537543464668,6.555059732619768e-05,7.197945039446994e-05,0.09204721334172634,0.000106743585789838,8.548752162123225e-05,0.0002955762202689231,0.00207378217060581,0.0007145170771473939,0.0004178965960741926,0.0004411097322881208,0.003793129142126986,0.0006289015684387255,0.00019151092838184407,7.782787405600421e-05,8.871519903434565e-05,4.490089929137138e-05,0.06964791439388757,0.0018862511934250408,0.0011167418836517636,0.00014742184243272567,0.0001212817248725539,0.02461105934438103,0.00048505535671915825,7.778720708990736e-05,0.0012074557901844139,0.00013824014241293865,0.0013195571364257197,9.78117554915665e-05,0.033654898754131815,0.006556327668669625,0.0006739895410319569,0.00012719602180743638,0.039945360437995486,0.0007015984961233833,7.331051938968946e-05,0.0003064434738610819,0.00029909264690709917,0.0001329011468854576
BodeAugustTheodorHeinrich,0.0001338808839222075,0.008502955766117612,9.16070688402835e-05,0.0003076112390881876,0.00036315822163107475,0.012018648036165916,0.1320714317661169,0.0018713156865795505,0.005759148247892089,4.8368870481286955e-05,0.0009473909562879842,0.0022401865875014866,8.352934431657831e-05,5.432865019091577e-05,8.564466175889683e-05,0.00158841902807065,4.5216020120527344e-05,0.0036230021460343905,0.00011101818667917959,0.01891698202468373,0.29533882850294824,0.0008474263402451736,5.501301398229097e-05,0.0009701173181579751,4.698841196773314e-05,2.738897612454484e-05,4.8619211744496804e-05,7.084667204185066e-05,0.02418522408927361,5.934172038606461e-05,0.009669518589034939,8.709257891172753e-05,0.0016524167833879627,4.8389781487488796e-05,8.873279395764761e-05,1.2110435664456097e-05,0.0001394634939514921,3.368457868908624e-05,0.0025007166404598657,0.00014242724860840514,6.951046343039015e-05,0.003723884210735742,4.759737190172023e-05,0.0010480972027762008,0.027538129336068255,3.614424113549344e-05,6.381800054173113e-05,5.015299155901954e-05,0.022040434166718796,3.162139093670299e-05,6.92478170059802e-05,0.00017012358523674022,0.003972639184403696,4.446615349708316e-05,0.00030450918168899995,3.29986948048908e-05,0.0001888130252962166,4.516518487866691e-05,0.0032514435495547864,0.00851290860726897,5.122337184444314e-05,0.0002951063254048157,3.545177825852926e-05,3.892869964032673e-05,0.00027917487110925204,5.773021281728632e-05,4.6234279838910336e-05,0.000159856706832482,0.002285126474317831,0.30980666627024844,0.005959838603941025,0.004458800946227757,0.008471070083135857,0.006687910985139567,0.0001035749976966997,4.209170695479686e-05,4.797990701253227e-05,2.428378672683845e-05,0.00022430688586691071,0.009312410715828837,0.004696774899719336,7.973026458296029e-05,6.559288537978512e-05,0.02509760592134549,0.007540084649256241,4.206971300930561e-05,0.0016648810846688845,7.476451893890447e-05,0.0007136570665745605,5.2899604400380496e-05,7.228622241688823e-05,0.003218554597824247,0.004911820709688444,0.000675270835674554,0.0029506487602826543,0.0008595549214440495,3.964858267404651e-05,0.0024928566958467052,0.0001617584984640463,7.187702602069895e-05
