sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
AdelheidLouiseTheresaCarolineAmelia,0.00024460086896330814,0.000600779356690362,0.00016736645281289583,0.0005620068689385897,0.0006634914110198523,0.003640117286747404,0.13952400526108674,9.478081604425238e-05,0.010335776856028765,8.837010485657551e-05,0.0009089713157029154,0.0008051673322258517,0.0001526084203002589,9.925864437841002e-05,0.00015647311307316437,0.00027056530949752495,8.260983561305016e-05,0.00010752668203373822,0.00020283063673404478,0.011850216198718061,0.20889915015666563,0.034895984855085174,0.00010050897955064167,0.0005399698502116722,8.584800205824574e-05,5.0039760448337675e-05,8.882747926825088e-05,0.00012943713125366285,0.0009661872577893393,0.00010841754212381154,0.06258735729086037,0.00015911846305438385,0.0030189715608772293,8.840830934207051e-05,0.00016211514199588134,2.2125810648004245e-05,0.0002548003180873498,6.15418495653264e-05,0.00013665873177666496,0.0002602151087821603,0.00012699587318974534,0.0015966241906754583,8.696057410477951e-05,0.010615950224034087,0.0014054514237059315,6.603566193137863e-05,0.00011659572248625555,9.162970064922585e-05,0.00011380741633423937,5.777239792829785e-05,0.00012651601720314973,0.00031081641800512205,0.0010800053725647377,8.123982652491468e-05,0.0005563393986232888,6.028873717790285e-05,0.00034496209396018846,8.251695943858265e-05,0.0002590680292850445,0.00037486227271382543,9.358528938053378e-05,0.0005391603454943523,6.477052969988926e-05,7.112287789471396e-05,0.0005100535197072714,0.00010547331184898638,8.447019987604335e-05,0.0002920587932744593,0.0020491036718385887,0.0007060141547780742,0.03768209073528945,0.0004358604220477392,0.0037479900073689007,0.0006214174908912343,0.000189231902996743,7.690170393014889e-05,8.765946716383616e-05,4.436656796018554e-05,0.00040980950819969193,0.0018638043576814339,0.0011034523908643155,0.00014566748760785287,0.00011983844363493022,0.14583682892992192,0.00047928308314457597,7.686152091057587e-05,0.0011930867804340625,0.0001365950519919319,0.006699712492733888,9.664777244574197e-05,0.00013206719510097984,0.0007775326326083572,0.000665968905936701,0.000125682359036166,0.2851169899121076,0.006089107706543643,7.243810685377964e-05,0.0003027967239762111,0.00029553337360317954,0.00013131959177515546
AdersbachGerson,0.00042811609737039363,0.0010515224850061995,0.00029293547857236536,0.0009836603951780553,0.0011612851365920727,0.0063711662733568425,0.2295984019622622,0.00016589145100924966,0.0017826177333199894,0.00015467101394919715,0.0015909397785448538,0.001409255402336167,0.00026710502543066675,0.0001737288327783296,0.0002738692580946155,0.000473560723135734,0.00014458902201354833,0.00018820008150656508,0.0003550071632769103,0.011296830154867028,0.39138056115122827,0.002709848090078677,0.0001759172494287261,0.043004707537310685,0.00015025666819579002,8.7582791701796e-05,0.00015547153992031675,0.00022654915218412442,0.0016910827826855492,0.00018975932185874241,0.00565845460232522,0.0002784993189563716,0.0052839972653933856,0.00015473788188511862,0.00028374429825241165,3.8726010033925156e-05,0.0004459678260777338,0.08422694997003037,0.0002391888596625939,0.000455445139343892,0.00022227630605962782,0.0027945138558836307,0.00015220396300559248,0.0022729950954525377,0.04451952878533304,0.0001155798423495108,0.00020407329660135023,0.0001603761671470125,0.00019919302469906984,0.00010111694877299257,0.0002214364313970732,0.0005440107896548748,0.0018902945324811254,0.00014219114441540084,0.0009737408258664961,0.00010552120679450614,0.0006037747373215937,0.00014442646418813974,0.00045343744738531396,0.0006561079440388784,0.00016379896371865782,0.0009436729474764883,0.00011336552693886533,0.000124483813353106,0.000892728317902526,0.00018460614157626766,0.00014784515062558304,0.0005111799942056799,0.003586472406303981,0.0012357111645306005,0.0007227251886684986,0.0007628708093971732,0.006559972013749077,0.0010876446684985619,0.0003312057890566656,0.0001345982845737456,0.0001534272103725815,7.765320707704529e-05,0.0007172748325029487,0.0032621496859530914,0.0019313330047152253,0.000254956560754406,0.0002097489147171604,0.022607522299685243,0.0008388719302640154,0.00013452795368083806,0.00208821685069426,0.0002390774032273128,0.0022820888931405128,0.00016915911760403304,0.0002311524582758833,0.001360887382212659,0.0011656214067760327,0.00021997730951209098,0.09045863795046116,0.001213369312513577,0.000126785811262967,0.0005299742078376736,0.0005172614270993414,0.00022984395508213106
AretinJohannChristophANDBaboJosephMariusFranzvon,0.00024962841223339163,0.0006131278173656463,0.0001708065145225844,0.0005735583972044061,0.0006771288596207869,0.0037149365105909908,0.6488872382086553,9.672894752823243e-05,0.0010394190667461923,9.018647013700668e-05,0.0009276543753352453,0.0008217167975633214,0.00015574514438341714,0.00010129881345735614,0.00015968927232032557,0.00027612652768390186,8.430780391888394e-05,0.00010973679293360678,0.0002069996317462088,0.006587021119156764,0.03201352010126226,0.001580073910499982,0.00010257484810566545,0.0005510684280621333,8.761252786237442e-05,5.1068281164330594e-05,9.06532454541452e-05,0.0001320975910504385,0.000986046337874079,0.00011064596382392141,0.003299364463866698,0.00016238899500901522,0.003081023712277145,9.022545988015328e-05,0.00016544726789786366,2.2580586098680192e-05,0.00026003750154399304,6.280678502087896e-05,0.00013946762485277662,0.0002655635882232864,0.00012960615519851148,0.0016294413153189813,8.874796779212027e-05,0.0013253511376405962,0.0014343391700031125,6.739296351880029e-05,0.00011899223907424131,9.351306388824972e-05,0.00011614662188367933,5.895985581277728e-05,0.00012911643621859846,0.0003172049602748044,0.0011022038780954212,8.290963556868124e-05,0.0005677744373101317,6.152791607430354e-05,0.00035205246882792304,8.421301876106787e-05,0.00026439293157441945,0.0003825672179349045,9.550884792633152e-05,0.0005502422847285612,6.610182767144826e-05,7.258474247280825e-05,0.19671546022257028,0.00010764121763528732,8.62064062383074e-05,0.0002980617900210325,0.002091221091203117,0.000720525618811224,0.0004214107865519194,0.00044481912747200566,0.02834939183303231,0.0006341901492120479,0.00019312138869002188,7.848234690043192e-05,8.946122594771344e-05,4.527848148326626e-05,0.0004182327613291594,0.001902113122057161,0.001126132828039621,0.00014866154727778274,0.00012230161133890293,0.01318212496765532,0.0004891343009646151,7.844133795628031e-05,0.0012176095690857114,0.00013940263618931987,0.0013306536018365565,9.863427748142536e-05,0.00013478171341296647,0.0007935140924081866,0.0006796572771404402,0.00012826564298367845,0.02822078086361187,0.0007074984024098334,7.392700473935886e-05,0.00030902042889713804,0.00030160778711544976,0.00013401874379639518
AretinJohannChristophANDBaboJosephMariusFranzvonANDSchererJoseph,4.3916547928752146e-05,0.00010786615568669543,3.0049594172641108e-05,0.25034276052318594,0.00011912571069704453,0.0006535601691329314,0.30831039162941537,1.701729952217809e-05,0.00018286258705254828,1.5866296640118705e-05,0.0001632000839617463,0.1554670938704181,2.7399882236120865e-05,1.7821265442198025e-05,0.008657123271241171,4.857829995766754e-05,1.4832076519037512e-05,1.930573961232624e-05,3.641696539061029e-05,0.03567495738774068,0.03151915290764335,0.00027797874048313614,1.804575526004308e-05,9.694819117939944e-05,1.541346894210794e-05,8.984324329617773e-06,1.594841533968367e-05,2.323962299297626e-05,0.00017347284657938064,1.946568793961279e-05,0.0005804495422434184,2.8568719476321522e-05,0.0005420373599273391,1.5873156015252758e-05,2.9106754336619172e-05,3.9725501708308895e-06,4.5747794883030295e-05,1.1049452103398449e-05,2.4536215956177467e-05,4.671998650312009e-05,2.28013104586632e-05,0.00028666383357992946,1.5613224257012887e-05,0.00023316595349811564,0.18146195962750925,1.1856287855834614e-05,2.093402879784224e-05,1.6451536567773098e-05,2.043340596161093e-05,1.0372670764949847e-05,2.271515533368943e-05,5.58051333841034e-05,0.000193908173378828,1.4586100002122715e-05,9.988724066208392e-05,1.0824463654029302e-05,6.193577478777422e-05,1.4815401185933718e-05,4.6514035592452084e-05,6.730416386536711e-05,1.6802650227390946e-05,9.680284969771376e-05,1.1629141319046365e-05,1.2769665492735987e-05,9.157690215652196e-05,1.893706990760965e-05,1.5166093224157779e-05,5.243731981498126e-05,0.008996933186871153,0.00012676040194828503,7.413782285326305e-05,7.825599801109883e-05,0.0006729280377977374,0.00011157160290621687,3.397539825932533e-05,1.380721736911615e-05,1.5738706111003104e-05,7.965738292409773e-06,7.357872024244471e-05,0.00033463435248961513,0.00019811793807551103,2.615368141701414e-05,2.151623898928155e-05,0.010948130197281985,8.605226376164792e-05,1.3800002760629765e-05,0.00021421122908583332,2.4524782651258412e-05,0.0002340988037330667,1.7352499804312855e-05,2.371183441845448e-05,0.00013960109492184994,0.00011957052933043765,2.2565477251997794e-05,0.0006503018080661817,0.00012446855396370951,1.3005806581943464e-05,5.4365247750469674e-05,5.306115886422614e-05,2.3577606942364912e-05
BassewitzAdelheidHenriettevon,3.413763910157955e-05,8.384757153684206e-05,2.3358443443204796e-05,7.843630215112715e-05,9.259995858719195e-05,0.0434427354437143,0.010663751599570628,1.322805313646392e-05,0.0038081592276473695,1.233334435706788e-05,0.00012686028001727495,0.00011237291151255436,2.1298743533302387e-05,1.3852999761871172e-05,2.1838118097583765e-05,3.7761357627961716e-05,1.1529414291746264e-05,1.5006925693337113e-05,2.8307990502720078e-05,0.02956421295892755,0.1662164913901623,0.0002160811440808202,1.4027502375237022e-05,0.001908368062481997,1.1981347917025062e-05,6.983782560359972e-06,1.239717766504527e-05,1.8064850267331466e-05,0.00013484560398640698,1.5131258286159938e-05,0.00045120069596385275,2.2207315489804758e-05,0.07474883069241242,1.2338676353407135e-05,2.2625545991771984e-05,3.087981420232644e-06,3.5561121833702165e-05,8.589067810793275e-06,1.9072730547703674e-05,3.63168353000258e-05,1.772413689581708e-05,0.00022283232530259927,1.2136623665472105e-05,0.0001812468317001554,0.0001961513615246862,9.2162452423073e-06,1.6272643314365286e-05,1.278826876211248e-05,0.009140643375838028,8.062985544033044e-06,1.7657165954296882e-05,4.337899022875592e-05,0.0016715239049934763,1.1338209428023279e-05,7.764532353742615e-05,8.414177596310834e-06,4.814452016155594e-05,1.151645205927937e-05,3.6156743530690194e-05,5.231752868638457e-05,1.3061199854399485e-05,7.524773468866999e-05,9.039677482276819e-06,9.926240849944273e-06,7.118545020733002e-05,1.4720347764950778e-05,1.1789055412714908e-05,4.076108855828276e-05,0.001806775787518587,9.853463120785577e-05,5.762953510024309e-05,6.083071515481763e-05,0.005085466922312425,8.672792588744344e-05,2.641008774166275e-05,1.0732760787770338e-05,1.223416444331887e-05,6.192005333503998e-06,5.7194928009088474e-05,0.02744301744373865,0.056423355569599654,2.033003456556256e-05,1.672521261532358e-05,0.3199907252087283,6.689098444019117e-05,1.0727152657979105e-05,0.0074985421587079595,1.9063843099680707e-05,0.00018197196393751272,1.3488614287054089e-05,1.843191425534734e-05,0.00010851608383152065,0.01475700452563188,1.7540816728886546e-05,0.21108995891295435,9.675310959326869e-05,1.0109800343133419e-05,4.225972429309351e-05,0.010686799212346247,1.832757524528453e-05
BayreutherPostamtANDOsmundEmanuel,6.841699823909367e-05,0.00016804323043894892,4.681385784079507e-05,0.00015719822715878388,0.0001855843394661384,0.01446122137390616,0.02324894564298233,2.651102161608517e-05,0.00028487916028070644,2.471788973598371e-05,0.00025424721166939857,0.0002252123313565796,4.268590731997729e-05,2.7763509289377057e-05,4.376689562455349e-05,7.567947890744749e-05,2.3106692145552842e-05,3.00761515956078e-05,5.673349966041638e-05,0.001805340218600076,0.2776350930758803,0.0004330593340121985,2.811323895157904e-05,0.00015103428065350568,2.401243556714336e-05,1.3996557808599398e-05,2.484582135147971e-05,3.620469550491912e-05,0.0002702510101250867,3.03253329393706e-05,0.000904274520255515,4.4506823106307577e-05,0.0008444326990326238,2.472857586407441e-05,4.5345020365101126e-05,6.188782380695896e-06,7.126987319295971e-05,1.7213792539605052e-05,3.822464021059303e-05,7.278443741753522e-05,3.552185431401037e-05,0.3902950047260604,2.432363168051441e-05,0.0003632460970242397,0.0003931170317929027,1.847075108614698e-05,3.261284137639197e-05,2.5629627133120145e-05,3.1832927805761266e-05,1.6159444012120388e-05,3.538763440576117e-05,8.693806532031479e-05,0.0003020869303782299,2.272348864440515e-05,0.0001556129862386454,1.6863286066070793e-05,9.648890895219448e-05,2.308071386881193e-05,7.246358926901107e-05,0.0001048522499566904,2.617662237215323e-05,0.00015080785511767609,1.81168825573029e-05,1.989368979883656e-05,0.00014266642186332794,2.950180603048453e-05,2.3627052269557026e-05,8.16913939425453e-05,0.0005731521842178375,0.0001974783220883511,0.00011549831520981438,0.00012191396479545647,0.09514968707466268,0.00017381589673103414,0.1479264665402302,2.151007788595201e-05,2.451911816996743e-05,1.2409716346764004e-05,0.013557676089977584,0.0005213223485180426,0.0003086452660722655,4.0744467856549856e-05,3.3519858788304856e-05,0.010334420110791658,0.00013405966215291224,2.149883834460852e-05,0.00033371678727882163,3.8206828418924374e-05,0.000364699371835036,2.7033225618771428e-05,3.694034732158368e-05,0.00021748266464246985,0.00018627731642113373,3.515445293921828e-05,0.01445614521710696,0.0001939078829960216,2.0261570819692208e-05,8.469488689425461e-05,8.266326439108123e-05,3.673123614531006e-05
BergnerCaroline,0.00011213114891667295,0.00027541226569074604,7.672496309419621e-05,0.0002576379886965951,0.00030416103805894803,0.0016687207011339654,0.01607124703254196,4.344989387546333e-05,0.00046689899245593963,4.051106371556309e-05,0.0004166951589095013,0.0003691088196673602,6.995951230734791e-05,4.5502642248307616e-05,7.173118402164938e-05,0.00012403389709749444,3.787041239210944e-05,4.929291726044314e-05,9.298263096481673e-05,0.0139749937963879,0.3448648733917522,0.0007097569598446668,4.607582712695288e-05,0.000247535668786529,3.935486878599768e-05,2.2939476275650048e-05,4.072073557193717e-05,5.933721454656241e-05,0.0004429243761223924,4.970130978107201e-05,0.045546668713077006,7.294387853879495e-05,0.012400126922000513,4.052857760613299e-05,7.431763102818172e-05,1.0143024344879327e-05,0.0001168068311963116,2.821232127042143e-05,6.264777663529706e-05,0.00011928910652233872,5.821808086290316e-05,0.0007319324156425964,3.986489960624434e-05,0.0005953374636005487,0.0006442940434130683,3.0272397122796986e-05,5.345039196534741e-05,4.2005343857669486e-05,5.217216276819806e-05,2.6484310472106353e-05,5.7998102890954176e-05,0.00014248601078480758,0.0004951014433232846,3.7242366000737225e-05,0.0002550398787201291,2.76378632469522e-05,0.00015813924166499857,3.782783563351424e-05,0.000118763256624685,0.000171846230567651,4.290183458633876e-05,0.00024716457160117874,2.9692428902529964e-05,3.2604504008490835e-05,0.00023382127551782567,4.835160107075291e-05,3.872324984561922e-05,0.00013388704700797598,0.0009393603135853988,0.00032365452609481424,0.00018929446067127089,0.00019980930606935162,0.2330574259696876,0.00028487330198734013,8.674863169801809e-05,3.5253662228938945e-05,0.011056340228623205,2.0338743112198526e-05,0.0001878669163612063,0.0008544144788548194,0.0005058501422618658,6.677761536376209e-05,5.49369363490954e-05,0.17116363249890718,0.00021971533869484481,3.523524132892024e-05,0.0005469407856741261,6.261858423113614e-05,0.011613874228418494,4.430575332994371e-05,6.0542901518051065e-05,0.00035644038299659085,0.00030529678362125484,5.7615933160879856e-05,0.12283810552877612,0.00031780280140849003,3.3207437820188106e-05,0.0001388095826951066,0.0001354798814321297,6.0200181476973903e-05
BornträgerJohannFriedrichWilhelm,0.0002559043028586056,0.0006285424213629883,0.0001751007492758605,0.0005879781891496533,0.0006941525093893987,0.0038083334721447305,0.2378050445775884,9.916080329956858e-05,0.0010655510295235788,9.2453841937316e-05,0.0009509764697455642,0.0008423755226670442,0.000159660722273023,0.00010384555991155357,0.00016370400925726268,0.00028306860559466494,8.642738057890054e-05,0.00011249567804548728,0.00021220379515323376,0.18273914021157486,0.2590867465439815,0.001619798439263882,0.00010515367525859072,0.0005649228012506027,8.981518835820248e-05,5.235218528460903e-05,9.293235242037856e-05,0.00013541864743929098,0.0010108364605709483,0.00011342770633819529,0.0033823135573720704,0.00016647160548711318,0.0031584835160668816,9.2493811918895e-05,0.00016960676620287506,2.31482830500835e-05,0.0002665750863627363,6.43858060537245e-05,0.00014297397075107944,0.0002722401040045527,0.00013286457457114235,0.0016704069865887475,9.097917430459296e-05,0.001358671698811568,0.0014703997917482985,6.908728534766962e-05,0.00012198381471660469,9.58640693516927e-05,0.0001190666560613135,6.0442161464801465e-05,0.00013236254360026828,0.0003251797882146576,0.0011299143094670955,8.499406097502846e-05,0.0005820488151202156,6.30747851515248e-05,0.0003609033955671232,8.633021243399571e-05,0.0002710400159579445,0.00039218531386825953,9.791002925806804e-05,0.0005640758879046918,6.776368914339037e-05,7.440959045683005e-05,0.000533623984798055,0.00011034741803371115,8.837371552775859e-05,0.00030555534084319844,0.0021437963358401767,0.0007386403034974207,0.00043200544595396116,0.00045600229435209365,0.2301895679306131,0.0006501342798357756,0.00019797664014943844,8.045546614896001e-05,9.171036443408282e-05,4.641682465070617e-05,0.0004287475222191536,0.0019499340163376328,0.0011544448554847652,0.0001523990369430943,0.00012537638768019842,0.013513535858606141,0.000501431592552659,8.041342620178336e-05,0.0012482214069427392,0.00014290734821213518,0.0013641074718926838,0.0001011140350211708,0.00013817025113626002,0.0008134637752546393,0.000696744493678821,0.00013149036063154655,0.028930277561017324,0.0007252855707506166,7.578559844607249e-05,0.00031678949010040334,0.0003091904876050064,0.00013738809975339406
BrockhausFriedrichArnold,0.005830867602050249,0.0005007801857051751,0.00013950846078031193,0.0004684613428548683,0.000553053876309463,0.03284327219344624,0.06782838023081424,7.900463644657414e-05,0.01558773896763324,0.005782051160902079,0.0007576738767889922,0.003323258059567267,0.00012720688919663585,8.273713437574498e-05,0.0022018313794377998,0.005085708650759014,6.88595045064086e-05,8.96289647729512e-05,0.00016906966392775752,0.20085672823938136,0.15312769903033327,0.0012905460882982576,8.377935240932264e-05,0.0004500923656129591,7.155868112709447e-05,4.171068837652529e-05,7.404222709769896e-05,0.0004186029006893239,0.011233320854872626,9.037154202094772e-05,0.01706797434220835,0.007339663230198255,0.035861526265489455,7.369282761994224e-05,0.00013513122581567007,1.8442989829452073e-05,0.00021238903965084874,5.129826534610441e-05,0.00011391201164826886,0.00021690254341808857,0.002119901269418495,0.003874352192143155,7.248606658045436e-05,0.017170110082794697,0.008285325798172562,5.504408677977212e-05,9.718847178896887e-05,7.637802130887538e-05,9.486427662969813e-05,4.8156235464790235e-05,0.00010545754258052198,0.0124624853066758,0.0020366677691841255,0.0024620918893212686,0.003117504327670152,5.02537323622475e-05,0.16757296446085543,6.878208748570131e-05,0.0002159463942475366,0.0003124667924304947,7.800810409571136e-05,0.0010452123315617416,5.398953464383151e-05,5.928454032810269e-05,0.0041524479236449115,8.791737616560251e-05,7.041021285003957e-05,0.00024344587593443754,0.0025917011039483127,0.0009243745191247191,0.0003441927865128673,0.0003633118559483029,0.037040082485750754,0.0011548076510754274,0.00015773442690523938,6.410148608856513e-05,7.306862953306733e-05,3.6981793556621745e-05,0.00034159709273392976,0.0078662693430032,0.007615411249236805,0.00012142126836269357,9.98914449869317e-05,0.10378065064191742,0.006143354395444135,6.406799149561704e-05,0.0021080845513263453,0.00011385893130509605,0.004639316062182678,8.056083967331597e-05,0.00011008473202636472,0.0006481130415240402,0.0005551189944776005,0.0005023309163853718,0.01698155401984613,0.007364129218190456,6.038085063742176e-05,0.0002523964879536917,0.0012539694274228354,0.00010946156658605633
CarlAugust,0.0005147101451907851,0.2540988057552566,0.0003521868568680952,0.0011826230967028686,0.0013961755816578696,0.00765984726511457,0.2254718181525349,0.0001994459291751588,0.05271010253069547,0.0001859559603938936,0.0019127354692672351,0.0016943022166246368,0.00032113173801465736,0.00020886855993596534,0.00032926415629547045,0.0005693467497695242,0.00017383470738592616,0.00022626687450473014,0.0004268136369465645,0.013581813729785149,0.06600884663714843,0.0032579627639710983,0.00021149962253506444,0.0011362509102238205,0.00018064873518649208,0.00010529795938517115,0.00018691840689229628,0.0002723727225623446,0.002033134166063968,0.00022814149877834668,0.006802977061146338,0.00033483072880473725,0.006352779109133361,0.00018603635355177333,0.00034113659787055696,4.655903006136264e-05,0.0005361727015657955,0.00012950164265291422,0.00028756903429033706,0.0005475669689554249,0.0002672356177848646,0.003359753677412163,0.00018298990479080976,0.0027327485296263585,0.002957471530744197,0.0001389579083857144,0.0002453507279180086,0.00019281508166688472,0.0002394833347626888,0.00012156963894578239,0.00026622586362667986,0.0006540465874759193,0.002272640013404906,0.00017095181666008545,0.0011706971191655993,0.0001268647359992101,0.0007258988499104657,0.00017363926936705263,0.0005451531858114472,0.0007888173726971673,0.00019693019934447544,0.0011345474809091568,0.00013629570854433476,0.00014966286490611822,0.0010732983995366836,0.0002219459966991709,0.00017774944556315077,0.0006145751833493787,0.004311899842846522,0.001485655589257467,0.0008689091325401905,0.000917174914651516,0.007886842303719867,0.0013076400272670349,0.00039819801409124504,0.0001618231667085504,0.00018446057555917013,9.335994076059268e-05,0.0008623563455028823,0.003921977119767851,0.002321979242020144,0.00030652603162853795,0.00025217434011661426,0.02718029328200545,0.0010085486055645917,0.000161738610149425,0.0025105956188346216,0.0002874350338209822,0.0027436817086333213,0.00020337453909608145,0.0002779071286764808,0.0016361509095065984,0.0014013889391318853,0.0002644716085498836,0.26045625292632885,0.001458794702768623,0.00015243048258200377,0.0006371708588838608,0.0006218866935375985,0.0002763339575834627
