year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.00021564943315018203,0.011674325838516367,0.00014755663309958154,0.0004954866400384534,0.0005849592738278818,0.036910434914562425,0.14285871230989935,8.35623738381762e-05,0.017692775504846,7.791044692732199e-05,0.0008013836983159418,0.016684549804642377,0.00403083172065016,8.751019767910368e-05,0.00013795265029305348,0.00023854067187307232,7.283197438377185e-05,9.479961427518023e-05,0.00017882320705797907,0.027767159339181082,0.2628402534264121,0.03913600582766077,8.861254074224273e-05,0.00047605796581942357,7.568686513420953e-05,4.4116956825994164e-05,7.831368561176832e-05,0.00011411670000087068,0.05824403144403178,9.558503042784832e-05,0.0028502607937251987,0.00014028489149216138,0.053752850232760885,7.794412945541649e-05,0.0001429268776707304,1.9506956555195746e-05,0.0002246416555873544,5.425763624644864e-05,0.00012048353780411693,0.00022941554109688603,0.00011196439400176118,0.0038270346491312657,7.666775098384129e-05,0.008937519340060643,0.0012390994526179113,5.8219552218087365e-05,0.00010279522541544486,8.078423060586328e-05,0.00010033694861667498,5.093434425546976e-05,0.00011154133470544043,0.00027402758068954044,0.07099451552532743,7.162412224277503e-05,0.0004904899825610285,5.315284468472326e-05,0.00030413170785576263,7.27500912144194e-05,0.0002284042321658113,0.00033049284314787876,8.250835204160807e-05,0.00047534427565894987,5.710416350447803e-05,6.270463538011974e-05,0.0004496825905292593,9.29892849894914e-05,7.447214230495581e-05,0.00025749014499867195,0.0044153043107500916,0.0006224489427171063,0.003993134110265104,0.0003842711325825001,0.012613333818052025,0.013854510365550098,0.0001668340459628511,6.779946829750398e-05,7.728392169761246e-05,0.0026478517996497875,0.0003613036556958243,0.015207246748560346,0.007567061144056311,0.00012842599972838543,0.00010565413176577634,0.14029887214371073,0.00042255420283933534,6.776404141848305e-05,0.001051870702626884,0.00012042739528287808,0.0011495273810699538,8.52083536394897e-05,0.00011643546436269221,0.0006855023540530159,0.0005871435276153491,0.00011080634994470346,0.023063187715439557,0.0006111949680298899,6.386419127494267e-05,0.00026695711328399754,0.000260553467224382,0.00011577634882431116
1799,3.488566495893906e-05,8.568484421406882e-05,2.3870274962402575e-05,8.015500279091426e-05,9.462901405899915e-05,0.0005191637814490404,0.21063736337188926,1.3517906976653552e-05,0.0001452592074356444,1.2603593288441085e-05,0.0001296400495684857,0.1954703270909352,2.1765442792872503e-05,1.4156547467470864e-05,2.2316636162774383e-05,3.858878660835095e-05,1.1782047462563209e-05,1.5335758288487768e-05,2.8928276773921007e-05,0.11402108660875833,0.13813818543672565,0.0002208159261956385,1.4334873791860965e-05,7.701202110299381e-05,1.2243883882716395e-05,7.136811594435266e-06,1.2668825315433155e-05,1.846068827678147e-05,0.00013780034840305956,0.2364984266432487,0.0004610874308500961,2.269392342890345e-05,0.00043057422829158846,1.2609042119782347e-05,2.3121318221022e-05,3.155645441827884e-06,3.6340339124305326e-05,8.777271945061904e-06,1.9490653286229344e-05,3.711261182637114e-05,1.811250917481389e-05,0.0002277150396779521,1.2402562042048198e-05,0.00018521832241375692,0.02761876408785229,9.41819212353417e-06,1.6629210384821265e-05,1.3068486022493575e-05,1.6231534306913398e-05,8.239662134247908e-06,1.804407076227732e-05,4.432951308889576e-05,0.00015403340855178803,1.1586652907171972e-05,7.934669220958933e-05,8.59854952641787e-06,4.9199465580126035e-05,1.1768801200933506e-05,3.69490121172317e-05,5.346391330115288e-05,1.3347397596140188e-05,7.689656725987874e-05,9.23775540087022e-06,1.0143745194636728e-05,7.274526977377441e-05,1.5042900848505935e-05,1.2047377854296608e-05,4.165424781059632e-05,0.00029224893789161474,0.00010069372755806148,5.889231669665979e-05,6.216364118763663e-05,0.0005345488927356861,8.862831305030281e-05,2.698878706141107e-05,1.096793764245022e-05,1.2502240138874733e-05,6.327684900699223e-06,0.013767605509832049,0.00026582102772839533,0.00015737748835065364,2.077550742005032e-05,1.709169640961499e-05,0.05667883623997925,6.835670343255055e-05,1.0962206627005332e-05,0.0001701613974863088,1.948157109594821e-05,0.00018595934378925688,1.3784177557749005e-05,1.8835795391433146e-05,0.00011089389432989265,9.498236136300905e-05,1.792517208613222e-05,0.0005165754611494968,9.887316914221257e-05,1.0331326853707375e-05,4.3185721735449014e-05,4.214980224478289e-05,1.872917009914601e-05
1800,0.023071997885055227,0.0002895318491602383,0.007582132274558923,0.002040792833654119,0.004484558995082158,0.018126510736686523,0.19124565411023192,4.567744318876829e-05,0.005487310676665509,4.258794777929647e-05,0.003964998008593684,0.08169350919550038,0.004048656326728718,0.005774744117106575,7.540863258269661e-05,0.0018185309505356854,3.981191796541207e-05,5.182002133828084e-05,9.774957921902026e-05,0.061052594504242774,0.18192240091711653,0.001059442764143175,4.8438000378072424e-05,0.001844483135129518,4.137247810837539e-05,2.4115516308609858e-05,0.010360277340603536,0.00016013247303604057,0.005981434675043914,0.004122137021818283,0.01731405037605179,0.00041431113787975844,0.07020086608593516,4.2606359555946924e-05,0.0004157553186519654,1.0663027615290784e-05,0.010398473244250679,2.9658684685089173e-05,0.00035886365530110267,0.004088070807854618,0.00043674125257480367,0.003439082524807091,4.19086567209886e-05,0.0035419089544025044,0.03378692508231762,3.1824374617063355e-05,5.619063764372703e-05,0.0004652207556223956,5.484687736430352e-05,2.7842083813845437e-05,6.0971496442570954e-05,0.00561340403442252,0.011408021718830931,3.9151673467599476e-05,0.000643653529868342,2.90547758744818e-05,0.002661224361468397,3.97671584206024e-05,0.0001248519023529908,0.00018065628552410716,4.5101286498608895e-05,0.01652341427835855,3.1214673117941915e-05,3.427604181990483e-05,0.011162399494538617,5.083044661341542e-05,4.0708477907390315e-05,0.0013909966864219443,0.005133218962642056,0.00034024734952994075,0.001109012272445198,0.0002100529463369765,0.009589091466864754,0.005424541043859681,9.119598099472581e-05,3.706101465457754e-05,4.224547222155552e-05,2.1381451142347445e-05,0.0018951938700948157,0.003350482925980628,0.0005317836034634122,7.02011089095471e-05,0.0003710520281884041,0.12215182314060051,0.00023097950318820513,3.7041649368749636e-05,0.0024795075586801214,0.001672135238944168,0.0014603456339596546,0.0051398252233750856,6.36467594719639e-05,0.0031269002127153694,0.009539925411452344,6.0569733985245476e-05,0.013167821212875729,0.00043184883657828557,3.490988628933729e-05,0.00014592594508482576,0.0001424255397510146,6.328646917411359e-05
1801,0.003036463570687903,0.013776708797178197,0.002154487424911693,0.0031838506602613627,0.0044117988841882606,0.011739695339896517,0.09108974989615283,4.179747984229209e-05,0.013507677959439371,3.897041437878547e-05,0.0020755772246174573,0.037804329804124556,6.729892859633088e-05,0.0005041993879092869,6.900322304128216e-05,0.0004809177986798971,0.006388150914260514,4.741829108872996e-05,0.010845523153713855,0.041382032270848496,0.2665245688309233,0.0030507877790142,0.0021105781455751133,0.0015487345529104717,0.003646278548356421,2.2067080301102275e-05,3.9172112344157045e-05,5.708060038112715e-05,0.011342012289612341,0.003110981276717987,0.010663733755150642,7.016979837931477e-05,0.0736229735880537,0.0008676964751039482,0.0029567000363971765,9.757281728008616e-06,0.0012632098449853306,2.7139397232696564e-05,6.0265260683569965e-05,0.00011475250180272902,5.600402772671164e-05,0.03127249025124126,0.0014490646829150534,0.004500974468491323,0.0034987094112936086,2.9121127709646817e-05,5.141765563657311e-05,4.0407866546043825e-05,5.0188037924391554e-05,2.547710326445686e-05,5.579241559079621e-05,0.0024641642694682854,0.004810734879682968,0.0003056225438911962,0.0009220497828628665,2.65867860404801e-05,0.00015212515327916106,3.63892303604042e-05,0.0001142466501530046,0.0001653108607977856,4.1270263431701484e-05,0.00046506443880964173,2.85632158752644e-05,3.136454378850414e-05,0.00022492897400779046,4.651277346936429e-05,3.725059166978347e-05,0.015274347629258936,0.019688383543022773,0.0067185416585873806,0.0015477050741794364,0.001232338009667481,0.010541555052407362,0.002934589055067938,0.00016652342195153715,3.391295363354526e-05,0.0035321914782551448,1.9565253891902866e-05,0.0004318851938461741,0.003937610518253311,0.0030246360748358847,6.423804026042443e-05,5.284766623895725e-05,0.19587377500696598,0.0013263057658295504,3.389523328653093e-05,0.010106315721370976,0.00022597902105507263,0.006456810212778045,4.262079067474228e-05,5.8240434672813807e-05,0.0049849567782793815,0.00106547881279748,0.005513143208301498,0.019944746940773694,0.008999172946883158,3.194454782517418e-05,0.0006276441147001041,0.0006313782115770344,0.00022057904347157694
1802,7.72893836973203e-05,0.000745813007007622,0.0019357763340749463,0.001904748305565166,0.000713398055074431,0.02043152463138495,0.07268121149779964,0.001800465034731478,0.01468025914974562,0.00024024282105084688,0.004263680456561459,0.017425125128954357,0.0001698574681311245,3.1363909225480304e-05,0.0006632428013012397,0.0004753372882611979,2.6103191329329933e-05,3.39764573226108e-05,6.409075721828687e-05,0.025577421306810004,0.3027741493974795,0.0017645175091929135,3.175899218363351e-05,0.0007787405181299456,2.7126392472969594e-05,1.5811645566940825e-05,2.8067852567847874e-05,0.0012713823704770192,0.006477434030395765,0.001963788552550034,0.011518810041809336,0.0011834454860153352,0.13543661249368813,0.0010722037500097584,0.003486668433209821,6.991349932793502e-06,0.03435054095541814,1.9446094548465374e-05,4.3181650174187484e-05,8.222319680115796e-05,0.0014187446543413068,0.04143632067551761,0.0013351197784019855,0.005781967204152756,0.004150604335952821,0.0004310581456998016,0.0003144322099007771,2.8953303075186423e-05,3.596105404669346e-05,0.00016544523126449544,3.9976738590155376e-05,0.00017305334008646157,0.011794333840609772,0.0005393205612367058,0.0009585055677473688,1.905013404130147e-05,0.00022940166282657608,2.6073844163413548e-05,0.0014969677182217114,0.002102431891128021,0.0002027752971831282,0.0013544032321618545,2.0466298192114633e-05,0.0006343926090330712,0.0006765544952038757,3.33276300443e-05,2.6691032279971982e-05,0.009668848261064547,0.020917667349386097,0.002796632859039242,0.001519555478790225,0.0001377238909285193,0.019493530891698196,0.011047466299913836,0.0017406310579940857,2.429952651937062e-05,2.769878218766551e-05,1.4019020901035322e-05,0.00039726366344239756,0.0029572686921494956,0.006591179745758984,0.00032541900426358045,0.0002463559096839703,0.1366548387430275,0.00015144465459095567,0.000919760893454852,0.008885122105542506,0.00261084603881078,0.00381379441188295,0.0016216471993606976,4.173080888571855e-05,0.0030121831235933225,0.0011564083690687123,0.0063558636820167345,0.0140264900358237,0.0006818595779945279,2.2889111795302356e-05,0.00018376200992931772,0.00021414403756617282,4.149457996082578e-05
1803,0.00011345635699382531,0.0033195656299119585,0.0005706281229173761,0.004170711846999589,0.0030693308983381186,0.015654252287904413,0.11281711574664413,0.0006865345037459927,0.008803699099569864,4.098983869797045e-05,0.009271078888306547,0.027343334770337752,7.078632012728946e-05,0.00014255782203705797,0.0006438210882593391,0.00044057123241828146,3.8317979164339785e-05,0.0008295328616678092,9.408153465732253e-05,0.057966552373706175,0.27022319246635645,0.0010716489083428696,4.6620368575605e-05,0.0007944475458082441,3.9819979422019344e-05,2.321058363109798e-05,0.001830901739701906,0.0030949534765812425,0.009131391169015967,5.028869854684549e-05,0.014832513785214737,7.380595672092669e-05,0.053540683356455725,0.00036135101001127587,0.0008544309085500973,0.00023265562852644233,0.0046741839215672125,0.0001696226999771141,0.0005940575737167995,0.000283840372801193,0.0020935937660077793,0.04249676213007487,0.003826209329776785,0.0013958982935993345,0.019500372533773888,3.063016769386022e-05,5.408208879396079e-05,4.250177880461818e-05,0.004860507387597173,2.6797312010880617e-05,5.868354627714227e-05,0.00014416996403238876,0.001947523730795723,3.7682510284580395e-05,0.0018201099001444343,2.7964497906134273e-05,0.00021771276196652962,0.0028683232486513477,0.0019136371343898802,0.0026353339329576713,4.340886459778294e-05,0.0003763219890347446,3.0043345191108655e-05,0.0002049049335238009,0.003713249989188991,4.8923038471522116e-05,0.0032543230016045814,0.00039208855877726303,0.024844306593569596,0.10436309325937157,0.002123482258272604,0.0011253471867503243,0.013796677100267484,0.010519835220137268,0.00022390885874068312,3.5670303263890856e-05,4.0660214506108724e-05,2.0579114025292823e-05,0.0017769226669285077,0.005703122703349416,0.005526221166554033,0.0004745962501755934,0.0008943189249789464,0.07593419452692318,0.002379843142066399,0.001439603925315944,0.009659428344319265,0.0027143216397408194,0.0013788203182913338,0.0008602693857705828,0.0005034336242777012,0.0021606340154639242,0.005939139350157043,0.0009488714434613432,0.01458954237973816,0.0035943925888219388,0.00028323273607877304,0.001162316480431817,0.0016314929450196405,0.001279422245373181
1804,0.0021122364285550096,0.0036767389143721975,0.0197324859017603,0.002028598818924169,0.0006791593135933216,0.017082313665826993,0.10146168617284215,0.0016429197159546092,0.01681852872422142,0.001813756203796421,0.0016789881783388567,0.014606257322500494,0.003617772750387195,0.001049268446180884,6.315298286246757e-05,0.00010920091010067535,3.3341559008305836e-05,4.339806740190231e-05,0.000665487523119704,0.03398637416317451,0.3019561265992137,0.0075532737621140985,4.056570319603608e-05,0.002193289878876007,3.4648491975911796e-05,2.019618624548111e-05,3.58510172499797e-05,0.0004832878279422086,0.025906430172604127,0.003610388809758929,0.012727608429116206,0.0006485588738888538,0.03864141078085149,0.0006949634124158623,0.0005895456652606453,8.930038606813261e-06,0.009982744222333605,2.48384613470707e-05,5.5155843559288295e-05,0.004085674205225151,0.0017312192382886397,0.0866634402249184,0.002415045610126528,0.0028726333060902515,0.0048602496213189786,2.66521764944631e-05,0.0002515986207572757,0.0012239210551650576,4.593298920318198e-05,2.331710020100048e-05,5.1062215797561576e-05,0.0038265110805490036,0.007143098362510132,3.278861953669203e-05,0.002406028658005016,2.4332701708411873e-05,0.0003721138983651214,0.0016730646789645974,0.000540254406420358,0.0023131741607324446,0.00027818441916253894,0.0003850405034399233,2.6141565613367845e-05,0.00026388811692362713,0.007667454891867863,4.256932149443577e-05,0.00016594872185226754,0.0036468142985272463,0.025376909166576908,0.06701128266163509,0.0014920152408378065,0.0014073832106641221,0.017870790406348584,0.005906512653600603,0.0010907781765023006,0.0005014031930980511,3.537960432181251e-05,1.7906470006422034e-05,0.0021322231859974084,0.006364415118197435,0.007169828440248711,0.00017623143569747495,4.836712856606096e-05,0.05660702989773886,0.0011717882409630264,0.00585706571341077,0.0045858708799674025,5.513014222137181e-05,0.002949734030372643,0.00019872587327939874,5.330268660920988e-05,0.005964609848525286,0.0033134410552478994,5.072574904682938e-05,0.00764952218594673,0.008637091469068188,2.9236221040654377e-05,0.00012220959847037492,0.0025867048575882274,0.00039875074946678666
1805,0.0005874754671402349,0.03424586520813808,0.0021500586646355526,0.007483566812041241,0.005508127174338357,0.051122526347340366,0.09424993763918861,5.213397549296359e-05,0.0016722554850351345,0.0003779535831490844,0.011752285920871361,0.011667059297357708,0.00038983581396325026,5.459699493484811e-05,0.0021253603140527523,0.0002501581899984026,0.001397270598155742,0.00020985339110144623,0.00620296599370359,0.06696670089627924,0.233659179826842,0.0028080651406879524,0.001437467657059739,0.0014803034457414755,4.722050117541565e-05,2.752425811220482e-05,4.8859355938764886e-05,0.0007071985377949899,0.05415180303704644,0.0030011932750689447,0.039774597831651125,0.0024042653228866875,0.02883613267939161,4.8628792460089265e-05,8.917107060890427e-05,1.217025257037715e-05,0.00023671171855417283,3.385095645866137e-05,0.0003702529241796584,0.00031794606330478383,0.00021023772914487612,0.061593161507071004,4.783246893670888e-05,0.008830825400988921,0.0066273428438049726,3.632276788147461e-05,6.413321590146242e-05,5.040071153052723e-05,6.259951435020948e-05,3.1777578031796924e-05,0.0003583299469752686,0.006152304045700383,0.004117013191889112,4.4685784548690374e-05,0.0013818764451970808,3.31616847977657e-05,0.0004939594940455707,0.0024925394232192845,0.00014249978902324415,0.002195893238591367,5.1476378730361464e-05,0.003977848364991248,3.562688473228299e-05,3.912097962335398e-05,0.016333141164099764,0.0007880801865084647,4.646264417229007e-05,0.002533951581249046,0.02599386894427462,0.003795424152408188,0.0033952933182183906,0.0007788390370380811,0.044502114226061505,0.00278646180564472,0.0007400885180121439,0.0036801022892556995,4.821689349785687e-05,2.4403731295827784e-05,0.007625892311711937,0.002129478926751646,0.0023315700896071297,0.0024666101239616753,0.001256177876643886,0.06650207180326329,0.0002636285859702365,4.2277507355845e-05,0.006031809052562135,0.0027756200514116127,0.003362614771010342,0.001232808839583707,0.0038184886381177714,0.004099366230592741,0.0011082436418253727,6.913129997562068e-05,0.018597817655396705,0.0026829918001608903,3.984441836529891e-05,0.0001665526595567093,0.00016255746995876743,0.0007584979503212113
1806,0.00018219234928353384,0.04689245311813031,0.00012466385486883675,0.0016276852186964295,0.01090726200005106,0.03652176442874443,0.0995816723512875,7.059803023309445e-05,0.0015341490992425405,6.582297552126391e-05,0.011675770444026751,0.007690954119595856,0.00011367125036307175,7.393336615134474e-05,0.00011654988876913714,0.0033162524113092185,0.004596873255680861,0.0008035236734633775,0.00015107955409101207,0.021614799539130276,0.22619872501466262,0.001153223606319537,7.486468542010371e-05,0.0013267553428246224,0.0007384653766770867,3.7272400348812714e-05,6.61636534547418e-05,9.641198384770865e-05,0.04776648907675073,8.07554232607685e-05,0.047593818693123346,0.00011852029275747226,0.005906167619602037,6.58514323497086e-05,0.001537583779051267,1.6480535980300315e-05,0.00047900737409044427,0.0011368275555211763,0.00010179103409576941,0.00019382270467405347,9.45935988854736e-05,0.0917330025042165,6.477307851907618e-05,0.007612174006957961,0.0033724787874080467,4.91870386019596e-05,8.68469874461829e-05,6.825090399794802e-05,8.477010174045896e-05,4.303209938260145e-05,9.423617542297259e-05,0.00023151337782344801,0.001006770789027119,6.051194712714308e-05,0.0009100921569725332,4.4906408993286754e-05,0.00025694697888338963,0.002269821517611113,0.0008480472608401933,0.0005684362042727768,6.970753539381949e-05,0.0021891110483472616,4.824469765940167e-05,5.297628036385945e-05,0.05123150747309411,7.856239658479796e-05,6.291810910195331e-05,0.0010532892375096612,0.05616781409826977,0.009151417823724374,0.008374425553585205,0.002588119139098132,0.021194451182342314,0.003081609214590074,0.00014095045987568477,0.00034649857890522615,6.52936529915511e-05,3.304669063758034e-05,0.010702226217392058,0.003297528605800721,0.0008219127931399926,0.00010850125714592572,8.926234674826727e-05,0.09974305231228588,0.001156016480042073,5.7250741273138794e-05,0.0016035758174168166,0.00010174360184570598,0.0009711831423040592,7.198864333368955e-05,9.837100187221228e-05,0.006707965216638202,0.0004960507296504878,9.361522039290296e-05,0.0228659132301238,0.0022081463600736287,5.395593613905563e-05,0.0005103752051751494,0.00036254738626887876,9.781414528032273e-05
1807,0.0003066824794444964,0.011372246201626385,0.00020984536539888097,0.006116987036278337,0.00567197085304297,0.05156297807284297,0.0537687654248341,0.00011883692724159686,0.0030794245061751156,0.0037974208896255565,0.0176246467805982,0.0025070809458912365,0.0007907702952377047,0.00012445126337158128,0.00019618721097379075,0.00033923689772670306,0.0001035768569412274,0.00013481779354387137,0.010576851570076765,0.03784512844273988,0.25636777271208,0.004530717016536159,0.00012601894337362657,0.0014143427669147525,0.00010763689531507116,6.274024237995202e-05,0.00011137258710588735,0.0001622892858610847,0.01507993508030927,0.0001359347608809859,0.020978567084142134,0.0001995039714361608,0.011449927067037445,0.00011084702857940134,0.001402118563371441,2.7741514157364946e-05,0.00031947062839746804,7.716165152759825e-05,0.00017134378498587805,0.0011331960191117787,0.00015922841743825662,0.03174800083674111,0.00010903184683440848,0.007975211259871209,0.01012398935066406,8.279602856158158e-05,0.00014618862727781728,0.00011488603415418343,0.002353382358668964,0.003856655940248903,0.0016516856490514647,0.0026493827403170876,0.006218697499989592,0.00028193782871897697,0.0009229072263972523,7.559048943145985e-05,0.001051207906991477,0.0025718184719151463,0.00032482151802107914,0.007105924416429466,0.00011733796657549138,0.000826147847627417,8.12097958910979e-05,8.917441965936359e-05,0.0042721506200608635,0.00013224326197272,0.00027597004202067053,0.0003661855955156676,0.14404714590116127,0.004045578461446183,0.0027397689323927863,0.0005464852005304071,0.02385181681208273,0.013089788490048316,0.00023726043757329047,0.001019563444941325,0.00010990812440908136,5.562714933982316e-05,0.007660444876435142,0.008536136818199275,0.0061200807679142955,0.0010737019434728945,0.00015025437637444797,0.13831349108472607,0.002075577576925927,9.636957508219805e-05,0.008964233708132688,0.00017126394277454328,0.008561019356706284,0.000121177731755703,0.0001655868804494077,0.00131499777772035,0.0008349970144065332,0.00015758152313607177,0.013756424470749252,0.003940993246388639,9.082346399805715e-05,0.0009790775631150456,0.0003705420514626857,0.0009019738819875897
