,segmentID,idno,filename,id,corpus,sender,receiver,date,year,month,year_range,sender_norm,receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,ub0505,ub0505,OsmundEmanuel_SchwendlerAuguste_1808-07-17.xml,JP-UB0505,letters-context,Osmund Emanuel,Schwendler Auguste Sophie Henriette,1808-07-17,1808,7,1804,OsmundEmanuel,SchwendlerAugusteSophieHenriette,5.47907386395774e-05,0.00013457492956581805,3.749018395547943e-05,0.00012588986948480806,0.00014862246665299617,0.02234672103430538,0.002470073947991241,2.1230958589544092e-05,0.00022814125168507592,1.9794955509642905e-05,0.00020361010981127003,0.00018035795640501223,3.418437598488071e-05,2.2233994772406266e-05,3.5050069441081355e-05,6.060678860400547e-05,1.8504651808134235e-05,2.408604007443349e-05,4.543418203089532e-05,0.012211446256381792,0.3999734419783634,0.00034680914679085964,2.2514070587034266e-05,0.00012095356431721223,1.923000299810395e-05,1.1208935797865906e-05,1.9897407647105653e-05,2.8993993597953905e-05,0.005599259669322392,2.4285593259042002e-05,0.0061070079969164255,3.5642629394140845e-05,0.0006762514068466138,1.9803513336884027e-05,3.631388724112317e-05,4.9561946101893515e-06,0.02158840804045496,1.3785410531128583e-05,3.0611636366322805e-05,5.828833755080101e-05,2.844715035451502e-05,0.15645980624786654,1.9479219791477137e-05,0.0002909002510509052,0.000314821946272174,1.4792027146544625e-05,2.6117510474565922e-05,2.0525106886057528e-05,2.549292825509245e-05,1.2941051145430976e-05,2.833966233103568e-05,6.96230606047556e-05,0.00024192183923275653,1.819776896589406e-05,0.00012462035279785062,1.35047126186627e-05,7.727171211958891e-05,1.848384749037911e-05,5.803139106818356e-05,8.396936976205998e-05,2.0963159913087728e-05,0.00012077223478399284,1.450863678193215e-05,1.5931566517077292e-05,0.00011425228867306184,2.36260839442698e-05,1.8921374498205136e-05,6.542134162283658e-05,0.0004590004287595073,0.00015814758628715395,9.249511327371407e-05,9.763299112128631e-05,0.0008395519680197942,0.0001391978837760835,4.238805766842842e-05,1.722602695089773e-05,1.963577224813064e-05,9.938137340821237e-06,9.179757108365509e-05,0.00041749327330618547,0.00024717398513466763,3.262960297578905e-05,2.684388192079621e-05,0.2235894933121687,0.00010735969276905771,1.7217025930858414e-05,0.0002672521411643209,3.059737205705554e-05,0.13486289295468196,2.164915792251885e-05,2.958312944802059e-05,0.00017416776742268074,0.0001491774269728236,2.81529224108729e-05,0.006194156404989994,0.00015528825307799002,1.6226178578157832e-05,6.782664442124092e-05,6.61996496618881e-05,2.9415665862936317e-05
1,ub0625,ub0625,EndeHenriette_RichterCaroline_1820-02-07.xml,JP-UB0625,letters-context,Ende Henriette Freifrau von,Richter Caroline,1820-02-07,1820,2,1819,EndeHenrietteFreifrauvon,RichterCaroline,2.9100905940895838e-05,7.147653900158771e-05,1.9912093614434687e-05,6.686365874510703e-05,0.028668681984556826,0.0004330757745237428,0.12996577572122614,1.1276360645795132e-05,0.00012117225048194467,1.051365892655137e-05,0.0001081430694557788,9.579319526171176e-05,1.8156285804580364e-05,1.1809101439906325e-05,1.8616080004623263e-05,3.218997404190725e-05,9.828342254699267e-06,1.2792774912299354e-05,2.4131374947874266e-05,0.037934562212227324,0.20671922212452992,0.0001842001150339116,1.1957857600895946e-05,6.42418479072805e-05,1.021359672064615e-05,5.9533818022963585e-06,1.0568074145067764e-05,1.5399527392673613e-05,0.00011495022331436354,1.2898763234407938e-05,0.0032436041146959487,1.8930805301023446e-05,0.037525843910276836,1.0518204229859666e-05,1.9287329267521147e-05,2.6323746815070804e-06,3.0314365283316302e-05,7.32182016858647e-06,1.625870307121192e-05,3.0958579326247426e-05,1.510908352958916e-05,0.00018995521394805543,1.0345962785476056e-05,0.00015450532433414685,0.011603108572094921,7.856462631365853e-06,1.3871746112612125e-05,1.0901462906845027e-05,1.3540012887754226e-05,6.873357094833534e-06,1.5051993610038675e-05,3.697877028642136e-05,0.00012849150902805338,9.665348125606526e-06,0.228784144603306,7.1727335938970944e-06,4.104118473518505e-05,9.817292495028406e-06,3.0822107805546056e-05,4.459849952811036e-05,1.113412521900306e-05,6.414553868018218e-05,7.705946019436356e-06,8.46170411671909e-06,6.068261149166535e-05,1.2548479244579276e-05,1.0049675423557676e-05,3.474711888111289e-05,0.00024378806776137872,8.399664154185737e-05,4.912676226318568e-05,5.185563403404386e-05,0.0004459097186945036,7.393192031204929e-05,2.251349242324649e-05,9.149228546287728e-06,1.0429112208699914e-05,5.278424915666993e-06,4.875627794107707e-05,0.00022174244733879237,0.00013128107178399286,1.733050202760574e-05,1.4257542465421853e-05,0.11875468328784272,5.702175949237982e-05,9.144447850789913e-06,0.0001419451464906535,1.6251126894423555e-05,0.00015512346916165688,1.1498478101328995e-05,1.5712434051442695e-05,9.250541138064035e-05,7.92323370451003e-05,1.4952810773906187e-05,0.19198220414814127,8.247796906472719e-05,8.618180888002572e-06,3.602464300715519e-05,3.516050022255589e-05,1.5623489420304935e-05
2,ub0793,ub0793,RichterCaroline_RichterMax_1821-08-19.xml,JP-UB0793,letters-context,Richter Caroline,Richter Max,1821-08-19,1821,8,1819,RichterCaroline,RichterMax,5.335474031393883e-05,0.00013104788506290181,3.650761203320454e-05,0.00012259044979667013,0.00014472725336394198,0.0007940180808426378,0.13869098384234588,2.067452110132479e-05,0.00022216194818300167,1.9276153907880882e-05,0.00019827373756968708,0.00017563099469863894,3.328844525103531e-05,2.1651268931174967e-05,3.4131449939307535e-05,5.9018358713870426e-05,1.801966749011281e-05,2.345477438835336e-05,4.424340762370389e-05,0.0014078878205837026,0.2898972688849269,0.2729090147327481,2.1924004300851066e-05,0.00011778351915716997,0.005260481681765767,1.0915163283795455e-05,1.9375920899979513e-05,2.823409644573405e-05,0.00021075423996846001,2.364909752777379e-05,0.0007051951041777211,3.470847961988738e-05,0.011142039030911864,1.928448744492453e-05,3.5362144618730184e-05,4.826298804100878e-06,5.5579544181827405e-05,1.34241117618026e-05,2.980934277330774e-05,5.676067143047707e-05,2.770158529566464e-05,0.010831782673708514,1.8968693237175467e-05,0.00028327611084383753,0.0003065708476568587,1.4404346185443384e-05,2.5433002431007017e-05,1.9987168908695767e-05,2.482478974849649e-05,1.2601882004107913e-05,2.7596914401969915e-05,6.779832524004482e-05,0.057894893773562724,1.772082767226994e-05,0.01060486555289972,1.3150770598712973e-05,7.524651494250973e-05,1.7999408428110832e-05,5.651045920127506e-05,8.176863516024273e-05,2.0413741101026985e-05,0.00011760694204949834,1.4128383136088742e-05,1.5514019621171842e-05,0.00011125787576116179,2.300687314646426e-05,1.8425468387558615e-05,6.370672817968871e-05,0.00044697058825120793,0.00015400273124867688,9.007092934977517e-05,9.507414969555712e-05,0.0008175483365613175,0.00013554967729086377,4.127711845953508e-05,1.677455382837578e-05,1.9121142645189533e-05,9.677670901862213e-06,8.939166888837795e-05,0.00040655128463585965,0.0002406958569398708,3.1774420943151915e-05,2.614033656899002e-05,0.10241086101608228,0.0001045459263755878,1.6765788714075766e-05,0.00026024778902809933,2.979545231416064e-05,0.0002844094417722693,2.1081759940667845e-05,2.8807791764877532e-05,0.00016960304300740308,0.00014526766885174388,2.7415068706987193e-05,0.02699883782721025,0.010634729684978394,1.5800910260038902e-05,6.604899093014106e-05,0.05248202137425845,2.8644717195779492e-05
3,ub0751,ub0751,MayerJohann+MayerJulie_RichterCaroline_1810-03-19.xml,JP-UB0751,letters-context,Mayer Johann Siegfried Wilhelm + Mayer Julie Henriette,Richter Caroline,1810-03-19,1810,3,1809,MayerJohannSiegfriedWilhelmANDMayerJulieHenriette,RichterCaroline,6.17735946617445e-05,0.030495992312217567,4.2268154891913785e-05,0.00014193401955631002,0.00016756379345503266,0.19512261102632067,0.09381767386290746,2.393675761186809e-05,0.00025721692309942567,2.2317741800193008e-05,0.00022955938731275503,0.00020334384185388566,0.036451660663730574,2.506762666254438e-05,3.951705774149529e-05,6.833087645709363e-05,2.0862994158043687e-05,2.7155707579562288e-05,5.12245831002013e-05,0.07445627795741935,0.4084664518468905,0.0003910085571171495,2.5383396996673265e-05,0.0001363686024416469,2.1680788396799155e-05,1.2637468918273136e-05,2.2433251044437466e-05,3.268915974882418e-05,0.0002440091904946349,2.738069300311273e-05,0.0008164679701672282,4.018513704215722e-05,0.000762436888664281,2.2327390287588955e-05,4.0941943962132723e-05,5.587841385540431e-06,6.434945074366279e-05,1.5542304840923552e-05,3.4512964485936115e-05,6.571694827945277e-05,3.20726235658404e-05,0.0004032251234427001,2.1961766853359227e-05,0.012465680843643823,0.000354944718441722,1.667721063566988e-05,2.9446080591151258e-05,2.314094798956479e-05,2.8741897916913374e-05,1.4590335297602833e-05,3.195143663245949e-05,7.849623552622755e-05,0.00027275379028734493,2.0517000350040977e-05,0.00014050270814887846,1.5225833125126312e-05,8.711967646018418e-05,2.0839538414899333e-05,6.542725501630143e-05,9.46709232340374e-05,2.363482908706413e-05,0.00013616416319947892,1.635770332568867e-05,1.7961979648174786e-05,0.00012881327656656647,2.6637131917828243e-05,2.1332826454193765e-05,7.375902460853908e-05,0.0005174981600864113,0.00017830285071169217,0.00010428323796013398,0.00011007591737015791,0.025221962525575795,0.00015693808595500846,4.7790242619885664e-05,1.9421413781204144e-05,2.2138271281675672e-05,1.1204712384387989e-05,0.00010349679686483096,0.0004707010870737212,0.00027867530074887105,3.678811270385151e-05,3.0265025113663752e-05,0.09429487664196326,0.00012104224744534939,1.941126561789668e-05,0.00030131233581952337,3.449688224866966e-05,0.0003292864602214795,2.4408254743033506e-05,3.335337855854166e-05,0.00019636473854977492,0.018374749295474217,3.1740897471613625e-05,0.0009147230871709668,0.0001750791071548172,1.8294138814039807e-05,7.647087343183748e-05,7.463652483065902e-05,3.3164572423007537e-05
4,ub1156,ub1156,RichterCaroline_FalkensteinKonstantin_1826-02-17.xml,JP-UB1156,letters-context,Richter Caroline,Falkenstein Konstantin Karl von,1826-02-17,1826,2,1824,RichterCaroline,FalkensteinKonstantinKarlvon,4.12471278066126e-05,0.00010130962745148346,2.822306191703869e-05,9.477140964197284e-05,0.00011188478252311868,0.0006138342173267293,0.13153187312112566,1.5982921277269706e-05,0.00017174748141499918,1.490188086719228e-05,0.0001532801424224176,0.00013577564134905381,2.573440987012305e-05,1.6738018993716405e-05,2.6386114328136396e-05,4.562552025338142e-05,1.3930524703597332e-05,1.81322609983528e-05,3.420339932529327e-05,0.10239494095151797,0.05796912641675968,0.0002610821017815574,1.694886343948114e-05,0.10950211892986604,1.4476577813670722e-05,8.43822184022771e-06,1.4979008069944285e-05,2.1827027509628344e-05,0.00016292848621537643,1.828248703863141e-05,0.00459742915717626,2.683220059606764e-05,0.0005090902021068098,1.490832330258786e-05,2.7337531586179016e-05,3.731082982211489e-06,4.2967064384759016e-05,1.0377823043863053e-05,2.304480846438551e-05,4.388016238306748e-05,2.141535733119396e-05,0.004321500896770672,1.4664191216648148e-05,0.0042712548277786975,0.00023700175205951642,1.1135616153049824e-05,1.9661576377377216e-05,1.5451547615422496e-05,1.919138336169571e-05,9.742179131017076e-06,2.1334439052809408e-05,5.241307838433695e-05,0.00018212167365884704,1.3699499604651255e-05,9.381570219323738e-05,1.0166510275355013e-05,5.8171075345390574e-05,1.3914862962677579e-05,4.368672997695047e-05,6.32131526680056e-05,1.5781319208954852e-05,9.091879261556895e-05,1.0922276474144864e-05,0.012168778322912244,8.60104986737979e-05,1.7786000485036912e-05,1.4244238562619006e-05,4.924997374005139e-05,0.0003455410497908084,0.00011905540727975572,6.963143504570614e-05,7.349929135674511e-05,0.1465134430045225,0.00010478984304794194,3.1910240225540745e-05,1.2967960514600431e-05,1.4782045791132056e-05,7.481549459536259e-06,6.910631688562562e-05,0.0003142939633601206,0.00018607555233714288,2.4563958027191488e-05,2.0208397548648908e-05,0.22100026390933425,8.082166948056576e-05,1.29611844383297e-05,0.0002011906299659377,2.303407012060645e-05,0.00021986935978251618,1.6297746770850293e-05,2.2270536071595505e-05,0.06496730144747445,0.00011230256333439956,2.1193858992295553e-05,0.13433540723802534,0.00011690286680944186,1.2215262619999565e-05,5.106071464997083e-05,4.983589340378964e-05,2.214446746824335e-05
5,ub0611,ub0611,MayerJohann_RichterCaroline_1818-11-10.xml,JP-UB0611,letters-context,Mayer Johann Siegfried Wilhelm,Richter Caroline,1818-11-10,1818,11,1814,MayerJohannSiegfriedWilhelm,RichterCaroline,0.00010410341358088729,0.00025569484730562464,7.123204071429764e-05,0.00023919307302702167,0.0002823854267628436,0.16518896880299114,0.02514815051407805,4.033921275099364e-05,0.0004334725843954408,3.761078042388503e-05,0.5731258681966013,0.00034268344239243577,6.495094462165177e-05,4.22449999912056e-05,6.659577814904693e-05,0.00011515401574262937,3.5159179601951977e-05,4.576392021083938e-05,8.632578351946259e-05,0.002747008554428839,0.09517056862684488,0.0006589437729522452,4.277714920269954e-05,0.0002298140021989365,3.653736023604661e-05,2.1297184672811842e-05,3.7805441373953446e-05,5.5089122392467784e-05,0.0004112143678006114,4.614307494071699e-05,0.0013759455514817886,6.772165298476718e-05,0.04219481908620672,3.762704045342208e-05,6.899705526987779e-05,9.416861135710471e-06,0.00010844435265832208,2.619253416795088e-05,5.8162673476518995e-05,0.00011074891599673096,5.405011014789639e-05,0.0006795316351883852,3.701087673821493e-05,0.0005527158402654068,0.0005981675022252407,0.040938034069584725,4.962375142489706e-05,3.899808150072504e-05,4.843703369260228e-05,2.458823576784339e-05,5.384588092155085e-05,0.00013228509877522536,0.0004596559548059202,3.457609654375919e-05,0.0002367809679159819,2.5659202959095466e-05,0.00014681767767003897,3.5119651014652275e-05,0.00011026071294248786,0.000159543350674084,3.983039032837688e-05,0.000229469472742684,2.756667737845277e-05,3.0270270109494287e-05,0.0002170814549249964,4.4889995083410884e-05,3.5950960396118074e-05,0.00012430175524334204,0.0008721092771404942,0.0003004833296804344,0.00017574242053362368,0.00018550448317001847,0.0015951642178862698,0.00026447854553759433,8.053809107000095e-05,3.2729768799456515e-05,3.730832929218235e-05,1.8882644174974616e-05,0.00017441707751206828,0.0007932449165202103,0.0004696351288522958,6.199684723934428e-05,5.100387056469705e-05,0.005497387877865911,0.0002039853956300016,3.271266669543184e-05,0.0005077839954855108,5.8135571025923023e-05,0.0005549271455341109,4.113379919390161e-05,5.620849136937218e-05,0.0003309219691987523,0.0002834398616022061,5.3491071630355686e-05,0.032223975842525544,0.0002950505438660788,3.083003845724988e-05,0.0001288718749063881,0.0001257805548670467,5.589030747022004e-05
6,ub0837,ub0837,SpazierJohann_BodeAugust_1803-10-16.xml,JP-UB0837,letters-context,Spazier Johann Karl Gottlieb,Bode August Theodor Heinrich,1803-10-16,1803,10,1799,SpazierJohannKarlGottlieb,BodeAugustTheodorHeinrich,0.0001379692988584768,0.00033887494742976547,9.44045384830152e-05,0.00031700498035735353,0.00037424824026590985,0.0020532405790042287,0.006219926564136017,5.346196352565448e-05,0.0005744855666710901,4.984594477847395e-05,0.0005127133670519005,0.0004541618055642112,8.608013879085973e-05,5.59877224826475e-05,8.826005317318016e-05,0.00015261477281341962,4.659681360353745e-05,6.0651382767567566e-05,0.00011440842731189329,0.01719522286418405,0.5598772251937165,0.0008733047958196045,5.669298517358574e-05,0.0003045748036553238,4.842333023009001e-05,2.822537259726142e-05,5.010393088932512e-05,7.301016681179241e-05,0.1632000048067582,6.115388033648198e-05,0.01537813930562789,8.975218639286587e-05,0.0017028777996303626,4.98674943588141e-05,9.144248984196927e-05,1.2480260576010018e-05,0.00014372238898587868,3.4713228415617907e-05,7.708357491135265e-05,0.00014677664990815075,7.163315345595748e-05,0.0009005900962723903,4.905088640288851e-05,0.0007325198504671562,0.0007927573942406687,3.724800330817475e-05,6.576685581496984e-05,5.168454881933479e-05,6.419408689380075e-05,3.258703564432493e-05,7.136248641252369e-05,0.00017531876909359105,0.0006091866502669584,4.5824047774368846e-05,0.0003138081932444648,3.400639921171335e-05,0.00019457894175992758,4.6544425970058285e-05,0.00014612962950048507,0.0002114444039141166,5.278761606213582e-05,0.00030411819530906317,3.653439420416117e-05,4.011749278537e-05,0.0002877002309622489,5.9493161024988185e-05,4.764616863679794e-05,0.0001647383637855127,0.0011558151779677837,0.13594408213758993,0.00023291319378183423,0.00024585095337133537,0.0021140871479194715,0.00035051607085467303,0.00010673794042012311,4.3377091084072964e-05,4.944510325806071e-05,2.502535784180713e-05,0.0002311567033734876,0.00105129544931116,0.0006224121497871579,8.216504388112421e-05,6.759594156258962e-05,0.00728574332937628,0.00027034389213926143,4.335442549396284e-05,0.0006729712256193891,7.704765576156255e-05,0.0007354505155336582,5.4515036913351643e-05,7.449367775149305e-05,0.00043857420709593963,0.0545939851193201,7.089225409783946e-05,0.015597588888843718,0.0003910334470769828,4.0859359394796776e-05,0.00017079518924320903,0.00016669823176886358,7.407198543647625e-05
7,ub0430,ub0430,RichterCaroline_RichterOdilie_1822-11-17.xml,JP-UB0430,letters-context,Richter Caroline,Richter Odilie Minna,1822-11-17,1822,11,1819,RichterCaroline,RichterOdilieMinna,5.7907819972267575e-05,0.0001422309862500895,3.9623025298164554e-05,0.0001330518273610694,0.00015707769700624763,0.01792897467249037,0.002610598087377204,2.2438801855354404e-05,0.00024112035827318168,2.0921103611175715e-05,0.0002151936235254156,0.00019061863974440644,3.612914772729276e-05,2.3498901429571444e-05,3.7044091056357976e-05,6.40547488630297e-05,1.955739367931978e-05,2.545631081285738e-05,4.801896267432057e-05,0.007217097413994805,0.3146359397171453,0.00036653934835976354,2.379491094239719e-05,0.00012783469253005927,2.0324010577875253e-05,1.1846619563450565e-05,2.1029384318449872e-05,3.064348105602293e-05,0.00022873916196903136,2.566721671002401e-05,0.0121435058085354,3.7670362136772985e-05,0.0007147237963201957,2.0930148298864506e-05,3.837980828630794e-05,5.238155797137864e-06,6.032247968379915e-05,1.4569671647094128e-05,3.235315259059287e-05,6.160439959713204e-05,3.0065527539053254e-05,0.00037799140529983606,2.0587405479332112e-05,0.0003074497585906827,0.00033273237486306244,1.5633555347039355e-05,2.760335290666272e-05,2.1692793781955414e-05,2.694323779193376e-05,1.3677276097902666e-05,2.9951924450878778e-05,7.358396253680363e-05,0.2278183285533941,1.9233052069364096e-05,0.00013171008703076077,1.4273004644873348e-05,8.166775089134944e-05,1.9535405790177883e-05,6.133283525930122e-05,8.874644270361753e-05,2.215576793520489e-05,0.00012764304703985341,1.533404271728991e-05,1.6837923865489134e-05,0.00012075217688560515,2.497018747446128e-05,1.999782399864301e-05,6.914320498506528e-05,0.00048511326650741045,0.0001671447069915939,9.775722139835796e-05,0.0001031873965123288,0.00657638072486571,0.0001471169433807115,4.479954228367347e-05,1.8206027008905263e-05,2.075286430871097e-05,1.0503524542307304e-05,9.701999557209724e-05,0.17111322745717802,0.0002612358765075534,3.4485922654156296e-05,2.837104810453173e-05,0.014436069827840075,0.00011346745664526972,1.819651391488709e-05,0.20508883555085947,3.2338076775344045e-05,0.0003086798034374287,2.288079282477221e-05,3.1266133233962845e-05,0.00018407628681974198,0.00015766422938544625,2.9754560773240557e-05,0.012235612147141112,0.00016412270442641238,1.714929660143519e-05,7.168534704934799e-05,6.996579148284628e-05,3.108914253484559e-05
8,ub1268,ub1268,MahlmannSiegfried_MuechlerKarl_1805-02-12.xml,JP-UB1268,letters-context,Mahlmann Siegfried August,Müchler Karl,1805-02-12,1805,2,1804,MahlmannSiegfriedAugust,MüchlerKarl,0.00010854393838777286,0.00026660149554508163,7.427043910064024e-05,0.0002493958390831646,0.00029443056005397323,0.0016153363157358485,0.2501592756694873,4.205987942991903e-05,0.0004519623312529458,3.921506598699792e-05,0.0004033645788180348,0.00035730058389154916,6.772142323423828e-05,4.404695790954104e-05,6.943641703621389e-05,0.00012006590331604052,3.6658892280354265e-05,4.771597745820974e-05,9.000800459182121e-05,0.06684659127151428,0.22719488193959303,0.0006870509797141418,4.460180591345036e-05,0.00023961670455644493,3.809585912600104e-05,2.2205614796315563e-05,3.941803018811237e-05,5.74389455746177e-05,0.27768586136993234,4.8111305010147226e-05,0.012098371297957107,7.061031599492389e-05,0.00133969705212884,3.9232019587110965e-05,7.194012048732998e-05,9.81853677763002e-06,0.00011307003995888084,2.730977512794701e-05,6.0643598794175304e-05,0.010779207776543814,5.635561432562584e-05,0.000708517015968171,3.858957344591637e-05,0.0005762919009865106,0.0006236823008369131,2.930394667220327e-05,5.17404495391406e-05,4.06615423073235e-05,5.050311243378433e-05,2.5637045476660715e-05,5.6142673713988635e-05,0.00013792771165877196,0.000479262551743901,3.6050937849597226e-05,0.00024688084577457244,2.675369470865029e-05,0.00015308017682696224,3.6617677603555214e-05,0.00011496387698105783,0.00016634866264295093,4.1529353217654935e-05,0.00023925747921708373,2.8742532333942e-05,3.156144664932885e-05,0.0002263410512489948,4.6804775107352896e-05,3.748444643638402e-05,0.0001296038390916167,0.0009093090455846713,0.0003133004279253906,0.00018323870284712648,0.00019341716567456403,0.11896428944567967,0.00027575986189362514,8.397343847114716e-05,3.4125855107084556e-05,3.88997138205741e-05,1.968808221964948e-05,0.00018185682739918453,0.000827080730434295,0.0004896673868553743,6.464131900684402e-05,5.31794375773363e-05,0.01639561349738033,0.00021268638033722825,3.4108023513847586e-05,0.0005294434910864011,6.061534029018916e-05,0.0005785975293476426,4.288835890946798e-05,5.8606061167497744e-05,0.00034503742577048833,0.00029552997174760377,5.577273005394745e-05,0.00160728296547143,0.0003076359069608673,3.214509188208579e-05,0.0001343688969323473,0.0001311457168237868,5.8274305153380935e-05
9,ub0928,ub0928,SchwendlerAuguste_MuellerFriedrich_1810-06-19.xml,JP-UB0928,letters-context,Schwendler Auguste Sophie Henriette,Müller Friedrich Theodor Adam Heinrich von,1810-06-19,1810,6,1809,SchwendlerAugusteSophieHenriette,MüllerFriedrichTheodorAdamHeinrichvon,5.7907819972267575e-05,0.0001422309862500895,3.9623025298164554e-05,0.0001330518273610694,0.00015707769700624763,0.023618040763011373,0.002610598087377204,2.2438801855354404e-05,0.00024112035827318168,2.0921103611175715e-05,0.017282391895088414,0.00019061863974440644,3.612914772729276e-05,2.3498901429571444e-05,3.7044091056357976e-05,6.40547488630297e-05,1.955739367931978e-05,2.545631081285738e-05,4.801896267432057e-05,0.0015280313234738063,0.3373922040792292,0.00036653934835976354,2.379491094239719e-05,0.00012783469253005927,2.0324010577875253e-05,1.1846619563450565e-05,2.1029384318449872e-05,3.064348105602293e-05,0.00022873916196903136,2.566721671002401e-05,0.08610136498530838,3.7670362136772985e-05,0.0007147237963201957,2.0930148298864506e-05,3.837980828630794e-05,5.238155797137864e-06,6.032247968379915e-05,1.4569671647094128e-05,3.235315259059287e-05,6.160439959713204e-05,3.0065527539053254e-05,0.00037799140529983606,2.0587405479332112e-05,0.034441846301716685,0.08566872373267805,1.5633555347039355e-05,2.760335290666272e-05,2.1692793781955414e-05,2.694323779193376e-05,1.3677276097902666e-05,2.9951924450878778e-05,7.358396253680363e-05,0.000255684932554112,1.9233052069364096e-05,0.00013171008703076077,1.4273004644873348e-05,8.166775089134944e-05,1.9535405790177883e-05,6.133283525930122e-05,8.874644270361753e-05,2.215576793520489e-05,0.00012764304703985341,1.533404271728991e-05,1.6837923865489134e-05,0.00012075217688560515,2.497018747446128e-05,1.999782399864301e-05,6.914320498506528e-05,0.00048511326650741045,0.0001671447069915939,9.775722139835796e-05,0.0001031873965123288,0.0008873146343447102,0.0001471169433807115,4.479954228367347e-05,1.8206027008905263e-05,2.075286430871097e-05,1.0503524542307304e-05,9.701999557209724e-05,0.0004412447415480539,0.0002612358765075534,3.4485922654156296e-05,2.837104810453173e-05,0.15097365600034404,0.00011346745664526972,1.819651391488709e-05,0.0002824562921034916,3.2338076775344045e-05,0.05151027461812641,2.288079282477221e-05,3.1266133233962845e-05,0.00018407628681974198,0.1537624486734524,2.9754560773240557e-05,0.0008574799660991153,0.045676651428594416,1.714929660143519e-05,7.168534704934799e-05,6.996579148284628e-05,3.108914253484559e-05
