year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.010850186772559701,0.0003541405418663124,0.003979297178252155,0.12273538372594782,0.0005808368074621933,0.3612566285578121,0.01756011184783818,0.0008672800578848729,0.1395282163575988,0.029023457130768707,0.09363450241579103,0.003331342144301381,0.0009370637893111409,0.0008576181872692697,0.02383568327221038,0.0021929729141421813,0.050267441445866416,0.0011068338381328864,0.13671964088489744,0.0003813621300870968
1799,0.0005302705582104159,5.37288706276935e-05,0.00027084298726223397,0.0002882703605243857,8.812237514370655e-05,0.12413621769293882,0.00709236105397173,0.0001315804674113407,0.2385087685538725,0.0001862624719431252,0.3875786694133724,0.00030467401964466155,0.0001421677925957446,0.00013011460475243278,0.2139043577059753,0.0003327095999035897,0.003647571373019558,0.00016792466567650064,0.022447526605577185,5.7858827576669385e-05
1800,0.03597289299195054,0.0026159500610547374,0.0036058501947150447,0.01055853363627523,0.004240136337104958,0.2517639891532788,0.0008375909560351288,0.0031466523396443623,0.22061554235356515,0.004656363477488671,0.19409711379382938,0.023506385781370098,0.014235607221085127,0.013226612715783825,0.010838016094725959,0.01746722019005247,0.019758005086072273,0.0005947029971264926,0.15342090126455332,0.01484193335428835
1801,0.06750332719726475,0.01063031127331896,0.04326716376278326,0.009405519047665907,0.0022289761988986702,0.3786295203593564,0.0039249285756443935,0.0015034121736353316,0.08151164736348901,0.0019385395074159077,0.09347195129320886,0.01168561310729573,0.0022553551291494105,0.017661874378761325,0.016773846739857358,0.011876652218368871,0.01305771787212646,0.011897896308664566,0.2205902737882542,0.00018547370484060612
1802,0.08954036965469726,0.0006477780974663474,0.05534708215071858,0.031629843992356736,0.003036594559067177,0.46599602884853997,0.00449210404397004,0.00274318811305444,0.0430125647580845,0.002199221576826611,0.06563502872612248,0.012371285248830476,0.0031319639749028618,0.011647051711771021,0.009767583622557072,0.01363465627878954,0.010765469702711267,0.0028068408492532932,0.15962594975717181,0.011969394333108478
1803,0.055555170347454615,0.0015563191634031697,0.056015271464596374,0.008080522210646713,0.00254973693540829,0.33062280676081146,0.004000408054502822,0.002627549131550596,0.10373659092367271,0.004634299049734838,0.12472017748883547,0.006822503247804975,0.002145482582195464,0.006065149483421462,0.007308665219087741,0.020441079572587808,0.14846083377479774,0.00529505154922782,0.10480800121619616,0.004554381824063988
1804,0.05628823846670216,0.0042078843717217,0.10224269901307045,0.012722583029358902,0.008284833794360534,0.35990197156307724,0.0017508868933750633,0.0016546018879004917,0.06584590888900421,0.002749060720331146,0.09501773238093547,0.015832774456976555,0.006685959763545167,0.007179868529888896,0.004629804132737804,0.014648360917214281,0.13335238462838642,0.0076477714312877445,0.0982310631211416,0.0011256120089842138
1805,0.02294248168004866,0.000733524249872251,0.08388862916216167,0.008811931081612996,0.0021068324877876704,0.2847374008491705,0.00764658710150344,0.004191234336269692,0.08605560727465619,0.003373740662554042,0.10459208493891693,0.07025604461158601,0.0072317806061551,0.02032364630482318,0.014339092567964711,0.052028436040299116,0.059797256302730535,0.01027235527399329,0.1527906919136371,0.003880642554257022
1806,0.052694241528714006,0.00029468809776801366,0.11147664116271862,0.007711904125886993,0.0012138620622018088,0.2776299527086428,0.003556119634064456,0.0016071930695582375,0.08222322467443406,0.0015028954269829223,0.05098602751988637,0.13811769176091546,0.004082199678749839,0.0007136428686920528,0.013334778096030895,0.056251690663471535,0.04892463035991516,0.004212616959328226,0.14314865982477418,0.0003173397772643288
1807,0.1496281763352497,0.0035118091399440623,0.05426441178943819,0.019765712171598324,0.0023804748287008194,0.28570568633505716,0.008544610923905288,0.001521708110378362,0.023621225527006344,0.005870623865697294,0.06482824160199464,0.024140922721097396,0.0027968366383115703,0.0038420773877711365,0.002407082082791914,0.06663126046227094,0.02014744541497558,0.015303788617437943,0.2445273894829422,0.0005605165634311219
1808,0.06442943027621201,0.005117848822544944,0.0407882461362397,0.0078431932877144,0.005423322897421364,0.24834972122517526,0.039325911578966505,0.008633682399677612,0.06276854717274354,0.004786983831262042,0.0915422524768322,0.11251675087284699,0.007376327629438849,0.0018758658819530238,0.005593769011524154,0.043569922975905166,0.012851642603013797,0.011397811591404678,0.22556070363977884,0.0002480656893451369
1809,0.029314372551199216,0.00542040909560693,0.061030524398022784,0.0033430303261897695,0.0056113335272299355,0.250094124179604,0.024693111175894195,0.008084706953670683,0.13254913115175423,0.0026548036536572996,0.11108940088582134,0.08819897374149681,0.002316255056376206,0.0035890949649614863,0.0072883742642430105,0.048102786920339126,0.033272357077227054,0.015009147995150882,0.16077865926005397,0.007559402821501111
1810,0.01526556263188236,0.003061690294839676,0.03701536436297447,0.005017698439625816,0.006446195077023159,0.2735714115313329,0.06350609501166847,0.003414859089413271,0.0557350769051569,0.0021051408483552607,0.14064525204387548,0.08093289928909371,0.007736325449135915,0.04553691745017186,0.0006826040998321612,0.04654348477962858,0.0035907874950853497,0.011048471576917032,0.18958579906251752,0.008558364561469951
1811,0.026667330644474137,0.03234935185590892,0.0190364677724291,0.01131698159059501,0.026004296054204158,0.24536989617306337,0.03294017714202532,0.0037542877077660487,0.03255901012927438,0.0036072307338650277,0.12312680754539,0.11193735167666016,0.001218699645043174,0.042768157876083096,0.007145520280651373,0.06006547432033884,0.006590367088485174,0.0074928672311075,0.2035875596978632,0.002462164834771987
1812,0.023551861349618067,0.0007659486709126399,0.013159125174738733,0.004032758126945738,0.014371207636431127,0.2933202200120426,0.05349433360912771,0.0036063140960769084,0.027488419202376598,0.0008099576870365614,0.10337022041838477,0.06494805813245144,0.0006182130799654781,0.003887201356641379,0.0003593731480301063,0.14343503594636395,0.0008646248657095371,0.016213263240329717,0.205798670801094,0.02590519344572285
1813,0.028306485630505158,0.00022766603193195438,0.010754395978304585,0.00437104425663953,0.0009191059868744022,0.3212501999627629,0.036913100591010946,0.0009711988274501166,0.0272692217856602,0.003234042658311685,0.10695200116395139,0.006375307799807451,0.005072611803019697,0.001642744117013708,0.00035018632374955776,0.13830446235348576,0.0008425220548751536,0.0803135437243501,0.2222622865797219,0.0036678723705738606
1814,0.03066232803664535,0.00023589092130410394,0.014155404158973331,0.002445153663188529,0.011199037765532173,0.3214470005837512,0.056715622908502586,0.001724887511644805,0.058193987642372186,0.010266973215124235,0.08500765705495104,0.013233901136550002,0.007662811302458104,0.00057125440441234,0.0011629173163730576,0.13104848511150113,0.002957780801141073,0.044479223167746475,0.20657566023754081,0.0002540230602874621
1815,0.005227890395736086,0.0014806323743363889,0.006187698684356589,0.0011067506473749174,0.023838128893718374,0.29684757532967243,0.05833713578295783,0.033864296581317385,0.023374920333905706,0.011378333190772801,0.12263618565874372,0.012335531438897167,0.007851823969579617,0.005934311264035392,0.00019830951091897854,0.23870120829541494,0.017411064693730195,0.05704359150190382,0.0761057746773898,0.00013883677523778972
1816,0.05698754813038008,0.009683041521276678,0.01864997977368714,0.020103821049887453,0.014606412922024234,0.3117321416605189,0.05427753303879814,0.020380111134080867,0.07792749858836724,0.0075897002679693355,0.06548513270862431,0.013095846610240571,0.015182094929949468,0.0046715210869628316,0.0009204052917839541,0.12784394500889237,0.010889135146505281,0.01284635184138572,0.14757313515956955,0.009554644129095785
1817,0.023266232881667088,0.0014915295316730959,0.011146232349608464,0.017286667346558288,0.02988303118424375,0.30332654290830274,0.006919923801207509,0.02948394964380561,0.10729827488916369,0.01502411360935055,0.10652969963625776,0.008817733134354673,0.010267962862455515,0.001797317279802393,0.0006699949047445567,0.1381274574841564,0.015084227471285794,0.012312169909067847,0.15493489138869473,0.0063320477835994505
1818,0.026840458279588596,0.003773665341106504,0.005741250577121504,0.006475758787478799,0.014893604584543868,0.32355451929520856,0.006090136417109851,0.08871635734840133,0.038495380982280406,0.015703931144287156,0.12444887511377564,0.00788094896267838,0.00331990742512502,0.006402783790648197,0.0038758110190955527,0.1787949772834274,0.013969076278440792,0.002174061205388736,0.12770187576237896,0.0011466204019147937
1819,0.03619557017474728,0.00021026133505874502,0.016631185922096725,0.06092097911624086,0.011893849540039235,0.30953055840955396,0.028541639767042614,0.01947915577019058,0.08504551365056491,0.046371835675054124,0.08451848040104419,0.0035453304161978364,0.006579607969177279,0.005018328610718021,0.002367615573615667,0.057417432939549415,0.006914732918859406,0.0303852534112413,0.17140659388302112,0.017026074515986728
