year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.00022951987029761357,0.0807106037946479,0.00296956676205164,0.0012906697313381495,0.0008832898374297569,0.000559994753115369,0.0004840494356617279,0.004487861788351376,0.0003757532113696995,0.0002679573080488526,0.0004762921036224675,0.00030794034611540737,0.1753735479160953,0.011529595407048452,0.00015971857683032563,0.0023260069309211343,0.00680708742452633,0.0004397039811431626,0.0006222388287926289,0.083031852486234,0.00038647826547675857,0.010733813161355132,0.0002929868925979419,0.0006186068435326305,0.0002509978470734048,0.05368085489674875,0.17889109509048037,0.026984744735504346,0.0001818480124089496,0.012829811453235702,0.000464332985353336,0.052039245696514545,0.0002311685613747107,0.13735447181332539,0.0046420295039170355,0.02577997476256418,0.004620273908974667,0.10369846389439995,0.004938828028429393,0.008046723153091509
1799,3.586896589954929e-05,0.0002736924692847398,0.00012479517311203239,0.003640862661646581,0.00013803899861525765,8.751500546499981e-05,7.56464034200316e-05,2.278812499082105e-05,0.2407998550098163,4.187590177912039e-05,0.013831070269746757,4.812438138618014e-05,0.3390404632099284,0.0005546548060541427,2.496054123080019e-05,0.00036350431524356336,0.048450262432394565,6.871617296171046e-05,9.7242401289255e-05,0.15148950351404095,6.03981507454126e-05,2.5690576747102428e-05,4.578748169377891e-05,9.6674800953521e-05,3.922550673221541e-05,0.00017060297750159348,0.002631738027927044,0.0002773484371149709,2.8418890911447376e-05,0.0003532495421625663,7.256515087812814e-05,0.00016758741498332734,3.612662047188156e-05,0.032945653283911955,0.00010186314273192527,7.118735039438002e-05,4.348126076667048e-05,0.16324553023484187,0.00013775315715556347,0.0002396772330689789
1800,0.004680480671887582,0.0033529838194896263,0.04187465912957387,0.0037803081794946093,0.0006676031190621233,0.005100058887313667,0.003280298229070972,7.897271001534074e-05,0.02400319060705628,0.00014512178817543918,0.019576121116293012,0.00016677602116932803,0.27292086469507953,0.012217456889880062,0.0008692066930517172,0.023266500027296206,0.023024401213068126,0.0024238421841753953,0.006772662211814209,0.08132780360916037,0.00020931101818168712,8.90312155297107e-05,0.00264090708835387,0.002990871284497948,0.0018478019667844405,0.006264577289069379,0.18269709618239638,0.0037437726421492403,9.848624368223957e-05,0.012308271600666216,0.00025147600427091505,0.0008226341933615174,0.002150164666812268,0.13636935251210305,0.0003530087901246744,0.01499583752971828,0.0005425853446609724,0.08868988264842972,0.01047108646042726,0.0029345335166526235
1801,0.0001130854577776118,0.0071253232661027425,0.0021698624479924563,0.008034198615882287,0.0037682850373759766,0.002083118724086628,0.0056825558250788305,0.0003329952749100238,0.011406587907449018,0.0013102810090215452,0.0006039832370044043,0.00028438710049663644,0.12126979821770358,0.01032081641151811,7.86940509901196e-05,0.04049382802632251,0.00799262227239731,0.0021200787736605606,0.0003065798299283508,0.04709832397714135,0.0012350206890808582,0.002164465676343367,0.012279124203300545,0.0031321225477294276,0.007348522833201267,0.0016395707242781174,0.2896260451715895,0.02321850057599042,8.959732202074499e-05,0.012395660884896182,0.002971451271140836,0.0013715635836291371,0.0039320342339473425,0.21366937287492702,0.01413502171876135,0.010249732151145005,0.0006201143434973577,0.08716883115646551,0.008154495545624802,0.03200334702959101
1802,0.0011742000144927174,0.00862074466187738,0.004628437695003851,0.004820858965445725,0.004468556192487007,0.0003064532966029285,0.0020704488662753578,0.00010776090465851391,0.001410903850196843,0.0011828359023033181,0.0005556006426205653,0.002462480655384956,0.10410535533999184,0.025825397680109954,0.0013442126866763616,0.027204487768514602,0.008154440099182852,0.0004727427105343812,0.0044793565560685405,0.016175843997706052,0.0005524061337840328,0.003273647290811194,0.002168866308430214,0.0013202775081617843,8.760608632377052e-05,0.007353418123293247,0.3425630569893503,0.06067302734341296,0.0018724905404545696,0.014579017763404742,0.0008242956042687125,0.0005686676104567313,0.001525176274253045,0.1460673956866303,0.0016741892819390058,0.021296404125952868,0.002921839516634401,0.11644181034419236,0.008081828560325566,0.046583460421786446
1803,0.001102518196266078,0.007234344428355629,0.012862367154244653,0.0022227680433792095,0.005175230379142972,0.0007235535109904661,0.0026475158312431945,0.002773745509964883,0.0037264941325353034,0.007085942629929362,0.0013810656627570419,0.0010126412403575944,0.17135435329177096,0.02239283339781661,0.0006185315246470048,0.01626482395244385,0.005342744569916659,0.0010093823581425925,0.0023698180305290655,0.03958007556986768,0.0012919057687349187,0.001969493035226321,0.005224422797759656,0.006599011182123394,0.00044991105434676515,0.10861084706482552,0.18845584909953716,0.026887305974500196,0.0017122367653747705,0.0200860872232928,0.0020097185546711976,0.001654076697683244,0.00023767281215323496,0.10408944006321824,0.0030707237209109247,0.0012547256804657898,0.0003210284206412209,0.15955297350458217,0.010460274483770932,0.04918154668188076
1804,0.00044749591389266425,0.016378870197817395,0.008678101482193864,0.005361130379114064,0.005619548205547569,0.001567948316929526,0.0033160140164139322,0.00027188403735745574,0.002611932707534688,0.0002380441497608823,0.003327366843526458,0.0042635472434877945,0.1308538187786535,0.019662555054932026,7.147948751683572e-05,0.020733296931094197,0.009726735901326526,0.0013443945280657314,0.01036555426683036,0.023950626360726694,0.00017296214943125567,0.003684106916866102,0.009117781434080537,0.0007071766892832808,0.0006504785947505168,0.0965194698816712,0.2151324966915965,0.04391658431936926,8.138316150134209e-05,0.011337835875653202,0.0031634063597068994,0.003795961103376816,0.004903681408704131,0.07901155257469979,0.009047111476836175,0.0019710785916392803,0.0017136009132550558,0.1457255244049479,0.0055122021771815246,0.09504526047272699
1805,0.005082357048306262,0.0017476893033624688,0.005491354853771969,0.0077456307996378836,0.005291150863605869,0.005747215721677369,0.005421807898885096,0.00017490147813243014,0.0048263825900609625,0.003900194807780949,0.0022987599741852967,0.00018976687651314252,0.1402325187655495,0.04774184864111404,0.001627962101507911,0.011692990154069344,0.05645004990175806,0.003496796023572591,0.01908331976782071,0.02096601480302171,0.002520129309778665,0.0009857133155885293,0.0005592596186881566,0.010414178736535655,0.0013265636075648157,0.04247499387690984,0.17637994818071,0.025600998730010694,0.00011206303347479076,0.05270428988499731,0.0013541279372965276,0.0021694608277623853,0.006862293773425511,0.12607386011291888,0.0031075969548118166,0.0022089280184914516,0.00017145785161020336,0.1018392915354817,0.02079785879198556,0.07312827352762397
1806,0.0007456607208791241,0.007585154692413278,0.0008992652130349246,0.0061898461237130265,0.0034799588267602553,0.004073912572723266,0.007910452253677605,0.00012221589442156463,0.001535644319297174,0.00022458630504731104,0.0036111496169883503,0.0008677091054502179,0.11171308785866639,0.016612489757601278,0.0001338668658784934,0.004762802869385736,0.08764733916524399,0.0013185597867722055,0.0593310707464024,0.008166530032053178,0.0046872853195423034,0.00013778214822929348,0.00024556465399282445,0.0042805368489828724,0.0002103718665466247,0.043520171739945226,0.1514749156163476,0.03974877232667962,0.004014576502625268,0.05502497804923927,0.002458918590247413,0.003134355391600146,0.000745489539194659,0.13374213557355644,0.0011303554597855434,0.00038178769440025813,0.0004425163047130536,0.11145833865762111,0.000738789405356643,0.11549105558498403
1807,0.0026096486826541502,0.0190085342105186,0.001154092550514685,0.015513072599444776,0.004810661721561656,0.0023279536951373364,0.0015609100803139157,0.0002107421676357158,0.0005430553758280305,0.0003872639068017588,0.0025645786630250906,0.0012043612790938328,0.06638098389676472,0.03515274574087401,0.00023083244305787716,0.05462305994881616,0.024434324191459633,0.00469228418292311,0.011951100131802105,0.0073132706555831,0.0005585557045348807,0.00023758373423337143,0.011606835513528384,0.0008940383255271203,0.00036275333397048365,0.01056135551064611,0.14702494077416722,0.10834233541732942,0.00026281489481445815,0.07564375402381107,0.0014379676102779,0.0026602007514069746,0.00033409516187329067,0.17876065294954754,0.0019335723526767068,0.0019811005662464035,0.0004021100967803576,0.1398938599563111,0.016032929578499205,0.044395067620007715
