,Number,Score,Rank
0,0,"0,01043",36.0
1,1,"0,07958",10.0
2,2,"0,03629",18.0
3,3,"0,05865",12.0
4,4,"0,04014",16.0
5,5,"0,02545",22.0
6,6,"0,022",23.0
7,7,"0,00663",40.0
8,8,"0,01707",29.0
9,9,"0,01218",33.0
10,10,"0,02164",24.0
11,11,"0,01399",30.0
12,12,"0,58237",2.0
13,13,"0,16128",5.0
14,14,"0,00726",39.0
15,15,"0,1057",6.0
16,16,"0,08782",8.0
17,17,"0,01998",27.0
18,18,"0,02828",20.0
19,19,"0,04841",15.0
20,20,"0,01756",28.0
21,21,"0,00747",38.0
22,22,"0,01331",31.0
23,23,"0,02811",21.0
24,24,"0,01141",34.0
25,25,"0,04961",13.0
26,26,"0,76523",1.0
27,27,"0,08064",9.0
28,28,"0,00826",37.0
29,29,"0,10271",7.0
30,30,"0,0211",25.0
31,31,"0,04873",14.0
32,32,"0,0105",35.0
33,33,"0,57957",3.0
34,34,"0,02962",19.0
35,35,"0,0207",26.0
36,36,"0,01264",32.0
37,37,"0,4667",4.0
38,38,"0,04005",17.0
39,39,"0,06969",11.0
