year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.005870309455602941,0.00033424280923316204,0.0070053233337569005,0.0314913187447012,0.0006921188991103193,0.0001958578200047781,0.09101183545332202,0.0002579197149814877,0.0006982123297786849,0.00042041156089315715,0.00016510954656778353,0.0008880245038522207,0.00013539101899263318,0.0002851439753148342,0.001615615302644085,0.00022035358961905343,0.0004166599093906308,0.0005077413082828223,0.017542318721922332,0.00015078747828570438,0.00015450269585333865,0.11366371932242274,0.12914699653087644,0.0004422139760120027,0.00036279624271547237,0.05593910540536939,0.0004455938895013645,0.0012565772094330523,0.0007072486351063843,0.0002044599356442142,0.00017588576843109529,0.20865926579886815,0.0004345088487938561,8.569972219539052e-05,0.00011212545608604195,0.0002461060413865283,0.0003856352129000967,0.00019356806570102356,0.00038203540598170965,0.00017514746931598314,0.012751212781050951,0.004254442650053482,0.01833158224762176,0.00800789205382693,0.0014233911241441051,0.00937486359278793,0.0040847007580632165,0.0001693356215862899,0.00018721906768427919,0.0014531723841402003,0.08501963178206175,0.1344436364518888,0.04526572759643845,0.0003641259389455635,0.00020060384581988827,0.0001914985585819635,0.00036335253393206886,0.00040197121772291765,8.323669249126545e-05,0.0005505159923072021
1799,9.877298142863868e-05,5.283545194733074e-05,0.00018910968163181484,0.0003189395028254476,0.000109406736137959,3.0960236545141806e-05,0.01897511040891041,4.077067428447641e-05,0.00011036995555324409,6.64565824905378e-05,2.609970139295423e-05,0.00014037452625826342,0.17865784840814694,4.5074150855727774e-05,6.32149338955338e-05,3.483240678370957e-05,6.586353995616098e-05,8.026123750275817e-05,0.00046412558165760985,2.383573959751494e-05,2.442302283546692e-05,0.0002022074030000524,0.007437581471135623,6.990300055706363e-05,5.734903764315201e-05,0.00013622379747835949,0.23023662791787994,0.00019863351711120044,0.00011179837005531953,3.2320016486423245e-05,2.7803153304871362e-05,0.3780626337042852,6.868501211382247e-05,1.3546988682695955e-05,1.7724238139029026e-05,3.8903227128380655e-05,6.095930921334594e-05,3.059828349740153e-05,6.0390269520637304e-05,2.7686446628342524e-05,0.00029071089783472563,4.664026213803239e-05,0.0006348883834203696,0.01760925425698454,1.7708502879824605e-05,0.00039899130007314126,1.980830246692857e-05,2.6767738452834105e-05,2.959466525832256e-05,2.241617732483258e-05,0.13775616201461405,0.026040465644433283,0.0002556312983752131,5.7559229453802207e-05,3.171046485811689e-05,3.027114603648019e-05,5.743697341029877e-05,6.354162414723407e-05,1.3157645115737219e-05,8.702284822377093e-05
1800,0.0003394479504620301,0.0004964222130146396,0.004421419037391248,0.046936441179050485,0.0030213244446323693,0.00010639942916637416,0.0912871137420983,0.00014011444855311232,0.0019770559071253476,0.0026426985687021134,0.002791213239888063,0.0054014668320635836,7.355094187568542e-05,0.0001549039818935435,0.00021724746422618343,0.00011970671454250224,0.0019836245676615586,0.006253450204303004,0.016233417288379664,0.0083872161412625,8.393332797771421e-05,0.0009631442956081173,0.051384556422010716,0.00024023199388169397,0.050979499183688666,0.010661779502896238,0.033468951774301516,0.006739989838830815,0.008933537739924112,0.007730707772032331,0.006158969546731713,0.3063596414245517,0.006214136995817225,4.6556229008798036e-05,6.091196421099332e-05,0.00013369669037102455,0.00020949567659857786,0.0001051555240169919,0.000305443368499516,9.514856621349616e-05,0.006465407232527935,0.0001602861548044406,0.019906989621342946,0.015164005427911546,6.0857887666885096e-05,0.008089408457578223,0.004881262442201442,0.0006284486230106335,0.00036993510821103275,7.703650674557474e-05,0.12881414748066047,0.1155008618942399,0.004704253416432742,0.0004895191807145597,0.00010897769965628505,0.00010403126777785694,0.0001973906489696688,0.008322923458210245,4.521819229148782e-05,0.0020493171655819454
1801,0.009573006081109846,0.0023952558044915383,0.02254002113328806,0.07569031361613095,0.008282098974135111,0.00021990086873269505,0.1538429174967671,0.00046906211997434916,0.002527907802117669,0.00029586909673610354,0.0073821672656025905,0.003503057526891039,0.0024174579042983355,0.0018692227139464718,0.0003523462485374148,0.00010911358050072801,0.0021171998355583046,0.00077809688628749,0.012228692125602887,0.004538069704423445,0.0010415675041195317,0.0032204657441661936,0.06345365341581552,0.0011306373923198223,0.0017488437451406648,0.0014464511980503882,0.01052603488460641,0.0034574334580231474,0.0017761814826851025,0.0006064030198860393,8.709422880660564e-05,0.2253522761189644,0.00042059911708622626,4.243635673384199e-05,0.001821207262756181,0.004589572019812393,0.007570396111026612,9.585005969611204e-05,0.00018917436787292157,0.01120229785452609,0.03509695724710018,0.0002756764717232415,0.021298012581354085,0.013455410683476823,5.547242734397515e-05,0.009074836516489004,6.205011382729953e-05,8.385076008763514e-05,0.012216536088393716,7.02193616490382e-05,0.055781244409733165,0.1850759209185031,0.0057598145932297095,0.0019611179580151152,9.933400185340733e-05,0.0017347442255405917,0.003678175252587751,0.0023883287115464345,4.121672609219304e-05,0.0008807288242271563
1802,0.001852350879097029,0.0012665065397593452,0.050306061759815716,0.11687632045037107,0.007289644588262458,0.0001659580616460455,0.1571809019110877,0.00139357782985112,0.008872682109071842,0.0009483252781148029,5.8137997308697115e-05,0.004524486199587779,0.0011125594284641792,0.0007973374876817292,0.005090967730155147,0.00014858279395656054,0.0039862239322466,0.000280214791376866,0.015489796942497466,0.0017648803461309392,0.0001667372320134854,0.004081731824273042,0.06720964129930848,0.005923495490204061,0.0011452732221511825,0.0044452762222973235,0.0007001587671233654,0.002994040907954355,0.004740112767737657,0.00042325821808043265,0.0003263416858549642,0.23018260966826265,0.0001529982657387502,3.017639089879181e-05,3.948136010106816e-05,0.0011083708778808442,0.000547071948860411,0.00011228544546655529,0.0006405491716455756,0.002491405556920815,0.060478270720068714,0.0007532985338929752,0.01873266726808034,0.016068339629711593,0.00045701712785501037,0.018040607258587346,0.00025500442343073733,0.0005198133633358855,0.00033093001971323084,0.0007368217543775297,0.022107808772431056,0.12462247692292429,0.002087162305262415,0.019862964296359833,0.0031598406789595315,0.002283999411991977,0.0014919891036858416,0.00029458640314827356,2.930911449178601e-05,0.000820559512434833
1803,0.0031017175650233514,0.00017425732890094848,0.0197372151125631,0.03863583713506812,0.12284369474211358,0.0001021103808835783,0.12075116402427469,0.0019925058541312383,0.007990065817946736,0.0010199808199511898,0.0021130995274282007,0.009322519057267466,0.001798500306916948,0.0010209036068048718,0.0025348372890359678,0.0004151810337466041,0.0005950782364665843,0.0005206609954000809,0.019109271960897744,0.0023879974216856124,0.008426820807349671,0.0030985523907123536,0.04453709940845078,0.006849467979887961,0.011067802628087518,0.008971789054019715,0.015929500433626766,0.005219120548985081,0.0003687237380072033,0.00010659508976232505,0.00017521212505656607,0.24920313617903148,0.0006329481620746391,4.4679509221407104e-05,5.8456552959750936e-05,0.0005526828287534193,0.0026931889812194148,0.001365231563575538,0.0024852105569114352,9.131304944685678e-05,0.06218469380658372,0.0007845390794323358,0.020576874200535274,0.009808198410364852,0.00021933116019465438,0.007815555754259771,0.002862029871849768,0.003145504215122419,0.0001496735883013378,0.004755161427136201,0.057545683843062724,0.09479681449042884,0.00317218278367619,0.0006226112069424593,0.002975482959994709,0.002048618426716234,0.0033565933499429823,0.0005203446497334782,4.339540986193478e-05,0.0045725815622137235
1804,0.007599575448485182,0.00029333864859334345,0.02146177667071886,0.03050741741567187,0.07220366275248942,0.0002942644116027656,0.1279225392656047,0.00011630209609451726,0.0023344781043305334,0.002263514553948087,7.44517973448707e-05,0.0014116880164617087,0.0034517741062507416,0.00012857815859566523,0.005549984171822745,0.0020046354764604586,0.0011953025794679696,0.008466898077541857,0.0119578815149756,0.0001519453696729152,0.006613860935562828,0.008745974554896025,0.03879594026397891,0.0013537977923680942,0.003243958933584793,0.03320373786846135,0.0212047313122417,0.0005666203662335494,0.0009870388726457532,0.001368231488105445,7.93110505073235e-05,0.2624985857435772,0.0018910232627732584,0.003794944810540486,5.056001852862006e-05,0.000516671491392729,0.0012136851737809054,0.00439403594222493,0.00040955697533536206,0.00021141782401225438,0.10179643661245306,0.0009914557341179693,0.026079549794393368,0.015219693703191272,0.0014607184969527762,0.023096601400130635,5.650500359409435e-05,0.0009618591345463817,0.000344944358829595,6.394420634581116e-05,0.03570304247524396,0.08212781537796006,0.008850875467971302,0.0013975645461323711,0.0002104386833813353,0.00517297167121356,0.0007816867191877568,0.0026375338544399126,3.753339216199028e-05,0.002475136050867464
1805,0.005049190997113236,0.00112269314404149,0.01510472221406936,0.013632429816613403,0.009507148273883423,0.00012119381379338014,0.08071903329202537,0.0007036040853712697,0.0017299270800066942,0.0014682908262660488,0.00010216725398943589,0.012314622530185771,0.006115815048077429,0.0037825836469531564,0.0010512931537764382,0.0004394060805965091,0.0006515480615594738,0.019995657872889462,0.05864052626701928,0.0007215503484819489,0.0024550257856809253,0.0036780426855639193,0.03307038816708415,0.0046205730275774735,0.0026976703240476356,0.048231656879254965,0.003311363289391069,0.0031520559686908436,0.006961440627389585,0.0001953694843650896,0.0003145299335159429,0.23712526406606435,0.0030146958184495247,5.302967312532728e-05,6.938151178267014e-05,0.00025404984465567657,0.0020237367805984816,0.00018558921980550808,0.004931080685768319,0.000108378566564997,0.08648863439922867,0.03261105130324568,0.026507678398900555,0.029859274050224684,6.93199161268608e-05,0.04202110975579354,7.753957942923391e-05,0.0005289706014796754,0.011252914702290251,0.001366946457302755,0.03384640797845031,0.12465945101197227,0.006497133441954607,0.0005998216136072441,0.004914233407071153,0.00011849636971307561,0.00022483697274707602,0.0007287027713979464,5.150558813693104e-05,0.008149245534838586
1806,0.005571235415155126,0.0002808977464931905,0.030015143751018495,0.010805630316733567,0.005777213552077264,0.0001645989644433393,0.07915181368483999,0.00021675579762114386,0.0005867778291432996,0.005832952665226023,0.00013875810720298775,0.015198161579487128,0.0020581717773070786,0.002309315866107918,0.0005393276840348181,0.00038442402725624584,0.00035016109956232706,0.05213580078845961,0.05096390976807737,0.001133667328121795,0.0032656984328526158,0.005651607699191656,0.031007711896121042,0.0065200815786092894,0.0003048940596471683,0.04400351325947205,0.004304535885119635,0.006194734857427534,0.002583773992311614,0.00017182818473302956,0.00014781444694612143,0.21561535920915975,0.000901052327326275,7.202206950990784e-05,9.423026335659911e-05,0.005177136784044461,0.0014212763563645355,0.0007233538181452758,0.00032106265761431467,0.0003307441272897129,0.1087976630966147,0.03449922875544922,0.028972170283950154,0.06740864906760764,9.414660742695149e-05,0.01885940510677587,0.0005473867561501486,0.0007245339727638588,0.008279151918980758,0.00011917478631230548,0.04021885184022315,0.09124861160627905,0.0029130581904944293,0.000531995006916583,0.00016858752581081206,0.00016093543997484696,0.0004794228677718918,0.0003378167191466045,6.995213868619966e-05,0.0031421086590535338
1807,0.0022248916431472595,0.0012323921655728919,0.11108798783936424,0.020031866110866388,0.0019072964677401983,0.0002814576268249642,0.20400166866611508,0.00037064371945061864,0.007242892142281599,0.004772032902197951,0.0026552336523674876,0.022817291694308173,0.00019456376517491396,0.0027509172740498113,0.00113095982710147,0.0014392387473299369,0.003188505961544938,0.0035018907420768584,0.051798777093382105,0.00021668925852529058,0.000222028214711463,0.01647576365557905,0.04249210804434104,0.003516713410976682,0.0009163972954247923,0.014492086397314603,0.002118814941094933,0.0074710346666371445,0.0017644818806846947,0.00029381930354275155,0.0030869568160576517,0.1653972250769558,0.0048319879941691206,0.0001231548499216671,0.00016112997058720572,0.0012992459590351199,0.0005541773713214679,0.0014937265492385326,0.0048522255158096545,0.00025169580186725377,0.03964538975654851,0.0024873600911154772,0.015241315148602818,0.024048882668024792,0.004673396640732696,0.015053362542749684,0.00018007607259860043,0.0025045368462128605,0.012302135883816153,0.00020378410426986798,0.01114610999372567,0.14300859141533445,0.005151199693346433,0.0039839645688652045,0.0017924144795845298,0.0002751931469346793,0.0015511871992432826,0.0011783939635884157,0.00011961535124193342,0.0007911194187712056
