receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
AbekenBernhardRudolf,7.5259748996645e-05,7.087827911844073e-05,0.00044833387641275246,0.000256781565607266,8.639998866981313e-05,9.032140380346612e-05,0.00045064492143852915,0.0020892393203703384,7.796223877513784e-05,0.046862223539438586,0.0011959403950165357,0.0002019830884586064,8.424259888866691e-05,0.12510912098225505,0.0010308892369539939,0.00013157934254614555,0.0005105824475569896,0.00022268652235013002,0.00017966321199607357,7.347616222137209e-05,0.00012386985584605763,0.0004024792500687593,6.655085671922146e-05,0.0993973127105159,6.314833999914845e-05,0.00036375830219139007,8.654965360720279e-05,6.052499599952731e-05,9.718911546469584e-05,0.03749015347445074,0.00024530352605017146,0.0008439114427856923,3.0259179488509473e-05,0.04259746619640028,4.7422285246690784e-05,0.019064356436612223,0.020624997134453333,0.0001544718406205402,0.0005799347684974623,4.162078725938354e-05,8.158027957781245e-05,6.778963121612964e-05,0.19087298774343928,0.00028027885098613645,0.0002450618331715401,0.00013936603790200947,5.9419074404731394e-05,9.328105108978127e-05,0.00014301880090472917,6.228204521222705e-05,0.00010557577908819804,0.00019015734920162857,4.6971974982568565e-05,0.0001765906627669955,0.01897702381880695,0.0006304347539413574,0.0006833785904757791,0.000692155412128396,5.773791046367401e-05,0.0002513525280004313,0.00015336717073321016,3.627714611293356e-05,9.536689193028247e-05,0.12146564764349554,6.113891597881428e-05,0.00042696526902658233,0.0005339039072774045,6.550800940534918e-05,0.04722767879356254,5.346091770841343e-05,0.0001906917909305545,6.521649949529069e-05,2.9241604889796414e-05,0.00019976818873282612,0.10550966123251232,0.00019749086579406864,0.03491197143427546,0.000854267095306958,6.298289235574675e-05,0.07237346057956412
AbekenBernhardRudolfANDTruchsessvonWetzhausenChristianFreiherrANDVoßHeinrichANDVoßAbrahamSophus,0.00016070510218789088,0.00015134917722272294,0.0009573449604039537,0.0005483157769064828,0.0001844932941356729,0.00019286684610968934,0.32971250262787605,0.03185708679600525,0.00016647583490763174,0.0002880368661874989,0.002553738564824695,0.0004313024332889174,0.00017988653488042113,0.0006320173350811077,0.0022012983351362733,0.00028096654548550866,0.0010902667827612244,0.0004755112899956526,0.0003836419231815512,0.00015689653919369353,0.0002645041753012944,0.0008594297731937565,0.00014210866196525507,0.12567661568799565,0.00013484313418333653,0.0007767474101988704,0.0001848128795631797,0.00012924140455822318,0.00020753174094429868,0.00023122948266973893,0.0005238062675800331,0.0018020372969414359,6.461361613150511e-05,0.0036969657744911656,0.0001012626709250982,0.0007973852415098103,0.03423667228031678,0.0003298497970433326,0.0012383575214667568,8.8874504085283e-05,0.00017420157974023414,0.00014475386587262207,0.19487271374386134,0.0005984904545833609,0.0005232901712699024,0.0002975937823492122,0.00012687988667817548,0.0001991866973705352,0.00030539367086128227,0.00013299330085126884,0.00022544011364815234,0.0004060504671174025,0.00010030110570628192,0.0003770809879616061,0.0006109004676985345,0.0013461921266766405,0.00145924518324294,0.0014779866757322596,0.00012329003119042643,0.0005367229393668947,0.00032749095198346964,7.746401696641226e-05,0.0002036406753586277,0.16063071805250456,0.0001305523320370126,0.000911715732571152,0.001140066012993937,0.00013988182907813396,0.0010684078445933314,0.00011415720033522837,0.00040719168156211653,0.00013925935650136755,6.244074906710296e-05,0.00042657287078687767,0.010861286163124382,0.0004217100135429057,0.0001478113110999686,0.0018241501290839734,0.00013448984732290865,0.07270069309087075
AbekenMinonaLaura,2.27805632302925e-05,2.1454325062709668e-05,0.0001357073117578182,7.772585970158625e-05,2.6152630472857088e-05,2.733961350954501e-05,0.00013640684780516954,0.047233999280691226,2.359858667707439e-05,4.0830328057462496e-05,0.0003620022143516543,6.113877045067168e-05,2.5499604719024466e-05,8.959087588658406e-05,0.0003120424630555884,3.98280830408617e-05,0.00015454948874953092,6.74055450697454e-05,5.43827107530807e-05,2.224068485104586e-05,3.749447906814208e-05,0.00012182745926352758,0.13594148408497664,0.10325141184978323,1.91145302956397e-05,0.003993573764704535,2.6197932930213344e-05,1.832046368427163e-05,2.9418418472780213e-05,3.277766405018796e-05,7.425154296021835e-05,0.11675945108724625,9.159227353594936e-06,0.00052405904628689,1.4354371121213354e-05,0.00011303240946188833,0.15630838634007255,4.675747101830958e-05,0.00017554191768285633,1.2598301063948628e-05,2.469374057240272e-05,2.051941443953121e-05,0.00043968499519114935,8.483831227351083e-05,7.417838433323144e-05,4.218505749631984e-05,1.7985709487587853e-05,2.8235476610925683e-05,4.329072154194984e-05,1.8852309341774772e-05,3.1956998836300986e-05,5.755920761024093e-05,1.4218065571675272e-05,5.3452673077904294e-05,8.659747912391014e-05,0.00019082788563877902,0.00020685358904473148,0.00020951026732607088,1.747683373434221e-05,7.608253061623881e-05,4.6423095704115476e-05,1.0980820848566524e-05,2.8866845035466705e-05,0.16257482547956692,1.8506292671119685e-05,0.0001292391940960699,0.00016160872020946202,1.982878457933309e-05,0.02345225198146704,0.023316983300864392,5.772097912504158e-05,1.974054670946403e-05,8.851215131968267e-06,6.046833686665662e-05,0.0015396288781925154,5.977900824287296e-05,2.0952819000907805e-05,0.00025858026155609434,1.9064450531196384e-05,0.22001281118834184
AhlefeldtJohannGeorgJacobvon,0.00017002083332745847,0.00016012256539774938,0.0010128402006765133,0.0005801004700350923,0.000195187975896378,0.0002040469247732379,0.0010180611296110142,0.004719843143320782,0.00017612608308345722,0.0003047337474137661,0.031685704183320285,0.00045630411309658937,0.00019031417265769093,0.0006686540285588165,0.03131283374713658,0.00029725357533908424,0.0011534672168503062,0.0005030756626952162,0.00040588082513033625,0.02914992235060905,0.00027983691675662807,0.0009092490794348989,0.00015034639722971618,0.07499395865720225,0.0001426597023380921,0.000821773796656147,0.00019552608700775081,0.00013673325242473858,0.00021956191220359774,0.0002446333613441953,0.0005541701968614501,0.0019064975457651007,6.835912929593832e-05,0.003911270975249988,0.00010713265142957408,0.0008436079589184942,0.007237368109911773,0.00034897048446310124,0.0013101424590175124,9.402636904755976e-05,0.17408788479999662,0.05812100664700887,0.003281552283333029,0.0006331836664888402,0.000553624183551785,0.00031484465756990667,0.00013423484240279685,0.00021073312429799432,0.00032309668894059054,0.00014070263812324628,0.00023850839497978262,0.00042958834444216235,0.00010611534633112923,0.0003989395665248792,0.0006463130615280816,0.001424228005709654,0.001543834506224775,0.0015636624029589366,0.00013043689066857844,0.0005678356204921938,0.00034647490219901503,8.195444038934933e-05,0.0002154452898661557,0.0829903447392125,0.0001381201715663291,0.0009645659440748088,0.001206153201974366,0.00014799047960174522,0.0011303411627775898,0.00012077464913735402,0.0004307957126479878,0.00014733192362073111,6.606030577403474e-05,0.0004513003879694871,0.18539447682458332,0.0004461556412892856,0.00015637961674084606,0.0019298922115032727,0.00014228593619379528,0.27980251279581625
ArnimLudwigAchimvon,3.3615900861583284e-05,3.1658851322920925e-05,0.011661449890235352,0.00011469535532095381,3.859185676656764e-05,4.034341592172597e-05,0.00020128734422870449,0.0009331902219448244,3.48230086407669e-05,6.0250848332864406e-05,0.0005341847972018986,9.021878982938944e-05,3.762822611446386e-05,0.13766654155194266,0.000460462210553792,5.8771895912923056e-05,0.0002280593433749751,9.946629052491828e-05,8.024928070385759e-05,3.2819234954309554e-05,5.532833751605138e-05,0.0001797734213777266,2.9725942905104717e-05,0.2325902341526453,2.820615754484591e-05,0.04600725736293832,3.865870686592115e-05,2.703440142032012e-05,4.341098281409137e-05,4.8368018562430105e-05,0.00010956851600803211,0.00037694576151063423,1.3515718447106884e-05,0.0007733222733567058,2.1181878238174112e-05,0.00016679509774209994,0.053006322743917006,6.899717510933844e-05,0.0002590366024854137,1.8590551748383547e-05,3.643906107991728e-05,3.0279260199317065e-05,0.2126809205517944,0.00012519077187951358,0.011570655369331054,6.224994071923437e-05,2.654042487659019e-05,4.166538697648538e-05,6.388150235220975e-05,2.7819213925417226e-05,4.7157012487133e-05,8.493664520656825e-05,2.098074037367817e-05,7.887688029521912e-05,0.0001277866681198388,0.0002815931818897517,0.0003052413442062687,0.0003091616438416996,2.578950767146939e-05,0.0001122703938721281,6.850375765960818e-05,1.620373391529527e-05,4.259705921619025e-05,0.10236751022431012,2.7308618029275e-05,0.00019071047068701564,0.0002384762247539421,2.9260139439317705e-05,0.00022348694406476363,2.387912441397329e-05,8.517536165746511e-05,2.9129932145680127e-05,1.3061203420341004e-05,8.922947149398686e-05,0.05957791136366384,8.821227088994958e-05,3.091880912622068e-05,0.0003815712697424966,2.813225786204705e-05,0.1240887041445681
BarthKarl,5.035144461571709e-05,4.742008567751934e-05,0.00029995128403302,0.23192771987104915,5.780466055634354e-05,6.0428226533505724e-05,0.00030149745522241653,0.0013977752959725533,5.215950624521297e-05,9.024649570968862e-05,0.0008001265931149778,0.00013513385876809636,5.6361290182031776e-05,0.00019802100499773288,0.0006897015072657472,0.16317553324589512,0.0003415977886276115,0.0001489851912378696,0.00012020106881708328,4.915816172639358e-05,8.287333228373735e-05,0.0002692729106725548,4.452488642203396e-05,0.15096265258223482,4.224848191007572e-05,0.00024336722152918104,5.790479171418499e-05,4.0493371617178185e-05,6.502296951308353e-05,7.244784597164805e-05,0.000164116769862014,0.000564606723228481,2.024446560671692e-05,0.04407608140169602,3.1727192835255586e-05,0.00024983337976618815,0.0021433369806388718,0.00010334714680007422,0.0003879969540960125,2.78457846656759e-05,5.458010402187306e-05,4.535367055038944e-05,0.0009718273626479047,0.04310528018667858,0.00016395506874349226,9.324082836162241e-05,3.975347079805407e-05,6.240833566761401e-05,9.568465652312716e-05,4.166889993476908e-05,7.063394529468289e-05,0.00012722201926323467,3.142591927766175e-05,0.00011814542427402363,0.00019140475719977592,0.00042178323765491935,0.0004572045443765953,0.000463076549734512,3.862871242194169e-05,0.00016816376697188274,0.00010260808341769395,2.4270698981511075e-05,6.380383725987127e-05,0.02457748068277975,4.0904105884135776e-05,0.0002856549268744582,0.00035720067334521136,4.382718453666853e-05,0.00033474903834193457,3.576725238906374e-05,0.00012757957975836123,4.3632154055077395e-05,1.9563672065248354e-05,0.00013365201219859793,0.3124109108712495,0.00013212840228291696,4.631161638990819e-05,0.0005715350225031354,4.213779156145508e-05,0.014194721704417287
BentzelSternauChristianErnstGrafvon,8.320399507978701e-05,7.836002731416779e-05,0.0004956589696945631,0.00028388683733610926,9.552017284162424e-05,9.985552354151576e-05,0.0004982139633202059,0.10159791214466528,8.619175346631733e-05,0.0001491291668452562,0.0013221811136668858,0.0002233039589204484,9.313505395498437e-05,0.00032722276096092096,0.0011397075348092008,0.21290576325136945,0.0005644783569003293,0.0002461927996967021,0.00019862804761156504,8.123213698495341e-05,0.00013694527305437539,0.0004449640344127413,7.357581215516091e-05,0.10762028870280806,6.981413359244782e-05,0.0004021557922962689,9.568563606572748e-05,6.691387543125205e-05,0.00010744817505694705,0.00011971752281928689,0.0002711972023111948,0.0009329927945474133,3.3453268909953055e-05,0.0019140793784584754,5.2428072654265864e-05,0.0004128408918449148,0.003541789137381286,0.00017077753298818508,0.0006411513493994159,4.601418187696837e-05,9.01917063383051e-05,7.494534884004024e-05,0.029973949902053917,0.00030986444213969484,0.00027092999688794307,0.00015407719646268206,6.56912152954053e-05,0.00010312758439119317,0.00015811553673032583,6.885639471941668e-05,0.00011672011561174231,0.00021022992181468696,5.193022867391891e-05,0.00019523116714960639,0.00031628964368038865,0.0006969819972081202,0.0007555144634100926,0.0007652177461785889,6.383259155369856e-05,0.0002778847230007665,0.00016955625668716668,4.010647825604356e-05,0.00010543360179550338,0.02642940460410305,6.759259939216046e-05,0.00047203474123879113,0.014774281222688031,7.242288427632536e-05,0.0005531610374188088,5.910412927592974e-05,0.00021082077798384544,7.210060325033767e-05,3.2328281475987374e-05,0.00022085525947163336,0.16164757459849016,0.00021833754755898918,7.652832071952315e-05,0.0009444415659413463,6.963122167617011e-05,0.3213206920091152
BergnerCaroline,0.00011850132163909253,0.00011160241514244419,0.0007059305618047852,0.00040431911217738537,0.00013604234645310734,0.00014221686712622482,0.0007095694510327339,0.12449716844400735,0.00012275656583983808,0.00021239368793713985,0.001883085172358941,0.0003180353808004011,0.00013264539730346435,0.0004660392762039624,0.0016232014944404047,0.0002071801487514424,0.0008039449459753468,0.0003506342707956693,0.000282891297875685,0.00011569294939568702,0.00019504106543932355,0.0006337294995175306,0.00010478860988219866,0.03206812363263286,9.943112817912076e-05,0.0005727608733958673,0.00013627800353568012,9.530050410431892e-05,0.00015303052142805106,0.00017050484972313702,0.0003862461996912951,0.001328792915864177,4.7645026842472495e-05,0.0027260822734768465,7.466944218920282e-05,0.0005879788736510908,0.005044309390963662,0.0002432258612817497,0.0009131446416925213,6.553460998277211e-05,0.00012845340409105546,0.00010673914010656824,0.3255072510845557,0.0004413171012678247,0.0003858656386884959,0.00021944080206443703,9.355915933025684e-05,0.00014687702238437664,0.00022519231265578858,9.806709124639302e-05,0.00016623586341732368,0.0002994149927444478,7.396039967766706e-05,0.00027805337123759373,0.0004504680425614443,0.00099266012105086,0.0010760236013390113,0.0010898432722719032,0.04049342091971909,0.00039577074282703137,0.00024148648740170454,5.712070285895767e-05,0.00015016131311911202,0.239653998574536,9.626716064909946e-05,0.0006722843133039973,0.0008406660862431045,0.00010314657962553183,0.0007878265214371263,8.417765789742636e-05,0.00030025650566551304,0.00010268757849845708,4.6042790103425676e-05,0.00031454787853920285,0.00800893529519568,0.00031096208690902053,0.00010899365035762484,0.0013450985576788992,9.917062020950146e-05,0.1950170865259984
BertuchFriedrichJohannJustin,0.00014366600007072384,0.00013530205705704159,0.0008558404137554819,0.0004901794241213669,0.00016493199809769843,0.00017241772631735862,0.0008602520494473777,0.003988222925929034,0.00014882487851350729,0.0002574971415013503,0.013876797528757418,0.11982058940681047,0.00016081368034374805,0.0005650063456000395,0.0019679009718162,0.0002511764666712221,0.0009746689156524137,0.00042509418862304746,0.00034296546788224123,0.00014026124811235732,0.00023645955448952649,0.0007683068936546804,0.00012704128719000414,0.06388308894028329,0.00012054610252803509,0.0006943911050073303,0.00016521769879684065,0.00011553830826536883,0.0001855277443171785,0.0002067128823000572,0.00046826858793328933,0.0016109724389904458,5.77628193090312e-05,0.055442690157136876,9.052607969644808e-05,0.0007128407661208309,0.029303156883226707,0.0002948767669488864,0.0011070580171040143,7.94513947371355e-05,0.00015573148472921636,0.0001294060276964913,0.04379615324717904,0.0005350342243021794,0.0004678072118380794,0.0002660407651901572,0.00011342717536850984,0.0059749797799719985,0.0002730136538431668,0.00011889240173075146,0.00020153734350918375,0.00036299809802804007,8.966646648620321e-05,0.19647631312739644,0.0005461284392387886,0.0012034592276990378,0.001304525592186085,0.001321279977856728,0.00011021794198552824,0.0004798157419724633,0.0002927680234807364,6.925072891564798e-05,0.0001820492372810259,0.031399580213567944,0.00011671024185488415,0.0008150491223788706,0.041597574022975474,0.0001250505590216813,0.009393545326140219,0.00010205343905173368,0.0003640183127708383,0.008562911793423472,5.582033512167105e-05,0.00038134456996259696,0.32449432717819554,0.0003769973075568297,0.00013213930075545516,0.0016307407108181774,0.0001202302736624657,0.024448568111740617
BodeAugustTheodorHeinrich,0.006156538199180634,7.304911163258149e-05,0.0016756463101000607,0.005056228233492823,8.904621409964337e-05,0.0005740821361153139,0.000464447099763943,0.03666577499070105,8.035003606527043e-05,0.00013902181418182534,0.0012325691947950672,0.00020816934835636444,8.682274861884929e-05,0.008761009079755232,0.0010624629137121141,0.0001356093037492262,0.0005262203692460038,0.0002295068790121588,0.000185165867351804,7.572656169421898e-05,0.0001276636938728416,0.0033300348527807023,6.858915061414787e-05,0.2586830339164481,0.0009663786479294799,0.2934526601560566,8.920046291683872e-05,0.0016321727071813338,0.008982302477079132,0.00011160356866313948,0.0002528165875523171,0.007017713843584427,3.11859459323605e-05,0.013640808541731789,0.0024599275572352,0.00038486025884042874,0.02215531184200358,0.009016580156099309,0.0005976967862438476,4.289553263089325e-05,8.407888882203906e-05,6.986586581713731e-05,0.0054765964048946675,0.0002888631232104943,0.00025256749219769583,0.00014363448699822835,6.12389388298029e-05,9.6138027037526e-05,0.00014739912541315302,6.418959559967303e-05,0.005290055716282272,0.00019598141493211711,4.841061446159955e-05,0.00018199921327352887,0.008202855859272917,0.0006497434657064001,0.0022741028206032417,0.0012964359279535249,0.0006425877324671833,0.00025905085599430103,0.005623971874342906,3.73882285105549e-05,9.828775220439913e-05,0.13312920827626948,6.301145504630977e-05,0.00044004219611820823,0.001031250512909287,6.751436337616351e-05,0.013637468401421774,5.509829801505568e-05,0.00019653222533557208,6.721392521334806e-05,3.0137205452478702e-05,0.00020588661153859937,0.10189116466367258,0.00020353953963383786,0.005932034621337129,0.0019709125589132902,6.491190801838732e-05,0.023007746715882602
