year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0.00012553885149361573,0.00011823023428857885,0.07170562396528107,0.0004283307247344895,0.00014412159874667243,0.00015066281046570732,0.0007517092021041106,0.0222597318678836,0.00013004680518052415,0.00022500727653763027,0.032962191309835576,0.0003369227945120733,0.00014052291234444657,0.0004937163119897288,0.008255451345016025,0.00021948411685859503,0.024380062419572714,0.00037145766005928295,0.0002996915826897928,0.0001225636962706433,0.00020662412039518016,0.000671365284594508,0.00011101177229304452,0.1556535870853656,0.00010533612167075994,0.0006067758674083599,0.00014437125097909752,0.00010096018902182453,0.0001621186636386767,0.00018063075341492939,0.00040918450218383785,0.0014077069708850465,5.047455898764686e-05,0.028297606039733622,7.910389423883931e-05,0.0006228976308422629,0.03338447148478748,0.00025767050406282863,0.0009673742704301723,6.942656467052596e-05,0.00013608196598135356,0.00011307814016796754,0.022622733799621042,0.024709619363248333,0.010508642871526882,0.00023247290309477304,9.911542965571425e-05,0.00015559972197688924,0.000238565983104384,0.0001038910776192595,0.00017610824150990625,0.00461816771826868,0.002228838310886602,0.0002945663423519163,0.000477220337423521,0.0417007782704558,0.0037542668591478527,0.0011545666395666914,9.631112332800865e-05,0.0025697602543631386,0.00025582783263774616,6.0512974321596364e-05,0.00015907905943158467,0.14613186360144834,0.0001019842531482157,0.0007122097829963432,0.0008905913748203866,0.00010927222551256613,0.057042936901358726,8.917678172442635e-05,0.00031808807153674783,0.00010878596532972415,4.877716897326868e-05,0.0003332281772504563,0.15455711914200948,0.000329429433432902,0.00011546654076707834,0.0014249809684909194,0.00010506014271239405,0.1340054592333293
1799,2.0123499202476015e-05,1.895194991118557e-05,0.00011987877351062119,6.866012310164252e-05,2.3102257531691078e-05,2.415079403847854e-05,0.0001204967175424991,0.0005586360087266339,2.084611058010133e-05,3.6067987687354076e-05,0.00031977924330304336,5.400770762192691e-05,2.252539895696661e-05,7.914123550094743e-05,0.0002756466639107394,3.518264185159211e-05,0.000136523249322415,5.954354239362091e-05,4.803965667595358e-05,1.964659079488419e-05,3.3121223211096304e-05,0.0035381274799541765,1.7794852228022323e-05,0.2044152614999116,1.6885062554051276e-05,9.726434118679816e-05,2.314227603146489e-05,1.6183613750567368e-05,2.598713274515896e-05,2.8954564893982873e-05,6.559104138196422e-05,0.0002256511810398853,8.090919547602322e-06,0.0004629341993608455,1.268011562706533e-05,9.984861123343908e-05,0.1517990323977065,4.13038045299755e-05,0.00015506717743460786,1.1128868889238077e-05,2.1813528651219188e-05,1.8126084765107865e-05,0.02440196886234529,7.494299820933293e-05,0.1510079510170347,3.726470510416338e-05,1.588790438895537e-05,2.4942166061369933e-05,3.8241407449733785e-05,1.6653426351617237e-05,2.8229619877909087e-05,5.0845655426973524e-05,1.2559708392630706e-05,4.721809611024298e-05,7.649698053861789e-05,0.00016857023093071473,0.00018272673911045835,0.0001850735495354384,1.5438382543903673e-05,6.720846753000059e-05,4.100842985901192e-05,9.700047244434315e-06,2.549989335982517e-05,0.026975204118180864,1.6347768140905766e-05,0.00011416507981078191,0.0001427591108864134,1.751600812650999e-05,0.00013378607222722675,0.23671946062107066,5.0988558344524966e-05,1.7438062086019778e-05,7.818833048528629e-06,0.003483925121648297,0.1900380814311393,5.280654444489851e-05,1.850893817645872e-05,0.00022842015074854194,1.6840823959524553e-05,0.0022425643417561835
1800,6.845461868713385e-05,0.0017562057496832357,0.0005534495703440388,0.0005145192494478351,0.0008874712942551794,8.215436988673112e-05,0.007081686990081807,0.007699774812134546,7.091274417597718e-05,0.019135640020351972,0.05142346264093687,0.008629651877396316,0.006481600688522295,0.0002692167522226666,0.01352073232124775,0.0011134491959028927,0.010358803673385531,0.0003911751065881594,0.0001634177210695345,0.001327003213954774,0.0009929903326400173,0.001374266896940453,6.053320109025971e-05,0.09669457916236117,5.74383464334952e-05,0.0013770216071312435,0.00436349117483647,0.006166938924404277,8.840108993682881e-05,0.0012591922310003468,0.00022312271250230279,0.008600913028297635,2.7523086660358086e-05,0.011668443045378611,4.31342716008716e-05,0.0006330979004909324,0.055508363553900646,0.0001405042016290831,0.006157125918431705,3.7857356146994735e-05,0.01271904486423292,0.005008653049625607,0.010720674177993939,0.011720294082179913,0.06547805240628991,0.00012676429445631021,5.404628815995183e-05,0.0008377044874341833,0.000721612630628118,5.665038367651075e-05,0.0009613483085038248,0.0005871557858740751,4.272467925127764e-05,0.0012194194793920868,0.000637470373102277,0.0025056356510189614,0.0008891416314759121,0.00937400608702427,0.001910078767642724,0.0031552133172966916,0.01268063039678737,3.299689724355859e-05,0.007154084006626825,0.12287931777741173,5.561061837265787e-05,0.004757317367146129,0.002664799155347987,5.9584650023165296e-05,0.008341881736928753,0.0003419016565695254,0.006251975551390886,5.931949899618716e-05,2.6597523101227427e-05,0.00018170476739345256,0.2280629806891301,0.0004574463968096255,6.296232540995256e-05,0.0026280723129143493,5.728785888214485e-05,0.147514117416166
1801,6.254387050310836e-05,0.0005601379114538675,0.0016879853810559601,0.000975919852039164,7.180185656845226e-05,7.50607098542778e-05,0.0028782039626954986,0.022946106481324443,6.478974792092389e-05,0.0026929654368017283,0.059325843279546674,0.00016785604917359103,7.000897911542282e-05,0.010435279505552947,0.032029386942000374,0.0001093477120347176,0.007785168427039771,0.0013108673810107738,0.0002135702641526049,0.005868533837293712,0.0005400235096769155,0.0025672693065833677,5.530643165848799e-05,0.10601196423796387,5.2478803770247274e-05,0.0027513478431496216,0.0005904543718683432,0.0068482363940150165,8.076805374685158e-05,0.00018656187753779378,0.001623999014532186,0.026500148358180608,2.5146592018849494e-05,0.009879019932241434,0.0006669065080080689,0.009558970587702068,0.04054405030719279,0.00012837229627989525,0.008209360354206625,0.0033762097444676093,6.779648496767553e-05,5.6335902959550035e-05,0.016751509883843496,0.003759247977647988,0.025894529673350385,0.0027594843100801777,4.9379634459713e-05,7.752029547711081e-05,0.00011885436083096657,0.003329053155314447,0.0011858569091977127,0.0009676982379838951,0.0007563268045890761,0.0026017655148091816,0.0007946896152620235,0.0011838659097281885,0.005425698128902928,0.006477328216975561,4.7982519783863136e-05,0.018709609224461788,0.012225238709709678,3.0147763697840696e-05,0.001814352760620095,0.19851964362981056,0.0019123406271879598,0.0012326429092179513,0.005091535325679482,5.443978370625725e-05,0.0032428423919326327,4.442816723028666e-05,0.001033112026376839,5.4197527276915675e-05,2.430094670674516e-05,0.0009184867603327781,0.09478436065602025,0.001709892244474736,0.0005132030753473636,0.001561974349723776,5.23413101415558e-05,0.21463801416224199
1802,0.002771943744465312,0.000266090292637638,0.0035623734782485985,0.001455453835365338,0.001458903954614545,5.362195000848061e-05,0.0029349118478905795,0.023815532576020412,0.001368688066349707,8.008166644940816e-05,0.1040903885703652,0.0015905956137860497,0.0002852779126150069,0.0004462905701201253,0.03110364512155214,7.811593521631469e-05,0.0008261046161210611,0.0022961222438336506,0.00010666233435630908,0.00021662019723168316,0.0035873768033193158,0.006863447299857535,3.950986766973503e-05,0.11862443395624075,6.694310556401357e-05,0.003751512425016266,0.00019407435864908878,0.0001568213097873807,0.0017201922728910372,0.00011645770785876992,0.0010266409844262,0.039745875997374655,1.7964249242196014e-05,0.014066791451733104,0.0009238210952729041,0.00022169363174747952,0.024715129448292152,0.000505610593860885,0.003617911786526062,0.000647210053764608,4.8432525281803236e-05,0.00021769488097693018,0.007768646147044267,0.020473484231359047,0.012712868559782415,0.03217210161719519,0.0009078705100327894,0.004084143664166727,8.490730512862036e-05,3.697556253734629e-05,0.00036874180794633295,0.0006858822823694215,0.002875227150572392,0.0005344455908738344,0.0011604748415672311,0.0033256260121764824,0.0033610421055316965,0.007287934788130857,0.00013223903369079105,0.013797240243553612,0.0014195594457262154,2.1536991603350394e-05,5.6617351991970913e-05,0.24094619705549983,0.0009774253893485812,0.0007665339510333891,0.004886734983427485,0.0001887694978654203,0.0056335113302562806,0.0011971125221483607,0.0003372210974102173,0.0007223508749588189,1.7360136241684868e-05,0.0011528449562896647,0.06253455513666997,0.00011724624382260445,4.109535098625903e-05,0.005669209183648994,3.739164099617066e-05,0.16182390507381528
1803,0.0013955843319051417,0.001066561847530595,0.0016978825973572422,0.00371455316005741,0.0013313388806629686,0.0004231150881032695,0.005184045592563201,0.025913307394678696,0.001007995121592604,0.00786579289770087,0.04323491602601931,0.000490256605360379,7.36637107917857e-05,0.0026691883994206106,0.020137790634017577,0.0004394491328671337,0.004647383024329087,0.0077300174018891735,0.00036134509655188016,0.0009220797978880133,0.00010831471674945813,0.007560251993157289,5.819363513213992e-05,0.17470603910733742,0.00025237694366607325,0.09790915337266336,7.568105372527771e-05,0.00039631691275870403,0.0068461671759899485,9.46886977907526e-05,0.00021449917544739996,0.044537549047796644,0.0015811566794939154,0.012273567279465637,0.0005688849709967333,0.0011366097335570964,0.04646018438793546,0.0023832370929201254,0.0034251941950793224,3.639419576375543e-05,0.0010766116601773437,5.927684870200001e-05,0.007646315524860688,0.0002450824225803212,0.018230362694345845,0.004278233615145873,0.003511952191364936,0.0011632659703198476,0.00018645344419514803,5.446088590046605e-05,0.0017270424337548123,0.0023064170328234834,0.0012212795922094016,0.0001544150309012809,0.0023307634635504003,0.0018870950990395113,0.003037406002174635,0.0034995937283421193,0.0024928434216765754,0.0020219722291713684,0.0023329525326467823,3.1721590203385734e-05,8.339105439455868e-05,0.15651609310153897,0.0035649057573250843,0.0011195756797632425,0.01015929395036584,5.7281744901514416e-05,0.005782211002066688,0.00011573146041486329,0.0013240991753193827,5.702684177660172e-05,2.5569547403640363e-05,0.0013759446848097545,0.12486853301361239,0.0009137863867645003,0.0014651027008404723,0.004106363247355863,0.00022398921552969404,0.0978148569130174
1804,0.000979050951902597,0.004692696091262909,0.006490550952231536,0.0005190024944117426,0.0038984407625031283,0.002309660223466729,0.004394362935360582,0.021552484721278957,0.00046256888594737585,0.0003034555341115801,0.039019311057412936,0.0023272084496105596,0.00390542755561224,0.002025118333521747,0.021524286793951724,0.0012415656558572932,0.0036359956023044107,0.0038803349293296185,0.0006280066343397974,0.0020167617285238473,0.0019399577230556448,0.0026280728228404784,0.00033103886446686856,0.1561081953293766,4.793509439380431e-05,0.06764102954861213,0.0008660070812090243,0.0013869215547421773,0.0013802106457442536,0.0015931642227576693,0.0007954018702718704,0.0920714512123819,2.29693547776605e-05,0.011439782557734215,3.5997648072786904e-05,0.007857556747519548,0.033049473331627825,0.0024384289240955187,0.007848601148433079,3.159380541198554e-05,6.192654315676584e-05,5.145823898633249e-05,0.00751962109975407,0.0013853407769483573,0.007633207326671014,0.008271774951783575,0.0031308348530638313,0.00032121343814461064,0.0008163459524612415,4.727750113981702e-05,8.014121885643316e-05,0.0014140903881056787,3.565582333095696e-05,0.00047776142397454123,0.00030097880013650895,0.0075224280025822255,0.003735895270636082,0.008468829299013918,4.382810677548386e-05,0.0052281393669708085,0.003606947130889504,2.7537516002554494e-05,0.0004825983848297572,0.184276027727655,4.6409766410627035e-05,0.004037531782760402,0.0022529167492459008,0.001396334270758975,0.019435575762967217,0.001306191751712397,0.008902530520236825,4.950500772280648e-05,2.219692696019601e-05,0.0002571089893423445,0.09895928379306687,0.0018400902715818685,0.00020541311177404856,0.005574300697846491,4.780950521119401e-05,0.09540686217006639
1805,7.806939587775153e-05,0.0003071359109230505,0.0019563566120365827,0.004826750276838204,0.0002877313522404761,0.00034113802871485086,0.00252333385563376,0.013145199139579705,8.08727767976393e-05,0.00040977300133695935,0.03048743566657835,0.0008931749846561402,8.738759948167189e-05,0.0329230437578181,0.026357457758782322,0.0001364915498592381,0.0030478349124384335,0.0007145770282989457,0.0013932219439764012,0.0002955267396913707,0.001673616408136928,0.0006111347271366261,0.0024753294289707544,0.10744912042473417,6.550583572416837e-05,0.009606808740161572,8.978078269759039e-05,0.0008926178264407098,0.0003279747885175441,0.00027755876963541027,0.0011179819149733847,0.07299458858229477,3.138883525282147e-05,0.04314124295712865,0.0004424364728684425,0.0028902341236462063,0.050821645072528294,0.00016023868585992093,0.0008910883627686947,0.003720165473826063,8.462588869997175e-05,0.0011847930793840934,0.0318866663521677,0.0018801250586474572,0.006139287329191032,0.0006366160800683358,0.0008787464293175157,9.676348117697735e-05,0.003961131610982043,0.0001443799148685454,0.004187312337929991,0.00026513765209232554,0.001977223965082549,0.0015613656314432166,0.0011053862694596895,0.0012637577544334022,0.004601191280667463,0.026097528837893753,0.0006642495170017124,0.004042887022064338,0.0030040018604857886,3.763146859992716e-05,9.892719201160071e-05,0.16163943142391626,0.01025549893567367,0.004640883370815261,0.014307377351487245,0.00027351158869790845,0.04418825425482319,0.007431385302238436,0.01649850891941134,0.0011764062695307144,3.0333271884072855e-05,0.0015369026074868234,0.0911104191006375,0.0027687717194611215,0.0017867212804131656,0.004228462917917271,0.0001523012111499202,0.12220212395592404
1806,0.00010584286580795787,0.0007857775392318588,0.002402744857059808,0.007029150391759497,0.00012151013693914631,0.002774240168567793,0.00994379599115632,0.014840741479460197,0.00010964355962883612,0.00018970553492436246,0.004789657893310515,0.009934478370546758,0.00030157385910690185,0.05334678482374668,0.05310667926793855,0.001117396015270781,0.0020237135583955628,0.000538477287392373,0.0008061430253245319,0.0005212965016341536,0.001106553643656148,0.0012984249610407859,0.0006395770495231236,0.11550998827129082,8.880977369221795e-05,0.0028153802063635705,0.00012172062084449388,8.512038792330731e-05,0.00013668361432593273,0.00015229131354176022,0.00034498690915252234,0.09982608843210858,4.255552691524382e-05,0.03207819587890128,6.66931612261416e-05,0.005429112770300372,0.02579858951441663,0.00021724417787570555,0.001628566140584476,5.8534122946820855e-05,0.00011473185466397206,0.0008041643928864923,0.04914438124702234,0.00039417506979802356,0.004137730693833843,0.005286108587113074,8.356505572365662e-05,0.00035648563698127195,0.0033074161722253547,8.759144484971354e-05,0.0023827645207181477,0.0009998223379763362,6.60598595012108e-05,0.0030926405902577843,0.0017372616829870006,0.002074889646815255,0.0031136567061767133,0.005534317350803903,8.120072137778411e-05,0.000572285507391147,0.0002156906060367671,0.00046755012697946016,0.00013412089835097493,0.13942636182056684,8.598378503598422e-05,0.000600470082304603,0.02066033637995508,0.0003125110035448202,0.04360174428648058,7.518569772580731e-05,0.03771292141602648,9.171836601331901e-05,4.1124443060499985e-05,0.0018818396275707984,0.0898500557300738,0.002192315514799775,9.735081557871738e-05,0.006635410244702349,0.00043588602711066974,0.11987570444514715
1807,0.0007825364052469542,0.0001688095225792568,0.0018932426645239901,0.0031596891026792165,0.0002057772990485837,0.00021511686294291648,0.00911388975614201,0.052972869394830986,0.00018568126188347239,0.00032126613939092394,0.009119740374540136,0.010479303216309624,0.00020063908260904386,0.009843248138102782,0.1387168922187897,0.0004837502928488184,0.0042900526536954415,0.004687950951328304,0.0007377584645902857,0.0007928249587842802,0.0014525622095941271,0.006278577765139257,0.00015850297848285914,0.12312758062397568,0.0001503992656073864,0.0026237409978698842,0.01061062175239974,0.00014415129438622866,0.00023147356828570395,0.0002579051917691351,0.001696200861257674,0.03413575051390045,7.206774355454609e-05,0.054860294068598034,0.00011294480384793117,0.0014313181177835204,0.0369026893191348,0.0003679028045181201,0.0073415811055622116,9.91274804357005e-05,0.0001942982845901209,0.00016145334542188986,0.02332498545218342,0.0031588166327941106,0.0005836593604502746,0.000331925585872187,0.005869562568670925,0.0009653435158720211,0.00034062530581817894,0.00014833602689431425,0.00025144793419758585,0.0004528943384760062,0.00011187230799102722,0.00042058280540131223,0.0024917125552456946,0.0015014951146369348,0.0028090235004892988,0.0039632701874488625,0.00013751334289323675,0.0005986417951815468,0.0003652718321157533,8.640062642645295e-05,0.00022713361126780026,0.15499628644754498,0.00014561345655910143,0.002386651567324626,0.022323731297663078,0.00015601924779177307,0.011931377003362758,0.00012732690617284196,0.00045416720872946796,0.0044226111908273755,6.96442044346066e-05,0.0025493833214283402,0.04480373471268518,0.00047036044304561887,0.0001648635117578526,0.00609090195524149,0.00015000522193079217,0.16983462504619157
