,segmentID,idno,filename,id,corpus,sender,receiver,date,year,month,year_range,sender_norm,receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,ub0505,ub0505,OsmundEmanuel_SchwendlerAuguste_1808-07-17.xml,JP-UB0505,letters-context,Osmund Emanuel,Schwendler Auguste Sophie Henriette,1808-07-17,1808,7,1804,OsmundEmanuel,SchwendlerAugusteSophieHenriette,3.1622525286906125e-05,2.978152602947426e-05,0.00018838023688427292,0.00010789408229343283,3.6303414015124695e-05,3.7951108179370785e-05,0.00018935128821969609,0.0008778533561380175,3.275805327493868e-05,5.667805788721063e-05,0.0005025083911019795,8.486894266142734e-05,3.539692530346223e-05,0.00012436434119557965,0.00043315745000731097,5.52868052627369e-05,0.0002145357455236941,9.356807959038095e-05,7.549061138545498e-05,3.0873100545867294e-05,5.2047445028709744e-05,0.0325137994090833,2.7963236358423993e-05,0.07324687251703604,2.653357212948235e-05,0.00554362445225076,3.636629999774176e-05,2.543129949277757e-05,4.083677267554256e-05,4.5499863185756426e-05,0.0001030712573308554,0.15129646280125414,1.2714255379446965e-05,0.0007274653517346903,1.992582269232928e-05,0.00015690438336904086,0.0013460930145280693,6.490573980462949e-05,0.0002436760967988956,1.7488158213621853e-05,3.427827608058127e-05,2.848374271641092e-05,0.0006103426740659562,0.00011776713543237041,0.00010296970318978954,5.855860691069641e-05,2.496661506234811e-05,3.919468821251701e-05,6.009341923681415e-05,2.6169573721693905e-05,4.436066806507937e-05,7.990002177508727e-05,1.9736612019904732e-05,7.419959238808737e-05,0.00012020909868184204,0.0056556761525462474,0.11888432405651275,0.00029082879380151614,2.4260226189859416e-05,0.00010561291764307836,6.444158131471299e-05,1.5242875316315094e-05,4.007111360062389e-05,0.3011469409376391,2.5689255443042608e-05,0.0001794016083820007,0.00022433492050857558,2.7525054382095874e-05,0.00021023448305256884,2.2463125968847907e-05,8.012458267666682e-05,2.740256819758017e-05,1.2286692453605271e-05,8.393828950990579e-05,0.012918776734629102,8.298140746900874e-05,2.9085367292723718e-05,0.000358944630871947,2.6464054593789246e-05,0.28923541235331457
1,ub0625,ub0625,EndeHenriette_RichterCaroline_1820-02-07.xml,JP-UB0625,letters-context,Ende Henriette Freifrau von,Richter Caroline,1820-02-07,1820,2,1819,EndeHenrietteFreifrauvon,RichterCaroline,1.678399508948626e-05,1.5806864951518474e-05,9.998483492812905e-05,0.037253060523560096,1.9268427079533013e-05,2.01429584621716e-05,0.005822930166247685,0.00046593010156625116,1.7386688770721267e-05,3.0082488246264678e-05,0.000266711728179835,4.504510325964075e-05,1.878729845532673e-05,6.600771042147286e-05,0.00022990297099730424,2.934406596640107e-05,0.00011386715218723903,4.966226365950239e-05,4.00674531619532e-05,1.638622985538765e-05,2.7624740714299794e-05,8.975860067079559e-05,0.002876056755865066,0.038876564647896864,1.4082978518864904e-05,8.112327823485458e-05,1.930180449053565e-05,1.3497935472685776e-05,2.1674555900839988e-05,2.4149541295433595e-05,5.470617735973691e-05,0.0001882042619130679,6.748227661105629e-06,0.003247325019959769,1.0575844502858451e-05,8.327868745749071e-05,0.0693836125563,3.4449418832829606e-05,0.0001293337067483134,9.282027887353e-06,1.8193563360063294e-05,1.5118052513041541e-05,0.00032394593257448125,6.250617257370701e-05,5.465227640813668e-05,3.1080609847539615e-05,1.3251299218062615e-05,2.080300192740212e-05,0.03150525987262138,1.388978245265979e-05,2.354490124414308e-05,4.2407795106679616e-05,1.047541890534404e-05,3.938223095671637e-05,6.380227080798714e-05,0.0001405959221956071,0.00015240315121588873,0.00015436050735223968,1.287637573363023e-05,5.6055190881346975e-05,3.4203061726785085e-05,8.090319863373387e-06,2.1268174119591904e-05,0.2800080034594737,1.3634848365102534e-05,9.521933137250826e-05,0.00011906816960552127,1.4609218378211898e-05,0.0001115842109123419,1.1922545480950782e-05,4.25269832181668e-05,1.4544207519629624e-05,6.5212940439240564e-06,4.455114909932516e-05,0.09269322859884714,4.404327367413627e-05,1.543737122155498e-05,0.3349526649400614,1.4046081339809146e-05,0.09915171864105216
2,ub0793,ub0793,RichterCaroline_RichterMax_1821-08-19.xml,JP-UB0793,letters-context,Richter Caroline,Richter Max,1821-08-19,1821,8,1819,RichterCaroline,RichterMax,3.079254592176586e-05,2.899986637887431e-05,0.04217777293933254,0.00010506224450970674,3.535057788823973e-05,3.695502591246448e-05,0.00018438148708714244,0.0008548128125823335,3.189827031915993e-05,5.519045947197311e-05,0.0004893193243958753,8.26414332986813e-05,3.446788129686452e-05,0.015868976598754983,0.000421788600046688,5.383572230474177e-05,0.0002089049415238827,9.111224867266566e-05,7.350925002537114e-05,3.0062790927692028e-05,5.068138381158145e-05,0.00016467449008968448,2.722930037609933e-05,0.013582187962573437,2.5837159773064706e-05,0.00014883180417132796,3.5411813336389514e-05,2.4763817891728855e-05,3.976495192903e-05,4.4305652817727424e-05,0.00010036600163266188,0.00034528658681867984,1.2380551176119662e-05,0.0007083719610166409,1.9402840371403608e-05,0.0001527861986473962,0.011809347091440476,6.32021938598244e-05,0.0002372804617164328,1.702915595747932e-05,3.337859265677691e-05,2.7736145284450787e-05,0.0005943233390968722,0.06310618169032832,0.00010026711292836187,5.70216507395407e-05,2.4311329782910637e-05,3.816596637122354e-05,5.851617967435799e-05,2.5482715035157685e-05,4.319635753694145e-05,7.780292899878587e-05,1.921859580944468e-05,7.225211570729772e-05,0.00011705403530525112,0.2627225488996769,0.0002796045284460772,0.00028319556731331284,2.3623481118157118e-05,0.00010284095235755107,6.275021788744216e-05,1.4842803789352454e-05,3.901938869488146e-05,0.419225910657556,2.5015003411299563e-05,0.00017469295112964363,0.0002184469228482624,2.680261912576413e-05,0.00020471657196888908,2.1873548417354568e-05,7.802159597150181e-05,2.6683347770068726e-05,1.1964210263780306e-05,8.173520649846655e-05,0.007330412442488854,8.08034392243888e-05,2.8321979345004004e-05,0.00034952360474741547,2.576946682663564e-05,0.15566099543780848
3,ub0751,ub0751,MayerJohann+MayerJulie_RichterCaroline_1810-03-19.xml,JP-UB0751,letters-context,Mayer Johann Siegfried Wilhelm + Mayer Julie Henriette,Richter Caroline,1810-03-19,1810,3,1809,MayerJohannSiegfriedWilhelmANDMayerJulieHenriette,RichterCaroline,3.565939736124286e-05,3.358337960279714e-05,0.00021242850345171076,0.054832289770671686,4.093783953652429e-05,4.279587523732841e-05,0.00021352351737339643,0.013147834493258242,3.693988471551599e-05,6.391347210655702e-05,0.06135623781436269,9.570315218454418e-05,3.9915630181661736e-05,0.0001402404589774698,0.000488453515007201,6.234461478994914e-05,0.0002419229751074812,0.00010551280456476902,8.512760078499341e-05,3.481430246794804e-05,0.0365324398124945,0.00019070177218497933,3.153297049379809e-05,0.1677028426413178,2.992079801957465e-05,0.0001723551036806154,4.100875342535033e-05,2.867781133220353e-05,4.604991823315542e-05,5.130829010341241e-05,0.0001162291400935579,0.0003998601360912897,1.4337333296899923e-05,0.1892680306672876,2.2469515723010674e-05,0.00017693450170452304,0.03191272278964178,7.319148441560677e-05,0.00027478332879336733,1.972066358388034e-05,3.865417630393885e-05,3.211992371401402e-05,0.000688257871361508,0.00013280106634042539,0.00011611462174193697,6.603408847977071e-05,2.8153806161777497e-05,4.4198208357473947e-05,6.776483205939962e-05,2.951033225998009e-05,5.002366747724178e-05,9.00999082078227e-05,2.2256150772180234e-05,8.367177273171938e-05,0.00013555476602330674,0.0002987111131892614,0.00032379683736426224,0.0003279554503685838,2.7357241015031774e-05,0.00011909526397862243,7.266807232626991e-05,1.7188752096829783e-05,4.5186516561465664e-05,0.2848801706196941,2.896869745368629e-05,0.00020230368012983389,0.0002529730943319231,3.1038851030894576e-05,0.0002370726215629348,2.5330726361391448e-05,0.006169311150893309,3.090072849054463e-05,1.3855188492486167e-05,9.465369360290012e-05,0.014567963463438822,9.357465780121752e-05,3.279835055166797e-05,0.0004047668270265363,2.9842406006085414e-05,0.13163200437057834
4,ub1156,ub1156,RichterCaroline_FalkensteinKonstantin_1826-02-17.xml,JP-UB1156,letters-context,Richter Caroline,Falkenstein Konstantin Karl von,1826-02-17,1826,2,1824,RichterCaroline,FalkensteinKonstantinKarlvon,2.379713235013199e-05,2.2411711591096617e-05,0.00014176317003817808,8.119433008077954e-05,2.731967609295515e-05,2.855962754349096e-05,0.0001424939224666505,0.0006606174652558186,2.4651659607943333e-05,4.265235722489495e-05,0.0003781563484133643,6.38670518121466e-05,2.663750945225791e-05,9.358881557424578e-05,0.00032596717285377066,4.160538761899891e-05,0.1462049592048963,7.041347753090309e-05,5.680950695850688e-05,2.3233162218488228e-05,3.916764795338092e-05,0.00012726393736039576,2.1043380644713345e-05,0.014553367077271291,1.9967504870603014e-05,0.00011502037378697225,2.7367000145595755e-05,1.9138003507773708e-05,3.073119794498292e-05,3.4240347863447924e-05,7.756497401592733e-05,0.0002668447950398722,9.567952440640745e-06,0.0005474448703353214,1.4994926416928658e-05,0.00011807641367892251,0.1146023843400116,4.88439954241591e-05,0.00018337537162119012,1.316049277512726e-05,2.579568409616298e-05,2.143508113598401e-05,0.00045930567726338797,8.862417162934394e-05,7.748855072861164e-05,4.406754066128334e-05,1.8788311103652077e-05,2.9495468004310058e-05,4.522254430902685e-05,1.9693582462231485e-05,3.3383060951241635e-05,6.012775310349694e-05,1.4852538313104172e-05,5.5837966903810084e-05,9.046184025683644e-05,0.00019934346682891772,0.00021608430774229298,0.00021885953871589265,1.825672707180265e-05,7.947766840988492e-05,4.849469880993347e-05,1.1470833464685633e-05,3.0155010870244024e-05,0.08058081709836265,1.9332125002918922e-05,0.10561087694311004,0.0001688204134762579,2.071363232798292e-05,0.0285555590643808,1.690434197864975e-05,6.029674357617643e-05,2.0621456895517068e-05,9.24619535634876e-06,6.316670052717205e-05,0.13548155418733576,6.244661102248847e-05,2.1887826118799663e-05,0.05300805451565178,1.9915190326380675e-05,0.3150228016390244
5,ub0611,ub0611,MayerJohann_RichterCaroline_1818-11-10.xml,JP-UB0611,letters-context,Mayer Johann Siegfried Wilhelm,Richter Caroline,1818-11-10,1818,11,1814,MayerJohannSiegfriedWilhelm,RichterCaroline,6.016333217108954e-05,5.6660745048565685e-05,0.0003584022042297147,0.00020527353376811105,6.906894172809516e-05,7.220375687712281e-05,0.00036024967477541576,0.0016701570346978624,6.232372723485314e-05,0.00010783265386121588,0.0009560456977528774,0.00016146712958635328,6.734430459129843e-05,0.00023660897103263608,0.0008241022913487133,0.00010518573072586552,0.0004081642817393459,0.0001780176441297044,0.0001436244160570681,5.8737516578461265e-05,9.902269649588603e-05,0.0003217455962407905,5.320136397541796e-05,0.01628104351519055,5.0481360967481207e-05,0.00029079171610986606,6.918858524886932e-05,4.838423576373816e-05,7.769386843659995e-05,8.656561605208904e-05,0.0001960978838921439,0.0006746305313556442,2.4189465033599446e-05,0.11420237844248482,3.7909808863912155e-05,0.0002985179219586344,0.002561004866988564,0.00012348620321265568,0.0004636051618539432,3.327203827400715e-05,6.52160221670296e-05,5.4191651646266885e-05,0.0011612054605021009,0.00022405747876148174,0.00019590467239284518,0.00011141048626193314,4.750015191878866e-05,7.456972600630207e-05,0.00011433053843862436,4.9788836985957455e-05,8.439824409709346e-05,0.0001520135253879395,3.7549826717258394e-05,0.00014116819208149657,0.00022870342796365976,0.0005039753124244917,0.0005462990999244243,0.0005533153714843566,4.615621407726858e-05,0.00020093351141534053,0.0001226031199941108,2.9000282633268786e-05,7.623716626508759e-05,0.1626976136470612,4.887500901415062e-05,0.00034131994390666916,0.6260557929853895,5.2367702287933145e-05,0.01065619380289877,4.273714692306433e-05,0.00015244076299757988,5.213466659775572e-05,2.3376006585924234e-05,0.00015969651847345,0.0348347893437336,0.0001578760056727573,5.53362705183715e-05,0.0006829089347623985,5.034910060706806e-05,0.016960819366689167
6,ub0837,ub0837,SpazierJohann_BodeAugust_1803-10-16.xml,JP-UB0837,letters-context,Spazier Johann Karl Gottlieb,Bode August Theodor Heinrich,1803-10-16,1803,10,1799,SpazierJohannKarlGottlieb,BodeAugustTheodorHeinrich,7.980800034527634e-05,7.516174050234048e-05,0.0004754285078089098,0.0002722999152914908,9.162148980725024e-05,9.57798919347208e-05,0.00047787921864270974,0.1654766386938795,8.2673812523107e-05,0.00014304241746642158,0.001268215915291778,0.0002141897442969555,8.933372022664362e-05,0.0003138670708625102,0.0010931900474772202,0.0001395312149635544,0.00054143901214362,0.00023614437052400786,0.00019052098732956572,7.791662419966688e-05,0.00013135581276748872,0.00042680270073563537,7.057279444637578e-05,0.15764811539063384,6.696464986456883e-05,0.1772519747200548,9.178019960277988e-05,6.41827665654779e-05,0.0001030626472180943,0.00011483121806032556,0.0002601282113308978,0.0008949124281589836,3.208786422041347e-05,0.0018359556839838628,5.0288205950705576e-05,0.000395990673372213,0.030607419702992886,0.00016380719938527993,0.0006149825746368952,4.413609995052777e-05,8.651050618045566e-05,7.188643310176614e-05,0.015145459759319448,0.0002972172367632053,0.0002598719119730282,0.00014778849184707225,6.301000965097828e-05,9.891840268976816e-05,0.00015166200610760026,6.604600137616082e-05,0.0001119561508808559,0.0002016493277358252,4.98106816140758e-05,0.0001872627515102292,0.013908475040401887,0.000668534478668923,0.0007246779256077074,0.0007339851661289813,6.122724616615246e-05,0.00026654277896062017,0.0001626357698239963,3.846952093390197e-05,0.00010113029933755438,0.3382678624509404,6.483378821479395e-05,0.00045276850895973,0.0005661698821004437,6.946692364697545e-05,0.0005305836122770311,5.669177742171384e-05,0.00020221606794231398,6.915779661276706e-05,3.10087934686753e-05,0.00021184098921291046,0.07341931375398686,0.00020942603842838463,7.340479553356031e-05,0.000905893914690776,6.678920355020077e-05,0.008893809866783042
7,ub0430,ub0430,RichterCaroline_RichterOdilie_1822-11-17.xml,JP-UB0430,letters-context,Richter Caroline,Richter Odilie Minna,1822-11-17,1822,11,1819,RichterCaroline,RichterOdilieMinna,0.011429313913303242,3.147846093637986e-05,0.23951279467250905,0.00011404182752015733,3.837196249787007e-05,4.0113541365688674e-05,0.00020014042005698157,0.3769922282372109,3.462458906056302e-05,5.9907542326296705e-05,0.0005311410417267324,8.970472814709433e-05,3.7413822560007394e-05,0.00013145055267917643,0.0004578385223061639,5.8437016895571974e-05,0.00022675987383054692,0.005796844314088533,7.97920247340135e-05,3.26322327659167e-05,5.501307970428203e-05,0.000178749082350345,2.9556566123987353e-05,0.14579577618786246,0.022819824548393576,0.00016155233518975757,3.8438431689049125e-05,2.688036089394804e-05,4.316362943130163e-05,4.809242026368874e-05,0.00010894420065452112,0.0003747979453776246,1.3438706629773867e-05,0.0007689159257482995,2.1061185065699975e-05,0.011561734262474487,0.0014227926511428553,6.860403301579683e-05,0.0002575606262292316,1.8484623811147406e-05,3.62314333221584e-05,3.010673064681312e-05,0.04622867787853825,0.00012447744177475483,0.00010883686001457858,6.1895243994645e-05,2.638919900128542e-05,4.142797990238128e-05,6.351750907953543e-05,2.766070158073081e-05,4.688831443413329e-05,8.445268089263809e-05,2.08611932736485e-05,7.842744418711538e-05,0.00012705854674165587,0.00027998867948976583,0.000303502095883326,0.00030740005786792485,2.5642560480931492e-05,0.00011163068336775335,6.811342703144714e-05,1.6111405934264808e-05,4.235434352511405e-05,0.113180115358082,2.715301503180816e-05,0.00018962381295664648,0.00023711740039466806,2.909341678062532e-05,0.0002222135277991034,2.3743062481739495e-05,8.469003715038036e-05,2.8963951400956464e-05,1.2986781404530815e-05,8.872104689293374e-05,0.002258991944843047,8.770964224176541e-05,3.074263545924905e-05,0.006077341874713214,2.7971961810296948e-05,0.009422758021019618
8,ub1268,ub1268,MahlmannSiegfried_MuechlerKarl_1805-02-12.xml,JP-UB1268,letters-context,Mahlmann Siegfried August,Müchler Karl,1805-02-12,1805,2,1804,MahlmannSiegfriedAugust,MüchlerKarl,6.273711291158024e-05,5.908468549676328e-05,0.0003737346111511372,0.00021405511299052505,7.202370346702804e-05,7.529262566372757e-05,0.0003756611162838127,0.0017416061691519886,6.498992943882186e-05,0.00011244572294646453,0.0009969452276676744,0.00016837467565062152,7.02252865429948e-05,0.00024673107681858777,0.02224930236479861,0.00010968556473018565,0.00042562550486956613,0.00018563321938783032,0.00014976865279682662,6.125030108454523e-05,0.00010325887657294365,0.00033550983749969097,5.547731248136798e-05,0.15601218770984268,5.26409480435823e-05,0.0858630120256384,7.214846532447642e-05,5.045410805402184e-05,8.101760359255314e-05,9.026888359634656e-05,0.00020448692982093827,0.0007034911513693832,2.522428769018376e-05,0.0014432457717075296,3.953158632218444e-05,0.000311288485863631,0.0026705643738359174,0.00012876892941939626,0.00048343813974450507,3.4695412415967654e-05,6.800595643043753e-05,5.6509964549978785e-05,0.02260082677049285,0.021623587701052258,0.032289203054702766,0.0001161766146242092,4.953220319931444e-05,7.775981069231811e-05,0.0001192215863122105,5.191879796221246e-05,8.800879170723257e-05,0.00015851664730321102,3.915620417884593e-05,0.00014720735182943096,0.00023848733548565587,0.0005255353209212327,0.0005696697154005488,0.16100157415202618,4.813077184458461e-05,0.00020952942495831555,0.00012784806799778114,3.0240911538230956e-05,7.94985838621827e-05,0.1268779095483301,5.0965876530168595e-05,0.00035592157360819847,0.0004450664553277954,5.460798683848205e-05,0.0004170920690713485,4.4565437373156136e-05,0.00015896216209085375,5.436498190708107e-05,2.4376029579486865e-05,0.00016652831798883474,0.3250892762222974,0.0001646299238505374,5.7703550091679564e-05,0.011407096237946994,5.250302959948134e-05,0.017686401355811492
9,ub0928,ub0928,SchwendlerAuguste_MuellerFriedrich_1810-06-19.xml,JP-UB0928,letters-context,Schwendler Auguste Sophie Henriette,Müller Friedrich Theodor Adam Heinrich von,1810-06-19,1810,6,1809,SchwendlerAugusteSophieHenriette,MüllerFriedrichTheodorAdamHeinrichvon,3.342435931484506e-05,3.147846093637986e-05,0.00019911403875270966,0.00011404182752015733,3.837196249787007e-05,4.0113541365688674e-05,0.00020014042005698157,0.000927872955593752,3.462458906056302e-05,5.9907542326296705e-05,0.0005311410417267324,8.970472814709433e-05,3.7413822560007394e-05,0.00013145055267917643,0.0004578385223061639,5.8437016895571974e-05,0.00022675987383054692,9.889953709433484e-05,7.97920247340135e-05,3.26322327659167e-05,5.501307970428203e-05,0.000178749082350345,2.9556566123987353e-05,0.17998344484982765,2.8045440416784178e-05,0.00016155233518975757,3.8438431689049125e-05,2.688036089394804e-05,4.316362943130163e-05,4.809242026368874e-05,0.00010894420065452112,0.023166577053354412,1.3438706629773867e-05,0.0007689159257482995,2.1061185065699975e-05,0.040051458147445484,0.0014227926511428553,6.860403301579683e-05,0.0002575606262292316,1.8484623811147406e-05,3.62314333221584e-05,3.010673064681312e-05,0.12030195997946284,0.00012447744177475483,0.00010883686001457858,6.1895243994645e-05,2.638919900128542e-05,4.142797990238128e-05,6.351750907953543e-05,2.766070158073081e-05,4.688831443413329e-05,0.07415773478181721,2.08611932736485e-05,7.842744418711538e-05,0.00012705854674165587,0.00027998867948976583,0.04588706031183691,0.00030740005786792485,2.5642560480931492e-05,0.08558080233828072,6.811342703144714e-05,1.6111405934264808e-05,4.235434352511405e-05,0.18725339745900652,2.715301503180816e-05,0.00018962381295664648,0.011633006954383063,2.909341678062532e-05,0.0002222135277991034,2.3743062481739495e-05,8.469003715038036e-05,2.8963951400956464e-05,1.2986781404530815e-05,8.872104689293374e-05,0.053540494937790825,8.770964224176541e-05,3.074263545924905e-05,0.011775286651707413,2.7971961810296948e-05,0.15756932222286876
