receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
AbekenBernhardRudolf,0.0019086225585363981,7.888482959201726e-05,4.684730531987065e-05,0.010857236264428393,5.43264687435759e-05,0.0006260931416105964,7.282575609262142e-05,5.809751003016289e-05,0.0007510417170116265,0.00022299904242215586,0.00015361552840884813,0.0018723755701987943,0.00011010460120286294,0.05334190859095024,0.0001923451251476059,0.0008935863485385081,0.00011576831653764753,0.003143303025939258,0.0008711029819435102,0.26099008036083104,6.94339230231532e-05,6.79098642561911e-05,0.00019013344759184444,8.134038864270224e-05,2.0431129306429308e-05,0.0002653167172467913,0.025830100704243724,0.00015375938413598366,0.00011007076856326833,0.0002659029337446273,4.840240728756102e-05,5.6759119138046233e-05,0.00014051726411306112,9.020952293985081e-05,0.12911288272323185,0.0037274564966224785,7.039790959040779e-05,0.00021952959010257343,5.712019281697111e-05,0.00010452046834430017,0.00025348421956055604,9.81655050638639e-05,0.04962288240702307,0.00017087734783540078,5.248723118740667e-05,0.0014109377133885734,0.000128218086952763,0.0006383059265364261,0.003961510919458423,6.584176617236598e-05,5.56088096605196e-05,0.04291312672142986,5.0399185900055186e-05,8.1367480058232e-05,6.606956354056147e-05,7.545817363870885e-05,6.028667642036289e-05,5.912696050627552e-05,5.5174472456649314e-05,0.010700069174781425,6.080029001905114e-05,0.00011556397889416109,6.504217030157943e-05,0.03871752862103072,4.6850575702525e-05,3.4593367785120825e-05,8.737978102976844e-05,0.0001781836112045116,8.279138171978745e-05,0.00026526707069699656,0.1418109442346668,0.00010537589514650615,6.94272251507128e-05,8.253323225453749e-05,0.05313809093852919,0.00015208626040422906,6.072040856370418e-05,0.00018286144871986626,0.02298585056405402,0.06869163880505362,5.6354860911746226e-05,6.872814283205793e-05,5.7649831608422766e-05,2.78884655278904e-05,6.593774045353224e-05,3.545683138320152e-05,5.880820970482018e-05,7.728654033672025e-05,0.0010886184492072887,0.026378357209019297,6.641012411153898e-05,6.428998900602518e-05,6.219833034657692e-05,0.0005774886935608136,5.991976943139942e-05,0.03629349637500702,5.2822109136508604e-05,6.226756358237398e-05,0.00029459461687480305,5.513794703151634e-05
AbekenBernhardRudolfANDTruchsessvonWetzhausenChristianFreiherrANDVoßHeinrichANDVoßAbrahamSophus,0.003711508485050811,0.00015339948334105148,9.109929588687196e-05,0.0004964363267807204,0.00010564328122541384,0.0012175010701444206,0.0001416170056563075,0.0001129764502011475,0.0014604761391132973,0.0004336440614757898,0.0002987208416745383,0.003641022571442141,0.00021410946851688296,0.000645948357530855,0.0003740344369559044,0.0017376685085758908,0.00022512313249562418,0.22734436882192224,0.0016939473414354204,0.14207053114375728,0.00013502124518973273,0.00013205755966689493,0.0003697336075553025,0.00015817456483183586,3.9730385371810825e-05,0.0005159350353913956,0.04269603478560525,0.00029900058360124817,0.0002140436775471779,0.0005170749923179574,9.412334803504944e-05,0.00011037381453062763,0.00027324994966615164,0.00017542148830117005,0.003674367336694561,0.00021097779694198172,0.0001368958140026383,0.000426897362572428,0.00011107595860676487,0.0002032505606655056,0.2217248255695577,0.00019089269554857407,0.0050100143917712,0.00033228818529757213,0.00010206669885441804,0.002743710259369238,0.0002493329629442747,0.0012412500584792732,0.000666120157297099,0.00012803593498698947,0.00010813692208315058,0.0009826846845292418,9.800628483148084e-05,0.00015822724681348855,0.00012847890987542325,0.00014673600627526293,0.00011723350437672324,0.00011497832016749729,0.00010729230971580333,0.000190809117154324,0.00011823227766536692,0.00022472577740086065,0.0001264810404135377,0.019982152609015043,9.110565547479398e-05,6.727028216590724e-05,0.00016991877061463682,0.00034649594909413184,0.00016099616677364752,0.0005158384926831517,0.2456328673139626,0.00020491402409913604,0.0001350082205032733,0.00016049416918046116,0.0002496044376812036,0.000295747026265266,0.00011807694014303047,0.00035559247451885564,0.003465195085378559,0.04863280763665656,0.00010958769375973276,0.00013364878463899938,0.00011210589449413715,5.423192552077254e-05,0.00012822256662733242,6.894937395724944e-05,0.0001143584771823418,0.00015029144916946065,0.0021169280396193405,0.00203331484251348,0.00012914116415047806,0.00012501834824935892,0.00012095090766103987,0.0011229848335311881,0.00011652001684265225,0.0002019914432489052,0.00010271790269982437,0.00012108553864973853,0.0005728688552332611,0.00010722128235384806
AbekenMinonaLaura,0.06554329305434868,2.253443231638716e-05,1.3382515198366846e-05,7.292665243444306e-05,1.5519031215785475e-05,0.008303610201286385,2.0803582641255613e-05,1.6596276043141932e-05,0.0002145444038646228,0.004126081904635766,4.388218553020157e-05,0.06147055919577549,3.1452748219916224e-05,0.016344407839584508,5.494577634816062e-05,0.0327542996957427,3.307065891999718e-05,0.07402075379156957,0.0002488413968659381,0.0005583083993540334,1.9834663355662708e-05,1.9399297020868992e-05,5.431398315745793e-05,2.3235893288195513e-05,5.836406098412564e-06,7.579101885781178e-05,0.0022096814736947924,4.392327970715837e-05,0.0934661705648422,7.595847888861308e-05,1.382674940939625e-05,1.621394804513198e-05,4.0140503488646756e-05,2.576947176656326e-05,0.0005397657166171766,3.099270468127623e-05,2.0110038103457088e-05,6.271135673608993e-05,1.6317093230601018e-05,2.9857571243585016e-05,7.241091878504371e-05,2.804219697382037e-05,0.0007359726888029282,4.881323885866958e-05,0.0122021319972722,0.012590190266582622,3.662709062207401e-05,0.0001823400237165431,9.78532604690698e-05,1.8808519091390854e-05,1.5885347841540424e-05,0.00014435668901596884,1.4397154045202329e-05,2.324363228785828e-05,1.887359224172916e-05,0.008146314476861644,1.7221638639529715e-05,1.6890351370388127e-05,1.5761274019314733e-05,2.802991928143626e-05,1.7368358749546756e-05,3.301228733168736e-05,1.858010458984612e-05,0.2141791161956062,1.3383449423831411e-05,9.882025593278064e-06,2.496112080890273e-05,5.0900363825896335e-05,2.3650387500279503e-05,7.577683670362727e-05,0.16201730853805665,3.0101934544813286e-05,1.9832750025128148e-05,2.3576643896062163e-05,3.66669703462536e-05,4.344533111190678e-05,1.734553961869282e-05,5.223664626983385e-05,0.0005090382471558414,0.22651266533551226,1.6098466656809102e-05,1.963304846939448e-05,1.646839113616572e-05,7.96668690414131e-06,1.883593533801572e-05,1.0128684705166194e-05,1.6799296241051614e-05,2.2077861119722704e-05,0.00031097739437234526,0.00029869458943779616,1.897087760288178e-05,1.8365234651202868e-05,1.7767726350378808e-05,0.00016496682500080962,1.711682709652495e-05,2.9672606499344744e-05,1.508929219092745e-05,1.7787503684933278e-05,8.415461488692929e-05,1.5750840077519545e-05
AhlefeldtJohannGeorgJacobvon,0.004047278665989552,0.0001672771216341589,9.934080393852554e-05,0.0005413475848147822,0.0001152005444769712,0.0013276451143415626,0.00015442871491273133,0.00012319712550841052,0.0015926014836900244,0.00047287467230995676,0.0003257453120383342,0.003970416081530918,0.00023347937573228486,0.03086015487081512,0.00040787232553405337,0.15267371722223008,0.0002454894162414412,0.06697698601245203,0.001847194197161437,0.004144423108462417,0.00014723625375310658,0.00014400445157951698,0.00040318241167578616,0.00017248419189247965,4.332468637874391e-05,0.0005626102891012447,0.01640286080689039,0.060637588970119324,0.00023340763283066557,0.0005638533748620893,0.00010263843394353713,0.00012035903639530042,0.0002979701369998063,0.00019129139809786566,0.0040067774579287145,0.00023006439026073487,0.00014928040976001342,0.0004655176177195081,0.00012112470155577285,0.00022163809172071842,0.0005375192016902307,0.00020816224381510625,0.005463256906400041,0.00036234940287273385,0.00011130039832734236,0.002991926340227605,0.0002718894448758108,0.0013535426097167258,0.0007263822546743402,0.00013961900134138412,0.00011791977831000921,0.0010715855224659213,0.00010687264957873794,0.00017254163987118798,0.00014010205097544752,0.00016001081773688852,0.00012783930391489028,0.00012538009926140776,0.00011699875613555801,0.00020807110430852852,0.00012892843353417294,0.0002450561135009687,0.0001379234396417837,0.2630360385964801,9.93477388612463e-05,7.335604349600361e-05,0.00018529086435602668,0.0003778425048114319,0.000175561056565969,0.0005625050124340872,0.14723153433749325,0.00022345204421300098,0.00014722205075832676,0.0001750136446019483,0.00027218547920135593,0.0003225024635547548,0.00012875904304437285,0.0003877619684026925,0.0037786819561460563,0.203811333341433,0.00011950179739456816,0.0001457396303911317,0.00012224781297019862,5.9138141825574216e-05,0.00013982251704380028,7.518703820144732e-05,0.00012470418075005655,0.00016388791197816265,0.0023084408204092108,0.0022172633624551854,0.0001408242176119204,0.00013632842165520618,0.00013189301066676592,0.0012245782482478635,0.00012706126908438242,0.00022026506534109165,0.00011201051483154519,0.00013203982135857382,0.0006246947583534065,0.00011692130311937852
ArnimLudwigAchimvon,0.000793399761664433,3.279181874767322e-05,1.9474065581572386e-05,0.00010612193530900628,2.2583096464224985e-05,0.0002602621178880455,3.027310835685906e-05,2.415068940952644e-05,0.00031220228253720883,9.269899190797032e-05,6.385679718728512e-05,0.006689854983098001,4.576963840325633e-05,0.05334178809195909,7.995639356083601e-05,0.00037145699278578586,4.8124001436772585e-05,0.0013066469640449544,0.0003621108297017845,0.320034675360883,2.8863149359525793e-05,2.822960981706248e-05,7.903701616074632e-05,3.381257581504247e-05,8.493063780345697e-06,0.00011029012482730725,0.020950068771865508,6.391659690992431e-05,4.575557443441619e-05,0.00011053381053016487,2.0120509544529397e-05,2.3594330578876595e-05,5.841194916114408e-05,3.749940693105085e-05,0.15448505342235494,4.510018890822066e-05,2.9263871183380797e-05,9.125676718357346e-05,2.374442613837893e-05,4.344835719484199e-05,0.00010537144627445976,4.080664769102539e-05,0.0010709780781525632,7.103240315383285e-05,2.1818539515978524e-05,0.0005865159879406852,5.329927552957385e-05,0.0002653388789302301,0.0001423948176780627,2.7369917302444088e-05,2.311615575000429e-05,0.02976768009696132,2.0950555101815674e-05,3.382383750873267e-05,2.746461092158097e-05,3.136738414456043e-05,2.5060709090714928e-05,2.457862407829584e-05,2.2935605104989945e-05,4.078878134952423e-05,2.527421432513873e-05,4.803905984530069e-05,2.70375314305112e-05,0.022006102566086063,1.9475425054563472e-05,0.005925903014247613,3.6323104918382173e-05,7.406956080964263e-05,3.44157425105147e-05,0.00011026948713726297,0.26532313686009845,4.380395155683678e-05,2.886036510531372e-05,3.430843175738173e-05,5.33573079960076e-05,6.322109220467388e-05,2.524100821670716e-05,7.601410199364359e-05,0.0007407459705221379,0.10498047708834808,2.342628353418314e-05,2.8569761946232373e-05,2.396459292254825e-05,1.1593021262403273e-05,2.740981307516389e-05,1.4739132911842081e-05,2.4446121814412435e-05,3.2127422160431856e-05,0.006364053157998382,0.00043465656024678696,2.760617933941056e-05,2.672485543391247e-05,2.5855368968677465e-05,0.0002400576215479728,2.4908188668961208e-05,4.317919885605278e-05,2.195774571147057e-05,2.5884148693896038e-05,0.0001224607231905125,2.292042176585063e-05
BarthKarl,0.0012073680053285836,4.9901442759973937e-05,2.963495182748187e-05,0.00016149264916194352,3.436616627531388e-05,0.00039605778741081353,4.606855738806749e-05,3.675167438734715e-05,0.00047509851318232186,0.00014106608340932894,9.717504034150828e-05,0.0011844386661501232,6.965063476654103e-05,0.00021012948862128927,0.0001216748429622592,0.0005652702585948273,7.323342207874359e-05,0.0019884096452689013,0.0005510475945288162,0.09119583420446507,4.392293110424544e-05,4.2958832788818616e-05,0.00012027576659329006,5.145479516049547e-05,1.292444738588344e-05,0.00016783565417367313,0.004893235916893689,9.726604146771308e-05,6.962923271069733e-05,0.2340628712749823,3.061868763863809e-05,3.590502697948878e-05,8.888926106820973e-05,5.706528579283459e-05,0.2620777965722728,6.863188994136764e-05,4.453273555912008e-05,0.00013887135627066986,3.613343715181457e-05,6.611819021862433e-05,0.000160350581200188,6.209812909888124e-05,0.0016297769780735064,0.00010809462650911652,3.3202690254565004e-05,0.02788038545209649,8.110897316959071e-05,0.00040378342478707586,0.00021669145277838434,4.165058279086902e-05,3.5177357250772536e-05,0.00031967111275801814,3.188182193392725e-05,5.147193281203552e-05,4.179468422822612e-05,4.773378800561229e-05,3.8136510507011897e-05,3.74028903977467e-05,3.490260159458927e-05,6.207094072532348e-05,3.846141530465476e-05,7.310416093597529e-05,4.1144769597337014e-05,0.07846786037207952,2.9637020625927315e-05,2.1883281884893896e-05,5.527523053529286e-05,0.00011271646679436032,5.237267313976938e-05,0.00016780424845884014,0.250828342078334,6.665932128053321e-05,4.391869412357467e-05,5.220937138922606e-05,0.009077145930655957,9.620764673500833e-05,3.841088341034509e-05,0.009111624247259779,0.0011272413077214464,0.015820439636956642,3.5649298864916055e-05,4.3476464400961495e-05,3.646847926284882e-05,1.7641854250064318e-05,4.171129478229775e-05,2.2429496911760164e-05,3.7201253087305845e-05,4.889038727313853e-05,0.0006886448447885902,0.0006614451497278188,4.201011809462137e-05,4.0668950202665694e-05,3.9345796113245894e-05,0.00036531129160445385,3.790441026413012e-05,6.5708594473423e-05,3.341452937363408e-05,3.938959209241049e-05,0.00018635644505292902,3.4879496120178227e-05
BentzelSternauChristianErnstGrafvon,0.0020596999230699303,8.51289725752049e-05,5.05555122629192e-05,0.00027549711072945857,5.862669022292723e-05,0.0006756516577058801,7.85902920148375e-05,6.269622896600535e-05,0.0008104905602380549,0.00024065057204070717,0.16897801879069607,0.15548625997716048,0.00011881995086607757,0.0003584687432811393,0.0002075702383886733,0.0009643183379077748,0.0001249319786146605,0.14151122030806293,0.0009400552963551377,0.0021091376853790665,7.492997778403065e-05,7.328528186915417e-05,0.0002051834950951483,8.777890184758443e-05,2.204835904955155e-05,0.00028631791008560526,0.008347577206873288,0.01551249785399005,0.00011878344019776411,0.00028695052865657144,5.2233708608703744e-05,6.125189750025754e-05,0.0001516399336208252,9.735007407743702e-05,0.07877192654958838,0.00011708203116903667,7.59702688827261e-05,0.000236906494593976,6.164155203167756e-05,0.00011279380495904507,0.0002735488089005325,0.00010593581340839284,0.0027803051774968825,0.0001844031752725701,5.664186748466196e-05,0.001522620743805636,0.00013836721286334056,0.0006888311478359195,0.0003696630742638277,7.105348310668848e-05,6.0010535067558934e-05,0.0005453404127403384,0.03074752377846602,8.78081376890204e-05,7.129931181684876e-05,8.143107904887629e-05,6.505867921857907e-05,6.380716578112896e-05,5.9541817823598425e-05,0.00010588943161702672,6.561294799475717e-05,0.00012471146658797041,7.019059507983365e-05,0.1645547625595556,5.055904151330526e-05,3.7331612081742216e-05,9.429634343360884e-05,0.00019228776724282642,8.934474854465964e-05,0.0002862643337541637,0.044234440791131896,0.00011371694322481442,7.492274974028334e-05,8.906616521170166e-05,0.00013851786764347107,0.00016412467591014806,6.552674350833474e-05,0.00019733587983450512,0.0019230084154526208,0.16510786274354533,6.081564014078833e-05,7.416833143399593e-05,6.22131144776566e-05,3.009598207116591e-05,7.115705424947451e-05,3.8263423297420346e-05,6.346318420221506e-05,8.34041704442361e-05,0.0011747882398519805,0.00112838713465709,7.166682952154407e-05,6.93788747375069e-05,6.712165045778454e-05,0.0006231999157618037,6.466272964040716e-05,0.0001120950583290552,5.700325275851724e-05,6.719636386290873e-05,0.0003179133071649041,5.95024012218193e-05
BergnerCaroline,0.0030391512742199275,0.00012561044576306628,7.459623015554947e-05,0.0004065045523084751,8.650550417496759e-05,0.0009969450274994818,0.00011596241930339688,9.251023511561798e-05,0.001195904020435834,0.0003550874010662564,0.00024460615684104885,0.11620312250232133,0.00017532253171091103,0.0005289317757933918,0.0003062763402684522,0.001422881689017063,0.022828678676099272,0.005005166345654124,0.0013870808168486345,0.16162246183148912,0.00011056151185372263,0.00010813471189640115,0.00030275462633308384,0.00012952049879289858,3.2533039278862e-05,0.00042247097818584047,0.012317109701643096,0.0002448352222025958,0.0001752686590846684,0.0004234044265559223,7.70724610402312e-05,9.037907913247805e-05,0.00022374943666525024,0.00014364306099350283,0.003008738419498582,0.00017275817716460345,0.00011209649371333621,0.00034956289838721974,9.095402650826159e-05,0.00016643076606735266,0.0004036297723856209,0.00015631158631388206,0.004102426731324896,0.0002720926183579823,8.357683651491894e-05,0.04753534956182594,0.00020416512452799856,0.0010163917749473226,0.0005454493591991186,0.00010484162343396116,8.854741026807295e-05,0.0008046667340712184,8.025198558129621e-05,0.00012956363718590324,0.00010520435133881528,0.00012015408889447907,9.599610391377244e-05,9.414945692625357e-05,8.785580340181241e-05,0.00015624314853867404,9.681394472568608e-05,0.00018401564633053485,0.00010356840532245282,0.03900662938002785,7.460143767422135e-05,5.508395429651081e-05,0.00013913718648558802,0.000283726578948413,0.00013183095427786855,0.0004223919246430671,0.2690683315884791,0.00016779288527960792,0.00011055084665044772,0.0001314198959087088,0.00020438742034005965,0.00024217106207384371,9.668674732580285e-05,0.000291175226027323,0.0028374587048814745,0.2889104601294272,8.973536783498836e-05,0.00010943767898404765,9.179738466764069e-05,4.440755725433823e-05,0.00010499444587525225,5.645887071600541e-05,9.364190141190168e-05,0.00012306544659333377,0.0017334365730145792,0.0016649702996517693,0.00010574663513851485,0.0001023706867203102,9.90400821166582e-05,0.0009195508514940764,9.541186800078835e-05,0.00016539974369020688,8.411007172225176e-05,9.915032406881892e-05,0.0004690909689026997,8.77976429803934e-05
BertuchFriedrichJohannJustin,0.003391509368733758,0.00014017367520661127,8.32448899766277e-05,0.0004536345424072329,9.653492089884341e-05,0.0011125304717662934,0.00012940706006463925,0.00010323583816304522,0.0013345566980556276,0.00039625610533145926,0.0002729657057920913,0.009262401640976959,0.00019564936233728506,0.0005902559337013307,0.00034178590787935096,0.0015878500750640394,0.0002057134494108932,0.005585463513234937,0.059305558086758546,0.044930800645897405,0.00012337997336756923,0.00012067181110492866,0.00033785588770986544,0.00014453705836407714,3.630490803257705e-05,0.00047145210989971544,0.013745150925258319,0.00027322132890842944,0.00019558924373832957,0.0004724937819346733,8.600821417038689e-05,0.00010085759672953604,0.00024969086505701295,0.00016029698529504847,0.24932763631463017,0.00019278769745658926,0.05394474007463577,0.09367033657003367,0.00010149920329517151,0.00018572668861567063,0.00045042646154462096,0.0001744342948381989,0.022517942980737223,0.0003036389376706023,9.326670457436577e-05,0.01287162456247916,0.00022783595488616484,0.060487242128822644,0.009578629752087344,0.00011699692316263596,9.881356484249472e-05,0.0008979595028587075,8.95563716315217e-05,0.0001445851982066932,0.00011740170560898846,0.0001340847103051461,0.00010712585732313195,0.00010506511075482511,9.804177332744244e-05,0.0001743579224121988,0.00010803851830163158,0.00020535035350742622,0.00011557608860587952,0.13574955818308337,8.325070125312235e-05,6.147036794391552e-05,0.00015526870133381193,0.00031662173542490387,0.00014711538721851337,0.07763027722992547,0.09050851452143677,0.000187246731434494,0.00012336807164450167,0.00014665667089138363,0.0002280840235939092,0.00027024828702232285,0.00010789657368142073,0.0003249339759398149,0.0031664326361874585,0.031040668702510765,0.00010013925377809597,0.00012212584372330794,0.00010244034009313043,4.955615330774421e-05,0.00011716746378224514,6.300469167353595e-05,0.00010449870943855012,0.00013733360975781822,0.001934410579477873,0.0018580063512573287,0.0001180068615953964,0.0001142395069441733,0.00011052275325288731,0.001026163243114559,0.00010647388531066777,0.0001845761298787214,9.386176287789565e-05,0.00011064577661692715,0.0005234772054017788,9.797686980789564e-05
BodeAugustTheodorHeinrich,0.006580551207622537,7.586834441779704e-05,4.505590635659195e-05,0.0002455275689421209,5.2249073275014014e-05,0.0006021519010816262,7.004096445789373e-05,5.5875913323020724e-05,0.0007223225549584996,0.00021447175892784246,0.0011658058366343595,0.00475711744883441,0.00010589429994646683,0.1927750707292504,0.0018239902198755559,0.001365423699557009,0.00011134143988358955,0.02805864439695983,0.0008377927847377665,0.01737433446147955,6.677883204469107e-05,6.531305191886895e-05,0.00018286291498436564,7.823000509145414e-05,0.0016012874162046025,0.0002551712437991475,0.04526201597399439,0.00014787976311072181,0.00010586176103668401,0.003824288247237511,4.655154261897245e-05,5.458870129893564e-05,0.00013514400988774014,8.675999164303638e-05,0.07350433319651857,0.0007140063292041971,6.770595662969495e-05,0.00021113497535507503,5.493596784403121e-05,0.00010052369932300995,0.0032781029686689035,9.441174414206878e-05,0.021169516984750614,0.00016434315122216867,5.04801665143697e-05,0.007666879867711169,0.00258181544209158,0.0006138976800589707,0.0003294498287526439,0.00448180156502078,5.34823786247357e-05,0.032258218679218534,0.0005338485160357277,0.007929073107890207,6.354312265302901e-05,0.0005579492705451843,5.798136795274546e-05,5.686599853568732e-05,5.306465008621796e-05,0.0011063849919438098,5.8475341427803705e-05,0.00011114491592842947,6.25550160105892e-05,0.1015918004355655,4.505905168274505e-05,3.3270548409204684e-05,8.40384565271219e-05,0.003932373692823162,0.00137642699383022,0.007181571688755502,0.3335310318433423,0.00010134641537107185,6.677239029288908e-05,7.937723543279276e-05,0.00012344940826238316,0.00014627061813074466,0.0008090049454630543,0.00017586899083090702,0.004955820517471554,0.037339198919261914,5.419990154484756e-05,6.610004025546862e-05,5.544535372284595e-05,2.6822035604269887e-05,0.004135674053709545,3.4100993933270895e-05,5.655943647916345e-05,7.433117231097655e-05,0.0014038459758394125,0.013597093070777578,6.387066049303796e-05,0.003110136057232482,0.004132077635293213,0.0020645904140660933,5.762849115815841e-05,9.990096480171624e-05,5.080223903086989e-05,0.012069589402090838,0.0002833295827889863,5.302952136060206e-05
