sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
AdelheidLouiseTheresaCarolineAmelia,0.0034992638218157394,0.0001446272491367399,8.588973232145373e-05,0.0004680473411648657,9.96020118232158e-05,0.0011478775988087208,0.000133518558947928,0.00010651582947967605,0.0013769580042208437,0.0004088458862425847,0.0002816383253074387,0.16920897905536758,0.0002018655002695131,0.0006090094438348225,0.0003526450710337249,0.0016382989748937307,0.00021224934178885074,0.024723244024237766,0.0015970780268510613,0.1126685802535436,0.00012729998068763027,0.00012450577515877955,0.0003485901869384994,0.00014912926495435833,3.745838133426e-05,0.00048643100535108097,0.17620865967018925,0.000281902070037519,0.0002018034715927585,0.0004875057732109989,8.874085237682301e-05,0.00010406202696786726,0.00025762400033059484,0.00016538991357659623,0.02008626919627754,0.0001989129150637944,0.0001290673512473165,0.0004024850010433973,0.0001047240185470932,0.00019162756506289715,0.0004647373337081597,0.0001799763912900948,0.004723513950867645,0.0003132861018402549,9.622995829107945e-05,0.15191857965229316,0.00023507471970795737,0.0011702684881249108,0.0006280277080870091,0.00012071412930804352,0.00010195305245082739,0.000926489317935242,9.240174128732312e-05,0.00014917893428778467,0.00012113177243274944,0.00013834482668836616,0.00011052944166030342,0.00010840322140601604,0.00010115673970833451,0.00017989759237249485,0.016733493685276365,0.00021187470966471016,0.00011924815223981573,0.14307259200575215,8.589572823282691e-05,6.342339391506825e-05,0.00016020187184108403,0.00032668138681466726,0.00015178951203026155,0.00048633998349094544,0.05461883764611116,0.00019319590242105263,0.00012728770082506182,0.0001513162214467829,0.00023533067001207185,0.00027883456917530573,0.00011132464508633681,0.000335257722407371,0.003267035989985859,0.0814636600720315,0.00010332086094756847,0.00012600600505174143,0.00010569505698173176,5.113064289805795e-05,0.00012089008831492408,6.500646591466547e-05,0.00010781882448441475,0.00014169694961636416,0.011476030401978574,0.001917038609887748,0.00012175615533120596,0.00011786910493514703,0.00011403426318403224,0.0010587663254041193,0.00010985675530505267,0.00019044045097139643,9.684392268481205e-05,0.00011416119522526185,0.0005401090332507498,0.00010108977408531354
AdersbachGerson,0.005554885193711988,0.0002295876520736581,0.00013634513619403582,0.0007429989214256741,0.0001581126113702443,0.0018221913529536645,0.0002119532290082532,0.0415578456989877,0.0021858436572640733,0.0006490199298035602,0.0004470850564277664,0.0054493913872321964,0.0003204501677117124,0.0009667683589039675,0.0005598042855494939,0.002600707800816374,0.000336933934139958,0.17470334985553926,0.0025352718561112444,0.005688215826385878,0.000202081584553008,0.00019764593988293942,0.0005533673843126219,0.00023673434985941396,5.946308093630074e-05,0.0007721819579711127,0.06390166489341156,0.0004475037364046545,0.00032035170066388897,0.12494016146047192,0.00014087112948506128,0.00016519263544167894,0.0004089636614591415,0.00026254721818580186,0.00549929733343561,0.00031576310418132984,0.00020488718626060075,0.0006389223810587122,0.00016624350997102374,0.0003041980193772939,0.0007377444701043122,0.0002857024340269096,0.007498313657971554,0.0004973241279090432,0.00015275966538163665,0.004106415371807295,0.0003731679422914024,0.0018577356347997845,0.0009969587874866731,0.00019162691460546715,0.000161844756597682,0.001470749865227451,0.00014668258544845,0.0002368131971424085,0.00019228989965827195,0.00021961465854812088,0.00017545929378639537,0.00017208403830109073,0.00016058065474995603,0.0002855773451616667,0.00017695412290380364,0.0003363392266399108,0.00018929975817334808,0.4437941681982733,0.00013635465436728759,0.00010068108314593008,0.0002543114927051198,0.0005185883920396924,0.00024095734299340484,0.0007720374658696543,0.03652007600229931,0.00030668766703268065,0.0002020620909594307,0.00024020602071867428,0.0003735742490539241,0.0004426342507102703,0.00017672163465641576,0.000532202844114785,0.0051862365263673615,0.03139826779788346,0.00016401607592462483,0.000200027470754554,0.0001677849790621711,8.116702987887859e-05,0.00019190623966690645,0.00010319412121877242,0.00017115634094177319,0.0002249359658197105,0.00316833230229682,0.0030431913488346307,0.0001932810725147511,0.00018711059786872216,0.00018102300152040155,0.0016807322008480106,0.00017439144189952173,0.00030231354229128145,0.00015373429944579302,0.00018122449902168689,0.0008573928187666296,0.00016047435057663602
AretinJohannChristophANDBaboJosephMariusFranzvon,0.0035169908433952523,0.00014535992049191147,8.632484359509612e-05,0.0004704184356977604,0.00010010658852930616,0.001153692665062903,0.00013419495446888855,0.00010705543109415683,0.0013839335755117905,0.00041091707041650516,0.00028306508502735954,0.003450199048698157,0.00020288813653292567,0.0006120946423516309,0.00035443154587599046,0.0016465984809499975,0.0002133245818546815,0.005792118463025143,0.0016051687105170511,0.0036014071000604626,0.0001279448733335212,0.00012513651255824444,0.0003503561200264079,0.00014988474320138314,3.7648142829265385e-05,0.0004888952302189071,0.040458364569306134,0.05269265172313816,0.00020282579362330752,0.0004899754427763432,8.919040722183381e-05,0.00010458919779338964,0.00025892910518859067,0.00016622776711273934,0.5799843333673816,0.00019992059374060526,0.00012972119726672996,0.0004045239614254197,0.00010525454297486108,0.000192598336674892,0.0004670916599787564,0.00018088813888463508,0.004747442936506319,0.00031487318694463037,9.671745241386791e-05,0.0025999142661259785,0.00023626559151450165,0.0011761969850314544,0.0006312092517775371,0.0001213256584993708,0.00010246953936148145,0.0009311828469083457,9.286984193511452e-05,0.0001499346641561191,0.00012174541737443484,0.00013904567173835328,0.00011108937594855808,0.00010895238441372432,0.00010166919255528571,0.00018080894077732442,0.00011203580420675445,0.00021294805187085168,0.00011985225489560671,0.22857218777659746,8.633086988132976e-05,6.374469231662603e-05,0.00016101344312687848,0.0003283363314797665,0.00015255846689971975,0.0004888037472485034,0.02312212915679654,0.0001941746191185305,0.0001279325312620426,0.0001520827786598157,0.0002365228384446481,0.00028024712526612366,0.000111888607818576,0.0003369561141784521,0.003283586561890287,0.019879334404359898,0.00010384427707875944,0.0001266443425091159,0.00010623050062112868,5.138966709748453e-05,0.00012150250890206226,6.533578404635158e-05,0.00010836502697889288,0.00014241477628263046,0.002005981277277332,0.0019267501911050238,0.00012237296335223562,0.00011846622143539964,0.00011461195264878892,0.001064129960286716,0.00011041328181208733,0.00019140520874785647,9.733452710754105e-05,0.00011473952771870932,0.0005428451871891967,0.00010160188768918254
AretinJohannChristophANDBaboJosephMariusFranzvonANDSchererJoseph,0.0005960727068729173,2.463614070567207e-05,1.4630656002059815e-05,7.972826851564671e-05,1.696643746245058e-05,0.00019553212970540283,2.2743860681120553e-05,1.8144153180716607e-05,0.00023455421672103559,0.008952170767121721,4.797492486235298e-05,0.0005847525847472758,3.438623701926762e-05,0.00010374007968036764,6.007037844531325e-05,0.0002790716431678793,3.615504464205478e-05,0.009864196820969498,0.0002720499713732353,0.0006103798884537298,2.1684573652401068e-05,2.12086022087055e-05,5.937966009374784e-05,2.540302451079197e-05,6.380747464020744e-06,8.285978446634571e-05,0.0068570343109555214,4.801985175074658e-05,3.437567091075464e-05,8.304286291374008e-05,1.5116322398068161e-05,1.7726166775625698e-05,4.388426910686735e-05,2.8172901071495922e-05,0.3514499247522423,3.3883286814463564e-05,2.198563164836922e-05,6.856022759758629e-05,1.7838931955003208e-05,3.2642283415840665e-05,7.916443417649573e-05,3.065759548070884e-05,0.0141284048277305,5.3365880441871524e-05,1.639203405105591e-05,0.0004406431529833418,4.0043172401047054e-05,0.0001993462456691052,0.00010697969487661284,2.056272446960467e-05,1.7366919170097728e-05,0.00015782033700561106,1.5739926697017686e-05,2.5411485300127e-05,2.0633866767106877e-05,2.356597831003475e-05,0.18655189508481507,1.8465655894358757e-05,1.7231273412559836e-05,3.0644172690515195e-05,1.898824536481716e-05,3.60912289380413e-05,2.0313006539271898e-05,0.2608024409721601,1.4631677359495087e-05,1.0803687865525197e-05,2.7289158022064522e-05,5.5647664320027066e-05,2.585617716124335e-05,8.284427959180114e-05,0.035007669106510104,3.290943763511888e-05,2.1682481872159877e-05,2.577555574668388e-05,4.008677156886265e-05,4.7497326546766464e-05,1.8963297972728212e-05,5.710857719545033e-05,0.0005565144799489931,0.003369223633746898,1.7599914838516108e-05,2.1464154844564047e-05,1.800434089176417e-05,8.709712176140906e-06,2.059269773451715e-05,1.1073352017765373e-05,1.8366108368740546e-05,2.413698669614316e-05,0.004781244683781064,0.11135814044342787,2.074022559666636e-05,2.0078096426271864e-05,1.942486059741968e-05,0.00018035270893123216,1.8713254226421848e-05,3.244006765106286e-05,1.6496618168382025e-05,1.944648249541232e-05,9.200342410571224e-05,1.7219866333181407e-05
BassewitzAdelheidHenriettevon,0.0081675712893438,1.9839941018983572e-05,1.178233862266725e-05,0.0019860923741905337,1.3663386752771433e-05,0.0001574656504449288,1.8316052820461504e-05,1.4611823062933776e-05,0.0021107765817253575,5.608540795267311e-05,3.86350967479298e-05,0.04514905813083312,2.7691874408315465e-05,8.354381015892169e-05,4.83757898439282e-05,0.00022474156998327288,2.9116327991743253e-05,0.010399985508266112,0.00021908688746117135,0.0004915502444466745,1.7462989330402354e-05,1.707968069929576e-05,4.7819541545158256e-05,2.0457526770086614e-05,5.138534271890015e-06,6.672852117131731e-05,0.12264571246372641,3.86712772043797e-05,2.7683365325167977e-05,6.687595764042769e-05,1.2173454778676596e-05,1.4275210858822144e-05,3.534081580159979e-05,2.268815973532127e-05,0.002129970900025493,2.7286839280532614e-05,1.7705436918060692e-05,5.521282282135331e-05,1.4366022749149177e-05,2.6287436227627996e-05,6.37525870479086e-05,2.468913022489283e-05,0.00892170157288383,4.2976533258275085e-05,1.3200809032530157e-05,0.13033788987248732,3.224750938635671e-05,0.00016053722876815192,8.615273235926087e-05,1.6559543377369984e-05,1.398590209938463e-05,0.0001270956443704082,1.2675654886159126e-05,2.0464340400654254e-05,1.6616835588973313e-05,1.897811939424792e-05,1.5162409687598352e-05,1.487073516090839e-05,1.3876664055115484e-05,2.467832060300709e-05,0.0019371773070458373,0.0038728363778063168,1.635844089673493e-05,0.08815641947337005,1.1783161140752252e-05,8.700410206302289e-06,2.1976465067470192e-05,4.4814096133951096e-05,2.0822459003789985e-05,6.671603480828885e-05,0.02632234819182482,2.6502580475129066e-05,1.7461304780979386e-05,2.0757533083418098e-05,3.2282620604800894e-05,3.825047796671701e-05,1.5271495556027474e-05,4.599059636702527e-05,0.017262772495984714,0.4650116416540159,1.4173537832364309e-05,1.728548197650279e-05,1.4499229633642848e-05,7.014092748186578e-06,1.65836814034965e-05,8.91757574936754e-06,1.4790567692291995e-05,1.943796303766109e-05,0.0035832854464833215,0.002184864745787702,1.6702488326977945e-05,1.6169263426027825e-05,1.5643200497960105e-05,0.05640661045537299,1.5070130689746214e-05,2.6124588121902703e-05,1.3285032561858953e-05,1.5660613013419305e-05,7.409206375337868e-05,1.386747772253317e-05
BayreutherPostamtANDOsmundEmanuel,0.000964438825289967,3.986099401615842e-05,2.367223415055053e-05,0.00012899942698773315,2.745150185031057e-05,0.00031636875049829977,3.6799306569383206e-05,2.935703241856755e-05,0.00037950604118076577,0.00011268280024906245,7.762287996770612e-05,0.4824023327843052,5.563653838637387e-05,0.014539677420770978,9.719318558712876e-05,0.0004515347282390378,5.849844889865719e-05,0.0015883305288982544,0.0004401737435485544,0.000987587681524968,3.508539226691049e-05,3.4315275912418204e-05,9.607561119073556e-05,4.110180324566309e-05,1.032397645071862e-05,0.00013406618399580542,0.03265234386078651,7.769557115951318e-05,5.561944254359387e-05,0.00013436240283069758,2.4458036827050133e-05,2.8680735193640253e-05,7.100424572058009e-05,4.558343185506202e-05,0.0009547876644116072,5.482277070483498e-05,3.557250066262769e-05,0.00011092966445773896,2.886318796471746e-05,5.281484139327889e-05,0.1366604451488282,4.960363900361168e-05,0.0013018567555880167,8.634538446481228e-05,2.652212369737641e-05,0.0007129555840004692,6.478939516280026e-05,0.00032253994652378236,0.00017309192329565353,3.327025311436523e-05,2.8099476674891304e-05,0.0002553515010393002,2.546702145357302e-05,4.111549270608159e-05,3.338536053840986e-05,3.812948349434216e-05,3.0463231783279964e-05,2.9877220133752886e-05,2.7880003389926253e-05,4.958192108253055e-05,3.072276392260022e-05,5.839519581911814e-05,3.286621235791549e-05,0.08423742973485157,2.367388669520443e-05,1.7480243456354108e-05,4.4153545704221166e-05,9.003728469382761e-05,4.183499905355558e-05,0.00013404109728604733,0.1788025392407164,5.324709386590697e-05,0.007220995586703833,4.170455452647958e-05,6.485993811789093e-05,7.685013135309302e-05,3.0682399327404214e-05,9.240102502479464e-05,0.029644088382018905,0.012637278900632196,2.847646100273603e-05,3.4728757155705046e-05,2.9130817733406427e-05,1.4092214729707348e-05,3.331874951433287e-05,1.7916556971820562e-05,2.9716153375351185e-05,3.905336853517581e-05,0.0005500856592345684,0.0005283586946000228,3.3557447908720256e-05,3.248613048062398e-05,3.142920237747256e-05,0.00029180862122007,3.0277831404434002e-05,5.248765859764218e-05,2.6691339603582105e-05,3.14641863612385e-05,0.0073347740673137,2.786154686590011e-05
BergnerCaroline,0.03515222048911472,6.221433617080044e-05,3.694720539982634e-05,0.0002013400296340357,4.284581974589625e-05,0.0004937827639084607,5.743570842292295e-05,4.581993823649932e-05,0.0005923263332394255,0.0001758733265036113,0.00012115242151008398,0.0014766920809084186,8.683652748715612e-05,0.0002619777289278941,0.00015169740923112542,0.0007047474371579121,9.13033469204539e-05,0.002479038265708173,0.000687015412701158,0.057619645073318924,5.476066121916391e-05,5.35586772006622e-05,0.00014995311883121966,6.415096932392607e-05,1.6113480292640647e-05,0.0002092481345766316,0.09582579071014916,0.00012126587663972544,8.680984459737655e-05,0.00020971046770777816,3.817367235295458e-05,4.4764385460119735e-05,0.00011082217395340359,7.114581618561741e-05,0.001490215740765461,8.556641324756468e-05,5.5520931408875804e-05,0.00017313706309206046,4.504915452610164e-05,8.243247260509812e-05,0.000199916162984642,7.742048457232984e-05,0.0020319150547411817,0.00013476635263318394,0.022472689520543057,0.0011127684964372432,0.00010112214485487524,0.0005034146577832004,0.00027015881992307697,5.192762405537779e-05,4.385716741952273e-05,0.00039854811751401917,3.974847775595626e-05,6.417233559221654e-05,5.2107281691922556e-05,5.951182509834985e-05,4.754647468765371e-05,4.6631838044400315e-05,4.351461738863813e-05,7.738658762428774e-05,4.795154787163533e-05,9.114219133566068e-05,5.129700437142614e-05,0.04175111705119248,3.694978466236537e-05,2.7282855573049715e-05,6.89140751096592e-05,0.00014052860537238824,6.52953284047045e-05,0.0002092089796826599,0.3015031427923883,8.310712463790598e-05,5.475537878793105e-05,6.509173288834939e-05,0.0001012322470545523,0.00011994632910642812,4.788854752362833e-05,0.00014421788957618027,0.001405381603925221,0.4010560443245403,4.444555790707925e-05,5.420403142990547e-05,4.546686634713098e-05,2.1994880113368882e-05,5.200331638079841e-05,2.796384600986848e-05,4.638044788967706e-05,6.095380856946695e-05,0.0008585639914670157,0.02325594718622704,5.237587262327013e-05,5.070377928334487e-05,4.905414454791471e-05,0.0004554497474589785,4.7257105047472604e-05,8.192181147033581e-05,4.165937192316646e-05,4.910874693253477e-05,0.0002323388238669892,4.348581077157681e-05
BornträgerJohannFriedrichWilhelm,0.3768371244907577,0.0001381210879782211,8.20259207390521e-05,0.0004469918938019988,9.512134345330264e-05,0.0010962394967727607,0.0001275121302330522,0.00010172413803380704,0.0013150145548539605,0.0003904536590463337,0.00026896862202674437,0.003278381308512962,0.00019278443508340327,0.0005816127145718392,0.0003367810780614636,0.02646428408518117,0.00020270115199951035,0.055303044954193414,0.001525232319438082,0.07812111480950007,0.00012157329920282241,0.00011890479302585207,0.0003329086058530721,0.00014242057736584473,3.577328902176272e-05,0.0004645485555900248,0.013543878316832408,0.0002692205020098365,0.00019272519681142936,0.0004655749742422632,8.47487811014988e-05,9.938072159853844e-05,0.00024603459878657166,0.00015794972897690532,0.0033084049771377314,0.00018996467405360803,0.00012326116332263121,0.0003843789228575421,0.00010001293300891148,0.00018300706077926108,0.00044383078941907567,0.00017188002346555777,0.10410976395469096,0.00029919270049671065,9.190098418242192e-05,0.0024704401727256077,0.00022449971382322543,0.001117623115776868,0.0005997754284839719,0.00011528371709958165,9.736662082188271e-05,0.0008848105274575658,8.82449822828378e-05,0.00014246801228846788,0.00011568257224697136,0.00013212128483678284,0.00010555719497445838,0.00010352662427248891,9.660613078269204e-05,0.00017180476937412358,0.0001064564917013212,0.00020234337297179083,0.00011388368806754694,0.19228975157547665,8.20316469200258e-05,6.057024677651265e-05,0.00015299507504230777,0.0003119853889111524,0.00014496115130753148,0.0004644616284139444,0.07177003202736744,0.00018450484534972275,0.00012156157175873221,0.0001445091520424545,0.00022474415001822782,0.00026629099488727166,0.0001063166256005909,0.00032017591185894487,0.02801975119043068,0.018889356068173255,9.867289746645272e-05,0.00012033753399458496,0.00010094028857891294,4.8830494033863486e-05,0.00011545176046357405,6.208210313993899e-05,0.00010296851686807873,0.00013532261009613334,0.001906084672747906,0.0018307992447786168,0.00011627886683021599,0.00011256667820093335,0.00010890434957303076,0.0010111369583006963,0.00010491476990027684,0.00018187334987173126,9.248732894489516e-05,0.00010902557148479756,0.0005158118386731306,9.654217765654189e-05
BrockhausFriedrichArnold,0.25928930247976745,0.00011760670516981749,6.984305161396953e-05,0.004339994649728021,8.099348157924637e-05,0.002653294567791052,0.00010857343889630062,8.661559857016301e-05,0.004936433550870895,0.00033246167572311097,0.00022902015828038674,0.0074670658907528675,0.0001641511991402694,0.0004952289041949417,0.004553260761144292,0.01628538799978983,0.00017259503939432994,0.02403551346254245,0.0012986977610248457,0.012857205636716733,0.00010351667051828341,0.016203926119763578,0.00048769582120222516,0.0023579235272108133,0.012467311044056123,0.0003955516555368817,0.07209564337620829,0.0024658905405861515,0.0007232647373861134,0.00039642562574361524,7.216150016192293e-05,0.015029824118374488,0.002459797646432321,0.0001344903046982119,0.022536047425733848,0.00016175024206025593,0.00010495384525250186,0.0003272891874492547,8.515854963003493e-05,0.00015582600568897308,0.00037791098781908745,0.00014635160742060293,0.02438400514165061,0.00025475521682703843,7.825142496171467e-05,0.005633706843011254,0.00019115597799576885,0.0015531742364482334,0.0005106940078327345,9.816124623887262e-05,8.290527996844454e-05,0.012186683017255603,0.0013949357824966924,0.00012130800417660872,9.850086157503274e-05,0.006192381678991176,8.987935216577171e-05,8.81503712160224e-05,8.225774142720611e-05,0.012137765356783192,9.064508118343637e-05,0.0009271828125134844,9.696915599393008e-05,0.13302654685421056,6.984792731606095e-05,0.006497861408067533,0.00013027153888168022,0.0002656478759908861,0.00012343085065757918,0.00039547763918703846,0.08747150246882492,0.001145845315165175,0.00010350668488842989,0.0001230459844138868,0.00039559645061785733,0.00022674022470792367,9.052598864287928e-05,0.0015924192577117147,0.04386728875659379,0.11642056469083777,8.401754236412149e-05,0.00010246444687429347,8.594817006168073e-05,4.1577963214731125e-05,0.0006820100417923343,5.286138204654363e-05,8.767515650460981e-05,0.00011522387016597766,0.03085029043479743,0.01329068972944376,0.001217336548080224,0.0008164687159910607,9.272937188248702e-05,0.003975178511208843,0.00044964282376841426,0.00015486067876893984,7.87506830881706e-05,0.00019932450525882357,0.0004392010787194036,8.220328691514046e-05
CarlAugust,0.007820712107961566,0.00032323601078982473,0.00019196005323411755,0.0010460667427607383,0.00022260643938500167,0.0025654596774023755,0.000298408540702658,0.00023805854023004752,0.003077445052478697,0.0009137539024332607,0.0006294501852263846,0.007672187582092805,0.00045116117061396886,0.0013611113004879155,0.0007881473696416947,0.0036615314768590475,0.0004743686334497659,0.012879900179324309,0.1783828601821096,0.008008428047526838,0.00028451027158919013,0.0002782653360472118,0.0007790848688544702,0.00033329783276380017,8.371795650820024e-05,0.0010871534834041546,0.031695878318349295,0.0006300396439551296,0.00045102253904800597,0.001089555545793079,0.00019833219042459337,0.00023257439156568882,0.058846931095431286,0.00036963972009747856,0.06601360201548108,0.0004445622629453923,0.00028846027280065087,0.0008995375831078932,0.00023405391578068053,0.0004282798024439745,0.00103866901091991,0.00040223990364330687,0.2436414690730704,0.0007001816766838728,0.0002150700370928792,0.005781414250463071,0.0005253824233640478,0.002615502402986951,0.11794592024315878,0.00026979116201406717,0.0002278609194239291,0.002070665887350388,0.00020651412802236905,0.00033340884170085137,0.0002707245773861323,0.00030919505251654093,0.00024702879996925365,0.00024227678430720792,0.00022608119288027378,0.00040206379127214864,0.0002491333669891233,0.0004735313459120182,0.00026651476297950285,0.04210543057678617,0.0001919734538518081,0.0001417487020061869,0.00035804465814056767,0.000730119592978113,0.00033924337661990473,0.0010869500532543002,0.05141654428756992,0.0004317849725571358,0.0002844828265965393,0.0003381855914441432,0.0005259544618682455,0.0006231839044750908,0.0002488060472358072,0.0007492873536921352,0.007301692363044133,0.04420556043424479,0.00023091791569987291,0.0002816182887498534,0.00023622414712926547,0.0001142749041977656,0.00027018442322719334,0.0001452868034427916,0.0002409706809913821,0.0003166869107202377,0.0627318408617316,0.0042845032073058655,0.00027212004773150044,0.0002634326484256256,0.0002548619333146118,0.002366299611068875,0.0002455253733654716,0.0004256266508036064,0.00021644222250456115,0.0002551456212564994,0.001207121689319137,0.0002259315274404998
