year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.007295554447916308,0.00012298345949923834,7.303614276981075e-05,0.0003980030151265101,8.469634913350075e-05,0.05891628641171039,0.00011353720951467523,9.057549859401829e-05,0.0011708931750761457,0.0003476611896600892,0.00023949052326323913,0.011330752102817532,0.00017165587899149582,0.0005178698254828872,0.00029987095149737523,0.0013931238879887093,0.00018048575552280264,0.03381356154157077,0.009997998232748445,0.00304701256530476,0.00010824925532773563,0.00010587320887355011,0.00029642288982935724,0.0001268117386324985,3.185265122047271e-05,0.009316587062178772,0.1976325341799617,0.00023971479800761534,0.00017160313304423502,0.0004145494495207766,7.546058636498318e-05,8.848891308795747e-05,0.00021906999545247426,0.00014063894500751303,0.0894973178346012,0.00016914515473148977,0.00010975213495066078,0.0003422522250843062,8.905183615438182e-05,0.00016295007356856165,0.0003951883576506626,0.004202168100430015,0.03072548419537099,0.00026640213961974367,8.182893091546725e-05,0.0021996878490820886,0.0001998952648484983,0.000995135204960375,0.0005340419641729706,0.00010264899126101317,8.669555129998572e-05,0.05156594905670714,7.857361510433245e-05,0.008766780461048432,0.00010300413316282615,0.00011764121554902543,9.39884647812901e-05,9.218043811902274e-05,8.601840853124989e-05,0.0001529755173911615,9.478920146969043e-05,0.0031478177009683695,0.00010140240092293137,0.1438830699844418,7.304124137970569e-05,5.3931941894873365e-05,0.005219033188386624,0.00027779279039243343,0.0001290738738142856,0.0004135581228262801,0.13849616214935503,0.00016428370575142574,0.000108238813173924,0.00012867141221972414,0.00020011291162009743,0.0002371063554748032,9.466466424524292e-05,0.00028508565828083476,0.007009626028627258,0.1507047894791276,8.785866421173463e-05,0.00010714892602492997,8.987755652665872e-05,4.347882841965718e-05,0.00010279861761099482,5.5278103647302e-05,9.168349749705681e-05,0.00012049168582217663,0.006779989785919062,0.0097284006695029,0.00010353507577123979,0.00010022973111586822,9.69687819655576e-05,0.0009003195889896604,9.341644743586958e-05,0.00016194061374225313,8.235101417157068e-05,9.70767183443859e-05,0.0004592805146502122,8.596146446271651e-05
1799,0.00046737664969278653,1.931703426715015e-05,1.147180017841052e-05,6.25144057008373e-05,1.3303270904690065e-05,0.003635680655137069,1.7833310070490988e-05,1.4226709975707725e-05,0.0001839124031655512,5.460720605329634e-05,3.7616819882696206e-05,0.0004585006171346919,2.6962020015846443e-05,8.134190732240669e-05,4.710078468587553e-05,0.00021881822150912915,2.8348930322520782e-05,0.00425208598737482,0.00021331257530056568,0.06664353382801587,1.7002730148214006e-05,1.662952410113475e-05,4.655919701491916e-05,1.9918342764264442e-05,5.003101698641549e-06,6.496980655482955e-05,0.008858920262478547,3.765204675743213e-05,2.6953735200353048e-05,6.511335714922435e-05,1.1852607973193754e-05,1.3898969612198398e-05,3.440936387942544e-05,2.2090184574965548e-05,0.25467536001675284,2.6567660101404433e-05,1.723878772289645e-05,5.3757619007317606e-05,1.398738804023876e-05,2.5594597580644893e-05,6.207230694111282e-05,2.403841695517401e-05,0.004113257946773765,4.1843832339978854e-05,0.2646726089341637,0.00034550536902091037,3.139758546915337e-05,0.00015630606695354917,8.388206807671838e-05,1.6123095656531505e-05,1.3617285951219075e-05,0.00012374587783096558,1.2341571961338893e-05,1.9924976812976213e-05,1.6178877859398106e-05,1.847792704191896e-05,1.476278519314429e-05,1.4478798117702195e-05,1.3510927013840962e-05,2.402789223455201e-05,1.488855704987832e-05,2.8298892852937457e-05,1.592729348625695e-05,0.0826106790404105,1.1472601017990546e-05,8.471099885457946e-06,2.139724752069341e-05,4.3632963920738704e-05,2.027365674714828e-05,6.495764928569946e-05,0.2886266716252072,2.580407142925068e-05,1.7001089997222774e-05,2.021044203156773e-05,3.143177128700427e-05,3.7242338216174705e-05,1.4868995965469215e-05,4.4778456001378385e-05,0.0004363593067507074,0.0130888815026753,1.3799976307014096e-05,1.6829901225251582e-05,1.4117084088726126e-05,6.8292274578864096e-06,1.6146597494434203e-05,8.682541755825496e-06,1.4400743564168399e-05,1.8925650924204903e-05,0.00026657698312778093,0.0037384130910829523,1.626227311110412e-05,1.574310202718329e-05,1.5230904153286471e-05,0.0001414133609732089,1.4672938325054188e-05,2.543604154282068e-05,1.2934888717264052e-05,1.524785773986623e-05,7.213927365401078e-05,1.3501982798678618e-05
1800,0.03264819817169548,0.001001506658006167,3.980711090064655e-05,0.0009956553008415906,4.616230861839471e-05,0.008828223844226884,6.188153041905678e-05,4.936663931961892e-05,0.008847289642373588,0.001793459165130342,0.00013053024786974707,0.008660335240349367,9.35581255064155e-05,0.003321043682842858,0.005076102712101193,0.018272763283089057,9.837069995231077e-05,0.028297340096156462,0.007499125591411507,0.01562279068401737,5.8999420674837774e-05,5.770439685348194e-05,0.0010601118597099442,6.911658737452178e-05,1.7360747316698104e-05,0.00022544502645616975,0.07932137176133992,0.002752893294087366,9.352937722244896e-05,0.00022594314657176266,0.000546216458326351,4.822938127868939e-05,0.00011940038552508804,7.665287169543809e-05,0.13354661600202072,9.218969783117533e-05,5.981853972400026e-05,0.003952831914778258,4.853619294869106e-05,0.013140543163094338,0.0037484949052614784,8.341323198877214e-05,0.024697447169678855,0.001637036646904115,4.459947095097378e-05,0.010152591916925857,0.013387750742710161,0.002026890450260293,0.0002910705150521688,5.5947091727517256e-05,4.72519398521375e-05,0.0026464636666364487,4.282521627929863e-05,0.0056862137437972545,0.001056754395359172,6.411834930284141e-05,0.007880089974889018,0.0004676547935230839,4.688287467059314e-05,8.337671124098342e-05,5.166324660627297e-05,0.0010326736793330588,0.002056495137929093,0.22441578418087044,0.0009383614808457404,2.939469022703994e-05,0.00185971239900643,0.0006419903628685637,7.0349525788828e-05,0.00022540284077014104,0.11674352364221427,8.954004751630087e-05,5.899372935600498e-05,7.013017092258798e-05,0.00476073052815039,0.0001292307976528984,5.1595369704278527e-05,0.0018570679157162858,0.005832823665179162,0.14696843346922248,0.005365924594678733,0.0004057779507829608,4.89862378331224e-05,0.0006189614954712128,5.6028643031864626e-05,3.0128392858872854e-05,4.997053532970888e-05,6.567194978034673e-05,0.00897240615770033,0.01399843073369932,5.643003706154325e-05,5.462851501682184e-05,0.0029205927431567693,0.0033588637747657703,5.091505030248072e-05,0.004276144360351992,4.4884023575016125e-05,5.291001888181741e-05,0.0005977013009002601,4.685183827182839e-05
1801,0.01658081560353161,0.001357975840796153,3.6232584646395046e-05,0.0024376410327341734,4.201710992449421e-05,0.0013423607973997067,5.632480575023414e-05,4.493370398872866e-05,0.006086398241135146,0.0010709112762098724,0.00011880913102836411,0.03832269329530901,8.515696379548593e-05,0.005196664632601968,0.010200446889196779,0.0232024204598309,8.953738746936639e-05,0.040406017718876364,0.002954797170958809,0.009603952951570583,0.001426880034202587,0.0005817984370100152,0.0009120502601909,0.0005467714951456334,1.58018186310206e-05,0.0005270926283975678,0.1252833466003877,0.0003002071162529328,8.513079699742672e-05,0.00020565431648296952,3.743532967715815e-05,4.3898567368650494e-05,0.0015774874932189594,6.976973709612043e-05,0.059382660855151245,0.00015067545230252846,5.4447063726455505e-05,0.0009541449369907572,0.0020744241215360686,8.083809070143898e-05,0.005039408696216277,0.0007769503943825351,0.014175476420417358,0.005565530840014134,4.0594609100087904e-05,0.00555451125374487,0.003908090683620877,0.005900053973958866,0.00035145272957540365,0.00021587086906101554,4.300889644244771e-05,0.0005119227332859329,0.0004015531247233322,6.293113528182522e-05,5.1099439704985347e-05,0.003709435288648069,4.662684633696786e-05,0.0021144142703086993,4.2672971902138367e-05,7.588980157632848e-05,0.0060650712663827275,0.0002916831089970696,0.0013305043064191242,0.13583898271195113,0.0026997322560982813,2.6755159510671426e-05,0.0019620768718629626,0.0026780859606192727,6.403240753490758e-05,0.005630706118044126,0.14573341493605244,0.00016801892695542255,5.3696318173727425e-05,0.00108588160375303,0.002479992875355982,0.00011762636646920642,0.00037120351140006966,0.0006721966104548897,0.009810417072053823,0.23592836354505836,0.0016494752693028535,5.315563479583595e-05,4.4587461100278394e-05,2.1569462341492666e-05,5.099748525687944e-05,2.742297845336032e-05,0.00040479172236370536,5.977485995527423e-05,0.009956557086638925,0.008378126575880652,0.002173893051059568,4.972308338060553e-05,0.0004519623979175378,0.0004466405875196247,0.00791577707151442,0.0025001800756615303,0.006804078514839623,4.8158901623445164e-05,0.003777923398269528,4.264472245323539e-05
1802,0.01250374215353885,0.0005612705705636036,0.0009352429027135966,0.0005630201024091496,7.064175656219118e-05,0.014547573353581625,0.0002703855597673985,0.0004719714786090856,0.003451555964997421,0.00012600319506770374,0.0010643269826459568,0.05311932372534794,6.221341308252037e-05,0.0012855523559586698,0.0028962444887221084,0.030370060729527606,0.0013936827756507535,0.03550732565471769,0.0015140480678946763,0.010228960422289183,0.0012958401131740775,0.0001291297239261345,0.00044427028372972155,4.5960506133594725e-05,1.1544388457856961e-05,0.0028419223257850077,0.17967103163143894,0.029634514409014233,6.219429631573881e-05,0.0025067748190807544,2.7349256306021937e-05,0.001301298348191642,0.008955402253106802,0.0018756864815204295,0.026914745854256003,0.0007552992259422154,3.9777576791950474e-05,0.0023329376776848945,0.0005584841423450055,0.002216618193378146,0.0006358571365940783,0.0023764003427666222,0.021298773812516582,0.0020041543017294476,2.9657341834457053e-05,0.010488428911737244,7.244824213609108e-05,0.004634607161212372,0.0009700972669704435,3.720317727155632e-05,0.00034656473676701816,0.0005958298637050442,0.0010475714291574483,0.003622592648664196,3.733189170866277e-05,0.003924987544760058,0.0002094673325020017,3.340904901433981e-05,3.11757384256019e-05,0.00015004764317689775,3.4354545742579874e-05,0.00034404864715106506,0.002263257013422298,0.13520490507156535,2.6472410666696927e-05,1.9546608011103845e-05,0.0007409227911294486,0.0032994743165037244,4.678037406552846e-05,0.00029434665876284063,0.15036825489070327,0.0003845638582455844,0.0013741624902757208,4.663450950452765e-05,7.252712407469483e-05,0.0008137668855494716,0.00031641506364774795,0.00010332388221557217,0.01605987684676035,0.17377998474369954,3.184270414504064e-05,3.883409315953366e-05,0.0004433231481564799,1.575807556786429e-05,0.00035240098730610775,0.0001315133212568956,3.3228942324295256e-05,4.3669923029176975e-05,0.01392219481948463,0.006439692983748231,0.00011597837755674076,3.6326362380925984e-05,0.00020300980751625385,0.005761769117976435,3.3857017115721564e-05,0.00015564494596668568,2.9846560994711038e-05,3.518361278703405e-05,0.0014406186348236915,3.115510012949994e-05
1803,0.021696937906479426,0.00016726303925938924,0.003138468695749703,0.0002111521922977034,0.0002712950440068237,0.0034479904038650917,6.0234796685565405e-05,4.80529402283682e-05,0.0029190719720496748,0.0015388419174941009,0.0003497582920140775,0.0535521639181905,0.0003046380762569662,0.06796749422514808,0.00426002438402712,0.01091668627550034,9.575295037660307e-05,0.03133498599892603,0.0013400835287872522,0.010707408110309903,5.742938296530201e-05,5.61688211134201e-05,0.00038180435453199867,6.727732103442527e-05,0.0003628819744052824,0.0005768532073722697,0.0945358923639157,0.003907595042803601,0.00030171151253080396,0.0028633862758219615,4.003403903352761e-05,4.694594584069679e-05,0.0018523313174651,0.0006982730164397153,0.07923853984879355,0.0005466365479261671,5.822670438016447e-05,0.0007153228799061526,4.7244592923892e-05,0.003182752267926196,0.0050985207258355935,0.00044228576301446156,0.022780332386200256,0.007155488703915405,4.341263131055953e-05,0.006897079001624255,0.003698724413800886,0.010078049520659224,0.0006536991272814964,0.0010210002392189736,4.5994515176301454e-05,0.007620165006404529,0.0005286599274948148,0.004059493153382207,0.0014372923836971914,0.0006022924173158396,0.0033264581681524724,4.8904407394018204e-05,4.56352712141127e-05,0.000302536158001634,0.00020119587487877935,9.558394098938905e-05,0.0017269411137685391,0.127622909392358,3.875050604972996e-05,2.861246606977363e-05,0.00026617784588525776,0.001712414889347353,0.0011504638018760486,0.002676889129910548,0.22294414866990417,0.0006187076760129253,5.742384309855266e-05,6.82639320398118e-05,0.00010616572837326147,0.000361957612703263,0.0006301908249202364,0.002210108989613406,0.009802389086643378,0.10978058824446198,4.6611580454380983e-05,5.684562622048697e-05,0.003013237511412365,2.306678489967753e-05,0.000945344035688564,2.9326644089561423e-05,0.002189625282489159,0.0011499704717399927,0.0016970379454365658,0.012834193585509487,5.4928373399023446e-05,0.000933796496684274,0.0013457853649305276,0.005341330396273519,0.0010474489318559183,0.0026510401466107686,4.368961168482408e-05,0.0033718277576240694,0.000840305846980183,0.000533068031235382
1804,0.013901368586798392,5.8352720877000935e-05,3.465390931701634e-05,0.0013602035495994186,4.01863993777049e-05,0.009092663894586083,5.387070036035579e-05,4.297591569852262e-05,0.0014077355625915025,0.00016495694984191685,0.00011363254630801178,0.0908077344041346,0.0004974836667885296,0.03588531610504657,0.0012150955943692656,0.01869888515343806,0.00047273814057816987,0.03365773390292053,0.004376213986775676,0.012809561719559721,5.136169210886186e-05,5.023431468675632e-05,0.002560902527582631,6.0169148099100345e-05,1.5113323965912816e-05,0.0011373379701330078,0.09192938240019881,0.006774236088491608,8.142159738327346e-05,0.0005056785584292578,3.580425002923223e-05,0.00025421465687424635,0.00213854480128836,6.672982802626494e-05,0.05370068771035988,8.025534524669053e-05,0.0007505989686707872,0.0006696605324549244,4.225297417928987e-05,0.0005370933441658705,0.0009685610853807934,7.26150306258776e-05,0.020293957101307863,0.005347641517924617,3.882587776288099e-05,0.007605380732716628,0.021820643101668296,0.0016415860758068309,0.0021280005261559622,4.870450026165269e-05,4.1134973165372e-05,0.0019089514985950946,0.001973486851998454,0.0032711874320299037,4.887300663114827e-05,0.00023150632430416,4.459528682452147e-05,0.0015317686317644485,0.0001666648104382825,0.0003306512046450358,0.00037371191484051827,8.548503734777686e-05,0.001150057127161584,0.11058905696524317,3.465632848591328e-05,0.0005803054781956141,0.0020570054184130535,0.02332989846326655,0.0015174446099756526,0.0034082251307110275,0.24499475184894945,7.79487035523803e-05,0.0024045242349209532,6.105151890082901e-05,0.0015023149853837566,0.0010824817587323512,0.004531092838489884,0.0003649877394968521,0.011277583483599729,0.1045508768709031,0.0002645306412856277,0.0004583461790980318,4.26447588192904e-05,0.00032004015562617276,0.00029893508472793133,2.6228142921617175e-05,0.0029559059000522285,5.717043364538227e-05,0.008594484794257845,0.007446737874414926,4.9124926246652795e-05,4.755661897295496e-05,0.000972683460714944,0.0017853272168311903,4.432387822510463e-05,0.006241963996201757,3.9073593826829794e-05,4.606058954814381e-05,0.0006468356202095571,4.0786666454135624e-05
1805,0.020915629449998904,0.001050391089515674,4.671331706762187e-05,0.0013305626069140253,5.41710892922265e-05,0.001065447097755002,0.0011154318912563982,0.00034251837225802355,0.0029792463869633156,0.00022236124155520557,0.00015317617173658628,0.06673807940752428,0.0010013651479612296,0.001082433989698485,0.007428519971429331,0.007168168585362077,0.0021524859206031475,0.01934580153886314,0.0035951666162637136,0.034065879363994425,0.00018295142655796976,6.771563485580168e-05,0.006539188553821326,8.110774652087566e-05,0.0005280622765548266,0.001287992968974708,0.0819506830190585,0.0007154868290031195,0.0020615347512337057,0.005337355734499316,0.003352147601388472,0.003303390716335751,0.0005232266679319359,0.00041729285487837554,0.05099659607924029,0.00010818385177222188,0.00041859502746786046,0.010870174412376414,0.0001626111223416728,0.0018450086179197319,0.00217145017797484,0.000597832860979705,0.05366657195984937,0.007899455865669753,0.0027958589331468675,0.01088472853741518,0.00023216113441095344,0.016703968500751853,0.024617891955580316,0.0005411709899374702,5.5449762578405184e-05,0.011875211466913428,0.0004053900928628204,0.0010162790120552955,0.00015300507888108835,7.524235527445712e-05,6.011425014413849e-05,0.0008605307504593104,0.00022388095991920356,0.0021091761993918805,6.0626394753565826e-05,0.00011523345368146811,6.48561428094607e-05,0.1300724510787617,0.002056195254507978,0.000559383062503711,0.00047595802813398626,0.005438219843053685,0.0013160450248703038,0.002672831548776411,0.1646803469727008,0.0005236579392198599,6.922865593754443e-05,8.229717847371232e-05,0.0006828299254225387,0.00204987001914974,0.00026704695305461527,0.003595572127015185,0.03991459455378819,0.12137924538594635,5.619368004407987e-05,6.853157306832244e-05,0.0026102477759086754,0.000853442399382831,6.574915153597811e-05,3.5355421092153256e-05,5.8640011999905736e-05,0.0013864308555433125,0.015020435479691212,0.012974784856908535,6.622018412671865e-05,0.008196372600744309,6.20204365377649e-05,0.0013659284519552917,5.9748392548002504e-05,0.0004992447316450968,5.26710323128798e-05,6.20894717591789e-05,0.0008261977110264878,5.498024666636417e-05
1806,0.008441254640687318,0.00010678487269183754,6.341629386043915e-05,0.004957521446571995,0.0021518558441916648,0.0023730253559803008,9.858282173210594e-05,0.0009514189708694597,0.002055828265581876,0.0003018695036626071,0.0007439431753016102,0.08579429839436975,0.00014904647551426111,0.006671346685184306,0.0002603738869439245,0.005047222539680544,0.0001567133377502034,0.020021515111753697,0.0032659884561285738,0.044845961813866554,9.39913627102843e-05,9.192827374569337e-05,0.029914211933237653,0.00011010891562849389,2.765722577105377e-05,0.00035915412406597753,0.0841398566485818,0.0026168569212309967,0.00043992517419878937,0.0026074541480121984,6.552140540725354e-05,7.683372509776516e-05,0.0015202975836405485,0.0003585596350515605,0.03730454968616845,0.0001468664476344086,0.0010677581549249032,0.015322246337321195,7.732250357438459e-05,0.0013458452464669042,0.009784286953069543,0.00013288475129108254,0.05624666112039013,0.00023131337075701344,7.105095275329654e-05,0.006833797720645948,0.0001735663518936889,0.015003362103984555,0.040762501814403586,0.0012528267183539383,7.527657333931953e-05,0.016361518784718088,6.82244061113401e-05,0.00011014558875529595,8.943709415324745e-05,0.00490600708556404,8.160891136936573e-05,8.003902629913103e-05,7.468861944171349e-05,0.00013282657046807448,8.230418019395952e-05,0.00039288147316992315,8.804633173674027e-05,0.11353163078204305,6.342072091437592e-05,4.682837491088224e-05,0.00011828432464597347,0.004605071177739313,0.00011207309697761562,0.009986126866274302,0.16267106321933544,0.00014264531730885275,9.398229592951598e-05,0.000299753019573401,0.0006859669793281318,0.00020587623804776162,8.219604620820099e-05,0.002263406593758625,0.022434938999176725,0.1319467809646412,7.628648853208665e-05,9.303596167507492e-05,7.803946539341028e-05,3.7752078015109794e-05,0.0006711076423349783,4.7997228933537215e-05,0.00042727424855590405,0.00010462129934656544,0.007895553077340045,0.010429037352398102,8.989810443119031e-05,0.0009488608513171448,8.419668042708419e-05,0.0018588832538889114,8.111223645343012e-05,0.002183663718147866,0.0024802200784257906,0.0034688191420058803,0.00039878705223012756,7.463917567802645e-05
1807,0.00809664801583981,0.00017712665915721142,0.00010519014523758636,0.0011961653703677598,0.00012198373200684502,0.0017515663367825202,0.002839877277757701,0.00146862894395041,0.004078177506222287,0.0031770738292338217,0.0003449257034901729,0.03622462022244045,0.00024722700511320807,0.0007458608860054066,0.0015057268984774298,0.006754684056926799,0.00025994421551800033,0.0909503869176419,0.007617894470910057,0.014030040834451972,0.0001559057537536301,0.00015248365803323093,0.0015339928915203754,0.0037632138922464465,4.587571140830646e-05,0.0005957376594147863,0.0791725305478454,0.0019397828254058519,0.00024715103787777305,0.004965038628232831,0.00010868194483467487,0.00012744596396574635,0.003047046854510208,0.0064319788975611344,0.01775473582189332,0.000243610939976883,0.00015807027285081674,0.009657133174979666,0.00012825671268369804,0.00023468848785148953,0.0005691691696875756,0.00133135445805982,0.04536513781675918,0.002308606982745963,0.00011785393917588355,0.007960685441405463,0.00028789871896699854,0.02800112639284029,0.006588000740729465,0.0007688341016606644,0.00012486307856427,0.009988944228678473,0.00011316547768296606,0.001520878940192747,0.00014835147800203912,0.002383573446619774,0.003293919192408211,0.00013276267483573008,0.0014620656049324355,0.00819299320860707,0.00013651994055843003,0.0018460695888702237,0.0001460445866389879,0.07696301533586751,0.00010519748849936087,7.767536161851857e-05,0.00019620107911417464,0.0035732588394022245,0.0001858983650833589,0.003381300141281874,0.17999300695479148,0.005177298773452534,0.0020247179036434393,0.001280336297888901,0.00028821218425482416,0.0003414919110358427,0.0001363405760926968,0.0010406680471877643,0.024742194256898862,0.23699604562361218,0.0001265382493971573,0.0009515880622287729,0.00012944595464790194,6.26202877476478e-05,0.0003033040136789317,7.96141681447277e-05,0.00013204695718941622,0.0001735378875566162,0.005478765614668912,0.008247282128648234,0.00014911616693513181,0.0001443556515084802,0.00013965907661110845,0.008163062331706165,0.002061844636325631,0.00023323461553959092,0.00011860586844614523,0.0010713057057566953,0.0006614777589379864,0.00012380581159888927
