year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.009957200803593384,0.0006163003045309779,0.026358662654036007,0.0005340882546531815,0.12223350777957835,0.00046349198147473955,0.1818668780228659,0.37004538633878753,0.00047700377789434674,0.0008049509449639136,0.00048436200617467173,0.01426228793360925,0.002164322760380358,0.0081446068071561,0.01224846843022122,0.006806621550621793,0.0013681307081499323,0.016709412316863095,0.1804281797958572,0.044026136828588074
1799,0.00010411535257732584,8.96726880937477e-05,0.0004142746996258101,7.771070226956466e-05,0.0003465136564945505,6.743883068558228e-05,0.01936130696493697,0.1061756828303743,0.2140272008319007,0.00011712166047597387,7.047545293234569e-05,0.0002146920937583566,0.02486744642031713,0.00016174211722144914,0.242755663441326,0.00023902774685160874,0.00019906522414713567,0.00014821965169531135,0.39023656967422,0.00032605996009612924
1800,0.00038310884534130364,0.0019533267234101955,0.01514688406732334,0.0002859487739336377,0.014403920081250379,0.0018312349158808028,0.14391587858877464,0.28603073038707505,0.001988836791556049,0.002550084599983892,0.007685302950876031,0.012156062566271341,0.017906685820620376,0.004566255150991416,0.11261496876332583,0.006640883947077375,0.0017575941439901873,0.01693929887495571,0.2899034972905533,0.061339496716809196
1801,0.002973194596460303,0.011544566984779842,0.012374956119358816,0.00034913067973039747,0.019156348547410076,0.004501157564892945,0.20749985098620546,0.4246027504607952,0.003313073211854906,0.0009438243689463865,0.00985519088117924,0.027929946321860546,0.011345865501530827,0.0047588741772632785,0.028185224245472693,0.016711062269908084,0.007129901654669829,0.016349703182806888,0.1285959199682409,0.06187945827663329
1802,0.0007961051147661138,0.00030278081706697354,0.016425245758159138,0.00018278815477662833,0.04151744157170623,0.0001586270495735683,0.1595189595660214,0.46732237210433436,0.00028385979947769945,0.0013591472751101844,0.041543547053148375,0.012467143890520192,0.0058166958178285134,0.004550550631194251,0.027548309233813243,0.043543642911946075,0.0026333536050895906,0.0075663882736676045,0.06851731655691302,0.09794572481488682
1803,0.00036904534990375335,0.0005472841887180539,0.022000985763071,0.002156057203068819,0.009090002742598606,0.0004670626202126225,0.10053448534732236,0.39870734656132656,0.0036531358244889503,0.0028340914318145697,0.0070781230004425015,0.020528891783038978,0.009610878663840614,0.005101306638144453,0.06546717106168835,0.04091333861648584,0.0025441082243976725,0.10897823001928274,0.15596023177717272,0.04345822318298097
1804,0.001275604542002453,0.006932125912700119,0.014307602330803547,0.009240924966052536,0.0214580654907005,0.00694249884182751,0.08193113513581261,0.4559292910330308,0.0023724263979814815,0.0023317944915436655,0.007404088518307086,0.011586293123059423,0.011954740506472855,0.0009747130020269982,0.043492928195786755,0.06782691987893222,0.0020291518309650987,0.10063650915954091,0.11558265607365781,0.035790530568795664
1805,0.007122256569291831,0.00334236416850366,0.05862881567415373,0.002980786654801381,0.007793120701438386,0.007072530381381418,0.14463327629797995,0.35994892177408366,0.01785571977971516,0.004636719297300931,0.006536027666338619,0.006699485818360875,0.06434535527138181,0.0025510714340418817,0.06246558911297635,0.05839348367929522,0.0026763150214571983,0.01950627659781178,0.13022636778187177,0.032585516317814464
1806,0.0008350095411728946,0.003114636881487394,0.04834072048528616,0.009838351820227974,0.008169888531527714,0.0062883264367849315,0.1380385239538423,0.38271124960862746,0.0011069565877987462,0.005604140321423026,0.0004145062811471007,0.007028800698270883,0.12051853678779874,0.008531822853158693,0.02963490254867839,0.06983777246289596,0.005193088674287496,0.022749560992063038,0.12348113132617276,0.00856207320734826
1807,0.0011824189136431242,0.004808081446529732,0.06710928555292488,0.00888024667434691,0.0276458268059444,0.012934991032698125,0.2107831569312718,0.4396029245596827,0.0007109113211224332,0.0033272984134576646,0.01979675959327467,0.014964757904443706,0.030549318990955455,0.003106672193369002,0.04074748818829409,0.03241895983598987,0.004894647985318124,0.015162370910898127,0.05618693888229466,0.005186943863540566
