,segmentID,idno,filename,id,corpus,sender,receiver,date,year,month,year_range,sender_norm,receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,ub0505,ub0505,OsmundEmanuel_SchwendlerAuguste_1808-07-17.xml,JP-UB0505,letters-context,Osmund Emanuel,Schwendler Auguste Sophie Henriette,1808-07-17,1808,7,1804,OsmundEmanuel,SchwendlerAugusteSophieHenriette,0.00017450369774009056,0.00015029690887355862,0.0006943497301339685,0.00013024788913764426,0.0005807780781497086,0.00011303160422149778,0.2088145131266574,0.6071087986877242,0.00011632672061242876,0.000196303065134775,0.00011812116880138508,0.00035983707790424794,0.0005278125262933486,0.0002710896792525562,0.001236645864555338,0.11209768495037303,0.059121571714996365,0.00024842520011033367,0.00739316587711861,0.0005464964322096747
1,ub0625,ub0625,EndeHenriette_RichterCaroline_1820-02-07.xml,JP-UB0625,letters-context,Ende Henriette Freifrau von,Richter Caroline,1820-02-07,1820,2,1819,EndeHenrietteFreifrauvon,RichterCaroline,9.019546691068018e-05,7.768373992437288e-05,0.021628827155320243,6.732103288950187e-05,0.00030018590212467364,5.842247729102998e-05,0.1109682098742394,0.4961091908794062,6.01256192029436e-05,0.00010146287353864471,6.105311297153416e-05,0.0001859884556812578,0.0002728096760519083,0.2553793934262729,0.04317906259460034,0.009322758928813412,0.00017245084796015266,0.00012840316398168188,0.06155398797408345,0.00028246679873562483
2,ub0793,ub0793,RichterCaroline_RichterMax_1821-08-19.xml,JP-UB0793,letters-context,Richter Caroline,Richter Max,1821-08-19,1821,8,1819,RichterCaroline,RichterMax,0.00016300446442509987,0.00014039282521205874,0.006139993379372008,0.00012166497149535112,0.2696210609389739,0.0001055831844702636,0.09071772498812757,0.5341538840007537,0.00010866116327230634,0.0001833673235105791,0.011093135496605502,0.0003361249699787849,0.033441425776274306,0.000253225739912691,0.05057774647402601,0.0003742252116886177,0.0003116593225160237,0.00023205477716579064,0.0014145809199838054,0.0005104840722357961
3,ub0751,ub0751,MayerJohann+MayerJulie_RichterCaroline_1810-03-19.xml,JP-UB0751,letters-context,Mayer Johann Siegfried Wilhelm + Mayer Julie Henriette,Richter Caroline,1810-03-19,1810,3,1809,MayerJohannSiegfriedWilhelmANDMayerJulieHenriette,RichterCaroline,0.0001977548985088999,0.00017032275158295184,0.17400131030512056,0.00014760236276354746,0.0006581620411949784,0.0001280921476770813,0.16335431739767298,0.5081245783256971,0.00013182631157104135,0.00022245885459993263,0.00013385985541041078,0.04704244047670976,0.03390860928107305,0.0003072101777880162,0.01472560689312641,0.000454005164938039,0.03368857106248485,0.0002815258408337192,0.001716151194083176,0.0206055946571636
4,ub1156,ub1156,RichterCaroline_FalkensteinKonstantin_1826-02-17.xml,JP-UB1156,letters-context,Richter Caroline,Falkenstein Konstantin Karl von,1826-02-17,1826,2,1824,RichterCaroline,FalkensteinKonstantinKarlvon,0.00012900136231499542,0.00011110656248270122,0.0005132960634664707,9.628538165669175e-05,0.00042933854270289676,8.355829199069573e-05,0.4455395438380385,0.0967871139637057,8.599419741230852e-05,0.06533332741225653,8.732073813308926e-05,0.00026600853656541556,0.013427826095029452,0.0784262553899883,0.12694472806923351,0.00029616098117749235,0.0002466464788221148,0.0001836476227302652,0.17060884453886374,0.0004039959334290722
5,ub0611,ub0611,MayerJohann_RichterCaroline_1818-11-10.xml,JP-UB0611,letters-context,Mayer Johann Siegfried Wilhelm,Richter Caroline,1818-11-10,1818,11,1814,MayerJohannSiegfriedWilhelm,RichterCaroline,0.0003331381609221205,0.00028692593029742904,0.8654944214887028,0.00024865113354749545,0.0011087406362405546,0.0002157841996707205,0.017058534473570523,0.08160224244949156,0.00022207477705512682,0.0003747544776946584,0.00022550048766917534,0.0006869508435469143,0.012230598461248559,0.0005175266676908713,0.002360832087601453,0.0007648176952228339,0.0006369495087352638,0.0004742588000325968,0.0028910305482796445,0.012266267172779687
6,ub0837,ub0837,SpazierJohann_BodeAugust_1803-10-16.xml,JP-UB0837,letters-context,Spazier Johann Karl Gottlieb,Bode August Theodor Heinrich,1803-10-16,1803,10,1799,SpazierJohannKarlGottlieb,BodeAugustTheodorHeinrich,0.00043586353202947824,0.015059051998034772,0.0017342997871063308,0.0003253243669568104,0.016134278743042456,0.0002823226950773183,0.007634996667481959,0.69411085933035,0.00029055301390264513,0.0004903125173043189,0.0002950350652047748,0.0008987767122511787,0.001318334424650808,0.0006771094631573059,0.032456111479973536,0.0010006543263484005,0.0008333571327683907,0.1768243062096886,0.04783345071368257,0.0013650018209883093
7,ub0430,ub0430,RichterCaroline_RichterOdilie_1822-11-17.xml,JP-UB0430,letters-context,Richter Caroline,Richter Odilie Minna,1822-11-17,1822,11,1819,RichterCaroline,RichterOdilieMinna,0.00018088397397045332,0.00015579212649703396,0.03118841415758257,0.00013501006622547633,0.36622614063791104,0.00011716431239349492,0.03973094706162104,0.3977442135169556,0.00012057990619010613,0.00020348037883440904,0.00012243996373447952,0.14052890928925652,0.0005471106257560484,0.00028100137200882014,0.0012818606211317315,0.0004152729416885099,0.0003458443729161867,0.01853871462042089,0.001569742394552785,0.0005664776603530389
8,ub1268,ub1268,MahlmannSiegfried_MuechlerKarl_1805-02-12.xml,JP-UB1268,letters-context,Mahlmann Siegfried August,Müchler Karl,1805-02-12,1805,2,1804,MahlmannSiegfriedAugust,MüchlerKarl,0.00034474536391211434,0.0002969230063058833,0.001371740848459508,0.0002573146387214121,0.001147371388095812,0.00022330255482006338,0.2267049454971252,0.363181505097911,0.0002298123085618793,0.00038781167679178587,0.00023335737781791645,0.0007108855914098606,0.0010427339008333757,0.0005355583367977537,0.002443088221783833,0.0007914654806768279,0.0006591421096123379,0.0004907829296805844,0.3862538650997173,0.01269364857096552
9,ub0928,ub0928,SchwendlerAuguste_MuellerFriedrich_1810-06-19.xml,JP-UB0928,letters-context,Schwendler Auguste Sophie Henriette,Müller Friedrich Theodor Adam Heinrich von,1810-06-19,1810,6,1809,SchwendlerAugusteSophieHenriette,MüllerFriedrichTheodorAdamHeinrichvon,0.00017978839107552532,0.00015484852057546966,0.0007153775102831618,0.03647515292444403,0.0005983664391914084,0.00011645466845027151,0.1666836656658584,0.4922443739609857,0.0001198495745869566,0.02442955499396386,0.00012169836608501054,0.00037073443212693743,0.0671688912879434,0.018449779690778413,0.0012740966134124902,0.030696891531088143,0.12148028495613253,0.01842642883751676,0.001560234736803093,0.018733526898698574
10,ub0384,ub0384,MayerJohann_Unbekannt_1815-12-30.xml,JP-UB0384,letters-context,Mayer Johann Siegfried Wilhelm,Unbekannte Korrespondenten,1815-12-30,1815,12,1814,MayerJohannSiegfriedWilhelm,UnbekannteKorrespondenten,0.07747965734038981,0.0006538111522419146,0.0030205118689411643,0.000566595302008516,0.0025264603731228754,0.0004917022176283149,0.038870868409008,0.33938613597530604,0.026079550903618826,0.0008539439311580303,0.0005138424872275066,0.0015653382114589162,0.002296053315866172,0.05232630445472442,0.0053795707688195004,0.0017427715161550431,0.0014514013836059894,0.0010806820150021075,0.4413374676307428,0.0023773307429742004
11,ub0764,ub0764,MahlmannErnestine_RichterCaroline_1804-11-09.xml,JP-UB0764,letters-context,Mahlmann Ernestine,Richter Caroline,1804-11-09,1804,11,1804,MahlmannErnestine,RichterCaroline,0.0004423589766585227,0.0003809958623528485,0.0017601451433004128,0.00033017250463469243,0.0014722461451714293,0.00028653000149008167,0.21638340257579006,0.7491622476137569,0.00029488297242158575,0.0004976193864802015,0.00029943181737337446,0.0009121707081680184,0.0013379808681557518,0.0006872000688229407,0.003134841302609347,0.001015566550684641,0.0008457762151516129,0.0006297466398716262,0.018741340922986908,0.0013853437241190688
12,ub0232,ub0232,MannLukrezia_RichterCaroline_1810-02-08.xml,JP-UB0232,letters-context,Mann Lukrezia von,Richter Caroline,1810-02-08,1810,2,1809,MannLukreziavon,RichterCaroline,0.00016855818601744436,0.0001451761461323807,0.0006706925554517653,0.00012581021611554486,0.0005609904007731637,0.00010918050687151867,0.3266269192836322,0.489889568998486,0.022826348979198725,0.0001896148276357134,0.00011409666500635772,0.00034757707658262014,0.11975825396191475,0.0002618533886366113,0.0011945121299715205,0.00038697543080614235,0.0003222778605727406,0.00023996111047449903,0.0014627770760040752,0.03459885519971635
13,ub1278,ub1278,GoldschmidtCaroline_OsmundEmanuel_1806-11-22.xml,JP-UB1278,letters-context,Goldschmidt Caroline,Osmund Emanuel,1806-11-22,1806,11,1804,GoldschmidtCaroline,OsmundEmanuel,0.0005808586691798134,0.0005002831664929143,0.00231123503635832,0.0004335473490117955,0.021501536582385992,0.00037624066454538445,0.08844822755155611,0.6901949333463184,0.0003872088958574768,0.0006534207506590137,0.000393181954310953,0.020766105201665448,0.001756893897204534,0.0009023579004815908,0.06282135903465039,0.09917523292821896,0.0011105831975376514,0.0008269161799753982,0.005040791941048371,0.0018190857525416184
14,ub0723,ub0723,RichterCaroline_JungFranz_1826-06-14.xml,JP-UB0723,letters-context,Richter Caroline,Jung Franz Wilhelm,1826-06-14,1826,6,1824,RichterCaroline,JungFranzWilhelm,0.0045339946914135796,0.00011257426547531078,0.07977928292357668,9.755729881121701e-05,0.0004350100480567392,8.466208597434256e-05,0.3809724344630401,0.20814788988982005,8.71301693843399e-05,0.14985886754990155,8.847423353256006e-05,0.0002695224741443731,0.0003953381869358936,0.00020304956202038708,0.15944467580125346,0.00030007322856104415,0.0002499046461796028,0.0001860735835326148,0.014344152232119371,0.00040933266626686697
15,ub0318,ub0318,MayerJohann_RichterCaroline_1811-12-14.xml,JP-UB0318,letters-context,Mayer Johann Siegfried Wilhelm,Richter Caroline,1811-12-14,1811,12,1809,MayerJohannSiegfriedWilhelm,RichterCaroline,0.00026959852798235127,0.00023220038267017163,0.2735449815933204,0.00020122575990692097,0.0008972698973221146,0.02742185253491782,0.12279385030597582,0.5655706577984938,0.0001797183271659694,0.00030327734073339583,0.00018249065002530376,0.0005559283142581135,0.0008154410593136754,0.0004188185088579141,0.0019105492263903254,0.0006189435765515126,0.0005154637627787499,0.0003838031464709765,0.0023396226298746077,0.0008443066569900334
16,ub0405,ub0405,RichterCaroline_RichterOdilie_1822-12-15a.xml,JP-UB0405,letters-context,Richter Caroline,Richter Odilie Minna,1822-12-15a,1822,12,1819,RichterCaroline,RichterOdilieMinna,0.0005386933324067358,0.0004639669172633704,0.002143459278087565,0.00040207554537327855,0.25586271978308983,0.000348928832648852,0.19091472932894185,0.5130577972133745,0.0003591008648309004,0.0006059880317069869,0.00036464033068325097,0.001110817920365525,0.0016293585314075551,0.0008368544884082571,0.0038175287424369398,0.019384577596367563,0.0010299644222255449,0.0007668891870736606,0.004674873859637206,0.001687035793670676
17,ub0314,ub0314,MayerTherese_RichterCaroline_1824-05-22.xml,JP-UB0314,letters-context,Mayer Therese Apollonia,Richter Caroline,1824-05-22,1824,5,1824,MayerThereseApollonia,RichterCaroline,0.00042342857750316833,0.00036469144867199885,0.0016848211374766164,0.00031604303596182614,0.0014092425470675725,0.00027426817888807605,0.4924181239161507,0.3890135697821692,0.00028226369109892553,0.0004763241622153516,0.00028661787186353387,0.0008731350911361691,0.0012807230453627304,0.08624619476810494,0.003000688272427039,0.015236840004049528,0.0008095818974283299,0.0006027971353095977,0.0036745863913874148,0.0013260590457272398
18,ub1005,ub1005,Uthe-SpazierWilhelmine_SchragJohann_1821-01-10.xml,JP-UB1005,letters-context,Uthe-Spazier Wilhelmine,Schrag Johann Leonhard,1821-01-10,1821,1,1819,UtheSpazierWilhelmine,SchragJohannLeonhard,0.00020316902302963148,0.00017498584004618014,0.055564317041584314,0.00015164341346611743,0.0006761811713035967,0.000131599048607884,0.0035589002056310875,0.09767770219641883,0.0001354354462692762,0.0002285493228949021,0.00698201317206504,0.00041894669576877203,0.0006145150887836178,0.00031562096391327403,0.12464058000470753,0.00046643489747343406,0.0003884526739618995,0.00028923344236253204,0.7067454521943085,0.0006362681574036955
19,ub0092,ub0092,MayerJohann_RichterCaroline_1811-07-20.xml,JP-UB0092,letters-context,Mayer Johann Siegfried Wilhelm,Richter Caroline,1811-07-20,1811,7,1809,MayerJohannSiegfriedWilhelm,RichterCaroline,0.0004295560806513768,0.0003699689573678914,0.4069017125159952,0.00032061654564141537,0.0014296359229579404,0.00027823715788212504,0.02199567047449831,0.4959411753254129,0.0002863483744380435,0.0004832171258900117,0.00029076556525384,0.0008857703696790024,0.0012992565948428305,0.0006673109030515059,0.0030441117157489557,0.00098617369641283,0.0008212974874682759,0.0006115203097493601,0.0037277619229359954,0.059229892954122176
20,ub0603,ub0603,RichterCaroline_MayerJohann_1805-02-25.xml,JP-UB0603,letters-context,Richter Caroline,Mayer Johann Siegfried Wilhelm,1805-02-25,1805,2,1804,RichterCaroline,MayerJohannSiegfriedWilhelm,0.00021650587051277387,0.0001864726278724182,0.0008614762592989304,0.000161597908728546,0.0007205684751266474,0.00014023774959703042,0.36118817169477135,0.5344232055474242,0.00014432598412671924,0.00024355223729775479,0.00014655234707645293,0.0004464480741861877,0.0006548543781742128,0.0003363396177485085,0.0015343003780948778,0.0004970535961099434,0.000413952299789667,0.0003082199111179128,0.0018788753705122128,0.09549728967243376
21,ub0462,ub0462,RichterMax_RichterCaroline+RichterOdilie+RichterEmma_1820-06-27.xml,JP-UB0462,letters-context,Richter Max,Richter Caroline + Richter Odilie Minna + Richter Emma,1820-06-27,1820,6,1819,RichterMax,RichterCarolineANDRichterOdilieMinnaANDRichterEmma,0.2273678003708081,0.0003867595359942479,0.001786772472281961,0.0003351673267577616,0.046878268046998094,0.000290864603464129,0.280168499162885,0.3066580127878624,0.0002993439374434834,0.0005051473310714974,0.0003039615969424578,0.0009259699505919573,0.06186988824436105,0.000697595974171053,0.0031822649204781587,0.0010309299567938836,0.0008585710472206218,0.0006392733945365533,0.0644086082508585,0.0014063010884790743
22,ub0993,ub0993,RichterMax_OsmundEmanuel+OttoGeorg_1819-10-24.xml,JP-UB0993,letters-context,Richter Max,Osmund Emanuel + Otto Georg Christian,1819-10-24,1819,10,1819,RichterMax,OsmundEmanuelANDOttoGeorgChristian,0.0012315333988589994,0.0010606976552367405,0.004900267984133729,0.0009192047370984834,0.004098753263279342,0.0007977034156188312,0.6439030194932883,0.2186869147582041,0.0008209582001369414,0.0013853791303147175,0.0008336222462622751,0.0025394956400691744,0.0037249569085610673,0.0019131743247226113,0.00872744076190927,0.0028273510698928177,0.0023546524697832154,0.0017532231982257788,0.052176147662712176,0.045345503681691456
23,ub0616,ub0616,OsmundEmanuel_SchwendlerAuguste_1808-08-21.xml,JP-UB0616,letters-context,Osmund Emanuel,Schwendler Auguste Sophie Henriette,1808-08-21,1808,8,1804,OsmundEmanuel,SchwendlerAugusteSophieHenriette,0.00017348382232526145,0.0001494185084484097,0.01237916045819188,0.0001294866638932215,0.035643990187297164,0.00011237099842496103,0.4179937489731013,0.2587389612567098,0.00011564685672428918,0.0001951557847471425,0.00011743081737851245,0.017891037247970497,0.0005247277606054194,0.0002695053134043586,0.012918287178427672,0.2283312254788521,0.01202056432916349,0.0002469732953238008,0.0015055225993514994,0.0005433024696591927
24,ub1045,ub1045,KesslerGeorg_WagnerJohann_1805-12-03.xml,JP-UB1045,letters-context,Keßler Georg Wilhelm,Wagner Johann Ernst,1805-12-03,1805,12,1804,KeßlerGeorgWilhelm,WagnerJohannErnst,0.00019015395727690256,0.00016377619706007694,0.0007566220694977861,0.00014192909300624138,0.0006328648119785335,0.006529197391209046,0.16348163142287947,0.22594704156449824,0.3844884763315737,0.0002139083878701518,0.00012871479502520668,0.00039210885055491833,0.1479138072285373,0.00029540219464906466,0.05259578263018992,0.00043655494446948257,0.0003635682845109538,0.0002707050652797349,0.0016501889121381794,0.013407565867795216
