idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
ub0001,0.00037688360550097033,4.2438295713557126e-05,0.01411463054436405,0.01783019264258211,0.1851838239614328,9.510591506163892e-05,3.8485367101519344e-05,4.621067411782801e-05,4.640749731611909e-05,5.133793807499056e-05,0.00012411065643408428,0.0038008548728202174,0.00015716374068182519,9.821369953706992e-05,3.939365492545925e-05,3.678755902310819e-05,3.124667235824273e-05,0.00033069936799223044,0.00013960143665693402,0.05500962204423461,0.09895962783887907,0.34961041965416084,3.025522619526452e-05,3.942561873836143e-05,5.687290502874597e-05,2.988961095090377e-05,7.456227166039354e-05,0.0001254663706512745,6.098950376703514e-05,0.00018539179471173641,0.2716660676620193,0.0003566827785055535,0.0002444365394254979,3.557967930078136e-05,8.272061637163729e-05,5.003520283259849e-05,0.0005506958709411676,4.236020441351105e-05,2.5299971256330546e-05,0.0001800105342607129
ub0003,0.01884291081613089,5.528888424369785e-05,3.672689966557064e-05,0.00028940895835884037,0.1173833203926028,0.00012390459702306386,5.013898345763164e-05,6.0203563059381996e-05,6.045998558634303e-05,6.688339547602368e-05,0.0001616921603852569,0.04624356311854316,0.00020475393084854967,0.00012795343859946047,5.132230666874098e-05,4.792706818778016e-05,4.0708365450777215e-05,0.05089857445452982,0.0001818736483593864,0.19095426775662508,0.3262082114488462,0.17560815771000976,3.941670302142925e-05,5.1363949329498715e-05,0.004662070494500252,3.894037713266989e-05,9.714020644475855e-05,0.00016345839357538526,7.945751725319554e-05,0.0002415296209521001,0.032769970308673804,0.0004646886148685331,0.00031845349361918704,4.635343472712486e-05,0.00010776895033694189,6.518618363455493e-05,0.014481378443445946,0.01840709158049594,3.296096505857765e-05,0.00023451888027179572
ub0004,0.017711852781692555,0.00010130058675140078,6.729122022581259e-05,0.0005302566274197151,0.28231925491853965,0.000227018659380216,9.186491123585678e-05,0.000110305287326096,0.0001107751060390752,0.00012254411168406741,0.00029625323325267066,0.0006665600136119272,0.00037515123732991744,0.00023443696837601024,9.403300229505718e-05,8.781222835492346e-05,7.458608293988564e-05,0.0007893823126650346,0.042363800577786166,0.022028969893073173,0.0008463098159727968,0.4814663660262848,7.221949219081292e-05,9.410930019881037e-05,0.0001357561266963931,7.134676537282316e-05,0.00017798080110701292,0.0002994893350649476,0.00014558248424909645,0.00044253185165479386,0.06844742742879613,0.0008514049430875211,0.0005834721788644929,8.492900878779699e-05,0.00019745484200034606,0.000119434471152629,0.0013145159085663498,0.0001011141821283631,6.039125487881283e-05,0.07608471402296609
ub0005,0.000690626905920114,7.776679174520721e-05,5.165836129285086e-05,0.0004070692780611629,0.04249448681705144,0.0001742784851742556,7.052317908387665e-05,8.467955204381021e-05,8.504022413053676e-05,0.038813487228468516,0.00022742872704916645,0.0005117071423431261,0.0002879974251085873,0.00017997339879004018,7.218758687550431e-05,6.741200119520021e-05,5.725850723166351e-05,0.0006059957980995893,0.0002558150762016442,0.1395227490613446,0.04582234559263538,0.3502540920351353,5.544171449796569e-05,7.224615951937587e-05,0.00010421774218191668,5.4771736496045284e-05,0.006589868284597318,0.0002299130291028083,0.00011176127500754917,0.0003397244127787188,0.27195596460119553,0.0006536095497888287,0.0004479219802964258,6.519860102820336e-05,0.00015158282957044545,9.16878760842619e-05,0.0074623675646835206,7.76236919867064e-05,4.636137155767683e-05,0.09067515840464507
ub0006,0.005329722048310575,2.067174570942777e-05,1.3731677550879195e-05,0.0018235865166888988,0.10907245278607887,4.632620746333567e-05,1.8746269351302906e-05,2.2509275840684032e-05,2.260514866112554e-05,2.500677238067161e-05,6.045445243494916e-05,0.0018514010538900894,7.655465016893403e-05,4.784001307959877e-05,1.918869746043777e-05,1.7919264961277036e-05,1.522029229484482e-05,0.05162249990082809,6.800003041406405e-05,0.0250798736017425,0.16827999261424675,0.4704872550693152,1.4737357657129712e-05,1.920426707276804e-05,2.770286154858715e-05,1.4559266024752935e-05,3.631937365450192e-05,0.07210709699079268,2.970806182524388e-05,9.030456978674523e-05,0.0534213693041857,0.02590444853459361,0.00011906533710028852,1.7330905272281842e-05,4.0293313334337136e-05,0.013747416430986323,0.0002682446317864515,2.0633707341733485e-05,1.232364692014773e-05,8.768335124416786e-05
ub0007,0.0006996570086093771,7.878361010147758e-05,5.233380602753291e-05,0.03310045612266837,0.04305011182441236,0.000176557215707576,7.144528556950838e-05,0.05892430253573816,8.61521442570682e-05,9.530514901006717e-05,0.0002304024089925397,0.0005183978287362832,0.0002917630564511848,0.00018232659160439282,7.313145586871627e-05,6.829342832765518e-05,5.8007175138609557e-05,0.0006139193299504237,0.00025915991606780155,0.252486459194111,0.07257193456220798,0.3548337433509179,5.6166627429816236e-05,7.319079436312798e-05,0.00010558041268588734,5.548788931428745e-05,0.0001384194355593862,0.0002329191938563113,0.0001132225789060073,0.00034416638616137216,0.0009321099226016127,0.0006621556421907933,0.17696932599960796,6.605108745384672e-05,0.00015356480928368374,9.288671576065454e-05,0.0010223268406808984,7.863863928133261e-05,4.6967556955888547e-05,0.00033417646743114153
ub0008,0.00016265440050581932,1.831540413810742e-05,1.2166424034706814e-05,9.587174901499412e-05,0.18327071649238166,4.104555192403672e-05,1.6609409968425632e-05,1.9943476940616736e-05,2.0028421360741128e-05,2.2156287561760143e-05,5.356333924856201e-05,0.00012051574845824882,6.782829937076821e-05,4.23868010879015e-05,1.7001406354931494e-05,1.587667457973494e-05,1.3485353796368947e-05,0.00014272233300498683,6.024880800798392e-05,0.1073324797296884,0.042708726793822885,0.3894998687814903,1.3057468160275392e-05,1.7015201210291608e-05,2.4545053532319954e-05,1.2899676928395626e-05,3.21793822290371e-05,5.414843469987829e-05,2.6321684009544877e-05,8.001088608630859e-05,0.14612199211525462,0.003193629884239353,0.00010549325627768404,1.5355381137275282e-05,3.570033843078877e-05,2.159405663216737e-05,0.00023766782487102657,0.07753047109396917,1.0918892722974414e-05,0.04871278768286697
ub0009,0.0009732562215725498,0.00010959175388181964,7.279881668891321e-05,0.0005736566358593336,0.24176737312838226,0.00024559949594796644,9.938379495512653e-05,0.0001193334637850728,0.00011984173583376533,0.00013257400137577018,0.00032050072429487715,0.0007211160695296819,0.0004058563073362643,0.0002536249725987729,0.00010172933814863602,9.499941141805718e-05,8.069074332823549e-05,0.0008539910271255345,0.000360503786271694,0.4876326528465586,0.0009155778859156144,0.029789962745421686,7.813045380545259e-05,0.00010181188082047994,0.00014686738252929726,7.718629676046023e-05,0.00019254802737200463,0.00032400169190741334,0.0001574979997152903,0.0004787518347789576,0.046767263603717885,0.000921090034804976,0.0006312277300024853,9.188020846651652e-05,0.0002136159635519217,0.0001292098455430043,0.1469281991105516,0.036485913538755584,6.533410865166165e-05,0.00046485538203488243
ub0010,0.0005724201280486665,0.021459289210684112,4.2816585239524985e-05,0.011034812284187838,0.2866104735959469,0.00014444921265652875,5.845252603909014e-05,7.018591312981432e-05,7.048485306438368e-05,7.797332825761494e-05,0.00018850233019228446,0.0004241240319955782,0.01628482883015199,0.010846585831992913,5.9832056018362196e-05,5.587385319829534e-05,4.74582176866645e-05,0.01654839902677539,0.026955571208578364,0.23866251092390176,0.0005384966456700688,0.21007444662438712,4.595238476827324e-05,5.988060344681843e-05,8.637997276581086e-05,4.539707930542264e-05,0.00011324701968584849,0.00019056142242785648,9.263236459846752e-05,0.00028157763648806693,0.09169063980237037,0.0005417386131018041,0.00037125625300609214,5.4039295644637205e-05,0.02686917921392542,7.59947017974049e-05,0.038277368027819884,6.433772464662769e-05,3.842622118551938e-05,0.00027340444521235845
ub0011,0.04181558702495949,7.090344269672532e-05,4.7099225486052286e-05,0.0003711431651336679,0.12111593708364365,0.0001588974459343886,0.005948000798780532,7.720611370460318e-05,7.753495448689124e-05,8.577244889938636e-05,0.00020735688529819764,0.00046654615974776886,0.00026258006109979005,0.0001640897519580516,0.1118561485516851,6.146251962503048e-05,5.220512760384633e-05,0.006436215000575552,0.00023323798229775322,0.27430163756342024,0.0005923586571888595,0.1899007962317042,5.0548676867037955e-05,6.587003676741292e-05,9.501995061064136e-05,4.993782812554854e-05,0.023659381037866842,0.00020962193396934336,0.00010189772498489492,0.0003097418563061535,0.05379219267755304,0.0005959248956974077,0.006292092070582752,5.9444464252246545e-05,0.00013820480733561888,8.359591442610298e-05,0.15978001607357728,7.077297228256679e-05,4.2269724361927534e-05,0.0003007511585033808
ub0012,0.001846417433248998,0.0002079124904855708,0.00013811060363644185,0.001088315275743335,0.010092806476967302,0.00046594019217547646,0.00018854641513731173,0.00022639401939473922,0.00022735829000584571,0.000251513365042025,0.0006080393955774768,0.0013680686058438394,0.05252888634781222,0.0004811657614240746,0.00019299627299276608,0.00018022856212239398,0.00015308280787801586,0.0016201529313370675,0.0006839313851483123,0.32126048886370584,0.0017369927184440134,0.19453993353068946,0.00014822554305478897,0.00019315286919518578,0.0002786301176062189,0.017399405738802918,0.00036529335913510283,0.0006146812720841402,0.0002987980409786469,0.0009082662040500676,0.0024598681777185955,0.0017474501165868554,0.001197536536826443,0.00017431095216531535,0.000405262489342483,0.00024513104162081047,0.3822633245031057,0.00020752990781101137,0.00012394889909390607,0.0008819024860092796
ub0013,0.001259639348387243,0.00014183940712473523,9.422005427226476e-05,0.0007424565648543391,0.030425589839826163,0.00031786777436703035,0.00012862773023454552,0.00015444764002653402,0.00015510547242259513,0.00017158423959133786,0.00041480888029272583,0.0009333063131785252,0.000525280561459833,0.15333958173699153,0.00013166345549825106,0.0001229532306533454,0.00010443420046432672,0.0011052800661257038,0.00046658294533857245,0.007304395368103088,0.0011849890152760179,0.05032583737771649,0.00010112053921595572,0.00013177028656192268,0.00019008348462404718,9.98985615511145e-05,0.00024920577578248855,0.00041934001655924197,0.000203842188044902,0.0006196257838719702,0.04875854818824446,0.0011921231280423259,0.0008169681003626838,0.00011891619427353392,0.0002764730059458424,0.00016723017231991434,0.5550353609501979,0.00014157840645272668,0.14132578373129775,0.0006016402644461013
ub0014,0.19570483892923127,0.00010668123455916231,7.086543798901433e-05,0.0005584215596414671,0.014031294309867859,0.00023907690594213168,9.67443768846042e-05,0.0001161642257732364,0.00011665899921855332,0.00012905312339892645,0.00031198892009479253,0.0007019647905337444,0.00039507764395253596,0.0002468892433371243,9.902762753743406e-05,9.247643306631463e-05,7.854777217121147e-05,0.0008313108774082009,0.1065822551960246,0.3773034719249341,0.0008912621227859469,0.09096707920899463,7.605547838591532e-05,9.910797805491566e-05,0.0001429669033456117,7.513639610454099e-05,0.00018743436932424585,0.0003153969095997307,0.00015331519439267858,0.00046603722426743664,0.0012621741649043868,0.0008966278809544418,0.0006144636903727287,8.944006938087001e-05,0.00020794278680710568,0.00012577831224957768,0.2049943780419963,0.00010648492893102221,6.359897640928224e-05,0.0004525098311724264
ub0015,0.001815101538306796,0.00020438622086096003,0.00013576819878475431,0.0010698570624349821,0.009921628897286127,0.00045803768115886337,0.0001853486010234257,0.00022255429648092696,0.00022350221272025958,0.0002472476091114409,0.0005977268316416397,0.0013448656767754412,0.0007569131246726433,0.00047300501934960945,0.00018972298771044343,0.00017717182174756022,0.000150486469128912,0.0015926745626462047,0.0006723316661360777,0.02748576383779538,0.0017075327054985948,0.14035940254908802,0.00014571158524087969,0.00018987692798569567,0.00027390445192869325,0.0001439507530296046,0.051240162522851865,0.0006042560595656175,0.0002937303201633391,0.0008928616868951707,0.0024181479404429148,0.018678167632033213,0.0011772258921686333,0.00017135457655545182,0.00039838909369980174,0.00024097353216047032,0.7319474555393496,0.00020401012692433573,0.00012184668177710124,0.0008669451068685634
ub0016,0.00042814776682743736,4.8210803740241524e-05,0.10804886262149484,0.00025235883637308505,0.006340946268478568,0.00010804233601935175,4.3720193023910164e-05,5.249630559238424e-05,5.2719900918840914e-05,5.832098615994557e-05,0.0001409923371994585,0.00031722811316187166,0.00017854134172200459,0.00011157284507709673,4.475202725012839e-05,4.17914470485922e-05,3.5496882315131106e-05,0.0003756814937835067,0.00015859019198014536,0.338535126160176,0.00040277433477689333,0.06111246611146015,3.437057845257782e-05,4.4788338819306784e-05,6.460882597607135e-05,3.3955231782926195e-05,0.2201190029283505,0.00014253245729509034,6.928536942608517e-05,0.0002106090096130655,0.0005703948890511082,0.00040519919904705176,0.0002776850915203429,4.0419270073626786e-05,9.397237410480692e-05,5.684105130298578e-05,0.26066613690281737,4.81220903676369e-05,2.874130377679267e-05,0.0002044957836430476
ub0017,0.02702618187394364,0.0002942021249248188,0.00019543045715817882,0.0015399972650226618,0.014281610042013454,0.0006593187081053077,0.0002667985740096929,0.00032035401731107327,0.0003217184878252187,0.0003558986103698792,0.0008603931480937691,0.001935856234236801,0.0010895325953194492,0.0006808633243795204,0.0002730952502393441,0.0002550285739193378,0.00021661655469561918,0.002292562769987209,0.0009677824855230256,0.03956416480620845,0.002457894412941159,0.17762578065291715,0.00020974338594573544,0.0002733168383478768,0.0003942695913860488,0.0002072087699818461,0.02493034891622216,0.0008697915934550124,0.0004228077802059313,0.0012852226751979274,0.003480783878013223,0.0024726919306257557,0.0016945484755948273,0.00024665498645577163,0.0005734580218746152,0.0003468674400534954,0.6873942354885262,0.0002936607594900056,0.00017539123989306388,0.0012479172595857909
ub0018,0.0076656417180822785,0.000863175700183961,0.0005733841036596534,0.004518282177115516,0.04190159656705221,0.0019344112067804235,0.0007827749238308495,0.0009399041671432304,0.0009439074617888039,0.0010441903921632884,0.002524354500257623,0.005679714450974293,0.1464525411969239,0.001997622134446023,0.0008012490864996261,0.0007482422770263647,0.0006355431536009786,0.006726275259585835,0.002839429948986886,0.1877074173168291,0.007211350806561607,0.09137828393613737,0.0006153775880066463,0.0008018992159668556,0.0011567691113477314,0.0006079411396469115,0.0015165628111499935,0.0025519291129746627,0.0012404988638873473,0.003770785077911204,0.010212462135890056,0.0072547660527691295,0.0049717284240928215,0.0007236745509307008,0.001682499844908404,0.001017693347781582,0.440968610250788,0.0008615873585349344,0.000514589948456409,0.003661332679326768
