year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.0024876594969161564,0.0002801183915241832,0.0001860750167184353,0.0014662761424310779,0.16434581649091926,0.009725111415807614,0.035165726168281446,0.0003050183681386388,0.00030631752016142675,0.00033886140797922027,0.016177957833456304,0.016171246800295695,0.0010373756416342814,0.000648269754413695,0.00026002192285146873,0.00024282011537899895,0.00020624691577041804,0.04463713857028064,0.0009214538245067469,0.09112529540032543,0.0023402326875283292,0.3578322888790657,0.00019970277209578038,0.0002602329033281016,0.013199752664033662,0.005327032342636634,0.0004921560410171327,0.0008281538489300034,0.0018275436191418787,0.0012236978526883524,0.03591595615969742,0.0036367575470864066,0.0016134288406811444,0.00023484737945066191,0.0018284417581249629,0.0003302625683098846,0.13393711192474522,0.0002796029417636983,0.0001669950956976674,0.052490994976186194
1799,0.00037424769665008687,4.214148397206713e-05,2.7993439816553753e-05,0.00022058905957108188,0.02302757635893289,9.444074809862096e-05,3.8216201984513135e-05,4.588747851278025e-05,4.608292513750096e-05,5.097888259106179e-05,0.0001232426314709164,0.0002772918601052373,0.00015606454377048567,9.752679685382995e-05,3.9118137279769584e-05,0.007030490240059914,3.1028134382518725e-05,0.0003283864698498092,0.00013862506979695638,0.3728500656643153,0.0003520685584254775,0.08489175943268955,3.0043622354318542e-05,3.914987753904378e-05,5.6475138207497656e-05,2.9680564208341912e-05,0.014061960729621141,0.0001245888638771385,6.056294561899147e-05,0.0001840951719204312,0.0004985871466530309,0.0003541881534300724,0.028218566847061408,0.23433298989014234,8.214207169189541e-05,4.9685258626808794e-05,0.23134752339388154,4.206393883944771e-05,2.5123024270077288e-05,0.00017875154778959976
1800,0.012048287715585481,0.00015113314918692485,0.003079151782931973,0.0010931186378741503,0.1373680636606097,0.00033869542138512267,0.00013705580372327272,0.015164787816617538,0.00016526844674934186,0.024693428786977212,0.006546066304565812,0.00373536991244424,0.0014858808981558377,0.013509444260335882,0.0012414872734032244,0.0007659092278073261,0.00011127704154256743,0.006003993531718435,0.005613674514544084,0.24889784415685612,0.030989471085718822,0.2040701202467586,0.006383799633527195,0.00014040426973763038,0.0012630819497681574,0.00010644421400595986,0.0005461099335863258,0.0015438430802897263,0.0002171985377045961,0.002321801059222647,0.06688936746175476,0.012977940575654186,0.006399488563077136,0.00012670793888808627,0.0002945883439644176,0.0007823793430832073,0.17255196225623742,0.0009487639354095906,9.009938467171822e-05,0.009206489843925652
1801,0.0103327665905795,0.0009990345335378615,0.0007638876019819302,0.006100305676861405,0.19938758564783762,0.00030557367112816894,0.00012365282330026154,0.006799314655862054,0.003175265376410278,0.0029205183682079736,0.0020354237229226134,0.031214368303953924,0.0010991971391213628,0.000776439924471696,0.00012657113647376357,0.00011819779511347724,0.0007586103882818946,0.007629685426559104,0.00476557506977306,0.12631801015484645,0.05764789276533815,0.32163364880143996,0.008330920749652188,0.00047412168319102023,0.000724054216336658,0.0001820450720248387,0.00698832954176678,0.004029834251898858,0.00400523715398594,0.0035160156688464894,0.05885133808970627,0.019196840573121234,0.009485397857542058,0.008069627046153396,0.006490137419248143,0.008859305587500746,0.06453993206184443,0.002500861527734162,8.128837298104486e-05,0.008643187552463197
1802,0.01427205930972006,9.831330297644979e-05,0.00017856346904052204,0.0044064223601551445,0.13899155451428755,0.0028669307997116317,0.000815635106673016,0.000485027800172745,0.0010163504860353687,0.0014929496762832166,0.0011663445614574412,0.041652609784202814,0.0023595312469157905,0.0034376713488810766,0.002412544011886739,0.0005072425219994118,0.0026440349509321568,0.007914616683211886,0.003960283591359101,0.09352607514975056,0.026125775313511915,0.3875257276564384,0.0008731835854867104,9.133408245751711e-05,0.005547201146843975,0.001223438742865908,0.0005617348073836967,0.0009601288996451013,0.0010152086523509524,0.006118104204487466,0.119765979195689,0.011885151096893854,0.0083256996927582,8.242451144863478e-05,0.0006039320756471502,0.040051509118353666,0.036850974785517444,0.004000502841511126,0.0006116442695936616,0.023575584645462926
1803,0.02026869236858811,0.005748112636630748,9.712542964742785e-05,0.0038345549853800263,0.09820166862090375,0.0013848349289071478,0.0018072839422524944,0.0018450169566540764,0.0024266440330847922,0.011850138441989734,0.0017329287923188155,0.03615816084093608,0.005065191432241892,0.006141372190034735,0.0004822521201813523,0.0008704657967338761,0.00021470366085723686,0.011182261974191317,0.09199063785782954,0.14825619893980618,0.012227726860424361,0.3185873177715642,0.0004882098744713206,0.00013583356320416394,0.010094687805746292,0.0021592013336698703,0.0028165596567184636,0.000432270811041817,0.00021012787826381912,0.0025590585257743927,0.049781736092197416,0.008180841927046791,0.017541121687258264,0.00018936772770950061,0.001942224347980844,0.005710317940866803,0.10348880769567874,0.005909942180743611,0.0005508758908777392,0.007435524479592166
1804,0.008115138677138705,0.00028825272714535957,8.596370394976479e-05,0.0051370451804563086,0.08564918244710498,0.0009310264095947614,0.00011735629115284408,0.003347632755523825,0.003081952881865852,0.003985288546855829,0.0027346902877277133,0.07003709847519816,0.011723859001991525,0.0029901509391188266,0.00012012600074235368,0.00011217903875335209,0.0048754458913208626,0.00966791971208817,0.0946005401728155,0.13830584195889645,0.01912292543575217,0.35675060467774317,0.003751671849544164,0.0020462299645515746,0.008282328626728681,0.0031570982485981144,0.003195394377277946,0.0044115113478263345,0.0004247262047086654,0.0029867107354816028,0.03961526450066199,0.00940227230407266,0.010849083539120688,0.0001566326460813132,0.004047897444218961,0.00862817151951836,0.062191325676267166,0.0006943288370533167,0.003150642599990356,0.011228488365361545
1805,0.04514415349577026,0.004981477379507106,0.00011732359622772824,0.0043581547356017665,0.13215558340221262,0.003371143216954636,0.005020281252773498,0.0003455850513383154,0.002565087009823236,0.0013632167183383805,0.015600326136659516,0.06081297206058931,0.043910023724048716,0.003016225481709449,0.009998675989543048,0.0005453391907046415,0.0032964990370727564,0.008201033166771267,0.016338589949326437,0.16206037599886905,0.013209590627500972,0.289551156400268,0.0008644891471612742,0.001519384227266044,0.001986525263614282,0.0031802892119233,0.0034312268538986205,0.0037616459919326563,0.006545528490871108,0.0055283181268029604,0.03172734344094751,0.02776940883507471,0.004395830141185537,0.003476099392602049,0.005929719274810204,0.002730577943556562,0.06628524030934992,0.0027758030682025958,0.00010529336783180761,0.002024463291358264
1806,0.055016250920706146,0.00024129657805338012,0.00016028674358394517,0.003559417039128522,0.1538532141428153,0.004582622649684391,0.0016798939271423755,0.00026274564863380513,0.0002638647502242582,0.001019397887024515,0.03505790041621572,0.08746550186261813,0.07310539762187052,0.003087785105482093,0.000518300824458381,0.00020916749737377038,0.00017766300434139513,0.005242867826812256,0.01861045712488264,0.10141751717310439,0.01468173098312417,0.2825453010926415,0.00017202581834161967,0.0004089855257752637,0.0003233691913553286,0.00016994699529123469,0.007547929292326702,0.0020491956885791826,0.000929963070035689,0.003988633692157813,0.01244201021176726,0.04282547133888637,0.008681533035306908,0.0015283802648238583,0.0004703346665866719,0.0007238127234099627,0.06786941145949102,0.00024085256485350886,0.00014385112282092017,0.006725712518269065
1807,0.05915935736305867,0.004480022603305634,0.0010547168455800153,0.0021496119180750917,0.21356048884445414,0.0012151694091873796,0.004476255460609637,0.0032986397557134193,0.0029568917661505784,0.0008095523867965423,0.002009626295665692,0.035845985450874196,0.01903554088629716,0.0029016091539307625,0.007923595928765839,0.004657424612096092,0.004585141557891797,0.01618912433603296,0.0031439922599613957,0.09752777937267475,0.050150524229798404,0.3509622663622208,0.000292771222655218,0.0003815105042505081,0.0013322673207814585,0.00028923326787603213,0.0012918123454982442,0.0018802154390713138,0.001248297892260315,0.003738553296248883,0.013098968923261949,0.01803817339600238,0.01670754918870856,0.00034429444167238495,0.013796567706653549,0.001369539464259258,0.028238908081881134,0.001577476990441091,0.000244820629336994,0.00803572308999957
