idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
ub0001,0.3318911936356145,0.00028414446602319433,7.437495704715633e-05,6.682448024813478e-05,2.6966789089138323e-05,2.3585530830552466e-05,0.23481004930565405,2.522526499541781e-05,0.00012562414064144352,2.151771155476515e-05,0.00015735464173638776,0.0005852445957989723,0.0528007948961754,0.003545823234937008,3.079083054718605e-05,0.003568618279149407,0.10570373666537396,5.86683634739085e-05,2.9097795520504888e-05,1.726917228583758e-05,0.00044322007911616796,3.6095862829903865e-05,3.340290219236639e-05,5.9501266934534886e-05,2.1717127898303008e-05,2.8834755823823473e-05,2.7466232004040045e-05,0.00016089218231753668,5.058965834749954e-05,6.222125723551921e-05,2.2412138405378604e-05,1.3303154435917669e-05,2.5611106030835078e-05,0.00038907164289954697,0.00028126468961212184,4.597622759772431e-05,0.00013958074930856646,2.490502146866192e-05,0.15850732326211392,0.00042362278218172094,3.191739319100165e-05,3.490533128095816e-05,0.08931862593669497,2.7974073791839857e-05,3.494385084230736e-05,1.997165640429462e-05,1.2106455643349264e-05,2.352976465227944e-05,3.606840937813952e-05,2.354938422013952e-05,0.00011829768479347793,2.680251253636117e-05,0.0003932758748235519,4.364943906525893e-05,6.322061645948969e-05,2.618970450841783e-05,3.6238510806214094e-05,0.0037621946664664406,1.7422727432343396e-05,0.011305199151558136
ub0003,0.10688648712350236,0.00037009248534651865,9.687189437951531e-05,8.703754932535891e-05,3.5123703570562984e-05,3.071968229915686e-05,0.19584266518442087,3.2855403261370067e-05,0.00016362293125116612,2.802638903980091e-05,0.0002049512744558505,0.0007622693836915339,2.652402913851705e-05,3.533349333780457e-05,4.0104441105537467e-05,6.502358262309768e-05,0.2568357929922406,7.641437031365351e-05,3.7899296836593694e-05,2.2492751594258206e-05,0.000577285290582409,4.701413957629455e-05,4.350661219335675e-05,7.74992104166868e-05,2.8286124839802788e-05,3.755669289131161e-05,3.577421798054484e-05,0.0002095588503274309,6.589201842533522e-05,8.104194339578884e-05,2.919136212809316e-05,1.732709264777813e-05,3.3357953494865006e-05,0.05092009209617409,0.014115432741708104,5.9883117122224865e-05,0.00018180113496885759,3.243829247124281e-05,0.11020898134163272,0.0005517602031856651,4.157176642277321e-05,4.546349603922566e-05,0.1209187546691932,3.6435671754535684e-05,4.551366699765995e-05,2.601268312066569e-05,1.5768416399208627e-05,3.064704796703632e-05,4.697838200432066e-05,3.067260206186839e-05,0.0643165055375919,3.490973664538453e-05,0.0005122339631572967,5.685252158430016e-05,8.234358880218932e-05,3.411156644247326e-05,4.719993571310193e-05,0.00031715295642097824,2.2692754102149556e-05,0.074304190639683
ub0004,0.1621043543758348,0.009067003942874687,0.00017733011558340148,0.00015932772638361535,6.429615580225662e-05,5.6234316957332055e-05,0.24104898878694736,6.0143888949383935e-05,0.0002995221007776623,5.130407369079199e-05,0.07588091289097833,0.00978490850289295,4.855390908784942e-05,6.468018920958753e-05,7.341371016025608e-05,0.00011902977118447942,0.0003406537309242015,0.00013988132684662812,6.937705442440453e-05,4.117440115677133e-05,0.0010567571529314847,8.606234923471716e-05,7.964159902422232e-05,0.00014186719511205848,5.177953646284262e-05,6.874989628317744e-05,6.548696347923692e-05,0.0003836106993479648,0.00012061949772151009,0.00014835239138791598,5.343663044238268e-05,3.1718336485887314e-05,6.10638388642993e-05,0.000927652561356854,0.0006706114786301459,0.00010961982470556528,0.10100711398313927,5.938034132705118e-05,0.1514073371130816,0.0010100318697383217,7.609974174630593e-05,8.322379838962057e-05,0.2381284633651853,6.669779635234397e-05,8.331563949498007e-05,4.761785793462793e-05,2.886508125549944e-05,5.6101355228930246e-05,8.599689274280353e-05,5.614813361206425e-05,0.0002820538384227316,6.390447584373044e-05,0.000937676593136133,0.00010407212833326876,0.0001507351354422576,6.244337492024719e-05,8.64024607874646e-05,0.0005805685000792378,4.154051836825473e-05,0.0017860890833009274
ub0005,0.2082668334776507,0.0005203269652025429,0.00013619584512428046,0.00012236936898820674,4.938173783353927e-05,4.318995844441543e-05,0.04982165389094526,4.61926489901242e-05,0.00023004364213380122,3.9403356004409067e-05,0.0002881487165354284,0.09772352857328176,3.729113163069584e-05,4.96766891693308e-05,5.638434434044289e-05,9.141910401448652e-05,0.0002616341991619589,0.00010743384147867468,5.328404895287516e-05,3.162340668748497e-05,0.14901109264765453,6.609894968398937e-05,6.116758482036608e-05,0.00010895905904155714,3.976852834894585e-05,5.28023691615437e-05,5.0296320545072745e-05,0.00029462668100410736,9.264007061970794e-05,0.00011393992077889605,4.1041235549588646e-05,2.436081220282064e-05,4.689920329265595e-05,0.0007124702093609084,0.0005150535022299687,8.4191929943948e-05,0.08402051635360952,4.560621721921985e-05,0.3095898785801385,0.0007757404524826464,5.8447312272816015e-05,6.391884152805493e-05,0.008917856206342537,5.122628332051297e-05,6.398937876827739e-05,3.65722110036318e-05,2.216941055522411e-05,4.3087839101012905e-05,6.604867676669206e-05,4.3123766565468234e-05,0.0002166273944397455,4.908091367406577e-05,0.0007201690228153523,7.993110152553721e-05,0.07743723022092536,4.795873612158977e-05,6.636016747099963e-05,0.00044589728744432686,3.190459774670511e-05,0.007815235057353202
ub0006,0.13258355294873614,0.00013846589449859078,3.6243517602021945e-05,3.25641092415507e-05,1.3141134244992035e-05,1.1493419771229874e-05,0.2430264864478097,1.2292475480657087e-05,6.121765891831357e-05,1.0485754727843297e-05,0.006935434956147121,0.05001116648626218,0.006868678431483693,1.32196247005617e-05,1.5004620550036076e-05,2.432783395474835e-05,0.13895940836885018,2.858956762691297e-05,1.4179590899915369e-05,8.415407209139819e-06,0.00021598472626789336,1.758980565200622e-05,0.0051603435798916394,0.020605259751095846,1.058293192355667e-05,1.4051409530067193e-05,1.3384516813481707e-05,7.840406063234587e-05,2.465274933382943e-05,3.032092146830622e-05,1.092161616011782e-05,6.482734661008224e-06,1.2480498935243578e-05,0.00018959775571953053,0.0035664399399952867,2.2404587247777093e-05,6.801882710683009e-05,1.2136418222142616e-05,0.1749791549809949,0.0002064348051036319,1.5553603630255177e-05,1.7009650007376828e-05,0.21499455740415507,1.3631992220606913e-05,1.7028420900903486e-05,9.73234955916202e-06,5.8995736687232586e-06,1.1466244461904255e-05,1.757642736310682e-05,1.1475805235870558e-05,5.7647417777632054e-05,1.3061080953285215e-05,0.00019164651191100023,2.1270724392849688e-05,3.0807917294088715e-05,1.2762454649093305e-05,1.7659319163617588e-05,0.00011865917180832708,8.490235872929648e-06,0.0003650488295032481
ub0007,0.00210337881701184,0.0005271199120924165,0.00013797390239292604,0.00012396691952868406,5.0026423857647824e-05,4.375380985614183e-05,0.011306631297462929,4.679570097911797e-05,0.10467425166444527,3.991777275103403e-05,0.0002919105414238395,0.0010856944856527107,3.777797297002946e-05,5.032522582754659e-05,5.712045044706355e-05,9.261259418474612e-05,0.0002650498730330795,0.0001088364064582845,5.397968023631905e-05,3.203625502414832e-05,0.013877373644747984,6.696188142635062e-05,6.196613685178894e-05,0.00011038153596614205,4.0287712475522226e-05,0.03921894350001269,5.095294658421287e-05,0.0002984730766942128,9.384950069287138e-05,0.00011542742360355966,4.157703506033403e-05,2.467884627476909e-05,4.751147945447353e-05,0.04641479870120417,0.0005217776032665728,8.529106826833328e-05,0.00025893797382391847,4.62016132531302e-05,0.2744661692800265,0.01384101845690318,5.921035073646847e-05,6.475331163012491e-05,0.1526409367179994,5.189505016373512e-05,6.48247697446411e-05,3.7049666725912534e-05,2.245883554864689e-05,4.3650357329332414e-05,0.02617721214416849,4.368675383224673e-05,0.00021945549769737332,0.03921517346036338,0.052950173321822655,8.097461409325646e-05,0.00011728134725606209,4.8584844644050456e-05,6.722650945090863e-05,0.00045171854368225594,3.2321117074992825e-05,0.2167996736638096
ub0008,0.1767287967358123,0.0016419917366744027,0.01826375832953133,2.885350131016617e-05,1.1643731180926705e-05,1.0183770112290623e-05,0.2107762468476698,1.0891775198130217e-05,5.424204263358358e-05,9.290926262827516e-06,6.794265132542237e-05,0.0002526971500406792,8.792884397953858e-06,1.1713277823391748e-05,1.3294877359845011e-05,2.1555731301600625e-05,6.169078725110851e-05,2.533184988605989e-05,1.2563858006172368e-05,7.456490246159572e-06,0.042731878000326136,1.5585486360491073e-05,1.4422718719128344e-05,2.5691481281668034e-05,9.377030332895443e-06,1.2450282618759834e-05,1.18593808462284e-05,0.02589763338909144,0.021292095750279173,0.0015461696431581548,9.677122252832892e-06,5.744041442908301e-06,1.105837379761934e-05,0.0001679935125041834,0.00012144458228619536,1.985163428584189e-05,0.016772609189727002,1.0753500317659576e-05,0.2294865513000165,0.012337341804350034,1.3781305037226388e-05,1.507143816318754e-05,0.10693470025216753,1.2078656980292278e-05,1.5088070155082266e-05,8.623369939994228e-06,5.227330350640428e-06,1.0159691369113139e-05,0.0045734848025659825,1.0168162714118053e-05,5.10786225422758e-05,0.08509258130772156,0.00016980881747740692,1.884697258520946e-05,2.7297423535057198e-05,1.130820128402856e-05,1.564707896182634e-05,0.00010513822269292204,7.522792349886177e-06,0.04438326030338771
ub0009,0.002924144463115508,0.000732808926226957,0.00019181310540622567,0.0001723404164848765,6.954738212141413e-05,6.082711292719351e-05,0.1972130190025879,6.505598934864929e-05,0.00032398481272595276,5.5494204479849646e-05,0.0004058178139505176,0.01965878590904668,5.251942712106203e-05,6.996278048845142e-05,7.940958972988671e-05,0.0001287512274583131,0.000368475764998058,0.00015130578132497668,7.504325032046258e-05,4.453721649669556e-05,0.0011430651274159714,9.309127449083662e-05,8.614612570513329e-05,0.00015345384037104845,5.600849947431262e-05,7.436487062024192e-05,7.083544601124868e-05,0.00041494113544622617,0.0001304707908997023,0.00016046869869191873,5.780093242412394e-05,3.4308851599525555e-05,6.605107385202071e-05,0.0010034162440288438,0.0007253819793322763,0.00011857274734009538,0.00035997892358887324,6.423008090053627e-05,0.3906411416395328,0.037391402432571656,8.231499616942132e-05,9.002089216654738e-05,0.003484853555518412,7.214517060458417e-05,9.012023416249084e-05,5.150692635136593e-05,3.1222563946372524e-05,6.068329188505961e-05,9.30204720050792e-05,6.073389077462379e-05,0.0003050898741120203,0.009143843402184243,0.0010142589633151226,0.00011257195686228976,0.000163046047355725,6.754328003505211e-05,9.345916379662312e-05,0.01877742434665584,4.493323540778836e-05,0.31047243284603426
ub0010,0.017747310025118774,0.00043138039887696713,0.00011291403660432588,0.048179339536082416,4.0940245631086656e-05,3.580691132157474e-05,0.19088061373948487,3.829631112580694e-05,0.00019071915303132638,3.2667604346925454e-05,0.080368705583249,0.0008885024252266865,3.0916451218631625e-05,4.118477692274e-05,4.674580134921221e-05,7.579159296384551e-05,0.005558897109517804,8.906871350001109e-05,4.4175481626487874e-05,2.621758759972324e-05,0.0006728846674205728,5.4799757050701006e-05,5.071137746604965e-05,9.033320487687884e-05,3.2970352815061825e-05,4.377614191432312e-05,4.169848627839525e-05,0.00024426213452511585,7.680384313806211e-05,9.446262016130082e-05,3.402549886088162e-05,2.019648718556994e-05,3.888208448993721e-05,0.0005906779845292607,0.0004270084006667907,6.9799858070597e-05,0.00021190769665512432,3.781012611491025e-05,0.20858958076265646,0.016669095393630987,4.845611810973429e-05,5.2992324438524464e-05,0.09820719498554237,4.2469477866067385e-05,5.30508037887365e-05,3.0320425474044195e-05,1.8379691631889853e-05,3.572224862670002e-05,5.475807796703488e-05,3.575203452092393e-05,0.00017959632706085018,4.069084543739307e-05,0.0005970607350706719,6.626739101506991e-05,9.597982015006491e-05,3.976049695927905e-05,5.501632132795383e-05,0.00036967399842715535,2.6450710846064705e-05,0.32699852680243424
ub0011,0.06064898762768476,0.012225609532678804,0.0001241924209470044,0.05299171827131868,4.5029549664464645e-05,3.9383473812419704e-05,0.13356425060527244,4.212152656201693e-05,0.00020976907785984867,3.5930598111556e-05,0.00026275314541829,0.0009772502208282537,3.4004531583496035e-05,4.529850589011219e-05,5.141499155689554e-05,8.336201326850188e-05,0.00023857544675319662,9.796531496756116e-05,4.858793622725959e-05,2.8836323395377124e-05,0.0007400955485978906,6.027341418395009e-05,5.577666804292416e-05,9.93561096825718e-05,3.626358651872461e-05,4.814870858891193e-05,4.586352694914593e-05,0.0002686601838410833,8.447537174474262e-05,0.00010389799036180953,3.742412550770979e-05,2.221380719024784e-05,4.2765809721182826e-05,0.0006496776760877549,0.00046966000541942804,7.677179575043763e-05,0.0002330740327451465,4.1586779108580356e-05,0.3116824736851984,0.024209653354343025,0.11168913405944607,5.828544671280775e-05,0.03750974590808232,4.67115287980065e-05,5.8349767255201355e-05,3.334897198795663e-05,2.021554156302609e-05,3.929035460991316e-05,6.022757199763724e-05,3.932311565915899e-05,0.15883793650177302,4.475523820797147e-05,0.0006566979657335533,7.288648929311241e-05,0.00010556673541186613,4.3731962153939094e-05,6.051160991843536e-05,0.0004065987737796332,2.909273208656249e-05,0.08938443643214533
